"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","School Code","School","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Special Education",22,"50.0%","67.8%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Non-Special Education",95,"44.2%","66.0%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Special Education","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Special Education",54,"40.7%","66.0%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Non-Special Education",341,"49.6%","69.7%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Special Education","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Special Education",15,"*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Non-Special Education",110,"42.7%","71.1%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","Special Education","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Special Education",18,"*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Non-Special Education",123,"40.7%","67.5%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Special Education",89,"38.2%","63.9%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Non-Special Education",371,"47.4%","69.8%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Special Education",27,"33.3%","52.4%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Non-Special Education",177,"37.3%","63.6%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Special Education",83,"31.3%","49.6%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Non-Special Education",670,"47.2%","65.3%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Special Education",7,"*","*"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Non-Special Education",65,"63.1%","86.4%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Special Education",25,"20.0%","50.7%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Non-Special Education",326,"48.5%","67.2%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Special Education","*","*","*"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Non-Special Education","*","57.1%","73.6%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Special Education","*","*","*"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Non-Special Education","*","42.9%","72.3%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Special Education",20,"40.0%","66.2%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Non-Special Education",192,"45.3%","66.0%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Special Education",36,"25.0%","53.9%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Non-Special Education",336,"53.9%","74.4%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Special Education",36,"33.3%","56.6%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Non-Special Education",234,"54.3%","70.9%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Special Education","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Non-Special Education","*","36.1%","56.5%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Special Education",40,"10.0%","41.1%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Non-Special Education",287,"37.3%","55.5%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Special Education",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Non-Special Education",28,"32.1%","68.0%"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Special Education","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Special Education",17,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Non-Special Education",110,"51.8%","77.6%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Special Education",54,"27.8%","50.3%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Non-Special Education",242,"46.7%","66.2%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Special Education",10,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Non-Special Education",108,"45.4%","70.5%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Special Education","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Special Education",12,"*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Non-Special Education",183,"41.5%","64.9%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Special Education",37,"16.2%","38.5%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Non-Special Education",258,"46.5%","65.0%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Special Education",20,"25.0%","45.9%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Non-Special Education",69,"47.8%","70.1%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Special Education",7,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Non-Special Education",68,"39.7%","69.8%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Special Education",20,"25.0%","49.9%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Non-Special Education",114,"44.7%","63.7%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Special Education",26,"15.4%","52.5%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Non-Special Education",77,"42.9%","72.3%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Special Education","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Special Education",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Special Education",65,"18.5%","37.3%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Non-Special Education",557,"36.3%","54.6%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Special Education",31,"41.9%","64.3%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Non-Special Education",80,"62.5%","83.6%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Special Education",9,"*","*"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Non-Special Education",34,"55.9%","76.6%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Special Education",15,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Non-Special Education",137,"66.4%","83.7%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Special Education",66,"36.4%","55.6%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Non-Special Education",631,"43.1%","58.6%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Special Education",25,"28.0%","51.8%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Non-Special Education",247,"59.5%","77.3%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Special Education",32,"50.0%","80.1%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Non-Special Education",335,"57.0%","74.0%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Special Education",20,"60.0%","84.6%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Non-Special Education",178,"69.7%","87.5%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Special Education",20,"55.0%","77.9%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Non-Special Education",80,"48.8%","66.2%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Special Education",44,"25.0%","55.9%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Non-Special Education",257,"45.1%","69.5%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Special Education",56,"21.4%","44.2%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Non-Special Education",368,"47.0%","62.8%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Special Education",42,"33.3%","67.5%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Non-Special Education",310,"56.8%","80.8%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Special Education",77,"39.0%","59.4%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Non-Special Education",502,"46.2%","64.0%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Special Education",7,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Non-Special Education",24,"66.7%","85.3%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Special Education",28,"35.7%","67.6%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Non-Special Education",198,"49.5%","67.7%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Special Education",27,"22.2%","45.5%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Non-Special Education",170,"42.9%","64.4%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Special Education",70,"24.3%","50.4%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Special Education",7,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Non-Special Education",38,"39.5%","60.1%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Special Education",45,"44.4%","69.4%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Non-Special Education",328,"58.8%","79.0%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Special Education",23,"30.4%","54.7%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Non-Special Education",210,"52.9%","77.0%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Special Education",39,"43.6%","67.8%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Non-Special Education",394,"53.6%","71.6%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Special Education",31,"25.8%","55.1%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Non-Special Education",285,"33.3%","59.9%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Special Education",111,"32.4%","57.0%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Non-Special Education",751,"43.8%","64.2%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Special Education",11,"*","*"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Non-Special Education",98,"54.1%","75.2%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Special Education",13,"*","*"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Non-Special Education",60,"46.7%","65.7%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Special Education",16,"*","*"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Non-Special Education",95,"57.9%","81.3%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Special Education",36,"19.4%","51.6%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Non-Special Education",304,"42.8%","68.9%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Special Education",7,"*","*"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Non-Special Education",89,"51.7%","77.3%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Special Education",16,"*","*"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Non-Special Education",145,"55.9%","83.5%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Special Education",10,"*","*"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Non-Special Education",95,"40.0%","67.2%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Special Education",105,"34.3%","54.7%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Non-Special Education",673,"35.4%","56.1%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Special Education",11,"*","*"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Non-Special Education",140,"41.4%","65.6%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Special Education",9,"*","*"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Non-Special Education",100,"53.0%","79.0%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Special Education",21,"23.8%","54.3%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Non-Special Education",132,"34.8%","64.4%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Special Education",11,"*","*"
