"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","School Code","School","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Not Eligible For Lunch",127,"40.9%","62.9%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Eligible For Lunch",27,"44.4%","60.0%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Not Eligible For Lunch",491,"55.0%","70.6%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Eligible For Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Not Eligible For Lunch","*","52.6%","71.5%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Eligible For Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Not Eligible For Lunch","*","59.6%","75.8%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Eligible For Lunch",25,"32.0%","52.8%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Not Eligible For Lunch",489,"59.7%","77.9%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Eligible For Lunch",16,"*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Not Eligible For Lunch",116,"44.8%","68.3%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Not Eligible For Lunch","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Eligible For Lunch",81,"45.7%","65.0%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Not Eligible For Lunch",579,"52.5%","71.2%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Eligible For Lunch",20,"50.0%","82.8%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Not Eligible For Lunch",121,"58.7%","80.0%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Eligible For Lunch",21,"52.4%","79.5%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Not Eligible For Lunch",173,"43.4%","69.9%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Eligible For Lunch",12,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Not Eligible For Lunch",79,"64.6%","86.6%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Eligible For Lunch",13,"*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Not Eligible For Lunch",154,"49.4%","69.5%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Eligible For Lunch",135,"45.2%","63.2%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Not Eligible For Lunch",478,"57.1%","75.1%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Eligible For Lunch",87,"47.1%","66.8%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Not Eligible For Lunch",309,"46.0%","68.7%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Eligible For Lunch",112,"38.4%","65.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Not Eligible For Lunch",92,"29.3%","58.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Eligible For Lunch",95,"36.8%","51.9%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Not Eligible For Lunch",84,"32.1%","54.4%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Eligible For Lunch",36,"41.7%","57.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Not Eligible For Lunch",44,"56.8%","76.3%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Eligible For Lunch",56,"28.6%","59.3%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Not Eligible For Lunch",41,"36.6%","64.9%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Eligible For Lunch",49,"36.7%","59.9%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Not Eligible For Lunch",239,"59.8%","78.8%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Eligible For Lunch",22,"50.0%","62.0%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Not Eligible For Lunch",85,"37.6%","60.6%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Eligible For Lunch",209,"37.8%","56.9%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Not Eligible For Lunch",632,"41.9%","60.2%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Eligible For Lunch",15,"*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Not Eligible For Lunch",48,"45.8%","68.5%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Eligible For Lunch",6,"*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Not Eligible For Lunch",57,"70.2%","92.3%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Eligible For Lunch",33,"51.5%","74.0%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Not Eligible For Lunch",46,"50.0%","71.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Eligible For Lunch",347,"47.0%","66.5%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Not Eligible For Lunch",75,"61.3%","79.9%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Eligible For Lunch",216,"24.1%","50.9%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Eligible For Lunch",108,"25.9%","51.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Eligible For Lunch",180,"37.8%","60.4%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Eligible For Lunch",538,"33.5%","56.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Eligible For Lunch",23,"17.4%","37.3%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Eligible For Lunch",126,"31.7%","60.1%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Eligible For Lunch",506,"28.1%","52.5%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Eligible For Lunch",186,"37.1%","60.2%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Eligible For Lunch",272,"40.8%","67.4%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Eligible For Lunch",144,"16.0%","34.9%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Eligible For Lunch",349,"27.2%","51.7%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Eligible For Lunch",146,"15.1%","36.8%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Eligible For Lunch",87,"28.7%","53.9%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Eligible For Lunch",326,"34.7%","59.1%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Eligible For Lunch",81,"30.9%","61.2%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Eligible For Lunch",89,"28.1%","53.9%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Eligible For Lunch",213,"38.5%","60.1%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Eligible For Lunch",165,"27.9%","54.0%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Eligible For Lunch",219,"28.8%","52.5%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Eligible For Lunch",261,"40.2%","64.7%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Eligible For Lunch",360,"24.4%","49.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Eligible For Lunch",199,"34.2%","59.6%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Eligible For Lunch",233,"42.1%","61.0%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Eligible For Lunch",201,"38.3%","59.6%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Eligible For Lunch",366,"26.2%","47.0%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Eligible For Lunch",213,"22.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Eligible For Lunch",211,"28.0%","51.2%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Eligible For Lunch",331,"39.6%","63.0%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Not Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Eligible For Lunch",272,"33.5%","52.5%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Not Eligible For Lunch",388,"36.9%","57.7%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Not Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Eligible For Lunch",34,"38.2%","70.2%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Not Eligible For Lunch",81,"45.7%","73.6%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Eligible For Lunch",58,"37.9%","58.0%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Not Eligible For Lunch",50,"44.0%","64.0%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Eligible For Lunch",235,"43.8%","67.4%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Not Eligible For Lunch",204,"42.6%","63.2%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Eligible For Lunch",43,"37.2%","60.3%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Not Eligible For Lunch",89,"49.4%","69.9%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Eligible For Lunch",49,"44.9%","65.5%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Not Eligible For Lunch",68,"45.6%","66.9%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Eligible For Lunch",135,"46.7%","66.3%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Not Eligible For Lunch",260,"49.2%","70.6%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Not Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Eligible For Lunch",53,"34.0%","65.5%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Not Eligible For Lunch",72,"48.6%","74.0%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Eligible For Lunch",77,"36.4%","65.3%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Not Eligible For Lunch",64,"46.9%","69.8%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Eligible For Lunch",255,"43.9%","69.0%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Not Eligible For Lunch",205,"47.8%","68.2%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Eligible For Lunch",16,"*","*"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Not Eligible For Lunch",188,"38.8%","63.5%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Eligible For Lunch",53,"37.7%","53.2%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Not Eligible For Lunch",700,"46.0%","64.4%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Eligible For Lunch",22,"40.9%","77.7%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Not Eligible For Lunch",50,"68.0%","85.5%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Eligible For Lunch",101,"41.6%","65.0%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Not Eligible For Lunch",250,"48.4%","66.4%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Eligible For Lunch","*","*","*"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Not Eligible For Lunch","*","55.9%","73.8%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Eligible For Lunch",8,"*","*"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Not Eligible For Lunch",28,"42.9%","75.6%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Eligible For Lunch",64,"54.7%","74.5%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Not Eligible For Lunch",148,"40.5%","62.3%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Eligible For Lunch",48,"31.3%","60.7%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Not Eligible For Lunch",324,"54.0%","74.2%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Eligible For Lunch",36,"41.7%","60.3%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Not Eligible For Lunch",234,"53.0%","70.4%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Eligible For Lunch",56,"32.1%","52.3%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Not Eligible For Lunch",32,"40.6%","64.6%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Eligible For Lunch",156,"27.6%","49.1%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Not Eligible For Lunch",171,"39.8%","58.0%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Eligible For Lunch",13,"*","*"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Not Eligible For Lunch",21,"42.9%","67.1%"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Eligible For Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Not Eligible For Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Eligible For Lunch",47,"27.7%","69.6%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Not Eligible For Lunch",80,"62.5%","81.7%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Eligible For Lunch",178,"44.4%","67.0%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Not Eligible For Lunch",118,"41.5%","57.7%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Eligible For Lunch",69,"37.7%","67.4%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Not Eligible For Lunch",49,"57.1%","73.8%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Eligible For Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Eligible For Lunch",120,"44.2%","67.4%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Not Eligible For Lunch",75,"36.0%","61.2%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Eligible For Lunch",143,"42.7%","62.1%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Not Eligible For Lunch",152,"42.8%","61.3%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Eligible For Lunch",39,"33.3%","56.2%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Not Eligible For Lunch",50,"50.0%","71.3%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Eligible For Lunch",44,"36.4%","69.3%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Not Eligible For Lunch",31,"48.4%","72.8%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Eligible For Lunch",92,"42.4%","61.2%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Not Eligible For Lunch",42,"40.5%","62.7%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Eligible For Lunch",66,"28.8%","62.8%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Not Eligible For Lunch",37,"48.6%","75.2%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Not Eligible For Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Eligible For Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Not Eligible For Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Eligible For Lunch",296,"28.4%","47.3%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Not Eligible For Lunch",326,"39.9%","57.8%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Eligible For Lunch",64,"53.1%","73.7%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Not Eligible For Lunch",47,"61.7%","84.4%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Eligible For Lunch",25,"56.0%","77.3%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Not Eligible For Lunch",18,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Eligible For Lunch",15,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Not Eligible For Lunch",137,"65.0%","82.9%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Eligible For Lunch",58,"41.4%","61.3%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Not Eligible For Lunch",639,"42.6%","58.0%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Eligible For Lunch",24,"50.0%","64.5%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Not Eligible For Lunch",248,"57.3%","76.0%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Eligible For Lunch",34,"38.2%","67.9%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Not Eligible For Lunch",333,"58.3%","75.2%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Eligible For Lunch",11,"*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Not Eligible For Lunch",187,"70.1%","87.7%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Eligible For Lunch",7,"*","*"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Not Eligible For Lunch",93,"50.5%","69.2%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Eligible For Lunch",57,"29.8%","58.9%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Not Eligible For Lunch",244,"45.1%","69.6%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Eligible For Lunch",99,"28.3%","49.7%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Not Eligible For Lunch",325,"48.3%","63.6%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Eligible For Lunch",65,"46.2%","74.6%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Not Eligible For Lunch",287,"55.7%","80.3%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Eligible For Lunch",105,"35.2%","57.5%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Not Eligible For Lunch",474,"47.5%","64.7%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Eligible For Lunch","*","*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Not Eligible For Lunch","*","57.7%","77.0%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Eligible For Lunch",39,"48.7%","70.7%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Not Eligible For Lunch",187,"47.6%","67.0%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Eligible For Lunch",61,"31.1%","54.0%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Not Eligible For Lunch",136,"44.1%","65.3%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Eligible For Lunch",34,"20.6%","50.2%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Not Eligible For Lunch",36,"27.8%","50.6%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Eligible For Lunch",7,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Not Eligible For Lunch",38,"44.7%","63.6%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Eligible For Lunch",78,"48.7%","71.8%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Not Eligible For Lunch",295,"59.3%","79.4%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Eligible For Lunch",36,"41.7%","75.1%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Not Eligible For Lunch",197,"52.3%","74.7%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Eligible For Lunch",82,"45.1%","67.7%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Not Eligible For Lunch",351,"54.4%","72.1%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Eligible For Lunch",57,"35.1%","60.5%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Not Eligible For Lunch",259,"32.0%","59.2%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Eligible For Lunch",481,"43.2%","65.1%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Not Eligible For Lunch",381,"41.2%","61.0%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Eligible For Lunch",86,"51.2%","72.4%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Not Eligible For Lunch",23,"60.9%","78.0%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Eligible For Lunch",29,"55.2%","75.7%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Not Eligible For Lunch",44,"38.6%","55.8%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Eligible For Lunch",80,"50.0%","73.7%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Not Eligible For Lunch",31,"61.3%","84.6%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Eligible For Lunch",162,"37.7%","68.1%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Not Eligible For Lunch",178,"42.7%","66.1%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Eligible For Lunch",82,"57.3%","81.3%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Not Eligible For Lunch",14,"*","*"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Eligible For Lunch",122,"56.6%","85.2%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Not Eligible For Lunch",39,"53.8%","78.1%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Eligible For Lunch",64,"29.7%","60.9%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Not Eligible For Lunch",41,"53.7%","75.0%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Eligible For Lunch",530,"31.5%","54.2%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Not Eligible For Lunch",248,"43.1%","59.7%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Eligible For Lunch",91,"39.6%","66.6%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Not Eligible For Lunch",60,"40.0%","63.2%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Eligible For Lunch",90,"48.9%","76.6%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Not Eligible For Lunch",19,"*","*"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Eligible For Lunch",77,"32.5%","62.6%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Not Eligible For Lunch",76,"34.2%","63.4%"
