"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","School Code","School","Subject","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Math",552,"30.6%","52.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","ELA",23,"17.4%","37.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Math",23,"13.0%","32.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","ELA",126,"31.7%","60.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Math",129,"23.3%","47.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","ELA",506,"28.1%","52.5%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Math",560,"33.2%","54.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","ELA",186,"37.1%","60.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Math",186,"31.2%","52.8%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","ELA",272,"40.8%","67.4%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Math",275,"38.5%","61.8%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","ELA",144,"16.0%","34.9%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Math",143,"17.5%","36.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","ELA",349,"27.2%","51.7%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Math",348,"25.9%","46.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","ELA",146,"15.1%","36.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Math",146,"9.6%","26.5%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","ELA",87,"28.7%","53.9%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Math",87,"29.9%","54.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELA",326,"34.7%","59.1%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Math",334,"32.9%","56.7%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELA",81,"30.9%","61.2%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Math",81,"29.6%","49.7%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELA",89,"28.1%","53.9%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Math",89,"18.0%","46.4%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","ELA",213,"38.5%","60.1%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Math",213,"24.4%","44.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELA",165,"27.9%","54.0%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Math",164,"26.2%","50.1%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","ELA",219,"28.8%","52.5%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Math",219,"28.3%","49.3%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","ELA",261,"40.2%","64.7%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Math",261,"37.9%","58.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","ELA",360,"24.4%","49.8%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Math",393,"25.7%","47.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","ELA",199,"34.2%","59.6%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Math",199,"23.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","ELA",233,"42.1%","61.0%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Math",233,"46.4%","68.5%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","ELA",201,"38.3%","59.6%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Math",201,"30.8%","57.4%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","ELA",366,"26.2%","47.0%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Math",368,"28.5%","48.3%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","ELA",213,"22.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Math",218,"28.9%","49.2%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","ELA",211,"28.0%","51.2%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Math",211,"22.7%","44.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","ELA",331,"39.6%","63.0%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Math",332,"28.9%","49.9%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","ELA",9,"*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Math",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELA",660,"35.5%","55.5%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Math",664,"42.9%","62.1%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","ELA",7,"*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Math",6,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","ELA",115,"43.5%","72.6%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Math",115,"40.9%","64.8%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","ELA",108,"40.7%","60.7%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Math",111,"40.5%","73.2%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","ELA","*","*","*"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Math","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","ELA",439,"43.3%","65.4%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Math",442,"38.7%","63.0%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","ELA",132,"45.5%","66.8%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Math",134,"46.3%","71.6%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","ELA",117,"45.3%","66.3%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Math",118,"39.0%","69.0%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","ELA","*","*","*"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Math","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","ELA",395,"48.4%","69.2%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Math",396,"47.2%","67.4%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","ELA","*","*","*"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Math","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","ELA",125,"42.4%","70.4%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Math",125,"35.2%","57.4%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","ELA","*","*","*"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","Math","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","ELA",141,"41.1%","67.3%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Math",142,"50.7%","77.8%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","ELA",460,"45.7%","68.7%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Math",464,"45.7%","67.6%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","ELA",204,"36.8%","62.1%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Math",203,"34.0%","62.7%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","ELA",753,"45.4%","63.6%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Math",754,"48.8%","69.4%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","ELA",72,"59.7%","83.1%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Math",73,"50.7%","82.1%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","ELA",351,"46.4%","66.0%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Math",350,"36.0%","54.0%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","ELA",39,"53.8%","71.1%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Math",39,"23.1%","45.3%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","ELA",36,"41.7%","72.0%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Math",36,"55.6%","84.9%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","ELA",212,"44.8%","66.0%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Math",212,"42.5%","64.7%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","ELA",372,"51.1%","72.5%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Math",372,"51.3%","74.7%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","ELA",270,"51.5%","69.0%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Math",270,"60.4%","79.1%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","ELA",88,"35.2%","56.8%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Math",87,"13.8%","31.6%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","ELA",327,"33.9%","53.7%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Math",311,"36.7%","53.5%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","ELA",34,"29.4%","65.6%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Math",34,"35.3%","67.5%"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","ELA","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Math","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","ELA",127,"49.6%","77.2%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Math",127,"45.7%","75.7%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","ELA",296,"43.2%","63.3%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Math",289,"41.5%","61.2%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","ELA",118,"45.8%","70.1%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Math",118,"40.7%","68.1%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","ELA","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Math","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","ELA",195,"41.0%","65.0%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Math",196,"23.0%","42.9%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","ELA",295,"42.7%","61.7%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Math",294,"33.3%","55.4%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","ELA",89,"42.7%","64.7%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Math",89,"34.8%","57.2%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","ELA",75,"41.3%","70.7%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Math",80,"48.8%","75.8%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","ELA",134,"41.8%","61.7%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Math",129,"31.0%","49.2%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","ELA",103,"35.9%","67.3%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Math",102,"39.2%","69.1%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","ELA","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Math","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","ELA",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Math",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","ELA",622,"34.4%","52.8%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Math",621,"34.5%","52.7%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","ELA",111,"56.8%","78.2%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Math",111,"68.5%","89.7%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","ELA",43,"55.8%","79.0%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Math",42,"31.0%","43.8%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","ELA",152,"63.2%","81.3%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Math",152,"70.4%","89.9%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","ELA",697,"42.5%","58.3%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Math",698,"47.9%","64.1%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","ELA",272,"56.6%","75.0%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Math",272,"47.4%","71.1%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","ELA",367,"56.4%","74.6%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Math",367,"55.6%","77.7%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","ELA",198,"68.7%","87.2%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Math",198,"62.1%","85.0%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","ELA",100,"50.0%","68.6%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Math",100,"55.0%","74.4%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELA",301,"42.2%","67.6%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Math",301,"51.2%","76.3%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELA",424,"43.6%","60.4%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Math",426,"46.7%","65.1%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELA",352,"54.0%","79.2%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Math",353,"58.6%","84.9%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELA",579,"45.3%","63.4%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Math",578,"32.7%","47.8%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","ELA",31,"61.3%","81.5%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Math",31,"35.5%","62.7%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","ELA",226,"47.8%","67.7%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Math",225,"37.8%","61.3%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","ELA",197,"40.1%","61.8%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Math",199,"40.7%","60.6%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELA",70,"24.3%","50.4%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Math",69,"29.0%","50.3%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","ELA",45,"44.4%","64.7%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Math",45,"46.7%","65.7%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","ELA",373,"57.1%","77.8%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Math",372,"52.7%","73.3%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","ELA",233,"50.6%","74.8%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Math",233,"51.1%","78.8%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELA",433,"52.7%","71.2%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Math",432,"46.8%","66.5%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELA",316,"32.6%","59.4%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Math",316,"25.6%","48.7%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELA",862,"42.3%","63.3%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Math",851,"37.1%","56.4%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELA",109,"53.2%","73.6%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Math",111,"66.7%","92.0%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","ELA",73,"45.2%","63.7%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Math",89,"50.6%","76.5%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","ELA",111,"53.2%","76.8%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Math",113,"57.5%","84.9%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","ELA",340,"40.3%","67.0%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Math",343,"29.7%","56.1%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","ELA",96,"54.2%","78.8%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Math",97,"64.9%","90.2%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","ELA",161,"55.9%","83.5%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Math",167,"67.1%","88.5%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","ELA",105,"39.0%","66.4%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Math",106,"36.8%","69.8%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","ELA",778,"35.2%","56.0%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Math",810,"42.1%","60.9%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","ELA",151,"39.7%","65.2%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Math",151,"51.0%","77.2%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","ELA",109,"51.4%","78.2%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Math",111,"50.5%","78.3%"
