"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","School Code","School","Subject","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Not Eligible For Lunch",116,"44.8%","68.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Eligible For Lunch",16,"*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Not Eligible For Lunch",116,"37.1%","69.2%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","ELA","Not Eligible For Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Math","Not Eligible For Lunch","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Eligible For Lunch",81,"45.7%","65.0%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Not Eligible For Lunch",579,"52.5%","71.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Eligible For Lunch",81,"38.3%","56.5%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Not Eligible For Lunch",578,"43.8%","63.5%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Eligible For Lunch",20,"50.0%","82.8%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Not Eligible For Lunch",121,"58.7%","80.0%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Eligible For Lunch",20,"35.0%","54.7%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Not Eligible For Lunch",121,"53.7%","73.3%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Eligible For Lunch",21,"52.4%","79.5%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Not Eligible For Lunch",173,"43.4%","69.9%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Eligible For Lunch",21,"42.9%","66.2%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Not Eligible For Lunch",173,"34.1%","66.5%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Eligible For Lunch",12,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Not Eligible For Lunch",79,"64.6%","86.6%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Eligible For Lunch",12,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Not Eligible For Lunch",79,"68.4%","88.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Eligible For Lunch",13,"*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Not Eligible For Lunch",154,"49.4%","69.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Eligible For Lunch",13,"*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Not Eligible For Lunch",154,"57.8%","80.8%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Eligible For Lunch",135,"45.2%","63.2%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Not Eligible For Lunch",478,"57.1%","75.1%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Eligible For Lunch",135,"43.0%","63.6%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Not Eligible For Lunch",478,"57.1%","76.9%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Eligible For Lunch",87,"47.1%","66.8%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Not Eligible For Lunch",309,"46.0%","68.7%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Eligible For Lunch",87,"56.3%","79.3%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Not Eligible For Lunch",309,"68.6%","91.3%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Eligible For Lunch",112,"38.4%","65.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Not Eligible For Lunch",92,"29.3%","58.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","Eligible For Lunch",112,"53.6%","76.3%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","Not Eligible For Lunch",92,"48.9%","73.8%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA","Eligible For Lunch",95,"36.8%","51.9%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA","Not Eligible For Lunch",84,"32.1%","54.4%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","Eligible For Lunch",96,"31.3%","47.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","Not Eligible For Lunch",84,"44.0%","64.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","Eligible For Lunch",36,"41.7%","57.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","Not Eligible For Lunch",44,"56.8%","76.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","Eligible For Lunch",36,"27.8%","42.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","Not Eligible For Lunch",44,"31.8%","49.0%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","Eligible For Lunch",56,"28.6%","59.3%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","Not Eligible For Lunch",41,"36.6%","64.9%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","Eligible For Lunch",57,"50.9%","78.5%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","Not Eligible For Lunch",41,"43.9%","77.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA","Eligible For Lunch",49,"36.7%","59.9%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA","Not Eligible For Lunch",239,"59.8%","78.8%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math","Eligible For Lunch",49,"49.0%","69.5%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math","Not Eligible For Lunch",239,"51.0%","71.4%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","Eligible For Lunch",22,"50.0%","62.0%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","Not Eligible For Lunch",85,"37.6%","60.6%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","Eligible For Lunch",22,"54.5%","82.4%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","Not Eligible For Lunch",85,"44.7%","70.6%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","Eligible For Lunch",209,"37.8%","56.9%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","Not Eligible For Lunch",632,"41.9%","60.2%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","Eligible For Lunch",209,"32.5%","51.5%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","Not Eligible For Lunch",632,"42.9%","62.3%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","Eligible For Lunch",15,"*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","Not Eligible For Lunch",48,"45.8%","68.5%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","Eligible For Lunch",15,"*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","Not Eligible For Lunch",48,"33.3%","69.7%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","Eligible For Lunch",6,"*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","Not Eligible For Lunch",57,"70.2%","92.3%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","Eligible For Lunch",6,"*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","Not Eligible For Lunch",57,"73.7%","96.4%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","Eligible For Lunch",33,"51.5%","74.0%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","Not Eligible For Lunch",46,"50.0%","71.6%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","Eligible For Lunch",32,"56.3%","74.9%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","Not Eligible For Lunch",46,"28.3%","66.0%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","Eligible For Lunch",347,"47.0%","66.5%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","Not Eligible For Lunch",75,"61.3%","79.9%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","Eligible For Lunch",347,"59.1%","77.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","Not Eligible For Lunch",75,"61.3%","81.2%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","ELA","Eligible For Lunch",216,"24.1%","50.9%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Math","Eligible For Lunch",216,"21.8%","44.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","ELA","Eligible For Lunch",108,"25.9%","51.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Math","Eligible For Lunch",108,"30.6%","53.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","ELA","Eligible For Lunch",180,"37.8%","60.4%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Math","Eligible For Lunch",182,"41.8%","63.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","ELA","Eligible For Lunch",538,"33.5%","56.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Math","Eligible For Lunch",552,"30.6%","52.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","ELA","Eligible For Lunch",23,"17.4%","37.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Math","Eligible For Lunch",23,"13.0%","32.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","ELA","Eligible For Lunch",126,"31.7%","60.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Math","Eligible For Lunch",129,"23.3%","47.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","ELA","Eligible For Lunch",506,"28.1%","52.5%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Math","Eligible For Lunch",560,"33.2%","54.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","ELA","Eligible For Lunch",186,"37.1%","60.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Math","Eligible For Lunch",186,"31.2%","52.8%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","ELA","Eligible For Lunch",272,"40.8%","67.4%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Math","Eligible For Lunch",275,"38.5%","61.8%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","ELA","Eligible For Lunch",144,"16.0%","34.9%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Math","Eligible For Lunch",143,"17.5%","36.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","ELA","Eligible For Lunch",349,"27.2%","51.7%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Math","Eligible For Lunch",348,"25.9%","46.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","ELA","Eligible For Lunch",146,"15.1%","36.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Math","Eligible For Lunch",146,"9.6%","26.5%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","ELA","Eligible For Lunch",87,"28.7%","53.9%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Math","Eligible For Lunch",87,"29.9%","54.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELA","Eligible For Lunch",326,"34.7%","59.1%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Math","Eligible For Lunch",334,"32.9%","56.7%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELA","Eligible For Lunch",81,"30.9%","61.2%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Math","Eligible For Lunch",81,"29.6%","49.7%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELA","Eligible For Lunch",89,"28.1%","53.9%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Math","Eligible For Lunch",89,"18.0%","46.4%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","ELA","Eligible For Lunch",213,"38.5%","60.1%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Math","Eligible For Lunch",213,"24.4%","44.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELA","Eligible For Lunch",165,"27.9%","54.0%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Math","Eligible For Lunch",164,"26.2%","50.1%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","ELA","Eligible For Lunch",219,"28.8%","52.5%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Math","Eligible For Lunch",219,"28.3%","49.3%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","ELA","Eligible For Lunch",261,"40.2%","64.7%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Math","Eligible For Lunch",261,"37.9%","58.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","ELA","Eligible For Lunch",360,"24.4%","49.8%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Math","Eligible For Lunch",393,"25.7%","47.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","ELA","Eligible For Lunch",199,"34.2%","59.6%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Math","Eligible For Lunch",199,"23.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","ELA","Eligible For Lunch",233,"42.1%","61.0%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Math","Eligible For Lunch",233,"46.4%","68.5%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","ELA","Eligible For Lunch",201,"38.3%","59.6%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Math","Eligible For Lunch",201,"30.8%","57.4%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","ELA","Eligible For Lunch",366,"26.2%","47.0%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Math","Eligible For Lunch",368,"28.5%","48.3%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","ELA","Eligible For Lunch",213,"22.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Math","Eligible For Lunch",218,"28.9%","49.2%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","ELA","Eligible For Lunch",211,"28.0%","51.2%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Math","Eligible For Lunch",211,"22.7%","44.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","ELA","Eligible For Lunch",331,"39.6%","63.0%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Math","Eligible For Lunch",332,"28.9%","49.9%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","ELA","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","ELA","Not Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Math","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Math","Not Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELA","Eligible For Lunch",272,"33.5%","52.5%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELA","Not Eligible For Lunch",388,"36.9%","57.7%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Math","Eligible For Lunch",276,"40.6%","58.0%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Math","Not Eligible For Lunch",388,"44.6%","64.9%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","ELA","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","ELA","Not Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Math","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Math","Not Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","ELA","Eligible For Lunch",34,"38.2%","70.2%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","ELA","Not Eligible For Lunch",81,"45.7%","73.6%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Math","Eligible For Lunch",34,"44.1%","69.2%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Math","Not Eligible For Lunch",81,"39.5%","63.0%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","ELA","Eligible For Lunch",58,"37.9%","58.0%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","ELA","Not Eligible For Lunch",50,"44.0%","64.0%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Math","Eligible For Lunch",61,"34.4%","68.9%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Math","Not Eligible For Lunch",50,"48.0%","78.4%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","ELA","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Math","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","ELA","Eligible For Lunch",235,"43.8%","67.4%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","ELA","Not Eligible For Lunch",204,"42.6%","63.2%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Math","Eligible For Lunch",237,"38.4%","64.2%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Math","Not Eligible For Lunch",205,"39.0%","61.6%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","ELA","Eligible For Lunch",43,"37.2%","60.3%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","ELA","Not Eligible For Lunch",89,"49.4%","69.9%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Math","Eligible For Lunch",45,"37.8%","57.2%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Math","Not Eligible For Lunch",89,"50.6%","78.9%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","ELA","Eligible For Lunch",49,"44.9%","65.5%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","ELA","Not Eligible For Lunch",68,"45.6%","66.9%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Math","Eligible For Lunch",50,"38.0%","72.5%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Math","Not Eligible For Lunch",68,"39.7%","66.4%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","ELA","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Math","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","ELA","Eligible For Lunch",135,"46.7%","66.3%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","ELA","Not Eligible For Lunch",260,"49.2%","70.6%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Math","Eligible For Lunch",135,"45.9%","65.2%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Math","Not Eligible For Lunch",261,"47.9%","68.5%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","ELA","Eligible For Lunch","*","*","*"
