"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","School Code","School","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Non-ELL",654,"51.8%","70.7%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELL","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Non-ELL","*","57.7%","80.5%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELL","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Non-ELL","*","45.0%","70.9%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELL","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Non-ELL","*","61.4%","84.6%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Non-ELL",167,"49.7%","69.7%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELL",9,"*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Non-ELL",604,"55.1%","73.0%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELL",12,"*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Non-ELL",384,"46.9%","69.0%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Non-ELL","*","34.2%","62.5%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Non-ELL",179,"34.6%","53.1%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Non-ELL","*","50.6%","68.5%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Non-ELL","*","32.3%","61.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Non-ELL",288,"55.9%","75.6%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELL","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Non-ELL","*","40.6%","61.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELL",11,"*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Non-ELL",830,"40.8%","59.3%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELL","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Non-ELL","*","43.5%","65.8%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELL","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Non-ELL","*","72.1%","93.4%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELL","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Non-ELL","*","48.7%","71.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELL",45,"40.0%","60.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Non-ELL",377,"50.7%","69.8%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","ELL",22,"13.6%","52.9%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Non-ELL",194,"25.3%","50.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","ELL",9,"*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Non-ELL",99,"27.3%","52.5%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","ELL",32,"21.9%","45.3%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Non-ELL",148,"41.2%","63.7%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","ELL",66,"27.3%","51.4%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Non-ELL",472,"34.3%","57.0%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Non-ELL",23,"17.4%","37.3%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","ELL",20,"30.0%","62.4%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Non-ELL",106,"32.1%","59.6%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","ELL",157,"24.2%","48.5%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Non-ELL",349,"29.8%","54.3%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","ELL",8,"*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Non-ELL",178,"37.1%","59.7%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","ELL",53,"41.5%","64.1%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Non-ELL",219,"40.6%","68.2%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","ELL",9,"*","*"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Non-ELL",135,"15.6%","34.4%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","ELL",43,"30.2%","62.0%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Non-ELL",306,"26.8%","50.3%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Non-ELL","*","15.4%","37.4%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Non-ELL","*","29.1%","53.7%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELL",45,"28.9%","59.0%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Non-ELL",281,"35.6%","59.2%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Non-ELL","*","29.1%","59.9%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Non-ELL","*","26.4%","52.6%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Non-ELL",213,"38.5%","60.1%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Non-ELL","*","28.0%","54.1%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Non-ELL","*","28.5%","52.2%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Non-ELL","*","40.1%","64.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","ELL",90,"21.1%","53.8%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Non-ELL",270,"25.6%","48.4%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","ELL",28,"39.3%","62.3%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Non-ELL",171,"33.3%","59.2%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","ELL",6,"*","*"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Non-ELL",227,"42.3%","60.7%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Non-ELL",201,"38.3%","59.6%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","ELL",29,"34.5%","51.2%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Non-ELL",337,"25.5%","46.6%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","ELL",22,"27.3%","54.1%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Non-ELL",191,"21.5%","44.7%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","ELL",19,"*","*"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Non-ELL",192,"28.6%","51.0%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","ELL",18,"*","*"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Non-ELL",313,"39.9%","63.5%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Non-ELL",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELL",13,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Non-ELL",647,"35.7%","55.5%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Non-ELL",7,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","ELL",9,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Non-ELL",106,"44.3%","72.6%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","ELL","*","*","*"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Non-ELL","*","40.0%","60.4%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Non-ELL","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","ELL",18,"*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Non-ELL",421,"43.2%","64.8%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","ELL","*","*","*"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Non-ELL","*","46.1%","67.0%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","ELL","*","*","*"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Non-ELL","*","45.2%","66.1%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Non-ELL","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","ELL",6,"*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Non-ELL",389,"48.6%","69.4%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Non-ELL","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","ELL","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Non-ELL","*","42.6%","69.9%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","Non-ELL","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","ELL","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Non-ELL","*","41.2%","68.0%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","ELL",13,"*","*"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Non-ELL",447,"45.9%","68.7%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","ELL",7,"*","*"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Non-ELL",197,"37.1%","62.0%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","ELL",7,"*","*"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Non-ELL",746,"45.3%","63.5%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","ELL","*","*","*"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Non-ELL","*","59.2%","82.8%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Non-ELL",351,"46.4%","66.0%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","ELL","*","*","*"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Non-ELL","*","56.8%","72.9%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Non-ELL",36,"41.7%","72.0%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Non-ELL",212,"44.8%","66.0%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","ELL","*","*","*"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Non-ELL","*","51.2%","72.6%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Non-ELL",270,"51.5%","69.0%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Non-ELL",88,"35.2%","56.8%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","ELL",14,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Non-ELL",313,"34.8%","54.3%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Non-ELL","*","30.3%","66.9%"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Non-ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","ELL",9,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Non-ELL",118,"49.2%","77.0%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","ELL",10,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Non-ELL",286,"44.4%","64.1%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Non-ELL","*","45.6%","70.1%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Non-ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","ELL",10,"*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Non-ELL",185,"40.0%","65.0%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","ELL",9,"*","*"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Non-ELL",286,"43.7%","62.6%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Non-ELL","*","44.7%","66.8%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Non-ELL","*","40.3%","69.9%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Non-ELL","*","42.0%","62.0%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Non-ELL","*","37.0%","68.4%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Non-ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Non-ELL",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","ELL",27,"29.6%","46.7%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Non-ELL",595,"34.6%","53.1%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Non-ELL","*","57.0%","78.2%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Non-ELL",43,"55.8%","79.0%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Non-ELL",152,"63.2%","81.3%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Non-ELL",697,"42.5%","58.3%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","ELL","*","*","*"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Non-ELL","*","56.9%","75.4%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","ELL","*","*","*"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Non-ELL","*","56.7%","75.0%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","ELL","*","*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Non-ELL","*","68.9%","87.2%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Non-ELL",100,"50.0%","68.6%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELL",8,"*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Non-ELL",293,"42.3%","67.4%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELL","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Non-ELL","*","43.9%","60.5%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELL",6,"*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Non-ELL",346,"54.0%","79.0%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELL","*","*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Non-ELL","*","45.4%","63.5%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Non-ELL",31,"61.3%","81.5%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Non-ELL",226,"47.8%","67.7%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Non-ELL",197,"40.1%","61.8%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELL","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Non-ELL","*","23.5%","48.9%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Non-ELL",45,"44.4%","64.7%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Non-ELL",373,"57.1%","77.8%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Non-ELL",233,"50.6%","74.8%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELL",6,"*","*"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Non-ELL",427,"52.9%","71.3%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELL",8,"*","*"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Non-ELL",308,"32.1%","59.4%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELL",101,"37.6%","62.2%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Non-ELL",761,"43.0%","63.5%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELL",35,"42.9%","63.0%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Non-ELL",74,"58.1%","78.6%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","ELL",8,"*","*"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Non-ELL",65,"44.6%","61.9%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","ELL",21,"61.9%","76.6%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Non-ELL",90,"51.1%","76.8%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","ELL",51,"31.4%","70.2%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Non-ELL",289,"41.9%","66.5%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","ELL",33,"60.6%","83.1%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Non-ELL",63,"50.8%","76.5%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","ELL",49,"36.7%","70.5%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Non-ELL",112,"64.3%","89.2%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","ELL",15,"*","*"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Non-ELL",90,"41.1%","66.4%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","ELL",135,"25.2%","53.8%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Non-ELL",643,"37.3%","56.4%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","ELL",25,"28.0%","61.9%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Non-ELL",126,"42.1%","65.9%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","ELL",31,"45.2%","73.6%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Non-ELL",78,"53.8%","80.1%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","ELL",27,"11.1%","47.3%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Non-ELL",126,"38.1%","66.4%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","ELL",9,"*","*"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Non-ELL",112,"51.8%","73.8%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","ELL",14,"*","*"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Non-ELL",463,"35.4%","54.7%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Non-ELL",176,"56.8%","77.5%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","ELL","*","*","*"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Non-ELL","*","60.9%","80.4%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","ELL","*","*","*"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Non-ELL","*","57.0%","72.4%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","Non-ELL",138,"62.3%","82.3%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","ELL","*","*","*"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Non-ELL","*","67.5%","86.2%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","Non-ELL",133,"68.4%","87.2%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","ELL","*","*","*"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","Non-ELL","*","48.6%","67.6%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","ELL","*","*","*"
"=""0370011""","Derby School District","=""0370611""","Bradley School","Non-ELL","*","40.7%","69.6%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","ELL","*","*","*"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","Non-ELL","*","28.1%","43.4%"
"=""0370011""","Derby School District","=""0370411""","Irving School","Non-ELL",102,"33.3%","62.0%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","Non-ELL",191,"34.6%","52.0%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","ELL","*","*","*"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","Non-ELL","*","50.0%","72.4%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","Non-ELL",391,"48.3%","64.5%"
"=""0420011""","East Hampton School District","=""0420311""","Center School","ELL","*","*","*"
"=""0420011""","East Hampton School District","=""0420311""","Center School","Non-ELL","*","35.4%","58.3%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","ELL","*","*","*"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","Non-ELL","*","33.9%","50.0%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","ELL",15,"*","*"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","Non-ELL",71,"33.8%","64.2%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","ELL",14,"*","*"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","Non-ELL",92,"28.3%","54.1%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","ELL",12,"*","*"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School","Non-ELL",79,"29.1%","60.0%"
