"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","School Code","School","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","High Needs",37,"51.4%","73.5%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Non-High Needs",42,"50.0%","71.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","High Needs",354,"47.2%","66.7%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Non-High Needs",68,"61.8%","80.2%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","High Needs",216,"24.1%","50.9%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","High Needs",108,"25.9%","51.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","High Needs",180,"37.8%","60.4%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","High Needs",538,"33.5%","56.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","High Needs",23,"17.4%","37.3%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","High Needs",126,"31.7%","60.1%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","High Needs",506,"28.1%","52.5%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","High Needs",186,"37.1%","60.2%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","High Needs",272,"40.8%","67.4%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","High Needs",144,"16.0%","34.9%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","High Needs",349,"27.2%","51.7%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","High Needs",146,"15.1%","36.8%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","High Needs",87,"28.7%","53.9%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","High Needs",326,"34.7%","59.1%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","High Needs",81,"30.9%","61.2%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","High Needs",89,"28.1%","53.9%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","High Needs",213,"38.5%","60.1%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","High Needs",165,"27.9%","54.0%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","High Needs",219,"28.8%","52.5%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","High Needs",261,"40.2%","64.7%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","High Needs",360,"24.4%","49.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","High Needs",199,"34.2%","59.6%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","High Needs",233,"42.1%","61.0%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","High Needs",201,"38.3%","59.6%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","High Needs",366,"26.2%","47.0%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","High Needs",213,"22.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","High Needs",211,"28.0%","51.2%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","High Needs",331,"39.6%","63.0%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","High Needs",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","High Needs",317,"31.9%","51.4%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Non-High Needs",343,"38.8%","59.3%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","High Needs",7,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","High Needs",42,"33.3%","68.1%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Non-High Needs",73,"49.3%","75.1%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","High Needs",60,"38.3%","58.1%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Non-High Needs",48,"43.8%","64.0%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","High Needs",257,"44.4%","67.5%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Non-High Needs",182,"41.8%","62.5%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","High Needs",53,"35.8%","58.7%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Non-High Needs",79,"51.9%","72.2%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","High Needs",60,"45.0%","65.1%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Non-High Needs",57,"45.6%","67.7%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","High Needs",166,"46.4%","66.0%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Non-High Needs",229,"49.8%","71.4%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","High Needs",63,"36.5%","66.3%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Non-High Needs",62,"48.4%","74.6%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","High Needs",84,"38.1%","65.6%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Non-High Needs",57,"45.6%","69.8%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","High Needs",278,"44.2%","68.9%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Non-High Needs",182,"47.8%","68.3%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","High Needs",43,"27.9%","54.9%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Non-High Needs",161,"39.1%","64.0%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","High Needs",132,"34.8%","52.5%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Non-High Needs",621,"47.7%","66.0%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","High Needs",26,"42.3%","75.2%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Non-High Needs",46,"69.6%","87.6%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","High Needs",112,"39.3%","63.3%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Non-High Needs",239,"49.8%","67.3%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","High Needs",8,"*","*"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Non-High Needs",31,"61.3%","77.1%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","High Needs",9,"*","*"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Non-High Needs",27,"44.4%","76.0%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","High Needs",77,"49.4%","70.8%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Non-High Needs",135,"42.2%","63.3%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","High Needs",75,"30.7%","57.7%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Non-High Needs",297,"56.2%","76.2%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","High Needs",62,"40.3%","61.3%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Non-High Needs",208,"54.8%","71.3%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","High Needs",58,"31.0%","52.1%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Non-High Needs",30,"43.3%","65.7%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","High Needs",169,"26.0%","48.0%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Non-High Needs",158,"42.4%","59.9%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","High Needs",16,"*","*"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Non-High Needs",18,"*","*"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","High Needs","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","High Needs",56,"33.9%","73.6%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Non-High Needs",71,"62.0%","80.1%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","High Needs",197,"42.6%","64.4%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Non-High Needs",99,"44.4%","60.9%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","High Needs",70,"38.6%","68.0%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Non-High Needs",48,"56.3%","73.1%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","High Needs","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","High Needs",126,"43.7%","67.3%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Non-High Needs",69,"36.2%","60.8%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","High Needs",157,"39.5%","59.0%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Non-High Needs",138,"46.4%","64.7%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","High Needs",47,"36.2%","59.2%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Non-High Needs",42,"50.0%","70.7%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","High Needs",46,"39.1%","71.1%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Non-High Needs",29,"44.8%","70.2%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","High Needs",96,"41.7%","59.8%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Non-High Needs",38,"42.1%","66.4%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","High Needs",69,"27.5%","62.9%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Non-High Needs",34,"52.9%","76.2%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","High Needs","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","High Needs",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","High Needs",321,"27.7%","46.6%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Non-High Needs",301,"41.5%","59.5%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","High Needs",71,"52.1%","72.2%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Non-High Needs",40,"65.0%","88.9%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","High Needs",27,"55.6%","79.2%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Non-High Needs",16,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","High Needs",26,"42.3%","65.2%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Non-High Needs",126,"67.5%","84.6%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","High Needs",109,"40.4%","60.0%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Non-High Needs",588,"42.9%","58.0%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","High Needs",47,"40.4%","60.4%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Non-High Needs",225,"60.0%","78.1%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","High Needs",60,"43.3%","73.3%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Non-High Needs",307,"59.0%","74.8%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","High Needs",25,"52.0%","78.8%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Non-High Needs",173,"71.1%","88.4%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","High Needs",26,"50.0%","72.0%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Non-High Needs",74,"50.0%","67.4%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","High Needs",91,"28.6%","58.1%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Non-High Needs",210,"48.1%","71.6%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","High Needs",132,"27.3%","48.5%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Non-High Needs",292,"51.0%","65.8%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","High Needs",94,"42.6%","72.7%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Non-High Needs",258,"58.1%","81.6%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","High Needs",162,"38.9%","60.7%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Non-High Needs",417,"47.7%","64.4%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","High Needs",10,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Non-High Needs",21,"66.7%","82.7%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","High Needs",60,"43.3%","69.3%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Non-High Needs",166,"49.4%","67.1%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","High Needs",76,"28.9%","52.5%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Non-High Needs",121,"47.1%","67.6%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","High Needs",70,"24.3%","50.4%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","High Needs",11,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Non-High Needs",34,"41.2%","61.3%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","High Needs",101,"49.5%","73.6%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Non-High Needs",272,"59.9%","79.4%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","High Needs",54,"35.2%","65.9%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Non-High Needs",179,"55.3%","77.5%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","High Needs",111,"46.8%","68.3%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Non-High Needs",322,"54.7%","72.3%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","High Needs",82,"31.7%","58.8%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Non-High Needs",234,"32.9%","59.7%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","High Needs",535,"42.4%","64.7%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Non-High Needs",327,"42.2%","61.1%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","High Needs",92,"52.2%","72.9%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Non-High Needs",17,"*","*"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","High Needs",34,"52.9%","71.1%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Non-High Needs",39,"38.5%","57.2%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","High Needs",86,"50.0%","74.3%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Non-High Needs",25,"64.0%","85.3%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","High Needs",178,"36.0%","66.9%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Non-High Needs",162,"45.1%","67.1%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","High Needs",85,"57.6%","81.8%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Non-High Needs",11,"*","*"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","High Needs",128,"54.7%","83.1%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Non-High Needs",33,"60.6%","85.1%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","High Needs",67,"29.9%","60.8%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Non-High Needs",38,"55.3%","76.3%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","High Needs",575,"32.0%","54.2%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Non-High Needs",203,"44.3%","60.8%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","High Needs",96,"37.5%","65.3%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Non-High Needs",55,"43.6%","65.1%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","High Needs",93,"49.5%","77.2%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Non-High Needs",16,"*","*"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","High Needs",91,"31.9%","62.7%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Non-High Needs",62,"35.5%","63.5%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","High Needs",36,"36.1%","54.9%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Non-High Needs",85,"55.3%","77.7%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","High Needs",211,"28.9%","47.6%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Non-High Needs",266,"40.6%","60.2%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","High Needs",30,"43.3%","62.3%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Non-High Needs",146,"59.6%","80.6%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","High Needs",21,"47.6%","66.3%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Non-High Needs",113,"63.7%","83.2%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","High Needs",177,"42.4%","63.0%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Non-High Needs",925,"59.8%","74.2%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","High Needs",20,"65.0%","85.2%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","Non-High Needs",118,"61.9%","81.8%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","High Needs",22,"72.7%","90.7%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Non-High Needs",102,"65.7%","85.2%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","High Needs",6,"*","*"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","Non-High Needs",127,"69.3%","88.3%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","High Needs",44,"31.8%","58.1%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","Non-High Needs",101,"56.4%","72.2%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","High Needs",56,"28.6%","58.7%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","Non-High Needs",64,"50.0%","78.0%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","High Needs",175,"26.3%","41.6%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","Non-High Needs",121,"29.8%","45.3%"
"=""0370011""","Derby School District","=""0370411""","Irving School","High Needs",88,"29.5%","58.6%"
"=""0370011""","Derby School District","=""0370411""","Irving School","Non-High Needs",14,"*","*"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","High Needs",45,"26.7%","48.2%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","Non-High Needs",146,"37.0%","53.2%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","High Needs",28,"28.6%","50.1%"
