"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","School Code","School","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School",63,"30.2%","66.4%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School",63,"73.0%","96.7%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School",78,"39.7%","69.7%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",422,"59.5%","77.8%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",216,"21.8%","44.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",108,"30.6%","53.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",182,"41.8%","63.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",552,"30.6%","52.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",23,"13.0%","32.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",129,"23.3%","47.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",560,"33.2%","54.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",186,"31.2%","52.8%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",275,"38.5%","61.8%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School",143,"17.5%","36.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School",348,"25.9%","46.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School",146,"9.6%","26.5%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School",87,"29.9%","54.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School",334,"32.9%","56.7%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School",81,"29.6%","49.7%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School",89,"18.0%","46.4%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School",213,"24.4%","44.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School",164,"26.2%","50.1%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School",219,"28.3%","49.3%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School",261,"37.9%","58.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School",393,"25.7%","47.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School",199,"23.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School",233,"46.4%","68.5%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School",201,"30.8%","57.4%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School",368,"28.5%","48.3%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School",218,"28.9%","49.2%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School",211,"22.7%","44.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School",332,"28.9%","49.9%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School",664,"42.9%","62.1%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal",6,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School",115,"40.9%","64.8%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School",111,"40.5%","73.2%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School",442,"38.7%","63.0%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School",134,"46.3%","71.6%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School",118,"39.0%","69.0%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School",396,"47.2%","67.4%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School",125,"35.2%","57.4%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School",142,"50.7%","77.8%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School",464,"45.7%","67.6%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School",203,"34.0%","62.7%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School",754,"48.8%","69.4%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School",73,"50.7%","82.1%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School",350,"36.0%","54.0%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School",39,"23.1%","45.3%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School",36,"55.6%","84.9%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School",212,"42.5%","64.7%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School",372,"51.3%","74.7%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School",270,"60.4%","79.1%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.",87,"13.8%","31.6%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering",311,"36.7%","53.5%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy",34,"35.3%","67.5%"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School",127,"45.7%","75.7%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle",289,"41.5%","61.2%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship",118,"40.7%","68.1%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy",196,"23.0%","42.9%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies",294,"33.3%","55.4%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School",89,"34.8%","57.2%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy",80,"48.8%","75.8%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy",129,"31.0%","49.2%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts",102,"39.2%","69.1%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School",621,"34.5%","52.7%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School",111,"68.5%","89.7%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School",42,"31.0%","43.8%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School",152,"70.4%","89.9%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School",698,"47.9%","64.1%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School",272,"47.4%","71.1%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School",367,"55.6%","77.7%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School",198,"62.1%","85.0%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School",100,"55.0%","74.4%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School",301,"51.2%","76.3%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School",426,"46.7%","65.1%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School",353,"58.6%","84.9%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School",578,"32.7%","47.8%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School",31,"35.5%","62.7%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School",225,"37.8%","61.3%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School",199,"40.7%","60.6%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program",69,"29.0%","50.3%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School",45,"46.7%","65.7%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School",372,"52.7%","73.3%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School",233,"51.1%","78.8%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School",432,"46.8%","66.5%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School",316,"25.6%","48.7%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School",851,"37.1%","56.4%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School",111,"66.7%","92.0%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School",89,"50.6%","76.5%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School",113,"57.5%","84.9%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School",343,"29.7%","56.1%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School",97,"64.9%","90.2%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School",167,"67.1%","88.5%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School",106,"36.8%","69.8%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School",810,"42.1%","60.9%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School",151,"51.0%","77.2%"
"=""0340011""","Danbury School District","=""0341011""","South Street School",111,"50.5%","78.3%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School",157,"35.7%","63.2%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School",121,"66.1%","88.8%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy",475,"34.3%","50.9%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School",176,"61.9%","82.1%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School",134,"54.5%","81.9%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School",1103,"72.6%","87.5%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School",139,"59.7%","81.3%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School",124,"62.1%","87.3%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School",133,"66.2%","87.6%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School",145,"51.0%","73.0%"
"=""0370011""","Derby School District","=""0370611""","Bradley School",121,"26.4%","59.7%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School",295,"22.0%","39.8%"
"=""0370011""","Derby School District","=""0370411""","Irving School",102,"20.6%","43.6%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School",191,"46.6%","64.9%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School",117,"56.4%","80.3%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School",389,"32.4%","52.4%"
"=""0420011""","East Hampton School District","=""0420311""","Center School",263,"48.7%","75.6%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School",380,"25.0%","41.1%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School",86,"24.4%","50.9%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School",107,"23.4%","48.5%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School",92,"14.1%","42.2%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School",171,"28.7%","57.0%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School",974,"29.0%","47.0%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School",107,"24.3%","50.7%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School",71,"36.6%","56.0%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School",81,"29.6%","63.2%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School",181,"14.9%","38.3%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School",67,"40.3%","69.4%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages",191,"22.0%","35.7%"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School",45,"37.8%","51.2%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy",210,"39.5%","65.4%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School",122,"54.1%","82.1%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School",97,"33.0%","64.2%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School",533,"35.3%","54.0%"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School",93,"30.1%","59.3%"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School",776,"49.1%","67.8%"
"=""0450011""","East Lyme School District","=""0450111""","Flanders School",85,"49.4%","77.6%"
"=""0450011""","East Lyme School District","=""0450411""","Lillie B. Haynes School",55,"63.6%","90.6%"
"=""0450011""","East Lyme School District","=""0450211""","Niantic Center School",40,"60.0%","87.7%"
"=""0470011""","East Windsor School District","=""0470111""","Broad Brook Elementary School","*","*","*"
"=""0470011""","East Windsor School District","=""0475411""","East Windsor Middle School","*","32.9%","56.3%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2539014""","EastConn Special Education",26,"23.1%","40.2%"
"=""0390011""","Eastford School District","=""0390111""","Eastford Elementary School",67,"47.8%","68.6%"
"=""0460011""","Easton School District","=""0465111""","Helen Keller Middle School",283,"64.7%","81.7%"
"=""0460011""","Easton School District","=""0460111""","Samuel Staples Elementary School",212,"68.9%","92.0%"
"=""2420014""","EdAdvance","=""2429014""","GFLC/ACCESS School","*","*","*"
"=""0480011""","Ellington School District","=""0480111""","Center School",61,"44.3%","80.5%"
"=""0480011""","Ellington School District","=""0480211""","Crystal Lake School",42,"40.5%","69.0%"
"=""0480011""","Ellington School District","=""0485111""","Ellington Middle School",399,"44.9%","65.4%"
"=""0480011""","Ellington School District","=""0480711""","Windermere Intermediate School",420,"48.6%","68.4%"
"=""0480011""","Ellington School District","=""0480611""","Windermere School",89,"60.7%","89.0%"
"=""2890013""","Elm City College Preparatory School District","=""2890113""","Elm City College Preparatory School",310,"46.5%","67.6%"
"=""0490011""","Enfield School District","=""0491311""","Edgar H. Parkman School","*","41.3%","63.1%"
"=""0490011""","Enfield School District","=""0491611""","Eli Whitney School",253,"49.8%","77.2%"
"=""0490011""","Enfield School District","=""0495211""","John F. Kennedy Middle School",985,"30.9%","52.1%"
"=""0490011""","Enfield School District","=""0490711""","Prudence Crandall - Educational Counseling Program (ECP)","*","*","*"
"=""0490011""","Enfield School District","=""0491511""","Prudence Crandall School",243,"27.6%","60.3%"
"=""0500011""","Essex School District","=""0500111""","Essex Elementary School",182,"58.8%","82.1%"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School",128,"59.4%","84.3%"
"=""0510011""","Fairfield School District","=""0510111""","Dwight Elementary School",104,"58.7%","84.9%"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School",826,"46.9%","64.5%"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School",123,"52.0%","76.0%"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School",125,"56.8%","86.6%"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School",138,"56.5%","86.6%"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School",149,"50.3%","72.9%"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School",158,"44.3%","69.2%"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School",176,"46.6%","76.9%"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School",140,"61.4%","90.4%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School",764,"52.9%","71.3%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School",152,"58.6%","81.9%"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School",165,"47.3%","73.5%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School",636,"37.1%","55.3%"
"=""0520011""","Farmington School District","=""0520411""","East Farms School",94,"76.6%","94.2%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School",591,"66.8%","82.6%"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School",76,"53.9%","85.0%"
"=""0520011""","Farmington School District","=""0520111""","Union School",71,"64.8%","88.9%"
"=""0520011""","Farmington School District","=""0520311""","West District School",66,"62.1%","89.0%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School",618,"62.6%","83.2%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School",88,"27.3%","47.6%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School",174,"59.8%","86.3%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","*","67.8%","89.0%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School",457,"62.1%","80.5%"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School",138,"53.6%","72.8%"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School",133,"66.2%","87.7%"
"=""0540011""","Glastonbury School District","=""0540111""","LINKS Academy","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School",130,"40.0%","69.8%"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School",174,"66.7%","88.5%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School",1002,"55.2%","73.2%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School",292,"40.8%","57.8%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School",202,"54.0%","80.3%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School",192,"65.1%","87.8%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School",203,"44.8%","62.8%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School",516,"39.1%","54.1%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School",138,"55.1%","79.6%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School",774,"68.0%","82.1%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School",144,"52.1%","73.3%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School",108,"37.0%","70.5%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee",123,"65.0%","83.3%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School",113,"47.8%","73.3%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School",72,"45.8%","71.6%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School",143,"62.9%","84.3%"
"=""0570011""","Greenwich School District","=""0570811""","North Street School",107,"49.5%","68.6%"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School",123,"67.5%","87.7%"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School",56,"55.4%","76.2%"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School",142,"59.2%","77.9%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School",494,"55.7%","73.4%"
"=""0580011""","Griswold School District","=""0580111""","Griswold Alternative School","*","*","*"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","*","32.6%","59.2%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School",502,"54.8%","73.4%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School",452,"50.2%","66.5%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School",98,"43.9%","74.1%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School",57,"59.6%","81.5%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School",100,"41.0%","67.8%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School",50,"54.0%","81.9%"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School",116,"70.7%","92.8%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School",72,"61.1%","80.2%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School",74,"56.8%","84.2%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School",376,"26.3%","42.6%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School",528,"55.5%","78.3%"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School",58,"44.8%","70.6%"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School",60,"40.0%","62.3%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School",523,"65.6%","82.7%"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School",65,"66.2%","88.6%"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School",65,"38.5%","52.2%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School",194,"36.6%","60.4%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School",110,"31.8%","55.1%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School",103,"32.0%","52.4%"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center",6,"*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School",715,"33.0%","47.3%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School",130,"36.9%","67.3%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School",113,"29.2%","54.1%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School",121,"47.9%","69.6%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School",153,"40.5%","66.6%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School",168,"46.4%","70.9%"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School",27,"55.6%","79.5%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy",222,"23.0%","43.8%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School",202,"32.2%","56.6%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School",290,"49.3%","69.7%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School",93,"37.6%","56.4%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School",163,"30.7%","51.3%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy",227,"29.1%","52.3%"
"=""0640011""","Hartford School District","=""0642311""","Burr School",252,"25.8%","49.2%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School",234,"28.6%","47.4%"
"=""0640011""","Hartford School District","=""0642411""","Clark School",105,"41.0%","63.5%"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School",261,"26.1%","43.5%"
"=""0640011""","Hartford School District","=""0645911""","EDP - M.D. Fox School",19,"*","*"
"=""0640011""","Hartford School District","=""0648111""","EDP - McDonough Middle School","*","*","*"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School",294,"43.2%","64.0%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School",151,"27.2%","59.6%"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy",241,"27.0%","48.6%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy",592,"34.1%","54.0%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School",258,"39.1%","63.4%"
"=""0640011""","Hartford School District","=""0649611""","LC - Burns School","*","*","*"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School",239,"35.6%","60.1%"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School",133,"36.1%","60.8%"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School",183,"33.3%","51.2%"
"=""0640011""","Hartford School District","=""0641911""","Milner School",135,"32.6%","52.1%"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher",73,"21.9%","43.0%"
"=""0640011""","Hartford School District","=""0640511""","Montessori Magnet at Moylan School",26,"23.1%","48.7%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy",273,"41.4%","63.9%"
