"Smarter Balanced Growth Report, 2015-16"
"All Districts, Race"

"District Code","District","School Code","School","Race/Ethnicity","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Black or African American",52,"30.8%","56.5%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","White",120,"38.3%","62.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Asian","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Two or More Races",9,"*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Hispanic/Latino of any race",67,"37.3%","60.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Black or African American",40,"35.0%","58.7%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","White",15,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Two or More Races",8,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Hispanic/Latino of any race",22,"40.9%","61.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Black or African American",43,"20.9%","45.7%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","American Indian or Alaska Native","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","White",218,"43.6%","62.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Asian",34,"55.9%","70.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Two or More Races",20,"50.0%","62.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Hispanic/Latino of any race",332,"33.1%","52.1%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Black or African American",90,"24.4%","44.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","American Indian or Alaska Native","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","White",73,"45.2%","70.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Asian","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Two or More Races",17,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Hispanic/Latino of any race",69,"33.3%","54.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Black or African American",163,"32.5%","51.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","White",173,"39.9%","56.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Asian","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Two or More Races","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Hispanic/Latino of any race",8,"*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Black or African American",6,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","White",381,"62.5%","79.6%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Asian",76,"86.8%","95.6%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Two or More Races",15,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Hispanic/Latino of any race",26,"46.2%","67.1%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Black or African American",20,"50.0%","66.5%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","White",69,"39.1%","70.6%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Asian",22,"68.2%","89.7%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Two or More Races","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Hispanic/Latino of any race","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Black or African American",7,"*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","White",63,"38.1%","61.2%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Asian",22,"77.3%","88.2%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Two or More Races","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Hispanic/Latino of any race","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Black or African American","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","American Indian or Alaska Native","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","White",372,"51.6%","71.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Asian",63,"82.5%","99.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Two or More Races","*","54.5%","77.1%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Hispanic/Latino of any race",34,"50.0%","67.8%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Black or African American",23,"39.1%","56.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","White",128,"33.6%","65.0%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Asian","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Two or More Races","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Black or African American","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","White","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","White",549,"43.4%","62.7%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Asian",21,"47.6%","80.1%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Two or More Races",25,"44.0%","67.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Hispanic/Latino of any race",55,"38.2%","53.6%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Black or African American",9,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","White",116,"50.0%","71.8%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Asian","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Two or More Races","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Hispanic/Latino of any race",16,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","American Indian or Alaska Native","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","White",168,"33.3%","65.2%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Asian","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Two or More Races",6,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Hispanic/Latino of any race",14,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Black or African American","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","White",74,"67.6%","87.4%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Asian","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Two or More Races","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Hispanic/Latino of any race",13,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Black or African American","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","American Indian or Alaska Native","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","White",142,"52.8%","76.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Asian",16,"*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Two or More Races","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Hispanic/Latino of any race",6,"*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Black or African American","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","White",432,"53.9%","74.9%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Asian",50,"64.0%","79.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Two or More Races",16,"*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Hispanic/Latino of any race",101,"50.5%","69.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Black or African American","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","White",290,"65.9%","87.7%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Asian",27,"70.4%","92.0%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Two or More Races","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Hispanic/Latino of any race",66,"65.2%","89.9%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Black or African American",8,"*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","White","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Asian","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Two or More Races",13,"*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Hispanic/Latino of any race",26,"46.2%","71.3%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Black or African American",157,"52.9%","75.4%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","White","*","*","*"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Asian","*","*","*"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Two or More Races",6,"*","*"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Hispanic/Latino of any race",15,"*","*"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Black or African American",157,"39.5%","57.8%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","American Indian or Alaska Native","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","White",23,"34.8%","51.1%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Asian","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Two or More Races","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Hispanic/Latino of any race",15,"*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Black or African American",39,"33.3%","51.7%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","White","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Asian","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Two or More Races",8,"*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Hispanic/Latino of any race",9,"*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Black or African American",78,"50.0%","77.3%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","White",234,"53.0%","70.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Asian","*","*","*"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Two or More Races","*","*","*"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Hispanic/Latino of any race",19,"*","*"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Black or African American",23,"34.8%","73.5%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","White",92,"42.4%","69.5%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Asian","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Hispanic/Latino of any race","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Black or African American",8,"*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","White",653,"41.2%","60.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Asian",60,"50.0%","69.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Two or More Races",14,"*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Hispanic/Latino of any race",84,"31.0%","51.8%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Black or African American",30,"33.3%","45.7%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","American Indian or Alaska Native","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","White",44,"27.3%","64.9%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Asian","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Two or More Races","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Hispanic/Latino of any race",8,"*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Black or African American","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","American Indian or Alaska Native","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","White",52,"75.0%","98.2%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Asian","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Two or More Races","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Hispanic/Latino of any race","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Black or African American","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","White",54,"31.5%","63.2%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Asian",13,"*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Two or More Races","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Hispanic/Latino of any race",6,"*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Black or African American","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","American Indian or Alaska Native","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","White","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Asian",7,"*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Two or More Races","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Hispanic/Latino of any race",172,"61.6%","79.3%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Black or African American",234,"57.7%","76.7%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","White","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Hispanic/Latino of any race",150,"22.7%","45.5%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Black or African American",56,"16.1%","38.7%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","White","*","*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Hispanic/Latino of any race",57,"35.1%","58.2%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Black or African American",45,"22.2%","44.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","White",61,"44.3%","72.4%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Hispanic/Latino of any race",93,"44.1%","59.9%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Black or African American",26,"30.8%","53.7%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","White",95,"26.3%","50.4%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Asian",20,"35.0%","55.5%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Hispanic/Latino of any race",270,"32.2%","53.7%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Black or African American",159,"30.2%","50.8%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","White","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Hispanic/Latino of any race",12,"*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Black or African American","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","White",8,"*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Asian",9,"*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Hispanic/Latino of any race",67,"28.4%","50.0%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Black or African American",43,"16.3%","39.2%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","White",29,"34.5%","46.7%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Asian",18,"*","*"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Hispanic/Latino of any race",393,"32.6%","52.7%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Black or African American",118,"34.7%","56.6%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","White",8,"*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Hispanic/Latino of any race",58,"39.7%","59.0%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Black or African American",112,"25.0%","47.5%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","White","*","*","*"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Hispanic/Latino of any race",162,"38.3%","64.6%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Black or African American",94,"37.2%","56.9%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","White",7,"*","*"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Hispanic/Latino of any race",67,"16.4%","36.0%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Black or African American",67,"19.4%","34.6%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","White",18,"*","*"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Asian",18,"*","*"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Hispanic/Latino of any race",153,"27.5%","46.9%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Black or African American",155,"22.6%","43.0%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","White","*","*","*"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Hispanic/Latino of any race","*","10.0%","25.9%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Black or African American",83,"8.4%","26.5%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","White",7,"*","*"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Hispanic/Latino of any race",33,"24.2%","48.7%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Black or African American",43,"30.2%","56.0%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","White",19,"*","*"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Asian",14,"*","*"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Hispanic/Latino of any race",204,"35.8%","57.4%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Black or African American",92,"29.3%","54.2%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","White","*","*","*"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Hispanic/Latino of any race","*","36.1%","55.0%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Black or African American",42,"23.8%","43.6%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","White",8,"*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Hispanic/Latino of any race",31,"16.1%","45.0%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Black or African American",47,"21.3%","50.1%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","White",16,"*","*"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Hispanic/Latino of any race",78,"26.9%","45.7%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Black or African American",111,"22.5%","42.9%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","White",18,"*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Hispanic/Latino of any race",90,"23.3%","48.8%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Black or African American",52,"28.8%","53.7%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","White",68,"25.0%","45.2%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Asian","*","*","*"
