"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","School Code","School","Subject","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Non-High Needs",102,"38.2%","70.1%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","ELA","High Needs","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Math","High Needs","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","High Needs",135,"45.2%","63.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Non-High Needs",525,"53.3%","72.3%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","High Needs",134,"32.8%","50.7%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Non-High Needs",525,"45.7%","65.7%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","High Needs",35,"45.7%","75.3%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Non-High Needs",106,"61.3%","82.0%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","High Needs",35,"40.0%","57.7%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Non-High Needs",106,"54.7%","74.9%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","High Needs",36,"38.9%","74.4%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Non-High Needs",158,"45.6%","70.2%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","High Needs",36,"36.1%","65.2%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Non-High Needs",158,"34.8%","66.7%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","High Needs",20,"45.0%","72.3%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Non-High Needs",71,"64.8%","86.3%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","High Needs",20,"65.0%","88.3%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Non-High Needs",71,"66.2%","86.6%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","High Needs",32,"37.5%","65.6%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Non-High Needs",135,"52.6%","70.7%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","High Needs",32,"43.8%","66.3%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Non-High Needs",135,"58.5%","81.6%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","High Needs",183,"43.7%","63.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Non-High Needs",430,"59.1%","76.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","High Needs",184,"40.8%","61.2%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Non-High Needs",429,"59.7%","79.4%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","High Needs",115,"44.3%","65.3%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Non-High Needs",281,"47.0%","69.5%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","High Needs",116,"61.2%","83.6%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Non-High Needs",280,"67.9%","90.8%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","High Needs",126,"38.1%","64.5%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Non-High Needs",78,"28.2%","59.0%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","High Needs",126,"50.8%","73.1%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","Non-High Needs",78,"52.6%","78.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA","High Needs",101,"35.6%","52.3%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA","Non-High Needs",78,"33.3%","54.0%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","High Needs",102,"31.4%","48.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","Non-High Needs",78,"44.9%","64.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","High Needs",40,"42.5%","57.7%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","Non-High Needs",40,"57.5%","77.8%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","High Needs",40,"27.5%","42.6%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","Non-High Needs",40,"32.5%","49.4%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","High Needs",60,"26.7%","57.5%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","Non-High Needs",37,"40.5%","68.4%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","High Needs",61,"50.8%","78.8%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","Non-High Needs",37,"43.2%","76.7%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA","High Needs",72,"31.9%","57.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA","Non-High Needs",216,"63.9%","81.6%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math","High Needs",72,"51.4%","72.7%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math","Non-High Needs",216,"50.5%","70.5%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","High Needs",37,"35.1%","51.5%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","Non-High Needs",70,"42.9%","65.9%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","High Needs",37,"48.6%","72.3%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","Non-High Needs",70,"45.7%","73.4%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","High Needs",277,"36.5%","56.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","Non-High Needs",564,"43.1%","60.9%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","High Needs",278,"34.2%","53.6%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","Non-High Needs",563,"43.3%","62.5%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","High Needs",17,"*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","Non-High Needs",46,"47.8%","69.7%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","High Needs",17,"*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","Non-High Needs",46,"32.6%","68.7%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","High Needs",11,"*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","Non-High Needs",52,"71.2%","91.7%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","High Needs",11,"*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","Non-High Needs",52,"73.1%","96.2%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","High Needs",37,"51.4%","73.5%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","Non-High Needs",42,"50.0%","71.8%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","High Needs",36,"50.0%","71.5%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","Non-High Needs",42,"31.0%","68.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","High Needs",354,"47.2%","66.7%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","Non-High Needs",68,"61.8%","80.2%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","High Needs",354,"59.6%","77.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","Non-High Needs",68,"58.8%","78.9%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","ELA","High Needs",216,"24.1%","50.9%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Math","High Needs",216,"21.8%","44.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","ELA","High Needs",108,"25.9%","51.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Math","High Needs",108,"30.6%","53.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","ELA","High Needs",180,"37.8%","60.4%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Math","High Needs",182,"41.8%","63.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","ELA","High Needs",538,"33.5%","56.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Math","High Needs",552,"30.6%","52.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","ELA","High Needs",23,"17.4%","37.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Math","High Needs",23,"13.0%","32.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","ELA","High Needs",126,"31.7%","60.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Math","High Needs",129,"23.3%","47.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","ELA","High Needs",506,"28.1%","52.5%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Math","High Needs",560,"33.2%","54.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","ELA","High Needs",186,"37.1%","60.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Math","High Needs",186,"31.2%","52.8%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","ELA","High Needs",272,"40.8%","67.4%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Math","High Needs",275,"38.5%","61.8%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","ELA","High Needs",144,"16.0%","34.9%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Math","High Needs",143,"17.5%","36.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","ELA","High Needs",349,"27.2%","51.7%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Math","High Needs",348,"25.9%","46.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","ELA","High Needs",146,"15.1%","36.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Math","High Needs",146,"9.6%","26.5%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","ELA","High Needs",87,"28.7%","53.9%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Math","High Needs",87,"29.9%","54.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELA","High Needs",326,"34.7%","59.1%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Math","High Needs",334,"32.9%","56.7%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELA","High Needs",81,"30.9%","61.2%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Math","High Needs",81,"29.6%","49.7%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELA","High Needs",89,"28.1%","53.9%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Math","High Needs",89,"18.0%","46.4%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","ELA","High Needs",213,"38.5%","60.1%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Math","High Needs",213,"24.4%","44.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELA","High Needs",165,"27.9%","54.0%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Math","High Needs",164,"26.2%","50.1%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","ELA","High Needs",219,"28.8%","52.5%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Math","High Needs",219,"28.3%","49.3%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","ELA","High Needs",261,"40.2%","64.7%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Math","High Needs",261,"37.9%","58.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","ELA","High Needs",360,"24.4%","49.8%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Math","High Needs",393,"25.7%","47.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","ELA","High Needs",199,"34.2%","59.6%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Math","High Needs",199,"23.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","ELA","High Needs",233,"42.1%","61.0%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Math","High Needs",233,"46.4%","68.5%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","ELA","High Needs",201,"38.3%","59.6%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Math","High Needs",201,"30.8%","57.4%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","ELA","High Needs",366,"26.2%","47.0%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Math","High Needs",368,"28.5%","48.3%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","ELA","High Needs",213,"22.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Math","High Needs",218,"28.9%","49.2%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","ELA","High Needs",211,"28.0%","51.2%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Math","High Needs",211,"22.7%","44.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","ELA","High Needs",331,"39.6%","63.0%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Math","High Needs",332,"28.9%","49.9%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","ELA","High Needs",9,"*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Math","High Needs",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELA","High Needs",317,"31.9%","51.4%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELA","Non-High Needs",343,"38.8%","59.3%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Math","High Needs",322,"41.0%","58.8%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Math","Non-High Needs",342,"44.7%","65.1%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","ELA","High Needs",7,"*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Math","High Needs",6,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","ELA","High Needs",42,"33.3%","68.1%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","ELA","Non-High Needs",73,"49.3%","75.1%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Math","High Needs",42,"45.2%","68.2%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Math","Non-High Needs",73,"38.4%","62.9%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","ELA","High Needs",60,"38.3%","58.1%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","ELA","Non-High Needs",48,"43.8%","64.0%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Math","High Needs",63,"34.9%","68.9%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Math","Non-High Needs",48,"47.9%","78.8%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","ELA","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Math","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","ELA","High Needs",257,"44.4%","67.5%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","ELA","Non-High Needs",182,"41.8%","62.5%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Math","High Needs",260,"37.7%","63.1%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Math","Non-High Needs",182,"40.1%","62.8%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","ELA","High Needs",53,"35.8%","58.7%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","ELA","Non-High Needs",79,"51.9%","72.2%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Math","High Needs",55,"38.2%","60.3%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Math","Non-High Needs",79,"51.9%","79.5%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","ELA","High Needs",60,"45.0%","65.1%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","ELA","Non-High Needs",57,"45.6%","67.7%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Math","High Needs",61,"37.7%","69.6%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Math","Non-High Needs",57,"40.4%","68.2%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","ELA","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Math","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","ELA","High Needs",166,"46.4%","66.0%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","ELA","Non-High Needs",229,"49.8%","71.4%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Math","High Needs",167,"46.1%","65.7%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Math","Non-High Needs",229,"48.0%","68.6%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","ELA","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Math","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","ELA","High Needs",63,"36.5%","66.3%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","ELA","Non-High Needs",62,"48.4%","74.6%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Math","High Needs",63,"23.8%","49.7%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Math","Non-High Needs",62,"46.8%","65.2%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","ELA","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","Math","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","ELA","High Needs",84,"38.1%","65.6%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","ELA","Non-High Needs",57,"45.6%","69.8%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Math","High Needs",85,"48.2%","77.7%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Math","Non-High Needs",57,"54.4%","78.0%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","ELA","High Needs",278,"44.2%","68.9%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","ELA","Non-High Needs",182,"47.8%","68.3%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Math","High Needs",282,"42.2%","64.1%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Math","Non-High Needs",182,"51.1%","73.1%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","ELA","High Needs",43,"27.9%","54.9%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","ELA","Non-High Needs",161,"39.1%","64.0%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Math","High Needs",42,"52.4%","79.9%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Math","Non-High Needs",161,"29.2%","58.2%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","ELA","High Needs",132,"34.8%","52.5%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","ELA","Non-High Needs",621,"47.7%","66.0%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Math","High Needs",134,"44.0%","64.5%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Math","Non-High Needs",620,"49.8%","70.4%"
