"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","School Code","School","Subject","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Non-Special Education",360,"66.4%","89.0%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Special Education",36,"27.8%","62.4%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Non-Special Education",168,"35.7%","62.4%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","Special Education",36,"30.6%","48.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","Non-Special Education",168,"56.0%","80.9%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA","Special Education",25,"24.0%","51.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA","Non-Special Education",154,"36.4%","53.3%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","Special Education",25,"20.0%","38.7%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","Non-Special Education",155,"40.0%","58.2%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","Special Education",8,"*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","Non-Special Education",72,"51.4%","69.2%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","Special Education",8,"*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","Non-Special Education",72,"29.2%","44.6%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","Special Education",12,"*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","Non-Special Education",85,"34.1%","63.2%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","Special Education",12,"*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","Non-Special Education",86,"48.8%","78.7%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA","Special Education",34,"26.5%","53.2%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA","Non-Special Education",254,"59.8%","78.5%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math","Special Education",34,"55.9%","76.3%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math","Non-Special Education",254,"50.0%","70.3%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","Special Education",17,"*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","Non-Special Education",90,"45.6%","66.4%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","Special Education",17,"*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","Non-Special Education",90,"47.8%","75.5%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","Special Education",103,"31.1%","53.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","Non-Special Education",738,"42.3%","60.2%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","Special Education",102,"35.3%","53.8%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","Non-Special Education",739,"41.0%","60.4%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","Special Education","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","Non-Special Education","*","46.7%","67.7%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","Special Education","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","Non-Special Education","*","30.0%","65.6%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","Special Education",6,"*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","Non-Special Education",57,"73.7%","93.3%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","Special Education",6,"*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","Non-Special Education",57,"73.7%","96.8%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","Special Education",9,"*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","Non-Special Education",70,"51.4%","73.5%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","Special Education",8,"*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","Non-Special Education",70,"41.4%","70.0%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","Special Education",38,"47.4%","71.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","Non-Special Education",384,"49.7%","68.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","Special Education",38,"36.8%","60.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","Non-Special Education",384,"61.7%","79.5%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","ELA","Special Education",52,"17.3%","41.4%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","ELA","Non-Special Education",164,"26.2%","53.9%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Math","Special Education",52,"23.1%","50.0%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Math","Non-Special Education",164,"21.3%","42.9%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","ELA","Special Education",18,"*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","ELA","Non-Special Education",90,"28.9%","55.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Math","Special Education",18,"*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Math","Non-Special Education",90,"33.3%","58.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","ELA","Special Education",27,"29.6%","56.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","ELA","Non-Special Education",153,"39.2%","61.1%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Math","Special Education",27,"33.3%","52.2%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Math","Non-Special Education",155,"43.2%","65.2%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","ELA","Special Education",57,"33.3%","57.1%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","ELA","Non-Special Education",481,"33.5%","56.2%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Math","Special Education",57,"31.6%","49.7%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Math","Non-Special Education",495,"30.5%","52.6%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","ELA","Special Education",23,"17.4%","37.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Math","Special Education",23,"13.0%","32.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","ELA","Special Education",16,"*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","ELA","Non-Special Education",110,"35.5%","61.6%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Math","Special Education",16,"*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Math","Non-Special Education",113,"23.0%","47.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","ELA","Special Education",64,"20.3%","46.7%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","ELA","Non-Special Education",442,"29.2%","53.3%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Math","Special Education",65,"33.8%","52.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Math","Non-Special Education",495,"33.1%","54.5%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","ELA","Special Education",17,"*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","ELA","Non-Special Education",169,"38.5%","61.6%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Math","Special Education",17,"*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Math","Non-Special Education",169,"33.7%","55.6%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","ELA","Special Education",23,"39.1%","70.6%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","ELA","Non-Special Education",249,"41.0%","67.1%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Math","Special Education",23,"26.1%","44.5%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Math","Non-Special Education",252,"39.7%","63.4%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","ELA","Special Education",38,"13.2%","28.8%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","ELA","Non-Special Education",106,"17.0%","37.1%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Math","Special Education",38,"21.1%","36.9%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Math","Non-Special Education",105,"16.2%","35.9%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","ELA","Special Education",58,"19.0%","38.0%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","ELA","Non-Special Education",291,"28.9%","54.5%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Math","Special Education",57,"28.1%","50.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Math","Non-Special Education",291,"25.4%","46.1%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","ELA","Special Education",17,"*","*"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","ELA","Non-Special Education",129,"13.2%","34.6%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Math","Special Education",17,"*","*"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Math","Non-Special Education",129,"8.5%","24.4%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","ELA","Special Education",24,"20.8%","52.8%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","ELA","Non-Special Education",63,"31.7%","54.3%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Math","Special Education",24,"41.7%","62.2%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Math","Non-Special Education",63,"25.4%","51.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELA","Special Education",46,"23.9%","45.5%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELA","Non-Special Education",280,"36.4%","61.4%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Math","Special Education",46,"37.0%","53.3%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Math","Non-Special Education",288,"32.3%","57.2%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELA","Special Education",9,"*","*"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELA","Non-Special Education",72,"31.9%","61.8%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Math","Special Education",9,"*","*"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Math","Non-Special Education",72,"29.2%","49.1%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELA","Special Education",17,"*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELA","Non-Special Education",72,"26.4%","54.8%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Math","Special Education",17,"*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Math","Non-Special Education",72,"16.7%","46.5%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","ELA","Special Education",24,"33.3%","51.3%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","ELA","Non-Special Education",189,"39.2%","61.2%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Math","Special Education",24,"20.8%","40.0%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Math","Non-Special Education",189,"24.9%","45.0%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELA","Special Education",28,"21.4%","49.6%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELA","Non-Special Education",137,"29.2%","54.9%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Math","Special Education",27,"51.9%","67.9%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Math","Non-Special Education",137,"21.2%","46.6%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","ELA","Special Education",16,"*","*"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","ELA","Non-Special Education",203,"30.0%","53.8%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Math","Special Education",16,"*","*"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Math","Non-Special Education",203,"29.6%","50.1%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","ELA","Special Education",48,"31.3%","51.9%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","ELA","Non-Special Education",213,"42.3%","67.6%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Math","Special Education",48,"33.3%","44.4%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Math","Non-Special Education",213,"39.0%","61.7%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","ELA","Special Education",65,"21.5%","38.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","ELA","Non-Special Education",295,"25.1%","52.2%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Math","Special Education",66,"25.8%","49.8%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Math","Non-Special Education",327,"25.7%","47.4%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","ELA","Special Education",38,"18.4%","42.2%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","ELA","Non-Special Education",161,"37.9%","63.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Math","Special Education",38,"31.6%","53.1%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Math","Non-Special Education",161,"21.1%","44.0%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","ELA","Special Education",6,"*","*"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","ELA","Non-Special Education",227,"42.7%","61.6%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Math","Special Education",6,"*","*"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Math","Non-Special Education",227,"47.6%","69.1%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","ELA","Non-Special Education",201,"38.3%","59.6%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Math","Non-Special Education",201,"30.8%","57.4%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","ELA","Special Education",49,"36.7%","54.9%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","ELA","Non-Special Education",317,"24.6%","45.8%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Math","Special Education",49,"24.5%","46.3%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Math","Non-Special Education",319,"29.2%","48.6%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","ELA","Special Education",35,"11.4%","32.2%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","ELA","Non-Special Education",178,"24.2%","48.3%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Math","Special Education",35,"42.9%","60.4%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Math","Non-Special Education",183,"26.2%","47.0%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","ELA","Special Education",33,"12.1%","43.9%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","ELA","Non-Special Education",178,"30.9%","52.5%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Math","Special Education",33,"30.3%","55.3%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Math","Non-Special Education",178,"21.3%","42.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","ELA","Special Education",33,"30.3%","51.8%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","ELA","Non-Special Education",298,"40.6%","64.3%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Math","Special Education",33,"21.2%","41.7%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Math","Non-Special Education",299,"29.8%","50.8%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","ELA","Special Education",9,"*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Math","Special Education",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELA","Special Education",114,"26.3%","48.9%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELA","Non-Special Education",546,"37.4%","56.9%"
