"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,240,2497,2495,-2,"21.3%","38.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,240,2500,2523,23,"32.1%","53.7%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,214,2526,2543,17,"32.7%","50.6%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,69,2398,2435,37,"33.3%","54.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,69,2427,2473,46,"27.5%","61.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,71,2486,2522,36,"45.1%","64.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,59,2509,2556,47,"47.5%","70.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,66,2531,2564,32,"34.8%","59.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,41,2460,2500,40,"39.0%","60.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,37,2552,2563,12,"37.8%","55.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,36,2493,2516,23,"33.3%","52.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,46,2537,2568,31,"41.3%","62.6%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,34,2551,2585,34,"35.3%","64.3%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,256,2596,2634,38,"59.0%","75.4%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,262,2612,2636,23,"50.0%","64.7%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,102,2506,2546,41,"50.0%","70.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,99,2500,2551,50,"56.6%","74.6%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,256,2527,2569,42,"53.5%","73.1%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,258,2571,2611,40,"63.2%","80.1%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"*",2439,2495,56,"54.5%","75.7%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,44,2518,2551,33,"40.9%","68.5%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,44,2543,2578,35,"38.6%","64.8%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School",4,"*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,208,2525,2561,36,"51.0%","69.9%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,242,2549,2588,39,"49.2%","68.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,210,2565,2604,40,"55.2%","73.1%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,58,2435,2511,76,"65.5%","88.3%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,83,2509,2563,54,"51.8%","74.8%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,87,2433,2485,52,"40.2%","68.7%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",5,107,2493,2545,52,"47.7%","72.8%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",4,38,2429,2505,76,"63.2%","87.4%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",5,53,2479,2551,71,"58.5%","80.3%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",4,50,2431,2502,71,"58.0%","85.1%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",5,56,2522,2569,47,"53.6%","73.8%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",6,61,2536,2551,15,"39.3%","53.3%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",6,176,2550,2587,37,"57.4%","74.7%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",7,231,2564,2601,37,"52.4%","71.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",8,206,2587,2625,38,"54.4%","71.8%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",4,197,2455,2501,46,"44.7%","68.6%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",5,199,2497,2540,43,"47.7%","67.9%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School",5,113,2469,2504,35,"24.8%","56.7%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School",6,91,2490,2528,38,"46.2%","69.5%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School",7,88,2520,2533,13,"25.0%","39.5%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School",8,91,2517,2549,33,"44.0%","66.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",6,21,2492,2523,31,"42.9%","61.6%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",7,27,2487,2540,52,"51.9%","66.2%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",8,32,2542,2595,53,"53.1%","73.1%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School",4,97,2415,2461,46,"32.0%","61.7%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",4,53,2472,2541,69,"62.3%","89.2%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",5,65,2512,2557,45,"53.8%","72.9%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",6,61,2565,2597,31,"55.7%","70.6%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",7,60,2559,2599,40,"53.3%","74.3%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",8,49,2568,2613,45,"55.1%","71.9%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",4,21,2406,2444,38,"28.6%","53.2%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",5,29,2461,2503,41,"37.9%","69.3%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",6,21,2491,2519,28,"47.6%","58.0%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",7,16,"*","*","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",8,20,2555,2598,43,"45.0%","66.1%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",5,213,2500,2544,44,"42.7%","67.0%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",6,204,2513,2536,23,"39.2%","54.5%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",7,202,2548,2587,39,"49.0%","67.0%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",8,222,2576,2588,11,"33.3%","49.6%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School",4,63,2465,2505,41,"44.4%","66.5%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School",4,63,2460,2541,81,"73.0%","94.0%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School",4,79,2429,2478,50,"50.6%","72.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",4,86,2390,2500,110,"80.2%","95.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",5,82,2455,2476,22,"25.6%","43.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",6,86,2450,2486,36,"43.0%","63.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",7,83,2496,2523,27,"31.3%","49.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",8,85,2511,2587,76,"65.9%","90.4%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",4,46,2365,2375,10,"4.3%","29.6%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",5,56,2371,2409,38,"23.2%","56.3%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",6,29,2410,2476,66,"58.6%","81.3%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",7,38,2452,2482,31,"23.7%","53.5%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",8,47,2466,2480,14,"23.4%","44.4%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",4,48,2348,2367,19,"14.6%","38.2%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",5,34,2424,2472,49,"35.3%","62.3%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",6,26,2434,2474,40,"34.6%","62.1%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",4,46,2382,2422,41,"30.4%","55.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",5,38,2426,2501,74,"60.5%","89.1%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",6,24,2463,2458,-5,"20.8%","35.3%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",7,30,2506,2545,39,"46.7%","68.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",8,42,2514,2531,16,"28.6%","48.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",4,108,2355,2386,31,"22.2%","46.5%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",5,86,2381,2426,45,"30.2%","59.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",6,87,2410,2446,36,"32.2%","54.5%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",7,129,2466,2516,50,"48.8%","70.6%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",8,128,2493,2519,25,"30.5%","49.4%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",4,"*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",5,8,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",6,"*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",7,"*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",8,6,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",4,50,2345,2394,48,"28.0%","57.0%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",5,45,2396,2444,48,"35.6%","65.3%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",6,31,2396,2437,41,"32.3%","57.4%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",4,105,2336,2365,29,"15.2%","47.1%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",5,104,2366,2403,36,"27.9%","51.3%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",6,95,2398,2433,35,"35.8%","56.5%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",7,95,2429,2472,44,"36.8%","59.3%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",8,107,2446,2463,17,"26.2%","49.4%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",4,43,2385,2431,46,"30.2%","58.0%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",5,41,2457,2479,22,"26.8%","46.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",6,35,2476,2511,35,"48.6%","70.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",7,34,2510,2553,43,"47.1%","72.1%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",8,33,2561,2581,20,"36.4%","57.8%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",4,78,2329,2388,59,"38.5%","61.9%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",5,68,2363,2436,73,"45.6%","75.4%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",6,41,2410,2460,50,"41.5%","65.5%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",7,41,2432,2482,51,"41.5%","68.7%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",8,44,2448,2491,42,"36.4%","65.1%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School",4,28,2353,2383,30,"14.3%","46.3%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School",5,34,2402,2427,25,"23.5%","40.6%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School",6,20,2410,2398,-13,"15.0%","24.9%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School",7,23,2443,2441,-2,"13.0%","29.7%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School",8,39,2451,2456,5,"12.8%","29.9%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School",4,65,2342,2386,44,"27.7%","56.5%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School",5,57,2381,2418,37,"26.3%","52.8%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School",6,63,2410,2441,32,"27.0%","54.3%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School",7,78,2430,2451,22,"23.1%","43.8%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School",8,86,2455,2483,28,"31.4%","52.9%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School",4,38,2360,2372,12,"15.8%","36.4%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School",5,32,2362,2385,23,"6.3%","42.2%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School",6,15,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School",7,25,2453,2459,6,"20.0%","33.1%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School",8,36,2489,2485,-4,"19.4%","34.0%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School",4,41,2325,2366,41,"24.4%","52.6%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School",5,28,2391,2432,41,"32.1%","57.2%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School",6,18,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School",4,69,2376,2413,37,"24.6%","51.5%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School",5,68,2406,2435,29,"16.2%","45.9%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School",6,66,2431,2473,42,"40.9%","65.9%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School",7,61,2459,2501,43,"44.3%","60.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School",8,62,2499,2543,44,"50.0%","73.9%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School",4,37,2360,2395,35,"18.9%","54.6%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School",5,26,2390,2427,37,"26.9%","56.4%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School",6,18,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School",4,44,2352,2389,37,"25.0%","51.8%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School",5,21,2365,2437,72,"42.9%","72.7%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School",6,24,2464,2484,20,"20.8%","41.1%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School",4,44,2424,2463,38,"27.3%","54.9%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School",5,39,2447,2499,52,"53.8%","76.3%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School",6,40,2537,2567,30,"47.5%","61.8%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School",7,41,2509,2549,41,"36.6%","60.4%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School",8,49,2556,2573,17,"30.6%","50.1%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School",4,39,2407,2456,49,"30.8%","65.1%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School",5,31,2427,2448,21,"12.9%","37.2%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School",6,24,2479,2482,3,"25.0%","46.1%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School",7,34,2454,2483,29,"20.6%","52.9%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School",8,37,2474,2503,29,"45.9%","62.5%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School",4,44,2445,2475,29,"27.3%","55.1%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School",5,42,2442,2473,30,"21.4%","50.7%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School",6,41,2472,2497,25,"29.3%","52.5%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School",7,48,2507,2526,18,"31.3%","48.5%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School",8,44,2542,2565,23,"34.1%","55.9%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School",4,38,2353,2380,27,"21.1%","43.9%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School",5,45,2365,2427,62,"42.2%","71.8%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School",6,49,2392,2468,77,"63.3%","83.7%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School",7,58,2444,2497,53,"41.4%","72.1%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School",8,71,2466,2493,27,"32.4%","52.3%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School",4,76,2312,2349,37,"21.1%","49.3%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School",5,69,2330,2382,52,"31.9%","59.8%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School",6,67,2368,2395,27,"22.4%","44.2%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School",7,78,2415,2431,17,"15.4%","39.4%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School",8,70,2411,2444,33,"32.9%","57.2%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School",4,75,2396,2422,26,"21.3%","48.1%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School",5,67,2418,2453,36,"26.9%","56.7%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School",6,57,2434,2502,67,"59.6%","78.3%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School",4,48,2476,2494,18,"25.0%","43.1%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School",5,46,2466,2506,41,"41.3%","63.4%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School",6,42,2505,2541,36,"42.9%","65.7%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School",7,49,2562,2598,37,"55.1%","68.8%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School",8,48,2578,2606,28,"45.8%","64.7%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School",4,47,2409,2455,46,"34.0%","63.3%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School",5,42,2466,2510,44,"40.5%","70.7%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School",6,34,2509,2555,46,"55.9%","74.2%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School",7,39,2555,2568,13,"33.3%","48.5%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School",8,39,2568,2580,12,"30.8%","41.4%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School",4,73,2372,2415,43,"30.1%","55.5%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School",5,66,2396,2428,32,"21.2%","50.0%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School",6,69,2432,2438,6,"14.5%","34.3%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School",7,81,2438,2470,32,"33.3%","50.5%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School",8,77,2461,2473,12,"29.9%","44.0%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School",4,46,2334,2357,23,"8.7%","36.5%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School",5,52,2340,2379,39,"26.9%","55.8%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School",6,26,2379,2399,20,"15.4%","42.8%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School",7,48,2439,2465,26,"25.0%","44.3%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School",8,41,2435,2457,22,"31.7%","46.7%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School",4,45,2363,2377,15,"6.7%","36.0%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School",5,42,2389,2435,46,"28.6%","58.5%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School",6,40,2409,2476,68,"60.0%","80.2%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School",7,30,2452,2468,16,"13.3%","34.0%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School",8,54,2463,2495,33,"29.6%","46.3%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School",4,78,2408,2460,52,"42.3%","69.8%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School",5,65,2450,2497,48,"38.5%","62.7%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School",6,59,2454,2478,24,"28.8%","46.7%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School",7,63,2502,2544,41,"42.9%","65.3%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School",8,66,2546,2578,31,"43.9%","67.7%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)",4,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)",5,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)",6,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)",7,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)",8,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School",6,209,2508,2538,30,"39.2%","61.3%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School",7,245,2510,2535,25,"35.1%","55.1%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School",8,206,2563,2575,12,"32.0%","50.2%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal",6,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal",7,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal",8,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School",4,52,2429,2491,62,"51.9%","80.6%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School",5,63,2493,2529,36,"36.5%","65.9%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School",4,50,2418,2470,52,"46.0%","69.1%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School",5,58,2501,2531,30,"36.2%","53.5%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL",7,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL",8,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School",4,69,2413,2467,54,"42.0%","68.6%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School",5,110,2450,2499,49,"40.0%","68.9%"
