"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"",,,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELA","Male",41,2513,2531,18,"22.0%","46.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Math","Female",44,2517,2540,23,"31.8%","54.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Math","Male",41,2505,2539,34,"46.3%","67.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELA","Female",37,2530,2576,46,"45.9%","69.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELA","Male",39,2532,2571,39,"46.2%","68.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Math","Female",37,2504,2570,66,"75.7%","87.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Math","Male",38,2509,2563,54,"63.2%","79.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"ELA","Female",18,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"ELA","Male",20,2474,2515,40,"40.0%","63.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Math","Female",18,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Math","Male",20,2466,2517,50,"40.0%","73.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"ELA","Female",15,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"ELA","Male",27,2543,2573,30,"40.7%","62.7%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Math","Female",15,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Math","Male",27,2529,2574,45,"48.1%","74.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"ELA","Female",25,2579,2606,27,"56.0%","70.3%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"ELA","Male",20,2580,2585,5,"40.0%","55.0%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Math","Female",27,2530,2584,55,"51.9%","73.9%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Math","Male",20,2582,2604,22,"70.0%","85.9%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"ELA","Female",61,2483,2487,3,"16.4%","34.9%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"ELA","Male",86,2464,2476,12,"19.8%","43.9%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Math","Female",61,2470,2475,5,"21.3%","41.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Math","Male",86,2479,2499,20,"32.6%","53.9%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELA","Female",91,2516,2537,21,"31.9%","50.4%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELA","Male",78,2504,2516,11,"28.2%","44.3%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Math","Female",90,2486,2503,17,"33.3%","54.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Math","Male",78,2516,2525,9,"42.3%","53.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELA","Female",34,2440,2482,41,"38.2%","62.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELA","Male",45,2387,2427,40,"22.2%","53.9%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Math","Female",34,2432,2456,24,"17.6%","49.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Math","Male",45,2414,2446,31,"20.0%","54.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELA","Female",40,2455,2465,9,"7.5%","32.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELA","Male",40,2418,2456,38,"27.5%","58.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Math","Female",40,2435,2443,8,"17.5%","36.3%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Math","Male",40,2423,2443,20,"27.5%","50.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELA","Female",47,2483,2508,25,"27.7%","54.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELA","Male",38,2446,2479,33,"39.5%","60.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Math","Female",47,2449,2501,52,"61.7%","87.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Math","Male",38,2449,2489,40,"57.9%","73.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELA","Female",38,2422,2466,44,"36.8%","64.9%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELA","Male",38,2397,2445,48,"34.2%","57.9%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Math","Female",38,2412,2458,46,"21.1%","66.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Math","Male",38,2397,2455,58,"42.1%","79.0%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"ELA","Female",50,2442,2459,17,"22.0%","50.0%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"ELA","Male",40,2428,2459,31,"25.0%","51.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Math","Female",51,2441,2441,0,"13.7%","31.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Math","Male",40,2459,2460,1,"35.0%","46.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELA","Female",39,2496,2535,39,"48.7%","67.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELA","Male",35,2446,2496,50,"54.3%","72.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Math","Female",39,2461,2518,57,"64.1%","83.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Math","Male",35,2442,2488,46,"60.0%","76.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"ELA","Female","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"ELA","Male","*",2302,2328,26,"13.6%","39.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"Math","Female","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"Math","Male","*",2297,2321,25,"9.1%","40.6%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"ELA","Female","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"ELA","Male","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"Math","Female","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"Math","Male","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"ELA","Female","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"ELA","Male","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"Math","Female","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"Math","Male","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"ELA","Female","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"ELA","Male","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"Math","Female","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"Math","Male","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"ELA","Female","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"ELA","Male","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"Math","Female","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"Math","Male","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELA","Female",113,2504,2501,-3,"20.4%","37.9%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELA","Male",127,2491,2491,-0,"22.0%","39.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Math","Female",113,2469,2478,9,"23.0%","43.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Math","Male",129,2474,2480,6,"26.4%","43.1%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELA","Female",121,2507,2535,28,"35.5%","58.4%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELA","Male",119,2492,2511,19,"28.6%","49.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Math","Female",121,2476,2517,41,"55.4%","75.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Math","Male",119,2476,2518,43,"50.4%","71.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELA","Female",101,2532,2548,15,"32.7%","51.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELA","Male",113,2521,2539,19,"32.7%","49.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Math","Female",101,2494,2512,17,"35.6%","52.8%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Math","Male",113,2501,2507,6,"30.1%","47.1%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELA","Female",36,2412,2453,41,"33.3%","60.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELA","Male",33,2383,2416,32,"33.3%","47.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Math","Female",36,2388,2428,39,"25.0%","57.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Math","Male",33,2392,2429,37,"21.2%","56.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"ELA","Female",29,2440,2492,53,"34.5%","70.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"ELA","Male",40,2418,2460,42,"22.5%","54.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Math","Female",29,2415,2423,8,"24.1%","45.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Math","Male",40,2418,2430,12,"25.0%","45.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELA","Female",33,2482,2517,34,"51.5%","63.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELA","Male",38,2489,2527,38,"39.5%","65.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Math","Female",33,2439,2462,23,"42.4%","56.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Math","Male",38,2453,2475,22,"34.2%","57.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"ELA","Female",40,2538,2585,47,"52.5%","74.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"ELA","Male",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Math","Female",40,2486,2537,50,"65.0%","84.6%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Math","Male",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELA","Female",29,2537,2561,24,"37.9%","57.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELA","Male",37,2527,2566,39,"32.4%","62.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Math","Female",29,2480,2512,32,"51.7%","68.6%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Math","Male",37,2503,2506,3,"32.4%","42.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"ELA","Female",21,2484,2517,33,"33.3%","54.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"ELA","Male",20,2434,2482,47,"45.0%","67.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Math","Female",21,2459,2517,58,"61.9%","87.6%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Math","Male",19,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"ELA","Female",26,2554,2577,23,"46.2%","64.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"ELA","Male",11,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"Math","Female",26,2522,2490,-32,"0.0%","8.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"Math","Male",11,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"ELA","Female",15,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"ELA","Male",21,2488,2519,31,"38.1%","54.5%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Math","Female",15,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Math","Male",21,2475,2482,7,"19.0%","44.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELA","Female",23,2568,2619,51,"52.2%","77.9%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELA","Male",23,2506,2517,11,"30.4%","47.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"Math","Female",23,2506,2585,80,"78.3%","88.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"Math","Male",23,2479,2540,61,"73.9%","93.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"ELA","Female",12,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"ELA","Male",22,2535,2573,38,"40.9%","65.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"Math","Female",12,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"Math","Male",22,2546,2574,29,"54.5%","63.9%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"ELA","Female",107,2599,2635,36,"58.9%","73.4%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"ELA","Male",149,2594,2634,40,"59.1%","76.9%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"Math","Female",108,2585,2623,39,"55.6%","81.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"Math","Male",148,2605,2648,43,"69.6%","83.2%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"ELA","Female",134,2621,2646,26,"56.0%","67.3%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"ELA","Male",128,2604,2625,21,"43.8%","62.1%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"Math","Female",134,2616,2658,42,"71.6%","85.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"Math","Male",128,2631,2657,26,"62.5%","74.5%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"ELA","Female",52,2511,2548,37,"50.0%","69.9%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"ELA","Male",50,2500,2545,45,"50.0%","71.4%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"Math","Female",53,2485,2522,37,"32.1%","62.1%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"Math","Male",53,2497,2549,52,"54.7%","79.1%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"ELA","Female",49,2512,2555,43,"59.2%","74.1%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"ELA","Male",50,2489,2546,57,"54.0%","75.0%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"Math","Female",49,2505,2531,26,"36.7%","57.4%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"Math","Male",49,2512,2550,38,"53.1%","73.6%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"ELA","Female",135,2532,2574,41,"53.3%","74.2%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"ELA","Male",121,2521,2564,43,"53.7%","71.9%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"Math","Female",137,2518,2537,20,"35.0%","57.2%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"Math","Male",121,2530,2555,26,"46.3%","63.0%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"ELA","Female",122,2586,2629,43,"72.1%","84.9%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"ELA","Male",136,2557,2594,37,"55.1%","75.9%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"Math","Female",122,2547,2607,59,"73.8%","93.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"Math","Male",136,2546,2598,52,"65.4%","83.9%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"ELA","Female",23,2467,2520,52,"52.2%","75.0%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"ELA","Male",21,2408,2467,59,"57.1%","76.4%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"Math","Female",23,2411,2461,50,"34.8%","65.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"Math","Male",21,2405,2451,46,"38.1%","69.8%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"ELA","Female",21,2524,2552,28,"38.1%","69.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"ELA","Male",23,2513,2550,36,"43.5%","67.9%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"Math","Female",21,2455,2475,20,"23.8%","52.4%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"Math","Male",23,2466,2499,33,"26.1%","69.1%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"ELA","Female",23,2547,2591,43,"47.8%","72.9%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"ELA","Male",21,2538,2564,25,"28.6%","55.9%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"Math","Female",23,2503,2558,54,"52.2%","78.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"Math","Male",21,2508,2532,24,"33.3%","60.8%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School",4,"ELA","Male","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School",4,"Math","Male","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"ELA","Female",94,2534,2577,43,"59.6%","77.4%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"ELA","Male",114,2518,2548,30,"43.9%","63.6%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"Math","Female",94,2503,2530,27,"38.3%","63.0%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"Math","Male",114,2514,2537,23,"32.5%","56.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"ELA","Female",117,2561,2597,36,"41.9%","65.0%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"ELA","Male",125,2537,2580,43,"56.0%","72.3%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"Math","Female",117,2533,2561,28,"44.4%","64.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"Math","Male",124,2528,2566,38,"53.2%","73.3%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"ELA","Female",83,2577,2620,43,"57.8%","77.7%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"ELA","Male",127,2556,2594,38,"53.5%","70.0%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"Math","Female",83,2563,2581,18,"49.4%","63.1%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"Math","Male",127,2562,2575,13,"40.9%","55.6%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"ELA","Female",27,2465,2544,79,"85.2%","98.1%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"ELA","Male",31,2409,2482,72,"48.4%","79.8%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"Math","Female",27,2441,2525,84,"81.5%","98.6%"
