"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","School Code","School","Subject","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Eligible for Free Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Not Eligible for Free/Reduced Lunch",116,"44.8%","68.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Eligible for Free Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Not Eligible for Free/Reduced Lunch",116,"37.1%","69.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Eligible for Reduced Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","ELA","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Math","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Eligible for Free Lunch",64,"51.6%","69.9%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Not Eligible for Free/Reduced Lunch",579,"52.5%","71.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Eligible for Reduced Lunch",17,"*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Eligible for Free Lunch",64,"37.5%","56.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Not Eligible for Free/Reduced Lunch",578,"43.8%","63.5%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Eligible for Reduced Lunch",17,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Eligible for Free Lunch",13,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Not Eligible for Free/Reduced Lunch",121,"58.7%","80.0%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Eligible for Reduced Lunch",7,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Eligible for Free Lunch",13,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Not Eligible for Free/Reduced Lunch",121,"53.7%","73.3%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Eligible for Reduced Lunch",7,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Eligible for Free Lunch",15,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Not Eligible for Free/Reduced Lunch",173,"43.4%","69.9%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Eligible for Reduced Lunch",6,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Eligible for Free Lunch",15,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Not Eligible for Free/Reduced Lunch",173,"34.1%","66.5%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Eligible for Reduced Lunch",6,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Eligible for Free Lunch","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Not Eligible for Free/Reduced Lunch",79,"64.6%","86.6%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Eligible for Free Lunch","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Not Eligible for Free/Reduced Lunch",79,"68.4%","88.5%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Eligible for Reduced Lunch","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Eligible for Free Lunch","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Not Eligible for Free/Reduced Lunch",154,"49.4%","69.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Eligible for Free Lunch","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Not Eligible for Free/Reduced Lunch",154,"57.8%","80.8%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Eligible for Reduced Lunch","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Eligible for Free Lunch",89,"40.4%","58.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Not Eligible for Free/Reduced Lunch",478,"57.1%","75.1%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Eligible for Reduced Lunch",46,"54.3%","72.5%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Eligible for Free Lunch",89,"38.2%","59.1%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Not Eligible for Free/Reduced Lunch",478,"57.1%","76.9%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Eligible for Reduced Lunch",46,"52.2%","72.5%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Eligible for Free Lunch",58,"41.4%","61.2%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Not Eligible for Free/Reduced Lunch",309,"46.0%","68.7%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Eligible for Reduced Lunch",29,"58.6%","77.8%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Eligible for Free Lunch",58,"56.9%","75.8%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Not Eligible for Free/Reduced Lunch",309,"68.6%","91.3%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Eligible for Reduced Lunch",29,"55.2%","86.3%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Eligible for Free Lunch",90,"38.9%","64.3%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Not Eligible for Free/Reduced Lunch",92,"29.3%","58.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Eligible for Reduced Lunch",22,"36.4%","70.7%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","Eligible for Free Lunch",90,"54.4%","76.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","Not Eligible for Free/Reduced Lunch",92,"48.9%","73.8%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","Eligible for Reduced Lunch",22,"50.0%","75.2%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA","Eligible for Free Lunch",78,"34.6%","47.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA","Not Eligible for Free/Reduced Lunch",84,"32.1%","54.4%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA","Eligible for Reduced Lunch",17,"*","*"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","Eligible for Free Lunch",79,"31.6%","49.1%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","Not Eligible for Free/Reduced Lunch",84,"44.0%","64.5%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","Eligible for Reduced Lunch",17,"*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","Eligible for Free Lunch","*","40.6%","57.6%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","Not Eligible for Free/Reduced Lunch",44,"56.8%","76.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","Eligible for Free Lunch","*","31.3%","44.6%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","Not Eligible for Free/Reduced Lunch",44,"31.8%","49.0%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","Eligible for Reduced Lunch","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","Eligible for Free Lunch",46,"28.3%","58.6%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","Not Eligible for Free/Reduced Lunch",41,"36.6%","64.9%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","Eligible for Reduced Lunch",10,"*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","Eligible for Free Lunch",47,"53.2%","80.2%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","Not Eligible for Free/Reduced Lunch",41,"43.9%","77.4%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","Eligible for Reduced Lunch",10,"*","*"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA","Eligible for Free Lunch",42,"40.5%","64.1%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA","Not Eligible for Free/Reduced Lunch",239,"59.8%","78.8%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA","Eligible for Reduced Lunch",7,"*","*"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math","Eligible for Free Lunch",42,"50.0%","71.5%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math","Not Eligible for Free/Reduced Lunch",239,"51.0%","71.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math","Eligible for Reduced Lunch",7,"*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","Eligible for Free Lunch","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","Not Eligible for Free/Reduced Lunch",85,"37.6%","60.6%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","Eligible for Free Lunch","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","Not Eligible for Free/Reduced Lunch",85,"44.7%","70.6%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","Eligible for Free Lunch",166,"38.0%","56.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","Not Eligible for Free/Reduced Lunch",632,"41.9%","60.2%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","Eligible for Reduced Lunch",43,"37.2%","59.2%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","Eligible for Free Lunch",165,"30.9%","50.2%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","Not Eligible for Free/Reduced Lunch",632,"42.9%","62.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","Eligible for Reduced Lunch",44,"38.6%","56.3%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","Eligible for Free Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","Not Eligible for Free/Reduced Lunch",48,"45.8%","68.5%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","Eligible for Free Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","Not Eligible for Free/Reduced Lunch",48,"33.3%","69.7%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","Eligible for Free Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","Not Eligible for Free/Reduced Lunch",57,"70.2%","92.3%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","Eligible for Free Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","Not Eligible for Free/Reduced Lunch",57,"73.7%","96.4%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","Eligible for Free Lunch",25,"44.0%","71.5%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","Not Eligible for Free/Reduced Lunch",46,"50.0%","71.6%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","Eligible for Reduced Lunch",8,"*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","Eligible for Free Lunch",24,"50.0%","69.0%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","Not Eligible for Free/Reduced Lunch",46,"28.3%","66.0%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","Eligible for Reduced Lunch",8,"*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","Eligible for Free Lunch",301,"47.2%","66.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","Not Eligible for Free/Reduced Lunch",75,"61.3%","79.9%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","Eligible for Reduced Lunch",46,"45.7%","65.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","Eligible for Free Lunch",301,"61.1%","78.7%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","Not Eligible for Free/Reduced Lunch",75,"61.3%","81.2%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","Eligible for Reduced Lunch",46,"45.7%","67.0%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","ELA","Eligible for Free Lunch",216,"24.1%","50.9%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Math","Eligible for Free Lunch",216,"21.8%","44.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","ELA","Eligible for Free Lunch",108,"25.9%","51.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Math","Eligible for Free Lunch",108,"30.6%","53.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","ELA","Eligible for Free Lunch",180,"37.8%","60.4%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Math","Eligible for Free Lunch",182,"41.8%","63.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","ELA","Eligible for Free Lunch",538,"33.5%","56.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Math","Eligible for Free Lunch",552,"30.6%","52.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","ELA","Eligible for Free Lunch",23,"17.4%","37.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Math","Eligible for Free Lunch",23,"13.0%","32.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","ELA","Eligible for Free Lunch",126,"31.7%","60.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Math","Eligible for Free Lunch",129,"23.3%","47.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","ELA","Eligible for Free Lunch",506,"28.1%","52.5%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Math","Eligible for Free Lunch",560,"33.2%","54.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","ELA","Eligible for Free Lunch",186,"37.1%","60.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Math","Eligible for Free Lunch",186,"31.2%","52.8%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","ELA","Eligible for Free Lunch",272,"40.8%","67.4%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Math","Eligible for Free Lunch",275,"38.5%","61.8%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","ELA","Eligible for Free Lunch",144,"16.0%","34.9%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Math","Eligible for Free Lunch",143,"17.5%","36.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","ELA","Eligible for Free Lunch",349,"27.2%","51.7%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Math","Eligible for Free Lunch",348,"25.9%","46.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","ELA","Eligible for Free Lunch",146,"15.1%","36.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Math","Eligible for Free Lunch",146,"9.6%","26.5%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","ELA","Eligible for Free Lunch",87,"28.7%","53.9%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Math","Eligible for Free Lunch",87,"29.9%","54.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELA","Eligible for Free Lunch",326,"34.7%","59.1%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Math","Eligible for Free Lunch",334,"32.9%","56.7%"
