"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","School Code","School","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Male",51,"35.3%","56.2%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Female",56,"44.6%","65.2%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Male",412,"38.8%","57.9%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Female",429,"42.9%","60.7%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Male",36,"41.7%","65.8%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Female",27,"48.1%","67.4%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Male",31,"67.7%","89.6%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Female",32,"78.1%","98.2%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Male",44,"52.3%","74.2%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Female",35,"48.6%","70.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Male",210,"47.1%","67.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Female",212,"51.9%","69.8%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Male",112,"18.8%","47.2%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Female",104,"29.8%","54.8%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Male",54,"27.8%","53.7%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Female",54,"24.1%","49.4%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Male",95,"31.6%","55.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Female",85,"44.7%","65.8%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Male",287,"30.7%","54.0%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Female",251,"36.7%","58.9%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Male","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Female","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Male",75,"29.3%","56.5%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Female",51,"35.3%","65.3%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Male",260,"28.1%","53.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Female",246,"28.0%","51.9%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Male",85,"38.8%","62.3%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Female",101,"35.6%","58.5%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Male",128,"43.8%","69.4%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Female",144,"38.2%","65.6%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Male",84,"17.9%","36.0%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Female",60,"13.3%","33.4%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Male",185,"21.1%","46.0%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Female",164,"34.1%","58.2%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Male",75,"13.3%","33.7%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Female",71,"16.9%","40.1%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Male",51,"21.6%","48.1%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Female",36,"38.9%","62.0%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Male",173,"35.3%","56.9%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Female",153,"34.0%","61.7%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Male",47,"27.7%","56.1%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Female",34,"35.3%","68.2%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Male",38,"39.5%","61.9%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Female",51,"19.6%","47.9%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Male",87,"35.6%","57.5%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Female",126,"40.5%","61.8%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Male",89,"27.0%","54.4%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Female",76,"28.9%","53.5%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Male",117,"28.2%","50.4%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Female",102,"29.4%","54.9%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Male",143,"38.5%","63.7%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Female",118,"42.4%","65.9%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Male",185,"20.5%","46.3%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Female",175,"28.6%","53.5%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Male",107,"29.9%","55.0%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Female",92,"39.1%","65.1%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Male",97,"32.0%","52.6%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Female",136,"49.3%","67.1%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Male",89,"34.8%","55.0%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Female",112,"41.1%","63.3%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Male",196,"26.0%","48.0%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Female",170,"26.5%","45.9%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Male",109,"22.0%","44.4%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Female",104,"22.1%","47.1%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Male",107,"25.2%","50.5%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Female",104,"30.8%","51.9%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Male",170,"37.6%","60.6%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Female",161,"41.6%","65.5%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Male",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Male",353,"31.7%","51.1%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Female",307,"39.7%","60.6%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Male",7,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Male",52,"44.2%","72.3%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Female",63,"42.9%","72.8%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Male",50,"46.0%","67.7%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Female",58,"36.2%","54.7%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Male","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Male",210,"40.5%","64.7%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Female",229,"45.9%","66.1%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Male",68,"45.6%","67.4%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Female",64,"45.3%","66.1%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Male",56,"37.5%","59.0%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Female",61,"52.5%","73.1%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Male","*","*","*"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Female","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Male",201,"49.8%","70.4%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Female",194,"46.9%","67.8%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Male","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Male",67,"41.8%","69.5%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Female",58,"43.1%","71.5%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","Male","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Male",66,"45.5%","67.1%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Female",75,"37.3%","67.5%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Male",245,"44.1%","66.2%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Female",215,"47.4%","71.4%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Male",99,"33.3%","60.9%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Female",105,"40.0%","63.2%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Male",391,"42.7%","62.0%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Female",362,"48.3%","65.4%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Male",35,"51.4%","76.6%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Female",37,"67.6%","89.3%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Male",169,"43.8%","63.6%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Female",182,"48.9%","68.2%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Male",18,"*","*"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Female",21,"57.1%","76.4%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Male",15,"*","*"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Female",21,"52.4%","76.4%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Male",125,"43.2%","65.0%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Female",87,"47.1%","67.4%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Male",189,"42.9%","65.7%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Female",183,"59.6%","79.4%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Male",128,"48.4%","68.7%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Female",142,"54.2%","69.3%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Male",49,"38.8%","60.6%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Female",39,"30.8%","51.9%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Male",237,"32.1%","52.7%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Female",90,"38.9%","56.6%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Male",22,"22.7%","58.4%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Female",12,"*","*"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Male","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Female","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Male",70,"47.1%","79.9%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Female",57,"52.6%","73.9%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Male",96,"31.3%","53.1%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Female",200,"49.0%","68.2%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Male",66,"50.0%","72.9%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Female",52,"40.4%","66.5%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Male","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Female","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Male",59,"33.9%","58.9%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Female",136,"44.1%","67.7%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Male",133,"43.6%","62.7%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Female",162,"42.0%","60.8%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Male",50,"40.0%","64.1%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Female",39,"46.2%","65.3%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Male",32,"34.4%","65.0%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Female",43,"46.5%","75.0%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Male",90,"42.2%","61.0%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Female",44,"40.9%","63.1%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Male",56,"28.6%","62.4%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Female",47,"44.7%","73.1%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Male","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Male","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Female","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Male",392,"33.2%","52.1%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Female",230,"36.5%","54.0%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Male",51,"49.0%","73.5%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Female",60,"63.3%","82.2%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Male",23,"56.5%","79.8%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Female",20,"55.0%","78.1%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Male",72,"56.9%","75.2%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Female",80,"68.8%","86.7%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Male",332,"41.3%","56.9%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Female",365,"43.6%","59.5%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Male",129,"59.7%","76.9%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Female",143,"53.8%","73.3%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Male",185,"53.0%","71.0%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Female",182,"59.9%","78.2%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Male",94,"62.8%","83.6%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Female",104,"74.0%","90.4%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Male",38,"52.6%","69.6%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Female",62,"48.4%","67.9%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Male",148,"43.9%","68.0%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Female",153,"40.5%","67.1%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Male",222,"39.6%","56.8%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Female",202,"48.0%","64.3%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Male",179,"44.7%","73.0%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Female",173,"63.6%","85.7%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Male",295,"42.4%","61.5%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Female",284,"48.2%","65.3%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Male",13,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Female",18,"*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Male",110,"43.6%","65.6%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Female",116,"51.7%","69.6%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Male",94,"40.4%","66.7%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Female",103,"39.8%","57.3%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Male",62,"21.0%","45.8%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Female",8,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Male",29,"37.9%","59.5%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Female",16,"*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Male",184,"58.7%","78.6%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Female",189,"55.6%","77.0%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Male",103,"41.7%","70.4%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Female",130,"57.7%","78.2%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Male",226,"46.0%","65.9%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Female",207,"59.9%","77.0%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Male",165,"35.8%","59.6%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Female",151,"29.1%","59.3%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Male",432,"43.5%","65.6%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Female",430,"41.2%","61.0%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Male",58,"58.6%","78.8%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Female",51,"47.1%","67.7%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Male",38,"47.4%","61.4%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Female",35,"42.9%","66.3%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Male",55,"49.1%","70.7%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Female",56,"57.1%","82.7%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Male",169,"36.7%","62.9%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Female",171,"43.9%","71.2%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Male",43,"60.5%","84.9%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Female",53,"49.1%","73.8%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Male",90,"57.8%","85.2%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Female",71,"53.5%","81.4%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Male",46,"41.3%","64.6%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Female",59,"37.3%","67.8%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Male",373,"33.0%","53.2%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Female",405,"37.3%","58.5%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Male",74,"37.8%","61.2%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Female",77,"41.6%","69.1%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Male",49,"53.1%","83.1%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Female",60,"50.0%","74.3%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Male",71,"35.2%","61.9%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Female",82,"31.7%","64.0%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Male",54,"50.0%","69.6%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Female",67,"49.3%","72.0%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Male",252,"33.7%","50.7%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Female",225,"37.3%","59.0%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Male",84,"53.6%","73.1%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Female",92,"59.8%","81.4%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Male",60,"51.7%","75.1%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Female",74,"68.9%","85.0%"
