"Smarter Balanced Growth Report, 2015-16"
"All Districts, Race"

"District Code","District","School Code","School","Race/Ethnicity","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Black or African American",52,"25.0%","51.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","White",119,"35.3%","58.5%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Asian","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Two or More Races",9,"*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Hispanic/Latino of any race",67,"35.8%","59.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Black or African American",40,"37.5%","64.9%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","White",15,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Two or More Races",9,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Hispanic/Latino of any race",24,"12.5%","42.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Black or African American",46,"23.9%","45.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","American Indian or Alaska Native","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","White",217,"32.3%","51.4%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Asian",34,"38.2%","55.8%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Two or More Races",20,"30.0%","48.3%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Hispanic/Latino of any race",331,"26.9%","45.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Black or African American",90,"20.0%","40.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","American Indian or Alaska Native","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","White",73,"49.3%","71.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Asian","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Two or More Races",17,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Hispanic/Latino of any race",69,"24.6%","55.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Black or African American",163,"36.8%","61.0%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","White",174,"37.9%","60.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Asian","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Two or More Races","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Hispanic/Latino of any race",8,"*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Black or African American",6,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","White",381,"52.2%","67.9%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Asian",76,"64.5%","78.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Two or More Races",15,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Hispanic/Latino of any race",26,"53.8%","72.2%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Black or African American",20,"45.0%","59.7%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","White",68,"48.5%","67.2%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Asian",20,"50.0%","83.9%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Two or More Races","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Hispanic/Latino of any race","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Black or African American",6,"*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","White",64,"53.1%","73.1%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Asian",22,"77.3%","85.5%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Two or More Races","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Hispanic/Latino of any race","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Black or African American","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","American Indian or Alaska Native","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","White",371,"58.2%","76.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Asian",62,"75.8%","89.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Two or More Races","*","63.6%","86.0%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Hispanic/Latino of any race",34,"41.2%","61.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Black or African American",23,"34.8%","59.5%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","White",128,"44.5%","69.4%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Asian","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Two or More Races","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Black or African American","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","White","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","White",550,"52.4%","70.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Asian",21,"52.4%","81.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Two or More Races",25,"64.0%","80.9%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Hispanic/Latino of any race",55,"45.5%","63.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Black or African American",9,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","White",116,"57.8%","80.0%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Asian","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Two or More Races","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Hispanic/Latino of any race",16,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","American Indian or Alaska Native","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","White",168,"45.2%","70.8%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Asian","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Two or More Races",6,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Hispanic/Latino of any race",14,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Black or African American","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","White",74,"66.2%","88.4%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Asian","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Two or More Races","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Hispanic/Latino of any race",13,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Black or African American","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","American Indian or Alaska Native","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","White",142,"45.8%","65.8%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Asian",16,"*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Two or More Races","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Hispanic/Latino of any race",6,"*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Black or African American","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","White",433,"56.8%","75.2%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Asian",50,"66.0%","85.6%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Two or More Races",16,"*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Hispanic/Latino of any race",100,"42.0%","58.5%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Black or African American","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","White",292,"45.9%","68.4%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Asian",27,"59.3%","71.5%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Two or More Races","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Hispanic/Latino of any race",64,"45.3%","67.1%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Black or African American",8,"*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","White","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Asian","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Two or More Races",13,"*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Hispanic/Latino of any race",26,"42.3%","61.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Black or African American",157,"33.1%","63.1%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","White","*","*","*"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Asian","*","*","*"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Two or More Races",6,"*","*"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Hispanic/Latino of any race",14,"*","*"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Black or African American",157,"32.5%","51.1%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","American Indian or Alaska Native","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","White",23,"60.9%","75.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Asian","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Two or More Races","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Hispanic/Latino of any race",15,"*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Black or African American",39,"46.2%","65.6%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","White","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Asian","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Two or More Races",8,"*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Hispanic/Latino of any race",9,"*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Black or African American",77,"31.2%","65.1%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","White",234,"61.5%","80.5%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Asian","*","*","*"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Two or More Races","*","*","*"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Hispanic/Latino of any race",19,"*","*"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Black or African American",23,"30.4%","51.9%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","White",92,"37.0%","57.9%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Asian","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Hispanic/Latino of any race","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Black or African American",8,"*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","White",654,"42.0%","60.5%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Asian",60,"40.0%","56.1%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Two or More Races",14,"*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Hispanic/Latino of any race",83,"31.3%","56.1%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Black or African American",30,"50.0%","56.4%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","American Indian or Alaska Native","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","White",44,"47.7%","65.1%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Asian","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Two or More Races","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Hispanic/Latino of any race",8,"*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Black or African American","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","American Indian or Alaska Native","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","White",52,"75.0%","95.9%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Asian","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Two or More Races","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Hispanic/Latino of any race","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Black or African American","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","White",55,"50.9%","69.0%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Asian",13,"*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Two or More Races","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Hispanic/Latino of any race",6,"*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Black or African American","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","American Indian or Alaska Native","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","White","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Asian",7,"*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Two or More Races","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Hispanic/Latino of any race",172,"49.4%","70.9%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Black or African American",234,"48.7%","66.8%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","White","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Hispanic/Latino of any race",150,"25.3%","53.3%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Black or African American",56,"23.2%","45.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","White","*","*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Hispanic/Latino of any race",57,"24.6%","51.1%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Black or African American",45,"24.4%","50.2%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","White",61,"49.2%","70.9%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Hispanic/Latino of any race",91,"27.5%","53.2%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Black or African American",26,"46.2%","58.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","White",85,"34.1%","59.1%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Asian",20,"20.0%","50.6%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Hispanic/Latino of any race",266,"31.2%","53.8%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Black or African American",159,"37.7%","59.4%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","White","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Hispanic/Latino of any race",12,"*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Black or African American","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","White",8,"*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Asian",9,"*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Hispanic/Latino of any race",66,"27.3%","56.4%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Black or African American",41,"29.3%","58.1%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","White",25,"20.0%","48.2%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Hispanic/Latino of any race",348,"29.0%","54.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Black or African American",114,"23.7%","46.0%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","White",8,"*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Hispanic/Latino of any race",58,"31.0%","59.4%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Black or African American",112,"38.4%","59.4%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","White","*","*","*"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Hispanic/Latino of any race",162,"40.7%","66.7%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Black or African American",94,"37.2%","65.5%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","White",7,"*","*"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Hispanic/Latino of any race",67,"26.9%","41.3%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Black or African American",68,"5.9%","27.0%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","White",17,"*","*"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Asian",18,"*","*"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Hispanic/Latino of any race",155,"33.5%","60.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Black or African American",155,"20.6%","41.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","White","*","*","*"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Hispanic/Latino of any race","*","15.0%","34.4%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Black or African American",83,"15.7%","38.8%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","White",7,"*","*"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Hispanic/Latino of any race",33,"24.2%","52.7%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Black or African American",43,"30.2%","54.5%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","White",17,"*","*"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Asian",14,"*","*"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Hispanic/Latino of any race",200,"35.5%","60.4%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Black or African American",91,"31.9%","57.1%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","White","*","*","*"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Hispanic/Latino of any race","*","33.3%","63.5%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Black or African American",42,"31.0%","61.2%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","White",8,"*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Hispanic/Latino of any race",31,"51.6%","74.0%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Black or African American",47,"14.9%","42.6%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","White",16,"*","*"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Hispanic/Latino of any race",78,"38.5%","53.4%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Black or African American",111,"36.9%","62.2%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","White",19,"*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Asian","*","*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Two or More Races","*","*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Hispanic/Latino of any race",90,"27.8%","52.4%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Black or African American",52,"26.9%","54.8%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","American Indian or Alaska Native","*","*","*"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","White",68,"22.1%","48.8%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Asian","*","*","*"
