"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"",,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",4,"Non-ELL",50,2452,2506,54,"50.0%","79.2%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",5,"Non-ELL",56,2530,2584,54,"69.6%","88.3%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",6,"Non-ELL",61,2512,2544,31,"47.5%","69.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",6,"ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",6,"Non-ELL","*",2525,2557,32,"47.4%","69.7%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",7,"ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",7,"Non-ELL","*",2528,2565,37,"51.6%","72.9%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",8,"ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",8,"Non-ELL","*",2546,2589,43,"63.4%","79.4%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",4,"ELL",6,"*","*","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",4,"Non-ELL",192,2428,2503,74,"67.7%","92.5%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",5,"ELL",8,"*","*","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",5,"Non-ELL",190,2485,2537,52,"64.7%","85.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School",5,"ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School",5,"Non-ELL","*",2434,2466,32,"36.9%","65.1%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School",6,"Non-ELL",91,2452,2522,70,"69.2%","87.5%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School",7,"ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School",7,"Non-ELL","*",2499,2524,25,"37.5%","57.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School",8,"Non-ELL",91,2496,2515,19,"37.4%","53.4%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",6,"Non-ELL",21,2460,2462,2,"14.3%","40.6%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",7,"ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",7,"Non-ELL","*",2456,2489,33,"46.2%","59.7%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",8,"Non-ELL",32,2505,2511,6,"28.1%","39.9%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School",4,"ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School",4,"Non-ELL","*",2387,2445,58,"47.9%","78.3%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",4,"Non-ELL",53,2473,2537,63,"66.0%","94.2%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",5,"Non-ELL",65,2509,2532,23,"43.1%","62.6%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",6,"Non-ELL",61,2547,2586,39,"57.4%","76.0%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",7,"Non-ELL",60,2546,2588,42,"53.3%","75.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",8,"Non-ELL",49,2571,2582,11,"32.7%","45.8%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",4,"ELL","*","*","*","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",4,"Non-ELL","*",2432,2459,27,"10.0%","48.1%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",5,"Non-ELL",29,2448,2487,38,"48.3%","72.6%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",6,"Non-ELL",21,2468,2493,26,"42.9%","66.2%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",7,"Non-ELL",16,"*","*","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",8,"Non-ELL",20,2531,2592,61,"70.0%","94.8%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",5,"ELL",8,"*","*","*","*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",5,"Non-ELL",206,2501,2535,35,"47.6%","72.5%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",6,"ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",6,"Non-ELL","*",2504,2531,27,"43.4%","63.1%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",7,"ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",7,"Non-ELL","*",2540,2567,27,"42.8%","63.1%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",8,"ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",8,"Non-ELL","*",2566,2558,-8,"27.9%","40.7%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School",4,"ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School",4,"Non-ELL","*",2470,2512,42,"29.0%","65.7%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School",4,"ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School",4,"Non-ELL","*",2459,2533,74,"73.8%","96.7%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School",4,"ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School",4,"Non-ELL","*",2440,2489,49,"37.3%","68.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",4,"ELL","*","*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",4,"Non-ELL","*",2416,2499,83,"73.5%","95.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",5,"ELL",11,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",5,"Non-ELL",71,2460,2476,16,"33.8%","49.4%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",6,"ELL","*","*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",6,"Non-ELL","*",2430,2474,44,"54.1%","74.4%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",7,"ELL",18,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",7,"Non-ELL",65,2457,2509,52,"60.0%","79.5%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",8,"ELL",12,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",8,"Non-ELL",73,2506,2573,67,"72.6%","86.8%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",4,"ELL",6,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",4,"Non-ELL",40,2377,2398,21,"7.5%","41.3%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",5,"ELL",8,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",5,"Non-ELL",48,2387,2384,-3,"8.3%","37.0%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",6,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",6,"Non-ELL","*",2398,2419,21,"30.8%","46.8%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",7,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",7,"Non-ELL","*",2427,2454,27,"43.2%","60.4%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",8,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",8,"Non-ELL","*",2442,2429,-13,"23.3%","36.1%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",4,"ELL",8,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",4,"Non-ELL",40,2351,2373,22,"20.0%","39.9%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",5,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",5,"Non-ELL","*",2399,2444,45,"48.5%","81.1%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",6,"Non-ELL",26,2418,2419,2,"26.9%","40.4%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",4,"ELL",15,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",4,"Non-ELL",31,2383,2424,41,"25.8%","60.4%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",5,"ELL",7,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",5,"Non-ELL",31,2420,2457,37,"48.4%","73.1%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",6,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",6,"Non-ELL","*",2441,2448,6,"23.8%","46.4%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",7,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",7,"Non-ELL","*",2440,2500,61,"69.2%","88.9%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",8,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",8,"Non-ELL","*",2494,2517,24,"43.6%","55.4%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",4,"ELL",19,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",4,"Non-ELL",89,2344,2388,43,"24.7%","62.7%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",5,"ELL",16,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",5,"Non-ELL",71,2398,2411,13,"14.1%","41.8%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",6,"ELL",14,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",6,"Non-ELL",77,2374,2422,48,"51.9%","74.0%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",7,"ELL",13,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",7,"Non-ELL",119,2447,2472,25,"39.5%","57.5%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",8,"ELL",18,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",8,"Non-ELL",116,2461,2454,-7,"20.7%","30.2%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",4,"Non-ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",5,"Non-ELL",8,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",6,"Non-ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",7,"Non-ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",8,"Non-ELL",6,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",4,"ELL",11,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",4,"Non-ELL",41,2369,2397,28,"17.1%","46.7%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",5,"ELL",7,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",5,"Non-ELL",38,2384,2401,17,"21.1%","44.5%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",6,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",6,"Non-ELL","*",2397,2406,9,"25.9%","42.7%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",4,"ELL",41,2307,2335,28,"22.0%","46.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",4,"Non-ELL",74,2327,2367,40,"21.6%","52.7%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",5,"ELL",42,2334,2378,43,"45.2%","67.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",5,"Non-ELL",70,2390,2421,31,"37.1%","63.9%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",6,"ELL",43,2352,2343,-9,"23.3%","36.5%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",6,"Non-ELL",61,2416,2429,12,"32.8%","51.9%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",7,"ELL",38,2370,2384,14,"34.2%","47.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",7,"Non-ELL",69,2437,2463,26,"33.3%","57.7%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",8,"ELL",47,2369,2396,28,"42.6%","55.9%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",8,"Non-ELL",75,2432,2448,16,"40.0%","55.7%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",4,"Non-ELL",43,2370,2403,33,"18.6%","49.0%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",5,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",5,"Non-ELL","*",2430,2453,24,"35.1%","55.0%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",6,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",6,"Non-ELL","*",2454,2481,27,"34.4%","55.6%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",7,"Non-ELL",34,2476,2497,22,"32.4%","54.9%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",8,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",8,"Non-ELL","*",2526,2540,15,"37.5%","50.0%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",4,"ELL",11,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",4,"Non-ELL",67,2336,2395,59,"38.8%","70.6%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",5,"ELL",8,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",5,"Non-ELL",60,2362,2413,51,"50.0%","73.2%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",6,"ELL",12,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",6,"Non-ELL",30,2403,2396,-6,"20.0%","36.7%"
