"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","School Code","School","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Non-ELL",511,"65.4%","81.3%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELL",8,"*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Non-ELL",98,"43.9%","69.8%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Non-ELL",98,"44.9%","65.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELL",9,"*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Non-ELL",507,"55.0%","74.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Non-ELL",132,"34.8%","66.2%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Non-ELL","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELL",6,"*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Non-ELL",653,"43.2%","62.8%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELL","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Non-ELL","*","51.8%","71.5%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELL","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Non-ELL","*","35.6%","66.9%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELL","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Non-ELL","*","65.9%","87.2%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Non-ELL",167,"55.7%","78.7%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELL",10,"*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Non-ELL",603,"54.4%","74.2%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELL",14,"*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Non-ELL",382,"66.2%","89.1%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Non-ELL","*","51.5%","75.2%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Non-ELL","*","37.4%","55.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Non-ELL","*","30.4%","46.6%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Non-ELL","*","47.9%","78.3%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Non-ELL",288,"50.7%","71.0%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELL","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Non-ELL","*","47.2%","73.1%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELL",14,"*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Non-ELL",827,"40.1%","59.4%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELL","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Non-ELL","*","29.0%","65.7%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELL","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Non-ELL","*","73.8%","96.7%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELL","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Non-ELL","*","37.3%","68.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELL",45,"62.2%","79.3%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Non-ELL",377,"59.2%","77.6%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","ELL",22,"27.3%","55.0%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Non-ELL",194,"21.1%","43.5%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","ELL",9,"*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Non-ELL",99,"31.3%","53.8%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","ELL",34,"38.2%","56.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Non-ELL",148,"42.6%","64.8%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","ELL",80,"32.5%","53.6%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Non-ELL",472,"30.3%","52.1%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Non-ELL",23,"13.0%","32.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","ELL",23,"34.8%","56.5%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Non-ELL",106,"20.8%","44.9%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","ELL",211,"33.6%","50.6%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Non-ELL",349,"33.0%","56.4%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","ELL",8,"*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Non-ELL",178,"30.9%","52.7%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","ELL",56,"33.9%","57.9%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Non-ELL",219,"39.7%","62.8%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","ELL",9,"*","*"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Non-ELL",134,"16.4%","35.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","ELL",43,"25.6%","47.0%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Non-ELL",305,"25.9%","46.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Non-ELL","*","9.8%","25.9%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Non-ELL","*","30.2%","54.8%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELL",53,"34.0%","52.3%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Non-ELL",281,"32.7%","57.5%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Non-ELL","*","30.4%","50.4%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Non-ELL","*","16.1%","45.0%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Non-ELL",213,"24.4%","44.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELL",6,"*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Non-ELL",158,"24.7%","49.1%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Non-ELL","*","28.0%","49.1%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Non-ELL","*","37.7%","58.6%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","ELL",124,"26.6%","45.9%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Non-ELL",269,"25.3%","48.7%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","ELL",28,"28.6%","48.6%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Non-ELL",171,"22.2%","45.3%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","ELL",6,"*","*"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Non-ELL",227,"47.1%","69.2%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Non-ELL",201,"30.8%","57.4%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","ELL",30,"43.3%","59.0%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Non-ELL",338,"27.2%","47.4%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","ELL",26,"23.1%","40.7%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Non-ELL",192,"29.7%","50.3%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","ELL",20,"15.0%","53.9%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Non-ELL",191,"23.6%","43.6%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","ELL",19,"*","*"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Non-ELL",313,"27.8%","49.1%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Non-ELL",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELL",16,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Non-ELL",648,"42.4%","61.8%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Non-ELL",6,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","ELL",9,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Non-ELL",106,"40.6%","63.8%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","ELL",6,"*","*"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Non-ELL",105,"41.0%","73.0%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Non-ELL","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","ELL",21,"42.9%","77.2%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Non-ELL",421,"38.5%","62.3%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","ELL",6,"*","*"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Non-ELL",128,"46.1%","70.5%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","ELL","*","*","*"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Non-ELL","*","39.1%","68.5%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Non-ELL","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","ELL",7,"*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Non-ELL",389,"47.6%","67.5%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Non-ELL","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","ELL","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Non-ELL","*","36.1%","57.3%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","Non-ELL","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","ELL",6,"*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Non-ELL",136,"51.5%","78.0%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","ELL",17,"*","*"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Non-ELL",447,"46.1%","67.8%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","ELL",6,"*","*"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Non-ELL",197,"34.0%","62.3%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","ELL",9,"*","*"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Non-ELL",745,"48.6%","69.2%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","ELL","*","*","*"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Non-ELL","*","51.4%","82.0%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Non-ELL",350,"36.0%","54.0%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","ELL","*","*","*"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Non-ELL","*","21.6%","44.8%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Non-ELL",36,"55.6%","84.9%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Non-ELL",212,"42.5%","64.7%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","ELL","*","*","*"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Non-ELL","*","51.2%","74.6%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Non-ELL",270,"60.4%","79.1%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Non-ELL",87,"13.8%","31.6%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","ELL",12,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Non-ELL",299,"37.8%","54.4%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Non-ELL","*","36.4%","69.6%"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Non-ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","ELL",9,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Non-ELL",118,"47.5%","77.1%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","ELL",9,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Non-ELL",280,"41.1%","61.1%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Non-ELL","*","40.7%","69.1%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Non-ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","ELL",10,"*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Non-ELL",186,"23.7%","42.5%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","ELL",10,"*","*"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Non-ELL",284,"33.5%","55.2%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Non-ELL","*","35.3%","57.6%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Non-ELL","*","47.4%","75.4%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Non-ELL","*","31.7%","49.5%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Non-ELL","*","39.4%","69.5%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Non-ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Non-ELL",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","ELL",27,"25.9%","50.7%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Non-ELL",594,"34.8%","52.8%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","ELL","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Non-ELL","*","69.2%","90.4%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Non-ELL",42,"31.0%","43.8%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Non-ELL",152,"70.4%","89.9%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","ELL","*","*","*"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Non-ELL","*","47.9%","64.1%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","ELL","*","*","*"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Non-ELL","*","47.6%","71.5%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","ELL","*","*","*"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Non-ELL","*","55.6%","77.8%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","ELL","*","*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Non-ELL","*","62.2%","85.3%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Non-ELL",100,"55.0%","74.4%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","ELL",8,"*","*"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Non-ELL",293,"50.9%","76.0%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","ELL","*","*","*"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Non-ELL","*","46.4%","65.0%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","ELL",7,"*","*"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Non-ELL",346,"59.0%","84.8%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","ELL","*","*","*"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Non-ELL","*","32.6%","47.7%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Non-ELL",31,"35.5%","62.7%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Non-ELL",225,"37.8%","61.3%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Non-ELL",199,"40.7%","60.6%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","ELL","*","*","*"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Non-ELL","*","26.9%","48.5%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Non-ELL",45,"46.7%","65.7%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Non-ELL",372,"52.7%","73.3%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Non-ELL",233,"51.1%","78.8%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","ELL",6,"*","*"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Non-ELL",426,"47.2%","66.9%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","ELL",8,"*","*"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Non-ELL",308,"25.6%","48.5%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","ELL",103,"37.9%","53.7%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Non-ELL",748,"37.0%","56.8%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","ELL",37,"64.9%","90.7%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Non-ELL",74,"67.6%","92.6%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","ELL",23,"47.8%","83.8%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Non-ELL",66,"51.5%","74.0%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","ELL",23,"56.5%","82.8%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Non-ELL",90,"57.8%","85.4%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","ELL",52,"38.5%","62.9%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Non-ELL",291,"28.2%","54.8%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","ELL",34,"70.6%","98.0%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Non-ELL",63,"61.9%","86.1%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","ELL",55,"56.4%","77.6%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Non-ELL",112,"72.3%","93.8%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","ELL",16,"*","*"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Non-ELL",90,"35.6%","69.8%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","ELL",172,"39.0%","55.9%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Non-ELL",638,"42.9%","62.3%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","ELL",26,"46.2%","76.8%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Non-ELL",125,"52.0%","77.2%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","ELL",33,"48.5%","78.8%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Non-ELL",78,"51.3%","78.1%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","ELL",29,"44.8%","70.7%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Non-ELL",128,"33.6%","61.5%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","ELL",9,"*","*"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Non-ELL",112,"70.5%","92.6%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","ELL",14,"*","*"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Non-ELL",461,"33.8%","50.5%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Non-ELL",176,"61.9%","82.1%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","ELL","*","*","*"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Non-ELL","*","54.9%","81.9%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","ELL","*","*","*"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Non-ELL","*","72.7%","87.5%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","Non-ELL",139,"59.7%","81.3%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","ELL","*","*","*"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Non-ELL","*","62.6%","87.4%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","Non-ELL",133,"66.2%","87.6%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","ELL","*","*","*"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","Non-ELL","*","51.4%","73.4%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","ELL","*","*","*"
"=""0370011""","Derby School District","=""0370611""","Bradley School","Non-ELL","*","27.1%","60.2%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","ELL",7,"*","*"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","Non-ELL",288,"22.6%","40.3%"
"=""0370011""","Derby School District","=""0370411""","Irving School","Non-ELL",102,"20.6%","43.6%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","Non-ELL",191,"46.6%","64.9%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","ELL","*","*","*"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","Non-ELL","*","56.0%","80.0%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School","Non-ELL",389,"32.4%","52.4%"
"=""0420011""","East Hampton School District","=""0420311""","Center School","ELL","*","*","*"
"=""0420011""","East Hampton School District","=""0420311""","Center School","Non-ELL","*","48.5%","75.3%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","ELL","*","*","*"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School","Non-ELL","*","25.1%","41.2%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","ELL",15,"*","*"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School","Non-ELL",71,"21.1%","49.8%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","ELL",15,"*","*"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School","Non-ELL",92,"21.7%","48.3%"
