"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","School Code","School","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Male",97,"47.4%","71.7%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Female",136,"45.6%","66.2%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Male",89,"30.3%","56.6%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Female",112,"31.3%","57.9%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Male",197,"27.4%","46.3%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Female",171,"29.8%","50.7%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Male",111,"27.0%","45.6%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Female",107,"30.8%","52.9%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Male",107,"23.4%","43.6%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Female",104,"22.1%","45.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Male",171,"24.6%","45.4%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Female",161,"33.5%","54.7%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Male",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Male",356,"42.7%","61.7%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Female",308,"43.2%","62.5%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Male",6,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Male",52,"32.7%","60.9%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Female",63,"47.6%","68.1%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Male",50,"42.0%","75.3%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Female",61,"39.3%","71.5%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Male","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Male",212,"41.5%","62.8%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Female",230,"36.1%","63.1%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Male",69,"46.4%","66.3%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Female",65,"46.2%","77.2%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Male",56,"41.1%","70.9%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Female",62,"37.1%","67.2%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Male","*","*","*"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Female","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Male",201,"51.2%","72.4%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Female",195,"43.1%","62.3%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Male","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Male",67,"35.8%","61.2%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Female",58,"34.5%","52.9%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","Male","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Male",67,"53.7%","76.7%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Female",75,"48.0%","78.9%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Male",245,"42.4%","65.1%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Female",219,"49.3%","70.4%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Male",98,"32.7%","66.6%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Female",105,"35.2%","59.1%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Male",392,"49.7%","69.4%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Female",362,"47.8%","69.4%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Male",36,"55.6%","85.5%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Female",37,"45.9%","78.9%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Male",169,"30.8%","50.1%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Female",181,"40.9%","57.5%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Male",18,"*","*"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Female",21,"33.3%","58.6%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Male",15,"*","*"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Female",21,"52.4%","84.0%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Male",125,"44.0%","62.9%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Female",87,"40.2%","67.3%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Male",189,"48.1%","73.8%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Female",183,"54.6%","75.6%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Male",128,"59.4%","76.0%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Female",142,"61.3%","82.0%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Male",48,"10.4%","24.7%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Female",39,"17.9%","40.1%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Male",224,"34.4%","50.5%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Female",87,"42.5%","61.3%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Male",22,"36.4%","66.1%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Female",12,"*","*"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Male","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Male",70,"41.4%","72.6%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Female",57,"50.9%","79.5%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Male",91,"37.4%","53.2%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Female",198,"43.4%","64.9%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Male",66,"42.4%","66.7%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Female",52,"38.5%","69.7%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Female","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Male",59,"25.4%","38.8%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Female",137,"21.9%","44.6%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Male",132,"27.3%","51.1%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Female",162,"38.3%","59.0%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Male",50,"40.0%","61.7%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Female",39,"28.2%","51.5%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Male",34,"55.9%","83.1%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Female",46,"43.5%","70.4%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Male",85,"27.1%","46.3%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Female",44,"38.6%","54.7%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Male",55,"47.3%","74.1%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Female",47,"29.8%","63.2%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Male","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Male","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Female","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Male",392,"35.2%","52.1%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Female",229,"33.2%","53.7%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Male",51,"58.8%","83.6%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Female",60,"76.7%","94.9%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Male",22,"27.3%","39.7%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Female",20,"35.0%","48.3%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Male",72,"69.4%","88.9%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Female",80,"71.3%","90.8%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Male",333,"47.1%","62.9%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Female",365,"48.5%","65.1%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Male",129,"45.7%","69.3%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Female",143,"49.0%","72.8%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Male",185,"56.8%","75.2%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Female",182,"54.4%","80.1%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Male",94,"59.6%","83.6%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Female",104,"64.4%","86.2%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Male",38,"60.5%","75.6%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Female",62,"51.6%","73.7%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Male",148,"51.4%","74.2%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Female",153,"51.0%","78.3%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Male",224,"48.7%","66.2%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Female",202,"44.6%","64.0%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Male",180,"59.4%","83.7%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Female",173,"57.8%","86.0%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Male",294,"28.9%","43.6%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Female",284,"36.6%","52.1%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Male",13,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Female",18,"*","*"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Male",110,"36.4%","62.5%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Female",115,"39.1%","60.2%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Male",95,"46.3%","64.9%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Female",104,"35.6%","56.7%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Male",61,"26.2%","47.3%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Female",8,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Male",29,"48.3%","64.9%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Female",16,"*","*"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Male",184,"50.5%","71.0%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Female",188,"54.8%","75.6%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Male",103,"55.3%","78.0%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Female",130,"47.7%","79.5%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Male",225,"44.9%","66.0%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Female",207,"48.8%","67.1%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Male",165,"30.9%","52.8%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Female",151,"19.9%","44.2%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Male",429,"38.2%","58.2%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Female",422,"36.0%","54.6%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Male",59,"66.1%","93.7%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Female",52,"67.3%","90.1%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Male",46,"52.2%","78.7%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Female",43,"48.8%","74.2%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Male",56,"69.6%","93.0%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Female",57,"45.6%","76.9%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Male",171,"29.2%","54.1%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Female",172,"30.2%","58.0%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Male",44,"65.9%","90.9%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Female",53,"64.2%","89.7%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Male",93,"68.8%","92.1%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Female",74,"64.9%","83.9%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Male",47,"38.3%","70.9%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Female",59,"35.6%","68.9%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Male",385,"41.3%","58.9%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Female",425,"42.8%","62.7%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Male",75,"49.3%","73.3%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Female",76,"52.6%","81.0%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Male",49,"49.0%","76.9%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Female",62,"51.6%","79.5%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Male",74,"37.8%","65.8%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Female",83,"33.7%","60.8%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Male",54,"66.7%","89.1%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Female",67,"65.7%","88.6%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Male",250,"34.0%","51.4%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Female",225,"34.7%","50.3%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Male",84,"69.0%","85.6%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Female",92,"55.4%","78.9%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Male",60,"48.3%","79.7%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Female",74,"59.5%","83.7%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Male",592,"74.3%","88.5%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Female",511,"70.6%","86.4%"
