"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"",,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",5,"Non-ELL",56,2522,2569,47,"53.6%","73.8%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",6,"Non-ELL",61,2536,2551,15,"39.3%","53.3%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",6,"ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",6,"Non-ELL","*",2551,2589,38,"58.4%","75.5%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",7,"ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",7,"Non-ELL","*",2567,2604,37,"53.5%","72.2%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",8,"ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",8,"Non-ELL","*",2588,2625,38,"54.1%","71.6%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",4,"ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",4,"Non-ELL","*",2457,2504,47,"45.3%","69.4%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",5,"ELL",7,"*","*","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",5,"Non-ELL",192,2500,2544,43,"48.4%","68.7%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School",5,"ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School",5,"Non-ELL","*",2470,2506,36,"24.3%","56.8%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School",6,"Non-ELL",91,2490,2528,38,"46.2%","69.5%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School",7,"Non-ELL",88,2520,2533,13,"25.0%","39.5%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School",8,"Non-ELL",91,2517,2549,33,"44.0%","66.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",6,"Non-ELL",21,2492,2523,31,"42.9%","61.6%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",7,"ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",7,"Non-ELL","*",2489,2543,54,"53.8%","68.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",8,"Non-ELL",32,2542,2595,53,"53.1%","73.1%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School",4,"ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School",4,"Non-ELL","*",2415,2461,46,"32.3%","61.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",4,"Non-ELL",53,2472,2541,69,"62.3%","89.2%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",5,"Non-ELL",65,2512,2557,45,"53.8%","72.9%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",6,"Non-ELL",61,2565,2597,31,"55.7%","70.6%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",7,"Non-ELL",60,2559,2599,40,"53.3%","74.3%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",8,"Non-ELL",49,2568,2613,45,"55.1%","71.9%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",4,"ELL","*","*","*","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",4,"Non-ELL","*",2409,2448,40,"30.0%","55.0%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",5,"Non-ELL",29,2461,2503,41,"37.9%","69.3%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",6,"Non-ELL",21,2491,2519,28,"47.6%","58.0%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",7,"Non-ELL",16,"*","*","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",8,"Non-ELL",20,2555,2598,43,"45.0%","66.1%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",5,"ELL",7,"*","*","*","*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",5,"Non-ELL",206,2502,2547,44,"42.2%","66.7%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",6,"ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",6,"Non-ELL","*",2515,2539,23,"39.5%","54.5%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",7,"Non-ELL",202,2548,2587,39,"49.0%","67.0%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",8,"Non-ELL",222,2576,2588,11,"33.3%","49.6%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School",4,"ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School",4,"Non-ELL","*",2467,2506,39,"43.5%","65.8%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School",4,"ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School",4,"Non-ELL","*",2465,2545,80,"72.1%","93.4%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School",4,"ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School",4,"Non-ELL","*",2432,2479,48,"48.7%","71.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",4,"ELL","*","*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",4,"Non-ELL","*",2392,2502,110,"79.5%","95.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",5,"ELL",11,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",5,"Non-ELL",71,2462,2488,26,"28.2%","46.5%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",6,"ELL","*","*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",6,"Non-ELL","*",2450,2486,36,"42.4%","62.5%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",7,"ELL",18,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",7,"Non-ELL",65,2499,2525,25,"32.3%","48.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",8,"ELL",12,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",8,"Non-ELL",73,2511,2587,76,"65.8%","90.9%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",4,"ELL",6,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",4,"Non-ELL",40,2374,2383,9,"2.5%","28.6%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",5,"ELL",8,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",5,"Non-ELL",48,2375,2415,39,"25.0%","57.5%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",6,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",6,"Non-ELL","*",2413,2482,69,"65.4%","84.2%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",7,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",7,"Non-ELL","*",2455,2485,30,"24.3%","52.3%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",8,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",8,"Non-ELL","*",2471,2481,10,"23.3%","41.8%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",4,"ELL",8,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",4,"Non-ELL",40,2352,2369,18,"15.0%","37.9%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",5,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",5,"Non-ELL","*",2425,2474,49,"36.4%","62.7%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",6,"Non-ELL",26,2434,2474,40,"34.6%","62.1%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",4,"ELL",15,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",4,"Non-ELL",31,2405,2457,52,"38.7%","67.0%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",5,"ELL",7,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",5,"Non-ELL",31,2440,2511,71,"58.1%","88.5%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",6,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",6,"Non-ELL","*",2479,2478,-1,"23.8%","36.2%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",7,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",7,"Non-ELL","*",2513,2554,41,"53.8%","71.4%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",8,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",8,"Non-ELL","*",2523,2542,19,"30.8%","51.1%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",4,"ELL",19,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",4,"Non-ELL",89,2361,2393,31,"23.6%","48.2%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",5,"ELL",15,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",5,"Non-ELL",71,2392,2434,42,"31.0%","59.1%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",6,"ELL",10,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",6,"Non-ELL",77,2415,2450,35,"32.5%","54.4%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",7,"ELL",10,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",7,"Non-ELL",119,2470,2521,51,"49.6%","72.0%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",8,"ELL",12,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",8,"Non-ELL",116,2502,2526,24,"30.2%","48.7%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",4,"Non-ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",5,"Non-ELL",8,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",6,"Non-ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",7,"Non-ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",8,"Non-ELL",6,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",4,"ELL",9,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",4,"Non-ELL",41,2349,2392,44,"24.4%","54.2%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",5,"ELL",7,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",5,"Non-ELL",38,2401,2447,46,"36.8%","65.4%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",6,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",6,"Non-ELL","*",2396,2439,43,"37.0%","59.9%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",4,"ELL",31,2308,2333,25,"16.1%","42.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",4,"Non-ELL",74,2347,2378,30,"14.9%","49.3%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",5,"ELL",34,2332,2369,37,"32.4%","51.5%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",5,"Non-ELL",70,2383,2419,36,"25.7%","51.2%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",6,"ELL",34,2348,2375,27,"20.6%","47.7%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",6,"Non-ELL",61,2426,2465,40,"44.3%","61.4%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",7,"ELL",26,2362,2390,28,"19.2%","47.6%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",7,"Non-ELL",69,2454,2503,49,"43.5%","63.6%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",8,"ELL",32,2378,2416,39,"31.3%","53.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",8,"Non-ELL",75,2476,2483,7,"24.0%","47.8%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",4,"Non-ELL",43,2385,2431,46,"30.2%","58.0%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",5,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",5,"Non-ELL","*",2462,2484,22,"27.0%","45.0%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",6,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",6,"Non-ELL","*",2478,2512,34,"50.0%","69.5%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",7,"Non-ELL",34,2510,2553,43,"47.1%","72.1%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",8,"ELL","*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",8,"Non-ELL","*",2562,2581,19,"34.4%","56.2%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",4,"ELL",11,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",4,"Non-ELL",67,2331,2397,65,"43.3%","68.5%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",5,"ELL",8,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",5,"Non-ELL",60,2367,2436,68,"41.7%","73.5%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",6,"ELL",11,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",6,"Non-ELL",30,2414,2465,51,"40.0%","64.4%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",7,"ELL",11,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",7,"Non-ELL",30,2455,2503,48,"40.0%","70.0%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",8,"ELL",12,"*","*","*","*","*"
