"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELA","Not Eligible For Lunch",17,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Math","Eligible For Lunch",63,2426,2434,8,"17.5%","39.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Math","Not Eligible For Lunch",17,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELA","Eligible For Lunch",57,2443,2474,32,"35.1%","58.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELA","Not Eligible For Lunch",28,2514,2537,22,"28.6%","53.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Math","Eligible For Lunch",57,2435,2481,46,"61.4%","81.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Math","Not Eligible For Lunch",28,2478,2525,47,"57.1%","80.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELA","Eligible For Lunch",54,2395,2444,48,"35.2%","62.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELA","Not Eligible For Lunch",22,2445,2485,40,"36.4%","58.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Math","Eligible For Lunch",54,2396,2447,51,"33.3%","71.8%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Math","Not Eligible For Lunch",22,2427,2479,52,"27.3%","74.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"ELA","Eligible For Lunch",55,2414,2435,22,"20.0%","46.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"ELA","Not Eligible For Lunch",35,2471,2497,26,"28.6%","57.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Math","Eligible For Lunch",55,2433,2430,-4,"20.0%","32.0%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Math","Not Eligible For Lunch",36,2473,2480,7,"27.8%","47.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELA","Eligible For Lunch",54,2464,2508,44,"51.9%","70.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELA","Not Eligible For Lunch",20,2494,2539,44,"50.0%","67.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Math","Eligible For Lunch",54,2446,2497,51,"59.3%","79.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Math","Not Eligible For Lunch",20,2469,2524,55,"70.0%","81.6%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"ELA","Eligible For Lunch",25,2301,2332,31,"16.0%","43.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"Math","Eligible For Lunch",25,2293,2320,27,"8.0%","42.7%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"ELA","Eligible For Lunch",20,2331,2352,21,"10.0%","37.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"Math","Eligible For Lunch",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"ELA","Eligible For Lunch",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"Math","Eligible For Lunch",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"ELA","Eligible For Lunch",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"Math","Eligible For Lunch",15,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"ELA","Eligible For Lunch",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"Math","Eligible For Lunch",18,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELA","Eligible For Lunch",154,2472,2473,1,"19.5%","35.9%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELA","Not Eligible For Lunch",86,2541,2535,-5,"24.4%","43.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Math","Eligible For Lunch",155,2451,2456,5,"20.6%","40.9%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Math","Not Eligible For Lunch",87,2509,2521,12,"32.2%","47.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELA","Eligible For Lunch",159,2483,2504,21,"30.2%","50.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELA","Not Eligible For Lunch",81,2532,2559,27,"35.8%","59.8%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Math","Eligible For Lunch",159,2459,2496,38,"47.2%","68.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Math","Not Eligible For Lunch",81,2510,2560,50,"64.2%","83.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELA","Eligible For Lunch",129,2502,2514,12,"26.4%","46.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELA","Not Eligible For Lunch",85,2564,2588,25,"42.4%","57.1%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Math","Eligible For Lunch",129,2464,2471,8,"25.6%","43.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Math","Not Eligible For Lunch",85,2550,2566,17,"43.5%","59.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELA","Eligible For Lunch",42,2386,2419,33,"26.2%","49.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELA","Not Eligible For Lunch",27,2417,2460,43,"44.4%","62.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Math","Eligible For Lunch",42,2371,2410,39,"26.2%","56.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Math","Not Eligible For Lunch",27,2419,2456,37,"18.5%","58.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"ELA","Eligible For Lunch",40,2416,2454,38,"17.5%","51.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"ELA","Not Eligible For Lunch",29,2443,2501,57,"41.4%","74.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Math","Eligible For Lunch",40,2407,2410,3,"12.5%","37.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Math","Not Eligible For Lunch",29,2430,2450,20,"41.4%","57.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELA","Eligible For Lunch",41,2457,2498,41,"43.9%","65.6%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELA","Not Eligible For Lunch",30,2526,2556,31,"46.7%","63.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Math","Eligible For Lunch",41,2426,2439,14,"34.1%","51.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Math","Not Eligible For Lunch",30,2475,2509,35,"43.3%","64.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"ELA","Eligible For Lunch",34,2475,2525,50,"47.1%","71.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"ELA","Not Eligible For Lunch",25,2555,2598,43,"48.0%","67.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Math","Eligible For Lunch",34,2434,2482,48,"55.9%","78.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Math","Not Eligible For Lunch",25,2512,2560,48,"64.0%","82.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELA","Eligible For Lunch",37,2528,2560,33,"40.5%","63.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELA","Not Eligible For Lunch",29,2535,2568,32,"27.6%","55.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Math","Eligible For Lunch",37,2474,2498,25,"40.5%","54.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Math","Not Eligible For Lunch",29,2517,2522,4,"41.4%","54.1%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"ELA","Eligible For Lunch",15,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"ELA","Not Eligible For Lunch",26,2492,2524,32,"34.6%","57.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Math","Eligible For Lunch",14,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Math","Not Eligible For Lunch",26,2474,2522,48,"42.3%","73.6%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"ELA","Eligible For Lunch",9,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"ELA","Not Eligible For Lunch",28,2552,2568,16,"42.9%","61.9%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"Math","Eligible For Lunch",9,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"Math","Not Eligible For Lunch",28,2534,2504,-30,"0.0%","8.1%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"ELA","Eligible For Lunch",12,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"ELA","Not Eligible For Lunch",24,2510,2535,25,"37.5%","59.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Math","Eligible For Lunch",12,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Math","Not Eligible For Lunch",24,2482,2497,15,"16.7%","41.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELA","Eligible For Lunch",14,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELA","Not Eligible For Lunch",32,2548,2589,41,"46.9%","69.1%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"Math","Eligible For Lunch",14,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"Math","Not Eligible For Lunch",32,2506,2579,73,"81.3%","95.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"ELA","Eligible For Lunch",17,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"ELA","Not Eligible For Lunch",17,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"Math","Eligible For Lunch",17,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"Math","Not Eligible For Lunch",17,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"ELA","Eligible For Lunch",13,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"ELA","Not Eligible For Lunch",243,2601,2639,38,"59.7%","75.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"Math","Eligible For Lunch",13,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"Math","Not Eligible For Lunch",243,2602,2643,42,"65.4%","83.5%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"ELA","Eligible For Lunch",14,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"ELA","Not Eligible For Lunch",248,2614,2639,25,"50.4%","65.5%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"Math","Eligible For Lunch",14,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"Math","Not Eligible For Lunch",248,2627,2661,34,"67.7%","81.0%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"ELA","Eligible For Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"ELA","Not Eligible For Lunch","*",2508,2550,41,"52.6%","71.5%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"Math","Eligible For Lunch",6,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"Math","Not Eligible For Lunch",100,2495,2541,46,"46.0%","73.2%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"ELA","Eligible For Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"ELA","Not Eligible For Lunch","*",2504,2556,51,"59.6%","75.8%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"Math","Eligible For Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"Math","Not Eligible For Lunch","*",2513,2546,33,"47.3%","67.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"ELA","Eligible For Lunch",17,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"ELA","Not Eligible For Lunch",239,2533,2577,44,"55.2%","74.8%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"Math","Eligible For Lunch",17,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"Math","Not Eligible For Lunch",241,2529,2554,25,"42.7%","62.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"ELA","Eligible For Lunch",8,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"ELA","Not Eligible For Lunch",250,2574,2614,40,"64.0%","80.8%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"Math","Eligible For Lunch",8,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"Math","Not Eligible For Lunch",250,2550,2606,56,"70.4%","89.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"ELA","Eligible For Lunch",9,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"ELA","Not Eligible For Lunch",35,2443,2495,52,"57.1%","75.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"Math","Eligible For Lunch",9,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"Math","Not Eligible For Lunch",35,2411,2464,53,"42.9%","73.0%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"ELA","Eligible For Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"ELA","Not Eligible For Lunch","*",2527,2556,30,"39.0%","66.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"Math","Eligible For Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"Math","Not Eligible For Lunch","*",2466,2495,29,"26.8%","63.6%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"ELA","Eligible For Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"ELA","Not Eligible For Lunch","*",2555,2588,33,"40.0%","64.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"Math","Eligible For Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"Math","Not Eligible For Lunch","*",2516,2558,43,"42.5%","71.5%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School",4,"ELA","Not Eligible For Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School",4,"Math","Not Eligible For Lunch","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"ELA","Eligible For Lunch",23,2473,2504,31,"56.5%","68.0%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"ELA","Not Eligible For Lunch",185,2532,2568,36,"50.3%","70.1%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"Math","Eligible For Lunch",23,2458,2463,6,"34.8%","51.3%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"Math","Not Eligible For Lunch",185,2515,2542,27,"35.1%","60.3%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"ELA","Eligible For Lunch",28,2497,2530,33,"39.3%","57.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"ELA","Not Eligible For Lunch",214,2556,2596,40,"50.5%","70.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"Math","Eligible For Lunch",28,2462,2490,28,"35.7%","60.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"Math","Not Eligible For Lunch",213,2539,2573,34,"50.7%","70.3%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"ELA","Eligible For Lunch",30,2491,2530,38,"43.3%","69.3%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"ELA","Not Eligible For Lunch",180,2577,2617,40,"57.2%","73.7%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"Math","Eligible For Lunch",30,2467,2486,20,"43.3%","56.4%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"Math","Not Eligible For Lunch",180,2578,2593,14,"44.4%","59.0%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"ELA","Eligible For Lunch",11,"*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"ELA","Not Eligible For Lunch",47,2446,2524,79,"72.3%","91.6%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"Math","Eligible For Lunch",11,"*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"Math","Not Eligible For Lunch",47,2448,2533,85,"83.0%","98.8%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"ELA","Eligible For Lunch",9,"*","*","*","*","*"
