"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","School Code","School","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Non-Special Education",173,"41.0%","55.8%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Special Education",53,"34.0%","54.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Non-Special Education",465,"69.0%","84.4%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Special Education","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Non-Special Education","*","43.7%","71.3%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Special Education","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Non-Special Education","*","46.2%","66.6%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Special Education",35,"37.1%","59.8%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Non-Special Education",481,"56.1%","75.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Special Education",20,"25.0%","53.9%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Non-Special Education",112,"36.6%","68.3%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Special Education","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Special Education",71,"23.9%","39.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Non-Special Education",588,"45.4%","65.4%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Special Education",17,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Non-Special Education",124,"52.4%","73.3%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Special Education",20,"40.0%","71.5%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Non-Special Education",174,"34.5%","65.9%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Special Education",13,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Non-Special Education",78,"66.7%","87.3%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Special Education",24,"50.0%","72.4%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Non-Special Education",143,"56.6%","79.7%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Special Education",66,"39.4%","60.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Non-Special Education",547,"55.8%","75.6%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Special Education",36,"61.1%","85.7%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Non-Special Education",360,"66.4%","89.0%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Special Education",36,"30.6%","48.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Non-Special Education",168,"56.0%","80.9%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Special Education",25,"20.0%","38.7%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Non-Special Education",155,"40.0%","58.2%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Special Education",8,"*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Non-Special Education",72,"29.2%","44.6%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Special Education",12,"*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Non-Special Education",86,"48.8%","78.7%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Special Education",34,"55.9%","76.3%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Non-Special Education",254,"50.0%","70.3%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Special Education",17,"*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Non-Special Education",90,"47.8%","75.5%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Special Education",102,"35.3%","53.8%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Non-Special Education",739,"41.0%","60.4%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Special Education","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Non-Special Education","*","30.0%","65.6%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Special Education",6,"*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Non-Special Education",57,"73.7%","96.8%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Special Education",8,"*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Non-Special Education",70,"41.4%","70.0%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Special Education",38,"36.8%","60.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Non-Special Education",384,"61.7%","79.5%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Special Education",52,"23.1%","50.0%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Non-Special Education",164,"21.3%","42.9%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Special Education",18,"*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Non-Special Education",90,"33.3%","58.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Special Education",27,"33.3%","52.2%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Non-Special Education",155,"43.2%","65.2%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Special Education",57,"31.6%","49.7%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Non-Special Education",495,"30.5%","52.6%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Special Education",23,"13.0%","32.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Special Education",16,"*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Non-Special Education",113,"23.0%","47.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Special Education",65,"33.8%","52.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Non-Special Education",495,"33.1%","54.5%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Special Education",17,"*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Non-Special Education",169,"33.7%","55.6%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Special Education",23,"26.1%","44.5%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Non-Special Education",252,"39.7%","63.4%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Special Education",38,"21.1%","36.9%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Non-Special Education",105,"16.2%","35.9%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Special Education",57,"28.1%","50.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Non-Special Education",291,"25.4%","46.1%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Special Education",17,"*","*"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Non-Special Education",129,"8.5%","24.4%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Special Education",24,"41.7%","62.2%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Non-Special Education",63,"25.4%","51.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Special Education",46,"37.0%","53.3%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Non-Special Education",288,"32.3%","57.2%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Special Education",9,"*","*"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Non-Special Education",72,"29.2%","49.1%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Special Education",17,"*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Non-Special Education",72,"16.7%","46.5%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Special Education",24,"20.8%","40.0%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Non-Special Education",189,"24.9%","45.0%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Special Education",27,"51.9%","67.9%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Non-Special Education",137,"21.2%","46.6%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Special Education",16,"*","*"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Non-Special Education",203,"29.6%","50.1%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Special Education",48,"33.3%","44.4%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Non-Special Education",213,"39.0%","61.7%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Special Education",66,"25.8%","49.8%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Non-Special Education",327,"25.7%","47.4%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Special Education",38,"31.6%","53.1%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Non-Special Education",161,"21.1%","44.0%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Special Education",6,"*","*"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Non-Special Education",227,"47.6%","69.1%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Non-Special Education",201,"30.8%","57.4%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Special Education",49,"24.5%","46.3%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Non-Special Education",319,"29.2%","48.6%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Special Education",35,"42.9%","60.4%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Non-Special Education",183,"26.2%","47.0%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Special Education",33,"30.3%","55.3%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Non-Special Education",178,"21.3%","42.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Special Education",33,"21.2%","41.7%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Non-Special Education",299,"29.8%","50.8%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Special Education",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Special Education",116,"37.1%","53.7%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Non-Special Education",548,"44.2%","63.8%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Special Education",6,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Special Education",16,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Non-Special Education",99,"41.4%","66.2%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Special Education",10,"*","*"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Non-Special Education",101,"38.6%","72.8%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Special Education","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Special Education",73,"30.1%","52.5%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Non-Special Education",369,"40.4%","65.0%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Special Education",24,"33.3%","55.7%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Non-Special Education",110,"49.1%","75.1%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Special Education",22,"40.9%","67.9%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Non-Special Education",96,"38.5%","69.2%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Special Education","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Special Education",54,"38.9%","63.0%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Non-Special Education",342,"48.5%","68.1%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Special Education","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Special Education",15,"*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Non-Special Education",110,"35.5%","57.7%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","Special Education","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Special Education",18,"*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Non-Special Education",124,"53.2%","78.4%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Special Education",89,"36.0%","54.5%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Non-Special Education",375,"48.0%","70.7%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Special Education",26,"61.5%","88.5%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Non-Special Education",177,"29.9%","58.9%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Special Education",83,"39.8%","59.4%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Non-Special Education",671,"49.9%","70.6%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Special Education",8,"*","*"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Non-Special Education",65,"53.8%","83.3%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Special Education",24,"20.8%","46.8%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Non-Special Education",326,"37.1%","54.5%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Special Education","*","*","*"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Non-Special Education","*","22.9%","47.2%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Special Education","*","*","*"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Non-Special Education","*","57.1%","85.3%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Special Education",20,"35.0%","50.8%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Non-Special Education",192,"43.2%","66.2%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Special Education",36,"16.7%","31.7%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Non-Special Education",336,"55.1%","79.3%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Special Education",36,"55.6%","73.9%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Non-Special Education",234,"61.1%","80.0%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Special Education","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Non-Special Education","*","14.6%","32.8%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Special Education",31,"19.4%","33.9%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Non-Special Education",280,"38.6%","55.7%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Special Education",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Non-Special Education",28,"35.7%","66.7%"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Special Education","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Special Education",17,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Non-Special Education",110,"47.3%","78.0%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Special Education",51,"41.2%","56.6%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Non-Special Education",238,"41.6%","62.2%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Special Education",10,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Non-Special Education",108,"42.6%","71.3%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Special Education","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Special Education",12,"*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Non-Special Education",184,"20.7%","40.9%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Special Education",35,"28.6%","44.4%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Non-Special Education",259,"34.0%","56.9%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Special Education",20,"30.0%","56.1%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Non-Special Education",69,"36.2%","57.6%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Special Education",10,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Non-Special Education",70,"50.0%","78.6%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Special Education",20,"20.0%","31.7%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Non-Special Education",109,"33.0%","52.4%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Special Education",26,"38.5%","65.1%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Non-Special Education",76,"39.5%","70.4%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Special Education","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Special Education",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Special Education",64,"34.4%","52.0%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Non-Special Education",557,"34.5%","52.7%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Special Education",31,"61.3%","80.2%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Non-Special Education",80,"71.3%","93.4%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Special Education",8,"*","*"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Non-Special Education",34,"29.4%","42.4%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Special Education",15,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Non-Special Education",137,"72.3%","91.4%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Special Education",66,"37.9%","53.6%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Non-Special Education",632,"48.9%","65.2%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Special Education",25,"32.0%","61.1%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Non-Special Education",247,"49.0%","72.1%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Special Education",32,"46.9%","71.3%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Non-Special Education",335,"56.4%","78.3%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Special Education",20,"55.0%","75.9%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Non-Special Education",178,"62.9%","86.0%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Special Education",20,"50.0%","64.8%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Non-Special Education",80,"56.3%","76.8%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Special Education",44,"50.0%","72.6%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Non-Special Education",257,"51.4%","76.9%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Special Education",56,"30.4%","48.1%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Non-Special Education",370,"49.2%","67.7%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Special Education",42,"50.0%","73.1%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Non-Special Education",311,"59.8%","86.4%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Special Education",77,"20.8%","34.1%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Non-Special Education",501,"34.5%","49.9%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Special Education",7,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Non-Special Education",24,"33.3%","62.6%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Special Education",28,"32.1%","51.9%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Non-Special Education",197,"38.6%","62.7%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Special Education",27,"37.0%","61.9%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Non-Special Education",172,"41.3%","60.4%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Special Education",69,"29.0%","50.3%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Special Education",7,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Non-Special Education",38,"39.5%","60.4%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Special Education",44,"38.6%","61.6%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Non-Special Education",328,"54.6%","74.9%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Special Education",23,"43.5%","67.8%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Non-Special Education",210,"51.9%","80.1%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Special Education",38,"36.8%","60.5%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Non-Special Education",394,"47.7%","67.1%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Special Education",31,"29.0%","60.0%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Non-Special Education",285,"25.3%","47.5%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Special Education",107,"32.7%","49.3%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Non-Special Education",744,"37.8%","57.4%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Special Education",11,"*","*"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Non-Special Education",100,"67.0%","92.6%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Special Education",14,"*","*"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Non-Special Education",75,"52.0%","77.2%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Special Education",16,"*","*"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Non-Special Education",97,"60.8%","87.7%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Special Education",36,"25.0%","59.6%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Non-Special Education",307,"30.3%","55.6%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Special Education",7,"*","*"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Non-Special Education",90,"64.4%","90.7%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Special Education",16,"*","*"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Non-Special Education",151,"68.9%","90.5%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Special Education",10,"*","*"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Non-Special Education",96,"35.4%","68.4%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Special Education",104,"41.3%","58.6%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Non-Special Education",706,"42.2%","61.2%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Special Education",11,"*","*"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Non-Special Education",140,"50.7%","77.6%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Special Education",9,"*","*"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Non-Special Education",102,"52.0%","79.4%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Special Education",22,"36.4%","56.5%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Non-Special Education",135,"35.6%","64.3%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Special Education",11,"*","*"
