"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","School Code","School","Subject","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Female",335,"38.5%","57.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Male",167,"32.3%","57.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Female",167,"42.5%","65.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Male",167,"30.5%","52.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Female",167,"42.5%","63.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Male",97,"36.1%","55.9%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Female",97,"39.2%","62.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Male",96,"43.8%","61.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Female",97,"40.2%","55.3%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Male",277,"52.0%","70.1%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Female",241,"57.3%","70.0%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Male",276,"66.3%","79.1%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Female",242,"64.5%","83.9%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Male",50,"50.0%","71.4%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Female",52,"50.0%","69.9%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Male",53,"54.7%","79.1%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Female",53,"32.1%","62.1%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Male",50,"54.0%","75.0%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Female",49,"59.2%","74.1%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Male",49,"53.1%","73.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Female",49,"36.7%","57.4%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Male",257,"54.5%","74.0%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Female",257,"62.3%","79.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Male",257,"56.4%","74.0%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Female",259,"53.3%","74.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Male",65,"43.1%","66.8%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Female",67,"46.3%","72.5%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Male",65,"32.3%","66.6%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Female",67,"37.3%","65.7%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","ELA","Male","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Math","Male","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Male",366,"51.4%","68.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Female",294,"52.0%","72.6%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Male",365,"42.5%","61.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Female",294,"43.9%","63.8%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Male",80,"46.3%","75.6%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Female",61,"72.1%","86.6%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Male",80,"52.5%","69.2%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Female",61,"49.2%","72.5%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Male",104,"43.3%","70.3%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Female",90,"45.6%","71.7%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Male",104,"36.5%","66.6%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Female",90,"33.3%","66.3%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Male",47,"57.4%","82.1%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Female",44,"63.6%","84.5%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Male",47,"63.8%","86.8%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Female",44,"68.2%","87.2%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Male",91,"46.2%","68.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Female",76,"53.9%","71.2%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Male",91,"47.3%","70.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Female",76,"65.8%","88.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Male",311,"51.4%","70.3%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Female",302,"57.6%","74.8%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Male",312,"51.3%","71.1%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Female",301,"56.8%","76.9%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Male",205,"46.3%","65.7%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Female",191,"46.1%","71.0%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Male",204,"72.1%","91.2%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Female",192,"59.4%","86.0%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Male",109,"30.3%","60.5%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Female",95,"38.9%","64.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","Male",109,"50.5%","75.9%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","Female",95,"52.6%","74.4%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA","Male",97,"24.7%","45.2%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA","Female",82,"46.3%","62.3%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","Male",97,"30.9%","50.4%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","Female",83,"44.6%","61.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","Male",26,"53.8%","68.2%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","Female",54,"48.1%","67.6%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","Male",26,"34.6%","57.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","Female",54,"27.8%","40.6%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","Male",52,"28.8%","63.9%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","Female",45,"35.6%","59.1%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","Male",52,"50.0%","77.6%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","Female",46,"45.7%","78.5%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA","Male",145,"53.8%","74.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA","Female",143,"58.0%","76.7%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math","Male",145,"49.0%","69.0%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math","Female",143,"52.4%","73.1%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","Male",51,"35.3%","56.2%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","Female",56,"44.6%","65.2%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","Male",51,"51.0%","70.9%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","Female",56,"42.9%","74.9%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","Male",412,"38.8%","57.9%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","Female",429,"42.9%","60.7%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","Male",413,"40.9%","59.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","Female",428,"39.7%","59.9%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","Male",36,"41.7%","65.8%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","Female",27,"48.1%","67.4%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","Male",36,"41.7%","73.3%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","Female",27,"14.8%","57.1%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","Male",31,"67.7%","89.6%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","Female",32,"78.1%","98.2%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","Male",31,"71.0%","95.3%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","Female",32,"75.0%","97.9%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","Male",44,"52.3%","74.2%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","Female",35,"48.6%","70.6%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","Male",43,"41.9%","68.4%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","Female",35,"37.1%","71.2%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","Male",210,"47.1%","67.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","Female",212,"51.9%","69.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","Male",210,"58.6%","76.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","Female",212,"60.4%","79.6%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","ELA","Male",112,"18.8%","47.2%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","ELA","Female",104,"29.8%","54.8%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Math","Male",112,"24.1%","45.5%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Math","Female",104,"19.2%","43.7%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","ELA","Male",54,"27.8%","53.7%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","ELA","Female",54,"24.1%","49.4%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Math","Male",54,"38.9%","56.8%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Math","Female",54,"22.2%","50.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","ELA","Male",95,"31.6%","55.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","ELA","Female",85,"44.7%","65.8%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Math","Male",95,"43.2%","62.1%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Math","Female",87,"40.2%","64.5%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","ELA","Male",287,"30.7%","54.0%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","ELA","Female",251,"36.7%","58.9%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Math","Male",297,"29.3%","48.9%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Math","Female",255,"32.2%","56.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","ELA","Male","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","ELA","Female","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Math","Male","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Math","Female","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","ELA","Male",75,"29.3%","56.5%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","ELA","Female",51,"35.3%","65.3%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Math","Male",77,"24.7%","47.7%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Math","Female",52,"21.2%","45.8%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","ELA","Male",260,"28.1%","53.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","ELA","Female",246,"28.0%","51.9%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Math","Male",290,"31.4%","52.4%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Math","Female",270,"35.2%","56.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","ELA","Male",85,"38.8%","62.3%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","ELA","Female",101,"35.6%","58.5%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Math","Male",85,"24.7%","50.1%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Math","Female",101,"36.6%","55.0%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","ELA","Male",128,"43.8%","69.4%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","ELA","Female",144,"38.2%","65.6%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Math","Male",131,"36.6%","58.1%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Math","Female",144,"40.3%","65.2%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","ELA","Male",84,"17.9%","36.0%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","ELA","Female",60,"13.3%","33.4%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Math","Male",83,"20.5%","41.0%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Math","Female",60,"13.3%","29.4%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","ELA","Male",185,"21.1%","46.0%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","ELA","Female",164,"34.1%","58.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Math","Male",184,"27.2%","47.0%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Math","Female",164,"24.4%","46.6%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","ELA","Male",75,"13.3%","33.7%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","ELA","Female",71,"16.9%","40.1%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Math","Male",75,"12.0%","28.4%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Math","Female",71,"7.0%","24.4%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","ELA","Male",51,"21.6%","48.1%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","ELA","Female",36,"38.9%","62.0%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Math","Male",51,"23.5%","50.5%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Math","Female",36,"38.9%","59.5%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELA","Male",173,"35.3%","56.9%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELA","Female",153,"34.0%","61.7%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Math","Male",179,"34.6%","58.7%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Math","Female",155,"31.0%","54.4%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELA","Male",47,"27.7%","56.1%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELA","Female",34,"35.3%","68.2%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Math","Male",47,"23.4%","48.8%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Math","Female",34,"38.2%","51.0%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELA","Male",38,"39.5%","61.9%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELA","Female",51,"19.6%","47.9%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Math","Male",38,"18.4%","50.3%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Math","Female",51,"17.6%","43.5%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","ELA","Male",87,"35.6%","57.5%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","ELA","Female",126,"40.5%","61.8%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Math","Male",87,"16.1%","33.2%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Math","Female",126,"30.2%","52.2%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELA","Male",89,"27.0%","54.4%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELA","Female",76,"28.9%","53.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Math","Male",89,"29.2%","54.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Math","Female",75,"22.7%","45.0%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","ELA","Male",117,"28.2%","50.4%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","ELA","Female",102,"29.4%","54.9%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Math","Male",117,"30.8%","53.4%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Math","Female",102,"25.5%","44.7%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","ELA","Male",143,"38.5%","63.7%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","ELA","Female",118,"42.4%","65.9%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Math","Male",143,"41.3%","63.8%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Math","Female",118,"33.9%","52.2%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","ELA","Male",185,"20.5%","46.3%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","ELA","Female",175,"28.6%","53.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Math","Male",201,"26.4%","49.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Math","Female",192,"25.0%","46.1%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","ELA","Male",107,"29.9%","55.0%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","ELA","Female",92,"39.1%","65.1%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Math","Male",107,"23.4%","45.1%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Math","Female",92,"22.8%","46.5%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","ELA","Male",97,"32.0%","52.6%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","ELA","Female",136,"49.3%","67.1%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Math","Male",97,"47.4%","71.7%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Math","Female",136,"45.6%","66.2%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","ELA","Male",89,"34.8%","55.0%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","ELA","Female",112,"41.1%","63.3%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Math","Male",89,"30.3%","56.6%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Math","Female",112,"31.3%","57.9%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","ELA","Male",196,"26.0%","48.0%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","ELA","Female",170,"26.5%","45.9%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Math","Male",197,"27.4%","46.3%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Math","Female",171,"29.8%","50.7%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","ELA","Male",109,"22.0%","44.4%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","ELA","Female",104,"22.1%","47.1%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Math","Male",111,"27.0%","45.6%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Math","Female",107,"30.8%","52.9%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","ELA","Male",107,"25.2%","50.5%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","ELA","Female",104,"30.8%","51.9%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Math","Male",107,"23.4%","43.6%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Math","Female",104,"22.1%","45.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","ELA","Male",170,"37.6%","60.6%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","ELA","Female",161,"41.6%","65.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Math","Male",171,"24.6%","45.4%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Math","Female",161,"33.5%","54.7%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","ELA","Male",9,"*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Math","Male",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELA","Male",353,"31.7%","51.1%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELA","Female",307,"39.7%","60.6%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Math","Male",356,"42.7%","61.7%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Math","Female",308,"43.2%","62.5%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","ELA","Male",7,"*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Math","Male",6,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","ELA","Male",52,"44.2%","72.3%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","ELA","Female",63,"42.9%","72.8%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Math","Male",52,"32.7%","60.9%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Math","Female",63,"47.6%","68.1%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","ELA","Male",50,"46.0%","67.7%"
