"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","School Code","School","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Non-High Needs",46,"32.6%","68.7%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","High Needs",11,"*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Non-High Needs",52,"73.1%","96.2%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","High Needs",36,"50.0%","71.5%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Non-High Needs",42,"31.0%","68.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","High Needs",354,"59.6%","77.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Non-High Needs",68,"58.8%","78.9%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","High Needs",216,"21.8%","44.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","High Needs",108,"30.6%","53.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","High Needs",182,"41.8%","63.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","High Needs",552,"30.6%","52.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","High Needs",23,"13.0%","32.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","High Needs",129,"23.3%","47.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","High Needs",560,"33.2%","54.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","High Needs",186,"31.2%","52.8%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","High Needs",275,"38.5%","61.8%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","High Needs",143,"17.5%","36.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","High Needs",348,"25.9%","46.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","High Needs",146,"9.6%","26.5%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","High Needs",87,"29.9%","54.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","High Needs",334,"32.9%","56.7%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","High Needs",81,"29.6%","49.7%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","High Needs",89,"18.0%","46.4%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","High Needs",213,"24.4%","44.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","High Needs",164,"26.2%","50.1%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","High Needs",219,"28.3%","49.3%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","High Needs",261,"37.9%","58.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","High Needs",393,"25.7%","47.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","High Needs",199,"23.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","High Needs",233,"46.4%","68.5%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","High Needs",201,"30.8%","57.4%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","High Needs",368,"28.5%","48.3%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","High Needs",218,"28.9%","49.2%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","High Needs",211,"22.7%","44.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","High Needs",332,"28.9%","49.9%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","High Needs",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","High Needs",322,"41.0%","58.8%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Non-High Needs",342,"44.7%","65.1%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","High Needs",6,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","High Needs",42,"45.2%","68.2%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Non-High Needs",73,"38.4%","62.9%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","High Needs",63,"34.9%","68.9%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Non-High Needs",48,"47.9%","78.8%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","High Needs",260,"37.7%","63.1%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Non-High Needs",182,"40.1%","62.8%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","High Needs",55,"38.2%","60.3%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Non-High Needs",79,"51.9%","79.5%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","High Needs",61,"37.7%","69.6%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Non-High Needs",57,"40.4%","68.2%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","High Needs",167,"46.1%","65.7%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Non-High Needs",229,"48.0%","68.6%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","High Needs",63,"23.8%","49.7%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Non-High Needs",62,"46.8%","65.2%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","High Needs","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","High Needs",85,"48.2%","77.7%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Non-High Needs",57,"54.4%","78.0%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","High Needs",282,"42.2%","64.1%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Non-High Needs",182,"51.1%","73.1%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","High Needs",42,"52.4%","79.9%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Non-High Needs",161,"29.2%","58.2%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","High Needs",134,"44.0%","64.5%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Non-High Needs",620,"49.8%","70.4%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","High Needs",27,"29.6%","72.9%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Non-High Needs",46,"63.0%","87.6%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","High Needs",111,"34.2%","51.7%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Non-High Needs",239,"36.8%","55.0%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","High Needs",8,"*","*"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Non-High Needs",31,"22.6%","48.1%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","High Needs",9,"*","*"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Non-High Needs",27,"48.1%","82.2%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","High Needs",77,"35.1%","56.2%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Non-High Needs",135,"46.7%","69.6%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","High Needs",75,"34.7%","54.6%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Non-High Needs",297,"55.6%","79.7%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","High Needs",62,"53.2%","76.3%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Non-High Needs",208,"62.5%","80.0%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","High Needs",57,"14.0%","31.8%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Non-High Needs",30,"13.3%","31.2%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","High Needs",159,"23.9%","40.5%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Non-High Needs",152,"50.0%","67.2%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","High Needs",16,"*","*"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Non-High Needs",18,"*","*"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","High Needs","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","High Needs",56,"32.1%","65.4%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Non-High Needs",71,"56.3%","83.8%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","High Needs",191,"40.3%","60.7%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Non-High Needs",98,"43.9%","62.3%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","High Needs",70,"35.7%","65.8%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Non-High Needs",48,"47.9%","71.4%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","High Needs","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","High Needs",127,"24.4%","43.4%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Non-High Needs",69,"20.3%","42.0%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","High Needs",156,"28.2%","47.9%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Non-High Needs",138,"39.1%","63.9%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","High Needs",47,"34.0%","56.0%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Non-High Needs",42,"35.7%","58.6%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","High Needs",50,"46.0%","72.5%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Non-High Needs",30,"53.3%","81.4%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","High Needs",92,"28.3%","47.9%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Non-High Needs",37,"37.8%","52.3%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","High Needs",68,"33.8%","65.4%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Non-High Needs",34,"50.0%","76.4%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","High Needs","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","High Needs",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","High Needs",320,"28.8%","47.3%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Non-High Needs",301,"40.5%","58.3%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","High Needs",71,"67.6%","88.9%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Non-High Needs",40,"70.0%","91.2%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","High Needs",26,"30.8%","43.1%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Non-High Needs",16,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","High Needs",26,"61.5%","84.2%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Non-High Needs",126,"72.2%","91.1%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","High Needs",109,"39.4%","55.1%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Non-High Needs",589,"49.4%","65.7%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","High Needs",47,"29.8%","60.7%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Non-High Needs",225,"51.1%","73.3%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","High Needs",60,"46.7%","71.4%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Non-High Needs",307,"57.3%","78.9%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","High Needs",25,"52.0%","72.4%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Non-High Needs",173,"63.6%","86.8%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","High Needs",26,"50.0%","65.9%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Non-High Needs",74,"56.8%","77.4%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","High Needs",91,"50.5%","76.5%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Non-High Needs",210,"51.4%","76.2%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","High Needs",133,"42.1%","58.9%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Non-High Needs",293,"48.8%","68.0%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","High Needs",95,"48.4%","75.6%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Non-High Needs",258,"62.4%","88.3%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","High Needs",162,"27.8%","42.5%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Non-High Needs",416,"34.6%","49.8%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","High Needs",10,"*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Non-High Needs",21,"28.6%","61.5%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","High Needs",60,"38.3%","58.9%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Non-High Needs",165,"37.6%","62.2%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","High Needs",77,"36.4%","57.8%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Non-High Needs",122,"43.4%","62.4%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","High Needs",69,"29.0%","50.3%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","High Needs",11,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Non-High Needs",34,"35.3%","58.1%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","High Needs",100,"44.0%","70.6%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Non-High Needs",272,"55.9%","74.3%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","High Needs",54,"48.1%","75.3%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Non-High Needs",179,"52.0%","79.9%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","High Needs",110,"40.9%","60.3%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Non-High Needs",322,"48.8%","68.6%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","High Needs",82,"30.5%","57.2%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Non-High Needs",234,"23.9%","45.7%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","High Needs",529,"36.7%","56.1%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Non-High Needs",322,"37.9%","56.9%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","High Needs",94,"66.0%","90.8%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Non-High Needs",17,"*","*"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","High Needs",50,"46.0%","76.5%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Non-High Needs",39,"56.4%","76.6%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","High Needs",88,"58.0%","85.6%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Non-High Needs",25,"56.0%","82.3%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","High Needs",178,"24.2%","51.9%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Non-High Needs",165,"35.8%","60.5%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","High Needs",86,"67.4%","91.5%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Non-High Needs",11,"*","*"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","High Needs",134,"62.7%","85.5%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Non-High Needs",33,"84.8%","100.0%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","High Needs",68,"35.3%","67.5%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Non-High Needs",38,"39.5%","73.9%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","High Needs",607,"39.9%","58.8%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Non-High Needs",203,"48.8%","67.2%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","High Needs",96,"51.0%","76.6%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Non-High Needs",55,"50.9%","78.2%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","High Needs",95,"50.5%","78.6%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Non-High Needs",16,"*","*"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","High Needs",94,"36.2%","61.4%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Non-High Needs",63,"34.9%","65.7%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","High Needs",36,"44.4%","79.6%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Non-High Needs",85,"75.3%","92.8%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","High Needs",210,"29.5%","45.5%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy","Non-High Needs",265,"38.1%","55.1%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","High Needs",30,"36.7%","65.1%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School","Non-High Needs",146,"67.1%","85.6%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","High Needs",21,"28.6%","69.0%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School","Non-High Needs",113,"59.3%","84.3%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","High Needs",178,"57.9%","75.0%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School","Non-High Needs",925,"75.5%","89.9%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","High Needs",20,"55.0%","81.5%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School","Non-High Needs",119,"60.5%","81.2%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","High Needs",22,"50.0%","86.7%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School","Non-High Needs",102,"64.7%","87.4%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","High Needs",6,"*","*"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School","Non-High Needs",127,"66.1%","87.9%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","High Needs",44,"43.2%","64.5%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School","Non-High Needs",101,"54.5%","76.7%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","High Needs",57,"19.3%","48.8%"
"=""0370011""","Derby School District","=""0370611""","Bradley School","Non-High Needs",64,"32.8%","69.4%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","High Needs",175,"18.3%","34.2%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School","Non-High Needs",120,"27.5%","48.1%"
"=""0370011""","Derby School District","=""0370411""","Irving School","High Needs",88,"21.6%","43.5%"
"=""0370011""","Derby School District","=""0370411""","Irving School","Non-High Needs",14,"*","*"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","High Needs",45,"40.0%","56.0%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School","Non-High Needs",146,"48.6%","67.6%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School","High Needs",28,"50.0%","70.3%"
