"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","School Code","School","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Eligible For Lunch",89,"18.0%","46.4%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Eligible For Lunch",213,"24.4%","44.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Eligible For Lunch",164,"26.2%","50.1%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Eligible For Lunch",219,"28.3%","49.3%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Eligible For Lunch",261,"37.9%","58.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Eligible For Lunch",393,"25.7%","47.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Eligible For Lunch",199,"23.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Eligible For Lunch",233,"46.4%","68.5%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Eligible For Lunch",201,"30.8%","57.4%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Eligible For Lunch",368,"28.5%","48.3%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Eligible For Lunch",218,"28.9%","49.2%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Eligible For Lunch",211,"22.7%","44.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Eligible For Lunch",332,"28.9%","49.9%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Not Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Eligible For Lunch",276,"40.6%","58.0%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Not Eligible For Lunch",388,"44.6%","64.9%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Not Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Eligible For Lunch",34,"44.1%","69.2%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Not Eligible For Lunch",81,"39.5%","63.0%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Eligible For Lunch",61,"34.4%","68.9%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Not Eligible For Lunch",50,"48.0%","78.4%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Eligible For Lunch",237,"38.4%","64.2%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Not Eligible For Lunch",205,"39.0%","61.6%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Eligible For Lunch",45,"37.8%","57.2%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Not Eligible For Lunch",89,"50.6%","78.9%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Eligible For Lunch",50,"38.0%","72.5%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Not Eligible For Lunch",68,"39.7%","66.4%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Eligible For Lunch",135,"45.9%","65.2%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Not Eligible For Lunch",261,"47.9%","68.5%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Not Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Eligible For Lunch",53,"22.6%","49.0%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Not Eligible For Lunch",72,"44.4%","63.5%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","Eligible For Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Eligible For Lunch",78,"50.0%","77.9%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Not Eligible For Lunch",64,"51.6%","77.8%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Eligible For Lunch",259,"43.2%","64.9%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Not Eligible For Lunch",205,"48.8%","71.0%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Eligible For Lunch",15,"*","*"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Not Eligible For Lunch",188,"32.4%","61.9%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Eligible For Lunch",54,"42.6%","66.9%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Not Eligible For Lunch",700,"49.3%","69.6%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Eligible For Lunch",23,"34.8%","74.5%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Not Eligible For Lunch",50,"58.0%","85.7%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Eligible For Lunch",100,"36.0%","51.9%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Not Eligible For Lunch",250,"36.0%","54.8%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Eligible For Lunch","*","*","*"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Not Eligible For Lunch","*","26.5%","50.3%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Eligible For Lunch",8,"*","*"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Not Eligible For Lunch",28,"46.4%","81.7%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Eligible For Lunch",64,"32.8%","56.6%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Not Eligible For Lunch",148,"46.6%","68.2%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Eligible For Lunch",48,"41.7%","62.8%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Not Eligible For Lunch",324,"52.8%","76.4%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Eligible For Lunch",36,"50.0%","78.9%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Not Eligible For Lunch",234,"62.0%","79.2%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Eligible For Lunch",55,"14.5%","33.0%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Not Eligible For Lunch",32,"12.5%","29.3%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Eligible For Lunch",148,"24.3%","41.1%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Not Eligible For Lunch",163,"47.9%","64.8%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Eligible For Lunch",13,"*","*"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Not Eligible For Lunch",21,"38.1%","68.0%"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Eligible For Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Eligible For Lunch",47,"34.0%","65.4%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Not Eligible For Lunch",80,"52.5%","81.7%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Eligible For Lunch",172,"40.7%","61.5%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Not Eligible For Lunch",117,"42.7%","60.7%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Eligible For Lunch",68,"35.3%","65.0%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Not Eligible For Lunch",50,"48.0%","72.1%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Eligible For Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Eligible For Lunch",121,"23.1%","41.9%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Not Eligible For Lunch",75,"22.7%","44.4%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Eligible For Lunch",142,"28.2%","48.8%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Not Eligible For Lunch",152,"38.2%","61.6%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Eligible For Lunch",39,"30.8%","52.4%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Not Eligible For Lunch",50,"38.0%","61.0%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Eligible For Lunch",46,"47.8%","73.8%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Not Eligible For Lunch",34,"50.0%","78.6%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Eligible For Lunch",88,"29.5%","50.1%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Not Eligible For Lunch",41,"34.1%","47.2%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Eligible For Lunch",65,"33.8%","64.8%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Not Eligible For Lunch",37,"48.6%","76.6%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Not Eligible For Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Eligible For Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy","Not Eligible For Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Eligible For Lunch",295,"28.1%","46.7%"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School","Not Eligible For Lunch",326,"40.2%","58.0%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Eligible For Lunch",64,"67.2%","88.0%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School","Not Eligible For Lunch",47,"70.2%","92.1%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Eligible For Lunch",24,"33.3%","46.7%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School","Not Eligible For Lunch",18,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Eligible For Lunch",15,"*","*"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School","Not Eligible For Lunch",137,"70.8%","89.7%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Eligible For Lunch",58,"34.5%","49.3%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School","Not Eligible For Lunch",640,"49.1%","65.4%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Eligible For Lunch",24,"20.8%","58.8%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School","Not Eligible For Lunch",248,"50.0%","72.3%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Eligible For Lunch",34,"47.1%","72.3%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School","Not Eligible For Lunch",333,"56.5%","78.2%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Eligible For Lunch",11,"*","*"
"=""0250011""","Cheshire School District","=""0250511""","Norton School","Not Eligible For Lunch",187,"63.1%","85.8%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Eligible For Lunch",7,"*","*"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School","Not Eligible For Lunch",93,"55.9%","75.5%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Eligible For Lunch",57,"49.1%","78.0%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School","Not Eligible For Lunch",244,"51.6%","75.9%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Eligible For Lunch",99,"46.5%","63.4%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School","Not Eligible For Lunch",327,"46.8%","65.7%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Eligible For Lunch",65,"47.7%","78.6%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School","Not Eligible For Lunch",288,"61.1%","86.3%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Eligible For Lunch",105,"29.5%","44.7%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School","Not Eligible For Lunch",473,"33.4%","48.4%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Eligible For Lunch","*","*","*"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School","Not Eligible For Lunch","*","30.8%","59.4%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Eligible For Lunch",39,"38.5%","59.5%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School","Not Eligible For Lunch",186,"37.6%","61.7%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Eligible For Lunch",62,"32.3%","52.6%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School","Not Eligible For Lunch",137,"44.5%","64.2%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Eligible For Lunch",33,"33.3%","55.4%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program","Not Eligible For Lunch",36,"25.0%","45.7%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Eligible For Lunch",7,"*","*"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School","Not Eligible For Lunch",38,"42.1%","63.6%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Eligible For Lunch",78,"43.6%","69.9%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School","Not Eligible For Lunch",294,"55.1%","74.2%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Eligible For Lunch",36,"52.8%","78.5%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School","Not Eligible For Lunch",197,"50.8%","78.9%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Eligible For Lunch",82,"42.7%","60.6%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School","Not Eligible For Lunch",350,"47.7%","67.9%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Eligible For Lunch",57,"29.8%","56.9%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School","Not Eligible For Lunch",259,"24.7%","46.9%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Eligible For Lunch",472,"35.0%","54.7%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School","Not Eligible For Lunch",379,"39.8%","58.5%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Eligible For Lunch",88,"64.8%","89.8%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School","Not Eligible For Lunch",23,"73.9%","100.0%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Eligible For Lunch",45,"46.7%","77.4%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School","Not Eligible For Lunch",44,"54.5%","75.6%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Eligible For Lunch",82,"61.0%","86.8%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School","Not Eligible For Lunch",31,"48.4%","79.7%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Eligible For Lunch",161,"24.8%","50.7%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School","Not Eligible For Lunch",182,"34.1%","60.8%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Eligible For Lunch",83,"68.7%","92.2%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School","Not Eligible For Lunch",14,"*","*"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Eligible For Lunch",128,"64.1%","87.0%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School","Not Eligible For Lunch",39,"76.9%","93.4%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Eligible For Lunch",65,"33.8%","65.8%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School","Not Eligible For Lunch",41,"41.5%","76.0%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Eligible For Lunch",560,"39.8%","58.1%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School","Not Eligible For Lunch",250,"47.2%","67.2%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Eligible For Lunch",90,"53.3%","78.6%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School","Not Eligible For Lunch",61,"47.5%","75.0%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Eligible For Lunch",92,"51.1%","78.6%"
"=""0340011""","Danbury School District","=""0341011""","South Street School","Not Eligible For Lunch",19,"*","*"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Eligible For Lunch",78,"34.6%","62.4%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School","Not Eligible For Lunch",79,"36.7%","63.9%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School","Eligible For Lunch",30,"50.0%","84.1%"
