"Smarter Balanced Growth Report, 2015-16"
"All Districts, Race"

"District Code","District","School Code","School","Subject","Race/Ethnicity","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Asian","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Two or More Races","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Hispanic/Latino of any race","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Black or African American","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","American Indian or Alaska Native","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Native Hawaiian or Other Pacific Islander",7,"*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","White",153,"24.2%","42.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Asian","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Two or More Races",6,"*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Hispanic/Latino of any race",91,"29.7%","49.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Black or African American",55,"18.2%","39.1%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","American Indian or Alaska Native","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Native Hawaiian or Other Pacific Islander",7,"*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","White",153,"34.0%","51.5%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Asian","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Two or More Races",6,"*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Hispanic/Latino of any race",89,"38.2%","59.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Black or African American",56,"25.0%","40.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","White",92,"22.8%","52.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Asian","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Two or More Races",7,"*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Hispanic/Latino of any race",88,"27.3%","51.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Black or African American",52,"25.0%","51.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","White",92,"38.0%","63.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Asian","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Two or More Races",7,"*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Hispanic/Latino of any race",88,"29.5%","53.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Black or African American",52,"30.8%","56.5%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","White",119,"35.3%","58.5%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Asian","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Two or More Races",9,"*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Hispanic/Latino of any race",67,"35.8%","59.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Black or African American",40,"37.5%","64.9%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","White",120,"38.3%","62.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Asian","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Two or More Races",9,"*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Hispanic/Latino of any race",67,"37.3%","60.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Black or African American",40,"35.0%","58.7%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA","White",15,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA","Two or More Races",9,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA","Hispanic/Latino of any race",24,"12.5%","42.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA","Black or African American",46,"23.9%","45.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math","White",15,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math","Two or More Races",8,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math","Hispanic/Latino of any race",22,"40.9%","61.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math","Black or African American",43,"20.9%","45.7%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","American Indian or Alaska Native","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","White",217,"32.3%","51.4%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Asian",34,"38.2%","55.8%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Two or More Races",20,"30.0%","48.3%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Hispanic/Latino of any race",331,"26.9%","45.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Black or African American",90,"20.0%","40.9%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","American Indian or Alaska Native","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","White",218,"43.6%","62.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Asian",34,"55.9%","70.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Two or More Races",20,"50.0%","62.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Hispanic/Latino of any race",332,"33.1%","52.1%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Black or African American",90,"24.4%","44.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","American Indian or Alaska Native","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","White",73,"49.3%","71.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Asian","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Two or More Races",17,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Hispanic/Latino of any race",69,"24.6%","55.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Black or African American",163,"36.8%","61.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","American Indian or Alaska Native","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","White",73,"45.2%","70.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Asian","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Two or More Races",17,"*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Hispanic/Latino of any race",69,"33.3%","54.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Black or African American",163,"32.5%","51.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","White",174,"37.9%","60.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Asian","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Two or More Races","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Hispanic/Latino of any race",8,"*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Black or African American",6,"*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","White",173,"39.9%","56.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Asian","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Two or More Races","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Hispanic/Latino of any race",8,"*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Black or African American",6,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","White",381,"52.2%","67.9%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Asian",76,"64.5%","78.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Two or More Races",15,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Hispanic/Latino of any race",26,"53.8%","72.2%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Black or African American",20,"45.0%","59.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","White",381,"62.5%","79.6%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Asian",76,"86.8%","95.6%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Two or More Races",15,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Hispanic/Latino of any race",26,"46.2%","67.1%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Black or African American",20,"50.0%","66.5%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","White",68,"48.5%","67.2%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Asian",20,"50.0%","83.9%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Two or More Races","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Hispanic/Latino of any race","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Black or African American",6,"*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","White",69,"39.1%","70.6%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Asian",22,"68.2%","89.7%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Two or More Races","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Hispanic/Latino of any race","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Black or African American",7,"*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","White",64,"53.1%","73.1%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Asian",22,"77.3%","85.5%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Two or More Races","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Hispanic/Latino of any race","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Black or African American","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","White",63,"38.1%","61.2%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Asian",22,"77.3%","88.2%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Two or More Races","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Hispanic/Latino of any race","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Black or African American","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","American Indian or Alaska Native","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","White",371,"58.2%","76.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Asian",62,"75.8%","89.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Two or More Races","*","63.6%","86.0%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Hispanic/Latino of any race",34,"41.2%","61.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Black or African American",23,"34.8%","59.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","American Indian or Alaska Native","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","White",372,"51.6%","71.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Asian",63,"82.5%","99.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Two or More Races","*","54.5%","77.1%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Hispanic/Latino of any race",34,"50.0%","67.8%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Black or African American",23,"39.1%","56.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","White",128,"44.5%","69.4%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Asian","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Two or More Races","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Black or African American","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","White",128,"33.6%","65.0%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Asian","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Two or More Races","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Black or African American","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","ELA","White","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Math","White","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","White",550,"52.4%","70.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Asian",21,"52.4%","81.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Two or More Races",25,"64.0%","80.9%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Hispanic/Latino of any race",55,"45.5%","63.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Black or African American",9,"*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","White",549,"43.4%","62.7%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Asian",21,"47.6%","80.1%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Two or More Races",25,"44.0%","67.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Hispanic/Latino of any race",55,"38.2%","53.6%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Black or African American",9,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","White",116,"57.8%","80.0%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Asian","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Two or More Races","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Hispanic/Latino of any race",16,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","White",116,"50.0%","71.8%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Asian","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Two or More Races","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Hispanic/Latino of any race",16,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","American Indian or Alaska Native","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","White",168,"45.2%","70.8%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Asian","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Two or More Races",6,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Hispanic/Latino of any race",14,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Black or African American","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","American Indian or Alaska Native","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","White",168,"33.3%","65.2%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Asian","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Two or More Races",6,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Hispanic/Latino of any race",14,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Black or African American","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","White",74,"66.2%","88.4%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Asian","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Two or More Races","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Hispanic/Latino of any race",13,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Black or African American","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","White",74,"67.6%","87.4%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Asian","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Two or More Races","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Hispanic/Latino of any race",13,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Black or African American","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","American Indian or Alaska Native","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","White",142,"45.8%","65.8%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Asian",16,"*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Two or More Races","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Hispanic/Latino of any race",6,"*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Black or African American","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","American Indian or Alaska Native","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","White",142,"52.8%","76.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Asian",16,"*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Two or More Races","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Hispanic/Latino of any race",6,"*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Black or African American","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","White",433,"56.8%","75.2%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Asian",50,"66.0%","85.6%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Two or More Races",16,"*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Hispanic/Latino of any race",100,"42.0%","58.5%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Black or African American","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","White",432,"53.9%","74.9%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Asian",50,"64.0%","79.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Two or More Races",16,"*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Hispanic/Latino of any race",101,"50.5%","69.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Black or African American","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","White",292,"45.9%","68.4%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Asian",27,"59.3%","71.5%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Two or More Races","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Hispanic/Latino of any race",64,"45.3%","67.1%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Black or African American",8,"*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","White",290,"65.9%","87.7%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Asian",27,"70.4%","92.0%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Two or More Races","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Hispanic/Latino of any race",66,"65.2%","89.9%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Black or African American",8,"*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","White","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Asian","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Two or More Races",13,"*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Hispanic/Latino of any race",26,"42.3%","61.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Black or African American",157,"33.1%","63.1%"
