"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Math","Eligible for Free Lunch",45,2483,2540,56,"66.7%","81.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Math","Not Eligible for Free/Reduced Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Math","Eligible for Reduced Lunch",12,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"ELA","Eligible for Free Lunch",7,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"ELA","Not Eligible for Free/Reduced Lunch",31,2486,2537,52,"51.6%","78.0%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Math","Eligible for Free Lunch",7,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Math","Not Eligible for Free/Reduced Lunch",31,2467,2518,50,"35.5%","76.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"ELA","Not Eligible for Free/Reduced Lunch","*",2538,2581,43,"55.3%","74.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Math","Not Eligible for Free/Reduced Lunch","*",2534,2573,39,"52.6%","76.0%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"ELA","Not Eligible for Free/Reduced Lunch",39,2580,2601,20,"51.3%","66.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Math","Not Eligible for Free/Reduced Lunch",41,2553,2592,38,"61.0%","79.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"ELA","Eligible for Free Lunch",80,2459,2467,8,"17.5%","36.6%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"ELA","Not Eligible for Free/Reduced Lunch",44,2492,2502,10,"27.3%","46.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"ELA","Eligible for Reduced Lunch",23,2479,2484,5,"4.3%","41.1%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Math","Eligible for Free Lunch",80,2462,2472,10,"22.5%","47.9%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Math","Not Eligible for Free/Reduced Lunch",44,2497,2519,22,"36.4%","53.5%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Math","Eligible for Reduced Lunch",23,2479,2492,13,"30.4%","43.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELA","Eligible for Free Lunch",108,2494,2511,17,"29.6%","47.1%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELA","Not Eligible for Free/Reduced Lunch",39,2544,2570,26,"35.9%","55.9%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELA","Eligible for Reduced Lunch",22,2530,2531,1,"22.7%","34.9%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Math","Eligible for Free Lunch",108,2484,2503,18,"42.6%","58.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Math","Not Eligible for Free/Reduced Lunch",38,2536,2548,12,"26.3%","47.5%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Math","Eligible for Reduced Lunch",22,2513,2504,-9,"31.8%","42.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELA","Eligible for Free Lunch",54,2397,2436,39,"27.8%","57.9%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELA","Not Eligible for Free/Reduced Lunch","*",2436,2477,41,"30.4%","56.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Math","Eligible for Free Lunch",54,2412,2437,25,"16.7%","47.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Math","Not Eligible for Free/Reduced Lunch","*",2440,2473,32,"21.7%","59.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELA","Eligible for Free Lunch",56,2438,2451,13,"8.9%","37.3%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELA","Not Eligible for Free/Reduced Lunch",17,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELA","Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Math","Eligible for Free Lunch",56,2425,2431,6,"16.1%","37.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Math","Not Eligible for Free/Reduced Lunch",17,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Math","Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELA","Eligible for Free Lunch",50,2449,2478,30,"34.0%","58.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELA","Not Eligible for Free/Reduced Lunch",28,2514,2537,22,"28.6%","53.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELA","Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Math","Eligible for Free Lunch",50,2437,2486,49,"64.0%","83.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Math","Not Eligible for Free/Reduced Lunch",28,2478,2525,47,"57.1%","80.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Math","Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELA","Eligible for Free Lunch",43,2385,2436,51,"34.9%","63.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELA","Not Eligible for Free/Reduced Lunch",22,2445,2485,40,"36.4%","58.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELA","Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Math","Eligible for Free Lunch",43,2386,2434,48,"27.9%","67.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Math","Not Eligible for Free/Reduced Lunch",22,2427,2479,52,"27.3%","74.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Math","Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"ELA","Eligible for Free Lunch",43,2417,2433,16,"18.6%","42.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"ELA","Not Eligible for Free/Reduced Lunch",35,2471,2497,26,"28.6%","57.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"ELA","Eligible for Reduced Lunch",12,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Math","Eligible for Free Lunch",43,2437,2434,-2,"18.6%","30.5%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Math","Not Eligible for Free/Reduced Lunch",36,2473,2480,7,"27.8%","47.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Math","Eligible for Reduced Lunch",12,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELA","Eligible for Free Lunch",43,2465,2513,48,"55.8%","76.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELA","Not Eligible for Free/Reduced Lunch",20,2494,2539,44,"50.0%","67.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELA","Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Math","Eligible for Free Lunch",43,2444,2499,55,"62.8%","84.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Math","Not Eligible for Free/Reduced Lunch",20,2469,2524,55,"70.0%","81.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Math","Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"ELA","Eligible for Free Lunch",25,2301,2332,31,"16.0%","43.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"Math","Eligible for Free Lunch",25,2293,2320,27,"8.0%","42.7%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"ELA","Eligible for Free Lunch",20,2331,2352,21,"10.0%","37.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"Math","Eligible for Free Lunch",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"ELA","Eligible for Free Lunch",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"Math","Eligible for Free Lunch",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"ELA","Eligible for Free Lunch",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"Math","Eligible for Free Lunch",15,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"ELA","Eligible for Free Lunch",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"Math","Eligible for Free Lunch",18,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELA","Eligible for Free Lunch",129,2468,2472,4,"20.2%","37.4%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELA","Not Eligible for Free/Reduced Lunch",86,2541,2535,-5,"24.4%","43.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELA","Eligible for Reduced Lunch",25,2494,2476,-18,"16.0%","28.1%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Math","Eligible for Free Lunch",130,2449,2454,5,"21.5%","40.4%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Math","Not Eligible for Free/Reduced Lunch",87,2509,2521,12,"32.2%","47.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Math","Eligible for Reduced Lunch",25,2463,2464,1,"16.0%","43.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELA","Eligible for Free Lunch",144,2482,2505,23,"31.3%","52.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELA","Not Eligible for Free/Reduced Lunch",81,2532,2559,27,"35.8%","59.8%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELA","Eligible for Reduced Lunch",15,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Math","Eligible for Free Lunch",144,2457,2494,38,"47.2%","67.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Math","Not Eligible for Free/Reduced Lunch",81,2510,2560,50,"64.2%","83.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Math","Eligible for Reduced Lunch",15,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELA","Eligible for Free Lunch",109,2498,2507,10,"25.7%","45.4%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELA","Not Eligible for Free/Reduced Lunch",85,2564,2588,25,"42.4%","57.1%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELA","Eligible for Reduced Lunch",20,2524,2551,26,"30.0%","50.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Math","Eligible for Free Lunch",109,2459,2467,8,"23.9%","42.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Math","Not Eligible for Free/Reduced Lunch",85,2550,2566,17,"43.5%","59.3%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Math","Eligible for Reduced Lunch",20,2488,2498,9,"35.0%","50.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELA","Eligible for Free Lunch",30,2384,2414,30,"23.3%","48.6%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELA","Not Eligible for Free/Reduced Lunch",27,2417,2460,43,"44.4%","62.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELA","Eligible for Reduced Lunch",12,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Math","Eligible for Free Lunch",30,2373,2414,41,"26.7%","58.6%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Math","Not Eligible for Free/Reduced Lunch",27,2419,2456,37,"18.5%","58.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Math","Eligible for Reduced Lunch",12,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"ELA","Eligible for Free Lunch",33,2420,2463,42,"21.2%","54.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"ELA","Not Eligible for Free/Reduced Lunch",29,2443,2501,57,"41.4%","74.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"ELA","Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Math","Eligible for Free Lunch",33,2408,2412,3,"12.1%","40.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Math","Not Eligible for Free/Reduced Lunch",29,2430,2450,20,"41.4%","57.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Math","Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELA","Eligible for Free Lunch",28,2462,2495,33,"39.3%","59.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELA","Not Eligible for Free/Reduced Lunch",30,2526,2556,31,"46.7%","63.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELA","Eligible for Reduced Lunch",13,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Math","Eligible for Free Lunch",28,2422,2436,14,"35.7%","53.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Math","Not Eligible for Free/Reduced Lunch",30,2475,2509,35,"43.3%","64.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Math","Eligible for Reduced Lunch",13,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"ELA","Eligible for Free Lunch",27,2473,2519,47,"44.4%","70.1%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"ELA","Not Eligible for Free/Reduced Lunch",25,2555,2598,43,"48.0%","67.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"ELA","Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Math","Eligible for Free Lunch",27,2440,2482,42,"48.1%","74.1%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Math","Not Eligible for Free/Reduced Lunch",25,2512,2560,48,"64.0%","82.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Math","Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELA","Eligible for Free Lunch",33,2522,2560,37,"45.5%","68.1%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELA","Not Eligible for Free/Reduced Lunch","*",2535,2568,32,"27.6%","55.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Math","Eligible for Free Lunch",33,2471,2496,26,"42.4%","52.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Math","Not Eligible for Free/Reduced Lunch","*",2517,2522,4,"41.4%","54.1%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"ELA","Not Eligible for Free/Reduced Lunch",26,2492,2524,32,"34.6%","57.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Math","Not Eligible for Free/Reduced Lunch",26,2474,2522,48,"42.3%","73.6%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"ELA","Eligible for Free Lunch",9,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"ELA","Not Eligible for Free/Reduced Lunch",28,2552,2568,16,"42.9%","61.9%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"Math","Eligible for Free Lunch",9,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"Math","Not Eligible for Free/Reduced Lunch",28,2534,2504,-30,"0.0%","8.1%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"ELA","Not Eligible for Free/Reduced Lunch",24,2510,2535,25,"37.5%","59.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Math","Not Eligible for Free/Reduced Lunch",24,2482,2497,15,"16.7%","41.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELA","Not Eligible for Free/Reduced Lunch",32,2548,2589,41,"46.9%","69.1%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"Math","Not Eligible for Free/Reduced Lunch",32,2506,2579,73,"81.3%","95.3%"
