"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"",,,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Math","Special Education",14,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Math","Non-Special Education",71,2462,2512,50,"63.4%","85.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELA","Special Education",15,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELA","Non-Special Education",61,2429,2473,44,"36.1%","61.0%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Math","Special Education",15,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Math","Non-Special Education",61,2420,2476,56,"37.7%","77.5%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"ELA","Special Education",11,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"ELA","Non-Special Education",79,2445,2469,24,"25.3%","51.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Math","Special Education",11,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Math","Non-Special Education",80,2455,2456,1,"23.8%","39.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELA","Special Education",12,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELA","Non-Special Education",62,2488,2531,43,"53.2%","70.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Math","Special Education",12,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Math","Non-Special Education",62,2461,2519,58,"66.1%","84.6%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"ELA","Special Education","*",2298,2330,32,"17.4%","45.1%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"ELA","Non-Special Education","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"Math","Special Education","*",2290,2319,28,"8.7%","43.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"Math","Non-Special Education","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"ELA","Special Education",20,2331,2352,21,"10.0%","37.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"Math","Special Education",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"ELA","Special Education",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"Math","Special Education",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"ELA","Special Education",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"Math","Special Education",15,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"ELA","Special Education",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"Math","Special Education",18,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELA","Special Education",26,2417,2403,-13,"11.5%","24.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELA","Non-Special Education",214,2507,2507,-0,"22.4%","40.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Math","Special Education",26,2409,2385,-24,"15.4%","27.7%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Math","Non-Special Education",216,2479,2490,11,"25.9%","44.9%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELA","Special Education",24,2390,2421,32,"25.0%","53.3%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELA","Non-Special Education",216,2512,2534,22,"32.9%","53.8%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Math","Special Education",24,2348,2393,46,"37.5%","67.9%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Math","Non-Special Education",216,2491,2532,41,"54.6%","73.7%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELA","Special Education",29,2424,2445,20,"24.1%","39.9%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELA","Non-Special Education",185,2542,2559,17,"34.1%","52.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Math","Special Education",29,2371,2397,26,"31.0%","51.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Math","Non-Special Education",185,2518,2527,9,"33.0%","49.6%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELA","Special Education","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELA","Non-Special Education","*",2409,2444,35,"32.8%","54.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Math","Special Education","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Math","Non-Special Education","*",2398,2436,39,"23.4%","57.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"ELA","Special Education","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"ELA","Non-Special Education","*",2433,2479,46,"27.7%","61.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Math","Special Education","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Math","Non-Special Education","*",2421,2430,9,"24.6%","44.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELA","Special Education",10,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELA","Non-Special Education",61,2502,2540,38,"47.5%","67.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Math","Special Education",10,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Math","Non-Special Education",61,2460,2488,27,"41.0%","60.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"ELA","Special Education",12,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"ELA","Non-Special Education",47,2536,2576,40,"46.8%","69.1%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Math","Special Education",12,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Math","Non-Special Education",47,2489,2536,47,"61.7%","83.1%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELA","Special Education",9,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELA","Non-Special Education",57,2543,2580,36,"36.8%","63.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Math","Special Education",9,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Math","Non-Special Education",57,2505,2518,14,"38.6%","53.0%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"ELA","Special Education",7,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"ELA","Non-Special Education",34,2492,2531,39,"41.2%","62.6%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Math","Special Education",6,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Math","Non-Special Education",34,2477,2528,51,"58.8%","81.5%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"ELA","Non-Special Education",37,2552,2563,12,"37.8%","55.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"Math","Non-Special Education",37,2536,2503,-33,"0.0%","6.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"ELA","Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"ELA","Non-Special Education","*",2511,2534,23,"35.5%","54.6%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Math","Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Math","Non-Special Education","*",2486,2494,7,"22.6%","40.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELA","Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELA","Non-Special Education","*",2542,2580,37,"43.9%","67.5%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"Math","Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"Math","Non-Special Education","*",2502,2571,69,"73.2%","88.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"ELA","Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"ELA","Non-Special Education","*",2566,2599,34,"40.0%","64.6%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"Math","Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"Math","Non-Special Education","*",2572,2592,20,"46.7%","58.6%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"ELA","Special Education",25,2472,2528,56,"56.0%","80.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"ELA","Non-Special Education",231,2610,2646,36,"59.3%","74.9%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"Math","Special Education",25,2462,2517,55,"48.0%","73.1%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"Math","Non-Special Education",231,2611,2651,40,"65.4%","83.6%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"ELA","Special Education",28,2508,2517,9,"25.0%","40.4%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"ELA","Non-Special Education",234,2625,2650,25,"53.0%","67.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"Math","Special Education",28,2497,2498,2,"21.4%","38.2%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"Math","Non-Special Education",234,2639,2676,38,"72.6%","85.2%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"ELA","Special Education","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"ELA","Non-Special Education","*",2507,2549,41,"50.0%","70.9%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"Math","Special Education","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"Math","Non-Special Education","*",2494,2539,45,"43.7%","71.3%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"ELA","Special Education",6,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"ELA","Non-Special Education",93,2508,2558,50,"59.1%","77.0%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"Math","Special Education","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"Math","Non-Special Education","*",2513,2546,33,"46.2%","66.6%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"ELA","Special Education",18,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"ELA","Non-Special Education",238,2536,2579,44,"55.9%","74.7%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"Math","Special Education",18,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"Math","Non-Special Education",240,2532,2556,25,"41.7%","61.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"ELA","Special Education",17,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"ELA","Non-Special Education",241,2576,2616,40,"63.1%","80.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"Math","Special Education",17,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"Math","Non-Special Education",241,2553,2609,56,"70.5%","89.1%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"ELA","Special Education",7,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"ELA","Non-Special Education",37,2462,2515,53,"59.5%","76.5%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"Math","Special Education",7,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"Math","Non-Special Education",37,2428,2470,43,"32.4%","64.0%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"ELA","Special Education",8,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"ELA","Non-Special Education",36,2539,2574,34,"44.4%","72.9%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"Math","Special Education",8,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"Math","Non-Special Education",36,2475,2505,31,"30.6%","64.6%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"ELA","Special Education","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"ELA","Non-Special Education","*",2556,2592,36,"43.6%","67.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"Math","Special Education","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"Math","Non-Special Education","*",2517,2564,48,"46.2%","75.9%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School",4,"ELA","Special Education","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School",4,"Math","Special Education","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"ELA","Special Education",17,"*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"ELA","Non-Special Education",191,2539,2572,33,"50.3%","69.9%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"Math","Special Education",17,"*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"Math","Non-Special Education",191,2517,2547,30,"36.6%","62.5%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"ELA","Special Education",28,2431,2482,51,"50.0%","67.5%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"ELA","Non-Special Education",214,2564,2602,38,"49.1%","69.0%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"Math","Special Education",27,2402,2428,26,"33.3%","52.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"Math","Non-Special Education",214,2547,2581,34,"50.9%","71.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"ELA","Special Education",27,2476,2516,41,"40.7%","59.7%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"ELA","Non-Special Education",183,2578,2617,40,"57.4%","75.0%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"Math","Special Education",27,2445,2454,9,"18.5%","37.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"Math","Non-Special Education",183,2580,2596,16,"48.1%","61.7%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"ELA","Special Education",10,"*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"ELA","Non-Special Education",48,2458,2534,76,"68.8%","92.7%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"Math","Special Education",10,"*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"Math","Non-Special Education",48,2455,2543,88,"83.3%","100.0%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"ELA","Special Education",7,"*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"ELA","Non-Special Education",76,2521,2574,53,"53.9%","75.6%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"Math","Special Education",7,"*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"Math","Non-Special Education",76,2534,2556,23,"32.9%","55.1%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,"ELA","Special Education",12,"*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,"ELA","Non-Special Education",75,2447,2499,51,"42.7%","68.9%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,"Math","Special Education",12,"*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,"Math","Non-Special Education",75,2446,2495,49,"41.3%","74.4%"
