"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""2790013""","Amistad Academy District",7,"Non-Special Education",77,2534,2563,29,"31.2%","54.9%"
"=""2790013""","Amistad Academy District",8,"Special Education","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"Non-Special Education","*",2539,2582,43,"47.2%","70.2%"
"=""0010011""","Andover School District",4,"Non-Special Education",38,2486,2528,42,"44.7%","67.5%"
"=""0010011""","Andover School District",5,"Non-Special Education",42,2540,2580,40,"52.4%","70.5%"
"=""0010011""","Andover School District",6,"Special Education","*","*","*","*","*","*"
"=""0010011""","Andover School District",6,"Non-Special Education","*",2595,2612,17,"52.5%","65.5%"
"=""0020011""","Ansonia School District",4,"Special Education",25,2332,2373,41,"24.0%","56.5%"
"=""0020011""","Ansonia School District",4,"Non-Special Education",130,2425,2468,44,"33.8%","60.1%"
"=""0020011""","Ansonia School District",5,"Special Education",20,2360,2386,26,"15.0%","45.3%"
"=""0020011""","Ansonia School District",5,"Non-Special Education",150,2446,2470,23,"21.3%","48.7%"
"=""0020011""","Ansonia School District",6,"Special Education",27,2383,2424,40,"33.3%","62.7%"
"=""0020011""","Ansonia School District",6,"Non-Special Education",133,2486,2521,35,"43.6%","63.3%"
"=""0020011""","Ansonia School District",7,"Special Education",34,2412,2416,3,"8.8%","31.4%"
"=""0020011""","Ansonia School District",7,"Non-Special Education",114,2488,2498,11,"21.9%","43.4%"
"=""0020011""","Ansonia School District",8,"Special Education",24,2430,2453,23,"25.0%","49.1%"
"=""0020011""","Ansonia School District",8,"Non-Special Education",146,2523,2539,16,"31.5%","47.8%"
"=""2440014""","Area Cooperative Educational Services",4,"Special Education",28,2292,2329,37,"21.4%","48.0%"
"=""2440014""","Area Cooperative Educational Services",4,"Non-Special Education",66,2406,2441,34,"31.8%","53.2%"
"=""2440014""","Area Cooperative Educational Services",5,"Special Education",24,2332,2358,26,"12.5%","40.5%"
"=""2440014""","Area Cooperative Educational Services",5,"Non-Special Education",65,2433,2479,46,"27.7%","61.5%"
"=""2440014""","Area Cooperative Educational Services",6,"Special Education",47,2404,2407,2,"17.0%","35.4%"
"=""2440014""","Area Cooperative Educational Services",6,"Non-Special Education",275,2506,2514,8,"28.0%","46.2%"
"=""2440014""","Area Cooperative Educational Services",7,"Special Education",56,2394,2437,43,"33.9%","56.5%"
"=""2440014""","Area Cooperative Educational Services",7,"Non-Special Education",263,2516,2541,25,"35.4%","56.5%"
"=""2440014""","Area Cooperative Educational Services",8,"Special Education",57,2427,2451,25,"26.3%","41.0%"
"=""2440014""","Area Cooperative Educational Services",8,"Non-Special Education",242,2543,2564,21,"34.7%","54.9%"
"=""0030011""","Ashford School District",4,"Special Education",7,"*","*","*","*","*"
"=""0030011""","Ashford School District",4,"Non-Special Education",34,2492,2531,39,"41.2%","62.6%"
"=""0030011""","Ashford School District",5,"Non-Special Education",37,2552,2563,12,"37.8%","55.8%"
"=""0030011""","Ashford School District",6,"Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Non-Special Education","*",2511,2534,23,"35.5%","54.6%"
"=""0030011""","Ashford School District",7,"Special Education",6,"*","*","*","*","*"
"=""0030011""","Ashford School District",7,"Non-Special Education",41,2542,2580,37,"43.9%","67.5%"
"=""0030011""","Ashford School District",8,"Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Non-Special Education","*",2566,2599,34,"40.0%","64.6%"
"=""0040011""","Avon School District",4,"Special Education",8,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"Non-Special Education",193,2508,2553,45,"54.4%","73.8%"
"=""0040011""","Avon School District",5,"Special Education",18,"*","*","*","*","*"
"=""0040011""","Avon School District",5,"Non-Special Education",238,2536,2579,44,"55.9%","74.7%"
"=""0040011""","Avon School District",6,"Special Education",17,"*","*","*","*","*"
"=""0040011""","Avon School District",6,"Non-Special Education",241,2576,2616,40,"63.1%","80.5%"
"=""0040011""","Avon School District",7,"Special Education",25,2472,2528,56,"56.0%","80.7%"
"=""0040011""","Avon School District",7,"Non-Special Education",231,2610,2646,36,"59.3%","74.9%"
"=""0040011""","Avon School District",8,"Special Education",28,2508,2517,9,"25.0%","40.4%"
"=""0040011""","Avon School District",8,"Non-Special Education",234,2625,2650,25,"53.0%","67.7%"
"=""0050011""","Barkhamsted School District",4,"Special Education",8,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",4,"Non-Special Education",37,2462,2515,53,"59.5%","76.5%"
"=""0050011""","Barkhamsted School District",5,"Special Education",8,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",5,"Non-Special Education",36,2539,2574,34,"44.4%","72.9%"
"=""0050011""","Barkhamsted School District",6,"Special Education","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",6,"Non-Special Education","*",2556,2592,36,"43.6%","67.2%"
"=""0070011""","Berlin School District",4,"Special Education",26,2329,2397,68,"42.3%","72.3%"
"=""0070011""","Berlin School District",4,"Non-Special Education",158,2450,2513,64,"54.4%","79.7%"
"=""0070011""","Berlin School District",5,"Special Education",24,2369,2447,77,"45.8%","78.5%"
"=""0070011""","Berlin School District",5,"Non-Special Education",219,2509,2564,55,"52.1%","74.7%"
"=""0070011""","Berlin School District",6,"Special Education",17,"*","*","*","*","*"
"=""0070011""","Berlin School District",6,"Non-Special Education",191,2539,2572,33,"50.3%","69.9%"
"=""0070011""","Berlin School District",7,"Special Education",28,2431,2482,51,"50.0%","67.5%"
"=""0070011""","Berlin School District",7,"Non-Special Education",214,2564,2602,38,"49.1%","69.0%"
"=""0070011""","Berlin School District",8,"Special Education",27,2476,2516,41,"40.7%","59.7%"
"=""0070011""","Berlin School District",8,"Non-Special Education",183,2578,2617,40,"57.4%","75.0%"
"=""0080011""","Bethany School District",4,"Special Education",10,"*","*","*","*","*"
"=""0080011""","Bethany School District",4,"Non-Special Education",40,2458,2525,67,"62.5%","84.5%"
"=""0080011""","Bethany School District",5,"Special Education",6,"*","*","*","*","*"
"=""0080011""","Bethany School District",5,"Non-Special Education",50,2534,2580,46,"56.0%","76.1%"
"=""0080011""","Bethany School District",6,"Special Education",8,"*","*","*","*","*"
"=""0080011""","Bethany School District",6,"Non-Special Education",53,2549,2564,15,"41.5%","54.9%"
"=""0090011""","Bethel School District",4,"Special Education",17,"*","*","*","*","*"
"=""0090011""","Bethel School District",4,"Non-Special Education",180,2464,2508,44,"45.0%","68.6%"
"=""0090011""","Bethel School District",5,"Special Education",19,"*","*","*","*","*"
"=""0090011""","Bethel School District",5,"Non-Special Education",180,2508,2552,43,"48.9%","68.9%"
"=""0090011""","Bethel School District",6,"Special Education",15,"*","*","*","*","*"
"=""0090011""","Bethel School District",6,"Non-Special Education",161,2556,2594,38,"59.6%","77.4%"
"=""0090011""","Bethel School District",7,"Special Education",31,2494,2525,31,"35.5%","59.8%"
"=""0090011""","Bethel School District",7,"Non-Special Education",200,2575,2613,38,"55.0%","73.2%"
"=""0090011""","Bethel School District",8,"Special Education",20,2492,2545,53,"50.0%","71.5%"
"=""0090011""","Bethel School District",8,"Non-Special Education",186,2597,2633,36,"54.8%","71.8%"
"=""0110011""","Bloomfield School District",4,"Special Education",14,"*","*","*","*","*"
"=""0110011""","Bloomfield School District",4,"Non-Special Education",85,2427,2475,48,"34.1%","63.2%"
"=""0110011""","Bloomfield School District",5,"Special Education",13,"*","*","*","*","*"
"=""0110011""","Bloomfield School District",5,"Non-Special Education",100,2480,2514,34,"27.0%","56.3%"
"=""0110011""","Bloomfield School District",6,"Special Education",24,2407,2446,39,"37.5%","63.4%"
"=""0110011""","Bloomfield School District",6,"Non-Special Education",89,2513,2550,37,"48.3%","69.8%"
"=""0110011""","Bloomfield School District",7,"Special Education",19,"*","*","*","*","*"
"=""0110011""","Bloomfield School District",7,"Non-Special Education",96,2531,2552,21,"33.3%","46.9%"
"=""0110011""","Bloomfield School District",8,"Special Education",13,"*","*","*","*","*"
"=""0110011""","Bloomfield School District",8,"Non-Special Education",110,2534,2571,37,"47.3%","67.7%"
"=""0120011""","Bolton School District",4,"Non-Special Education",53,2472,2541,69,"62.3%","89.2%"
"=""0120011""","Bolton School District",5,"Special Education",10,"*","*","*","*","*"
"=""0120011""","Bolton School District",5,"Non-Special Education",56,2533,2582,49,"60.7%","78.5%"
"=""0120011""","Bolton School District",6,"Special Education",8,"*","*","*","*","*"
"=""0120011""","Bolton School District",6,"Non-Special Education",53,2583,2610,26,"56.6%","71.2%"
"=""0120011""","Bolton School District",7,"Special Education",11,"*","*","*","*","*"
"=""0120011""","Bolton School District",7,"Non-Special Education",49,2578,2617,39,"59.2%","77.9%"
"=""0120011""","Bolton School District",8,"Special Education",6,"*","*","*","*","*"
"=""0120011""","Bolton School District",8,"Non-Special Education",43,2579,2626,47,"60.5%","75.2%"
"=""0130011""","Bozrah School District",4,"Special Education","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"Non-Special Education","*",2409,2450,41,"30.0%","55.9%"
"=""0130011""","Bozrah School District",5,"Special Education",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"Non-Special Education",23,2478,2535,56,"47.8%","77.6%"
"=""0130011""","Bozrah School District",6,"Special Education","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"Non-Special Education","*",2495,2526,31,"50.0%","60.9%"
"=""0130011""","Bozrah School District",7,"Special Education",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Non-Special Education",10,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Special Education","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Non-Special Education","*","*","*","*","*","*"
"=""0140011""","Branford School District",4,"Special Education",18,"*","*","*","*","*"
"=""0140011""","Branford School District",4,"Non-Special Education",187,2459,2516,57,"56.7%","77.7%"
"=""0140011""","Branford School District",5,"Special Education",26,2385,2451,66,"42.3%","65.5%"
"=""0140011""","Branford School District",5,"Non-Special Education",188,2515,2557,42,"43.1%","67.4%"
"=""0140011""","Branford School District",6,"Special Education",29,2417,2430,12,"20.7%","39.3%"
"=""0140011""","Branford School District",6,"Non-Special Education",175,2528,2553,25,"42.3%","57.0%"
"=""0140011""","Branford School District",7,"Special Education",27,2452,2502,51,"37.0%","66.7%"
"=""0140011""","Branford School District",7,"Non-Special Education",175,2563,2600,37,"50.9%","67.1%"
"=""0140011""","Branford School District",8,"Special Education",22,2463,2479,16,"27.3%","43.4%"
"=""0140011""","Branford School District",8,"Non-Special Education",200,2589,2600,11,"34.0%","50.3%"
"=""2850013""","Bridgeport Achievement First District",4,"Special Education",11,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",4,"Non-Special Education",75,2405,2518,113,"82.7%","97.5%"
"=""2850013""","Bridgeport Achievement First District",5,"Special Education","*","*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",5,"Non-Special Education","*",2456,2478,22,"25.9%","44.3%"
"=""2850013""","Bridgeport Achievement First District",6,"Special Education",8,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",6,"Non-Special Education",78,2456,2491,35,"43.6%","63.9%"
"=""2850013""","Bridgeport Achievement First District",7,"Special Education",8,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",7,"Non-Special Education",75,2508,2535,27,"33.3%","49.8%"
"=""2850013""","Bridgeport Achievement First District",8,"Special Education",10,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",8,"Non-Special Education",75,2526,2599,73,"65.3%","89.4%"
"=""0150011""","Bridgeport School District",4,"Special Education",202,2315,2340,26,"19.3%","42.3%"
"=""0150011""","Bridgeport School District",4,"Non-Special Education",1370,2375,2411,36,"24.5%","51.9%"
"=""0150011""","Bridgeport School District",5,"Special Education",196,2327,2358,30,"18.4%","46.7%"
"=""0150011""","Bridgeport School District",5,"Non-Special Education",1209,2406,2450,44,"32.8%","59.8%"
"=""0150011""","Bridgeport School District",6,"Special Education",165,2364,2386,22,"23.6%","45.4%"
"=""0150011""","Bridgeport School District",6,"Non-Special Education",1022,2441,2478,37,"38.5%","59.6%"
"=""0150011""","Bridgeport School District",7,"Special Education",173,2381,2414,33,"28.9%","52.2%"
"=""0150011""","Bridgeport School District",7,"Non-Special Education",994,2476,2510,33,"35.3%","56.5%"
"=""0150011""","Bridgeport School District",8,"Special Education",209,2406,2423,17,"25.8%","43.7%"
"=""0150011""","Bridgeport School District",8,"Non-Special Education",1056,2499,2523,24,"33.1%","53.3%"
"=""0170011""","Bristol School District",4,"Special Education",87,2342,2399,58,"39.1%","65.9%"
"=""0170011""","Bristol School District",4,"Non-Special Education",445,2441,2495,54,"47.2%","72.3%"
"=""0170011""","Bristol School District",5,"Special Education",100,2368,2411,43,"34.0%","61.0%"
"=""0170011""","Bristol School District",5,"Non-Special Education",515,2489,2534,45,"42.9%","67.3%"
"=""0170011""","Bristol School District",6,"Special Education",107,2414,2442,28,"32.7%","54.2%"
"=""0170011""","Bristol School District",6,"Non-Special Education",422,2523,2554,32,"42.2%","64.1%"
"=""0170011""","Bristol School District",7,"Special Education",108,2425,2456,31,"30.6%","56.2%"
"=""0170011""","Bristol School District",7,"Non-Special Education",460,2536,2575,39,"46.5%","66.7%"
"=""0170011""","Bristol School District",8,"Special Education",89,2446,2475,28,"34.8%","53.7%"
"=""0170011""","Bristol School District",8,"Non-Special Education",432,2574,2596,22,"39.8%","57.3%"
"=""0180011""","Brookfield School District",4,"Special Education",27,2382,2422,40,"33.3%","52.4%"
"=""0180011""","Brookfield School District",4,"Non-Special Education",177,2482,2522,40,"37.3%","63.6%"
"=""0180011""","Brookfield School District",5,"Special Education",15,"*","*","*","*","*"
"=""0180011""","Brookfield School District",5,"Non-Special Education",153,2518,2560,42,"47.1%","66.4%"
"=""0180011""","Brookfield School District",6,"Special Education",23,2432,2469,37,"39.1%","56.3%"
"=""0180011""","Brookfield School District",6,"Non-Special Education",164,2554,2579,25,"46.3%","63.9%"
"=""0180011""","Brookfield School District",7,"Special Education",24,2467,2502,35,"37.5%","56.2%"
"=""0180011""","Brookfield School District",7,"Non-Special Education",192,2566,2597,31,"42.7%","62.7%"
"=""0180011""","Brookfield School District",8,"Special Education",21,2491,2500,8,"33.3%","42.7%"
"=""0180011""","Brookfield School District",8,"Non-Special Education",161,2608,2639,31,"53.4%","68.8%"
"=""0190011""","Brooklyn School District",4,"Special Education",7,"*","*","*","*","*"
"=""0190011""","Brooklyn School District",4,"Non-Special Education",65,2465,2536,70,"63.1%","86.4%"
"=""0190011""","Brooklyn School District",5,"Special Education",11,"*","*","*","*","*"
"=""0190011""","Brooklyn School District",5,"Non-Special Education",87,2525,2557,32,"36.8%","59.5%"
"=""0190011""","Brooklyn School District",6,"Special Education","*","*","*","*","*","*"
"=""0190011""","Brooklyn School District",6,"Non-Special Education","*",2525,2592,67,"70.4%","90.4%"
"=""0190011""","Brooklyn School District",7,"Special Education","*","*","*","*","*","*"
"=""0190011""","Brooklyn School District",7,"Non-Special Education","*",2585,2599,14,"37.0%","53.9%"
"=""0190011""","Brooklyn School District",8,"Special Education",8,"*","*","*","*","*"
"=""0190011""","Brooklyn School District",8,"Non-Special Education",95,2581,2614,33,"51.6%","67.1%"
"=""0210011""","Canaan School District",4,"Non-Special Education","*","*","*","*","*","*"
"=""0210011""","Canaan School District",5,"Non-Special Education",8,"*","*","*","*","*"
"=""0210011""","Canaan School District",6,"Special Education","*","*","*","*","*","*"
"=""0210011""","Canaan School District",6,"Non-Special Education","*","*","*","*","*","*"
"=""0210011""","Canaan School District",7,"Special Education","*","*","*","*","*","*"
"=""0210011""","Canaan School District",7,"Non-Special Education","*","*","*","*","*","*"
"=""0210011""","Canaan School District",8,"Special Education","*","*","*","*","*","*"
"=""0210011""","Canaan School District",8,"Non-Special Education","*","*","*","*","*","*"
"=""0220011""","Canterbury School District",4,"Special Education","*","*","*","*","*","*"
"=""0220011""","Canterbury School District",4,"Non-Special Education","*",2447,2496,48,"42.9%","72.3%"
"=""0220011""","Canterbury School District",5,"Special Education",6,"*","*","*","*","*"
"=""0220011""","Canterbury School District",5,"Non-Special Education",44,2485,2535,50,"45.5%","72.4%"
"=""0220011""","Canterbury School District",6,"Special Education","*","*","*","*","*","*"
"=""0220011""","Canterbury School District",6,"Non-Special Education","*",2503,2554,52,"50.0%","72.5%"
"=""0220011""","Canterbury School District",7,"Special Education",7,"*","*","*","*","*"
"=""0220011""","Canterbury School District",7,"Non-Special Education",63,2514,2566,52,"57.1%","79.8%"
"=""0220011""","Canterbury School District",8,"Special Education","*","*","*","*","*","*"
"=""0220011""","Canterbury School District",8,"Non-Special Education","*",2580,2586,5,"29.1%","41.4%"
"=""0230011""","Canton School District",4,"Special Education",11,"*","*","*","*","*"
"=""0230011""","Canton School District",4,"Non-Special Education",101,2492,2536,44,"51.5%","71.2%"
"=""0230011""","Canton School District",5,"Special Education",13,"*","*","*","*","*"
"=""0230011""","Canton School District",5,"Non-Special Education",116,2524,2570,46,"52.6%","73.8%"
"=""0230011""","Canton School District",6,"Special Education",13,"*","*","*","*","*"
"=""0230011""","Canton School District",6,"Non-Special Education",119,2557,2601,44,"57.1%","77.8%"
"=""0230011""","Canton School District",7,"Special Education",17,"*","*","*","*","*"
"=""0230011""","Canton School District",7,"Non-Special Education",119,2592,2619,28,"51.3%","68.1%"
"=""0230011""","Canton School District",8,"Special Education",20,2494,2537,43,"50.0%","67.5%"
"=""0230011""","Canton School District",8,"Non-Special Education",115,2601,2635,34,"57.4%","73.8%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",6,"Special Education","*","*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",6,"Non-Special Education","*",2442,2472,29,"33.3%","53.3%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",7,"Special Education","*","*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",7,"Non-Special Education","*",2487,2508,22,"30.0%","43.4%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",8,"Special Education","*","*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",8,"Non-Special Education","*",2488,2534,46,"44.8%","72.8%"
"=""2410014""","Capitol Region Education Council",4,"Special Education",54,2324,2375,50,"38.9%","60.9%"
"=""2410014""","Capitol Region Education Council",4,"Non-Special Education",293,2438,2492,54,"44.0%","73.7%"
"=""2410014""","Capitol Region Education Council",5,"Special Education",69,2367,2416,49,"24.6%","58.5%"
"=""2410014""","Capitol Region Education Council",5,"Non-Special Education",243,2473,2528,55,"51.9%","74.0%"
"=""2410014""","Capitol Region Education Council",6,"Special Education",74,2408,2426,18,"23.0%","42.6%"
"=""2410014""","Capitol Region Education Council",6,"Non-Special Education",512,2501,2524,23,"36.1%","54.9%"
"=""2410014""","Capitol Region Education Council",7,"Special Education",88,2421,2453,32,"19.3%","47.2%"
"=""2410014""","Capitol Region Education Council",7,"Non-Special Education",584,2525,2558,33,"41.4%","62.4%"
"=""2410014""","Capitol Region Education Council",8,"Special Education",72,2450,2467,17,"20.8%","42.1%"
"=""2410014""","Capitol Region Education Council",8,"Non-Special Education",550,2556,2583,27,"44.5%","61.9%"
"=""0240011""","Chaplin School District",4,"Non-Special Education",13,"*","*","*","*","*"
"=""0240011""","Chaplin School District",5,"Special Education","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",5,"Non-Special Education","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",6,"Special Education",7,"*","*","*","*","*"
"=""0240011""","Chaplin School District",6,"Non-Special Education",7,"*","*","*","*","*"
"=""0250011""","Cheshire School District",4,"Special Education",30,2363,2458,94,"66.7%","92.3%"
"=""0250011""","Cheshire School District",4,"Non-Special Education",248,2481,2543,62,"64.1%","82.2%"
"=""0250011""","Cheshire School District",5,"Special Education",31,2423,2472,49,"32.3%","62.5%"
"=""0250011""","Cheshire School District",5,"Non-Special Education",306,2545,2596,51,"64.7%","85.0%"
"=""0250011""","Cheshire School District",6,"Special Education",33,2462,2495,33,"33.3%","57.2%"
"=""0250011""","Cheshire School District",6,"Non-Special Education",343,2567,2600,33,"57.1%","71.6%"
"=""0250011""","Cheshire School District",7,"Special Education",42,2476,2504,27,"35.7%","57.6%"
"=""0250011""","Cheshire School District",7,"Non-Special Education",311,2602,2619,17,"39.5%","55.5%"
"=""0250011""","Cheshire School District",8,"Special Education",24,2500,2516,17,"37.5%","52.1%"
"=""0250011""","Cheshire School District",8,"Non-Special Education",320,2612,2632,20,"46.6%","61.5%"
"=""0260011""","Chester School District",4,"Special Education",9,"*","*","*","*","*"
"=""0260011""","Chester School District",4,"Non-Special Education",18,"*","*","*","*","*"
"=""0260011""","Chester School District",5,"Special Education",6,"*","*","*","*","*"
"=""0260011""","Chester School District",5,"Non-Special Education",28,2556,2587,31,"50.0%","72.9%"
"=""0260011""","Chester School District",6,"Special Education","*","*","*","*","*","*"
"=""0260011""","Chester School District",6,"Non-Special Education","*",2584,2608,24,"50.0%","64.2%"
"=""0270011""","Clinton School District",4,"Special Education",20,2347,2400,52,"30.0%","63.0%"
"=""0270011""","Clinton School District",4,"Non-Special Education",114,2480,2521,42,"40.4%","67.4%"
"=""0270011""","Clinton School District",5,"Special Education",24,2452,2480,28,"20.8%","50.0%"
"=""0270011""","Clinton School District",5,"Non-Special Education",143,2525,2566,41,"49.0%","71.2%"
"=""0270011""","Clinton School District",6,"Special Education",21,2450,2469,20,"28.6%","49.6%"
"=""0270011""","Clinton School District",6,"Non-Special Education",109,2562,2588,26,"43.1%","64.3%"
"=""0270011""","Clinton School District",7,"Special Education",20,2450,2453,3,"15.0%","31.9%"
"=""0270011""","Clinton School District",7,"Non-Special Education",121,2585,2601,16,"41.3%","53.4%"
"=""0270011""","Clinton School District",8,"Special Education",15,"*","*","*","*","*"
"=""0270011""","Clinton School District",8,"Non-Special Education",138,2586,2621,36,"55.1%","69.9%"
"=""0280011""","Colchester School District",4,"Special Education",15,"*","*","*","*","*"
"=""0280011""","Colchester School District",4,"Non-Special Education",146,2466,2526,60,"58.9%","81.0%"
"=""0280011""","Colchester School District",5,"Special Education",28,2422,2475,53,"32.1%","67.1%"
"=""0280011""","Colchester School District",5,"Non-Special Education",164,2515,2567,52,"54.9%","80.6%"
"=""0280011""","Colchester School District",6,"Special Education",37,2466,2496,30,"35.1%","59.4%"
"=""0280011""","Colchester School District",6,"Non-Special Education",164,2560,2596,36,"55.5%","73.6%"
"=""0280011""","Colchester School District",7,"Special Education",22,2487,2520,33,"40.9%","54.9%"
"=""0280011""","Colchester School District",7,"Non-Special Education",170,2587,2611,23,"40.0%","59.4%"
"=""0280011""","Colchester School District",8,"Special Education",21,2497,2532,35,"42.9%","60.8%"
"=""0280011""","Colchester School District",8,"Non-Special Education",168,2609,2630,21,"43.5%","59.2%"
"=""0290011""","Colebrook School District",4,"Special Education","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",4,"Non-Special Education","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",5,"Special Education","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",5,"Non-Special Education","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",6,"Special Education","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",6,"Non-Special Education","*","*","*","*","*","*"
"=""0300011""","Columbia School District",4,"Special Education","*","*","*","*","*","*"
"=""0300011""","Columbia School District",4,"Non-Special Education","*",2442,2521,79,"74.2%","98.7%"
"=""0300011""","Columbia School District",5,"Special Education","*","*","*","*","*","*"
"=""0300011""","Columbia School District",5,"Non-Special Education","*",2501,2536,35,"38.3%","55.7%"
"=""0300011""","Columbia School District",6,"Special Education",7,"*","*","*","*","*"
"=""0300011""","Columbia School District",6,"Non-Special Education",29,2534,2571,37,"51.7%","70.8%"
"=""0300011""","Columbia School District",7,"Special Education",6,"*","*","*","*","*"
"=""0300011""","Columbia School District",7,"Non-Special Education",42,2581,2622,40,"52.4%","69.6%"
"=""0300011""","Columbia School District",8,"Special Education",9,"*","*","*","*","*"
"=""0300011""","Columbia School District",8,"Non-Special Education",49,2600,2624,24,"40.8%","56.0%"
"=""2430014""","Cooperative Educational Services",4,"Special Education",16,"*","*","*","*","*"
"=""2430014""","Cooperative Educational Services",4,"Non-Special Education",51,2422,2490,69,"56.9%","78.9%"
"=""2430014""","Cooperative Educational Services",5,"Special Education",15,"*","*","*","*","*"
"=""2430014""","Cooperative Educational Services",5,"Non-Special Education",35,2499,2529,30,"28.6%","52.0%"
"=""2430014""","Cooperative Educational Services",6,"Special Education",19,"*","*","*","*","*"
"=""2430014""","Cooperative Educational Services",6,"Non-Special Education",38,2511,2552,41,"52.6%","75.4%"
"=""2430014""","Cooperative Educational Services",7,"Special Education",17,"*","*","*","*","*"
"=""2430014""","Cooperative Educational Services",7,"Non-Special Education",24,2561,2553,-7,"20.8%","39.7%"
"=""2430014""","Cooperative Educational Services",8,"Special Education",30,2448,2478,30,"23.3%","48.4%"
"=""2430014""","Cooperative Educational Services",8,"Non-Special Education",22,2584,2616,32,"40.9%","58.3%"
"=""0310011""","Cornwall School District",4,"Non-Special Education","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",5,"Special Education","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",5,"Non-Special Education","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",6,"Special Education","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",6,"Non-Special Education","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",7,"Special Education","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",7,"Non-Special Education","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",8,"Special Education","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",8,"Non-Special Education","*","*","*","*","*","*"
"=""0320011""","Coventry School District",4,"Special Education",8,"*","*","*","*","*"
