"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""2440014""","Area Cooperative Educational Services",7,"ELA","Non-Special Education",263,2516,2541,25,"35.4%","56.5%"
"=""2440014""","Area Cooperative Educational Services",7,"Math","Special Education",52,2349,2390,40,"36.5%","63.4%"
"=""2440014""","Area Cooperative Educational Services",7,"Math","Non-Special Education",263,2490,2533,42,"55.9%","75.4%"
"=""2440014""","Area Cooperative Educational Services",8,"ELA","Special Education",57,2427,2451,25,"26.3%","41.0%"
"=""2440014""","Area Cooperative Educational Services",8,"ELA","Non-Special Education",242,2543,2564,21,"34.7%","54.9%"
"=""2440014""","Area Cooperative Educational Services",8,"Math","Special Education",56,2376,2395,19,"33.9%","48.9%"
"=""2440014""","Area Cooperative Educational Services",8,"Math","Non-Special Education",242,2515,2525,10,"34.3%","50.4%"
"=""0030011""","Ashford School District",4,"ELA","Special Education",7,"*","*","*","*","*"
"=""0030011""","Ashford School District",4,"ELA","Non-Special Education",34,2492,2531,39,"41.2%","62.6%"
"=""0030011""","Ashford School District",4,"Math","Special Education",6,"*","*","*","*","*"
"=""0030011""","Ashford School District",4,"Math","Non-Special Education",34,2477,2528,51,"58.8%","81.5%"
"=""0030011""","Ashford School District",5,"ELA","Non-Special Education",37,2552,2563,12,"37.8%","55.8%"
"=""0030011""","Ashford School District",5,"Math","Non-Special Education",37,2536,2503,-33,"0.0%","6.2%"
"=""0030011""","Ashford School District",6,"ELA","Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District",6,"ELA","Non-Special Education","*",2511,2534,23,"35.5%","54.6%"
"=""0030011""","Ashford School District",6,"Math","Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Math","Non-Special Education","*",2486,2494,7,"22.6%","40.7%"
"=""0030011""","Ashford School District",7,"ELA","Special Education",6,"*","*","*","*","*"
"=""0030011""","Ashford School District",7,"ELA","Non-Special Education",41,2542,2580,37,"43.9%","67.5%"
"=""0030011""","Ashford School District",7,"Math","Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District",7,"Math","Non-Special Education","*",2502,2571,69,"73.2%","88.4%"
"=""0030011""","Ashford School District",8,"ELA","Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District",8,"ELA","Non-Special Education","*",2566,2599,34,"40.0%","64.6%"
"=""0030011""","Ashford School District",8,"Math","Special Education","*","*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Math","Non-Special Education","*",2572,2592,20,"46.7%","58.6%"
"=""0040011""","Avon School District",4,"ELA","Special Education",8,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"ELA","Non-Special Education",193,2508,2553,45,"54.4%","73.8%"
"=""0040011""","Avon School District",4,"Math","Special Education",8,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"Math","Non-Special Education",196,2503,2542,39,"44.9%","69.1%"
"=""0040011""","Avon School District",5,"ELA","Special Education",18,"*","*","*","*","*"
"=""0040011""","Avon School District",5,"ELA","Non-Special Education",238,2536,2579,44,"55.9%","74.7%"
"=""0040011""","Avon School District",5,"Math","Special Education",18,"*","*","*","*","*"
"=""0040011""","Avon School District",5,"Math","Non-Special Education",240,2532,2556,25,"41.7%","61.3%"
"=""0040011""","Avon School District",6,"ELA","Special Education",17,"*","*","*","*","*"
"=""0040011""","Avon School District",6,"ELA","Non-Special Education",241,2576,2616,40,"63.1%","80.5%"
"=""0040011""","Avon School District",6,"Math","Special Education",17,"*","*","*","*","*"
"=""0040011""","Avon School District",6,"Math","Non-Special Education",241,2553,2609,56,"70.5%","89.1%"
"=""0040011""","Avon School District",7,"ELA","Special Education",25,2472,2528,56,"56.0%","80.7%"
"=""0040011""","Avon School District",7,"ELA","Non-Special Education",231,2610,2646,36,"59.3%","74.9%"
"=""0040011""","Avon School District",7,"Math","Special Education",25,2462,2517,55,"48.0%","73.1%"
"=""0040011""","Avon School District",7,"Math","Non-Special Education",231,2611,2651,40,"65.4%","83.6%"
"=""0040011""","Avon School District",8,"ELA","Special Education",28,2508,2517,9,"25.0%","40.4%"
"=""0040011""","Avon School District",8,"ELA","Non-Special Education",234,2625,2650,25,"53.0%","67.7%"
"=""0040011""","Avon School District",8,"Math","Special Education",28,2497,2498,2,"21.4%","38.2%"
"=""0040011""","Avon School District",8,"Math","Non-Special Education",234,2639,2676,38,"72.6%","85.2%"
"=""0050011""","Barkhamsted School District",4,"ELA","Special Education",8,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",4,"ELA","Non-Special Education",37,2462,2515,53,"59.5%","76.5%"
"=""0050011""","Barkhamsted School District",4,"Math","Special Education",8,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",4,"Math","Non-Special Education",37,2428,2470,43,"32.4%","64.0%"
"=""0050011""","Barkhamsted School District",5,"ELA","Special Education",8,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",5,"ELA","Non-Special Education",36,2539,2574,34,"44.4%","72.9%"
"=""0050011""","Barkhamsted School District",5,"Math","Special Education",8,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",5,"Math","Non-Special Education",36,2475,2505,31,"30.6%","64.6%"
"=""0050011""","Barkhamsted School District",6,"ELA","Special Education","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",6,"ELA","Non-Special Education","*",2556,2592,36,"43.6%","67.2%"
"=""0050011""","Barkhamsted School District",6,"Math","Special Education","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",6,"Math","Non-Special Education","*",2517,2564,48,"46.2%","75.9%"
"=""0070011""","Berlin School District",4,"ELA","Special Education",26,2329,2397,68,"42.3%","72.3%"
"=""0070011""","Berlin School District",4,"ELA","Non-Special Education",158,2450,2513,64,"54.4%","79.7%"
"=""0070011""","Berlin School District",4,"Math","Special Education",26,2351,2419,69,"57.7%","81.5%"
"=""0070011""","Berlin School District",4,"Math","Non-Special Education",158,2445,2516,71,"64.6%","89.7%"
"=""0070011""","Berlin School District",5,"ELA","Special Education",24,2369,2447,77,"45.8%","78.5%"
"=""0070011""","Berlin School District",5,"ELA","Non-Special Education",219,2509,2564,55,"52.1%","74.7%"
"=""0070011""","Berlin School District",5,"Math","Special Education",24,2405,2425,20,"33.3%","53.6%"
"=""0070011""","Berlin School District",5,"Math","Non-Special Education",219,2516,2543,27,"34.2%","60.4%"
"=""0070011""","Berlin School District",6,"ELA","Special Education",17,"*","*","*","*","*"
"=""0070011""","Berlin School District",6,"ELA","Non-Special Education",191,2539,2572,33,"50.3%","69.9%"
"=""0070011""","Berlin School District",6,"Math","Special Education",17,"*","*","*","*","*"
"=""0070011""","Berlin School District",6,"Math","Non-Special Education",191,2517,2547,30,"36.6%","62.5%"
"=""0070011""","Berlin School District",7,"ELA","Special Education",28,2431,2482,51,"50.0%","67.5%"
"=""0070011""","Berlin School District",7,"ELA","Non-Special Education",214,2564,2602,38,"49.1%","69.0%"
"=""0070011""","Berlin School District",7,"Math","Special Education",27,2402,2428,26,"33.3%","52.8%"
"=""0070011""","Berlin School District",7,"Math","Non-Special Education",214,2547,2581,34,"50.9%","71.2%"
"=""0070011""","Berlin School District",8,"ELA","Special Education",27,2476,2516,41,"40.7%","59.7%"
"=""0070011""","Berlin School District",8,"ELA","Non-Special Education",183,2578,2617,40,"57.4%","75.0%"
"=""0070011""","Berlin School District",8,"Math","Special Education",27,2445,2454,9,"18.5%","37.8%"
"=""0070011""","Berlin School District",8,"Math","Non-Special Education",183,2580,2596,16,"48.1%","61.7%"
"=""0080011""","Bethany School District",4,"ELA","Special Education",10,"*","*","*","*","*"
"=""0080011""","Bethany School District",4,"ELA","Non-Special Education",40,2458,2525,67,"62.5%","84.5%"
"=""0080011""","Bethany School District",4,"Math","Special Education",10,"*","*","*","*","*"
"=""0080011""","Bethany School District",4,"Math","Non-Special Education",40,2472,2523,51,"47.5%","78.1%"
"=""0080011""","Bethany School District",5,"ELA","Special Education",6,"*","*","*","*","*"
"=""0080011""","Bethany School District",5,"ELA","Non-Special Education",50,2534,2580,46,"56.0%","76.1%"
"=""0080011""","Bethany School District",5,"Math","Special Education",6,"*","*","*","*","*"
"=""0080011""","Bethany School District",5,"Math","Non-Special Education",50,2543,2599,56,"72.0%","90.7%"
"=""0080011""","Bethany School District",6,"ELA","Special Education",8,"*","*","*","*","*"
"=""0080011""","Bethany School District",6,"ELA","Non-Special Education",53,2549,2564,15,"41.5%","54.9%"
"=""0080011""","Bethany School District",6,"Math","Special Education",8,"*","*","*","*","*"
"=""0080011""","Bethany School District",6,"Math","Non-Special Education",53,2521,2554,33,"49.1%","70.6%"
"=""0090011""","Bethel School District",4,"ELA","Special Education",17,"*","*","*","*","*"
"=""0090011""","Bethel School District",4,"ELA","Non-Special Education",180,2464,2508,44,"45.0%","68.6%"
"=""0090011""","Bethel School District",4,"Math","Special Education",17,"*","*","*","*","*"
"=""0090011""","Bethel School District",4,"Math","Non-Special Education",181,2433,2506,73,"65.7%","91.5%"
"=""0090011""","Bethel School District",5,"ELA","Special Education",19,"*","*","*","*","*"
"=""0090011""","Bethel School District",5,"ELA","Non-Special Education",180,2508,2552,43,"48.9%","68.9%"
"=""0090011""","Bethel School District",5,"Math","Special Education",19,"*","*","*","*","*"
"=""0090011""","Bethel School District",5,"Math","Non-Special Education",179,2490,2542,52,"67.0%","86.5%"
"=""0090011""","Bethel School District",6,"ELA","Special Education",15,"*","*","*","*","*"
"=""0090011""","Bethel School District",6,"ELA","Non-Special Education",161,2556,2594,38,"59.6%","77.4%"
"=""0090011""","Bethel School District",6,"Math","Special Education",15,"*","*","*","*","*"
"=""0090011""","Bethel School District",6,"Math","Non-Special Education",161,2529,2564,35,"48.4%","71.3%"
"=""0090011""","Bethel School District",7,"ELA","Special Education",31,2494,2525,31,"35.5%","59.8%"
"=""0090011""","Bethel School District",7,"ELA","Non-Special Education",200,2575,2613,38,"55.0%","73.2%"
"=""0090011""","Bethel School District",7,"Math","Special Education",31,2439,2478,39,"38.7%","68.1%"
"=""0090011""","Bethel School District",7,"Math","Non-Special Education",199,2540,2576,37,"53.8%","74.1%"
"=""0090011""","Bethel School District",8,"ELA","Special Education",20,2492,2545,53,"50.0%","71.5%"
"=""0090011""","Bethel School District",8,"ELA","Non-Special Education",186,2597,2633,36,"54.8%","71.8%"
"=""0090011""","Bethel School District",8,"Math","Special Education",20,2449,2470,21,"50.0%","60.4%"
"=""0090011""","Bethel School District",8,"Math","Non-Special Education",187,2555,2599,44,"64.2%","80.8%"
"=""0110011""","Bloomfield School District",4,"ELA","Special Education",14,"*","*","*","*","*"
"=""0110011""","Bloomfield School District",4,"ELA","Non-Special Education",85,2427,2475,48,"34.1%","63.2%"
"=""0110011""","Bloomfield School District",4,"Math","Special Education",14,"*","*","*","*","*"
"=""0110011""","Bloomfield School District",4,"Math","Non-Special Education",86,2399,2455,57,"48.8%","78.7%"
"=""0110011""","Bloomfield School District",5,"ELA","Special Education",13,"*","*","*","*","*"
"=""0110011""","Bloomfield School District",5,"ELA","Non-Special Education",100,2480,2514,34,"27.0%","56.3%"
"=""0110011""","Bloomfield School District",5,"Math","Special Education",13,"*","*","*","*","*"
"=""0110011""","Bloomfield School District",5,"Math","Non-Special Education",100,2440,2475,35,"40.0%","69.4%"
"=""0110011""","Bloomfield School District",6,"ELA","Special Education",24,2407,2446,39,"37.5%","63.4%"
"=""0110011""","Bloomfield School District",6,"ELA","Non-Special Education",89,2513,2550,37,"48.3%","69.8%"
"=""0110011""","Bloomfield School District",6,"Math","Special Education",24,2384,2409,25,"37.5%","54.3%"
"=""0110011""","Bloomfield School District",6,"Math","Non-Special Education",89,2473,2538,65,"64.0%","85.4%"
"=""0110011""","Bloomfield School District",7,"ELA","Special Education",19,"*","*","*","*","*"
"=""0110011""","Bloomfield School District",7,"ELA","Non-Special Education",96,2531,2552,21,"33.3%","46.9%"
"=""0110011""","Bloomfield School District",7,"Math","Special Education",19,"*","*","*","*","*"
"=""0110011""","Bloomfield School District",7,"Math","Non-Special Education",97,2506,2534,28,"41.2%","60.3%"
"=""0110011""","Bloomfield School District",8,"ELA","Special Education",13,"*","*","*","*","*"
"=""0110011""","Bloomfield School District",8,"ELA","Non-Special Education",110,2534,2571,37,"47.3%","67.7%"
"=""0110011""","Bloomfield School District",8,"Math","Special Education",13,"*","*","*","*","*"
"=""0110011""","Bloomfield School District",8,"Math","Non-Special Education",110,2508,2522,14,"36.4%","50.3%"
"=""0120011""","Bolton School District",4,"ELA","Non-Special Education",53,2472,2541,69,"62.3%","89.2%"
"=""0120011""","Bolton School District",4,"Math","Non-Special Education",53,2473,2537,63,"66.0%","94.2%"
"=""0120011""","Bolton School District",5,"ELA","Special Education",10,"*","*","*","*","*"
"=""0120011""","Bolton School District",5,"ELA","Non-Special Education",56,2533,2582,49,"60.7%","78.5%"
"=""0120011""","Bolton School District",5,"Math","Special Education",10,"*","*","*","*","*"
"=""0120011""","Bolton School District",5,"Math","Non-Special Education",56,2533,2551,19,"39.3%","58.8%"
"=""0120011""","Bolton School District",6,"ELA","Special Education",8,"*","*","*","*","*"
"=""0120011""","Bolton School District",6,"ELA","Non-Special Education",53,2583,2610,26,"56.6%","71.2%"
"=""0120011""","Bolton School District",6,"Math","Special Education",8,"*","*","*","*","*"
"=""0120011""","Bolton School District",6,"Math","Non-Special Education",53,2561,2595,35,"56.6%","73.3%"
"=""0120011""","Bolton School District",7,"ELA","Special Education",11,"*","*","*","*","*"
"=""0120011""","Bolton School District",7,"ELA","Non-Special Education",49,2578,2617,39,"59.2%","77.9%"
"=""0120011""","Bolton School District",7,"Math","Special Education",11,"*","*","*","*","*"
"=""0120011""","Bolton School District",7,"Math","Non-Special Education",49,2567,2607,40,"53.1%","74.9%"
"=""0120011""","Bolton School District",8,"ELA","Special Education",6,"*","*","*","*","*"
"=""0120011""","Bolton School District",8,"ELA","Non-Special Education",43,2579,2626,47,"60.5%","75.2%"
"=""0120011""","Bolton School District",8,"Math","Special Education",6,"*","*","*","*","*"
"=""0120011""","Bolton School District",8,"Math","Non-Special Education",43,2587,2597,10,"32.6%","47.1%"
"=""0130011""","Bozrah School District",4,"ELA","Special Education","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"ELA","Non-Special Education","*",2409,2450,41,"30.0%","55.9%"
"=""0130011""","Bozrah School District",4,"Math","Special Education","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"Math","Non-Special Education","*",2436,2463,27,"10.0%","48.8%"
"=""0130011""","Bozrah School District",5,"ELA","Special Education",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"ELA","Non-Special Education",23,2478,2535,56,"47.8%","77.6%"
"=""0130011""","Bozrah School District",5,"Math","Special Education",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"Math","Non-Special Education",23,2468,2513,46,"56.5%","81.6%"
"=""0130011""","Bozrah School District",6,"ELA","Special Education","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"ELA","Non-Special Education","*",2495,2526,31,"50.0%","60.9%"
"=""0130011""","Bozrah School District",6,"Math","Special Education","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"Math","Non-Special Education","*",2474,2503,30,"45.0%","69.5%"
"=""0130011""","Bozrah School District",7,"ELA","Special Education",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"ELA","Non-Special Education",10,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Math","Special Education",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Math","Non-Special Education",10,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"ELA","Special Education","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"ELA","Non-Special Education","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Math","Special Education","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Math","Non-Special Education","*","*","*","*","*","*"
"=""0140011""","Branford School District",4,"ELA","Special Education",18,"*","*","*","*","*"
"=""0140011""","Branford School District",4,"ELA","Non-Special Education",187,2459,2516,57,"56.7%","77.7%"
"=""0140011""","Branford School District",4,"Math","Special Education",17,"*","*","*","*","*"
"=""0140011""","Branford School District",4,"Math","Non-Special Education",187,2462,2517,55,"47.6%","76.8%"
"=""0140011""","Branford School District",5,"ELA","Special Education",26,2385,2451,66,"42.3%","65.5%"
"=""0140011""","Branford School District",5,"ELA","Non-Special Education",188,2515,2557,42,"43.1%","67.4%"
"=""0140011""","Branford School District",5,"Math","Special Education",26,2401,2445,44,"38.5%","69.3%"
"=""0140011""","Branford School District",5,"Math","Non-Special Education",189,2511,2545,34,"48.7%","72.9%"
"=""0140011""","Branford School District",6,"ELA","Special Education",29,2417,2430,12,"20.7%","39.3%"
"=""0140011""","Branford School District",6,"ELA","Non-Special Education",175,2528,2553,25,"42.3%","57.0%"
"=""0140011""","Branford School District",6,"Math","Special Education",28,2412,2416,4,"32.1%","46.6%"
"=""0140011""","Branford School District",6,"Math","Non-Special Education",174,2516,2548,31,"45.4%","65.5%"
"=""0140011""","Branford School District",7,"ELA","Special Education",27,2452,2502,51,"37.0%","66.7%"
"=""0140011""","Branford School District",7,"ELA","Non-Special Education",175,2563,2600,37,"50.9%","67.1%"
"=""0140011""","Branford School District",7,"Math","Special Education",27,2424,2457,33,"40.7%","59.3%"
"=""0140011""","Branford School District",7,"Math","Non-Special Education",175,2558,2584,26,"43.4%","64.0%"
"=""0140011""","Branford School District",8,"ELA","Special Education",22,2463,2479,16,"27.3%","43.4%"
"=""0140011""","Branford School District",8,"ELA","Non-Special Education",200,2589,2600,11,"34.0%","50.3%"
"=""0140011""","Branford School District",8,"Math","Special Education",22,2413,2427,15,"31.8%","40.6%"
"=""0140011""","Branford School District",8,"Math","Non-Special Education",201,2583,2572,-10,"27.9%","41.1%"
"=""2850013""","Bridgeport Achievement First District",4,"ELA","Special Education",11,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",4,"ELA","Non-Special Education",75,2405,2518,113,"82.7%","97.5%"
"=""2850013""","Bridgeport Achievement First District",4,"Math","Special Education",11,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",4,"Math","Non-Special Education",75,2426,2509,83,"77.3%","97.2%"
"=""2850013""","Bridgeport Achievement First District",5,"ELA","Special Education","*","*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",5,"ELA","Non-Special Education","*",2456,2478,22,"25.9%","44.3%"
"=""2850013""","Bridgeport Achievement First District",5,"Math","Special Education","*","*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",5,"Math","Non-Special Education","*",2454,2472,18,"33.3%","49.6%"
"=""2850013""","Bridgeport Achievement First District",6,"ELA","Special Education",8,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",6,"ELA","Non-Special Education",78,2456,2491,35,"43.6%","63.9%"
"=""2850013""","Bridgeport Achievement First District",6,"Math","Special Education",8,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",6,"Math","Non-Special Education",78,2435,2479,44,"56.4%","76.3%"
