"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0180011""","Brookfield School District","Special Education",110,"31.8%","50.3%"
"=""0180011""","Brookfield School District","Non-Special Education",847,"45.1%","65.0%"
"=""0190011""","Brooklyn School District","Special Education",32,"21.9%","51.2%"
"=""0190011""","Brooklyn School District","Non-Special Education",391,"50.9%","70.4%"
"=""0210011""","Canaan School District","Special Education","*","*","*"
"=""0210011""","Canaan School District","Non-Special Education","*","57.1%","73.6%"
"=""0220011""","Canterbury School District","Special Education",21,"38.1%","66.2%"
"=""0220011""","Canterbury School District","Non-Special Education",227,"44.9%","66.9%"
"=""0230011""","Canton School District","Special Education",74,"29.7%","56.1%"
"=""0230011""","Canton School District","Non-Special Education",570,"54.0%","73.0%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Special Education","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Non-Special Education","*","36.1%","56.5%"
"=""2410014""","Capitol Region Education Council","Special Education",357,"24.4%","49.5%"
"=""2410014""","Capitol Region Education Council","Non-Special Education",2182,"42.5%","63.3%"
"=""0240011""","Chaplin School District","Special Education",9,"*","*"
"=""0240011""","Chaplin School District","Non-Special Education",34,"55.9%","76.6%"
"=""0250011""","Cheshire School District","Special Education",160,"40.6%","64.1%"
"=""0250011""","Cheshire School District","Non-Special Education",1528,"54.0%","70.6%"
"=""0260011""","Chester School District","Special Education",20,"55.0%","77.9%"
"=""0260011""","Chester School District","Non-Special Education",80,"48.8%","66.2%"
"=""0270011""","Clinton School District","Special Education",100,"23.0%","49.3%"
"=""0270011""","Clinton School District","Non-Special Education",625,"46.2%","65.6%"
"=""0280011""","Colchester School District","Special Education",123,"36.6%","61.3%"
"=""0280011""","Colchester School District","Non-Special Education",812,"50.2%","70.4%"
"=""0290011""","Colebrook School District","Special Education",7,"*","*"
"=""0290011""","Colebrook School District","Non-Special Education",24,"66.7%","85.3%"
"=""0300011""","Columbia School District","Special Education",30,"33.3%","64.8%"
"=""0300011""","Columbia School District","Non-Special Education",198,"49.5%","67.7%"
"=""2430014""","Cooperative Educational Services","Special Education",97,"23.7%","49.1%"
"=""2430014""","Cooperative Educational Services","Non-Special Education",170,"42.9%","64.4%"
"=""0310011""","Cornwall School District","Special Education",7,"*","*"
"=""0310011""","Cornwall School District","Non-Special Education",38,"39.5%","60.1%"
"=""0320011""","Coventry School District","Special Education",68,"39.7%","64.4%"
"=""0320011""","Coventry School District","Non-Special Education",538,"56.5%","78.2%"
"=""0330011""","Cromwell School District","Special Education",74,"36.5%","62.9%"
"=""0330011""","Cromwell School District","Non-Special Education",679,"45.1%","66.7%"
"=""0340011""","Danbury School District","Special Education",419,"33.4%","57.1%"
"=""0340011""","Danbury School District","Non-Special Education",3257,"42.3%","64.8%"
"=""0350011""","Darien School District","Special Education",246,"50.0%","69.0%"
"=""0350011""","Darien School District","Non-Special Education",1562,"60.7%","77.5%"
"=""0360011""","Deep River School District","Special Education",25,"40.0%","61.3%"
"=""0360011""","Deep River School District","Non-Special Education",121,"50.4%","68.8%"
"=""0370011""","Derby School District","Special Education",72,"26.4%","49.0%"
"=""0370011""","Derby School District","Non-Special Education",448,"32.4%","53.5%"
"=""0400011""","East Granby School District","Special Education",39,"30.8%","51.8%"
"=""0400011""","East Granby School District","Non-Special Education",271,"42.1%","61.0%"
"=""0410011""","East Haddam School District","Special Education",46,"26.1%","45.5%"
"=""0410011""","East Haddam School District","Non-Special Education",348,"51.1%","66.8%"
"=""0420011""","East Hampton School District","Special Education",55,"30.9%","48.6%"
"=""0420011""","East Hampton School District","Non-Special Education",593,"34.7%","53.7%"
"=""0430011""","East Hartford School District","Special Education",362,"27.3%","51.8%"
"=""0430011""","East Hartford School District","Non-Special Education",1830,"37.7%","61.0%"
"=""0440011""","East Haven School District","Special Education",132,"36.4%","65.0%"
"=""0440011""","East Haven School District","Non-Special Education",927,"43.4%","67.9%"
"=""0450011""","East Lyme School District","Special Education",113,"37.2%","56.4%"
"=""0450011""","East Lyme School District","Non-Special Education",848,"48.3%","66.1%"
"=""0470011""","East Windsor School District","Special Education",49,"36.7%","58.3%"
"=""0470011""","East Windsor School District","Non-Special Education",296,"32.8%","58.4%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education",30,"16.7%","35.0%"
"=""0390011""","Eastford School District","Special Education",15,"*","*"
"=""0390011""","Eastford School District","Non-Special Education",52,"44.2%","66.9%"
"=""0460011""","Easton School District","Special Education",53,"39.6%","62.1%"
"=""0460011""","Easton School District","Non-Special Education",448,"60.3%","78.4%"
"=""2420014""","EdAdvance","Special Education","*","*","*"
"=""0480011""","Ellington School District","Special Education",106,"25.5%","50.0%"
"=""0480011""","Ellington School District","Non-Special Education",907,"47.4%","66.9%"
"=""2890013""","Elm City College Preparatory School District","Special Education",28,"39.3%","64.0%"
"=""2890013""","Elm City College Preparatory School District","Non-Special Education",282,"56.0%","76.4%"
"=""0490011""","Enfield School District","Special Education",217,"29.5%","57.0%"
"=""0490011""","Enfield School District","Non-Special Education",1497,"47.1%","68.2%"
"=""0500011""","Essex School District","Special Education",26,"30.8%","58.2%"
"=""0500011""","Essex School District","Non-Special Education",156,"54.5%","72.1%"
"=""0510011""","Fairfield School District","Special Education",377,"38.7%","61.7%"
"=""0510011""","Fairfield School District","Non-Special Education",3427,"51.6%","70.9%"
"=""0520011""","Farmington School District","Special Education",176,"36.9%","60.3%"
"=""0520011""","Farmington School District","Non-Special Education",1336,"55.8%","73.4%"
"=""0530011""","Franklin School District","Special Education",10,"*","*"
"=""0530011""","Franklin School District","Non-Special Education",78,"33.3%","52.1%"
"=""0540011""","Glastonbury School District","Special Education",235,"31.9%","54.6%"
"=""0540011""","Glastonbury School District","Non-Special Education",2080,"52.8%","69.9%"
"=""0560011""","Granby School District","Special Education",79,"46.8%","65.4%"
"=""0560011""","Granby School District","Non-Special Education",608,"60.2%","78.4%"
"=""2940013""","Great Oaks Charter School District","Special Education",30,"23.3%","37.4%"
"=""2940013""","Great Oaks Charter School District","Non-Special Education",176,"43.2%","63.8%"
"=""0570011""","Greenwich School District","Special Education",332,"36.1%","58.5%"
"=""0570011""","Greenwich School District","Non-Special Education",2693,"56.1%","73.4%"
"=""0580011""","Griswold School District","Special Education",86,"30.2%","52.6%"
"=""0580011""","Griswold School District","Non-Special Education",549,"44.1%","65.4%"
"=""0590011""","Groton School District","Special Education",197,"37.1%","57.0%"
"=""0590011""","Groton School District","Non-Special Education",1206,"41.7%","61.8%"
"=""0600011""","Guilford School District","Special Education",153,"43.1%","65.0%"
"=""0600011""","Guilford School District","Non-Special Education",1150,"55.6%","73.2%"
"=""0620011""","Hamden School District","Special Education",322,"27.6%","48.8%"
"=""0620011""","Hamden School District","Non-Special Education",1513,"39.3%","59.1%"
"=""0630011""","Hampton School District","Special Education","*","*","*"
"=""0630011""","Hampton School District","Non-Special Education","*","54.2%","81.9%"
"=""0640011""","Hartford School District","Special Education",1156,"25.5%","49.8%"
"=""0640011""","Hartford School District","Non-Special Education",5652,"33.6%","55.4%"
"=""0650011""","Hartland School District","Special Education",17,"*","*"
"=""0650011""","Hartland School District","Non-Special Education",88,"61.4%","84.4%"
"=""0670011""","Hebron School District","Special Education",41,"26.8%","54.6%"
"=""0670011""","Hebron School District","Non-Special Education",300,"47.3%","71.0%"
"=""2860013""","Highville Charter School District","Special Education",14,"*","*"
"=""2860013""","Highville Charter School District","Non-Special Education",167,"33.5%","56.1%"
"=""2640013""","Integrated Day Charter School District","Special Education",14,"*","*"
"=""2640013""","Integrated Day Charter School District","Non-Special Education",143,"32.9%","53.1%"
"=""2650013""","Interdistrict School for Arts and Comm District","Special Education",44,"31.8%","48.9%"
"=""2650013""","Interdistrict School for Arts and Comm District","Non-Special Education",210,"32.9%","47.2%"
"=""2610013""","Jumoke Academy District","Special Education",26,"26.9%","48.4%"
"=""2610013""","Jumoke Academy District","Non-Special Education",299,"35.5%","55.0%"
"=""0680011""","Kent School District","Special Education",14,"*","*"
"=""0680011""","Kent School District","Non-Special Education",112,"50.0%","65.1%"
"=""0690011""","Killingly School District","Special Education",92,"32.6%","59.1%"
"=""0690011""","Killingly School District","Non-Special Education",681,"50.8%","71.6%"
"=""2450014""","Learn","Special Education",54,"44.4%","69.0%"
"=""2450014""","Learn","Non-Special Education",242,"45.5%","71.3%"
"=""0710011""","Lebanon School District","Special Education",52,"48.1%","66.0%"
"=""0710011""","Lebanon School District","Non-Special Education",285,"50.9%","67.3%"
"=""0720011""","Ledyard School District","Special Education",104,"35.6%","52.7%"
"=""0720011""","Ledyard School District","Non-Special Education",672,"43.2%","63.5%"
"=""0730011""","Lisbon School District","Special Education",18,"*","*"
"=""0730011""","Lisbon School District","Non-Special Education",185,"37.3%","55.9%"
"=""0740011""","Litchfield School District","Special Education",56,"35.7%","63.5%"
"=""0740011""","Litchfield School District","Non-Special Education",316,"60.4%","77.5%"
"=""0760011""","Madison School District","Special Education",118,"22.0%","45.8%"
"=""0760011""","Madison School District","Non-Special Education",846,"39.4%","55.8%"
"=""0770011""","Manchester School District","Special Education",239,"25.5%","49.4%"
"=""0770011""","Manchester School District","Non-Special Education",1723,"36.3%","58.4%"
"=""0780011""","Mansfield School District","Special Education",64,"34.4%","58.2%"
"=""0780011""","Mansfield School District","Non-Special Education",473,"53.3%","69.7%"
"=""0790011""","Marlborough School District","Special Education",18,"*","*"
"=""0790011""","Marlborough School District","Non-Special Education",235,"56.2%","77.6%"
"=""0800011""","Meriden School District","Special Education",392,"31.1%","54.9%"
"=""0800011""","Meriden School District","Non-Special Education",2058,"40.8%","63.1%"
"=""0830011""","Middletown School District","Special Education",179,"24.6%","48.4%"
"=""0830011""","Middletown School District","Non-Special Education",1427,"39.7%","59.9%"
"=""0840011""","Milford School District","Special Education",228,"36.4%","58.4%"
"=""0840011""","Milford School District","Non-Special Education",1963,"49.5%","69.5%"
"=""0850011""","Monroe School District","Special Education",132,"23.5%","38.6%"
"=""0850011""","Monroe School District","Non-Special Education",1050,"52.3%","67.9%"
"=""0860011""","Montville School District","Special Education",111,"30.6%","57.8%"
"=""0860011""","Montville School District","Non-Special Education",721,"46.7%","66.4%"
"=""0880011""","Naugatuck School District","Special Education",243,"31.3%","58.5%"
"=""0880011""","Naugatuck School District","Non-Special Education",1290,"43.8%","65.7%"
"=""2800013""","New Beginnings Inc Family Academy District","Special Education",17,"*","*"
"=""2800013""","New Beginnings Inc Family Academy District","Non-Special Education",152,"34.2%","56.3%"
"=""0890011""","New Britain School District","Special Education",500,"23.4%","49.3%"
"=""0890011""","New Britain School District","Non-Special Education",2618,"29.9%","52.0%"
"=""0900011""","New Canaan School District","Special Education",160,"41.9%","62.4%"
"=""0900011""","New Canaan School District","Non-Special Education",1396,"54.1%","69.4%"
"=""0910011""","New Fairfield School District","Special Education",61,"44.3%","65.5%"
"=""0910011""","New Fairfield School District","Non-Special Education",734,"51.5%","71.6%"
"=""0920011""","New Hartford School District","Special Education",21,"28.6%","63.7%"
"=""0920011""","New Hartford School District","Non-Special Education",176,"44.9%","66.8%"
"=""0930011""","New Haven School District","Special Education",921,"27.8%","53.2%"
"=""0930011""","New Haven School District","Non-Special Education",5804,"40.6%","64.9%"
"=""0950011""","New London School District","Special Education",156,"29.5%","54.9%"
"=""0950011""","New London School District","Non-Special Education",837,"32.3%","53.7%"
"=""0960011""","New Milford School District","Special Education",182,"36.3%","57.7%"
"=""0960011""","New Milford School District","Non-Special Education",1287,"40.9%","61.6%"
"=""0940011""","Newington School District","Special Education",160,"24.4%","44.7%"
"=""0940011""","Newington School District","Non-Special Education",1361,"38.8%","59.8%"
"=""0970011""","Newtown School District","Special Education",150,"34.0%","55.1%"
"=""0970011""","Newtown School District","Non-Special Education",1554,"47.0%","64.8%"
"=""0980011""","Norfolk School District","Special Education",9,"*","*"
"=""0980011""","Norfolk School District","Non-Special Education",35,"51.4%","74.1%"
"=""0990011""","North Branford School District","Special Education",102,"25.5%","53.0%"
"=""0990011""","North Branford School District","Non-Special Education",603,"46.3%","66.3%"
"=""1000011""","North Canaan School District","Special Education",11,"*","*"
"=""1000011""","North Canaan School District","Non-Special Education",99,"61.6%","82.1%"
"=""1010011""","North Haven School District","Special Education",121,"48.8%","77.1%"
"=""1010011""","North Haven School District","Non-Special Education",1007,"69.1%","88.6%"
"=""1020011""","North Stonington School District","Special Education",11,"*","*"
"=""1020011""","North Stonington School District","Non-Special Education",253,"49.4%","66.1%"
"=""1030011""","Norwalk School District","Special Education",503,"25.0%","49.3%"
"=""1030011""","Norwalk School District","Non-Special Education",3346,"37.2%","58.5%"
"=""1040011""","Norwich School District","Special Education",247,"29.1%","55.0%"
"=""1040011""","Norwich School District","Non-Special Education",1382,"39.4%","61.4%"
"=""2630013""","Odyssey Community School District","Special Education",16,"*","*"
"=""2630013""","Odyssey Community School District","Non-Special Education",159,"38.4%","62.5%"
"=""1060011""","Old Saybrook School District","Special Education",62,"41.9%","60.4%"
"=""1060011""","Old Saybrook School District","Non-Special Education",439,"46.0%","66.1%"
"=""1070011""","Orange School District","Special Education",34,"29.4%","54.9%"
"=""1070011""","Orange School District","Non-Special Education",475,"55.6%","75.3%"
"=""1080011""","Oxford School District","Special Education",90,"21.1%","49.1%"
"=""1080011""","Oxford School District","Non-Special Education",686,"41.5%","58.3%"
"=""2830013""","Park City Prep Charter School District","Special Education",23,"8.7%","41.6%"
"=""2830013""","Park City Prep Charter School District","Non-Special Education",314,"49.0%","72.9%"
"=""1090011""","Plainfield School District","Special Education",94,"46.8%","68.4%"
"=""1090011""","Plainfield School District","Non-Special Education",708,"48.0%","71.1%"
"=""1100011""","Plainville School District","Special Education",110,"33.6%","56.7%"
"=""1100011""","Plainville School District","Non-Special Education",746,"44.2%","67.1%"
"=""1110011""","Plymouth School District","Special Education",74,"39.2%","62.7%"
"=""1110011""","Plymouth School District","Non-Special Education",462,"44.6%","64.3%"
"=""1120011""","Pomfret School District","Special Education",28,"50.0%","61.8%"
"=""1120011""","Pomfret School District","Non-Special Education",193,"51.8%","71.6%"
"=""1130011""","Portland School District","Special Education",47,"21.3%","40.6%"
"=""1130011""","Portland School District","Non-Special Education",461,"51.6%","70.7%"
"=""1140011""","Preston School District","Special Education",41,"34.1%","58.7%"
"=""1140011""","Preston School District","Non-Special Education",174,"37.4%","54.8%"
"=""1160011""","Putnam School District","Special Education",48,"35.4%","65.5%"
"=""1160011""","Putnam School District","Non-Special Education",347,"45.0%","63.9%"
"=""1170011""","Redding School District","Special Education",57,"35.1%","54.7%"
"=""1170011""","Redding School District","Non-Special Education",445,"53.5%","70.8%"
"=""2010012""","Regional School District 01","Special Education","*","*","*"
"=""2040012""","Regional School District 04","Special Education",44,"22.7%","42.3%"
"=""2040012""","Regional School District 04","Non-Special Education",256,"46.1%","60.2%"
"=""2050012""","Regional School District 05","Special Education",76,"31.6%","49.5%"
"=""2050012""","Regional School District 05","Non-Special Education",638,"53.1%","71.7%"
"=""2060012""","Regional School District 06","Special Education",30,"23.3%","38.3%"
"=""2060012""","Regional School District 06","Non-Special Education",214,"48.6%","66.7%"
"=""2070012""","Regional School District 07","Special Education",40,"37.5%","56.1%"
"=""2070012""","Regional School District 07","Non-Special Education",249,"48.6%","64.9%"
"=""2080012""","Regional School District 08","Special Education",63,"22.2%","43.6%"
"=""2080012""","Regional School District 08","Non-Special Education",486,"38.7%","55.1%"
"=""2100012""","Regional School District 10","Special Education",82,"34.1%","56.3%"
"=""2100012""","Regional School District 10","Non-Special Education",829,"43.8%","63.9%"
"=""2110012""","Regional School District 11","Special Education",15,"*","*"
"=""2110012""","Regional School District 11","Non-Special Education",67,"43.3%","63.7%"
"=""2120012""","Regional School District 12","Special Education",40,"45.0%","69.9%"
"=""2120012""","Regional School District 12","Non-Special Education",215,"56.3%","77.0%"
"=""2130012""","Regional School District 13","Special Education",100,"34.0%","60.3%"
"=""2130012""","Regional School District 13","Non-Special Education",570,"49.6%","70.9%"
"=""2140012""","Regional School District 14","Special Education",72,"26.4%","52.6%"
"=""2140012""","Regional School District 14","Non-Special Education",471,"41.0%","61.4%"
"=""2150012""","Regional School District 15","Special Education",177,"36.2%","59.4%"
"=""2150012""","Regional School District 15","Non-Special Education",1292,"53.5%","72.7%"
"=""2160012""","Regional School District 16","Special Education",108,"41.7%","69.4%"
"=""2160012""","Regional School District 16","Non-Special Education",690,"44.1%","65.3%"
"=""2170012""","Regional School District 17","Special Education",154,"40.3%","63.0%"
"=""2170012""","Regional School District 17","Non-Special Education",733,"53.6%","71.2%"
"=""2180012""","Regional School District 18","Special Education",62,"38.7%","57.6%"
"=""2180012""","Regional School District 18","Non-Special Education",442,"53.6%","71.0%"
"=""1180011""","Ridgefield School District","Special Education",174,"28.2%","50.6%"
"=""1180011""","Ridgefield School District","Non-Special Education",1679,"54.3%","70.2%"
"=""1190011""","Rocky Hill School District","Special Education",82,"35.4%","58.2%"
"=""1190011""","Rocky Hill School District","Non-Special Education",804,"45.0%","63.0%"
"=""1210011""","Salem School District","Special Education",33,"42.4%","66.6%"
"=""1210011""","Salem School District","Non-Special Education",162,"61.7%","81.1%"
"=""1220011""","Salisbury School District","Special Education",9,"*","*"
"=""1220011""","Salisbury School District","Non-Special Education",116,"48.3%","62.3%"
"=""1230011""","Scotland School District","Special Education",6,"*","*"
"=""1230011""","Scotland School District","Non-Special Education",38,"57.9%","76.2%"
"=""1240011""","Seymour School District","Special Education",110,"30.9%","58.4%"
"=""1240011""","Seymour School District","Non-Special Education",746,"38.9%","57.3%"
"=""1250011""","Sharon School District","Special Education",12,"*","*"
"=""1250011""","Sharon School District","Non-Special Education",56,"44.6%","64.5%"
"=""1260011""","Shelton School District","Special Education",267,"32.6%","57.1%"
"=""1260011""","Shelton School District","Non-Special Education",1571,"53.3%","71.3%"
"=""1270011""","Sherman School District","Special Education",13,"*","*"
"=""1270011""","Sherman School District","Non-Special Education",86,"52.3%","71.8%"
"=""2700013""","Side By Side Charter School District","Special Education",12,"*","*"
"=""2700013""","Side By Side Charter School District","Non-Special Education",96,"37.5%","57.4%"
"=""1280011""","Simsbury School District","Special Education",182,"42.9%","64.9%"
"=""1280011""","Simsbury School District","Non-Special Education",1372,"57.7%","75.2%"
"=""1290011""","Somers School District","Special Education",55,"47.3%","65.6%"
"=""1290011""","Somers School District","Non-Special Education",481,"46.8%","66.8%"
"=""1320011""","South Windsor School District","Special Education",186,"34.4%","58.6%"
"=""1320011""","South Windsor School District","Non-Special Education",1326,"51.8%","69.2%"
"=""1310011""","Southington School District","Special Education",310,"32.6%","55.0%"
"=""1310011""","Southington School District","Non-Special Education",2194,"40.6%","60.3%"
"=""1330011""","Sprague School District","Special Education",19,"*","*"
"=""1330011""","Sprague School District","Non-Special Education",145,"44.1%","62.9%"
"=""1340011""","Stafford School District","Special Education",61,"36.1%","59.5%"
"=""1340011""","Stafford School District","Non-Special Education",474,"46.0%","67.1%"
"=""1350011""","Stamford School District","Special Education",605,"28.8%","55.1%"
"=""1350011""","Stamford School District","Non-Special Education",4633,"43.3%","64.1%"
"=""0000000""","State of Connecticut","Special Education",24225,"31.1%","54.9%"
"=""0000000""","State of Connecticut","Non-Special Education",161120,"44.9%","65.1%"
"=""1360011""","Sterling School District","Special Education",27,"33.3%","56.0%"
"=""1360011""","Sterling School District","Non-Special Education",200,"42.5%","65.6%"
"=""1370011""","Stonington School District","Special Education",121,"31.4%","54.2%"
"=""1370011""","Stonington School District","Non-Special Education",635,"47.9%","62.8%"
"=""1380011""","Stratford School District","Special Education",285,"34.4%","56.5%"
"=""1380011""","Stratford School District","Non-Special Education",2257,"39.9%","61.0%"
"=""1390011""","Suffield School District","Special Education",79,"29.1%","52.0%"
"=""1390011""","Suffield School District","Non-Special Education",735,"45.0%","62.3%"
"=""2690013""","The Bridge Academy District","Special Education",14,"*","*"
"=""2690013""","The Bridge Academy District","Non-Special Education",83,"27.7%","45.8%"
"=""9020022""","The Gilbert School District","Special Education",24,"16.7%","37.3%"
"=""9020022""","The Gilbert School District","Non-Special Education",133,"29.3%","44.9%"
"=""1400011""","Thomaston School District","Special Education",52,"26.9%","55.8%"
"=""1400011""","Thomaston School District","Non-Special Education",320,"41.9%","65.8%"
"=""1410011""","Thompson School District","Special Education",31,"22.6%","44.5%"
"=""1410011""","Thompson School District","Non-Special Education",340,"25.3%","44.5%"
"=""1420011""","Tolland School District","Special Education",100,"30.0%","52.3%"
"=""1420011""","Tolland School District","Non-Special Education",907,"47.5%","65.9%"
"=""1430011""","Torrington School District","Special Education",258,"23.6%","48.3%"
"=""1430011""","Torrington School District","Non-Special Education",1243,"32.4%","52.2%"
"=""2780013""","Trailblazers Academy District","Special Education",33,"9.1%","33.1%"
"=""2780013""","Trailblazers Academy District","Non-Special Education",72,"27.8%","46.0%"
"=""1440011""","Trumbull School District","Special Education",255,"53.7%","77.9%"
"=""1440011""","Trumbull School District","Non-Special Education",2086,"70.5%","87.6%"
"=""3470015""","Unified School District #2","Special Education","*","*","*"
"=""1450011""","Union School District","Special Education",6,"*","*"
"=""1450011""","Union School District","Non-Special Education",33,"54.5%","74.6%"
"=""1460011""","Vernon School District","Special Education",166,"27.1%","50.6%"
"=""1460011""","Vernon School District","Non-Special Education",909,"42.7%","62.5%"
"=""1470011""","Voluntown School District","Special Education",34,"23.5%","51.8%"
"=""1470011""","Voluntown School District","Non-Special Education",110,"40.9%","60.5%"
"=""1480011""","Wallingford School District","Special Education",233,"31.3%","57.1%"
"=""1480011""","Wallingford School District","Non-Special Education",1932,"45.9%","66.9%"
"=""1510011""","Waterbury School District","Special Education",1174,"24.5%","50.6%"
"=""1510011""","Waterbury School District","Non-Special Education",5123,"35.2%","58.5%"
"=""1520011""","Waterford School District","Special Education",153,"32.0%","56.7%"
"=""1520011""","Waterford School District","Non-Special Education",815,"46.4%","65.1%"
"=""1530011""","Watertown School District","Special Education",137,"29.2%","56.5%"
"=""1530011""","Watertown School District","Non-Special Education",908,"48.1%","69.4%"
"=""1550011""","West Hartford School District","Special Education",348,"22.4%","43.9%"
"=""1550011""","West Hartford School District","Non-Special Education",3150,"46.8%","64.5%"
"=""1560011""","West Haven School District","Special Education",273,"28.9%","55.5%"
"=""1560011""","West Haven School District","Non-Special Education",1730,"39.9%","62.0%"
"=""1540011""","Westbrook School District","Special Education",40,"37.5%","61.5%"
"=""1540011""","Westbrook School District","Non-Special Education",218,"52.8%","73.0%"
"=""1570011""","Weston School District","Special Education",60,"35.0%","58.4%"
"=""1570011""","Weston School District","Non-Special Education",825,"50.3%","69.8%"
"=""1580011""","Westport School District","Special Education",214,"27.1%","51.4%"
"=""1580011""","Westport School District","Non-Special Education",1849,"49.1%","65.3%"
"=""1590011""","Wethersfield School District","Special Education",180,"50.0%","70.0%"
"=""1590011""","Wethersfield School District","Non-Special Education",1103,"55.8%","74.7%"
"=""1600011""","Willington School District","Special Education",37,"43.2%","67.6%"
"=""1600011""","Willington School District","Non-Special Education",181,"48.6%","69.5%"
"=""1610011""","Wilton School District","Special Education",235,"48.5%","70.2%"
"=""1610011""","Wilton School District","Non-Special Education",1356,"57.6%","75.5%"
"=""1620011""","Winchester School District","Special Education",40,"47.5%","72.7%"
"=""1620011""","Winchester School District","Non-Special Education",177,"38.4%","60.6%"
"=""1630011""","Windham School District","Special Education",193,"28.0%","50.2%"
"=""1630011""","Windham School District","Non-Special Education",936,"47.1%","70.4%"
"=""1650011""","Windsor Locks School District","Special Education",90,"33.3%","61.0%"
"=""1650011""","Windsor Locks School District","Non-Special Education",492,"45.1%","67.7%"
"=""1640011""","Windsor School District","Special Education",167,"23.4%","45.7%"
"=""1640011""","Windsor School District","Non-Special Education",857,"37.7%","57.8%"
"=""1660011""","Wolcott School District","Special Education",108,"26.9%","50.7%"
"=""1660011""","Wolcott School District","Non-Special Education",791,"46.9%","66.0%"
"=""1670011""","Woodbridge School District","Special Education",26,"57.7%","81.0%"
"=""1670011""","Woodbridge School District","Non-Special Education",260,"65.0%","82.4%"
"=""1690011""","Woodstock School District","Special Education",46,"32.6%","55.5%"
"=""1690011""","Woodstock School District","Non-Special Education",411,"43.3%","61.2%"

