"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2890013""","Elm City College Preparatory School District","Male",125,"44.0%","61.3%"
"=""2890013""","Elm City College Preparatory School District","Female",185,"48.1%","71.8%"
"=""0490011""","Enfield School District","Male",847,"33.6%","56.6%"
"=""0490011""","Enfield School District","Female",862,"35.0%","59.7%"
"=""0500011""","Essex School District","Male",94,"60.6%","77.5%"
"=""0500011""","Essex School District","Female",89,"56.2%","86.0%"
"=""0510011""","Fairfield School District","Male",1929,"49.2%","69.8%"
"=""0510011""","Fairfield School District","Female",1866,"48.8%","71.4%"
"=""0520011""","Farmington School District","Male",747,"65.1%","84.7%"
"=""0520011""","Farmington School District","Female",772,"64.2%","83.7%"
"=""0530011""","Franklin School District","Male",47,"36.2%","54.8%"
"=""0530011""","Franklin School District","Female",41,"17.1%","39.3%"
"=""0540011""","Glastonbury School District","Male",1133,"59.6%","78.6%"
"=""0540011""","Glastonbury School District","Female",1180,"55.8%","77.1%"
"=""0560011""","Granby School District","Male",351,"50.7%","70.8%"
"=""0560011""","Granby School District","Female",335,"52.2%","74.9%"
"=""2940013""","Great Oaks Charter School District","Male",100,"48.0%","67.3%"
"=""2940013""","Great Oaks Charter School District","Female",103,"41.7%","58.4%"
"=""0570011""","Greenwich School District","Male",1556,"57.6%","75.0%"
"=""0570011""","Greenwich School District","Female",1504,"53.8%","73.0%"
"=""0580011""","Griswold School District","Male",316,"48.1%","70.3%"
"=""0580011""","Griswold School District","Female",319,"52.0%","70.4%"
"=""0590011""","Groton School District","Male",698,"46.4%","67.5%"
"=""0590011""","Groton School District","Female",714,"44.5%","63.3%"
"=""0600011""","Guilford School District","Male",677,"60.0%","79.4%"
"=""0600011""","Guilford School District","Female",625,"55.8%","76.8%"
"=""0620011""","Hamden School District","Male",952,"34.6%","55.7%"
"=""0620011""","Hamden School District","Female",881,"37.7%","57.2%"
"=""0630011""","Hampton School District","Male",19,"*","*"
"=""0630011""","Hampton School District","Female",8,"*","*"
"=""0640011""","Hartford School District","Male",3511,"34.5%","55.6%"
"=""0640011""","Hartford School District","Female",3399,"33.2%","56.0%"
"=""0650011""","Hartland School District","Male",57,"61.4%","85.5%"
"=""0650011""","Hartland School District","Female",47,"59.6%","78.6%"
"=""0670011""","Hebron School District","Male",183,"58.5%","82.3%"
"=""0670011""","Hebron School District","Female",159,"54.7%","82.1%"
"=""2860013""","Highville Charter School District","Male",86,"45.3%","68.5%"
"=""2860013""","Highville Charter School District","Female",95,"48.4%","67.4%"
"=""2640013""","Integrated Day Charter School District","Male",79,"40.5%","60.6%"
"=""2640013""","Integrated Day Charter School District","Female",75,"45.3%","69.2%"
"=""2650013""","Interdistrict School for Arts and Comm District","Male",128,"17.2%","30.9%"
"=""2650013""","Interdistrict School for Arts and Comm District","Female",124,"20.2%","35.1%"
"=""2610013""","Jumoke Academy District","Male",145,"31.7%","54.8%"
"=""2610013""","Jumoke Academy District","Female",181,"38.1%","56.4%"
"=""0680011""","Kent School District","Male",71,"53.5%","68.8%"
"=""0680011""","Kent School District","Female",55,"50.9%","71.7%"
"=""0690011""","Killingly School District","Male",380,"39.2%","63.0%"
"=""0690011""","Killingly School District","Female",391,"41.7%","64.3%"
"=""2450014""","Learn","Male",146,"43.8%","66.3%"
"=""2450014""","Learn","Female",154,"39.0%","64.6%"
"=""0710011""","Lebanon School District","Male",174,"39.7%","61.6%"
"=""0710011""","Lebanon School District","Female",159,"44.0%","69.6%"
"=""0720011""","Ledyard School District","Male",423,"47.0%","67.1%"
"=""0720011""","Ledyard School District","Female",355,"49.0%","73.7%"
"=""0730011""","Lisbon School District","Male",103,"44.7%","70.1%"
"=""0730011""","Lisbon School District","Female",100,"41.0%","66.1%"
"=""0740011""","Litchfield School District","Male",189,"59.8%","77.4%"
"=""0740011""","Litchfield School District","Female",183,"54.6%","71.9%"
"=""0760011""","Madison School District","Male",517,"40.2%","58.6%"
"=""0760011""","Madison School District","Female",445,"42.2%","60.4%"
"=""0770011""","Manchester School District","Male",1012,"32.0%","54.6%"
"=""0770011""","Manchester School District","Female",952,"33.2%","54.4%"
"=""0780011""","Mansfield School District","Male",295,"55.9%","71.9%"
"=""0780011""","Mansfield School District","Female",246,"51.2%","69.5%"
"=""0790011""","Marlborough School District","Male",137,"59.9%","81.9%"
"=""0790011""","Marlborough School District","Female",115,"60.9%","86.7%"
"=""0800011""","Meriden School District","Male",1211,"39.3%","62.8%"
"=""0800011""","Meriden School District","Female",1238,"41.3%","65.2%"
"=""0830011""","Middletown School District","Male",810,"36.5%","55.9%"
"=""0830011""","Middletown School District","Female",797,"38.4%","58.7%"
"=""0840011""","Milford School District","Male",1160,"46.6%","68.0%"
"=""0840011""","Milford School District","Female",1024,"45.4%","65.9%"
"=""0850011""","Monroe School District","Male",595,"48.7%","68.6%"
"=""0850011""","Monroe School District","Female",586,"50.5%","73.0%"
"=""0860011""","Montville School District","Male",413,"46.2%","68.4%"
"=""0860011""","Montville School District","Female",420,"45.5%","67.8%"
"=""0880011""","Naugatuck School District","Male",836,"33.0%","54.9%"
"=""0880011""","Naugatuck School District","Female",702,"33.2%","54.4%"
"=""2800013""","New Beginnings Inc Family Academy District","Male",82,"29.3%","55.5%"
"=""2800013""","New Beginnings Inc Family Academy District","Female",87,"33.3%","53.2%"
"=""0890011""","New Britain School District","Male",1684,"26.1%","44.8%"
"=""0890011""","New Britain School District","Female",1459,"23.4%","44.7%"
"=""0900011""","New Canaan School District","Male",810,"59.0%","76.6%"
"=""0900011""","New Canaan School District","Female",748,"60.2%","78.9%"
"=""0910011""","New Fairfield School District","Male",403,"61.5%","80.2%"
"=""0910011""","New Fairfield School District","Female",376,"55.1%","78.6%"
"=""0920011""","New Hartford School District","Male",91,"31.9%","59.5%"
"=""0920011""","New Hartford School District","Female",105,"32.4%","54.5%"
"=""0930011""","New Haven School District","Male",3436,"39.8%","61.7%"
"=""0930011""","New Haven School District","Female",3360,"42.0%","65.4%"
"=""0950011""","New London School District","Male",525,"26.1%","48.4%"
"=""0950011""","New London School District","Female",487,"28.1%","50.6%"
"=""0960011""","New Milford School District","Male",789,"45.1%","65.2%"
"=""0960011""","New Milford School District","Female",651,"43.0%","63.8%"
"=""0940011""","Newington School District","Male",785,"34.9%","52.3%"
"=""0940011""","Newington School District","Female",737,"40.6%","60.6%"
"=""0970011""","Newtown School District","Male",876,"58.8%","77.5%"
"=""0970011""","Newtown School District","Female",827,"59.5%","78.6%"
"=""0980011""","Norfolk School District","Male",20,"55.0%","75.4%"
"=""0980011""","Norfolk School District","Female",24,"45.8%","65.2%"
"=""0990011""","North Branford School District","Male",345,"43.2%","64.6%"
"=""0990011""","North Branford School District","Female",360,"47.8%","67.6%"
"=""1000011""","North Canaan School District","Male",56,"46.4%","71.1%"
"=""1000011""","North Canaan School District","Female",54,"53.7%","77.0%"
"=""1010011""","North Haven School District","Male",591,"66.5%","88.5%"
"=""1010011""","North Haven School District","Female",539,"73.3%","93.2%"
"=""1020011""","North Stonington School District","Male",139,"50.4%","68.5%"
"=""1020011""","North Stonington School District","Female",125,"48.0%","66.4%"
"=""1030011""","Norwalk School District","Male",2003,"37.8%","58.5%"
"=""1030011""","Norwalk School District","Female",1912,"36.6%","58.7%"
"=""1040011""","Norwich School District","Male",839,"38.0%","60.0%"
"=""1040011""","Norwich School District","Female",804,"37.3%","59.3%"
"=""2630013""","Odyssey Community School District","Male",92,"35.9%","57.1%"
"=""2630013""","Odyssey Community School District","Female",83,"30.1%","50.7%"
"=""1060011""","Old Saybrook School District","Male",264,"47.7%","69.2%"
"=""1060011""","Old Saybrook School District","Female",239,"50.6%","72.1%"
"=""1070011""","Orange School District","Male",255,"53.7%","76.0%"
"=""1070011""","Orange School District","Female",259,"46.7%","72.4%"
"=""1080011""","Oxford School District","Male",382,"47.9%","69.2%"
"=""1080011""","Oxford School District","Female",393,"48.3%","72.2%"
"=""2830013""","Park City Prep Charter School District","Male",166,"54.2%","72.8%"
"=""2830013""","Park City Prep Charter School District","Female",170,"60.6%","81.2%"
"=""1090011""","Plainfield School District","Male",408,"57.1%","78.9%"
"=""1090011""","Plainfield School District","Female",391,"55.5%","80.4%"
"=""1100011""","Plainville School District","Male",454,"41.0%","64.5%"
"=""1100011""","Plainville School District","Female",402,"38.3%","62.8%"
"=""1110011""","Plymouth School District","Male",279,"45.9%","69.8%"
"=""1110011""","Plymouth School District","Female",260,"53.8%","77.8%"
"=""1120011""","Pomfret School District","Male",116,"50.9%","71.2%"
"=""1120011""","Pomfret School District","Female",105,"46.7%","65.2%"
"=""1130011""","Portland School District","Male",260,"47.3%","71.8%"
"=""1130011""","Portland School District","Female",248,"47.6%","69.1%"
"=""1140011""","Preston School District","Male",97,"35.1%","59.2%"
"=""1140011""","Preston School District","Female",117,"48.7%","65.4%"
"=""1160011""","Putnam School District","Male",201,"48.3%","68.1%"
"=""1160011""","Putnam School District","Female",194,"48.5%","71.5%"
"=""1170011""","Redding School District","Male",271,"56.5%","76.9%"
"=""1170011""","Redding School District","Female",225,"54.7%","72.8%"
"=""2010012""","Regional School District 01","Male","*","*","*"
"=""2040012""","Regional School District 04","Male",150,"43.3%","58.8%"
"=""2040012""","Regional School District 04","Female",150,"39.3%","59.1%"
"=""2050012""","Regional School District 05","Male",358,"58.1%","72.7%"
"=""2050012""","Regional School District 05","Female",356,"58.1%","75.3%"
"=""2060012""","Regional School District 06","Male",119,"31.9%","52.7%"
"=""2060012""","Regional School District 06","Female",123,"48.8%","66.4%"
"=""2070012""","Regional School District 07","Male",156,"57.1%","72.9%"
"=""2070012""","Regional School District 07","Female",130,"62.3%","80.6%"
"=""2080012""","Regional School District 08","Male",268,"44.8%","60.5%"
"=""2080012""","Regional School District 08","Female",281,"40.2%","58.5%"
"=""2100012""","Regional School District 10","Male",484,"38.6%","59.6%"
"=""2100012""","Regional School District 10","Female",427,"43.1%","61.4%"
"=""2110012""","Regional School District 11","Male",45,"33.3%","57.5%"
"=""2110012""","Regional School District 11","Female",35,"65.7%","79.6%"
"=""2120012""","Regional School District 12","Male",121,"57.0%","79.2%"
"=""2120012""","Regional School District 12","Female",133,"67.7%","86.9%"
"=""2130012""","Regional School District 13","Male",354,"45.5%","66.7%"
"=""2130012""","Regional School District 13","Female",315,"48.9%","72.6%"
"=""2140012""","Regional School District 14","Male",264,"34.1%","53.2%"
"=""2140012""","Regional School District 14","Female",278,"32.7%","56.7%"
"=""2150012""","Regional School District 15","Male",753,"49.0%","69.9%"
"=""2150012""","Regional School District 15","Female",717,"54.4%","74.9%"
"=""2160012""","Regional School District 16","Male",409,"42.3%","65.0%"
"=""2160012""","Regional School District 16","Female",369,"39.8%","61.0%"
"=""2170012""","Regional School District 17","Male",477,"51.8%","71.8%"
"=""2170012""","Regional School District 17","Female",406,"56.7%","78.4%"
"=""2180012""","Regional School District 18","Male",252,"59.1%","77.7%"
"=""2180012""","Regional School District 18","Female",251,"57.0%","73.0%"
"=""1180011""","Ridgefield School District","Male",949,"54.9%","73.4%"
"=""1180011""","Ridgefield School District","Female",903,"53.5%","75.0%"
"=""1190011""","Rocky Hill School District","Male",448,"48.4%","67.4%"
"=""1190011""","Rocky Hill School District","Female",442,"49.8%","71.0%"
"=""1210011""","Salem School District","Male",98,"49.0%","68.9%"
"=""1210011""","Salem School District","Female",97,"51.5%","68.2%"
"=""1220011""","Salisbury School District","Male",58,"53.4%","69.4%"
"=""1220011""","Salisbury School District","Female",67,"58.2%","81.7%"
"=""1230011""","Scotland School District","Male",21,"42.9%","70.1%"
"=""1230011""","Scotland School District","Female",23,"26.1%","56.2%"
"=""1240011""","Seymour School District","Male",425,"48.9%","68.8%"
"=""1240011""","Seymour School District","Female",430,"48.4%","71.8%"
"=""1250011""","Sharon School District","Male",30,"66.7%","86.2%"
"=""1250011""","Sharon School District","Female",38,"36.8%","51.7%"
"=""1260011""","Shelton School District","Male",934,"48.4%","69.0%"
"=""1260011""","Shelton School District","Female",906,"50.4%","72.0%"
"=""1270011""","Sherman School District","Male",59,"54.2%","81.0%"
"=""1270011""","Sherman School District","Female",41,"51.2%","76.2%"
"=""2700013""","Side By Side Charter School District","Male",51,"54.9%","77.0%"
"=""2700013""","Side By Side Charter School District","Female",56,"55.4%","73.8%"
"=""1280011""","Simsbury School District","Male",812,"52.6%","72.0%"
"=""1280011""","Simsbury School District","Female",732,"54.8%","75.9%"
"=""1290011""","Somers School District","Male",272,"49.3%","72.4%"
"=""1290011""","Somers School District","Female",263,"47.1%","71.9%"
"=""1320011""","South Windsor School District","Male",769,"57.1%","75.5%"
"=""1320011""","South Windsor School District","Female",738,"52.7%","75.5%"
"=""1310011""","Southington School District","Male",1269,"39.2%","59.9%"
"=""1310011""","Southington School District","Female",1232,"39.3%","61.8%"
"=""1330011""","Sprague School District","Male",89,"36.0%","59.9%"
"=""1330011""","Sprague School District","Female",76,"35.5%","59.5%"
"=""1340011""","Stafford School District","Male",298,"35.6%","60.0%"
"=""1340011""","Stafford School District","Female",238,"43.7%","70.8%"
"=""1350011""","Stamford School District","Male",2669,"40.4%","61.9%"
"=""1350011""","Stamford School District","Female",2642,"39.1%","61.3%"
"=""0000000""","State of Connecticut","Male",95051,"43.8%","64.3%"
"=""0000000""","State of Connecticut","Female",90813,"43.9%","65.7%"
"=""1360011""","Sterling School District","Male",113,"47.8%","66.7%"
"=""1360011""","Sterling School District","Female",113,"43.4%","66.3%"
"=""1370011""","Stonington School District","Male",410,"47.3%","67.7%"
"=""1370011""","Stonington School District","Female",346,"48.3%","71.0%"
"=""1380011""","Stratford School District","Male",1284,"45.7%","65.6%"
"=""1380011""","Stratford School District","Female",1256,"44.0%","65.1%"
"=""1390011""","Suffield School District","Male",396,"44.2%","64.1%"
"=""1390011""","Suffield School District","Female",417,"40.8%","63.7%"
"=""2690013""","The Bridge Academy District","Male",49,"42.9%","62.3%"
"=""2690013""","The Bridge Academy District","Female",48,"56.3%","78.6%"
"=""9020022""","The Gilbert School District","Male",80,"40.0%","58.4%"
"=""9020022""","The Gilbert School District","Female",76,"35.5%","50.5%"
"=""1400011""","Thomaston School District","Male",176,"36.4%","58.3%"
"=""1400011""","Thomaston School District","Female",198,"38.9%","61.5%"
"=""1410011""","Thompson School District","Male",202,"25.7%","47.4%"
"=""1410011""","Thompson School District","Female",167,"29.3%","50.8%"
"=""1420011""","Tolland School District","Male",508,"49.4%","70.5%"
"=""1420011""","Tolland School District","Female",499,"47.9%","69.6%"
"=""1430011""","Torrington School District","Male",791,"31.1%","52.3%"
"=""1430011""","Torrington School District","Female",708,"32.2%","54.4%"
"=""2780013""","Trailblazers Academy District","Male",58,"20.7%","31.3%"
"=""2780013""","Trailblazers Academy District","Female",46,"21.7%","40.9%"
"=""1440011""","Trumbull School District","Male",1209,"68.7%","87.8%"
"=""1440011""","Trumbull School District","Female",1137,"70.5%","90.1%"
"=""3470015""","Unified School District #2","Male","*","*","*"
"=""3470015""","Unified School District #2","Female","*","*","*"
"=""1450011""","Union School District","Male",16,"*","*"
"=""1450011""","Union School District","Female",23,"65.2%","78.9%"
"=""1460011""","Vernon School District","Male",556,"42.8%","65.9%"
"=""1460011""","Vernon School District","Female",516,"42.8%","66.3%"
"=""1470011""","Voluntown School District","Male",76,"51.3%","72.4%"
"=""1470011""","Voluntown School District","Female",68,"48.5%","78.4%"
"=""1480011""","Wallingford School District","Male",1105,"37.9%","59.6%"
"=""1480011""","Wallingford School District","Female",1065,"38.0%","61.3%"
"=""1510011""","Waterbury School District","Male",3206,"30.7%","51.8%"
"=""1510011""","Waterbury School District","Female",3148,"30.4%","51.3%"
"=""1520011""","Waterford School District","Male",485,"48.2%","66.4%"
"=""1520011""","Waterford School District","Female",484,"44.2%","66.3%"
"=""1530011""","Watertown School District","Male",557,"34.8%","57.8%"
"=""1530011""","Watertown School District","Female",488,"38.9%","61.2%"
"=""1550011""","West Hartford School District","Male",1780,"46.8%","65.9%"
"=""1550011""","West Hartford School District","Female",1714,"45.0%","65.6%"
"=""1560011""","West Haven School District","Male",1003,"45.7%","67.2%"
"=""1560011""","West Haven School District","Female",1011,"48.4%","71.7%"
"=""1540011""","Westbrook School District","Male",142,"57.7%","78.4%"
"=""1540011""","Westbrook School District","Female",118,"64.4%","87.1%"
"=""1570011""","Weston School District","Male",456,"47.8%","66.1%"
"=""1570011""","Weston School District","Female",427,"44.7%","66.0%"
"=""1580011""","Westport School District","Male",1067,"52.2%","70.1%"
"=""1580011""","Westport School District","Female",996,"48.8%","68.6%"
"=""1590011""","Wethersfield School District","Male",633,"58.5%","78.3%"
"=""1590011""","Wethersfield School District","Female",650,"61.1%","81.5%"
"=""1600011""","Willington School District","Male",110,"48.2%","69.8%"
"=""1600011""","Willington School District","Female",108,"43.5%","71.3%"
"=""1610011""","Wilton School District","Male",817,"60.6%","79.6%"
"=""1610011""","Wilton School District","Female",773,"59.2%","81.4%"
"=""1620011""","Winchester School District","Male",110,"37.3%","57.8%"
"=""1620011""","Winchester School District","Female",108,"34.3%","57.9%"
"=""1630011""","Windham School District","Male",584,"42.3%","63.5%"
"=""1630011""","Windham School District","Female",546,"42.9%","66.1%"
"=""1650011""","Windsor Locks School District","Male",289,"45.3%","64.7%"
"=""1650011""","Windsor Locks School District","Female",279,"46.6%","68.4%"
"=""1640011""","Windsor School District","Male",547,"39.1%","62.9%"
"=""1640011""","Windsor School District","Female",478,"40.4%","65.1%"
"=""1660011""","Wolcott School District","Male",461,"48.2%","68.6%"
"=""1660011""","Wolcott School District","Female",438,"52.1%","76.1%"
"=""1670011""","Woodbridge School District","Male",132,"60.6%","84.5%"
"=""1670011""","Woodbridge School District","Female",154,"70.1%","89.6%"
"=""1690011""","Woodstock School District","Male",233,"38.2%","59.0%"
"=""1690011""","Woodstock School District","Female",224,"36.2%","58.3%"

