"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,"Average Vertical Scale Score (VSS)",,,"",
"=""0080011""","Bethany School District",4,50,2452,2506,54,"50.0%","79.2%"
"=""0080011""","Bethany School District",5,56,2530,2584,54,"69.6%","88.3%"
"=""0080011""","Bethany School District",6,61,2512,2544,31,"47.5%","69.4%"
"=""0090011""","Bethel School District",4,198,2427,2501,74,"67.2%","92.3%"
"=""0090011""","Bethel School District",5,198,2482,2534,52,"64.6%","85.1%"
"=""0090011""","Bethel School District",6,176,2525,2557,32,"46.6%","69.1%"
"=""0090011""","Bethel School District",7,230,2526,2563,37,"51.7%","73.3%"
"=""0090011""","Bethel School District",8,207,2545,2587,42,"62.8%","78.8%"
"=""0110011""","Bloomfield School District",4,100,2382,2442,59,"49.0%","78.7%"
"=""0110011""","Bloomfield School District",5,113,2433,2465,32,"37.2%","65.4%"
"=""0110011""","Bloomfield School District",6,113,2454,2511,57,"58.4%","78.8%"
"=""0110011""","Bloomfield School District",7,116,2488,2514,26,"38.8%","57.6%"
"=""0110011""","Bloomfield School District",8,123,2498,2514,15,"35.0%","49.9%"
"=""0120011""","Bolton School District",4,53,2473,2537,63,"66.0%","94.2%"
"=""0120011""","Bolton School District",5,66,2506,2529,23,"42.4%","62.4%"
"=""0120011""","Bolton School District",6,61,2547,2586,39,"57.4%","76.0%"
"=""0120011""","Bolton School District",7,60,2546,2588,42,"53.3%","75.4%"
"=""0120011""","Bolton School District",8,49,2571,2582,11,"32.7%","45.8%"
"=""0130011""","Bozrah School District",4,21,2432,2460,27,"9.5%","48.6%"
"=""0130011""","Bozrah School District",5,29,2448,2487,38,"48.3%","72.6%"
"=""0130011""","Bozrah School District",6,21,2468,2493,26,"42.9%","66.2%"
"=""0130011""","Bozrah School District",7,16,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,20,2531,2592,61,"70.0%","94.8%"
"=""0140011""","Branford School District",4,204,2453,2509,56,"47.1%","77.0%"
"=""0140011""","Branford School District",5,215,2498,2533,35,"47.4%","72.5%"
"=""0140011""","Branford School District",6,202,2502,2529,28,"43.6%","62.9%"
"=""0140011""","Branford School District",7,202,2540,2567,27,"43.1%","63.4%"
"=""0140011""","Branford School District",8,223,2566,2558,-8,"28.3%","41.0%"
"=""2850013""","Bridgeport Achievement First District",4,86,2413,2496,82,"73.3%","95.8%"
"=""2850013""","Bridgeport Achievement First District",5,82,2454,2470,16,"32.9%","49.0%"
"=""2850013""","Bridgeport Achievement First District",6,86,2429,2473,44,"54.7%","74.8%"
"=""2850013""","Bridgeport Achievement First District",7,83,2459,2515,56,"61.4%","81.0%"
"=""2850013""","Bridgeport Achievement First District",8,85,2506,2577,71,"74.1%","87.4%"
"=""0150011""","Bridgeport School District",4,1596,2364,2399,35,"21.1%","52.1%"
"=""0150011""","Bridgeport School District",5,1420,2392,2411,19,"28.1%","50.4%"
"=""0150011""","Bridgeport School District",6,1211,2409,2427,17,"33.9%","52.0%"
"=""0150011""","Bridgeport School District",7,1191,2432,2454,22,"36.0%","55.7%"
"=""0150011""","Bridgeport School District",8,1301,2454,2459,6,"29.5%","44.5%"
"=""0170011""","Bristol School District",4,536,2421,2472,50,"43.5%","72.3%"
"=""0170011""","Bristol School District",5,619,2466,2498,32,"40.5%","64.8%"
"=""0170011""","Bristol School District",6,530,2483,2512,29,"39.8%","61.6%"
"=""0170011""","Bristol School District",7,571,2493,2530,37,"51.0%","71.4%"
"=""0170011""","Bristol School District",8,526,2528,2549,21,"39.9%","57.6%"
"=""0180011""","Brookfield School District",4,203,2467,2505,38,"34.0%","62.7%"
"=""0180011""","Brookfield School District",5,168,2508,2529,20,"32.1%","55.6%"
"=""0180011""","Brookfield School District",6,186,2521,2552,32,"45.7%","68.1%"
"=""0180011""","Brookfield School District",7,214,2561,2593,32,"53.7%","73.1%"
"=""0180011""","Brookfield School District",8,186,2584,2627,43,"61.3%","78.7%"
"=""0190011""","Brooklyn School District",4,73,2432,2492,60,"50.7%","82.1%"
"=""0190011""","Brooklyn School District",5,98,2497,2501,4,"16.3%","35.2%"
"=""0190011""","Brooklyn School District",6,73,2485,2540,55,"60.3%","83.1%"
"=""0190011""","Brooklyn School District",7,76,2543,2553,10,"31.6%","47.5%"
"=""0190011""","Brooklyn School District",8,103,2517,2539,22,"40.8%","56.0%"
"=""0210011""","Canaan School District",4,"*","*","*","*","*","*"
"=""0210011""","Canaan School District",5,8,"*","*","*","*","*"
"=""0210011""","Canaan School District",6,10,"*","*","*","*","*"
"=""0210011""","Canaan School District",7,"*","*","*","*","*","*"
"=""0210011""","Canaan School District",8,10,"*","*","*","*","*"
"=""0220011""","Canterbury School District",4,36,2428,2488,60,"55.6%","84.9%"
"=""0220011""","Canterbury School District",5,50,2468,2471,3,"18.0%","39.0%"
"=""0220011""","Canterbury School District",6,34,2491,2531,40,"47.1%","66.9%"
"=""0220011""","Canterbury School District",7,70,2477,2527,50,"60.0%","84.4%"
"=""0220011""","Canterbury School District",8,58,2547,2571,24,"39.7%","61.8%"
"=""0230011""","Canton School District",4,112,2478,2514,37,"39.3%","64.7%"
"=""0230011""","Canton School District",5,129,2493,2535,42,"55.0%","76.5%"
"=""0230011""","Canton School District",6,132,2527,2582,55,"58.3%","81.5%"
"=""0230011""","Canton School District",7,136,2550,2582,32,"55.9%","75.6%"
"=""0230011""","Canton School District",8,135,2562,2605,43,"64.4%","82.1%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",6,26,2429,2417,-12,"15.4%","33.6%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",7,32,2449,2448,-1,"9.4%","32.1%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",8,29,2479,2469,-10,"17.2%","29.3%"
"=""2410014""","Capitol Region Education Council",4,351,2425,2476,51,"41.3%","73.5%"
"=""2410014""","Capitol Region Education Council",5,313,2451,2490,39,"50.2%","71.0%"
"=""2410014""","Capitol Region Education Council",6,581,2472,2487,15,"29.8%","49.4%"
"=""2410014""","Capitol Region Education Council",7,663,2493,2509,16,"32.6%","52.2%"
"=""2410014""","Capitol Region Education Council",8,604,2524,2545,21,"40.9%","58.7%"
"=""0240011""","Chaplin School District",4,13,"*","*","*","*","*"
"=""0240011""","Chaplin School District",5,15,"*","*","*","*","*"
"=""0240011""","Chaplin School District",6,14,"*","*","*","*","*"
"=""0250011""","Cheshire School District",4,278,2458,2511,53,"51.1%","77.8%"
"=""0250011""","Cheshire School District",5,337,2513,2561,48,"61.7%","83.1%"
"=""0250011""","Cheshire School District",6,376,2530,2574,44,"56.6%","76.4%"
"=""0250011""","Cheshire School District",7,355,2564,2580,16,"40.6%","56.8%"
"=""0250011""","Cheshire School District",8,343,2576,2610,34,"55.4%","71.6%"
"=""0260011""","Chester School District",4,27,2482,2519,37,"37.0%","63.8%"
"=""0260011""","Chester School District",5,34,2529,2552,23,"44.1%","60.2%"
"=""0260011""","Chester School District",6,39,2515,2582,67,"76.9%","94.2%"
"=""0270011""","Clinton School District",4,134,2437,2498,61,"53.0%","84.6%"
"=""0270011""","Clinton School District",5,167,2512,2542,30,"49.7%","69.6%"
"=""0270011""","Clinton School District",6,131,2536,2569,33,"47.3%","69.0%"
"=""0270011""","Clinton School District",7,141,2537,2551,14,"36.2%","53.0%"
"=""0270011""","Clinton School District",8,154,2549,2588,39,"55.8%","72.9%"
"=""0280011""","Colchester School District",4,161,2462,2515,53,"47.2%","80.7%"
"=""0280011""","Colchester School District",5,193,2492,2550,58,"67.9%","88.2%"
"=""0280011""","Colchester School District",6,201,2542,2535,-8,"21.9%","32.8%"
"=""0280011""","Colchester School District",7,191,2562,2562,-0,"22.0%","36.6%"
"=""0280011""","Colchester School District",8,189,2558,2592,34,"55.6%","75.3%"
"=""0290011""","Colebrook School District",4,9,"*","*","*","*","*"
"=""0290011""","Colebrook School District",5,9,"*","*","*","*","*"
"=""0290011""","Colebrook School District",6,13,"*","*","*","*","*"
"=""0300011""","Columbia School District",4,35,2421,2488,67,"57.1%","86.8%"
"=""0300011""","Columbia School District",5,51,2478,2494,16,"17.6%","44.3%"
"=""0300011""","Columbia School District",6,36,2499,2526,27,"33.3%","62.2%"
"=""0300011""","Columbia School District",7,48,2546,2566,19,"31.3%","51.9%"
"=""0300011""","Columbia School District",8,57,2552,2588,36,"50.9%","66.4%"
"=""2430014""","Cooperative Educational Services",4,68,2430,2460,30,"27.9%","52.3%"
"=""2430014""","Cooperative Educational Services",5,50,2440,2479,39,"48.0%","68.1%"
"=""2430014""","Cooperative Educational Services",6,57,2475,2514,40,"50.9%","70.7%"
"=""2430014""","Cooperative Educational Services",7,41,2503,2512,9,"24.4%","40.8%"
"=""2430014""","Cooperative Educational Services",8,52,2453,2474,21,"36.5%","55.1%"
"=""0310011""","Cornwall School District",4,"*","*","*","*","*","*"
"=""0310011""","Cornwall School District",5,10,"*","*","*","*","*"
"=""0310011""","Cornwall School District",6,"*","*","*","*","*","*"
"=""0310011""","Cornwall School District",7,11,"*","*","*","*","*"
"=""0310011""","Cornwall School District",8,19,"*","*","*","*","*"
"=""0320011""","Coventry School District",4,118,2451,2519,68,"65.3%","90.6%"
"=""0320011""","Coventry School District",5,115,2479,2513,34,"36.5%","66.8%"
"=""0320011""","Coventry School District",6,119,2514,2539,25,"42.9%","61.9%"
"=""0320011""","Coventry School District",7,123,2537,2579,43,"59.3%","83.3%"
"=""0320011""","Coventry School District",8,130,2566,2601,35,"55.4%","74.3%"
"=""0330011""","Cromwell School District",4,147,2440,2457,18,"20.4%","44.1%"
"=""0330011""","Cromwell School District",5,172,2462,2484,23,"30.2%","52.4%"
"=""0330011""","Cromwell School District",6,145,2506,2558,53,"63.4%","85.3%"
"=""0330011""","Cromwell School District",7,148,2557,2566,9,"30.4%","49.5%"
"=""0330011""","Cromwell School District",8,140,2553,2586,34,"47.1%","65.4%"
"=""0340011""","Danbury School District",4,772,2409,2473,64,"53.5%","82.5%"
"=""0340011""","Danbury School District",5,804,2467,2503,36,"45.0%","68.4%"
"=""0340011""","Danbury School District",6,726,2476,2501,25,"37.1%","58.6%"
"=""0340011""","Danbury School District",7,756,2500,2513,13,"30.2%","47.3%"
"=""0340011""","Danbury School District",8,676,2490,2524,34,"48.1%","64.7%"
"=""0350011""","Darien School District",4,365,2491,2540,49,"51.5%","79.2%"
"=""0350011""","Darien School District",5,341,2526,2576,50,"71.0%","88.8%"
"=""0350011""","Darien School District",6,385,2551,2619,68,"78.2%","95.3%"
"=""0350011""","Darien School District",7,362,2612,2636,24,"57.7%","73.4%"
"=""0350011""","Darien School District",8,356,2635,2685,50,"81.7%","93.4%"
"=""0360011""","Deep River School District",4,48,2436,2491,55,"52.1%","75.2%"
"=""0360011""","Deep River School District",5,44,2522,2542,20,"36.4%","60.3%"
"=""0360011""","Deep River School District",6,54,2511,2563,52,"61.1%","81.5%"
"=""0370011""","Derby School District",4,121,2411,2451,41,"25.6%","61.6%"
"=""0370011""","Derby School District",5,102,2452,2462,10,"21.6%","41.3%"
"=""0370011""","Derby School District",6,105,2465,2478,13,"31.4%","51.2%"
"=""0370011""","Derby School District",7,102,2465,2465,-0,"17.6%","33.8%"
"=""0370011""","Derby School District",8,90,2489,2485,-4,"16.7%","33.7%"
"=""0400011""","East Granby School District",4,48,2458,2508,50,"52.1%","79.8%"
"=""0400011""","East Granby School District",5,69,2530,2576,46,"59.4%","80.6%"
"=""0400011""","East Granby School District",6,60,2544,2562,18,"41.7%","55.8%"
"=""0400011""","East Granby School District",7,73,2544,2579,35,"50.7%","69.9%"
"=""0400011""","East Granby School District",8,60,2554,2583,29,"46.7%","67.7%"
"=""0410011""","East Haddam School District",4,67,2471,2487,16,"16.4%","41.9%"
"=""0410011""","East Haddam School District",5,67,2505,2546,41,"52.2%","73.5%"
"=""0410011""","East Haddam School District",6,75,2521,2540,20,"29.3%","55.2%"
"=""0410011""","East Haddam School District",7,91,2535,2554,20,"48.4%","66.6%"
"=""0410011""","East Haddam School District",8,92,2539,2522,-17,"16.3%","28.5%"
"=""0420011""","East Hampton School District",4,144,2440,2495,55,"52.8%","80.0%"
"=""0420011""","East Hampton School District",5,119,2487,2518,31,"43.7%","70.2%"
"=""0420011""","East Hampton School District",6,141,2516,2521,5,"19.1%","38.6%"
"=""0420011""","East Hampton School District",7,115,2520,2524,4,"27.8%","41.8%"
"=""0420011""","East Hampton School District",8,125,2549,2552,3,"28.8%","43.1%"
"=""0430011""","East Hartford School District",4,469,2390,2436,46,"32.6%","66.3%"
"=""0430011""","East Hartford School District",5,477,2438,2444,6,"17.8%","37.6%"
"=""0430011""","East Hartford School District",6,383,2433,2447,14,"28.5%","48.1%"
"=""0430011""","East Hartford School District",7,428,2450,2458,8,"25.9%","42.5%"
"=""0430011""","East Hartford School District",8,438,2458,2470,11,"29.5%","45.3%"
"=""0440011""","East Haven School District",4,206,2412,2462,50,"39.8%","72.2%"
"=""0440011""","East Haven School District",5,192,2449,2481,32,"39.1%","66.4%"
"=""0440011""","East Haven School District",6,207,2474,2508,34,"43.0%","66.9%"
"=""0440011""","East Haven School District",7,226,2491,2500,9,"27.9%","45.0%"
"=""0440011""","East Haven School District",8,228,2477,2498,21,"39.5%","56.8%"
"=""0450011""","East Lyme School District",4,180,2470,2526,56,"56.1%","83.8%"
"=""0450011""","East Lyme School District",5,187,2522,2542,20,"36.4%","56.6%"
"=""0450011""","East Lyme School District",6,192,2522,2579,57,"62.5%","86.1%"
"=""0450011""","East Lyme School District",7,212,2575,2604,30,"57.1%","73.0%"
"=""0450011""","East Lyme School District",8,186,2579,2594,15,"38.7%","53.9%"
"=""0470011""","East Windsor School District",4,69,2424,2476,52,"39.1%","74.6%"
"=""0470011""","East Windsor School District",5,74,2479,2474,-6,"12.2%","32.4%"
"=""0470011""","East Windsor School District",6,73,2470,2487,17,"30.1%","49.9%"
"=""0470011""","East Windsor School District",7,62,2482,2501,19,"27.4%","49.9%"
"=""0470011""","East Windsor School District",8,69,2517,2557,40,"56.5%","76.7%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)",4,"*","*","*","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)",5,"*","*","*","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)",6,7,"*","*","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)",7,10,"*","*","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)",8,"*","*","*","*","*","*"
"=""0390011""","Eastford School District",4,12,"*","*","*","*","*"
"=""0390011""","Eastford School District",5,19,"*","*","*","*","*"
"=""0390011""","Eastford School District",6,12,"*","*","*","*","*"
"=""0390011""","Eastford School District",7,9,"*","*","*","*","*"
"=""0390011""","Eastford School District",8,15,"*","*","*","*","*"
"=""0460011""","Easton School District",4,100,2472,2544,72,"67.0%","93.7%"
"=""0460011""","Easton School District",5,113,2512,2571,59,"70.8%","90.6%"
"=""0460011""","Easton School District",6,96,2533,2577,44,"61.5%","78.2%"
"=""0460011""","Easton School District",7,93,2565,2608,43,"63.4%","81.1%"
"=""0460011""","Easton School District",8,94,2585,2641,56,"69.1%","85.9%"
"=""2420014""","EdAdvance",5,"*","*","*","*","*","*"
"=""2420014""","EdAdvance",7,"*","*","*","*","*","*"
"=""0480011""","Ellington School District",4,195,2460,2517,57,"50.8%","81.3%"
"=""0480011""","Ellington School District",5,211,2525,2556,31,"50.2%","70.5%"
"=""0480011""","Ellington School District",6,209,2536,2571,35,"46.9%","66.4%"
"=""0480011""","Ellington School District",7,198,2547,2573,27,"43.9%","65.3%"
"=""0480011""","Ellington School District",8,201,2572,2600,28,"45.8%","65.5%"
"=""2890013""","Elm City College Preparatory School District",4,62,2457,2511,55,"50.0%","78.3%"
"=""2890013""","Elm City College Preparatory School District",5,66,2464,2489,25,"34.8%","54.9%"
"=""2890013""","Elm City College Preparatory School District",6,66,2467,2506,40,"50.0%","71.3%"
"=""2890013""","Elm City College Preparatory School District",7,58,2484,2503,18,"36.2%","54.3%"
"=""2890013""","Elm City College Preparatory School District",8,58,2541,2591,50,"62.1%","79.7%"
"=""0490011""","Enfield School District",4,350,2429,2488,60,"52.6%","81.5%"
"=""0490011""","Enfield School District",5,371,2475,2494,20,"26.7%","52.9%"
"=""0490011""","Enfield School District",6,312,2499,2529,30,"40.4%","65.6%"
"=""0490011""","Enfield School District",7,353,2524,2532,8,"22.4%","42.0%"
"=""0490011""","Enfield School District",8,323,2526,2538,12,"30.7%","49.7%"
"=""0500011""","Essex School District",4,53,2462,2508,46,"43.4%","76.1%"
"=""0500011""","Essex School District",5,52,2495,2547,52,"67.3%","88.8%"
"=""0500011""","Essex School District",6,78,2542,2586,44,"62.8%","80.6%"
"=""0510011""","Fairfield School District",4,831,2455,2512,57,"51.0%","81.0%"
"=""0510011""","Fairfield School District",5,733,2502,2544,42,"55.7%","78.3%"
"=""0510011""","Fairfield School District",6,718,2544,2577,33,"46.9%","69.0%"
"=""0510011""","Fairfield School District",7,758,2571,2586,15,"39.4%","55.4%"
"=""0510011""","Fairfield School District",8,755,2581,2611,30,"51.9%","68.3%"
"=""0520011""","Farmington School District",4,307,2474,2538,64,"65.1%","89.6%"
"=""0520011""","Farmington School District",5,294,2520,2561,41,"56.8%","79.2%"
"=""0520011""","Farmington School District",6,326,2523,2579,56,"67.5%","86.5%"
"=""0520011""","Farmington School District",7,315,2575,2616,42,"65.4%","82.8%"
"=""0520011""","Farmington School District",8,277,2602,2644,42,"68.2%","82.4%"
"=""0530011""","Franklin School District",4,17,"*","*","*","*","*"
"=""0530011""","Franklin School District",5,14,"*","*","*","*","*"
"=""0530011""","Franklin School District",6,20,2486,2490,4,"15.0%","29.6%"
"=""0530011""","Franklin School District",7,17,"*","*","*","*","*"
"=""0530011""","Franklin School District",8,20,2530,2535,4,"35.0%","50.0%"
"=""0540011""","Glastonbury School District",4,417,2481,2529,48,"49.2%","76.3%"
"=""0540011""","Glastonbury School District",5,429,2526,2577,51,"67.6%","88.0%"
"=""0540011""","Glastonbury School District",6,459,2564,2605,42,"61.9%","80.1%"
"=""0540011""","Glastonbury School District",7,504,2570,2603,33,"51.4%","71.7%"
"=""0540011""","Glastonbury School District",8,504,2599,2633,34,"58.7%","74.5%"
"=""0560011""","Granby School District",4,128,2463,2516,52,"54.7%","80.2%"
"=""0560011""","Granby School District",5,120,2506,2556,49,"55.0%","83.8%"
"=""0560011""","Granby School District",6,146,2539,2592,52,"67.1%","87.4%"
"=""0560011""","Granby School District",7,143,2576,2593,17,"39.2%","56.9%"
"=""0560011""","Granby School District",8,149,2583,2592,9,"42.3%","58.7%"
"=""2940013""","Great Oaks Charter School District",6,101,2386,2431,45,"55.4%","69.2%"
"=""2940013""","Great Oaks Charter School District",7,102,2428,2456,27,"34.3%","56.5%"
"=""0570011""","Greenwich School District",4,623,2475,2524,48,"51.4%","77.2%"
"=""0570011""","Greenwich School District",5,651,2511,2553,41,"58.5%","77.6%"
"=""0570011""","Greenwich School District",6,594,2543,2571,28,"51.0%","67.9%"
"=""0570011""","Greenwich School District",7,591,2570,2599,29,"56.2%","72.1%"
"=""0570011""","Greenwich School District",8,601,2589,2625,36,"61.6%","74.9%"
"=""0580011""","Griswold School District",4,132,2428,2466,38,"32.6%","59.2%"
"=""0580011""","Griswold School District",5,119,2453,2511,58,"63.0%","83.2%"
"=""0580011""","Griswold School District",6,124,2514,2548,33,"47.6%","69.0%"
"=""0580011""","Griswold School District",7,136,2516,2549,33,"51.5%","67.9%"
"=""0580011""","Griswold School District",8,124,2551,2594,43,"57.3%","73.8%"
"=""0590011""","Groton School District",4,302,2432,2494,62,"56.3%","85.1%"
"=""0590011""","Groton School District",5,275,2468,2509,41,"52.7%","73.8%"
"=""0590011""","Groton School District",6,285,2512,2529,17,"34.0%","51.9%"
"=""0590011""","Groton School District",7,301,2503,2537,34,"51.2%","66.8%"
"=""0590011""","Groton School District",8,249,2539,2546,7,"30.5%","45.8%"
"=""0600011""","Guilford School District",4,248,2487,2526,40,"47.6%","68.5%"
"=""0600011""","Guilford School District",5,279,2521,2563,42,"59.5%","82.1%"
"=""0600011""","Guilford School District",6,249,2526,2567,41,"51.0%","74.0%"
"=""0600011""","Guilford School District",7,252,2567,2604,37,"55.6%","75.8%"
"=""0600011""","Guilford School District",8,274,2586,2638,52,"74.5%","88.6%"
"=""0620011""","Hamden School District",4,362,2440,2479,38,"30.7%","61.4%"
"=""0620011""","Hamden School District",5,386,2469,2496,26,"38.1%","60.0%"
"=""0620011""","Hamden School District",6,361,2478,2512,34,"45.4%","66.1%"
"=""0620011""","Hamden School District",7,342,2515,2528,12,"33.0%","50.0%"
"=""0620011""","Hamden School District",8,382,2510,2518,9,"33.0%","44.9%"
"=""0630011""","Hampton School District",4,9,"*","*","*","*","*"
"=""0630011""","Hampton School District",5,10,"*","*","*","*","*"
"=""0630011""","Hampton School District",6,8,"*","*","*","*","*"
"=""0640011""","Hartford School District",4,1469,2374,2417,42,"29.1%","60.6%"
"=""0640011""","Hartford School District",5,1298,2411,2443,32,"40.8%","63.1%"
"=""0640011""","Hartford School District",6,1328,2439,2457,18,"33.3%","52.7%"
"=""0640011""","Hartford School District",7,1454,2444,2463,19,"34.7%","54.2%"
"=""0640011""","Hartford School District",8,1361,2458,2470,12,"31.7%","48.3%"
"=""0650011""","Hartland School District",4,12,"*","*","*","*","*"
"=""0650011""","Hartland School District",5,22,2448,2503,55,"68.2%","85.7%"
"=""0650011""","Hartland School District",6,31,2498,2553,55,"64.5%","85.2%"
"=""0650011""","Hartland School District",7,24,2519,2566,46,"54.2%","75.9%"
"=""0650011""","Hartland School District",8,15,"*","*","*","*","*"
"=""0670011""","Hebron School District",4,117,2419,2494,75,"59.8%","90.3%"
"=""0670011""","Hebron School District",5,106,2480,2521,41,"46.2%","73.9%"
"=""0670011""","Hebron School District",6,119,2511,2562,51,"63.0%","81.6%"
"=""2860013""","Highville Charter School District",4,40,2364,2429,66,"47.5%","80.4%"
"=""2860013""","Highville Charter School District",5,37,2435,2447,12,"27.0%","43.4%"
"=""2860013""","Highville Charter School District",6,36,2437,2459,22,"41.7%","59.4%"
"=""2860013""","Highville Charter School District",7,31,2478,2507,29,"48.4%","67.4%"
"=""2860013""","Highville Charter School District",8,37,2467,2544,77,"70.3%","87.6%"
"=""2640013""","Integrated Day Charter School District",4,29,2419,2451,32,"24.1%","57.0%"
"=""2640013""","Integrated Day Charter School District",5,29,2390,2439,48,"48.3%","79.0%"
"=""2640013""","Integrated Day Charter School District",6,30,2459,2518,59,"73.3%","90.8%"
"=""2640013""","Integrated Day Charter School District",7,31,2515,2544,29,"45.2%","65.0%"
"=""2640013""","Integrated Day Charter School District",8,35,2532,2529,-3,"25.7%","37.1%"
"=""2650013""","Interdistrict School for Arts and Comm District",6,89,2464,2433,-31,"5.6%","15.9%"
"=""2650013""","Interdistrict School for Arts and Comm District",7,83,2456,2475,18,"26.5%","49.0%"
"=""2650013""","Interdistrict School for Arts and Comm District",8,80,2480,2477,-3,"25.0%","35.4%"
"=""2610013""","Jumoke Academy District",4,59,2386,2446,60,"49.2%","79.3%"
"=""2610013""","Jumoke Academy District",5,66,2436,2446,9,"15.2%","40.5%"
"=""2610013""","Jumoke Academy District",6,50,2448,2484,36,"50.0%","66.5%"
"=""2610013""","Jumoke Academy District",7,70,2483,2490,8,"28.6%","43.8%"
"=""2610013""","Jumoke Academy District",8,81,2481,2500,20,"38.3%","54.4%"
"=""0680011""","Kent School District",4,25,2443,2508,65,"64.0%","88.0%"
"=""0680011""","Kent School District",5,24,2513,2569,56,"58.3%","83.2%"
"=""0680011""","Kent School District",6,32,2542,2598,56,"78.1%","88.9%"
"=""0680011""","Kent School District",7,26,2554,2564,10,"26.9%","41.9%"
"=""0680011""","Kent School District",8,19,"*","*","*","*","*"
"=""0690011""","Killingly School District",4,153,2421,2472,51,"36.6%","71.3%"
"=""0690011""","Killingly School District",5,146,2458,2486,29,"37.0%","58.2%"
"=""0690011""","Killingly School District",6,153,2479,2536,57,"63.4%","85.2%"
