"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","Subject","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0210011""","Canaan School District","Math","Non-ELL","*","21.6%","44.8%"
"=""0220011""","Canterbury School District","ELA","Non-ELL",248,"44.4%","66.9%"
"=""0220011""","Canterbury School District","Math","Non-ELL",248,"44.4%","67.6%"
"=""0230011""","Canton School District","ELA","ELL","*","*","*"
"=""0230011""","Canton School District","ELA","Non-ELL","*","51.3%","71.1%"
"=""0230011""","Canton School District","Math","ELL","*","*","*"
"=""0230011""","Canton School District","Math","Non-ELL","*","55.1%","76.4%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA","Non-ELL",88,"35.2%","56.8%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math","Non-ELL",87,"13.8%","31.6%"
"=""2410014""","Capitol Region Education Council","ELA","ELL",101,"29.7%","50.5%"
"=""2410014""","Capitol Region Education Council","ELA","Non-ELL",2438,"40.4%","61.8%"
"=""2410014""","Capitol Region Education Council","Math","ELL",101,"27.7%","52.1%"
"=""2410014""","Capitol Region Education Council","Math","Non-ELL",2411,"37.7%","58.7%"
"=""0240011""","Chaplin School District","ELA","Non-ELL",43,"55.8%","79.0%"
"=""0240011""","Chaplin School District","Math","Non-ELL",42,"31.0%","43.8%"
"=""0250011""","Cheshire School District","ELA","ELL",7,"*","*"
"=""0250011""","Cheshire School District","ELA","Non-ELL",1681,"52.8%","70.1%"
"=""0250011""","Cheshire School District","Math","ELL",8,"*","*"
"=""0250011""","Cheshire School District","Math","Non-ELL",1681,"53.2%","73.0%"
"=""0260011""","Chester School District","ELA","Non-ELL",100,"50.0%","68.6%"
"=""0260011""","Chester School District","Math","Non-ELL",100,"55.0%","74.4%"
"=""0270011""","Clinton School District","ELA","ELL",11,"*","*"
"=""0270011""","Clinton School District","ELA","Non-ELL",714,"43.3%","63.4%"
"=""0270011""","Clinton School District","Math","ELL",12,"*","*"
"=""0270011""","Clinton School District","Math","Non-ELL",715,"48.3%","69.5%"
"=""0280011""","Colchester School District","ELA","ELL",10,"*","*"
"=""0280011""","Colchester School District","ELA","Non-ELL",925,"48.5%","69.1%"
"=""0280011""","Colchester School District","Math","ELL",11,"*","*"
"=""0280011""","Colchester School District","Math","Non-ELL",924,"42.5%","61.7%"
"=""0290011""","Colebrook School District","ELA","Non-ELL",31,"61.3%","81.5%"
"=""0290011""","Colebrook School District","Math","Non-ELL",31,"35.5%","62.7%"
"=""0300011""","Columbia School District","ELA","Non-ELL",228,"47.4%","67.3%"
"=""0300011""","Columbia School District","Math","Non-ELL",227,"37.4%","60.9%"
"=""2430014""","Cooperative Educational Services","ELA","ELL","*","*","*"
"=""2430014""","Cooperative Educational Services","ELA","Non-ELL","*","35.8%","58.5%"
"=""2430014""","Cooperative Educational Services","Math","ELL","*","*","*"
"=""2430014""","Cooperative Educational Services","Math","Non-ELL","*","37.2%","57.6%"
"=""0310011""","Cornwall School District","ELA","Non-ELL",45,"44.4%","64.7%"
"=""0310011""","Cornwall School District","Math","Non-ELL",45,"46.7%","65.7%"
"=""0320011""","Coventry School District","ELA","Non-ELL",606,"54.6%","76.6%"
"=""0320011""","Coventry School District","Math","Non-ELL",605,"52.1%","75.4%"
"=""0330011""","Cromwell School District","ELA","ELL",14,"*","*"
"=""0330011""","Cromwell School District","ELA","Non-ELL",739,"44.2%","66.4%"
"=""0330011""","Cromwell School District","Math","ELL",14,"*","*"
"=""0330011""","Cromwell School District","Math","Non-ELL",738,"38.2%","59.1%"
"=""0340011""","Danbury School District","ELA","ELL",557,"35.2%","63.2%"
"=""0340011""","Danbury School District","ELA","Non-ELL",3119,"42.4%","64.0%"
"=""0340011""","Danbury School District","Math","ELL",631,"45.6%","67.5%"
"=""0340011""","Danbury School District","Math","Non-ELL",3103,"42.2%","63.9%"
"=""0350011""","Darien School District","ELA","ELL","*","*","*"
"=""0350011""","Darien School District","ELA","Non-ELL","*","59.3%","76.3%"
"=""0350011""","Darien School District","Math","ELL","*","*","*"
"=""0350011""","Darien School District","Math","Non-ELL","*","68.2%","86.1%"
"=""0360011""","Deep River School District","ELA","ELL","*","*","*"
"=""0360011""","Deep River School District","ELA","Non-ELL","*","48.3%","67.2%"
"=""0360011""","Deep River School District","Math","ELL","*","*","*"
"=""0360011""","Deep River School District","Math","Non-ELL","*","51.0%","73.4%"
"=""0370011""","Derby School District","ELA","ELL",6,"*","*"
"=""0370011""","Derby School District","ELA","Non-ELL",514,"31.9%","53.1%"
"=""0370011""","Derby School District","Math","ELL",10,"*","*"
"=""0370011""","Derby School District","Math","Non-ELL",510,"23.3%","45.6%"
"=""0400011""","East Granby School District","ELA","ELL","*","*","*"
"=""0400011""","East Granby School District","ELA","Non-ELL","*","40.5%","59.7%"
"=""0400011""","East Granby School District","Math","ELL","*","*","*"
"=""0400011""","East Granby School District","Math","Non-ELL","*","50.2%","70.5%"
"=""0410011""","East Haddam School District","ELA","Non-ELL",394,"48.2%","64.3%"
"=""0410011""","East Haddam School District","Math","Non-ELL",392,"32.4%","52.4%"
"=""0420011""","East Hampton School District","ELA","ELL","*","*","*"
"=""0420011""","East Hampton School District","ELA","Non-ELL","*","34.5%","53.3%"
"=""0420011""","East Hampton School District","Math","ELL","*","*","*"
"=""0420011""","East Hampton School District","Math","Non-ELL","*","34.5%","55.0%"
"=""0430011""","East Hartford School District","ELA","ELL",181,"26.5%","53.0%"
"=""0430011""","East Hartford School District","ELA","Non-ELL",2011,"36.8%","60.1%"
"=""0430011""","East Hartford School District","Math","ELL",192,"27.1%","46.9%"
"=""0430011""","East Hartford School District","Math","Non-ELL",2003,"26.7%","48.2%"
"=""0440011""","East Haven School District","ELA","ELL",76,"40.8%","67.9%"
"=""0440011""","East Haven School District","ELA","Non-ELL",983,"42.6%","67.5%"
"=""0440011""","East Haven School District","Math","ELL",84,"44.0%","62.7%"
"=""0440011""","East Haven School District","Math","Non-ELL",975,"37.1%","60.8%"
"=""0450011""","East Lyme School District","ELA","ELL",11,"*","*"
"=""0450011""","East Lyme School District","ELA","Non-ELL",950,"47.2%","64.9%"
"=""0450011""","East Lyme School District","Math","ELL",11,"*","*"
"=""0450011""","East Lyme School District","Math","Non-ELL",946,"50.6%","70.9%"
"=""0470011""","East Windsor School District","ELA","ELL",9,"*","*"
"=""0470011""","East Windsor School District","ELA","Non-ELL",336,"33.6%","58.5%"
"=""0470011""","East Windsor School District","Math","ELL",10,"*","*"
"=""0470011""","East Windsor School District","Math","Non-ELL",337,"33.2%","56.6%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA","ELL","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA","Non-ELL","*","17.2%","34.6%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math","ELL","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math","Non-ELL","*","24.0%","41.8%"
"=""0390011""","Eastford School District","ELA","Non-ELL",67,"37.3%","59.0%"
"=""0390011""","Eastford School District","Math","Non-ELL",67,"47.8%","68.6%"
"=""0460011""","Easton School District","ELA","ELL","*","*","*"
"=""0460011""","Easton School District","ELA","Non-ELL","*","58.0%","76.7%"
"=""0460011""","Easton School District","Math","ELL","*","*","*"
"=""0460011""","Easton School District","Math","Non-ELL","*","66.7%","86.3%"
"=""2420014""","EdAdvance","ELA","Non-ELL","*","*","*"
"=""2420014""","EdAdvance","Math","Non-ELL","*","*","*"
"=""0480011""","Ellington School District","ELA","ELL",6,"*","*"
"=""0480011""","Ellington School District","ELA","Non-ELL",1007,"45.0%","65.0%"
"=""0480011""","Ellington School District","Math","ELL",7,"*","*"
"=""0480011""","Ellington School District","Math","Non-ELL",1007,"47.5%","69.8%"
"=""2890013""","Elm City College Preparatory School District","ELA","ELL",9,"*","*"
"=""2890013""","Elm City College Preparatory School District","ELA","Non-ELL",301,"54.8%","75.8%"
"=""2890013""","Elm City College Preparatory School District","Math","ELL",9,"*","*"
"=""2890013""","Elm City College Preparatory School District","Math","Non-ELL",301,"46.8%","68.0%"
"=""0490011""","Enfield School District","ELA","ELL",20,"35.0%","61.1%"
"=""0490011""","Enfield School District","ELA","Non-ELL",1694,"45.0%","66.9%"
"=""0490011""","Enfield School District","Math","ELL",21,"19.0%","40.6%"
"=""0490011""","Enfield School District","Math","Non-ELL",1688,"34.5%","58.4%"
"=""0500011""","Essex School District","ELA","ELL","*","*","*"
"=""0500011""","Essex School District","ELA","Non-ELL","*","51.7%","70.3%"
"=""0500011""","Essex School District","Math","ELL","*","*","*"
"=""0500011""","Essex School District","Math","Non-ELL","*","59.4%","82.3%"
"=""0510011""","Fairfield School District","ELA","ELL",56,"33.9%","64.1%"
"=""0510011""","Fairfield School District","ELA","Non-ELL",3748,"50.5%","70.1%"
"=""0510011""","Fairfield School District","Math","ELL",57,"33.3%","54.4%"
"=""0510011""","Fairfield School District","Math","Non-ELL",3738,"49.3%","70.8%"
"=""0520011""","Farmington School District","ELA","ELL",15,"*","*"
"=""0520011""","Farmington School District","ELA","Non-ELL",1497,"53.7%","71.9%"
"=""0520011""","Farmington School District","Math","ELL",20,"60.0%","83.1%"
"=""0520011""","Farmington School District","Math","Non-ELL",1499,"64.7%","84.2%"
"=""0530011""","Franklin School District","ELA","Non-ELL",88,"35.2%","53.3%"
"=""0530011""","Franklin School District","Math","Non-ELL",88,"27.3%","47.6%"
"=""0540011""","Glastonbury School District","ELA","ELL",11,"*","*"
"=""0540011""","Glastonbury School District","ELA","Non-ELL",2304,"50.8%","68.3%"
"=""0540011""","Glastonbury School District","Math","ELL",12,"*","*"
"=""0540011""","Glastonbury School District","Math","Non-ELL",2301,"57.6%","77.8%"
"=""0560011""","Granby School District","ELA","ELL","*","*","*"
"=""0560011""","Granby School District","ELA","Non-ELL","*","58.6%","76.9%"
"=""0560011""","Granby School District","Math","ELL","*","*","*"
"=""0560011""","Granby School District","Math","Non-ELL","*","51.4%","72.8%"
"=""2940013""","Great Oaks Charter School District","ELA","ELL",28,"50.0%","64.7%"
"=""2940013""","Great Oaks Charter School District","ELA","Non-ELL",178,"38.8%","59.2%"
"=""2940013""","Great Oaks Charter School District","Math","ELL",28,"57.1%","75.7%"
"=""2940013""","Great Oaks Charter School District","Math","Non-ELL",175,"42.9%","60.7%"
"=""0570011""","Greenwich School District","ELA","ELL",80,"36.3%","62.7%"
"=""0570011""","Greenwich School District","ELA","Non-ELL",2945,"54.4%","72.0%"
"=""0570011""","Greenwich School District","Math","ELL",107,"55.1%","75.9%"
"=""0570011""","Greenwich School District","Math","Non-ELL",2953,"55.8%","74.0%"
"=""0580011""","Griswold School District","ELA","ELL","*","*","*"
"=""0580011""","Griswold School District","ELA","Non-ELL","*","42.2%","63.7%"
"=""0580011""","Griswold School District","Math","ELL","*","*","*"
"=""0580011""","Griswold School District","Math","Non-ELL","*","50.1%","70.3%"
"=""0590011""","Groton School District","ELA","ELL",31,"29.0%","57.6%"
"=""0590011""","Groton School District","ELA","Non-ELL",1372,"41.3%","61.2%"
"=""0590011""","Groton School District","Math","ELL",39,"43.6%","61.6%"
"=""0590011""","Groton School District","Math","Non-ELL",1373,"45.5%","65.5%"
"=""0600011""","Guilford School District","ELA","ELL",13,"*","*"
"=""0600011""","Guilford School District","ELA","Non-ELL",1290,"54.1%","72.2%"
"=""0600011""","Guilford School District","Math","ELL",14,"*","*"
"=""0600011""","Guilford School District","Math","Non-ELL",1288,"58.1%","78.1%"
"=""0620011""","Hamden School District","ELA","ELL",55,"32.7%","61.6%"
"=""0620011""","Hamden School District","ELA","Non-ELL",1780,"37.4%","57.2%"
"=""0620011""","Hamden School District","Math","ELL",64,"45.3%","65.0%"
"=""0620011""","Hamden School District","Math","Non-ELL",1769,"35.7%","56.2%"
"=""0630011""","Hampton School District","ELA","Non-ELL",28,"53.6%","78.8%"
"=""0630011""","Hampton School District","Math","Non-ELL",27,"55.6%","79.5%"
"=""0640011""","Hartford School District","ELA","ELL",947,"27.8%","52.2%"
"=""0640011""","Hartford School District","ELA","Non-ELL",5861,"32.9%","54.8%"
"=""0640011""","Hartford School District","Math","ELL",1059,"33.2%","56.2%"
"=""0640011""","Hartford School District","Math","Non-ELL",5851,"33.9%","55.7%"
"=""0650011""","Hartland School District","ELA","Non-ELL",105,"57.1%","79.7%"
"=""0650011""","Hartland School District","Math","Non-ELL",104,"60.6%","82.4%"
"=""0670011""","Hebron School District","ELA","Non-ELL",341,"44.9%","69.0%"
"=""0670011""","Hebron School District","Math","Non-ELL",342,"56.7%","82.2%"
"=""2860013""","Highville Charter School District","ELA","Non-ELL",181,"32.6%","54.8%"
"=""2860013""","Highville Charter School District","Math","Non-ELL",181,"47.0%","67.9%"
"=""2640013""","Integrated Day Charter School District","ELA","ELL",6,"*","*"
"=""2640013""","Integrated Day Charter School District","ELA","Non-ELL",151,"33.1%","53.4%"
"=""2640013""","Integrated Day Charter School District","Math","ELL",6,"*","*"
"=""2640013""","Integrated Day Charter School District","Math","Non-ELL",148,"42.6%","63.8%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","ELL",26,"38.5%","52.2%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","Non-ELL",228,"32.0%","46.9%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","ELL",25,"24.0%","43.6%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","Non-ELL",227,"18.1%","31.8%"
"=""2610013""","Jumoke Academy District","ELA","Non-ELL",325,"34.8%","54.5%"
"=""2610013""","Jumoke Academy District","Math","Non-ELL",326,"35.3%","55.7%"
"=""0680011""","Kent School District","ELA","ELL","*","*","*"
"=""0680011""","Kent School District","ELA","Non-ELL","*","48.0%","62.9%"
"=""0680011""","Kent School District","Math","ELL","*","*","*"
"=""0680011""","Kent School District","Math","Non-ELL","*","52.8%","70.5%"
"=""0690011""","Killingly School District","ELA","ELL",21,"33.3%","68.6%"
"=""0690011""","Killingly School District","ELA","Non-ELL",752,"49.1%","70.1%"
"=""0690011""","Killingly School District","Math","ELL",21,"33.3%","65.0%"
"=""0690011""","Killingly School District","Math","Non-ELL",750,"40.7%","63.6%"
"=""2450014""","Learn","ELA","ELL",34,"41.2%","65.5%"
"=""2450014""","Learn","ELA","Non-ELL",262,"45.8%","71.6%"
"=""2450014""","Learn","Math","ELL",35,"40.0%","61.8%"
"=""2450014""","Learn","Math","Non-ELL",265,"41.5%","65.9%"
"=""0710011""","Lebanon School District","ELA","Non-ELL",337,"50.4%","67.1%"
"=""0710011""","Lebanon School District","Math","Non-ELL",333,"41.7%","65.4%"
"=""0720011""","Ledyard School District","ELA","ELL",8,"*","*"
"=""0720011""","Ledyard School District","ELA","Non-ELL",768,"42.2%","62.1%"
"=""0720011""","Ledyard School District","Math","ELL",9,"*","*"
"=""0720011""","Ledyard School District","Math","Non-ELL",769,"48.2%","70.4%"
"=""0730011""","Lisbon School District","ELA","ELL","*","*","*"
"=""0730011""","Lisbon School District","ELA","Non-ELL","*","37.1%","57.0%"
"=""0730011""","Lisbon School District","Math","ELL","*","*","*"
"=""0730011""","Lisbon School District","Math","Non-ELL","*","43.1%","68.5%"
"=""0740011""","Litchfield School District","ELA","Non-ELL",372,"56.7%","75.4%"
"=""0740011""","Litchfield School District","Math","Non-ELL",372,"57.3%","74.7%"
"=""0760011""","Madison School District","ELA","ELL","*","*","*"
"=""0760011""","Madison School District","ELA","Non-ELL","*","37.3%","54.6%"
"=""0760011""","Madison School District","Math","ELL","*","*","*"
"=""0760011""","Madison School District","Math","Non-ELL","*","41.2%","59.5%"
"=""0770011""","Manchester School District","ELA","ELL",68,"33.8%","59.8%"
"=""0770011""","Manchester School District","ELA","Non-ELL",1894,"35.0%","57.2%"
"=""0770011""","Manchester School District","Math","ELL",74,"27.0%","48.1%"
"=""0770011""","Manchester School District","Math","Non-ELL",1890,"32.8%","54.8%"
"=""0780011""","Mansfield School District","ELA","ELL","*","*","*"
"=""0780011""","Mansfield School District","ELA","Non-ELL","*","51.3%","68.5%"
"=""0780011""","Mansfield School District","Math","ELL",7,"*","*"
"=""0780011""","Mansfield School District","Math","Non-ELL",534,"53.4%","70.5%"
"=""0790011""","Marlborough School District","ELA","Non-ELL",253,"56.1%","77.4%"
"=""0790011""","Marlborough School District","Math","Non-ELL",252,"60.3%","84.1%"
"=""0800011""","Meriden School District","ELA","ELL",270,"32.2%","62.3%"
"=""0800011""","Meriden School District","ELA","Non-ELL",2180,"40.1%","61.7%"
"=""0800011""","Meriden School District","Math","ELL",295,"38.3%","61.4%"
"=""0800011""","Meriden School District","Math","Non-ELL",2154,"40.6%","64.4%"
"=""0830011""","Middletown School District","ELA","ELL",29,"31.0%","50.7%"
"=""0830011""","Middletown School District","ELA","Non-ELL",1577,"38.2%","58.7%"
"=""0830011""","Middletown School District","Math","ELL",34,"41.2%","57.0%"
"=""0830011""","Middletown School District","Math","Non-ELL",1573,"37.4%","57.3%"
"=""0840011""","Milford School District","ELA","ELL",25,"32.0%","63.3%"
"=""0840011""","Milford School District","ELA","Non-ELL",2166,"48.3%","68.4%"
"=""0840011""","Milford School District","Math","ELL",27,"63.0%","83.5%"
"=""0840011""","Milford School District","Math","Non-ELL",2157,"45.9%","66.8%"
"=""0850011""","Monroe School District","ELA","ELL","*","*","*"
"=""0850011""","Monroe School District","ELA","Non-ELL","*","48.9%","64.5%"
"=""0850011""","Monroe School District","Math","ELL","*","*","*"
"=""0850011""","Monroe School District","Math","Non-ELL","*","49.7%","70.8%"
"=""0860011""","Montville School District","ELA","ELL",15,"*","*"
"=""0860011""","Montville School District","ELA","Non-ELL",817,"44.6%","65.3%"
"=""0860011""","Montville School District","Math","ELL",16,"*","*"
"=""0860011""","Montville School District","Math","Non-ELL",817,"45.8%","67.9%"
"=""0880011""","Naugatuck School District","ELA","ELL",49,"34.7%","59.4%"
"=""0880011""","Naugatuck School District","ELA","Non-ELL",1484,"42.0%","64.7%"
"=""0880011""","Naugatuck School District","Math","ELL",57,"45.6%","69.1%"
"=""0880011""","Naugatuck School District","Math","Non-ELL",1481,"32.6%","54.1%"
"=""2800013""","New Beginnings Inc Family Academy District","ELA","Non-ELL",169,"34.3%","56.8%"
"=""2800013""","New Beginnings Inc Family Academy District","Math","Non-ELL",169,"31.4%","54.3%"
"=""0890011""","New Britain School District","ELA","ELL",430,"26.5%","52.5%"
"=""0890011""","New Britain School District","ELA","Non-ELL",2688,"29.3%","51.5%"
"=""0890011""","New Britain School District","Math","ELL",469,"27.5%","49.2%"
"=""0890011""","New Britain School District","Math","Non-ELL",2674,"24.4%","44.0%"
"=""0900011""","New Canaan School District","ELA","ELL",8,"*","*"
"=""0900011""","New Canaan School District","ELA","Non-ELL",1548,"53.0%","68.7%"
"=""0900011""","New Canaan School District","Math","ELL",11,"*","*"
"=""0900011""","New Canaan School District","Math","Non-ELL",1547,"59.7%","77.7%"
"=""0910011""","New Fairfield School District","ELA","ELL",11,"*","*"
"=""0910011""","New Fairfield School District","ELA","Non-ELL",784,"51.1%","71.2%"
"=""0910011""","New Fairfield School District","Math","ELL",10,"*","*"
"=""0910011""","New Fairfield School District","Math","Non-ELL",769,"58.8%","79.7%"
"=""0920011""","New Hartford School District","ELA","Non-ELL",197,"43.1%","66.4%"
"=""0920011""","New Hartford School District","Math","Non-ELL",196,"32.1%","56.8%"
"=""0930011""","New Haven School District","ELA","ELL",971,"36.3%","63.1%"
"=""0930011""","New Haven School District","ELA","Non-ELL",5754,"39.3%","63.4%"
"=""0930011""","New Haven School District","Math","ELL",1059,"43.0%","66.3%"
"=""0930011""","New Haven School District","Math","Non-ELL",5737,"40.5%","63.0%"
"=""0950011""","New London School District","ELA","ELL",199,"27.1%","53.1%"
"=""0950011""","New London School District","ELA","Non-ELL",794,"33.0%","54.1%"
"=""0950011""","New London School District","Math","ELL",215,"25.1%","48.3%"
"=""0950011""","New London School District","Math","Non-ELL",797,"27.6%","49.8%"
"=""0960011""","New Milford School District","ELA","ELL",37,"45.9%","64.8%"
"=""0960011""","New Milford School District","ELA","Non-ELL",1432,"40.2%","61.0%"
"=""0960011""","New Milford School District","Math","ELL",38,"39.5%","63.1%"
"=""0960011""","New Milford School District","Math","Non-ELL",1402,"44.3%","64.6%"
"=""0940011""","Newington School District","ELA","ELL",24,"25.0%","48.2%"
"=""0940011""","Newington School District","ELA","Non-ELL",1497,"37.5%","58.4%"
"=""0940011""","Newington School District","Math","ELL",28,"35.7%","54.7%"
"=""0940011""","Newington School District","Math","Non-ELL",1494,"37.7%","56.4%"
"=""0970011""","Newtown School District","ELA","ELL","*","*","*"
"=""0970011""","Newtown School District","ELA","Non-ELL","*","45.9%","64.0%"
"=""0970011""","Newtown School District","Math","ELL","*","*","*"
"=""0970011""","Newtown School District","Math","Non-ELL","*","59.1%","78.0%"
"=""0980011""","Norfolk School District","ELA","Non-ELL",44,"45.5%","65.8%"
"=""0980011""","Norfolk School District","Math","Non-ELL",44,"50.0%","69.8%"
"=""0990011""","North Branford School District","ELA","ELL",6,"*","*"
"=""0990011""","North Branford School District","ELA","Non-ELL",699,"43.2%","64.2%"
"=""0990011""","North Branford School District","Math","ELL",6,"*","*"
"=""0990011""","North Branford School District","Math","Non-ELL",699,"45.6%","66.2%"
"=""1000011""","North Canaan School District","ELA","ELL","*","*","*"
"=""1000011""","North Canaan School District","ELA","Non-ELL","*","57.8%","77.1%"
"=""1000011""","North Canaan School District","Math","ELL","*","*","*"
"=""1000011""","North Canaan School District","Math","Non-ELL","*","49.5%","73.6%"
"=""1010011""","North Haven School District","ELA","ELL",13,"*","*"
"=""1010011""","North Haven School District","ELA","Non-ELL",1115,"67.4%","87.5%"
