"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2860013""","Highville Charter School District","Non-High Needs",58,"15.5%","37.4%"
"=""2640013""","Integrated Day Charter School District","High Needs",64,"28.1%","47.1%"
"=""2640013""","Integrated Day Charter School District","Non-High Needs",93,"34.4%","56.0%"
"=""2650013""","Interdistrict School for Arts and Comm District","High Needs",192,"31.8%","46.2%"
"=""2650013""","Interdistrict School for Arts and Comm District","Non-High Needs",62,"35.5%","51.4%"
"=""2610013""","Jumoke Academy District","High Needs",228,"32.5%","52.2%"
"=""2610013""","Jumoke Academy District","Non-High Needs",97,"40.2%","60.0%"
"=""0680011""","Kent School District","High Needs",26,"30.8%","48.2%"
"=""0680011""","Kent School District","Non-High Needs",100,"52.0%","66.5%"
"=""0690011""","Killingly School District","High Needs",395,"46.6%","68.5%"
"=""0690011""","Killingly School District","Non-High Needs",378,"50.8%","71.8%"
"=""2450014""","Learn","High Needs",176,"39.2%","65.6%"
"=""2450014""","Learn","Non-High Needs",120,"54.2%","78.6%"
"=""0710011""","Lebanon School District","High Needs",103,"48.5%","68.1%"
"=""0710011""","Lebanon School District","Non-High Needs",234,"51.3%","66.7%"
"=""0720011""","Ledyard School District","High Needs",242,"33.5%","53.1%"
"=""0720011""","Ledyard School District","Non-High Needs",534,"46.1%","66.1%"
"=""0730011""","Lisbon School District","High Needs",64,"32.8%","56.7%"
"=""0730011""","Lisbon School District","Non-High Needs",139,"38.8%","57.4%"
"=""0740011""","Litchfield School District","High Needs",92,"44.6%","69.4%"
"=""0740011""","Litchfield School District","Non-High Needs",280,"60.7%","77.4%"
"=""0760011""","Madison School District","High Needs",146,"24.7%","46.9%"
"=""0760011""","Madison School District","Non-High Needs",818,"39.5%","55.9%"
"=""0770011""","Manchester School District","High Needs",1220,"30.9%","53.8%"
"=""0770011""","Manchester School District","Non-High Needs",742,"41.6%","62.9%"
"=""0780011""","Mansfield School District","High Needs",173,"43.9%","64.6%"
"=""0780011""","Mansfield School District","Non-High Needs",364,"54.4%","70.0%"
"=""0790011""","Marlborough School District","High Needs",37,"48.6%","73.6%"
"=""0790011""","Marlborough School District","Non-High Needs",216,"57.4%","78.0%"
"=""0800011""","Meriden School District","High Needs",1761,"36.9%","60.6%"
"=""0800011""","Meriden School District","Non-High Needs",689,"45.4%","64.7%"
"=""0830011""","Middletown School District","High Needs",762,"33.9%","56.3%"
"=""0830011""","Middletown School District","Non-High Needs",844,"41.8%","60.7%"
"=""0840011""","Milford School District","High Needs",648,"40.3%","64.4%"
"=""0840011""","Milford School District","Non-High Needs",1543,"51.5%","70.0%"
"=""0850011""","Monroe School District","High Needs",207,"34.3%","49.3%"
"=""0850011""","Monroe School District","Non-High Needs",975,"52.2%","67.9%"
"=""0860011""","Montville School District","High Needs",385,"40.0%","62.4%"
"=""0860011""","Montville School District","Non-High Needs",447,"48.5%","67.7%"
"=""0880011""","Naugatuck School District","High Needs",851,"37.0%","61.6%"
"=""0880011""","Naugatuck School District","Non-High Needs",682,"47.8%","68.2%"
"=""2800013""","New Beginnings Inc Family Academy District","High Needs",153,"34.0%","56.4%"
"=""2800013""","New Beginnings Inc Family Academy District","Non-High Needs",16,"*","*"
"=""0890011""","New Britain School District","High Needs",2703,"27.8%","50.7%"
"=""0890011""","New Britain School District","Non-High Needs",415,"36.1%","57.9%"
"=""0900011""","New Canaan School District","High Needs",166,"41.0%","62.5%"
"=""0900011""","New Canaan School District","Non-High Needs",1390,"54.2%","69.4%"
"=""0910011""","New Fairfield School District","High Needs",137,"39.4%","63.7%"
"=""0910011""","New Fairfield School District","Non-High Needs",658,"53.3%","72.7%"
"=""0920011""","New Hartford School District","High Needs",36,"30.6%","61.5%"
"=""0920011""","New Hartford School District","Non-High Needs",161,"46.0%","67.5%"
"=""0930011""","New Haven School District","High Needs",4654,"35.7%","61.5%"
"=""0930011""","New Haven School District","Non-High Needs",2071,"46.0%","67.4%"
"=""0950011""","New London School District","High Needs",878,"31.5%","53.4%"
"=""0950011""","New London School District","Non-High Needs",115,"33.9%","57.7%"
"=""0960011""","New Milford School District","High Needs",456,"36.4%","57.7%"
"=""0960011""","New Milford School District","Non-High Needs",1013,"42.1%","62.6%"
"=""0940011""","Newington School District","High Needs",451,"29.3%","50.8%"
"=""0940011""","Newington School District","Non-High Needs",1070,"40.7%","61.3%"
"=""0970011""","Newtown School District","High Needs",257,"34.2%","57.0%"
"=""0970011""","Newtown School District","Non-High Needs",1447,"47.9%","65.2%"
"=""0980011""","Norfolk School District","High Needs",13,"*","*"
"=""0980011""","Norfolk School District","Non-High Needs",31,"48.4%","70.6%"
"=""0990011""","North Branford School District","High Needs",205,"33.2%","58.2%"
"=""0990011""","North Branford School District","Non-High Needs",500,"47.4%","66.9%"
"=""1000011""","North Canaan School District","High Needs",35,"45.7%","66.7%"
"=""1000011""","North Canaan School District","Non-High Needs",75,"64.0%","82.4%"
"=""1010011""","North Haven School District","High Needs",263,"53.2%","80.0%"
"=""1010011""","North Haven School District","Non-High Needs",865,"71.1%","89.6%"
"=""1020011""","North Stonington School District","High Needs",47,"46.8%","59.7%"
"=""1020011""","North Stonington School District","Non-High Needs",217,"49.8%","67.4%"
"=""1030011""","Norwalk School District","High Needs",2334,"31.3%","54.3%"
"=""1030011""","Norwalk School District","Non-High Needs",1515,"42.2%","62.0%"
"=""1040011""","Norwich School District","High Needs",1303,"35.8%","58.9%"
"=""1040011""","Norwich School District","Non-High Needs",326,"46.0%","66.5%"
"=""2630013""","Odyssey Community School District","High Needs",67,"37.3%","67.2%"
"=""2630013""","Odyssey Community School District","Non-High Needs",108,"36.1%","58.9%"
"=""1060011""","Old Saybrook School District","High Needs",141,"40.4%","61.9%"
"=""1060011""","Old Saybrook School District","Non-High Needs",360,"47.5%","66.8%"
"=""1070011""","Orange School District","High Needs",55,"34.5%","57.5%"
"=""1070011""","Orange School District","Non-High Needs",454,"56.2%","76.0%"
"=""1080011""","Oxford School District","High Needs",147,"25.9%","50.6%"
"=""1080011""","Oxford School District","Non-High Needs",629,"42.3%","58.8%"
"=""2830013""","Park City Prep Charter School District","High Needs",261,"44.8%","69.2%"
"=""2830013""","Park City Prep Charter School District","Non-High Needs",76,"51.3%","76.5%"
"=""1090011""","Plainfield School District","High Needs",453,"46.4%","70.2%"
"=""1090011""","Plainfield School District","Non-High Needs",349,"49.9%","71.5%"
"=""1100011""","Plainville School District","High Needs",353,"36.8%","61.4%"
"=""1100011""","Plainville School District","Non-High Needs",503,"47.1%","68.8%"
"=""1110011""","Plymouth School District","High Needs",204,"35.3%","59.2%"
"=""1110011""","Plymouth School District","Non-High Needs",332,"49.1%","67.0%"
"=""1120011""","Pomfret School District","High Needs",58,"44.8%","60.2%"
"=""1120011""","Pomfret School District","Non-High Needs",163,"54.0%","74.0%"
"=""1130011""","Portland School District","High Needs",130,"40.0%","58.6%"
"=""1130011""","Portland School District","Non-High Needs",378,"51.9%","71.1%"
"=""1140011""","Preston School District","High Needs",76,"34.2%","55.1%"
"=""1140011""","Preston School District","Non-High Needs",139,"38.1%","55.8%"
"=""1160011""","Putnam School District","High Needs",232,"41.4%","61.0%"
"=""1160011""","Putnam School District","Non-High Needs",163,"47.2%","68.4%"
"=""1170011""","Redding School District","High Needs",69,"36.2%","56.6%"
"=""1170011""","Redding School District","Non-High Needs",433,"53.8%","70.9%"
"=""2010012""","Regional School District 01","High Needs","*","*","*"
"=""2040012""","Regional School District 04","High Needs",78,"32.1%","49.2%"
"=""2040012""","Regional School District 04","Non-High Needs",222,"46.4%","60.5%"
"=""2050012""","Regional School District 05","High Needs",107,"39.3%","56.0%"
"=""2050012""","Regional School District 05","Non-High Needs",607,"52.9%","71.7%"
"=""2060012""","Regional School District 06","High Needs",62,"38.7%","53.8%"
"=""2060012""","Regional School District 06","Non-High Needs",182,"47.8%","66.5%"
"=""2070012""","Regional School District 07","High Needs",50,"40.0%","60.1%"
"=""2070012""","Regional School District 07","Non-High Needs",239,"48.5%","64.5%"
"=""2080012""","Regional School District 08","High Needs",98,"30.6%","50.9%"
"=""2080012""","Regional School District 08","Non-High Needs",451,"38.1%","54.5%"
"=""2100012""","Regional School District 10","High Needs",138,"35.5%","57.7%"
"=""2100012""","Regional School District 10","Non-High Needs",773,"44.2%","64.2%"
"=""2110012""","Regional School District 11","High Needs",35,"48.6%","64.1%"
"=""2110012""","Regional School District 11","Non-High Needs",47,"46.8%","66.3%"
"=""2120012""","Regional School District 12","High Needs",57,"52.6%","75.9%"
"=""2120012""","Regional School District 12","Non-High Needs",198,"55.1%","75.9%"
"=""2130012""","Regional School District 13","High Needs",140,"33.6%","61.6%"
"=""2130012""","Regional School District 13","Non-High Needs",530,"50.9%","71.3%"
"=""2140012""","Regional School District 14","High Needs",129,"34.9%","57.0%"
"=""2140012""","Regional School District 14","Non-High Needs",414,"40.3%","61.3%"
"=""2150012""","Regional School District 15","High Needs",261,"37.5%","59.1%"
"=""2150012""","Regional School District 15","Non-High Needs",1208,"54.4%","73.7%"
"=""2160012""","Regional School District 16","High Needs",206,"40.3%","65.1%"
"=""2160012""","Regional School District 16","Non-High Needs",592,"44.9%","66.1%"
"=""2170012""","Regional School District 17","High Needs",211,"42.2%","64.2%"
"=""2170012""","Regional School District 17","Non-High Needs",676,"54.1%","71.5%"
"=""2180012""","Regional School District 18","High Needs",77,"37.7%","56.5%"
"=""2180012""","Regional School District 18","Non-High Needs",427,"54.3%","71.7%"
"=""1180011""","Ridgefield School District","High Needs",215,"33.0%","54.2%"
"=""1180011""","Ridgefield School District","Non-High Needs",1638,"54.3%","70.2%"
"=""1190011""","Rocky Hill School District","High Needs",193,"36.3%","58.5%"
"=""1190011""","Rocky Hill School District","Non-High Needs",693,"46.3%","63.7%"
"=""1210011""","Salem School District","High Needs",48,"45.8%","68.5%"
"=""1210011""","Salem School District","Non-High Needs",147,"62.6%","82.0%"
"=""1220011""","Salisbury School District","High Needs",23,"30.4%","57.9%"
"=""1220011""","Salisbury School District","Non-High Needs",102,"51.0%","63.5%"
"=""1230011""","Scotland School District","High Needs",15,"*","*"
"=""1230011""","Scotland School District","Non-High Needs",29,"62.1%","77.1%"
"=""1240011""","Seymour School District","High Needs",309,"32.4%","53.8%"
"=""1240011""","Seymour School District","Non-High Needs",547,"41.0%","59.5%"
"=""1250011""","Sharon School District","High Needs",23,"39.1%","70.7%"
"=""1250011""","Sharon School District","Non-High Needs",45,"46.7%","63.6%"
"=""1260011""","Shelton School District","High Needs",587,"38.5%","60.6%"
"=""1260011""","Shelton School District","Non-High Needs",1251,"55.8%","73.2%"
"=""1270011""","Sherman School District","High Needs",18,"*","*"
"=""1270011""","Sherman School District","Non-High Needs",81,"53.1%","71.9%"
"=""2700013""","Side By Side Charter School District","High Needs",66,"37.9%","59.0%"
"=""2700013""","Side By Side Charter School District","Non-High Needs",42,"42.9%","62.3%"
"=""1280011""","Simsbury School District","High Needs",303,"44.6%","65.9%"
"=""1280011""","Simsbury School District","Non-High Needs",1251,"58.8%","76.0%"
"=""1290011""","Somers School District","High Needs",91,"40.7%","60.8%"
"=""1290011""","Somers School District","Non-High Needs",445,"48.1%","67.8%"
"=""1320011""","South Windsor School District","High Needs",359,"37.6%","62.6%"
"=""1320011""","South Windsor School District","Non-High Needs",1153,"53.4%","69.5%"
"=""1310011""","Southington School District","High Needs",623,"32.9%","54.7%"
"=""1310011""","Southington School District","Non-High Needs",1881,"41.8%","61.3%"
"=""1330011""","Sprague School District","High Needs",91,"41.8%","62.9%"
"=""1330011""","Sprague School District","Non-High Needs",73,"43.8%","60.5%"
"=""1340011""","Stafford School District","High Needs",218,"43.6%","68.3%"
"=""1340011""","Stafford School District","Non-High Needs",317,"45.7%","64.8%"
"=""1350011""","Stamford School District","High Needs",3081,"36.4%","60.0%"
"=""1350011""","Stamford School District","Non-High Needs",2157,"49.2%","67.4%"
"=""0000000""","State of Connecticut","High Needs",83738,"35.2%","58.3%"
"=""0000000""","State of Connecticut","Non-High Needs",101607,"49.6%","68.3%"
"=""1360011""","Sterling School District","High Needs",89,"34.8%","61.0%"
"=""1360011""","Sterling School District","Non-High Needs",138,"45.7%","66.6%"
"=""1370011""","Stonington School District","High Needs",227,"32.6%","53.0%"
"=""1370011""","Stonington School District","Non-High Needs",529,"50.7%","65.1%"
"=""1380011""","Stratford School District","High Needs",1317,"36.4%","59.0%"
"=""1380011""","Stratford School District","Non-High Needs",1225,"42.4%","62.1%"
"=""1390011""","Suffield School District","High Needs",147,"34.0%","53.1%"
"=""1390011""","Suffield School District","Non-High Needs",667,"45.6%","63.2%"
"=""2690013""","The Bridge Academy District","High Needs",89,"24.7%","45.0%"
"=""2690013""","The Bridge Academy District","Non-High Needs",8,"*","*"
"=""9020022""","The Gilbert School District","High Needs",84,"27.4%","43.4%"
"=""9020022""","The Gilbert School District","Non-High Needs",73,"27.4%","44.1%"
"=""1400011""","Thomaston School District","High Needs",120,"31.7%","58.1%"
"=""1400011""","Thomaston School District","Non-High Needs",252,"43.7%","67.5%"
"=""1410011""","Thompson School District","High Needs",154,"18.8%","43.2%"
"=""1410011""","Thompson School District","Non-High Needs",217,"29.5%","45.5%"
"=""1420011""","Tolland School District","High Needs",172,"33.7%","54.9%"
"=""1420011""","Tolland School District","Non-High Needs",835,"48.3%","66.5%"
"=""1430011""","Torrington School District","High Needs",879,"29.8%","51.1%"
"=""1430011""","Torrington School District","Non-High Needs",622,"32.5%","52.2%"
"=""2780013""","Trailblazers Academy District","High Needs","*","20.6%","40.4%"
"=""2780013""","Trailblazers Academy District","Non-High Needs","*","*","*"
"=""1440011""","Trumbull School District","High Needs",441,"56.5%","78.7%"
"=""1440011""","Trumbull School District","Non-High Needs",1900,"71.5%","88.3%"
"=""3470015""","Unified School District #2","High Needs","*","*","*"
"=""1450011""","Union School District","High Needs",6,"*","*"
"=""1450011""","Union School District","Non-High Needs",33,"54.5%","74.6%"
"=""1460011""","Vernon School District","High Needs",561,"34.2%","56.0%"
"=""1460011""","Vernon School District","Non-High Needs",514,"46.9%","65.8%"
"=""1470011""","Voluntown School District","High Needs",56,"26.8%","50.4%"
"=""1470011""","Voluntown School District","Non-High Needs",88,"43.2%","63.5%"
"=""1480011""","Wallingford School District","High Needs",623,"36.1%","60.6%"
"=""1480011""","Wallingford School District","Non-High Needs",1542,"47.7%","67.9%"
"=""1510011""","Waterbury School District","High Needs",5399,"32.4%","56.7%"
"=""1510011""","Waterbury School District","Non-High Needs",898,"38.2%","58.8%"
"=""1520011""","Waterford School District","High Needs",308,"35.1%","58.8%"
"=""1520011""","Waterford School District","Non-High Needs",660,"48.3%","66.1%"
"=""1530011""","Watertown School District","High Needs",372,"42.7%","65.2%"
"=""1530011""","Watertown School District","Non-High Needs",673,"47.3%","69.0%"
"=""1550011""","West Hartford School District","High Needs",940,"31.0%","53.7%"
"=""1550011""","West Hartford School District","Non-High Needs",2558,"49.3%","65.7%"
"=""1560011""","West Haven School District","High Needs",1369,"36.3%","59.5%"
"=""1560011""","West Haven School District","Non-High Needs",634,"42.9%","64.7%"
"=""1540011""","Westbrook School District","High Needs",65,"46.2%","68.9%"
"=""1540011""","Westbrook School District","Non-High Needs",193,"51.8%","72.0%"
"=""1570011""","Weston School District","High Needs",78,"42.3%","64.2%"
"=""1570011""","Weston School District","Non-High Needs",807,"49.9%","69.5%"
"=""1580011""","Westport School District","High Needs",274,"31.4%","55.1%"
"=""1580011""","Westport School District","Non-High Needs",1789,"49.2%","65.2%"
"=""1590011""","Wethersfield School District","High Needs",374,"48.7%","69.5%"
"=""1590011""","Wethersfield School District","Non-High Needs",909,"57.6%","75.9%"
"=""1600011""","Willington School District","High Needs",74,"48.6%","72.8%"
"=""1600011""","Willington School District","Non-High Needs",144,"47.2%","67.3%"
"=""1610011""","Wilton School District","High Needs",250,"48.4%","69.8%"
"=""1610011""","Wilton School District","Non-High Needs",1341,"57.7%","75.6%"
"=""1620011""","Winchester School District","High Needs",137,"40.1%","63.7%"
"=""1620011""","Winchester School District","Non-High Needs",80,"40.0%","61.4%"
"=""1630011""","Windham School District","High Needs",934,"40.7%","64.6%"
"=""1630011""","Windham School District","Non-High Needs",195,"59.0%","78.2%"
"=""1650011""","Windsor Locks School District","High Needs",274,"38.3%","63.3%"
"=""1650011""","Windsor Locks School District","Non-High Needs",308,"47.7%","69.7%"
"=""1640011""","Windsor School District","High Needs",473,"31.7%","52.6%"
"=""1640011""","Windsor School District","Non-High Needs",551,"38.5%","58.7%"
"=""1660011""","Wolcott School District","High Needs",239,"36.4%","58.7%"
"=""1660011""","Wolcott School District","Non-High Needs",660,"47.4%","66.1%"
"=""1670011""","Woodbridge School District","High Needs",49,"65.3%","87.6%"
"=""1670011""","Woodbridge School District","Non-High Needs",237,"64.1%","81.1%"
"=""1690011""","Woodstock School District","High Needs",98,"38.8%","59.0%"
"=""1690011""","Woodstock School District","Non-High Needs",359,"43.2%","61.1%"

