"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","Subject","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0250011""","Cheshire School District","Math",1689,"53.1%","72.9%"
"=""0260011""","Chester School District","ELA",100,"50.0%","68.6%"
"=""0260011""","Chester School District","Math",100,"55.0%","74.4%"
"=""0270011""","Clinton School District","ELA",725,"43.0%","63.4%"
"=""0270011""","Clinton School District","Math",727,"48.6%","69.8%"
"=""0280011""","Colchester School District","ELA",935,"48.4%","69.2%"
"=""0280011""","Colchester School District","Math",935,"42.6%","61.9%"
"=""0290011""","Colebrook School District","ELA",31,"61.3%","81.5%"
"=""0290011""","Colebrook School District","Math",31,"35.5%","62.7%"
"=""0300011""","Columbia School District","ELA",228,"47.4%","67.3%"
"=""0300011""","Columbia School District","Math",227,"37.4%","60.9%"
"=""2430014""","Cooperative Educational Services","ELA",267,"36.0%","58.8%"
"=""2430014""","Cooperative Educational Services","Math",268,"37.7%","58.0%"
"=""0310011""","Cornwall School District","ELA",45,"44.4%","64.7%"
"=""0310011""","Cornwall School District","Math",45,"46.7%","65.7%"
"=""0320011""","Coventry School District","ELA",606,"54.6%","76.6%"
"=""0320011""","Coventry School District","Math",605,"52.1%","75.4%"
"=""0330011""","Cromwell School District","ELA",753,"44.2%","66.3%"
"=""0330011""","Cromwell School District","Math",752,"37.9%","59.0%"
"=""0340011""","Danbury School District","ELA",3676,"41.3%","63.9%"
"=""0340011""","Danbury School District","Math",3734,"42.8%","64.5%"
"=""0350011""","Darien School District","ELA",1808,"59.2%","76.3%"
"=""0350011""","Darien School District","Math",1809,"68.0%","86.1%"
"=""0360011""","Deep River School District","ELA",146,"48.6%","67.5%"
"=""0360011""","Deep River School District","Math",146,"50.7%","73.0%"
"=""0370011""","Derby School District","ELA",520,"31.5%","52.8%"
"=""0370011""","Derby School District","Math",520,"22.9%","45.2%"
"=""0400011""","East Granby School District","ELA",310,"40.6%","59.8%"
"=""0400011""","East Granby School District","Math",310,"50.3%","70.6%"
"=""0410011""","East Haddam School District","ELA",394,"48.2%","64.3%"
"=""0410011""","East Haddam School District","Math",392,"32.4%","52.4%"
"=""0420011""","East Hampton School District","ELA",648,"34.4%","53.3%"
"=""0420011""","East Hampton School District","Math",644,"34.6%","55.1%"
"=""0430011""","East Hartford School District","ELA",2192,"36.0%","59.5%"
"=""0430011""","East Hartford School District","Math",2195,"26.7%","48.1%"
"=""0440011""","East Haven School District","ELA",1059,"42.5%","67.6%"
"=""0440011""","East Haven School District","Math",1059,"37.7%","61.0%"
"=""0450011""","East Lyme School District","ELA",961,"47.0%","64.9%"
"=""0450011""","East Lyme School District","Math",957,"50.4%","70.7%"
"=""0470011""","East Windsor School District","ELA",345,"33.3%","58.4%"
"=""0470011""","East Windsor School District","Math",347,"32.9%","56.4%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA",30,"16.7%","35.0%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math",26,"23.1%","40.2%"
"=""0390011""","Eastford School District","ELA",67,"37.3%","59.0%"
"=""0390011""","Eastford School District","Math",67,"47.8%","68.6%"
"=""0460011""","Easton School District","ELA",501,"58.1%","76.7%"
"=""0460011""","Easton School District","Math",496,"66.5%","86.2%"
"=""2420014""","EdAdvance","ELA","*","*","*"
"=""2420014""","EdAdvance","Math","*","*","*"
"=""0480011""","Ellington School District","ELA",1013,"45.1%","65.1%"
"=""0480011""","Ellington School District","Math",1014,"47.5%","69.7%"
"=""2890013""","Elm City College Preparatory School District","ELA",310,"54.5%","75.3%"
"=""2890013""","Elm City College Preparatory School District","Math",310,"46.5%","67.6%"
"=""0490011""","Enfield School District","ELA",1714,"44.9%","66.8%"
"=""0490011""","Enfield School District","Math",1709,"34.3%","58.2%"
"=""0500011""","Essex School District","ELA",182,"51.1%","70.1%"
"=""0500011""","Essex School District","Math",183,"58.5%","81.6%"
"=""0510011""","Fairfield School District","ELA",3804,"50.3%","70.0%"
"=""0510011""","Fairfield School District","Math",3795,"49.0%","70.6%"
"=""0520011""","Farmington School District","ELA",1512,"53.6%","71.9%"
"=""0520011""","Farmington School District","Math",1519,"64.6%","84.2%"
"=""0530011""","Franklin School District","ELA",88,"35.2%","53.3%"
"=""0530011""","Franklin School District","Math",88,"27.3%","47.6%"
"=""0540011""","Glastonbury School District","ELA",2315,"50.7%","68.3%"
"=""0540011""","Glastonbury School District","Math",2313,"57.7%","77.8%"
"=""0560011""","Granby School District","ELA",687,"58.7%","76.9%"
"=""0560011""","Granby School District","Math",686,"51.5%","72.8%"
"=""2940013""","Great Oaks Charter School District","ELA",206,"40.3%","60.0%"
"=""2940013""","Great Oaks Charter School District","Math",203,"44.8%","62.8%"
"=""0570011""","Greenwich School District","ELA",3025,"53.9%","71.8%"
"=""0570011""","Greenwich School District","Math",3060,"55.8%","74.0%"
"=""0580011""","Griswold School District","ELA",635,"42.2%","63.7%"
"=""0580011""","Griswold School District","Math",635,"50.1%","70.3%"
"=""0590011""","Groton School District","ELA",1403,"41.1%","61.1%"
"=""0590011""","Groton School District","Math",1412,"45.5%","65.4%"
"=""0600011""","Guilford School District","ELA",1303,"54.1%","72.2%"
"=""0600011""","Guilford School District","Math",1302,"58.0%","78.1%"
"=""0620011""","Hamden School District","ELA",1835,"37.3%","57.3%"
"=""0620011""","Hamden School District","Math",1833,"36.1%","56.5%"
"=""0630011""","Hampton School District","ELA",28,"53.6%","78.8%"
"=""0630011""","Hampton School District","Math",27,"55.6%","79.5%"
"=""0640011""","Hartford School District","ELA",6808,"32.2%","54.4%"
"=""0640011""","Hartford School District","Math",6910,"33.8%","55.8%"
"=""0650011""","Hartland School District","ELA",105,"57.1%","79.7%"
"=""0650011""","Hartland School District","Math",104,"60.6%","82.4%"
"=""0670011""","Hebron School District","ELA",341,"44.9%","69.0%"
"=""0670011""","Hebron School District","Math",342,"56.7%","82.2%"
"=""2860013""","Highville Charter School District","ELA",181,"32.6%","54.8%"
"=""2860013""","Highville Charter School District","Math",181,"47.0%","67.9%"
"=""2640013""","Integrated Day Charter School District","ELA",157,"31.8%","52.4%"
"=""2640013""","Integrated Day Charter School District","Math",154,"42.9%","64.8%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA",254,"32.7%","47.5%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math",252,"18.7%","33.0%"
"=""2610013""","Jumoke Academy District","ELA",325,"34.8%","54.5%"
"=""2610013""","Jumoke Academy District","Math",326,"35.3%","55.7%"
"=""0680011""","Kent School District","ELA",126,"47.6%","62.7%"
"=""0680011""","Kent School District","Math",126,"52.4%","70.1%"
"=""0690011""","Killingly School District","ELA",773,"48.6%","70.1%"
"=""0690011""","Killingly School District","Math",771,"40.5%","63.7%"
"=""2450014""","Learn","ELA",296,"45.3%","70.9%"
"=""2450014""","Learn","Math",300,"41.3%","65.4%"
"=""0710011""","Lebanon School District","ELA",337,"50.4%","67.1%"
"=""0710011""","Lebanon School District","Math",333,"41.7%","65.4%"
"=""0720011""","Ledyard School District","ELA",776,"42.1%","62.0%"
"=""0720011""","Ledyard School District","Math",778,"47.9%","70.1%"
"=""0730011""","Lisbon School District","ELA",203,"36.9%","57.2%"
"=""0730011""","Lisbon School District","Math",203,"42.9%","68.1%"
"=""0740011""","Litchfield School District","ELA",372,"56.7%","75.4%"
"=""0740011""","Litchfield School District","Math",372,"57.3%","74.7%"
"=""0760011""","Madison School District","ELA",964,"37.2%","54.6%"
"=""0760011""","Madison School District","Math",962,"41.2%","59.4%"
"=""0770011""","Manchester School District","ELA",1962,"35.0%","57.3%"
"=""0770011""","Manchester School District","Math",1964,"32.6%","54.5%"
"=""0780011""","Mansfield School District","ELA",537,"51.0%","68.3%"
"=""0780011""","Mansfield School District","Math",541,"53.8%","70.8%"
"=""0790011""","Marlborough School District","ELA",253,"56.1%","77.4%"
"=""0790011""","Marlborough School District","Math",252,"60.3%","84.1%"
"=""0800011""","Meriden School District","ELA",2450,"39.3%","61.8%"
"=""0800011""","Meriden School District","Math",2449,"40.3%","64.0%"
"=""0830011""","Middletown School District","ELA",1606,"38.0%","58.6%"
"=""0830011""","Middletown School District","Math",1607,"37.5%","57.3%"
"=""0840011""","Milford School District","ELA",2191,"48.2%","68.3%"
"=""0840011""","Milford School District","Math",2184,"46.1%","67.0%"
"=""0850011""","Monroe School District","ELA",1182,"49.1%","64.6%"
"=""0850011""","Monroe School District","Math",1181,"49.6%","70.8%"
"=""0860011""","Montville School District","ELA",832,"44.6%","65.3%"
"=""0860011""","Montville School District","Math",833,"45.9%","68.1%"
"=""0880011""","Naugatuck School District","ELA",1533,"41.8%","64.5%"
"=""0880011""","Naugatuck School District","Math",1538,"33.1%","54.7%"
"=""2800013""","New Beginnings Inc Family Academy District","ELA",169,"34.3%","56.8%"
"=""2800013""","New Beginnings Inc Family Academy District","Math",169,"31.4%","54.3%"
"=""0890011""","New Britain School District","ELA",3118,"28.9%","51.6%"
"=""0890011""","New Britain School District","Math",3143,"24.8%","44.7%"
"=""0900011""","New Canaan School District","ELA",1556,"52.8%","68.7%"
"=""0900011""","New Canaan School District","Math",1558,"59.6%","77.7%"
"=""0910011""","New Fairfield School District","ELA",795,"50.9%","71.1%"
"=""0910011""","New Fairfield School District","Math",779,"58.4%","79.4%"
"=""0920011""","New Hartford School District","ELA",197,"43.1%","66.4%"
"=""0920011""","New Hartford School District","Math",196,"32.1%","56.8%"
"=""0930011""","New Haven School District","ELA",6725,"38.9%","63.3%"
"=""0930011""","New Haven School District","Math",6796,"40.9%","63.5%"
"=""0950011""","New London School District","ELA",993,"31.8%","53.9%"
"=""0950011""","New London School District","Math",1012,"27.1%","49.5%"
"=""0960011""","New Milford School District","ELA",1469,"40.3%","61.1%"
"=""0960011""","New Milford School District","Math",1440,"44.2%","64.6%"
"=""0940011""","Newington School District","ELA",1521,"37.3%","58.2%"
"=""0940011""","Newington School District","Math",1522,"37.6%","56.3%"
"=""0970011""","Newtown School District","ELA",1704,"45.8%","63.9%"
"=""0970011""","Newtown School District","Math",1703,"59.1%","78.0%"
"=""0980011""","Norfolk School District","ELA",44,"45.5%","65.8%"
"=""0980011""","Norfolk School District","Math",44,"50.0%","69.8%"
"=""0990011""","North Branford School District","ELA",705,"43.3%","64.4%"
"=""0990011""","North Branford School District","Math",705,"45.5%","66.1%"
"=""1000011""","North Canaan School District","ELA",110,"58.2%","77.4%"
"=""1000011""","North Canaan School District","Math",110,"50.0%","74.0%"
"=""1010011""","North Haven School District","ELA",1128,"66.9%","87.3%"
"=""1010011""","North Haven School District","Math",1130,"69.7%","90.7%"
"=""1020011""","North Stonington School District","ELA",264,"49.2%","66.0%"
"=""1020011""","North Stonington School District","Math",264,"49.2%","67.5%"
"=""1030011""","Norwalk School District","ELA",3849,"35.6%","57.3%"
"=""1030011""","Norwalk School District","Math",3915,"37.2%","58.6%"
"=""1040011""","Norwich School District","ELA",1629,"37.9%","60.4%"
"=""1040011""","Norwich School District","Math",1643,"37.7%","59.7%"
"=""2630013""","Odyssey Community School District","ELA",175,"36.6%","62.1%"
"=""2630013""","Odyssey Community School District","Math",175,"33.1%","54.1%"
"=""1060011""","Old Saybrook School District","ELA",501,"45.5%","65.4%"
"=""1060011""","Old Saybrook School District","Math",503,"49.1%","70.6%"
"=""1070011""","Orange School District","ELA",509,"53.8%","74.0%"
"=""1070011""","Orange School District","Math",514,"50.2%","74.2%"
"=""1080011""","Oxford School District","ELA",776,"39.2%","57.3%"
"=""1080011""","Oxford School District","Math",775,"48.1%","70.7%"
"=""2830013""","Park City Prep Charter School District","ELA",337,"46.3%","70.8%"
"=""2830013""","Park City Prep Charter School District","Math",336,"57.4%","77.1%"
"=""1090011""","Plainfield School District","ELA",802,"47.9%","70.8%"
"=""1090011""","Plainfield School District","Math",799,"56.3%","79.6%"
"=""1100011""","Plainville School District","ELA",856,"42.9%","65.7%"
"=""1100011""","Plainville School District","Math",856,"39.7%","63.7%"
"=""1110011""","Plymouth School District","ELA",536,"43.8%","64.0%"
"=""1110011""","Plymouth School District","Math",539,"49.7%","73.7%"
"=""1120011""","Pomfret School District","ELA",221,"51.6%","70.3%"
"=""1120011""","Pomfret School District","Math",221,"48.9%","68.4%"
"=""1130011""","Portland School District","ELA",508,"48.8%","67.9%"
"=""1130011""","Portland School District","Math",508,"47.4%","70.5%"
"=""1140011""","Preston School District","ELA",215,"36.7%","55.5%"
"=""1140011""","Preston School District","Math",214,"42.5%","62.6%"
"=""1160011""","Putnam School District","ELA",395,"43.8%","64.1%"
"=""1160011""","Putnam School District","Math",395,"48.4%","69.8%"
"=""1170011""","Redding School District","ELA",502,"51.4%","69.0%"
"=""1170011""","Redding School District","Math",496,"55.6%","75.0%"
"=""2010012""","Regional School District 01","ELA","*","*","*"
"=""2010012""","Regional School District 01","Math","*","*","*"
"=""2040012""","Regional School District 04","ELA",300,"42.7%","57.5%"
"=""2040012""","Regional School District 04","Math",300,"41.3%","58.9%"
"=""2050012""","Regional School District 05","ELA",714,"50.8%","69.3%"
"=""2050012""","Regional School District 05","Math",714,"58.1%","74.0%"
"=""2060012""","Regional School District 06","ELA",244,"45.5%","63.2%"
"=""2060012""","Regional School District 06","Math",242,"40.5%","59.7%"
"=""2070012""","Regional School District 07","ELA",289,"47.1%","63.7%"
"=""2070012""","Regional School District 07","Math",286,"59.4%","76.4%"
"=""2080012""","Regional School District 08","ELA",549,"36.8%","53.8%"
"=""2080012""","Regional School District 08","Math",549,"42.4%","59.4%"
"=""2100012""","Regional School District 10","ELA",911,"42.9%","63.2%"
"=""2100012""","Regional School District 10","Math",911,"40.7%","60.4%"
"=""2110012""","Regional School District 11","ELA",82,"47.6%","65.3%"
"=""2110012""","Regional School District 11","Math",80,"47.5%","67.2%"
"=""2120012""","Regional School District 12","ELA",255,"54.5%","75.9%"
"=""2120012""","Regional School District 12","Math",254,"62.6%","83.2%"
"=""2130012""","Regional School District 13","ELA",670,"47.3%","69.3%"
"=""2130012""","Regional School District 13","Math",669,"47.1%","69.5%"
"=""2140012""","Regional School District 14","ELA",543,"39.0%","60.3%"
"=""2140012""","Regional School District 14","Math",542,"33.4%","55.0%"
"=""2150012""","Regional School District 15","ELA",1469,"51.4%","71.1%"
"=""2150012""","Regional School District 15","Math",1470,"51.6%","72.4%"
"=""2160012""","Regional School District 16","ELA",798,"43.7%","65.9%"
"=""2160012""","Regional School District 16","Math",778,"41.1%","63.1%"
"=""2170012""","Regional School District 17","ELA",887,"51.3%","69.8%"
"=""2170012""","Regional School District 17","Math",883,"54.0%","74.8%"
"=""2180012""","Regional School District 18","ELA",504,"51.8%","69.3%"
"=""2180012""","Regional School District 18","Math",503,"58.1%","75.3%"
"=""1180011""","Ridgefield School District","ELA",1853,"51.8%","68.3%"
"=""1180011""","Ridgefield School District","Math",1852,"54.2%","74.2%"
"=""1190011""","Rocky Hill School District","ELA",886,"44.1%","62.6%"
"=""1190011""","Rocky Hill School District","Math",890,"49.1%","69.2%"
"=""1210011""","Salem School District","ELA",195,"58.5%","78.7%"
"=""1210011""","Salem School District","Math",195,"50.3%","68.6%"
"=""1220011""","Salisbury School District","ELA",125,"47.2%","62.4%"
"=""1220011""","Salisbury School District","Math",125,"56.0%","76.0%"
"=""1230011""","Scotland School District","ELA",44,"61.4%","78.3%"
"=""1230011""","Scotland School District","Math",44,"34.1%","62.8%"
"=""1240011""","Seymour School District","ELA",856,"37.9%","57.5%"
"=""1240011""","Seymour School District","Math",855,"48.7%","70.3%"
"=""1250011""","Sharon School District","ELA",68,"44.1%","66.0%"
"=""1250011""","Sharon School District","Math",68,"50.0%","66.9%"
"=""1260011""","Shelton School District","ELA",1838,"50.3%","69.2%"
"=""1260011""","Shelton School District","Math",1840,"49.4%","70.5%"
"=""1270011""","Sherman School District","ELA",99,"47.5%","70.2%"
"=""1270011""","Sherman School District","Math",100,"53.0%","79.0%"
"=""2700013""","Side By Side Charter School District","ELA",108,"39.8%","60.3%"
"=""2700013""","Side By Side Charter School District","Math",107,"55.1%","75.4%"
"=""1280011""","Simsbury School District","ELA",1554,"56.0%","74.0%"
"=""1280011""","Simsbury School District","Math",1544,"53.6%","73.8%"
"=""1290011""","Somers School District","ELA",536,"46.8%","66.6%"
"=""1290011""","Somers School District","Math",535,"48.2%","72.1%"
"=""1320011""","South Windsor School District","ELA",1512,"49.7%","67.9%"
"=""1320011""","South Windsor School District","Math",1507,"54.9%","75.5%"
"=""1310011""","Southington School District","ELA",2504,"39.6%","59.6%"
"=""1310011""","Southington School District","Math",2501,"39.2%","60.9%"
"=""1330011""","Sprague School District","ELA",164,"42.7%","61.8%"
"=""1330011""","Sprague School District","Math",165,"35.8%","59.7%"
"=""1340011""","Stafford School District","ELA",535,"44.9%","66.2%"
"=""1340011""","Stafford School District","Math",536,"39.2%","64.8%"
"=""1350011""","Stamford School District","ELA",5238,"41.7%","63.0%"
"=""1350011""","Stamford School District","Math",5311,"39.8%","61.6%"
"=""1360011""","Sterling School District","ELA",227,"41.4%","64.4%"
"=""1360011""","Sterling School District","Math",226,"45.6%","66.5%"
"=""1370011""","Stonington School District","ELA",756,"45.2%","61.4%"
"=""1370011""","Stonington School District","Math",756,"47.8%","69.2%"
"=""1380011""","Stratford School District","ELA",2542,"39.3%","60.5%"
"=""1380011""","Stratford School District","Math",2540,"44.9%","65.4%"
"=""1390011""","Suffield School District","ELA",814,"43.5%","61.3%"
"=""1390011""","Suffield School District","Math",813,"42.4%","63.9%"
"=""2690013""","The Bridge Academy District","ELA",97,"25.8%","45.0%"
"=""2690013""","The Bridge Academy District","Math",97,"49.5%","70.3%"
"=""9020022""","The Gilbert School District","ELA",157,"27.4%","43.7%"
"=""9020022""","The Gilbert School District","Math",156,"37.8%","54.6%"
"=""1400011""","Thomaston School District","ELA",372,"39.8%","64.4%"
"=""1400011""","Thomaston School District","Math",374,"37.7%","60.0%"
"=""1410011""","Thompson School District","ELA",371,"25.1%","44.5%"
"=""1410011""","Thompson School District","Math",369,"27.4%","48.9%"
"=""1420011""","Tolland School District","ELA",1007,"45.8%","64.5%"
"=""1420011""","Tolland School District","Math",1007,"48.7%","70.0%"
"=""1430011""","Torrington School District","ELA",1501,"30.9%","51.5%"
"=""1430011""","Torrington School District","Math",1499,"31.6%","53.3%"
"=""2780013""","Trailblazers Academy District","ELA",105,"21.9%","41.9%"
"=""2780013""","Trailblazers Academy District","Math",104,"21.2%","35.6%"
"=""1440011""","Trumbull School District","ELA",2341,"68.7%","86.5%"
"=""1440011""","Trumbull School District","Math",2346,"69.6%","88.9%"
"=""3470015""","Unified School District #2","ELA","*","*","*"
"=""3470015""","Unified School District #2","Math","*","*","*"
"=""1450011""","Union School District","ELA",39,"46.2%","63.9%"
"=""1450011""","Union School District","Math",39,"56.4%","73.9%"
"=""1460011""","Vernon School District","ELA",1075,"40.3%","60.7%"
"=""1460011""","Vernon School District","Math",1072,"42.8%","66.1%"
"=""1470011""","Voluntown School District","ELA",144,"36.8%","58.4%"
"=""1470011""","Voluntown School District","Math",144,"50.0%","75.2%"
"=""1480011""","Wallingford School District","ELA",2165,"44.3%","65.8%"
"=""1480011""","Wallingford School District","Math",2170,"38.0%","60.4%"
"=""1510011""","Waterbury School District","ELA",6297,"33.2%","57.0%"
"=""1510011""","Waterbury School District","Math",6354,"30.5%","51.6%"
"=""1520011""","Waterford School District","ELA",968,"44.1%","63.8%"
"=""1520011""","Waterford School District","Math",969,"46.2%","66.4%"
"=""1530011""","Watertown School District","ELA",1045,"45.6%","67.7%"
"=""1530011""","Watertown School District","Math",1045,"36.7%","59.4%"
"=""1550011""","West Hartford School District","ELA",3498,"44.4%","62.5%"
"=""1550011""","West Hartford School District","Math",3494,"45.9%","65.8%"
"=""1560011""","West Haven School District","ELA",2003,"38.4%","61.1%"
"=""1560011""","West Haven School District","Math",2014,"47.0%","69.5%"
"=""1540011""","Westbrook School District","ELA",258,"50.4%","71.2%"
"=""1540011""","Westbrook School District","Math",260,"60.8%","82.3%"
"=""1570011""","Weston School District","ELA",885,"49.3%","69.0%"
"=""1570011""","Weston School District","Math",883,"46.3%","66.0%"
"=""1580011""","Westport School District","ELA",2063,"46.8%","63.8%"
"=""1580011""","Westport School District","Math",2063,"50.6%","69.4%"
"=""1590011""","Wethersfield School District","ELA",1283,"55.0%","74.0%"
"=""1590011""","Wethersfield School District","Math",1283,"59.8%","79.9%"
"=""1600011""","Willington School District","ELA",218,"47.7%","69.2%"
"=""1600011""","Willington School District","Math",218,"45.9%","70.5%"
"=""1610011""","Wilton School District","ELA",1591,"56.3%","74.7%"
"=""1610011""","Wilton School District","Math",1590,"59.9%","80.5%"
"=""1620011""","Winchester School District","ELA",217,"40.1%","62.8%"
"=""1620011""","Winchester School District","Math",218,"35.8%","57.9%"
"=""1630011""","Windham School District","ELA",1129,"43.8%","66.9%"
"=""1630011""","Windham School District","Math",1130,"42.6%","64.8%"
"=""1650011""","Windsor Locks School District","ELA",582,"43.3%","66.7%"
"=""1650011""","Windsor Locks School District","Math",568,"46.0%","66.5%"
"=""1640011""","Windsor School District","ELA",1024,"35.4%","55.9%"
"=""1640011""","Windsor School District","Math",1025,"39.7%","63.9%"
"=""1660011""","Wolcott School District","ELA",899,"44.5%","64.2%"
"=""1660011""","Wolcott School District","Math",899,"50.1%","72.2%"
"=""1670011""","Woodbridge School District","ELA",286,"64.3%","82.2%"
"=""1670011""","Woodbridge School District","Math",286,"65.7%","87.3%"
"=""1690011""","Woodstock School District","ELA",457,"42.2%","60.6%"
"=""1690011""","Woodstock School District","Math",457,"37.2%","58.7%"

