"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0470011""","East Windsor School District",347,"32.9%","56.4%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)",26,"23.1%","40.2%"
"=""0390011""","Eastford School District",67,"47.8%","68.6%"
"=""0460011""","Easton School District",496,"66.5%","86.2%"
"=""2420014""","EdAdvance","*","*","*"
"=""0480011""","Ellington School District",1014,"47.5%","69.7%"
"=""2890013""","Elm City College Preparatory School District",310,"46.5%","67.6%"
"=""0490011""","Enfield School District",1709,"34.3%","58.2%"
"=""0500011""","Essex School District",183,"58.5%","81.6%"
"=""0510011""","Fairfield School District",3795,"49.0%","70.6%"
"=""0520011""","Farmington School District",1519,"64.6%","84.2%"
"=""0530011""","Franklin School District",88,"27.3%","47.6%"
"=""0540011""","Glastonbury School District",2313,"57.7%","77.8%"
"=""0560011""","Granby School District",686,"51.5%","72.8%"
"=""2940013""","Great Oaks Charter School District",203,"44.8%","62.8%"
"=""0570011""","Greenwich School District",3060,"55.8%","74.0%"
"=""0580011""","Griswold School District",635,"50.1%","70.3%"
"=""0590011""","Groton School District",1412,"45.5%","65.4%"
"=""0600011""","Guilford School District",1302,"58.0%","78.1%"
"=""0620011""","Hamden School District",1833,"36.1%","56.5%"
"=""0630011""","Hampton School District",27,"55.6%","79.5%"
"=""0640011""","Hartford School District",6910,"33.8%","55.8%"
"=""0650011""","Hartland School District",104,"60.6%","82.4%"
"=""0670011""","Hebron School District",342,"56.7%","82.2%"
"=""2860013""","Highville Charter School District",181,"47.0%","67.9%"
"=""2640013""","Integrated Day Charter School District",154,"42.9%","64.8%"
"=""2650013""","Interdistrict School for Arts and Comm District",252,"18.7%","33.0%"
"=""2610013""","Jumoke Academy District",326,"35.3%","55.7%"
"=""0680011""","Kent School District",126,"52.4%","70.1%"
"=""0690011""","Killingly School District",771,"40.5%","63.7%"
"=""2450014""","Learn",300,"41.3%","65.4%"
"=""0710011""","Lebanon School District",333,"41.7%","65.4%"
"=""0720011""","Ledyard School District",778,"47.9%","70.1%"
"=""0730011""","Lisbon School District",203,"42.9%","68.1%"
"=""0740011""","Litchfield School District",372,"57.3%","74.7%"
"=""0760011""","Madison School District",962,"41.2%","59.4%"
"=""0770011""","Manchester School District",1964,"32.6%","54.5%"
"=""0780011""","Mansfield School District",541,"53.8%","70.8%"
"=""0790011""","Marlborough School District",252,"60.3%","84.1%"
"=""0800011""","Meriden School District",2449,"40.3%","64.0%"
"=""0830011""","Middletown School District",1607,"37.5%","57.3%"
"=""0840011""","Milford School District",2184,"46.1%","67.0%"
"=""0850011""","Monroe School District",1181,"49.6%","70.8%"
"=""0860011""","Montville School District",833,"45.9%","68.1%"
"=""0880011""","Naugatuck School District",1538,"33.1%","54.7%"
"=""2800013""","New Beginnings Inc Family Academy District",169,"31.4%","54.3%"
"=""0890011""","New Britain School District",3143,"24.8%","44.7%"
"=""0900011""","New Canaan School District",1558,"59.6%","77.7%"
"=""0910011""","New Fairfield School District",779,"58.4%","79.4%"
"=""0920011""","New Hartford School District",196,"32.1%","56.8%"
"=""0930011""","New Haven School District",6796,"40.9%","63.5%"
"=""0950011""","New London School District",1012,"27.1%","49.5%"
"=""0960011""","New Milford School District",1440,"44.2%","64.6%"
"=""0940011""","Newington School District",1522,"37.6%","56.3%"
"=""0970011""","Newtown School District",1703,"59.1%","78.0%"
"=""0980011""","Norfolk School District",44,"50.0%","69.8%"
"=""0990011""","North Branford School District",705,"45.5%","66.1%"
"=""1000011""","North Canaan School District",110,"50.0%","74.0%"
"=""1010011""","North Haven School District",1130,"69.7%","90.7%"
"=""1020011""","North Stonington School District",264,"49.2%","67.5%"
"=""1030011""","Norwalk School District",3915,"37.2%","58.6%"
"=""1040011""","Norwich School District",1643,"37.7%","59.7%"
"=""2630013""","Odyssey Community School District",175,"33.1%","54.1%"
"=""1060011""","Old Saybrook School District",503,"49.1%","70.6%"
"=""1070011""","Orange School District",514,"50.2%","74.2%"
"=""1080011""","Oxford School District",775,"48.1%","70.7%"
"=""2830013""","Park City Prep Charter School District",336,"57.4%","77.1%"
"=""1090011""","Plainfield School District",799,"56.3%","79.6%"
"=""1100011""","Plainville School District",856,"39.7%","63.7%"
"=""1110011""","Plymouth School District",539,"49.7%","73.7%"
"=""1120011""","Pomfret School District",221,"48.9%","68.4%"
"=""1130011""","Portland School District",508,"47.4%","70.5%"
"=""1140011""","Preston School District",214,"42.5%","62.6%"
"=""1160011""","Putnam School District",395,"48.4%","69.8%"
"=""1170011""","Redding School District",496,"55.6%","75.0%"
"=""2010012""","Regional School District 01","*","*","*"
"=""2040012""","Regional School District 04",300,"41.3%","58.9%"
"=""2050012""","Regional School District 05",714,"58.1%","74.0%"
"=""2060012""","Regional School District 06",242,"40.5%","59.7%"
"=""2070012""","Regional School District 07",286,"59.4%","76.4%"
"=""2080012""","Regional School District 08",549,"42.4%","59.4%"
"=""2100012""","Regional School District 10",911,"40.7%","60.4%"
"=""2110012""","Regional School District 11",80,"47.5%","67.2%"
"=""2120012""","Regional School District 12",254,"62.6%","83.2%"
"=""2130012""","Regional School District 13",669,"47.1%","69.5%"
"=""2140012""","Regional School District 14",542,"33.4%","55.0%"
"=""2150012""","Regional School District 15",1470,"51.6%","72.4%"
"=""2160012""","Regional School District 16",778,"41.1%","63.1%"
"=""2170012""","Regional School District 17",883,"54.0%","74.8%"
"=""2180012""","Regional School District 18",503,"58.1%","75.3%"
"=""1180011""","Ridgefield School District",1852,"54.2%","74.2%"
"=""1190011""","Rocky Hill School District",890,"49.1%","69.2%"
"=""1210011""","Salem School District",195,"50.3%","68.6%"
"=""1220011""","Salisbury School District",125,"56.0%","76.0%"
"=""1230011""","Scotland School District",44,"34.1%","62.8%"
"=""1240011""","Seymour School District",855,"48.7%","70.3%"
"=""1250011""","Sharon School District",68,"50.0%","66.9%"
"=""1260011""","Shelton School District",1840,"49.4%","70.5%"
"=""1270011""","Sherman School District",100,"53.0%","79.0%"
"=""2700013""","Side By Side Charter School District",107,"55.1%","75.4%"
"=""1280011""","Simsbury School District",1544,"53.6%","73.8%"
"=""1290011""","Somers School District",535,"48.2%","72.1%"
"=""1320011""","South Windsor School District",1507,"54.9%","75.5%"
"=""1310011""","Southington School District",2501,"39.2%","60.9%"
"=""1330011""","Sprague School District",165,"35.8%","59.7%"
"=""1340011""","Stafford School District",536,"39.2%","64.8%"
"=""1350011""","Stamford School District",5311,"39.8%","61.6%"
"=""1360011""","Sterling School District",226,"45.6%","66.5%"
"=""1370011""","Stonington School District",756,"47.8%","69.2%"
"=""1380011""","Stratford School District",2540,"44.9%","65.4%"
"=""1390011""","Suffield School District",813,"42.4%","63.9%"
"=""2690013""","The Bridge Academy District",97,"49.5%","70.3%"
"=""9020022""","The Gilbert School District",156,"37.8%","54.6%"
"=""1400011""","Thomaston School District",374,"37.7%","60.0%"
"=""1410011""","Thompson School District",369,"27.4%","48.9%"
"=""1420011""","Tolland School District",1007,"48.7%","70.0%"
"=""1430011""","Torrington School District",1499,"31.6%","53.3%"
"=""2780013""","Trailblazers Academy District",104,"21.2%","35.6%"
"=""1440011""","Trumbull School District",2346,"69.6%","88.9%"
"=""3470015""","Unified School District #2","*","*","*"
"=""1450011""","Union School District",39,"56.4%","73.9%"
"=""1460011""","Vernon School District",1072,"42.8%","66.1%"
"=""1470011""","Voluntown School District",144,"50.0%","75.2%"
"=""1480011""","Wallingford School District",2170,"38.0%","60.4%"
"=""1510011""","Waterbury School District",6354,"30.5%","51.6%"
"=""1520011""","Waterford School District",969,"46.2%","66.4%"
"=""1530011""","Watertown School District",1045,"36.7%","59.4%"
"=""1550011""","West Hartford School District",3494,"45.9%","65.8%"
"=""1560011""","West Haven School District",2014,"47.0%","69.5%"
"=""1540011""","Westbrook School District",260,"60.8%","82.3%"
"=""1570011""","Weston School District",883,"46.3%","66.0%"
"=""1580011""","Westport School District",2063,"50.6%","69.4%"
"=""1590011""","Wethersfield School District",1283,"59.8%","79.9%"
"=""1600011""","Willington School District",218,"45.9%","70.5%"
"=""1610011""","Wilton School District",1590,"59.9%","80.5%"
"=""1620011""","Winchester School District",218,"35.8%","57.9%"
"=""1630011""","Windham School District",1130,"42.6%","64.8%"
"=""1650011""","Windsor Locks School District",568,"46.0%","66.5%"
"=""1640011""","Windsor School District",1025,"39.7%","63.9%"
"=""1660011""","Wolcott School District",899,"50.1%","72.2%"
"=""1670011""","Woodbridge School District",286,"65.7%","87.3%"
"=""1690011""","Woodstock School District",457,"37.2%","58.7%"

