"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","Subject","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0290011""","Colebrook School District","Math","Special Education",7,"*","*"
"=""0290011""","Colebrook School District","Math","Non-Special Education",24,"33.3%","62.6%"
"=""0300011""","Columbia School District","ELA","Special Education",30,"33.3%","64.8%"
"=""0300011""","Columbia School District","ELA","Non-Special Education",198,"49.5%","67.7%"
"=""0300011""","Columbia School District","Math","Special Education",30,"30.0%","49.0%"
"=""0300011""","Columbia School District","Math","Non-Special Education",197,"38.6%","62.7%"
"=""2430014""","Cooperative Educational Services","ELA","Special Education",97,"23.7%","49.1%"
"=""2430014""","Cooperative Educational Services","ELA","Non-Special Education",170,"42.9%","64.4%"
"=""2430014""","Cooperative Educational Services","Math","Special Education",96,"31.3%","53.6%"
"=""2430014""","Cooperative Educational Services","Math","Non-Special Education",172,"41.3%","60.4%"
"=""0310011""","Cornwall School District","ELA","Special Education",7,"*","*"
"=""0310011""","Cornwall School District","ELA","Non-Special Education",38,"39.5%","60.1%"
"=""0310011""","Cornwall School District","Math","Special Education",7,"*","*"
"=""0310011""","Cornwall School District","Math","Non-Special Education",38,"39.5%","60.4%"
"=""0320011""","Coventry School District","ELA","Special Education",68,"39.7%","64.4%"
"=""0320011""","Coventry School District","ELA","Non-Special Education",538,"56.5%","78.2%"
"=""0320011""","Coventry School District","Math","Special Education",67,"40.3%","63.8%"
"=""0320011""","Coventry School District","Math","Non-Special Education",538,"53.5%","76.9%"
"=""0330011""","Cromwell School District","ELA","Special Education",74,"36.5%","62.9%"
"=""0330011""","Cromwell School District","ELA","Non-Special Education",679,"45.1%","66.7%"
"=""0330011""","Cromwell School District","Math","Special Education",73,"34.2%","60.0%"
"=""0330011""","Cromwell School District","Math","Non-Special Education",679,"38.3%","58.9%"
"=""0340011""","Danbury School District","ELA","Special Education",419,"33.4%","57.1%"
"=""0340011""","Danbury School District","ELA","Non-Special Education",3257,"42.3%","64.8%"
"=""0340011""","Danbury School District","Math","Special Education",416,"37.5%","58.5%"
"=""0340011""","Danbury School District","Math","Non-Special Education",3318,"43.4%","65.2%"
"=""0350011""","Darien School District","ELA","Special Education",246,"50.0%","69.0%"
"=""0350011""","Darien School District","ELA","Non-Special Education",1562,"60.7%","77.5%"
"=""0350011""","Darien School District","Math","Special Education",246,"52.0%","73.8%"
"=""0350011""","Darien School District","Math","Non-Special Education",1563,"70.6%","88.0%"
"=""0360011""","Deep River School District","ELA","Special Education",25,"40.0%","61.3%"
"=""0360011""","Deep River School District","ELA","Non-Special Education",121,"50.4%","68.8%"
"=""0360011""","Deep River School District","Math","Special Education",25,"48.0%","62.5%"
"=""0360011""","Deep River School District","Math","Non-Special Education",121,"51.2%","75.2%"
"=""0370011""","Derby School District","ELA","Special Education",72,"26.4%","49.0%"
"=""0370011""","Derby School District","ELA","Non-Special Education",448,"32.4%","53.5%"
"=""0370011""","Derby School District","Math","Special Education",71,"21.1%","40.1%"
"=""0370011""","Derby School District","Math","Non-Special Education",449,"23.2%","46.0%"
"=""0400011""","East Granby School District","ELA","Special Education",39,"30.8%","51.8%"
"=""0400011""","East Granby School District","ELA","Non-Special Education",271,"42.1%","61.0%"
"=""0400011""","East Granby School District","Math","Special Education",39,"41.0%","56.4%"
"=""0400011""","East Granby School District","Math","Non-Special Education",271,"51.7%","72.7%"
"=""0410011""","East Haddam School District","ELA","Special Education",46,"26.1%","45.5%"
"=""0410011""","East Haddam School District","ELA","Non-Special Education",348,"51.1%","66.8%"
"=""0410011""","East Haddam School District","Math","Special Education",45,"17.8%","33.3%"
"=""0410011""","East Haddam School District","Math","Non-Special Education",347,"34.3%","54.9%"
"=""0420011""","East Hampton School District","ELA","Special Education",55,"30.9%","48.6%"
"=""0420011""","East Hampton School District","ELA","Non-Special Education",593,"34.7%","53.7%"
"=""0420011""","East Hampton School District","Math","Special Education",54,"31.5%","48.4%"
"=""0420011""","East Hampton School District","Math","Non-Special Education",590,"34.9%","55.7%"
"=""0430011""","East Hartford School District","ELA","Special Education",362,"27.3%","51.8%"
"=""0430011""","East Hartford School District","ELA","Non-Special Education",1830,"37.7%","61.0%"
"=""0430011""","East Hartford School District","Math","Special Education",358,"29.6%","46.3%"
"=""0430011""","East Hartford School District","Math","Non-Special Education",1837,"26.2%","48.4%"
"=""0440011""","East Haven School District","ELA","Special Education",132,"36.4%","65.0%"
"=""0440011""","East Haven School District","ELA","Non-Special Education",927,"43.4%","67.9%"
"=""0440011""","East Haven School District","Math","Special Education",131,"30.5%","51.6%"
"=""0440011""","East Haven School District","Math","Non-Special Education",928,"38.7%","62.3%"
"=""0450011""","East Lyme School District","ELA","Special Education",113,"37.2%","56.4%"
"=""0450011""","East Lyme School District","ELA","Non-Special Education",848,"48.3%","66.1%"
"=""0450011""","East Lyme School District","Math","Special Education",111,"36.0%","60.5%"
"=""0450011""","East Lyme School District","Math","Non-Special Education",846,"52.2%","72.1%"
"=""0470011""","East Windsor School District","ELA","Special Education",49,"36.7%","58.3%"
"=""0470011""","East Windsor School District","ELA","Non-Special Education",296,"32.8%","58.4%"
"=""0470011""","East Windsor School District","Math","Special Education",50,"28.0%","54.0%"
"=""0470011""","East Windsor School District","Math","Non-Special Education",297,"33.7%","56.8%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA","Special Education",30,"16.7%","35.0%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math","Special Education",26,"23.1%","40.2%"
"=""0390011""","Eastford School District","ELA","Special Education",15,"*","*"
"=""0390011""","Eastford School District","ELA","Non-Special Education",52,"44.2%","66.9%"
"=""0390011""","Eastford School District","Math","Special Education",15,"*","*"
"=""0390011""","Eastford School District","Math","Non-Special Education",52,"53.8%","76.1%"
"=""0460011""","Easton School District","ELA","Special Education",53,"39.6%","62.1%"
"=""0460011""","Easton School District","ELA","Non-Special Education",448,"60.3%","78.4%"
"=""0460011""","Easton School District","Math","Special Education",52,"53.8%","72.2%"
"=""0460011""","Easton School District","Math","Non-Special Education",444,"68.0%","87.8%"
"=""2420014""","EdAdvance","ELA","Special Education","*","*","*"
"=""2420014""","EdAdvance","Math","Special Education","*","*","*"
"=""0480011""","Ellington School District","ELA","Special Education",106,"25.5%","50.0%"
"=""0480011""","Ellington School District","ELA","Non-Special Education",907,"47.4%","66.9%"
"=""0480011""","Ellington School District","Math","Special Education",106,"42.5%","63.1%"
"=""0480011""","Ellington School District","Math","Non-Special Education",908,"48.1%","70.5%"
"=""2890013""","Elm City College Preparatory School District","ELA","Special Education",28,"39.3%","64.0%"
"=""2890013""","Elm City College Preparatory School District","ELA","Non-Special Education",282,"56.0%","76.4%"
"=""2890013""","Elm City College Preparatory School District","Math","Special Education",28,"35.7%","49.0%"
"=""2890013""","Elm City College Preparatory School District","Math","Non-Special Education",282,"47.5%","69.5%"
"=""0490011""","Enfield School District","ELA","Special Education",217,"29.5%","57.0%"
"=""0490011""","Enfield School District","ELA","Non-Special Education",1497,"47.1%","68.2%"
"=""0490011""","Enfield School District","Math","Special Education",213,"25.8%","49.9%"
"=""0490011""","Enfield School District","Math","Non-Special Education",1496,"35.6%","59.4%"
"=""0500011""","Essex School District","ELA","Special Education",26,"30.8%","58.2%"
"=""0500011""","Essex School District","ELA","Non-Special Education",156,"54.5%","72.1%"
"=""0500011""","Essex School District","Math","Special Education",26,"53.8%","79.8%"
"=""0500011""","Essex School District","Math","Non-Special Education",157,"59.2%","81.9%"
"=""0510011""","Fairfield School District","ELA","Special Education",377,"38.7%","61.7%"
"=""0510011""","Fairfield School District","ELA","Non-Special Education",3427,"51.6%","70.9%"
"=""0510011""","Fairfield School District","Math","Special Education",374,"39.0%","59.2%"
"=""0510011""","Fairfield School District","Math","Non-Special Education",3421,"50.1%","71.8%"
"=""0520011""","Farmington School District","ELA","Special Education",176,"36.9%","60.3%"
"=""0520011""","Farmington School District","ELA","Non-Special Education",1336,"55.8%","73.4%"
"=""0520011""","Farmington School District","Math","Special Education",176,"40.9%","63.2%"
"=""0520011""","Farmington School District","Math","Non-Special Education",1343,"67.8%","87.0%"
"=""0530011""","Franklin School District","ELA","Special Education",10,"*","*"
"=""0530011""","Franklin School District","ELA","Non-Special Education",78,"33.3%","52.1%"
"=""0530011""","Franklin School District","Math","Special Education",10,"*","*"
"=""0530011""","Franklin School District","Math","Non-Special Education",78,"28.2%","49.5%"
"=""0540011""","Glastonbury School District","ELA","Special Education",235,"31.9%","54.6%"
"=""0540011""","Glastonbury School District","ELA","Non-Special Education",2080,"52.8%","69.9%"
"=""0540011""","Glastonbury School District","Math","Special Education",235,"34.0%","59.9%"
"=""0540011""","Glastonbury School District","Math","Non-Special Education",2078,"60.3%","79.9%"
"=""0560011""","Granby School District","ELA","Special Education",79,"46.8%","65.4%"
"=""0560011""","Granby School District","ELA","Non-Special Education",608,"60.2%","78.4%"
"=""0560011""","Granby School District","Math","Special Education",79,"39.2%","63.5%"
"=""0560011""","Granby School District","Math","Non-Special Education",607,"53.0%","74.0%"
"=""2940013""","Great Oaks Charter School District","ELA","Special Education",30,"23.3%","37.4%"
"=""2940013""","Great Oaks Charter School District","ELA","Non-Special Education",176,"43.2%","63.8%"
"=""2940013""","Great Oaks Charter School District","Math","Special Education",27,"25.9%","38.9%"
"=""2940013""","Great Oaks Charter School District","Math","Non-Special Education",176,"47.7%","66.4%"
"=""0570011""","Greenwich School District","ELA","Special Education",332,"36.1%","58.5%"
"=""0570011""","Greenwich School District","ELA","Non-Special Education",2693,"56.1%","73.4%"
"=""0570011""","Greenwich School District","Math","Special Education",333,"36.3%","57.3%"
"=""0570011""","Greenwich School District","Math","Non-Special Education",2727,"58.1%","76.1%"
"=""0580011""","Griswold School District","ELA","Special Education",86,"30.2%","52.6%"
"=""0580011""","Griswold School District","ELA","Non-Special Education",549,"44.1%","65.4%"
"=""0580011""","Griswold School District","Math","Special Education",86,"31.4%","57.6%"
"=""0580011""","Griswold School District","Math","Non-Special Education",549,"53.0%","72.3%"
"=""0590011""","Groton School District","ELA","Special Education",197,"37.1%","57.0%"
"=""0590011""","Groton School District","ELA","Non-Special Education",1206,"41.7%","61.8%"
"=""0590011""","Groton School District","Math","Special Education",196,"32.7%","54.3%"
"=""0590011""","Groton School District","Math","Non-Special Education",1216,"47.5%","67.1%"
"=""0600011""","Guilford School District","ELA","Special Education",153,"43.1%","65.0%"
"=""0600011""","Guilford School District","ELA","Non-Special Education",1150,"55.6%","73.2%"
"=""0600011""","Guilford School District","Math","Special Education",152,"47.4%","67.4%"
"=""0600011""","Guilford School District","Math","Non-Special Education",1150,"59.4%","79.5%"
"=""0620011""","Hamden School District","ELA","Special Education",322,"27.6%","48.8%"
"=""0620011""","Hamden School District","ELA","Non-Special Education",1513,"39.3%","59.1%"
"=""0620011""","Hamden School District","Math","Special Education",316,"36.4%","56.2%"
"=""0620011""","Hamden School District","Math","Non-Special Education",1517,"36.0%","56.5%"
"=""0630011""","Hampton School District","ELA","Special Education","*","*","*"
"=""0630011""","Hampton School District","ELA","Non-Special Education","*","54.2%","81.9%"
"=""0630011""","Hampton School District","Math","Special Education","*","*","*"
"=""0630011""","Hampton School District","Math","Non-Special Education","*","56.5%","83.1%"
"=""0640011""","Hartford School District","ELA","Special Education",1156,"25.5%","49.8%"
"=""0640011""","Hartford School District","ELA","Non-Special Education",5652,"33.6%","55.4%"
"=""0640011""","Hartford School District","Math","Special Education",1159,"31.7%","51.7%"
"=""0640011""","Hartford School District","Math","Non-Special Education",5751,"34.3%","56.6%"
"=""0650011""","Hartland School District","ELA","Special Education",17,"*","*"
"=""0650011""","Hartland School District","ELA","Non-Special Education",88,"61.4%","84.4%"
"=""0650011""","Hartland School District","Math","Special Education",16,"*","*"
"=""0650011""","Hartland School District","Math","Non-Special Education",88,"63.6%","86.0%"
"=""0670011""","Hebron School District","ELA","Special Education",41,"26.8%","54.6%"
"=""0670011""","Hebron School District","ELA","Non-Special Education",300,"47.3%","71.0%"
"=""0670011""","Hebron School District","Math","Special Education",42,"45.2%","69.6%"
"=""0670011""","Hebron School District","Math","Non-Special Education",300,"58.3%","83.9%"
"=""2860013""","Highville Charter School District","ELA","Special Education",14,"*","*"
"=""2860013""","Highville Charter School District","ELA","Non-Special Education",167,"33.5%","56.1%"
"=""2860013""","Highville Charter School District","Math","Special Education",14,"*","*"
"=""2860013""","Highville Charter School District","Math","Non-Special Education",167,"49.7%","71.6%"
"=""2640013""","Integrated Day Charter School District","ELA","Special Education",14,"*","*"
"=""2640013""","Integrated Day Charter School District","ELA","Non-Special Education",143,"32.9%","53.1%"
"=""2640013""","Integrated Day Charter School District","Math","Special Education",14,"*","*"
"=""2640013""","Integrated Day Charter School District","Math","Non-Special Education",140,"45.0%","66.6%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","Special Education",44,"31.8%","48.9%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","Non-Special Education",210,"32.9%","47.2%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","Special Education",42,"23.8%","30.6%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","Non-Special Education",210,"17.6%","33.4%"
"=""2610013""","Jumoke Academy District","ELA","Special Education",26,"26.9%","48.4%"
"=""2610013""","Jumoke Academy District","ELA","Non-Special Education",299,"35.5%","55.0%"
"=""2610013""","Jumoke Academy District","Math","Special Education",27,"40.7%","61.1%"
"=""2610013""","Jumoke Academy District","Math","Non-Special Education",299,"34.8%","55.2%"
"=""0680011""","Kent School District","ELA","Special Education",14,"*","*"
"=""0680011""","Kent School District","ELA","Non-Special Education",112,"50.0%","65.1%"
"=""0680011""","Kent School District","Math","Special Education",14,"*","*"
"=""0680011""","Kent School District","Math","Non-Special Education",112,"55.4%","73.6%"
"=""0690011""","Killingly School District","ELA","Special Education",92,"32.6%","59.1%"
"=""0690011""","Killingly School District","ELA","Non-Special Education",681,"50.8%","71.6%"
"=""0690011""","Killingly School District","Math","Special Education",92,"33.7%","63.8%"
"=""0690011""","Killingly School District","Math","Non-Special Education",679,"41.4%","63.7%"
"=""2450014""","Learn","ELA","Special Education",54,"44.4%","69.0%"
"=""2450014""","Learn","ELA","Non-Special Education",242,"45.5%","71.3%"
"=""2450014""","Learn","Math","Special Education",54,"50.0%","71.5%"
"=""2450014""","Learn","Math","Non-Special Education",246,"39.4%","64.1%"
"=""0710011""","Lebanon School District","ELA","Special Education",52,"48.1%","66.0%"
"=""0710011""","Lebanon School District","ELA","Non-Special Education",285,"50.9%","67.3%"
"=""0710011""","Lebanon School District","Math","Special Education",51,"27.5%","52.8%"
"=""0710011""","Lebanon School District","Math","Non-Special Education",282,"44.3%","67.7%"
"=""0720011""","Ledyard School District","ELA","Special Education",104,"35.6%","52.7%"
"=""0720011""","Ledyard School District","ELA","Non-Special Education",672,"43.2%","63.5%"
"=""0720011""","Ledyard School District","Math","Special Education",104,"32.7%","55.4%"
"=""0720011""","Ledyard School District","Math","Non-Special Education",674,"50.3%","72.4%"
"=""0730011""","Lisbon School District","ELA","Special Education",18,"*","*"
"=""0730011""","Lisbon School District","ELA","Non-Special Education",185,"37.3%","55.9%"
"=""0730011""","Lisbon School District","Math","Special Education",18,"*","*"
"=""0730011""","Lisbon School District","Math","Non-Special Education",185,"44.3%","68.7%"
"=""0740011""","Litchfield School District","ELA","Special Education",56,"35.7%","63.5%"
"=""0740011""","Litchfield School District","ELA","Non-Special Education",316,"60.4%","77.5%"
"=""0740011""","Litchfield School District","Math","Special Education",56,"39.3%","60.1%"
"=""0740011""","Litchfield School District","Math","Non-Special Education",316,"60.4%","77.3%"
"=""0760011""","Madison School District","ELA","Special Education",118,"22.0%","45.8%"
"=""0760011""","Madison School District","ELA","Non-Special Education",846,"39.4%","55.8%"
"=""0760011""","Madison School District","Math","Special Education",118,"22.9%","45.0%"
"=""0760011""","Madison School District","Math","Non-Special Education",844,"43.7%","61.5%"
"=""0770011""","Manchester School District","ELA","Special Education",239,"25.5%","49.4%"
"=""0770011""","Manchester School District","ELA","Non-Special Education",1723,"36.3%","58.4%"
"=""0770011""","Manchester School District","Math","Special Education",238,"24.8%","47.0%"
"=""0770011""","Manchester School District","Math","Non-Special Education",1726,"33.7%","55.5%"
"=""0780011""","Mansfield School District","ELA","Special Education",64,"34.4%","58.2%"
"=""0780011""","Mansfield School District","ELA","Non-Special Education",473,"53.3%","69.7%"
"=""0780011""","Mansfield School District","Math","Special Education",66,"34.8%","56.6%"
"=""0780011""","Mansfield School District","Math","Non-Special Education",475,"56.4%","72.8%"
"=""0790011""","Marlborough School District","ELA","Special Education",18,"*","*"
"=""0790011""","Marlborough School District","ELA","Non-Special Education",235,"56.2%","77.6%"
"=""0790011""","Marlborough School District","Math","Special Education",18,"*","*"
"=""0790011""","Marlborough School District","Math","Non-Special Education",234,"61.5%","85.4%"
"=""0800011""","Meriden School District","ELA","Special Education",392,"31.1%","54.9%"
"=""0800011""","Meriden School District","ELA","Non-Special Education",2058,"40.8%","63.1%"
"=""0800011""","Meriden School District","Math","Special Education",399,"34.6%","55.5%"
"=""0800011""","Meriden School District","Math","Non-Special Education",2050,"41.4%","65.7%"
"=""0830011""","Middletown School District","ELA","Special Education",179,"24.6%","48.4%"
"=""0830011""","Middletown School District","ELA","Non-Special Education",1427,"39.7%","59.9%"
"=""0830011""","Middletown School District","Math","Special Education",177,"26.0%","47.0%"
"=""0830011""","Middletown School District","Math","Non-Special Education",1430,"38.9%","58.6%"
"=""0840011""","Milford School District","ELA","Special Education",228,"36.4%","58.4%"
"=""0840011""","Milford School District","ELA","Non-Special Education",1963,"49.5%","69.5%"
"=""0840011""","Milford School District","Math","Special Education",227,"39.6%","60.1%"
"=""0840011""","Milford School District","Math","Non-Special Education",1957,"46.8%","67.8%"
