"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""0010011""","Andover School District",6,"Math","High Needs",12,"*","*","*","*","*"
"=""0010011""","Andover School District",6,"Math","Non-High Needs",35,2572,2613,41,"65.7%","84.9%"
"=""0020011""","Ansonia School District",4,"ELA","High Needs",113,2396,2440,44,"31.9%","59.8%"
"=""0020011""","Ansonia School District",4,"ELA","Non-High Needs",42,2446,2487,41,"33.3%","58.8%"
"=""0020011""","Ansonia School District",4,"Math","High Needs",113,2403,2443,39,"24.8%","60.7%"
"=""0020011""","Ansonia School District",4,"Math","Non-High Needs",42,2441,2482,41,"26.2%","66.0%"
"=""0020011""","Ansonia School District",5,"ELA","High Needs",124,2422,2441,19,"15.3%","43.1%"
"=""0020011""","Ansonia School District",5,"ELA","Non-High Needs",46,2475,2510,35,"34.8%","62.5%"
"=""0020011""","Ansonia School District",5,"Math","High Needs",124,2428,2429,1,"17.7%","34.9%"
"=""0020011""","Ansonia School District",5,"Math","Non-High Needs",47,2470,2491,21,"36.2%","55.7%"
"=""0020011""","Ansonia School District",6,"ELA","High Needs",115,2452,2490,38,"42.6%","64.4%"
"=""0020011""","Ansonia School District",6,"ELA","Non-High Needs",45,2510,2542,32,"40.0%","60.2%"
"=""0020011""","Ansonia School District",6,"Math","High Needs",115,2438,2486,48,"60.0%","80.7%"
"=""0020011""","Ansonia School District",6,"Math","Non-High Needs",45,2481,2534,52,"64.4%","81.9%"
"=""0020011""","Ansonia School District",7,"ELA","High Needs",111,2457,2467,10,"16.2%","39.1%"
"=""0020011""","Ansonia School District",7,"ELA","Non-High Needs",37,2510,2517,7,"27.0%","45.3%"
"=""0020011""","Ansonia School District",7,"Math","High Needs",111,2459,2474,15,"26.1%","49.7%"
"=""0020011""","Ansonia School District",7,"Math","Non-High Needs",37,2519,2531,11,"32.4%","47.4%"
"=""0020011""","Ansonia School District",8,"ELA","High Needs",136,2497,2512,14,"27.9%","45.3%"
"=""0020011""","Ansonia School District",8,"ELA","Non-High Needs",34,2558,2586,28,"41.2%","58.5%"
"=""0020011""","Ansonia School District",8,"Math","High Needs",136,2488,2501,13,"39.0%","55.2%"
"=""0020011""","Ansonia School District",8,"Math","Non-High Needs",33,2543,2559,16,"30.3%","50.4%"
"=""2440014""","Area Cooperative Educational Services",4,"ELA","High Needs",68,2354,2386,32,"22.1%","47.1%"
"=""2440014""","Area Cooperative Educational Services",4,"ELA","Non-High Needs",26,2420,2464,43,"46.2%","63.5%"
"=""2440014""","Area Cooperative Educational Services",4,"Math","High Needs",68,2342,2376,35,"19.1%","51.1%"
"=""2440014""","Area Cooperative Educational Services",4,"Math","Non-High Needs",26,2422,2460,37,"19.2%","59.3%"
"=""2440014""","Area Cooperative Educational Services",5,"ELA","High Needs",61,2386,2418,32,"14.8%","46.3%"
"=""2440014""","Area Cooperative Educational Services",5,"ELA","Non-High Needs",28,2449,2507,59,"42.9%","76.5%"
"=""2440014""","Area Cooperative Educational Services",5,"Math","High Needs",60,2378,2392,14,"21.7%","44.0%"
"=""2440014""","Area Cooperative Educational Services",5,"Math","Non-High Needs",28,2434,2456,21,"42.9%","59.3%"
"=""2440014""","Area Cooperative Educational Services",6,"ELA","High Needs",216,2464,2473,9,"24.1%","42.3%"
"=""2440014""","Area Cooperative Educational Services",6,"ELA","Non-High Needs",106,2546,2550,4,"31.1%","49.4%"
"=""2440014""","Area Cooperative Educational Services",6,"Math","High Needs",217,2440,2445,5,"23.5%","41.9%"
"=""2440014""","Area Cooperative Educational Services",6,"Math","Non-High Needs",107,2507,2527,20,"37.4%","54.7%"
"=""2440014""","Area Cooperative Educational Services",7,"ELA","High Needs",221,2471,2500,29,"33.5%","54.3%"
"=""2440014""","Area Cooperative Educational Services",7,"ELA","Non-High Needs",98,2547,2575,28,"38.8%","61.6%"
"=""2440014""","Area Cooperative Educational Services",7,"Math","High Needs",217,2441,2481,39,"47.0%","68.6%"
"=""2440014""","Area Cooperative Educational Services",7,"Math","Non-High Needs",98,2523,2572,49,"65.3%","84.1%"
"=""2440014""","Area Cooperative Educational Services",8,"ELA","High Needs",194,2498,2517,19,"29.4%","48.6%"
"=""2440014""","Area Cooperative Educational Services",8,"ELA","Non-High Needs",105,2561,2589,28,"40.0%","59.1%"
"=""2440014""","Area Cooperative Educational Services",8,"Math","High Needs",193,2455,2466,11,"29.5%","45.7%"
"=""2440014""","Area Cooperative Educational Services",8,"Math","Non-High Needs",105,2550,2564,14,"42.9%","58.2%"
"=""0030011""","Ashford School District",4,"ELA","High Needs",17,"*","*","*","*","*"
"=""0030011""","Ashford School District",4,"ELA","Non-High Needs",24,2503,2535,32,"33.3%","57.4%"
"=""0030011""","Ashford School District",4,"Math","High Needs",16,"*","*","*","*","*"
"=""0030011""","Ashford School District",4,"Math","Non-High Needs",24,2483,2529,46,"45.8%","72.0%"
"=""0030011""","Ashford School District",5,"ELA","High Needs",9,"*","*","*","*","*"
"=""0030011""","Ashford School District",5,"ELA","Non-High Needs",28,2552,2568,16,"42.9%","61.9%"
"=""0030011""","Ashford School District",5,"Math","High Needs",9,"*","*","*","*","*"
"=""0030011""","Ashford School District",5,"Math","Non-High Needs",28,2534,2504,-30,"0.0%","8.1%"
"=""0030011""","Ashford School District",6,"ELA","High Needs",15,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"ELA","Non-High Needs",21,2525,2550,25,"38.1%","59.5%"
"=""0030011""","Ashford School District",6,"Math","High Needs",15,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Math","Non-High Needs",21,2496,2512,16,"19.0%","41.4%"
"=""0030011""","Ashford School District",7,"ELA","High Needs",17,"*","*","*","*","*"
"=""0030011""","Ashford School District",7,"ELA","Non-High Needs",30,2554,2600,47,"50.0%","73.7%"
"=""0030011""","Ashford School District",7,"Math","High Needs",16,"*","*","*","*","*"
"=""0030011""","Ashford School District",7,"Math","Non-High Needs",30,2513,2587,74,"80.0%","94.3%"
"=""0030011""","Ashford School District",8,"ELA","High Needs",18,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"ELA","Non-High Needs",16,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Math","High Needs",18,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Math","Non-High Needs",16,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"ELA","High Needs",19,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"ELA","Non-High Needs",182,2512,2557,45,"56.6%","73.9%"
"=""0040011""","Avon School District",4,"Math","High Needs",22,2430,2462,33,"18.2%","53.2%"
"=""0040011""","Avon School District",4,"Math","Non-High Needs",182,2508,2547,39,"47.3%","70.0%"
"=""0040011""","Avon School District",5,"ELA","High Needs",31,2428,2458,30,"29.0%","55.6%"
"=""0040011""","Avon School District",5,"ELA","Non-High Needs",225,2540,2584,44,"56.9%","75.6%"
"=""0040011""","Avon School District",5,"Math","High Needs",33,2439,2437,-2,"12.1%","37.1%"
"=""0040011""","Avon School District",5,"Math","Non-High Needs",225,2536,2562,26,"44.4%","63.3%"
"=""0040011""","Avon School District",6,"ELA","High Needs",25,2484,2522,37,"52.0%","71.1%"
"=""0040011""","Avon School District",6,"ELA","Non-High Needs",233,2580,2620,40,"64.4%","81.1%"
"=""0040011""","Avon School District",6,"Math","High Needs",26,2460,2508,48,"57.7%","83.1%"
"=""0040011""","Avon School District",6,"Math","Non-High Needs",232,2556,2613,56,"70.7%","89.0%"
"=""0040011""","Avon School District",7,"ELA","High Needs",36,2491,2536,45,"47.2%","70.2%"
"=""0040011""","Avon School District",7,"ELA","Non-High Needs",220,2613,2650,37,"60.9%","76.3%"
"=""0040011""","Avon School District",7,"Math","High Needs",37,2479,2527,48,"45.9%","72.4%"
"=""0040011""","Avon School District",7,"Math","Non-High Needs",219,2616,2657,40,"66.7%","84.3%"
"=""0040011""","Avon School District",8,"ELA","High Needs",41,2536,2545,9,"31.7%","45.1%"
"=""0040011""","Avon School District",8,"ELA","Non-High Needs",221,2626,2652,26,"53.4%","68.4%"
"=""0040011""","Avon School District",8,"Math","High Needs",41,2524,2537,13,"36.6%","51.5%"
"=""0040011""","Avon School District",8,"Math","Non-High Needs",221,2642,2680,38,"72.9%","85.5%"
"=""0050011""","Barkhamsted School District",4,"ELA","High Needs",15,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",4,"ELA","Non-High Needs",30,2464,2515,51,"63.3%","77.4%"
"=""0050011""","Barkhamsted School District",4,"Math","High Needs",15,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",4,"Math","Non-High Needs",30,2430,2478,48,"40.0%","69.2%"
"=""0050011""","Barkhamsted School District",5,"ELA","High Needs",9,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",5,"ELA","Non-High Needs",35,2542,2576,34,"45.7%","72.8%"
"=""0050011""","Barkhamsted School District",5,"Math","High Needs",9,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",5,"Math","Non-High Needs",35,2476,2508,32,"31.4%","66.5%"
"=""0050011""","Barkhamsted School District",6,"ELA","High Needs",7,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",6,"ELA","Non-High Needs",37,2564,2598,34,"43.2%","65.4%"
"=""0050011""","Barkhamsted School District",6,"Math","High Needs",7,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",6,"Math","Non-High Needs",37,2521,2569,48,"43.2%","74.2%"
"=""0070011""","Berlin School District",4,"ELA","High Needs",44,2360,2422,62,"38.6%","73.0%"
"=""0070011""","Berlin School District",4,"ELA","Non-High Needs",140,2456,2521,65,"57.1%","80.4%"
"=""0070011""","Berlin School District",4,"Math","High Needs",44,2374,2443,69,"59.1%","86.8%"
"=""0070011""","Berlin School District",4,"Math","Non-High Needs",140,2450,2521,71,"65.0%","89.1%"
"=""0070011""","Berlin School District",5,"ELA","High Needs",47,2422,2486,64,"46.8%","75.5%"
"=""0070011""","Berlin School District",5,"ELA","Non-High Needs",196,2513,2568,55,"52.6%","75.0%"
"=""0070011""","Berlin School District",5,"Math","High Needs",47,2445,2462,17,"29.8%","49.2%"
"=""0070011""","Berlin School District",5,"Math","Non-High Needs",196,2520,2548,28,"35.2%","62.3%"
"=""0070011""","Berlin School District",6,"ELA","High Needs",36,2445,2488,43,"58.3%","68.7%"
"=""0070011""","Berlin School District",6,"ELA","Non-High Needs",172,2542,2576,34,"49.4%","70.1%"
"=""0070011""","Berlin School District",6,"Math","High Needs",36,2443,2446,2,"30.6%","43.4%"
"=""0070011""","Berlin School District",6,"Math","Non-High Needs",172,2522,2552,30,"36.0%","62.6%"
"=""0070011""","Berlin School District",7,"ELA","High Needs",50,2474,2512,38,"42.0%","60.2%"
"=""0070011""","Berlin School District",7,"ELA","Non-High Needs",192,2568,2608,40,"51.0%","71.0%"
"=""0070011""","Berlin School District",7,"Math","High Needs",49,2445,2474,29,"34.7%","57.7%"
"=""0070011""","Berlin School District",7,"Math","Non-High Needs",192,2552,2587,34,"52.6%","72.1%"
"=""0070011""","Berlin School District",8,"ELA","High Needs",49,2492,2528,36,"38.8%","62.4%"
"=""0070011""","Berlin School District",8,"ELA","Non-High Needs",161,2587,2628,41,"60.2%","76.3%"
"=""0070011""","Berlin School District",8,"Math","High Needs",49,2466,2480,14,"32.7%","49.1%"
"=""0070011""","Berlin School District",8,"Math","Non-High Needs",161,2592,2607,15,"47.8%","61.5%"
"=""0080011""","Bethany School District",4,"ELA","High Needs",13,"*","*","*","*","*"
"=""0080011""","Bethany School District",4,"ELA","Non-High Needs",37,2458,2525,67,"64.9%","85.1%"
"=""0080011""","Bethany School District",4,"Math","High Needs",13,"*","*","*","*","*"
"=""0080011""","Bethany School District",4,"Math","Non-High Needs",37,2473,2525,52,"48.6%","80.1%"
"=""0080011""","Bethany School District",5,"ELA","High Needs",9,"*","*","*","*","*"
"=""0080011""","Bethany School District",5,"ELA","Non-High Needs",47,2538,2583,45,"55.3%","76.3%"
"=""0080011""","Bethany School District",5,"Math","High Needs",9,"*","*","*","*","*"
"=""0080011""","Bethany School District",5,"Math","Non-High Needs",47,2545,2602,57,"74.5%","91.7%"
"=""0080011""","Bethany School District",6,"ELA","High Needs",10,"*","*","*","*","*"
"=""0080011""","Bethany School District",6,"ELA","Non-High Needs",51,2551,2566,15,"41.2%","55.1%"
"=""0080011""","Bethany School District",6,"Math","High Needs",10,"*","*","*","*","*"
"=""0080011""","Bethany School District",6,"Math","Non-High Needs",51,2522,2557,35,"51.0%","73.4%"
"=""0090011""","Bethel School District",4,"ELA","High Needs",53,2408,2456,48,"41.5%","66.2%"
"=""0090011""","Bethel School District",4,"ELA","Non-High Needs",144,2472,2517,45,"45.8%","69.5%"
"=""0090011""","Bethel School District",4,"Math","High Needs",54,2395,2470,75,"66.7%","91.2%"
"=""0090011""","Bethel School District",4,"Math","Non-High Needs",144,2439,2512,73,"67.4%","92.7%"
"=""0090011""","Bethel School District",5,"ELA","High Needs",62,2444,2487,44,"46.8%","64.4%"
"=""0090011""","Bethel School District",5,"ELA","Non-High Needs",137,2521,2564,42,"48.2%","69.4%"
"=""0090011""","Bethel School District",5,"Math","High Needs",62,2436,2485,48,"56.5%","77.0%"
"=""0090011""","Bethel School District",5,"Math","Non-High Needs",136,2502,2556,53,"68.4%","88.8%"
"=""0090011""","Bethel School District",6,"ELA","High Needs",46,2506,2541,35,"45.7%","65.0%"
"=""0090011""","Bethel School District",6,"ELA","Non-High Needs",130,2566,2604,38,"61.5%","78.2%"
"=""0090011""","Bethel School District",6,"Math","High Needs",46,2497,2509,12,"17.4%","45.7%"
"=""0090011""","Bethel School District",6,"Math","Non-High Needs",130,2535,2573,39,"56.9%","77.3%"
"=""0090011""","Bethel School District",7,"ELA","High Needs",73,2520,2553,33,"37.0%","61.5%"
"=""0090011""","Bethel School District",7,"ELA","Non-High Needs",158,2585,2623,39,"59.5%","76.0%"
"=""0090011""","Bethel School District",7,"Math","High Needs",73,2474,2503,29,"41.1%","61.4%"
"=""0090011""","Bethel School District",7,"Math","Non-High Needs",157,2550,2591,41,"56.7%","78.9%"
"=""0090011""","Bethel School District",8,"ELA","High Needs",64,2551,2588,37,"50.0%","64.4%"
"=""0090011""","Bethel School District",8,"ELA","Non-High Needs",142,2603,2641,38,"56.3%","75.2%"
"=""0090011""","Bethel School District",8,"Math","High Needs",65,2498,2538,41,"56.9%","71.9%"
"=""0090011""","Bethel School District",8,"Math","Non-High Needs",142,2566,2609,43,"65.5%","82.0%"
"=""0110011""","Bloomfield School District",4,"ELA","High Needs",62,2397,2441,44,"27.4%","58.4%"
"=""0110011""","Bloomfield School District",4,"ELA","Non-High Needs",37,2434,2486,52,"40.5%","68.4%"
"=""0110011""","Bloomfield School District",4,"Math","High Needs",63,2364,2429,65,"52.4%","79.8%"
"=""0110011""","Bloomfield School District",4,"Math","Non-High Needs",37,2413,2463,50,"43.2%","76.7%"
"=""0110011""","Bloomfield School District",5,"ELA","High Needs",63,2456,2492,36,"25.4%","59.2%"
"=""0110011""","Bloomfield School District",5,"ELA","Non-High Needs",50,2485,2518,33,"24.0%","53.7%"
"=""0110011""","Bloomfield School District",5,"Math","High Needs",63,2420,2452,32,"36.5%","63.1%"
"=""0110011""","Bloomfield School District",5,"Math","Non-High Needs",50,2449,2480,31,"38.0%","68.2%"
"=""0110011""","Bloomfield School District",6,"ELA","High Needs",79,2483,2521,37,"48.1%","67.0%"
"=""0110011""","Bloomfield School District",6,"ELA","Non-High Needs",34,2507,2545,38,"41.2%","71.8%"
"=""0110011""","Bloomfield School District",6,"Math","High Needs",79,2447,2495,48,"55.7%","74.1%"
"=""0110011""","Bloomfield School District",6,"Math","Non-High Needs",34,2471,2547,76,"64.7%","89.8%"
"=""0110011""","Bloomfield School District",7,"ELA","High Needs",63,2493,2519,26,"30.2%","45.7%"
"=""0110011""","Bloomfield School District",7,"ELA","Non-High Needs",52,2536,2553,18,"32.7%","45.8%"
"=""0110011""","Bloomfield School District",7,"Math","High Needs",64,2472,2489,17,"31.3%","50.0%"
"=""0110011""","Bloomfield School District",7,"Math","Non-High Needs",52,2507,2544,38,"48.1%","66.9%"
"=""0110011""","Bloomfield School District",8,"ELA","High Needs",63,2497,2535,38,"46.0%","62.6%"
"=""0110011""","Bloomfield School District",8,"ELA","Non-High Needs",60,2550,2589,39,"46.7%","73.8%"
"=""0110011""","Bloomfield School District",8,"Math","High Needs",63,2475,2492,16,"31.7%","46.8%"
"=""0110011""","Bloomfield School District",8,"Math","Non-High Needs",60,2522,2537,14,"38.3%","53.2%"
"=""0120011""","Bolton School District",4,"ELA","High Needs",10,"*","*","*","*","*"
"=""0120011""","Bolton School District",4,"ELA","Non-High Needs",43,2478,2551,73,"67.4%","93.4%"
"=""0120011""","Bolton School District",4,"Math","High Needs",10,"*","*","*","*","*"
"=""0120011""","Bolton School District",4,"Math","Non-High Needs",43,2483,2547,63,"67.4%","95.5%"
"=""0120011""","Bolton School District",5,"ELA","High Needs",17,"*","*","*","*","*"
"=""0120011""","Bolton School District",5,"ELA","Non-High Needs",49,2538,2585,47,"63.3%","79.7%"
"=""0120011""","Bolton School District",5,"Math","High Needs",17,"*","*","*","*","*"
"=""0120011""","Bolton School District",5,"Math","Non-High Needs",49,2538,2556,19,"42.9%","60.2%"
"=""0120011""","Bolton School District",6,"ELA","High Needs",15,"*","*","*","*","*"
"=""0120011""","Bolton School District",6,"ELA","Non-High Needs",46,2594,2621,27,"58.7%","73.0%"
"=""0120011""","Bolton School District",6,"Math","High Needs",15,"*","*","*","*","*"
"=""0120011""","Bolton School District",6,"Math","Non-High Needs",46,2571,2607,36,"56.5%","74.9%"
"=""0120011""","Bolton School District",7,"ELA","High Needs",18,"*","*","*","*","*"
"=""0120011""","Bolton School District",7,"ELA","Non-High Needs",42,2580,2621,41,"61.9%","80.5%"
"=""0120011""","Bolton School District",7,"Math","High Needs",18,"*","*","*","*","*"
"=""0120011""","Bolton School District",7,"Math","Non-High Needs",42,2570,2609,39,"52.4%","74.8%"
"=""0120011""","Bolton School District",8,"ELA","High Needs",13,"*","*","*","*","*"
"=""0120011""","Bolton School District",8,"ELA","Non-High Needs",36,2585,2638,53,"69.4%","82.5%"
"=""0120011""","Bolton School District",8,"Math","High Needs",13,"*","*","*","*","*"
"=""0120011""","Bolton School District",8,"Math","Non-High Needs",36,2605,2613,9,"30.6%","44.0%"
"=""0130011""","Bozrah School District",4,"ELA","High Needs",7,"*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"ELA","Non-High Needs",14,"*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"Math","High Needs",7,"*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"Math","Non-High Needs",14,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"ELA","High Needs",12,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"ELA","Non-High Needs",17,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"Math","High Needs",12,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"Math","Non-High Needs",17,"*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"ELA","High Needs","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"ELA","Non-High Needs","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"Math","High Needs","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"Math","Non-High Needs","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"ELA","High Needs",8,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"ELA","Non-High Needs",8,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Math","High Needs",8,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Math","Non-High Needs",8,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"ELA","High Needs",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"ELA","Non-High Needs",14,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Math","High Needs",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Math","Non-High Needs",14,"*","*","*","*","*"
"=""0140011""","Branford School District",4,"ELA","High Needs",65,2411,2468,57,"52.3%","74.7%"
"=""0140011""","Branford School District",4,"ELA","Non-High Needs",140,2467,2524,56,"57.1%","78.5%"
"=""0140011""","Branford School District",4,"Math","High Needs",64,2429,2487,58,"46.9%","73.2%"
"=""0140011""","Branford School District",4,"Math","Non-High Needs",140,2463,2519,56,"47.1%","78.7%"
"=""0140011""","Branford School District",5,"ELA","High Needs",74,2447,2501,54,"43.2%","69.1%"
"=""0140011""","Branford School District",5,"ELA","Non-High Needs",140,2527,2567,40,"42.9%","66.2%"
"=""0140011""","Branford School District",5,"Math","High Needs",75,2458,2498,39,"44.0%","71.8%"
"=""0140011""","Branford School District",5,"Math","Non-High Needs",140,2519,2551,32,"49.3%","72.8%"
"=""0140011""","Branford School District",6,"ELA","High Needs",75,2460,2487,27,"37.3%","54.2%"
"=""0140011""","Branford School District",6,"ELA","Non-High Needs",129,2543,2564,21,"40.3%","54.7%"
"=""0140011""","Branford School District",6,"Math","High Needs",74,2460,2472,12,"31.1%","50.2%"
"=""0140011""","Branford School District",6,"Math","Non-High Needs",128,2526,2563,36,"50.8%","70.2%"
"=""0140011""","Branford School District",7,"ELA","High Needs",61,2503,2539,36,"37.7%","57.3%"
"=""0140011""","Branford School District",7,"ELA","Non-High Needs",141,2568,2608,41,"53.9%","71.2%"
"=""0140011""","Branford School District",7,"Math","High Needs",61,2485,2509,24,"37.7%","54.3%"
"=""0140011""","Branford School District",7,"Math","Non-High Needs",141,2563,2592,29,"45.4%","67.3%"
"=""0140011""","Branford School District",8,"ELA","High Needs",68,2519,2533,14,"27.9%","44.5%"
"=""0140011""","Branford School District",8,"ELA","Non-High Needs",154,2602,2612,10,"35.7%","51.9%"
"=""0140011""","Branford School District",8,"Math","High Needs",69,2490,2480,-10,"24.6%","37.7%"
"=""0140011""","Branford School District",8,"Math","Non-High Needs",154,2600,2593,-7,"29.9%","42.5%"
"=""2850013""","Bridgeport Achievement First District",4,"ELA","High Needs",70,2382,2489,107,"78.6%","93.3%"
"=""2850013""","Bridgeport Achievement First District",4,"ELA","Non-High Needs",16,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",4,"Math","High Needs",70,2402,2486,85,"74.3%","95.9%"
"=""2850013""","Bridgeport Achievement First District",4,"Math","Non-High Needs",16,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",5,"ELA","High Needs",66,2448,2464,16,"21.2%","38.4%"
"=""2850013""","Bridgeport Achievement First District",5,"ELA","Non-High Needs",16,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",5,"Math","High Needs",66,2445,2458,13,"30.3%","48.0%"
"=""2850013""","Bridgeport Achievement First District",5,"Math","Non-High Needs",16,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",6,"ELA","High Needs",75,2451,2482,30,"38.7%","59.8%"
"=""2850013""","Bridgeport Achievement First District",6,"ELA","Non-High Needs",11,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",6,"Math","High Needs",75,2426,2472,46,"54.7%","74.3%"
"=""2850013""","Bridgeport Achievement First District",6,"Math","Non-High Needs",11,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",7,"ELA","High Needs",69,2494,2519,25,"29.0%","47.3%"
