"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""2790013""","Amistad Academy District",8,"Math","Eligible for Reduced Lunch",12,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"ELA","Eligible for Free Lunch",7,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"ELA","Not Eligible for Free/Reduced Lunch",31,2486,2537,52,"51.6%","78.0%"
"=""0010011""","Andover School District",4,"Math","Eligible for Free Lunch",7,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Math","Not Eligible for Free/Reduced Lunch",31,2467,2518,50,"35.5%","76.1%"
"=""0010011""","Andover School District",5,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District",5,"ELA","Not Eligible for Free/Reduced Lunch","*",2538,2581,43,"55.3%","74.1%"
"=""0010011""","Andover School District",5,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District",5,"Math","Not Eligible for Free/Reduced Lunch","*",2534,2573,39,"52.6%","76.0%"
"=""0010011""","Andover School District",6,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District",6,"ELA","Not Eligible for Free/Reduced Lunch",39,2580,2601,20,"51.3%","66.2%"
"=""0010011""","Andover School District",6,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District",6,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District",6,"Math","Not Eligible for Free/Reduced Lunch",41,2553,2592,38,"61.0%","79.2%"
"=""0010011""","Andover School District",6,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",4,"ELA","Eligible for Free Lunch",97,2391,2436,44,"30.9%","60.2%"
"=""0020011""","Ansonia School District",4,"ELA","Not Eligible for Free/Reduced Lunch",45,2440,2480,40,"33.3%","57.3%"
"=""0020011""","Ansonia School District",4,"ELA","Eligible for Reduced Lunch",13,"*","*","*","*","*"
"=""0020011""","Ansonia School District",4,"Math","Eligible for Free Lunch",97,2400,2436,35,"21.6%","56.2%"
"=""0020011""","Ansonia School District",4,"Math","Not Eligible for Free/Reduced Lunch",45,2434,2476,42,"24.4%","66.6%"
"=""0020011""","Ansonia School District",4,"Math","Eligible for Reduced Lunch",13,"*","*","*","*","*"
"=""0020011""","Ansonia School District",5,"ELA","Eligible for Free Lunch",99,2429,2443,14,"13.1%","39.4%"
"=""0020011""","Ansonia School District",5,"ELA","Not Eligible for Free/Reduced Lunch",52,2463,2494,31,"30.8%","59.5%"
"=""0020011""","Ansonia School District",5,"ELA","Eligible for Reduced Lunch",19,"*","*","*","*","*"
"=""0020011""","Ansonia School District",5,"Math","Eligible for Free Lunch",99,2430,2432,2,"17.2%","34.4%"
"=""0020011""","Ansonia School District",5,"Math","Not Eligible for Free/Reduced Lunch",53,2463,2479,16,"32.1%","50.7%"
"=""0020011""","Ansonia School District",5,"Math","Eligible for Reduced Lunch",19,"*","*","*","*","*"
"=""0020011""","Ansonia School District",6,"ELA","Eligible for Free Lunch",93,2456,2494,38,"44.1%","66.4%"
"=""0020011""","Ansonia School District",6,"ELA","Not Eligible for Free/Reduced Lunch",49,2504,2536,33,"38.8%","60.5%"
"=""0020011""","Ansonia School District",6,"ELA","Eligible for Reduced Lunch",18,"*","*","*","*","*"
"=""0020011""","Ansonia School District",6,"Math","Eligible for Free Lunch",93,2440,2492,52,"63.4%","83.8%"
"=""0020011""","Ansonia School District",6,"Math","Not Eligible for Free/Reduced Lunch",49,2473,2524,51,"63.3%","81.6%"
"=""0020011""","Ansonia School District",6,"Math","Eligible for Reduced Lunch",18,"*","*","*","*","*"
"=""0020011""","Ansonia School District",7,"ELA","Eligible for Free Lunch",80,2459,2467,8,"17.5%","36.6%"
"=""0020011""","Ansonia School District",7,"ELA","Not Eligible for Free/Reduced Lunch",45,2487,2500,12,"28.9%","47.6%"
"=""0020011""","Ansonia School District",7,"ELA","Eligible for Reduced Lunch",23,2479,2484,5,"4.3%","41.1%"
"=""0020011""","Ansonia School District",7,"Math","Eligible for Free Lunch",80,2462,2472,10,"22.5%","47.9%"
"=""0020011""","Ansonia School District",7,"Math","Not Eligible for Free/Reduced Lunch",45,2494,2516,22,"35.6%","54.3%"
"=""0020011""","Ansonia School District",7,"Math","Eligible for Reduced Lunch",23,2479,2492,13,"30.4%","43.2%"
"=""0020011""","Ansonia School District",8,"ELA","Eligible for Free Lunch",108,2494,2511,17,"29.6%","47.1%"
"=""0020011""","Ansonia School District",8,"ELA","Not Eligible for Free/Reduced Lunch",40,2540,2567,27,"37.5%","57.3%"
"=""0020011""","Ansonia School District",8,"ELA","Eligible for Reduced Lunch",22,2530,2531,1,"22.7%","34.9%"
"=""0020011""","Ansonia School District",8,"Math","Eligible for Free Lunch",108,2484,2503,18,"42.6%","58.8%"
"=""0020011""","Ansonia School District",8,"Math","Not Eligible for Free/Reduced Lunch",39,2533,2545,13,"25.6%","48.2%"
"=""0020011""","Ansonia School District",8,"Math","Eligible for Reduced Lunch",22,2513,2504,-9,"31.8%","42.5%"
"=""2440014""","Area Cooperative Educational Services",4,"ELA","Eligible for Free Lunch",55,2346,2377,30,"20.0%","46.2%"
"=""2440014""","Area Cooperative Educational Services",4,"ELA","Not Eligible for Free/Reduced Lunch",27,2417,2460,43,"44.4%","62.7%"
"=""2440014""","Area Cooperative Educational Services",4,"ELA","Eligible for Reduced Lunch",12,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",4,"Math","Eligible for Free Lunch",55,2337,2371,35,"18.2%","51.4%"
"=""2440014""","Area Cooperative Educational Services",4,"Math","Not Eligible for Free/Reduced Lunch",27,2419,2456,37,"18.5%","58.8%"
"=""2440014""","Area Cooperative Educational Services",4,"Math","Eligible for Reduced Lunch",12,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",5,"ELA","Eligible for Free Lunch",53,2386,2421,34,"17.0%","48.2%"
"=""2440014""","Area Cooperative Educational Services",5,"ELA","Not Eligible for Free/Reduced Lunch",29,2443,2501,57,"41.4%","74.7%"
"=""2440014""","Area Cooperative Educational Services",5,"ELA","Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",5,"Math","Eligible for Free Lunch",52,2376,2392,16,"23.1%","48.2%"
"=""2440014""","Area Cooperative Educational Services",5,"Math","Not Eligible for Free/Reduced Lunch",29,2430,2450,20,"41.4%","57.3%"
"=""2440014""","Area Cooperative Educational Services",5,"Math","Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",6,"ELA","Eligible for Free Lunch",168,2462,2472,10,"23.2%","41.8%"
"=""2440014""","Area Cooperative Educational Services",6,"ELA","Not Eligible for Free/Reduced Lunch",116,2537,2541,4,"30.2%","48.4%"
"=""2440014""","Area Cooperative Educational Services",6,"ELA","Eligible for Reduced Lunch",38,2478,2485,8,"28.9%","45.7%"
"=""2440014""","Area Cooperative Educational Services",6,"Math","Eligible for Free Lunch",169,2437,2444,6,"24.9%","42.6%"
"=""2440014""","Area Cooperative Educational Services",6,"Math","Not Eligible for Free/Reduced Lunch",117,2500,2518,18,"35.0%","51.5%"
"=""2440014""","Area Cooperative Educational Services",6,"Math","Eligible for Reduced Lunch",38,2453,2458,5,"21.1%","45.0%"
"=""2440014""","Area Cooperative Educational Services",7,"ELA","Eligible for Free Lunch",191,2472,2499,28,"33.5%","54.3%"
"=""2440014""","Area Cooperative Educational Services",7,"ELA","Not Eligible for Free/Reduced Lunch",106,2537,2568,31,"38.7%","61.6%"
"=""2440014""","Area Cooperative Educational Services",7,"ELA","Eligible for Reduced Lunch",22,2489,2513,24,"31.8%","51.0%"
"=""2440014""","Area Cooperative Educational Services",7,"Math","Eligible for Free Lunch",187,2443,2481,37,"45.5%","66.9%"
"=""2440014""","Area Cooperative Educational Services",7,"Math","Not Eligible for Free/Reduced Lunch",106,2511,2560,49,"64.2%","82.9%"
"=""2440014""","Area Cooperative Educational Services",7,"Math","Eligible for Reduced Lunch",22,2458,2505,47,"59.1%","82.1%"
"=""2440014""","Area Cooperative Educational Services",8,"ELA","Eligible for Free Lunch",161,2493,2512,19,"30.4%","50.1%"
"=""2440014""","Area Cooperative Educational Services",8,"ELA","Not Eligible for Free/Reduced Lunch",114,2556,2583,26,"38.6%","56.7%"
"=""2440014""","Area Cooperative Educational Services",8,"ELA","Eligible for Reduced Lunch",24,2532,2553,21,"25.0%","46.0%"
"=""2440014""","Area Cooperative Educational Services",8,"Math","Eligible for Free Lunch",160,2451,2461,11,"28.1%","44.0%"
"=""2440014""","Area Cooperative Educational Services",8,"Math","Not Eligible for Free/Reduced Lunch",114,2542,2555,14,"43.0%","58.0%"
"=""2440014""","Area Cooperative Educational Services",8,"Math","Eligible for Reduced Lunch",24,2490,2501,11,"33.3%","53.0%"
"=""0030011""","Ashford School District",4,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",4,"ELA","Not Eligible for Free/Reduced Lunch",26,2492,2524,32,"34.6%","57.2%"
"=""0030011""","Ashford School District",4,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",4,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",4,"Math","Not Eligible for Free/Reduced Lunch",26,2474,2522,48,"42.3%","73.6%"
"=""0030011""","Ashford School District",4,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",5,"ELA","Eligible for Free Lunch",9,"*","*","*","*","*"
"=""0030011""","Ashford School District",5,"ELA","Not Eligible for Free/Reduced Lunch",28,2552,2568,16,"42.9%","61.9%"
"=""0030011""","Ashford School District",5,"Math","Eligible for Free Lunch",9,"*","*","*","*","*"
"=""0030011""","Ashford School District",5,"Math","Not Eligible for Free/Reduced Lunch",28,2534,2504,-30,"0.0%","8.1%"
"=""0030011""","Ashford School District",6,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",6,"ELA","Not Eligible for Free/Reduced Lunch",24,2510,2535,25,"37.5%","59.2%"
"=""0030011""","Ashford School District",6,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Math","Not Eligible for Free/Reduced Lunch",24,2482,2497,15,"16.7%","41.7%"
"=""0030011""","Ashford School District",6,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",7,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",7,"ELA","Not Eligible for Free/Reduced Lunch",33,2540,2586,46,"48.5%","70.3%"
"=""0030011""","Ashford School District",7,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",7,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",7,"Math","Not Eligible for Free/Reduced Lunch",32,2506,2579,73,"81.3%","95.3%"
"=""0030011""","Ashford School District",7,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",8,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",8,"ELA","Not Eligible for Free/Reduced Lunch",17,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Math","Not Eligible for Free/Reduced Lunch",17,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",4,"ELA","Eligible for Free Lunch",10,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"ELA","Not Eligible for Free/Reduced Lunch",191,2506,2553,46,"56.0%","73.6%"
"=""0040011""","Avon School District",4,"Math","Eligible for Free Lunch",11,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"Math","Not Eligible for Free/Reduced Lunch",193,2503,2543,40,"46.6%","70.3%"
"=""0040011""","Avon School District",5,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",5,"ELA","Not Eligible for Free/Reduced Lunch",239,2533,2577,44,"55.2%","74.8%"
"=""0040011""","Avon School District",5,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",5,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",5,"Math","Not Eligible for Free/Reduced Lunch",241,2529,2554,25,"42.7%","62.3%"
"=""0040011""","Avon School District",5,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",6,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",6,"ELA","Not Eligible for Free/Reduced Lunch",250,2574,2614,40,"64.0%","80.8%"
"=""0040011""","Avon School District",6,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",6,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",6,"Math","Not Eligible for Free/Reduced Lunch",250,2550,2606,56,"70.4%","89.3%"
"=""0040011""","Avon School District",6,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",7,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",7,"ELA","Not Eligible for Free/Reduced Lunch",243,2601,2639,38,"59.7%","75.7%"
"=""0040011""","Avon School District",7,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",7,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",7,"Math","Not Eligible for Free/Reduced Lunch",243,2602,2643,42,"65.4%","83.5%"
"=""0040011""","Avon School District",7,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",8,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",8,"ELA","Not Eligible for Free/Reduced Lunch",248,2614,2639,25,"50.4%","65.5%"
"=""0040011""","Avon School District",8,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",8,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0040011""","Avon School District",8,"Math","Not Eligible for Free/Reduced Lunch",248,2627,2661,34,"67.7%","81.0%"
"=""0040011""","Avon School District",8,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",4,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",4,"ELA","Not Eligible for Free/Reduced Lunch",36,2439,2492,53,"58.3%","75.9%"
"=""0050011""","Barkhamsted School District",4,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",4,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",4,"Math","Not Eligible for Free/Reduced Lunch",36,2407,2461,54,"41.7%","73.7%"
"=""0050011""","Barkhamsted School District",4,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",5,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",5,"ELA","Not Eligible for Free/Reduced Lunch",41,2527,2556,30,"39.0%","66.3%"
"=""0050011""","Barkhamsted School District",5,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",5,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",5,"Math","Not Eligible for Free/Reduced Lunch",41,2466,2495,29,"26.8%","63.6%"
"=""0050011""","Barkhamsted School District",5,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",6,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",6,"ELA","Not Eligible for Free/Reduced Lunch",40,2555,2588,33,"40.0%","64.3%"
"=""0050011""","Barkhamsted School District",6,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",6,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",6,"Math","Not Eligible for Free/Reduced Lunch",40,2516,2558,43,"42.5%","71.5%"
"=""0050011""","Barkhamsted School District",6,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0070011""","Berlin School District",4,"ELA","Eligible for Free Lunch",15,"*","*","*","*","*"
"=""0070011""","Berlin School District",4,"ELA","Not Eligible for Free/Reduced Lunch",162,2440,2505,64,"53.7%","78.2%"
"=""0070011""","Berlin School District",4,"ELA","Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""0070011""","Berlin School District",4,"Math","Eligible for Free Lunch",15,"*","*","*","*","*"
"=""0070011""","Berlin School District",4,"Math","Not Eligible for Free/Reduced Lunch",162,2437,2507,70,"63.6%","88.3%"
"=""0070011""","Berlin School District",4,"Math","Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""0070011""","Berlin School District",5,"ELA","Eligible for Free Lunch",23,2429,2483,54,"43.5%","65.6%"
"=""0070011""","Berlin School District",5,"ELA","Not Eligible for Free/Reduced Lunch",212,2504,2560,57,"51.9%","75.4%"
"=""0070011""","Berlin School District",5,"ELA","Eligible for Reduced Lunch",8,"*","*","*","*","*"
"=""0070011""","Berlin School District",5,"Math","Eligible for Free Lunch",23,2444,2457,12,"26.1%","49.0%"
"=""0070011""","Berlin School District",5,"Math","Not Eligible for Free/Reduced Lunch",212,2513,2540,28,"35.4%","61.8%"
"=""0070011""","Berlin School District",5,"Math","Eligible for Reduced Lunch",8,"*","*","*","*","*"
"=""0070011""","Berlin School District",6,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0070011""","Berlin School District",6,"ELA","Not Eligible for Free/Reduced Lunch",185,2532,2568,36,"50.3%","70.1%"
"=""0070011""","Berlin School District",6,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0070011""","Berlin School District",6,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0070011""","Berlin School District",6,"Math","Not Eligible for Free/Reduced Lunch",185,2515,2542,27,"35.1%","60.3%"
"=""0070011""","Berlin School District",6,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0070011""","Berlin School District",7,"ELA","Eligible for Free Lunch",20,2502,2533,31,"45.0%","57.4%"
"=""0070011""","Berlin School District",7,"ELA","Not Eligible for Free/Reduced Lunch",214,2556,2596,40,"50.5%","70.2%"
"=""0070011""","Berlin School District",7,"ELA","Eligible for Reduced Lunch",8,"*","*","*","*","*"
"=""0070011""","Berlin School District",7,"Math","Eligible for Free Lunch",20,2460,2485,25,"30.0%","58.1%"
"=""0070011""","Berlin School District",7,"Math","Not Eligible for Free/Reduced Lunch",213,2539,2573,34,"50.7%","70.3%"
"=""0070011""","Berlin School District",7,"Math","Eligible for Reduced Lunch",8,"*","*","*","*","*"
"=""0070011""","Berlin School District",8,"ELA","Eligible for Free Lunch","*",2495,2538,43,"48.0%","78.3%"
"=""0070011""","Berlin School District",8,"ELA","Not Eligible for Free/Reduced Lunch",180,2577,2617,40,"57.2%","73.7%"
"=""0070011""","Berlin School District",8,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0070011""","Berlin School District",8,"Math","Eligible for Free Lunch","*",2466,2484,19,"44.0%","57.7%"
"=""0070011""","Berlin School District",8,"Math","Not Eligible for Free/Reduced Lunch",180,2578,2593,14,"44.4%","59.0%"
"=""0070011""","Berlin School District",8,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0080011""","Bethany School District",4,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0080011""","Bethany School District",4,"ELA","Not Eligible for Free/Reduced Lunch",45,2436,2506,70,"60.0%","85.5%"
"=""0080011""","Bethany School District",4,"ELA","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0080011""","Bethany School District",4,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0080011""","Bethany School District",4,"Math","Not Eligible for Free/Reduced Lunch",45,2457,2512,54,"51.1%","81.4%"
"=""0080011""","Bethany School District",4,"Math","Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0080011""","Bethany School District",5,"ELA","Eligible for Free Lunch",6,"*","*","*","*","*"
"=""0080011""","Bethany School District",5,"ELA","Not Eligible for Free/Reduced Lunch",50,2533,2577,44,"52.0%","74.0%"
"=""0080011""","Bethany School District",5,"Math","Eligible for Free Lunch",6,"*","*","*","*","*"
"=""0080011""","Bethany School District",5,"Math","Not Eligible for Free/Reduced Lunch",50,2538,2595,56,"74.0%","90.8%"
"=""0080011""","Bethany School District",6,"ELA","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0080011""","Bethany School District",6,"ELA","Not Eligible for Free/Reduced Lunch","*",2537,2553,15,"39.0%","53.4%"
"=""0080011""","Bethany School District",6,"Math","Eligible for Free Lunch","*","*","*","*","*","*"
"=""0080011""","Bethany School District",6,"Math","Not Eligible for Free/Reduced Lunch","*",2513,2546,33,"49.2%","71.7%"
"=""0090011""","Bethel School District",4,"ELA","Eligible for Free Lunch",28,2417,2463,46,"39.3%","64.1%"
"=""0090011""","Bethel School District",4,"ELA","Not Eligible for Free/Reduced Lunch",158,2464,2509,46,"45.6%","69.3%"
"=""0090011""","Bethel School District",4,"ELA","Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""0090011""","Bethel School District",4,"Math","Eligible for Free Lunch",28,2398,2473,75,"64.3%","83.4%"
"=""0090011""","Bethel School District",4,"Math","Not Eligible for Free/Reduced Lunch",159,2433,2508,74,"69.2%","94.0%"
"=""0090011""","Bethel School District",4,"Math","Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""0090011""","Bethel School District",5,"ELA","Eligible for Free Lunch",30,2451,2488,37,"43.3%","58.5%"
"=""0090011""","Bethel School District",5,"ELA","Not Eligible for Free/Reduced Lunch",151,2511,2553,41,"46.4%","68.0%"
"=""0090011""","Bethel School District",5,"ELA","Eligible for Reduced Lunch",18,"*","*","*","*","*"
"=""0090011""","Bethel School District",5,"Math","Eligible for Free Lunch",30,2436,2474,38,"50.0%","68.7%"
"=""0090011""","Bethel School District",5,"Math","Not Eligible for Free/Reduced Lunch",150,2494,2548,54,"68.0%","88.5%"
"=""0090011""","Bethel School District",5,"Math","Eligible for Reduced Lunch",18,"*","*","*","*","*"
"=""0090011""","Bethel School District",6,"ELA","Eligible for Free Lunch",26,2519,2536,17,"38.5%","59.1%"
