"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0240011""","Chaplin School District","Female",20,"55.0%","78.1%"
"=""0250011""","Cheshire School District","Male",814,"50.7%","68.0%"
"=""0250011""","Cheshire School District","Female",874,"54.6%","71.8%"
"=""0260011""","Chester School District","Male",38,"52.6%","69.6%"
"=""0260011""","Chester School District","Female",62,"48.4%","67.9%"
"=""0270011""","Clinton School District","Male",370,"41.4%","61.3%"
"=""0270011""","Clinton School District","Female",355,"44.8%","65.5%"
"=""0280011""","Colchester School District","Male",478,"43.1%","65.6%"
"=""0280011""","Colchester School District","Female",457,"54.0%","73.0%"
"=""0290011""","Colebrook School District","Male",13,"*","*"
"=""0290011""","Colebrook School District","Female",18,"*","*"
"=""0300011""","Columbia School District","Male",112,"42.9%","64.8%"
"=""0300011""","Columbia School District","Female",116,"51.7%","69.6%"
"=""2430014""","Cooperative Educational Services","Male",156,"32.7%","58.4%"
"=""2430014""","Cooperative Educational Services","Female",111,"40.5%","59.4%"
"=""0310011""","Cornwall School District","Male",29,"37.9%","59.5%"
"=""0310011""","Cornwall School District","Female",16,"*","*"
"=""0320011""","Coventry School District","Male",287,"52.6%","75.7%"
"=""0320011""","Coventry School District","Female",319,"56.4%","77.5%"
"=""0330011""","Cromwell School District","Male",394,"41.6%","63.3%"
"=""0330011""","Cromwell School District","Female",359,"47.1%","69.7%"
"=""0340011""","Danbury School District","Male",1822,"41.1%","63.0%"
"=""0340011""","Danbury School District","Female",1854,"41.5%","64.8%"
"=""0350011""","Darien School District","Male",934,"57.4%","74.9%"
"=""0350011""","Darien School District","Female",874,"61.2%","77.8%"
"=""0360011""","Deep River School District","Male",70,"41.4%","61.8%"
"=""0360011""","Deep River School District","Female",76,"55.3%","72.7%"
"=""0370011""","Derby School District","Male",266,"26.3%","47.6%"
"=""0370011""","Derby School District","Female",254,"37.0%","58.3%"
"=""0400011""","East Granby School District","Male",158,"39.9%","59.8%"
"=""0400011""","East Granby School District","Female",152,"41.4%","59.9%"
"=""0410011""","East Haddam School District","Male",213,"41.3%","58.0%"
"=""0410011""","East Haddam School District","Female",181,"56.4%","71.8%"
"=""0420011""","East Hampton School District","Male",350,"32.6%","50.9%"
"=""0420011""","East Hampton School District","Female",298,"36.6%","56.0%"
"=""0430011""","East Hartford School District","Male",1128,"33.9%","57.1%"
"=""0430011""","East Hartford School District","Female",1064,"38.3%","62.1%"
"=""0440011""","East Haven School District","Male",525,"37.7%","62.9%"
"=""0440011""","East Haven School District","Female",534,"47.2%","72.1%"
"=""0450011""","East Lyme School District","Male",500,"45.4%","63.6%"
"=""0450011""","East Lyme School District","Female",461,"48.8%","66.4%"
"=""0470011""","East Windsor School District","Male",183,"35.0%","59.5%"
"=""0470011""","East Windsor School District","Female",162,"31.5%","57.2%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male","*","17.9%","33.8%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female","*","*","*"
"=""0390011""","Eastford School District","Male",36,"50.0%","71.3%"
"=""0390011""","Eastford School District","Female",31,"22.6%","44.7%"
"=""0460011""","Easton School District","Male",266,"59.8%","78.4%"
"=""0460011""","Easton School District","Female",235,"56.2%","74.8%"
"=""2420014""","EdAdvance","Male","*","*","*"
"=""0480011""","Ellington School District","Male",523,"40.2%","60.6%"
"=""0480011""","Ellington School District","Female",490,"50.4%","69.9%"
"=""2890013""","Elm City College Preparatory School District","Male",125,"53.6%","72.4%"
"=""2890013""","Elm City College Preparatory School District","Female",185,"55.1%","77.3%"
"=""0490011""","Enfield School District","Male",847,"42.3%","64.9%"
"=""0490011""","Enfield School District","Female",867,"47.4%","68.7%"
"=""0500011""","Essex School District","Male",93,"50.5%","68.8%"
"=""0500011""","Essex School District","Female",89,"51.7%","71.5%"
"=""0510011""","Fairfield School District","Male",1933,"48.4%","68.0%"
"=""0510011""","Fairfield School District","Female",1871,"52.2%","72.0%"
"=""0520011""","Farmington School District","Male",746,"49.3%","67.6%"
"=""0520011""","Farmington School District","Female",766,"57.8%","76.1%"
"=""0530011""","Franklin School District","Male",47,"38.3%","53.9%"
"=""0530011""","Franklin School District","Female",41,"31.7%","52.7%"
"=""0540011""","Glastonbury School District","Male",1134,"49.1%","67.6%"
"=""0540011""","Glastonbury School District","Female",1181,"52.2%","69.0%"
"=""0560011""","Granby School District","Male",352,"57.4%","76.5%"
"=""0560011""","Granby School District","Female",335,"60.0%","77.4%"
"=""2940013""","Great Oaks Charter School District","Male",102,"35.3%","57.7%"
"=""2940013""","Great Oaks Charter School District","Female",104,"45.2%","62.3%"
"=""0570011""","Greenwich School District","Male",1536,"51.4%","70.2%"
"=""0570011""","Greenwich School District","Female",1489,"56.5%","73.3%"
"=""0580011""","Griswold School District","Male",316,"43.4%","63.3%"
"=""0580011""","Griswold School District","Female",319,"41.1%","64.0%"
"=""0590011""","Groton School District","Male",696,"41.4%","60.4%"
"=""0590011""","Groton School District","Female",707,"40.7%","61.8%"
"=""0600011""","Guilford School District","Male",677,"51.6%","70.3%"
"=""0600011""","Guilford School District","Female",626,"56.9%","74.4%"
"=""0620011""","Hamden School District","Male",949,"34.8%","55.4%"
"=""0620011""","Hamden School District","Female",886,"40.0%","59.3%"
"=""0630011""","Hampton School District","Male",20,"65.0%","86.5%"
"=""0630011""","Hampton School District","Female",8,"*","*"
"=""0640011""","Hartford School District","Male",3461,"31.4%","53.9%"
"=""0640011""","Hartford School District","Female",3347,"33.0%","55.0%"
"=""0650011""","Hartland School District","Male",58,"55.2%","80.8%"
"=""0650011""","Hartland School District","Female",47,"59.6%","78.3%"
"=""0670011""","Hebron School District","Male",182,"44.5%","66.9%"
"=""0670011""","Hebron School District","Female",159,"45.3%","71.4%"
"=""2860013""","Highville Charter School District","Male",86,"27.9%","48.9%"
"=""2860013""","Highville Charter School District","Female",95,"36.8%","60.1%"
"=""2640013""","Integrated Day Charter School District","Male",80,"36.3%","56.7%"
"=""2640013""","Integrated Day Charter School District","Female",77,"27.3%","48.0%"
"=""2650013""","Interdistrict School for Arts and Comm District","Male",129,"33.3%","48.3%"
"=""2650013""","Interdistrict School for Arts and Comm District","Female",125,"32.0%","46.6%"
"=""2610013""","Jumoke Academy District","Male",144,"29.2%","47.5%"
"=""2610013""","Jumoke Academy District","Female",181,"39.2%","60.1%"
"=""0680011""","Kent School District","Male",71,"46.5%","57.6%"
"=""0680011""","Kent School District","Female",55,"49.1%","69.3%"
"=""0690011""","Killingly School District","Male",380,"47.6%","70.4%"
"=""0690011""","Killingly School District","Female",393,"49.6%","69.7%"
"=""2450014""","Learn","Male",143,"44.8%","68.8%"
"=""2450014""","Learn","Female",153,"45.8%","72.9%"
"=""0710011""","Lebanon School District","Male",175,"46.3%","63.4%"
"=""0710011""","Lebanon School District","Female",162,"54.9%","71.1%"
"=""0720011""","Ledyard School District","Male",422,"39.3%","59.2%"
"=""0720011""","Ledyard School District","Female",354,"45.5%","65.5%"
"=""0730011""","Lisbon School District","Male",103,"35.9%","58.8%"
"=""0730011""","Lisbon School District","Female",100,"38.0%","55.6%"
"=""0740011""","Litchfield School District","Male",189,"60.3%","79.2%"
"=""0740011""","Litchfield School District","Female",183,"53.0%","71.6%"
"=""0760011""","Madison School District","Male",520,"34.4%","51.9%"
"=""0760011""","Madison School District","Female",444,"40.5%","57.7%"
"=""0770011""","Manchester School District","Male",1011,"30.8%","53.5%"
"=""0770011""","Manchester School District","Female",951,"39.4%","61.3%"
"=""0780011""","Mansfield School District","Male",291,"46.4%","63.6%"
"=""0780011""","Mansfield School District","Female",246,"56.5%","73.8%"
"=""0790011""","Marlborough School District","Male",137,"49.6%","73.9%"
"=""0790011""","Marlborough School District","Female",116,"63.8%","81.5%"
"=""0800011""","Meriden School District","Male",1213,"37.3%","59.0%"
"=""0800011""","Meriden School District","Female",1237,"41.1%","64.4%"
"=""0830011""","Middletown School District","Male",811,"34.9%","55.5%"
"=""0830011""","Middletown School District","Female",795,"41.3%","61.7%"
"=""0840011""","Milford School District","Male",1163,"46.2%","67.2%"
"=""0840011""","Milford School District","Female",1028,"50.4%","69.5%"
"=""0850011""","Monroe School District","Male",595,"43.7%","59.1%"
"=""0850011""","Monroe School District","Female",587,"54.5%","70.3%"
"=""0860011""","Montville School District","Male",412,"43.2%","64.5%"
"=""0860011""","Montville School District","Female",420,"46.0%","66.0%"
"=""0880011""","Naugatuck School District","Male",835,"39.2%","63.0%"
"=""0880011""","Naugatuck School District","Female",698,"45.0%","66.4%"
"=""2800013""","New Beginnings Inc Family Academy District","Male",82,"36.6%","56.7%"
"=""2800013""","New Beginnings Inc Family Academy District","Female",87,"32.2%","56.9%"
"=""0890011""","New Britain School District","Male",1670,"29.4%","52.1%"
"=""0890011""","New Britain School District","Female",1448,"28.3%","51.1%"
"=""0900011""","New Canaan School District","Male",810,"49.8%","66.7%"
"=""0900011""","New Canaan School District","Female",746,"56.2%","70.9%"
"=""0910011""","New Fairfield School District","Male",409,"48.4%","69.0%"
"=""0910011""","New Fairfield School District","Female",386,"53.6%","73.4%"
"=""0920011""","New Hartford School District","Male",92,"39.1%","63.9%"
"=""0920011""","New Hartford School District","Female",105,"46.7%","68.7%"
"=""0930011""","New Haven School District","Male",3400,"36.3%","61.2%"
"=""0930011""","New Haven School District","Female",3325,"41.5%","65.5%"
"=""0950011""","New London School District","Male",514,"29.4%","51.1%"
"=""0950011""","New London School District","Female",479,"34.4%","56.9%"
"=""0960011""","New Milford School District","Male",801,"38.0%","58.2%"
"=""0960011""","New Milford School District","Female",668,"43.1%","64.7%"
"=""0940011""","Newington School District","Male",784,"34.7%","54.1%"
"=""0940011""","Newington School District","Female",737,"40.0%","62.6%"
"=""0970011""","Newtown School District","Male",877,"43.7%","61.6%"
"=""0970011""","Newtown School District","Female",827,"48.1%","66.4%"
"=""0980011""","Norfolk School District","Male",20,"40.0%","61.8%"
"=""0980011""","Norfolk School District","Female",24,"50.0%","69.2%"
"=""0990011""","North Branford School District","Male",345,"39.1%","62.5%"
"=""0990011""","North Branford School District","Female",360,"47.2%","66.2%"
"=""1000011""","North Canaan School District","Male",56,"53.6%","72.4%"
"=""1000011""","North Canaan School District","Female",54,"63.0%","82.6%"
"=""1010011""","North Haven School District","Male",589,"64.2%","84.1%"
"=""1010011""","North Haven School District","Female",539,"69.9%","90.8%"
"=""1020011""","North Stonington School District","Male",139,"49.6%","66.0%"
"=""1020011""","North Stonington School District","Female",125,"48.8%","66.1%"
"=""1030011""","Norwalk School District","Male",1970,"34.5%","55.9%"
"=""1030011""","Norwalk School District","Female",1879,"36.8%","58.8%"
"=""1040011""","Norwich School District","Male",834,"38.5%","60.9%"
"=""1040011""","Norwich School District","Female",795,"37.2%","59.9%"
"=""2630013""","Odyssey Community School District","Male",92,"38.0%","64.6%"
"=""2630013""","Odyssey Community School District","Female",83,"34.9%","59.2%"
"=""1060011""","Old Saybrook School District","Male",262,"45.4%","63.0%"
"=""1060011""","Old Saybrook School District","Female",239,"45.6%","68.0%"
"=""1070011""","Orange School District","Male",253,"55.3%","76.8%"
"=""1070011""","Orange School District","Female",256,"52.3%","71.2%"
"=""1080011""","Oxford School District","Male",382,"36.6%","54.7%"
"=""1080011""","Oxford School District","Female",394,"41.6%","59.7%"
"=""2830013""","Park City Prep Charter School District","Male",166,"42.8%","67.4%"
"=""2830013""","Park City Prep Charter School District","Female",171,"49.7%","74.1%"
"=""1090011""","Plainfield School District","Male",409,"45.5%","67.7%"
"=""1090011""","Plainfield School District","Female",393,"50.4%","74.0%"
"=""1100011""","Plainville School District","Male",453,"41.1%","63.4%"
"=""1100011""","Plainville School District","Female",403,"44.9%","68.4%"
"=""1110011""","Plymouth School District","Male",277,"44.4%","64.6%"
"=""1110011""","Plymouth School District","Female",259,"43.2%","63.5%"
"=""1120011""","Pomfret School District","Male",116,"47.4%","65.7%"
"=""1120011""","Pomfret School District","Female",105,"56.2%","75.5%"
"=""1130011""","Portland School District","Male",260,"43.8%","64.6%"
"=""1130011""","Portland School District","Female",248,"54.0%","71.3%"
"=""1140011""","Preston School District","Male",98,"34.7%","54.1%"
"=""1140011""","Preston School District","Female",117,"38.5%","56.7%"
"=""1160011""","Putnam School District","Male",201,"44.3%","64.4%"
"=""1160011""","Putnam School District","Female",194,"43.3%","63.7%"
"=""1170011""","Redding School District","Male",273,"49.1%","66.4%"
"=""1170011""","Redding School District","Female",229,"54.1%","72.0%"
"=""2010012""","Regional School District 01","Male","*","*","*"
"=""2040012""","Regional School District 04","Male",150,"39.3%","53.9%"
"=""2040012""","Regional School District 04","Female",150,"46.0%","61.2%"
"=""2050012""","Regional School District 05","Male",358,"50.3%","68.0%"
"=""2050012""","Regional School District 05","Female",356,"51.4%","70.7%"
"=""2060012""","Regional School District 06","Male",120,"38.3%","54.5%"
"=""2060012""","Regional School District 06","Female",124,"52.4%","71.7%"
"=""2070012""","Regional School District 07","Male",156,"44.9%","63.5%"
"=""2070012""","Regional School District 07","Female",133,"49.6%","64.0%"
"=""2080012""","Regional School District 08","Male",267,"31.8%","48.5%"
"=""2080012""","Regional School District 08","Female",282,"41.5%","58.8%"
"=""2100012""","Regional School District 10","Male",484,"41.1%","62.0%"
"=""2100012""","Regional School District 10","Female",427,"45.0%","64.5%"
"=""2110012""","Regional School District 11","Male",46,"45.7%","60.7%"
"=""2110012""","Regional School District 11","Female",36,"50.0%","71.3%"
"=""2120012""","Regional School District 12","Male",122,"54.9%","76.1%"
"=""2120012""","Regional School District 12","Female",133,"54.1%","75.8%"
"=""2130012""","Regional School District 13","Male",355,"42.5%","64.8%"
"=""2130012""","Regional School District 13","Female",315,"52.7%","74.4%"
"=""2140012""","Regional School District 14","Male",265,"33.6%","56.8%"
"=""2140012""","Regional School District 14","Female",278,"44.2%","63.6%"
"=""2150012""","Regional School District 15","Male",755,"48.7%","70.0%"
"=""2150012""","Regional School District 15","Female",714,"54.2%","72.3%"
"=""2160012""","Regional School District 16","Male",416,"44.0%","67.7%"
"=""2160012""","Regional School District 16","Female",382,"43.5%","63.9%"
"=""2170012""","Regional School District 17","Male",479,"48.4%","67.3%"
"=""2170012""","Regional School District 17","Female",408,"54.7%","72.6%"
"=""2180012""","Regional School District 18","Male",253,"49.4%","68.9%"
"=""2180012""","Regional School District 18","Female",251,"54.2%","69.8%"
"=""1180011""","Ridgefield School District","Male",947,"50.3%","67.9%"
"=""1180011""","Ridgefield School District","Female",906,"53.4%","68.8%"
"=""1190011""","Rocky Hill School District","Male",444,"39.9%","58.9%"
"=""1190011""","Rocky Hill School District","Female",442,"48.4%","66.3%"
"=""1210011""","Salem School District","Male",98,"56.1%","79.6%"
"=""1210011""","Salem School District","Female",97,"60.8%","77.8%"
"=""1220011""","Salisbury School District","Male",58,"43.1%","58.8%"
"=""1220011""","Salisbury School District","Female",67,"50.7%","65.5%"
"=""1230011""","Scotland School District","Male",21,"52.4%","71.8%"
"=""1230011""","Scotland School District","Female",23,"69.6%","84.3%"
"=""1240011""","Seymour School District","Male",426,"35.0%","55.0%"
"=""1240011""","Seymour School District","Female",430,"40.7%","59.8%"
"=""1250011""","Sharon School District","Male",30,"43.3%","57.6%"
"=""1250011""","Sharon School District","Female",38,"44.7%","72.7%"
"=""1260011""","Shelton School District","Male",932,"46.2%","66.6%"
"=""1260011""","Shelton School District","Female",906,"54.4%","71.9%"
"=""1270011""","Sherman School District","Male",58,"46.6%","73.9%"
"=""1270011""","Sherman School District","Female",41,"48.8%","65.1%"
"=""2700013""","Side By Side Charter School District","Male",51,"45.1%","65.5%"
"=""2700013""","Side By Side Charter School District","Female",57,"35.1%","55.7%"
"=""1280011""","Simsbury School District","Male",818,"51.8%","71.6%"
"=""1280011""","Simsbury School District","Female",736,"60.6%","76.7%"
"=""1290011""","Somers School District","Male",272,"45.2%","64.8%"
"=""1290011""","Somers School District","Female",264,"48.5%","68.6%"
"=""1320011""","South Windsor School District","Male",772,"47.5%","66.1%"
"=""1320011""","South Windsor School District","Female",740,"51.9%","69.7%"
"=""1310011""","Southington School District","Male",1272,"37.5%","57.4%"
"=""1310011""","Southington School District","Female",1232,"41.8%","61.9%"
"=""1330011""","Sprague School District","Male",89,"39.3%","59.7%"
"=""1330011""","Sprague School District","Female",75,"46.7%","64.4%"
"=""1340011""","Stafford School District","Male",297,"47.5%","68.5%"
"=""1340011""","Stafford School District","Female",238,"41.6%","63.4%"
"=""1350011""","Stamford School District","Male",2626,"39.6%","61.6%"
"=""1350011""","Stamford School District","Female",2612,"43.7%","64.5%"
"=""0000000""","State of Connecticut","Male",94764,"41.0%","61.9%"
"=""0000000""","State of Connecticut","Female",90581,"45.4%","65.7%"
"=""1360011""","Sterling School District","Male",114,"38.6%","60.9%"
"=""1360011""","Sterling School District","Female",113,"44.2%","68.0%"
"=""1370011""","Stonington School District","Male",411,"42.8%","60.6%"
"=""1370011""","Stonington School District","Female",345,"48.1%","62.4%"
"=""1380011""","Stratford School District","Male",1283,"37.4%","57.8%"
"=""1380011""","Stratford School District","Female",1259,"41.2%","63.3%"
"=""1390011""","Suffield School District","Male",396,"42.4%","60.6%"
"=""1390011""","Suffield School District","Female",418,"44.5%","62.0%"
"=""2690013""","The Bridge Academy District","Male",49,"22.4%","45.5%"
"=""2690013""","The Bridge Academy District","Female",48,"29.2%","44.4%"
"=""9020022""","The Gilbert School District","Male",81,"28.4%","44.1%"
"=""9020022""","The Gilbert School District","Female",76,"26.3%","43.3%"
"=""1400011""","Thomaston School District","Male",175,"33.7%","60.3%"
"=""1400011""","Thomaston School District","Female",197,"45.2%","68.1%"
"=""1410011""","Thompson School District","Male",203,"24.6%","46.0%"
"=""1410011""","Thompson School District","Female",168,"25.6%","42.7%"
"=""1420011""","Tolland School District","Male",506,"45.7%","65.2%"
"=""1420011""","Tolland School District","Female",501,"45.9%","63.9%"
"=""1430011""","Torrington School District","Male",792,"29.3%","51.1%"
"=""1430011""","Torrington School District","Female",709,"32.7%","52.0%"
"=""2780013""","Trailblazers Academy District","Male",58,"24.1%","44.3%"
"=""2780013""","Trailblazers Academy District","Female",47,"19.1%","39.0%"
"=""1440011""","Trumbull School District","Male",1205,"66.0%","84.2%"
"=""1440011""","Trumbull School District","Female",1136,"71.6%","89.0%"
"=""3470015""","Unified School District #2","Male","*","*","*"
"=""3470015""","Unified School District #2","Female","*","*","*"
"=""1450011""","Union School District","Male",16,"*","*"
"=""1450011""","Union School District","Female",23,"47.8%","71.3%"
"=""1460011""","Vernon School District","Male",558,"40.0%","60.7%"
"=""1460011""","Vernon School District","Female",517,"40.6%","60.6%"
"=""1470011""","Voluntown School District","Male",76,"32.9%","51.3%"
"=""1470011""","Voluntown School District","Female",68,"41.2%","66.4%"
"=""1480011""","Wallingford School District","Male",1105,"43.0%","65.2%"
"=""1480011""","Wallingford School District","Female",1060,"45.8%","66.4%"
"=""1510011""","Waterbury School District","Male",3168,"32.7%","56.4%"
"=""1510011""","Waterbury School District","Female",3129,"33.8%","57.7%"
"=""1520011""","Waterford School District","Male",485,"42.5%","61.2%"
"=""1520011""","Waterford School District","Female",483,"45.8%","66.4%"
"=""1530011""","Watertown School District","Male",557,"44.2%","67.2%"
"=""1530011""","Watertown School District","Female",488,"47.3%","68.2%"
"=""1550011""","West Hartford School District","Male",1780,"41.5%","59.5%"
"=""1550011""","West Hartford School District","Female",1718,"47.4%","65.6%"
"=""1560011""","West Haven School District","Male",998,"36.7%","59.1%"
"=""1560011""","West Haven School District","Female",1005,"40.1%","63.2%"
"=""1540011""","Westbrook School District","Male",141,"48.9%","69.0%"
"=""1540011""","Westbrook School District","Female",117,"52.1%","73.8%"
"=""1570011""","Weston School District","Male",457,"46.6%","65.5%"
"=""1570011""","Weston School District","Female",428,"52.1%","72.7%"
"=""1580011""","Westport School District","Male",1067,"44.6%","62.3%"
"=""1580011""","Westport School District","Female",996,"49.2%","65.5%"
"=""1590011""","Wethersfield School District","Male",633,"50.9%","70.3%"
"=""1590011""","Wethersfield School District","Female",650,"59.1%","77.6%"
"=""1600011""","Willington School District","Male",110,"46.4%","66.5%"
"=""1600011""","Willington School District","Female",108,"49.1%","71.8%"
"=""1610011""","Wilton School District","Male",817,"54.7%","73.7%"
"=""1610011""","Wilton School District","Female",774,"57.9%","75.7%"
"=""1620011""","Winchester School District","Male",112,"31.3%","55.6%"
"=""1620011""","Winchester School District","Female",105,"49.5%","70.5%"
"=""1630011""","Windham School District","Male",582,"42.4%","65.2%"
"=""1630011""","Windham School District","Female",547,"45.3%","68.8%"
"=""1650011""","Windsor Locks School District","Male",297,"41.8%","66.6%"
"=""1650011""","Windsor Locks School District","Female",285,"44.9%","66.8%"
"=""1640011""","Windsor School District","Male",548,"32.8%","54.3%"
"=""1640011""","Windsor School District","Female",476,"38.2%","57.7%"
"=""1660011""","Wolcott School District","Male",461,"37.3%","58.3%"
"=""1660011""","Wolcott School District","Female",438,"52.1%","70.4%"
"=""1670011""","Woodbridge School District","Male",133,"57.9%","77.3%"
"=""1670011""","Woodbridge School District","Female",153,"69.9%","86.6%"
"=""1690011""","Woodstock School District","Male",233,"34.8%","53.3%"
"=""1690011""","Woodstock School District","Female",224,"50.0%","68.3%"

