"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""2440014""","Area Cooperative Educational Services",5,"High Needs",61,2386,2418,32,"14.8%","46.3%"
"=""2440014""","Area Cooperative Educational Services",5,"Non-High Needs",28,2449,2507,59,"42.9%","76.5%"
"=""2440014""","Area Cooperative Educational Services",6,"High Needs",216,2464,2473,9,"24.1%","42.3%"
"=""2440014""","Area Cooperative Educational Services",6,"Non-High Needs",106,2546,2550,4,"31.1%","49.4%"
"=""2440014""","Area Cooperative Educational Services",7,"High Needs",221,2471,2500,29,"33.5%","54.3%"
"=""2440014""","Area Cooperative Educational Services",7,"Non-High Needs",98,2547,2575,28,"38.8%","61.6%"
"=""2440014""","Area Cooperative Educational Services",8,"High Needs",194,2498,2517,19,"29.4%","48.6%"
"=""2440014""","Area Cooperative Educational Services",8,"Non-High Needs",105,2561,2589,28,"40.0%","59.1%"
"=""0030011""","Ashford School District",4,"High Needs",17,"*","*","*","*","*"
"=""0030011""","Ashford School District",4,"Non-High Needs",24,2503,2535,32,"33.3%","57.4%"
"=""0030011""","Ashford School District",5,"High Needs",9,"*","*","*","*","*"
"=""0030011""","Ashford School District",5,"Non-High Needs",28,2552,2568,16,"42.9%","61.9%"
"=""0030011""","Ashford School District",6,"High Needs",15,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Non-High Needs",21,2525,2550,25,"38.1%","59.5%"
"=""0030011""","Ashford School District",7,"High Needs",17,"*","*","*","*","*"
"=""0030011""","Ashford School District",7,"Non-High Needs",30,2554,2600,47,"50.0%","73.7%"
"=""0030011""","Ashford School District",8,"High Needs",18,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Non-High Needs",16,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"High Needs",19,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"Non-High Needs",182,2512,2557,45,"56.6%","73.9%"
"=""0040011""","Avon School District",5,"High Needs",31,2428,2458,30,"29.0%","55.6%"
"=""0040011""","Avon School District",5,"Non-High Needs",225,2540,2584,44,"56.9%","75.6%"
"=""0040011""","Avon School District",6,"High Needs",25,2484,2522,37,"52.0%","71.1%"
"=""0040011""","Avon School District",6,"Non-High Needs",233,2580,2620,40,"64.4%","81.1%"
"=""0040011""","Avon School District",7,"High Needs",36,2491,2536,45,"47.2%","70.2%"
"=""0040011""","Avon School District",7,"Non-High Needs",220,2613,2650,37,"60.9%","76.3%"
"=""0040011""","Avon School District",8,"High Needs",41,2536,2545,9,"31.7%","45.1%"
"=""0040011""","Avon School District",8,"Non-High Needs",221,2626,2652,26,"53.4%","68.4%"
"=""0050011""","Barkhamsted School District",4,"High Needs",15,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",4,"Non-High Needs",30,2464,2515,51,"63.3%","77.4%"
"=""0050011""","Barkhamsted School District",5,"High Needs",9,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",5,"Non-High Needs",35,2542,2576,34,"45.7%","72.8%"
"=""0050011""","Barkhamsted School District",6,"High Needs",7,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",6,"Non-High Needs",37,2564,2598,34,"43.2%","65.4%"
"=""0070011""","Berlin School District",4,"High Needs",44,2360,2422,62,"38.6%","73.0%"
"=""0070011""","Berlin School District",4,"Non-High Needs",140,2456,2521,65,"57.1%","80.4%"
"=""0070011""","Berlin School District",5,"High Needs",47,2422,2486,64,"46.8%","75.5%"
"=""0070011""","Berlin School District",5,"Non-High Needs",196,2513,2568,55,"52.6%","75.0%"
"=""0070011""","Berlin School District",6,"High Needs",36,2445,2488,43,"58.3%","68.7%"
"=""0070011""","Berlin School District",6,"Non-High Needs",172,2542,2576,34,"49.4%","70.1%"
"=""0070011""","Berlin School District",7,"High Needs",50,2474,2512,38,"42.0%","60.2%"
"=""0070011""","Berlin School District",7,"Non-High Needs",192,2568,2608,40,"51.0%","71.0%"
"=""0070011""","Berlin School District",8,"High Needs",49,2492,2528,36,"38.8%","62.4%"
"=""0070011""","Berlin School District",8,"Non-High Needs",161,2587,2628,41,"60.2%","76.3%"
"=""0080011""","Bethany School District",4,"High Needs",13,"*","*","*","*","*"
"=""0080011""","Bethany School District",4,"Non-High Needs",37,2458,2525,67,"64.9%","85.1%"
"=""0080011""","Bethany School District",5,"High Needs",9,"*","*","*","*","*"
"=""0080011""","Bethany School District",5,"Non-High Needs",47,2538,2583,45,"55.3%","76.3%"
"=""0080011""","Bethany School District",6,"High Needs",10,"*","*","*","*","*"
"=""0080011""","Bethany School District",6,"Non-High Needs",51,2551,2566,15,"41.2%","55.1%"
"=""0090011""","Bethel School District",4,"High Needs",53,2408,2456,48,"41.5%","66.2%"
"=""0090011""","Bethel School District",4,"Non-High Needs",144,2472,2517,45,"45.8%","69.5%"
"=""0090011""","Bethel School District",5,"High Needs",62,2444,2487,44,"46.8%","64.4%"
"=""0090011""","Bethel School District",5,"Non-High Needs",137,2521,2564,42,"48.2%","69.4%"
"=""0090011""","Bethel School District",6,"High Needs",46,2506,2541,35,"45.7%","65.0%"
"=""0090011""","Bethel School District",6,"Non-High Needs",130,2566,2604,38,"61.5%","78.2%"
"=""0090011""","Bethel School District",7,"High Needs",73,2520,2553,33,"37.0%","61.5%"
"=""0090011""","Bethel School District",7,"Non-High Needs",158,2585,2623,39,"59.5%","76.0%"
"=""0090011""","Bethel School District",8,"High Needs",64,2551,2588,37,"50.0%","64.4%"
"=""0090011""","Bethel School District",8,"Non-High Needs",142,2603,2641,38,"56.3%","75.2%"
"=""0110011""","Bloomfield School District",4,"High Needs",62,2397,2441,44,"27.4%","58.4%"
"=""0110011""","Bloomfield School District",4,"Non-High Needs",37,2434,2486,52,"40.5%","68.4%"
"=""0110011""","Bloomfield School District",5,"High Needs",63,2456,2492,36,"25.4%","59.2%"
"=""0110011""","Bloomfield School District",5,"Non-High Needs",50,2485,2518,33,"24.0%","53.7%"
"=""0110011""","Bloomfield School District",6,"High Needs",79,2483,2521,37,"48.1%","67.0%"
"=""0110011""","Bloomfield School District",6,"Non-High Needs",34,2507,2545,38,"41.2%","71.8%"
"=""0110011""","Bloomfield School District",7,"High Needs",63,2493,2519,26,"30.2%","45.7%"
"=""0110011""","Bloomfield School District",7,"Non-High Needs",52,2536,2553,18,"32.7%","45.8%"
"=""0110011""","Bloomfield School District",8,"High Needs",63,2497,2535,38,"46.0%","62.6%"
"=""0110011""","Bloomfield School District",8,"Non-High Needs",60,2550,2589,39,"46.7%","73.8%"
"=""0120011""","Bolton School District",4,"High Needs",10,"*","*","*","*","*"
"=""0120011""","Bolton School District",4,"Non-High Needs",43,2478,2551,73,"67.4%","93.4%"
"=""0120011""","Bolton School District",5,"High Needs",17,"*","*","*","*","*"
"=""0120011""","Bolton School District",5,"Non-High Needs",49,2538,2585,47,"63.3%","79.7%"
"=""0120011""","Bolton School District",6,"High Needs",15,"*","*","*","*","*"
"=""0120011""","Bolton School District",6,"Non-High Needs",46,2594,2621,27,"58.7%","73.0%"
"=""0120011""","Bolton School District",7,"High Needs",18,"*","*","*","*","*"
"=""0120011""","Bolton School District",7,"Non-High Needs",42,2580,2621,41,"61.9%","80.5%"
"=""0120011""","Bolton School District",8,"High Needs",13,"*","*","*","*","*"
"=""0120011""","Bolton School District",8,"Non-High Needs",36,2585,2638,53,"69.4%","82.5%"
"=""0130011""","Bozrah School District",4,"High Needs",7,"*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"Non-High Needs",14,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"High Needs",12,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"Non-High Needs",17,"*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"High Needs","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"Non-High Needs","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"High Needs",8,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Non-High Needs",8,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"High Needs",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Non-High Needs",14,"*","*","*","*","*"
"=""0140011""","Branford School District",4,"High Needs",65,2411,2468,57,"52.3%","74.7%"
"=""0140011""","Branford School District",4,"Non-High Needs",140,2467,2524,56,"57.1%","78.5%"
"=""0140011""","Branford School District",5,"High Needs",74,2447,2501,54,"43.2%","69.1%"
"=""0140011""","Branford School District",5,"Non-High Needs",140,2527,2567,40,"42.9%","66.2%"
"=""0140011""","Branford School District",6,"High Needs",75,2460,2487,27,"37.3%","54.2%"
"=""0140011""","Branford School District",6,"Non-High Needs",129,2543,2564,21,"40.3%","54.7%"
"=""0140011""","Branford School District",7,"High Needs",61,2503,2539,36,"37.7%","57.3%"
"=""0140011""","Branford School District",7,"Non-High Needs",141,2568,2608,41,"53.9%","71.2%"
"=""0140011""","Branford School District",8,"High Needs",68,2519,2533,14,"27.9%","44.5%"
"=""0140011""","Branford School District",8,"Non-High Needs",154,2602,2612,10,"35.7%","51.9%"
"=""2850013""","Bridgeport Achievement First District",4,"High Needs",70,2382,2489,107,"78.6%","93.3%"
"=""2850013""","Bridgeport Achievement First District",4,"Non-High Needs",16,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",5,"High Needs",66,2448,2464,16,"21.2%","38.4%"
"=""2850013""","Bridgeport Achievement First District",5,"Non-High Needs",16,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",6,"High Needs",75,2451,2482,30,"38.7%","59.8%"
"=""2850013""","Bridgeport Achievement First District",6,"Non-High Needs",11,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",7,"High Needs",69,2494,2519,25,"29.0%","47.3%"
"=""2850013""","Bridgeport Achievement First District",7,"Non-High Needs",14,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",8,"High Needs",74,2509,2584,75,"66.2%","91.8%"
"=""2850013""","Bridgeport Achievement First District",8,"Non-High Needs",11,"*","*","*","*","*"
"=""0150011""","Bridgeport School District",4,"High Needs",1572,2367,2402,34,"23.9%","50.7%"
"=""0150011""","Bridgeport School District",5,"High Needs",1405,2395,2437,42,"30.7%","58.0%"
"=""0150011""","Bridgeport School District",6,"High Needs",1187,2430,2466,35,"36.4%","57.7%"
"=""0150011""","Bridgeport School District",7,"High Needs",1167,2462,2496,33,"34.4%","55.8%"
"=""0150011""","Bridgeport School District",8,"High Needs",1265,2484,2507,23,"31.9%","51.7%"
"=""0170011""","Bristol School District",4,"High Needs",297,2392,2444,51,"38.7%","66.4%"
"=""0170011""","Bristol School District",4,"Non-High Needs",235,2465,2524,59,"54.9%","77.4%"
"=""0170011""","Bristol School District",5,"High Needs",328,2431,2480,49,"39.6%","65.9%"
"=""0170011""","Bristol School District",5,"Non-High Needs",287,2513,2552,40,"43.6%","66.8%"
"=""0170011""","Bristol School District",6,"High Needs",274,2463,2494,31,"38.3%","59.0%"
"=""0170011""","Bristol School District",6,"Non-High Needs",255,2541,2572,31,"42.4%","65.4%"
"=""0170011""","Bristol School District",7,"High Needs",295,2479,2516,38,"39.7%","61.4%"
"=""0170011""","Bristol School District",7,"Non-High Needs",273,2554,2592,37,"47.6%","68.2%"
"=""0170011""","Bristol School District",8,"High Needs",259,2514,2540,26,"40.5%","57.5%"
"=""0170011""","Bristol School District",8,"Non-High Needs",262,2590,2609,19,"37.4%","55.8%"
"=""0180011""","Brookfield School District",4,"High Needs",43,2412,2451,40,"27.9%","54.9%"
"=""0180011""","Brookfield School District",4,"Non-High Needs",161,2484,2524,40,"39.1%","64.0%"
"=""0180011""","Brookfield School District",5,"High Needs",28,2447,2483,36,"25.0%","48.1%"
"=""0180011""","Brookfield School District",5,"Non-High Needs",140,2522,2563,41,"47.1%","67.0%"
"=""0180011""","Brookfield School District",6,"High Needs",31,2455,2490,34,"35.5%","54.5%"
"=""0180011""","Brookfield School District",6,"Non-High Needs",156,2555,2581,25,"47.4%","64.7%"
"=""0180011""","Brookfield School District",7,"High Needs",33,2475,2507,32,"39.4%","55.6%"
"=""0180011""","Brookfield School District",7,"Non-High Needs",183,2569,2600,31,"42.6%","63.2%"
"=""0180011""","Brookfield School District",8,"High Needs",40,2532,2554,23,"37.5%","51.3%"
"=""0180011""","Brookfield School District",8,"Non-High Needs",142,2613,2642,30,"54.9%","69.9%"
"=""0190011""","Brooklyn School District",4,"High Needs",26,2417,2481,65,"42.3%","75.2%"
"=""0190011""","Brooklyn School District",4,"Non-High Needs",46,2477,2546,69,"69.6%","87.6%"
"=""0190011""","Brooklyn School District",5,"High Needs",30,2481,2498,17,"16.7%","40.1%"
"=""0190011""","Brooklyn School District",5,"Non-High Needs",68,2529,2564,35,"39.7%","63.3%"
"=""0190011""","Brooklyn School District",6,"High Needs",26,2470,2534,65,"57.7%","84.5%"
"=""0190011""","Brooklyn School District",6,"Non-High Needs",48,2548,2613,65,"72.9%","90.6%"
"=""0190011""","Brooklyn School District",7,"High Needs",21,2554,2572,18,"33.3%","54.6%"
"=""0190011""","Brooklyn School District",7,"Non-High Needs",55,2592,2607,15,"40.0%","55.0%"
"=""0190011""","Brooklyn School District",8,"High Needs",35,2515,2564,48,"48.6%","72.5%"
"=""0190011""","Brooklyn School District",8,"Non-High Needs",68,2600,2627,27,"51.5%","64.8%"
"=""0210011""","Canaan School District",4,"Non-High Needs","*","*","*","*","*","*"
"=""0210011""","Canaan School District",5,"High Needs","*","*","*","*","*","*"
"=""0210011""","Canaan School District",5,"Non-High Needs","*","*","*","*","*","*"
"=""0210011""","Canaan School District",6,"High Needs","*","*","*","*","*","*"
"=""0210011""","Canaan School District",6,"Non-High Needs","*","*","*","*","*","*"
"=""0210011""","Canaan School District",7,"High Needs","*","*","*","*","*","*"
"=""0210011""","Canaan School District",7,"Non-High Needs","*","*","*","*","*","*"
"=""0210011""","Canaan School District",8,"High Needs","*","*","*","*","*","*"
"=""0210011""","Canaan School District",8,"Non-High Needs","*","*","*","*","*","*"
"=""0220011""","Canterbury School District",4,"High Needs",9,"*","*","*","*","*"
"=""0220011""","Canterbury School District",4,"Non-High Needs",27,2457,2506,49,"44.4%","76.0%"
"=""0220011""","Canterbury School District",5,"High Needs",23,2459,2492,33,"39.1%","60.0%"
"=""0220011""","Canterbury School District",5,"Non-High Needs",27,2488,2541,53,"44.4%","73.5%"
"=""0220011""","Canterbury School District",6,"High Needs",12,"*","*","*","*","*"
"=""0220011""","Canterbury School District",6,"Non-High Needs",22,2503,2556,53,"54.5%","73.9%"
"=""0220011""","Canterbury School District",7,"High Needs",23,2480,2545,64,"69.6%","93.5%"
"=""0220011""","Canterbury School District",7,"Non-High Needs",47,2519,2567,48,"51.1%","75.4%"
"=""0220011""","Canterbury School District",8,"High Needs",19,"*","*","*","*","*"
"=""0220011""","Canterbury School District",8,"Non-High Needs",39,2586,2588,2,"23.1%","35.6%"
"=""0230011""","Canton School District",4,"High Needs",26,2439,2467,28,"30.8%","51.2%"
"=""0230011""","Canton School District",4,"Non-High Needs",86,2495,2541,45,"53.5%","73.1%"
"=""0230011""","Canton School District",5,"High Needs",25,2425,2466,41,"24.0%","58.5%"
"=""0230011""","Canton School District",5,"Non-High Needs",104,2529,2577,48,"55.8%","76.7%"
"=""0230011""","Canton School District",6,"High Needs",25,2470,2508,39,"40.0%","65.8%"
"=""0230011""","Canton School District",6,"Non-High Needs",107,2561,2604,43,"58.9%","78.1%"
"=""0230011""","Canton School District",7,"High Needs",30,2507,2521,13,"20.0%","48.4%"
"=""0230011""","Canton School District",7,"Non-High Needs",106,2594,2625,30,"53.8%","69.8%"
"=""0230011""","Canton School District",8,"High Needs",33,2513,2560,47,"57.6%","73.1%"
"=""0230011""","Canton School District",8,"Non-High Needs",102,2608,2641,32,"55.9%","72.8%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",6,"High Needs",20,2430,2450,21,"30.0%","49.4%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",6,"Non-High Needs",6,"*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",7,"High Needs",23,2474,2499,26,"30.4%","41.8%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",7,"Non-High Needs",9,"*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",8,"High Needs",15,"*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",8,"Non-High Needs",15,"*","*","*","*","*"
"=""2410014""","Capitol Region Education Council",4,"High Needs",198,2379,2431,53,"33.3%","65.4%"
"=""2410014""","Capitol Region Education Council",4,"Non-High Needs",149,2475,2530,55,"56.4%","80.1%"
"=""2410014""","Capitol Region Education Council",5,"High Needs",182,2408,2466,58,"40.1%","69.6%"
"=""2410014""","Capitol Region Education Council",5,"Non-High Needs",130,2507,2555,47,"53.8%","72.0%"
"=""2410014""","Capitol Region Education Council",6,"High Needs",331,2458,2480,22,"32.3%","49.8%"
"=""2410014""","Capitol Region Education Council",6,"Non-High Needs",255,2530,2552,22,"37.3%","58.0%"
"=""2410014""","Capitol Region Education Council",7,"High Needs",419,2479,2514,35,"35.3%","58.7%"
"=""2410014""","Capitol Region Education Council",7,"Non-High Needs",253,2564,2594,30,"43.9%","63.3%"
"=""2410014""","Capitol Region Education Council",8,"High Needs",324,2504,2532,27,"37.7%","57.2%"
"=""2410014""","Capitol Region Education Council",8,"Non-High Needs",298,2586,2612,25,"46.3%","62.3%"
"=""0240011""","Chaplin School District",4,"High Needs","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",4,"Non-High Needs","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",5,"High Needs","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",5,"Non-High Needs","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",6,"High Needs","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",6,"Non-High Needs","*","*","*","*","*","*"
"=""0250011""","Cheshire School District",4,"High Needs",50,2386,2470,85,"60.0%","86.5%"
"=""0250011""","Cheshire School District",4,"Non-High Needs",228,2486,2548,62,"65.4%","82.5%"
"=""0250011""","Cheshire School District",5,"High Needs",52,2450,2498,47,"32.7%","64.3%"
"=""0250011""","Cheshire School District",5,"Non-High Needs",285,2549,2601,52,"67.0%","86.4%"
"=""0250011""","Cheshire School District",6,"High Needs",58,2480,2514,33,"39.7%","58.3%"
"=""0250011""","Cheshire School District",6,"Non-High Needs",318,2571,2605,33,"57.9%","72.5%"
"=""0250011""","Cheshire School District",7,"High Needs",69,2507,2533,26,"39.1%","60.2%"
"=""0250011""","Cheshire School District",7,"Non-High Needs",284,2606,2623,16,"39.1%","54.7%"
"=""0250011""","Cheshire School District",8,"High Needs",40,2522,2548,26,"42.5%","59.6%"
"=""0250011""","Cheshire School District",8,"Non-High Needs",304,2615,2634,19,"46.4%","61.1%"
"=""0260011""","Chester School District",4,"High Needs",12,"*","*","*","*","*"
"=""0260011""","Chester School District",4,"Non-High Needs",15,"*","*","*","*","*"
"=""0260011""","Chester School District",5,"High Needs",7,"*","*","*","*","*"
"=""0260011""","Chester School District",5,"Non-High Needs",27,2559,2592,33,"51.9%","75.6%"
"=""0260011""","Chester School District",6,"High Needs",7,"*","*","*","*","*"
"=""0260011""","Chester School District",6,"Non-High Needs",32,2590,2613,23,"50.0%","64.0%"
"=""0270011""","Clinton School District",4,"High Needs",48,2399,2445,46,"29.2%","58.9%"
"=""0270011""","Clinton School District",4,"Non-High Needs",86,2494,2536,42,"44.2%","71.2%"
"=""0270011""","Clinton School District",5,"High Needs",43,2454,2487,33,"27.9%","57.4%"
"=""0270011""","Clinton School District",5,"Non-High Needs",124,2536,2577,41,"50.8%","71.9%"
"=""0270011""","Clinton School District",6,"High Needs",46,2505,2519,14,"30.4%","51.3%"
"=""0270011""","Clinton School District",6,"Non-High Needs",84,2565,2597,31,"46.4%","67.8%"
"=""0270011""","Clinton School District",7,"High Needs",44,2500,2512,12,"20.5%","38.0%"
"=""0270011""","Clinton School District",7,"Non-High Needs",97,2596,2611,16,"45.4%","56.0%"
"=""0270011""","Clinton School District",8,"High Needs",42,2525,2553,28,"31.0%","56.3%"
"=""0270011""","Clinton School District",8,"Non-High Needs",111,2595,2632,37,"59.5%","72.8%"
"=""0280011""","Colchester School District",4,"High Needs",40,2398,2464,66,"50.0%","77.1%"
"=""0280011""","Colchester School District",4,"Non-High Needs",121,2477,2535,58,"58.7%","80.3%"
"=""0280011""","Colchester School District",5,"High Needs",55,2444,2493,50,"36.4%","68.6%"
"=""0280011""","Colchester School District",5,"Non-High Needs",137,2524,2578,54,"57.7%","82.7%"
"=""0280011""","Colchester School District",6,"High Needs",65,2485,2524,39,"44.6%","67.1%"
"=""0280011""","Colchester School District",6,"Non-High Needs",136,2571,2603,33,"55.1%","72.9%"
"=""0280011""","Colchester School District",7,"High Needs",46,2524,2557,33,"34.8%","52.7%"
"=""0280011""","Colchester School District",7,"Non-High Needs",146,2592,2614,22,"41.8%","60.9%"
"=""0280011""","Colchester School District",8,"High Needs",54,2538,2568,30,"35.2%","58.4%"
"=""0280011""","Colchester School District",8,"Non-High Needs",135,2620,2640,20,"46.7%","59.8%"
"=""0290011""","Colebrook School District",4,"High Needs","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",4,"Non-High Needs","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",5,"High Needs","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",5,"Non-High Needs","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",6,"High Needs","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",6,"Non-High Needs","*","*","*","*","*","*"
"=""0300011""","Columbia School District",4,"High Needs",13,"*","*","*","*","*"
"=""0300011""","Columbia School District",4,"Non-High Needs",22,2469,2542,73,"72.7%","98.6%"
"=""0300011""","Columbia School District",5,"High Needs",10,"*","*","*","*","*"
"=""0300011""","Columbia School District",5,"Non-High Needs",41,2504,2537,33,"36.6%","54.6%"
"=""0300011""","Columbia School District",6,"High Needs",12,"*","*","*","*","*"
"=""0300011""","Columbia School District",6,"Non-High Needs",24,2549,2587,38,"58.3%","75.8%"
"=""0300011""","Columbia School District",7,"High Needs",13,"*","*","*","*","*"
"=""0300011""","Columbia School District",7,"Non-High Needs",35,2576,2617,41,"54.3%","69.7%"
"=""0300011""","Columbia School District",8,"High Needs",14,"*","*","*","*","*"
"=""0300011""","Columbia School District",8,"Non-High Needs",44,2603,2628,24,"40.9%","56.1%"
"=""2430014""","Cooperative Educational Services",4,"High Needs",31,2372,2425,53,"29.0%","60.7%"
"=""2430014""","Cooperative Educational Services",4,"Non-High Needs",36,2422,2495,73,"66.7%","82.6%"
"=""2430014""","Cooperative Educational Services",5,"High Needs",25,2414,2427,13,"12.0%","39.7%"
"=""2430014""","Cooperative Educational Services",5,"Non-High Needs",25,2494,2533,39,"32.0%","56.4%"
"=""2430014""","Cooperative Educational Services",6,"High Needs",29,2463,2507,44,"44.8%","65.6%"
"=""2430014""","Cooperative Educational Services",6,"Non-High Needs",28,2515,2553,38,"50.0%","76.2%"
"=""2430014""","Cooperative Educational Services",7,"High Needs",27,2500,2506,5,"18.5%","37.6%"
"=""2430014""","Cooperative Educational Services",7,"Non-High Needs",14,"*","*","*","*","*"
"=""2430014""","Cooperative Educational Services",8,"High Needs",34,2459,2491,32,"26.5%","50.8%"
"=""2430014""","Cooperative Educational Services",8,"Non-High Needs",18,"*","*","*","*","*"
"=""0310011""","Cornwall School District",4,"Non-High Needs","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",5,"High Needs","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",5,"Non-High Needs","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",6,"High Needs","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",6,"Non-High Needs","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",7,"High Needs","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",7,"Non-High Needs","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",8,"High Needs","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",8,"Non-High Needs","*","*","*","*","*","*"
"=""0320011""","Coventry School District",4,"High Needs",26,2428,2484,56,"50.0%","68.7%"
"=""0320011""","Coventry School District",4,"Non-High Needs",92,2463,2532,69,"65.2%","85.8%"
