"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0240011""","Chaplin School District","Eligible for Free Lunch",18,"*","*"
"=""0240011""","Chaplin School District","Not Eligible for Free/Reduced Lunch",18,"*","*"
"=""0240011""","Chaplin School District","Eligible for Reduced Lunch",7,"*","*"
"=""0250011""","Cheshire School District","Eligible for Free Lunch",115,"40.9%","62.2%"
"=""0250011""","Cheshire School District","Not Eligible for Free/Reduced Lunch",1545,"53.6%","70.4%"
"=""0250011""","Cheshire School District","Eligible for Reduced Lunch",28,"53.6%","79.2%"
"=""0260011""","Chester School District","Eligible for Free Lunch","*","*","*"
"=""0260011""","Chester School District","Not Eligible for Free/Reduced Lunch",93,"50.5%","69.2%"
"=""0260011""","Chester School District","Eligible for Reduced Lunch","*","*","*"
"=""0270011""","Clinton School District","Eligible for Free Lunch",119,"24.4%","49.8%"
"=""0270011""","Clinton School District","Not Eligible for Free/Reduced Lunch",569,"46.9%","66.2%"
"=""0270011""","Clinton School District","Eligible for Reduced Lunch",37,"43.2%","63.6%"
"=""0280011""","Colchester School District","Eligible for Free Lunch",131,"38.9%","64.6%"
"=""0280011""","Colchester School District","Not Eligible for Free/Reduced Lunch",764,"50.5%","70.5%"
"=""0280011""","Colchester School District","Eligible for Reduced Lunch",40,"40.0%","60.4%"
"=""0290011""","Colebrook School District","Eligible for Free Lunch","*","*","*"
"=""0290011""","Colebrook School District","Not Eligible for Free/Reduced Lunch",26,"57.7%","77.0%"
"=""0290011""","Colebrook School District","Eligible for Reduced Lunch","*","*","*"
"=""0300011""","Columbia School District","Eligible for Free Lunch",30,"46.7%","68.9%"
"=""0300011""","Columbia School District","Not Eligible for Free/Reduced Lunch",189,"47.1%","66.6%"
"=""0300011""","Columbia School District","Eligible for Reduced Lunch",9,"*","*"
"=""2430014""","Cooperative Educational Services","Eligible for Free Lunch",66,"28.8%","49.3%"
"=""2430014""","Cooperative Educational Services","Not Eligible for Free/Reduced Lunch",172,"40.7%","62.2%"
"=""2430014""","Cooperative Educational Services","Eligible for Reduced Lunch",29,"24.1%","60.3%"
"=""0310011""","Cornwall School District","Eligible for Free Lunch",7,"*","*"
"=""0310011""","Cornwall School District","Not Eligible for Free/Reduced Lunch",38,"44.7%","63.6%"
"=""0320011""","Coventry School District","Eligible for Free Lunch",88,"50.0%","75.2%"
"=""0320011""","Coventry School District","Not Eligible for Free/Reduced Lunch",492,"56.5%","77.5%"
"=""0320011""","Coventry School District","Eligible for Reduced Lunch",26,"34.6%","64.7%"
"=""0330011""","Cromwell School District","Eligible for Free Lunch",107,"35.5%","61.5%"
"=""0330011""","Cromwell School District","Not Eligible for Free/Reduced Lunch",613,"45.0%","66.7%"
"=""0330011""","Cromwell School District","Eligible for Reduced Lunch",33,"57.6%","74.5%"
"=""0340011""","Danbury School District","Eligible for Free Lunch",1667,"40.1%","63.7%"
"=""0340011""","Danbury School District","Not Eligible for Free/Reduced Lunch",1546,"43.3%","63.9%"
"=""0340011""","Danbury School District","Eligible for Reduced Lunch",463,"38.9%","64.3%"
"=""0350011""","Darien School District","Eligible for Free Lunch",32,"31.3%","61.3%"
"=""0350011""","Darien School District","Not Eligible for Free/Reduced Lunch",1765,"60.1%","76.9%"
"=""0350011""","Darien School District","Eligible for Reduced Lunch",11,"*","*"
"=""0360011""","Deep River School District","Eligible for Free Lunch","*","*","*"
"=""0360011""","Deep River School District","Not Eligible for Free/Reduced Lunch",122,"52.5%","69.2%"
"=""0360011""","Deep River School District","Eligible for Reduced Lunch","*","*","*"
"=""0370011""","Derby School District","Eligible for Free Lunch",256,"26.2%","48.4%"
"=""0370011""","Derby School District","Not Eligible for Free/Reduced Lunch",225,"36.9%","56.8%"
"=""0370011""","Derby School District","Eligible for Reduced Lunch",39,"35.9%","58.7%"
"=""0400011""","East Granby School District","Eligible for Free Lunch",50,"22.0%","44.5%"
"=""0400011""","East Granby School District","Not Eligible for Free/Reduced Lunch",260,"44.2%","62.8%"
"=""0410011""","East Haddam School District","Eligible for Free Lunch",47,"31.9%","53.3%"
"=""0410011""","East Haddam School District","Not Eligible for Free/Reduced Lunch",339,"50.7%","65.8%"
"=""0410011""","East Haddam School District","Eligible for Reduced Lunch",8,"*","*"
"=""0420011""","East Hampton School District","Eligible for Free Lunch",74,"24.3%","45.6%"
"=""0420011""","East Hampton School District","Not Eligible for Free/Reduced Lunch",558,"35.8%","54.2%"
"=""0420011""","East Hampton School District","Eligible for Reduced Lunch",16,"*","*"
"=""0430011""","East Hartford School District","Eligible for Free Lunch",1322,"33.8%","58.2%"
"=""0430011""","East Hartford School District","Not Eligible for Free/Reduced Lunch",714,"39.9%","62.1%"
"=""0430011""","East Hartford School District","Eligible for Reduced Lunch",156,"36.5%","58.9%"
"=""0440011""","East Haven School District","Eligible for Free Lunch",406,"42.6%","67.0%"
"=""0440011""","East Haven School District","Not Eligible for Free/Reduced Lunch",528,"42.8%","68.0%"
"=""0440011""","East Haven School District","Eligible for Reduced Lunch",125,"40.8%","67.6%"
"=""0450011""","East Lyme School District","Eligible for Free Lunch",134,"35.1%","56.1%"
"=""0450011""","East Lyme School District","Not Eligible for Free/Reduced Lunch",788,"49.4%","66.9%"
"=""0450011""","East Lyme School District","Eligible for Reduced Lunch",39,"41.0%","55.4%"
"=""0470011""","East Windsor School District","Eligible for Free Lunch",132,"32.6%","57.2%"
"=""0470011""","East Windsor School District","Not Eligible for Free/Reduced Lunch",188,"32.4%","57.7%"
"=""0470011""","East Windsor School District","Eligible for Reduced Lunch",25,"44.0%","69.7%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Eligible for Free Lunch",18,"*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Eligible for Reduced Lunch","*","*","*"
"=""0390011""","Eastford School District","Eligible for Free Lunch",11,"*","*"
"=""0390011""","Eastford School District","Not Eligible for Free/Reduced Lunch",56,"37.5%","59.6%"
"=""0460011""","Easton School District","Eligible for Free Lunch","*","57.1%","72.1%"
"=""0460011""","Easton School District","Not Eligible for Free/Reduced Lunch",475,"58.1%","76.9%"
"=""0460011""","Easton School District","Eligible for Reduced Lunch","*","*","*"
"=""2420014""","EdAdvance","Eligible for Free Lunch","*","*","*"
"=""0480011""","Ellington School District","Eligible for Free Lunch",87,"33.3%","58.7%"
"=""0480011""","Ellington School District","Not Eligible for Free/Reduced Lunch",914,"46.6%","65.9%"
"=""0480011""","Ellington School District","Eligible for Reduced Lunch",12,"*","*"
"=""2890013""","Elm City College Preparatory School District","Eligible for Free Lunch",215,"53.5%","76.0%"
"=""2890013""","Elm City College Preparatory School District","Not Eligible for Free/Reduced Lunch",59,"67.8%","82.1%"
"=""2890013""","Elm City College Preparatory School District","Eligible for Reduced Lunch",36,"38.9%","60.4%"
"=""0490011""","Enfield School District","Eligible for Free Lunch",536,"36.8%","61.4%"
"=""0490011""","Enfield School District","Not Eligible for Free/Reduced Lunch",1043,"50.0%","70.7%"
"=""0490011""","Enfield School District","Eligible for Reduced Lunch",135,"37.8%","58.5%"
"=""0500011""","Essex School District","Eligible for Free Lunch",9,"*","*"
"=""0500011""","Essex School District","Not Eligible for Free/Reduced Lunch",166,"50.6%","69.6%"
"=""0500011""","Essex School District","Eligible for Reduced Lunch",7,"*","*"
"=""0510011""","Fairfield School District","Eligible for Free Lunch",293,"44.7%","66.8%"
"=""0510011""","Fairfield School District","Not Eligible for Free/Reduced Lunch",3444,"50.9%","70.3%"
"=""0510011""","Fairfield School District","Eligible for Reduced Lunch",67,"41.8%","64.9%"
"=""0520011""","Farmington School District","Eligible for Free Lunch",142,"38.0%","60.3%"
"=""0520011""","Farmington School District","Not Eligible for Free/Reduced Lunch",1352,"55.3%","73.1%"
"=""0520011""","Farmington School District","Eligible for Reduced Lunch",18,"*","*"
"=""0530011""","Franklin School District","Eligible for Free Lunch",13,"*","*"
"=""0530011""","Franklin School District","Not Eligible for Free/Reduced Lunch",75,"38.7%","54.8%"
"=""0540011""","Glastonbury School District","Eligible for Free Lunch",173,"34.1%","54.8%"
"=""0540011""","Glastonbury School District","Not Eligible for Free/Reduced Lunch",2096,"52.4%","69.7%"
"=""0540011""","Glastonbury School District","Eligible for Reduced Lunch",46,"34.8%","54.5%"
"=""0560011""","Granby School District","Eligible for Free Lunch",59,"33.9%","54.6%"
"=""0560011""","Granby School District","Not Eligible for Free/Reduced Lunch",613,"61.0%","78.9%"
"=""0560011""","Granby School District","Eligible for Reduced Lunch",15,"*","*"
"=""2940013""","Great Oaks Charter School District","Eligible for Free Lunch",142,"38.7%","57.6%"
"=""2940013""","Great Oaks Charter School District","Not Eligible for Free/Reduced Lunch",36,"50.0%","71.2%"
"=""2940013""","Great Oaks Charter School District","Eligible for Reduced Lunch",28,"35.7%","57.7%"
"=""0570011""","Greenwich School District","Eligible for Free Lunch",340,"40.9%","63.3%"
"=""0570011""","Greenwich School District","Not Eligible for Free/Reduced Lunch",2582,"56.0%","73.2%"
"=""0570011""","Greenwich School District","Eligible for Reduced Lunch",103,"44.7%","64.4%"
"=""0580011""","Griswold School District","Eligible for Free Lunch",218,"34.4%","56.7%"
"=""0580011""","Griswold School District","Not Eligible for Free/Reduced Lunch",374,"46.5%","68.2%"
"=""0580011""","Griswold School District","Eligible for Reduced Lunch",43,"44.2%","60.0%"
"=""0590011""","Groton School District","Eligible for Free Lunch",471,"36.5%","56.0%"
"=""0590011""","Groton School District","Not Eligible for Free/Reduced Lunch",773,"44.2%","64.2%"
"=""0590011""","Groton School District","Eligible for Reduced Lunch",159,"39.0%","61.4%"
"=""0600011""","Guilford School District","Eligible for Free Lunch",84,"48.8%","66.6%"
"=""0600011""","Guilford School District","Not Eligible for Free/Reduced Lunch",1188,"54.6%","73.0%"
"=""0600011""","Guilford School District","Eligible for Reduced Lunch",31,"48.4%","59.9%"
"=""0620011""","Hamden School District","Eligible for Free Lunch",620,"31.8%","54.1%"
"=""0620011""","Hamden School District","Not Eligible for Free/Reduced Lunch",1069,"40.3%","59.0%"
"=""0620011""","Hamden School District","Eligible for Reduced Lunch",146,"38.4%","58.5%"
"=""0630011""","Hampton School District","Eligible for Free Lunch","*","*","*"
"=""0630011""","Hampton School District","Not Eligible for Free/Reduced Lunch",20,"55.0%","80.4%"
"=""0630011""","Hampton School District","Eligible for Reduced Lunch","*","*","*"
"=""0640011""","Hartford School District","Eligible for Free Lunch",5643,"30.7%","53.7%"
"=""0640011""","Hartford School District","Not Eligible for Free/Reduced Lunch",1045,"40.6%","58.9%"
"=""0640011""","Hartford School District","Eligible for Reduced Lunch",120,"30.8%","49.3%"
"=""0650011""","Hartland School District","Eligible for Free Lunch","*","*","*"
"=""0650011""","Hartland School District","Not Eligible for Free/Reduced Lunch",91,"59.3%","81.0%"
"=""0650011""","Hartland School District","Eligible for Reduced Lunch","*","*","*"
"=""0670011""","Hebron School District","Eligible for Free Lunch",29,"31.0%","68.7%"
"=""0670011""","Hebron School District","Not Eligible for Free/Reduced Lunch",305,"46.9%","69.3%"
"=""0670011""","Hebron School District","Eligible for Reduced Lunch",7,"*","*"
"=""2860013""","Highville Charter School District","Eligible for Free Lunch",87,"44.8%","62.9%"
"=""2860013""","Highville Charter School District","Not Eligible for Free/Reduced Lunch",65,"16.9%","39.4%"
"=""2860013""","Highville Charter School District","Eligible for Reduced Lunch",29,"31.0%","65.1%"
"=""2640013""","Integrated Day Charter School District","Eligible for Free Lunch",37,"27.0%","43.4%"
"=""2640013""","Integrated Day Charter School District","Not Eligible for Free/Reduced Lunch",103,"32.0%","54.4%"
"=""2640013""","Integrated Day Charter School District","Eligible for Reduced Lunch",17,"*","*"
"=""2650013""","Interdistrict School for Arts and Comm District","Eligible for Free Lunch",147,"31.3%","45.5%"
"=""2650013""","Interdistrict School for Arts and Comm District","Not Eligible for Free/Reduced Lunch",75,"36.0%","52.1%"
"=""2650013""","Interdistrict School for Arts and Comm District","Eligible for Reduced Lunch",32,"31.3%","45.7%"
"=""2610013""","Jumoke Academy District","Eligible for Free Lunch",175,"33.7%","53.7%"
"=""2610013""","Jumoke Academy District","Not Eligible for Free/Reduced Lunch",102,"40.2%","60.2%"
"=""2610013""","Jumoke Academy District","Eligible for Reduced Lunch",48,"27.1%","45.2%"
"=""0680011""","Kent School District","Eligible for Free Lunch","*","*","*"
"=""0680011""","Kent School District","Not Eligible for Free/Reduced Lunch",108,"50.0%","65.0%"
"=""0680011""","Kent School District","Eligible for Reduced Lunch","*","*","*"
"=""0690011""","Killingly School District","Eligible for Free Lunch",277,"45.8%","66.8%"
"=""0690011""","Killingly School District","Not Eligible for Free/Reduced Lunch",423,"49.2%","70.9%"
"=""0690011""","Killingly School District","Eligible for Reduced Lunch",73,"56.2%","77.9%"
"=""2450014""","Learn","Eligible for Free Lunch",146,"39.7%","66.9%"
"=""2450014""","Learn","Not Eligible for Free/Reduced Lunch",133,"54.1%","78.1%"
"=""2450014""","Learn","Eligible for Reduced Lunch",17,"*","*"
"=""0710011""","Lebanon School District","Eligible for Free Lunch",50,"46.0%","68.2%"
"=""0710011""","Lebanon School District","Not Eligible for Free/Reduced Lunch",270,"51.5%","66.8%"
"=""0710011""","Lebanon School District","Eligible for Reduced Lunch",17,"*","*"
"=""0720011""","Ledyard School District","Eligible for Free Lunch",119,"28.6%","50.4%"
"=""0720011""","Ledyard School District","Not Eligible for Free/Reduced Lunch",617,"45.1%","64.5%"
"=""0720011""","Ledyard School District","Eligible for Reduced Lunch",40,"37.5%","58.1%"
"=""0730011""","Lisbon School District","Eligible for Free Lunch",43,"34.9%","53.0%"
"=""0730011""","Lisbon School District","Not Eligible for Free/Reduced Lunch",151,"37.7%","58.3%"
"=""0730011""","Lisbon School District","Eligible for Reduced Lunch",9,"*","*"
"=""0740011""","Litchfield School District","Eligible for Free Lunch","*","53.1%","75.4%"
"=""0740011""","Litchfield School District","Not Eligible for Free/Reduced Lunch",320,"57.5%","75.4%"
"=""0740011""","Litchfield School District","Eligible for Reduced Lunch","*","*","*"
"=""0760011""","Madison School District","Eligible for Free Lunch",22,"13.6%","38.2%"
"=""0760011""","Madison School District","Not Eligible for Free/Reduced Lunch",930,"37.5%","54.7%"
"=""0760011""","Madison School District","Eligible for Reduced Lunch",12,"*","*"
"=""0770011""","Manchester School District","Eligible for Free Lunch",1024,"30.8%","53.7%"
"=""0770011""","Manchester School District","Not Eligible for Free/Reduced Lunch",792,"40.8%","62.3%"
"=""0770011""","Manchester School District","Eligible for Reduced Lunch",146,"32.9%","55.2%"
"=""0780011""","Mansfield School District","Eligible for Free Lunch",109,"42.2%","64.6%"
"=""0780011""","Mansfield School District","Not Eligible for Free/Reduced Lunch",404,"53.0%","69.2%"
"=""0780011""","Mansfield School District","Eligible for Reduced Lunch",24,"58.3%","69.4%"
"=""0790011""","Marlborough School District","Eligible for Free Lunch","*","45.8%","73.7%"
"=""0790011""","Marlborough School District","Not Eligible for Free/Reduced Lunch",227,"57.3%","78.0%"
"=""0790011""","Marlborough School District","Eligible for Reduced Lunch","*","*","*"
"=""0800011""","Meriden School District","Eligible for Free Lunch",1462,"37.0%","60.9%"
"=""0800011""","Meriden School District","Not Eligible for Free/Reduced Lunch",785,"43.1%","63.5%"
"=""0800011""","Meriden School District","Eligible for Reduced Lunch",203,"40.9%","61.4%"
"=""0830011""","Middletown School District","Eligible for Free Lunch",604,"34.4%","56.6%"
"=""0830011""","Middletown School District","Not Eligible for Free/Reduced Lunch",900,"41.2%","60.1%"
"=""0830011""","Middletown School District","Eligible for Reduced Lunch",102,"31.4%","57.6%"
"=""0840011""","Milford School District","Eligible for Free Lunch",382,"38.5%","63.1%"
"=""0840011""","Milford School District","Not Eligible for Free/Reduced Lunch",1689,"50.6%","69.5%"
"=""0840011""","Milford School District","Eligible for Reduced Lunch",120,"44.2%","67.8%"
"=""0850011""","Monroe School District","Eligible for Free Lunch",64,"45.3%","58.6%"
"=""0850011""","Monroe School District","Not Eligible for Free/Reduced Lunch",1089,"49.0%","64.7%"
"=""0850011""","Monroe School District","Eligible for Reduced Lunch",29,"58.6%","74.4%"
"=""0860011""","Montville School District","Eligible for Free Lunch",238,"39.9%","62.6%"
"=""0860011""","Montville School District","Not Eligible for Free/Reduced Lunch",508,"46.7%","66.4%"
"=""0860011""","Montville School District","Eligible for Reduced Lunch",86,"45.3%","65.7%"
"=""0880011""","Naugatuck School District","Eligible for Free Lunch",602,"36.9%","61.4%"
"=""0880011""","Naugatuck School District","Not Eligible for Free/Reduced Lunch",782,"45.7%","67.3%"
"=""0880011""","Naugatuck School District","Eligible for Reduced Lunch",149,"41.6%","62.5%"
"=""2800013""","New Beginnings Inc Family Academy District","Eligible for Free Lunch",127,"36.2%","57.6%"
"=""2800013""","New Beginnings Inc Family Academy District","Not Eligible for Free/Reduced Lunch",16,"*","*"
"=""2800013""","New Beginnings Inc Family Academy District","Eligible for Reduced Lunch",26,"23.1%","50.3%"
"=""0890011""","New Britain School District","Eligible for Free Lunch",2457,"27.4%","50.3%"
"=""0890011""","New Britain School District","Not Eligible for Free/Reduced Lunch",479,"35.1%","57.5%"
"=""0890011""","New Britain School District","Eligible for Reduced Lunch",182,"33.5%","53.8%"
"=""0900011""","New Canaan School District","Not Eligible for Free/Reduced Lunch",1556,"52.8%","68.7%"
"=""0910011""","New Fairfield School District","Eligible for Free Lunch",58,"36.2%","62.0%"
"=""0910011""","New Fairfield School District","Not Eligible for Free/Reduced Lunch",717,"52.9%","72.2%"
"=""0910011""","New Fairfield School District","Eligible for Reduced Lunch",20,"25.0%","59.1%"
"=""0920011""","New Hartford School District","Eligible for Free Lunch",8,"*","*"
"=""0920011""","New Hartford School District","Not Eligible for Free/Reduced Lunch",181,"43.6%","66.9%"
"=""0920011""","New Hartford School District","Eligible for Reduced Lunch",8,"*","*"
"=""0930011""","New Haven School District","Eligible for Free Lunch",4019,"35.4%","61.3%"
"=""0930011""","New Haven School District","Not Eligible for Free/Reduced Lunch",2580,"43.7%","66.0%"
"=""0930011""","New Haven School District","Eligible for Reduced Lunch",126,"49.2%","74.1%"
"=""0950011""","New London School District","Eligible for Free Lunch",818,"31.7%","53.3%"
"=""0950011""","New London School District","Not Eligible for Free/Reduced Lunch",142,"34.5%","59.6%"
"=""0950011""","New London School District","Eligible for Reduced Lunch",33,"24.2%","45.6%"
"=""0960011""","New Milford School District","Eligible for Free Lunch",244,"35.7%","56.7%"
"=""0960011""","New Milford School District","Not Eligible for Free/Reduced Lunch",1144,"41.6%","62.2%"
"=""0960011""","New Milford School District","Eligible for Reduced Lunch",81,"35.8%","58.7%"
"=""0940011""","Newington School District","Eligible for Free Lunch",254,"28.7%","49.6%"
"=""0940011""","Newington School District","Not Eligible for Free/Reduced Lunch",1190,"39.1%","59.7%"
"=""0940011""","Newington School District","Eligible for Reduced Lunch",77,"37.7%","63.3%"
"=""0970011""","Newtown School District","Eligible for Free Lunch",91,"36.3%","59.2%"
"=""0970011""","Newtown School District","Not Eligible for Free/Reduced Lunch",1575,"46.6%","64.3%"
"=""0970011""","Newtown School District","Eligible for Reduced Lunch",38,"36.8%","61.6%"
"=""0980011""","Norfolk School District","Eligible for Free Lunch","*","*","*"
"=""0980011""","Norfolk School District","Not Eligible for Free/Reduced Lunch",37,"43.2%","63.9%"
"=""0980011""","Norfolk School District","Eligible for Reduced Lunch","*","*","*"
"=""0990011""","North Branford School District","Eligible for Free Lunch",94,"35.1%","59.1%"
"=""0990011""","North Branford School District","Not Eligible for Free/Reduced Lunch",578,"45.0%","65.8%"
"=""0990011""","North Branford School District","Eligible for Reduced Lunch",33,"36.4%","55.4%"
"=""1000011""","North Canaan School District","Eligible for Free Lunch",21,"47.6%","71.5%"
"=""1000011""","North Canaan School District","Not Eligible for Free/Reduced Lunch",82,"62.2%","79.9%"
"=""1000011""","North Canaan School District","Eligible for Reduced Lunch",7,"*","*"
"=""1010011""","North Haven School District","Eligible for Free Lunch",125,"57.6%","83.8%"
"=""1010011""","North Haven School District","Not Eligible for Free/Reduced Lunch",949,"69.2%","88.5%"
"=""1010011""","North Haven School District","Eligible for Reduced Lunch",54,"48.1%","75.9%"
"=""1020011""","North Stonington School District","Eligible for Free Lunch",33,"42.4%","56.7%"
"=""1020011""","North Stonington School District","Not Eligible for Free/Reduced Lunch",224,"49.6%","67.1%"
"=""1020011""","North Stonington School District","Eligible for Reduced Lunch",7,"*","*"
"=""1030011""","Norwalk School District","Eligible for Free Lunch",1772,"31.3%","53.9%"
"=""1030011""","Norwalk School District","Not Eligible for Free/Reduced Lunch",1713,"40.7%","61.0%"
"=""1030011""","Norwalk School District","Eligible for Reduced Lunch",364,"33.0%","56.8%"
"=""1040011""","Norwich School District","Eligible for Free Lunch",1096,"34.9%","58.1%"
"=""1040011""","Norwich School District","Not Eligible for Free/Reduced Lunch",364,"45.6%","66.2%"
"=""1040011""","Norwich School District","Eligible for Reduced Lunch",169,"40.8%","62.6%"
"=""2630013""","Odyssey Community School District","Eligible for Free Lunch",50,"38.0%","69.2%"
"=""2630013""","Odyssey Community School District","Not Eligible for Free/Reduced Lunch",115,"34.8%","57.8%"
