"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""2850013""","Bridgeport Achievement First District",4,"Female",38,2417,2527,110,"84.2%","99.6%"
"=""2850013""","Bridgeport Achievement First District",4,"Male",48,2370,2479,109,"77.1%","92.4%"
"=""2850013""","Bridgeport Achievement First District",5,"Female",44,2450,2488,37,"40.9%","55.1%"
"=""2850013""","Bridgeport Achievement First District",5,"Male",38,2460,2463,3,"7.9%","30.7%"
"=""2850013""","Bridgeport Achievement First District",6,"Female",45,2462,2499,37,"42.2%","61.1%"
"=""2850013""","Bridgeport Achievement First District",6,"Male",41,2437,2472,35,"43.9%","65.3%"
"=""2850013""","Bridgeport Achievement First District",7,"Female",41,2503,2526,23,"24.4%","41.8%"
"=""2850013""","Bridgeport Achievement First District",7,"Male",42,2490,2521,31,"38.1%","57.7%"
"=""2850013""","Bridgeport Achievement First District",8,"Female",44,2520,2600,80,"70.5%","94.0%"
"=""2850013""","Bridgeport Achievement First District",8,"Male",41,2500,2573,72,"61.0%","86.5%"
"=""0150011""","Bridgeport School District",4,"Female",771,2378,2413,35,"24.1%","51.6%"
"=""0150011""","Bridgeport School District",4,"Male",801,2357,2391,34,"23.6%","49.8%"
"=""0150011""","Bridgeport School District",5,"Female",706,2407,2450,43,"33.7%","59.9%"
"=""0150011""","Bridgeport School District",5,"Male",699,2384,2425,41,"27.8%","56.1%"
"=""0150011""","Bridgeport School District",6,"Female",550,2446,2481,35,"39.1%","59.7%"
"=""0150011""","Bridgeport School District",6,"Male",637,2417,2452,35,"34.1%","55.9%"
"=""0150011""","Bridgeport School District",7,"Female",546,2479,2516,37,"37.9%","59.3%"
"=""0150011""","Bridgeport School District",7,"Male",621,2447,2478,30,"31.2%","52.8%"
"=""0150011""","Bridgeport School District",8,"Female",622,2502,2529,27,"35.7%","55.4%"
"=""0150011""","Bridgeport School District",8,"Male",643,2466,2486,19,"28.3%","48.1%"
"=""0170011""","Bristol School District",4,"Female",266,2427,2479,52,"44.7%","70.3%"
"=""0170011""","Bristol School District",4,"Male",266,2422,2479,57,"47.0%","72.2%"
"=""0170011""","Bristol School District",5,"Female",313,2487,2531,44,"43.1%","68.0%"
"=""0170011""","Bristol School District",5,"Male",302,2450,2496,45,"39.7%","64.5%"
"=""0170011""","Bristol School District",6,"Female",252,2513,2543,30,"38.9%","62.2%"
"=""0170011""","Bristol School District",6,"Male",277,2490,2521,32,"41.5%","61.9%"
"=""0170011""","Bristol School District",7,"Female",262,2539,2582,43,"50.4%","71.3%"
"=""0170011""","Bristol School District",7,"Male",306,2494,2528,33,"37.6%","59.0%"
"=""0170011""","Bristol School District",8,"Female",251,2566,2593,27,"41.0%","58.8%"
"=""0170011""","Bristol School District",8,"Male",270,2539,2558,19,"37.0%","54.6%"
"=""0180011""","Brookfield School District",4,"Female",105,2477,2516,39,"40.0%","63.2%"
"=""0180011""","Brookfield School District",4,"Male",99,2460,2501,41,"33.3%","60.9%"
"=""0180011""","Brookfield School District",5,"Female",81,2510,2554,45,"49.4%","68.1%"
"=""0180011""","Brookfield School District",5,"Male",87,2509,2545,36,"37.9%","59.9%"
"=""0180011""","Brookfield School District",6,"Female",86,2555,2570,15,"43.0%","57.9%"
"=""0180011""","Brookfield School District",6,"Male",101,2525,2562,37,"47.5%","67.4%"
"=""0180011""","Brookfield School District",7,"Female",109,2569,2601,32,"48.6%","68.3%"
"=""0180011""","Brookfield School District",7,"Male",107,2541,2571,30,"35.5%","55.6%"
"=""0180011""","Brookfield School District",8,"Female",86,2614,2639,25,"52.3%","66.5%"
"=""0180011""","Brookfield School District",8,"Male",96,2578,2608,30,"50.0%","65.3%"
"=""0190011""","Brooklyn School District",4,"Female",37,2464,2534,70,"67.6%","89.3%"
"=""0190011""","Brooklyn School District",4,"Male",35,2446,2511,65,"51.4%","76.6%"
"=""0190011""","Brooklyn School District",5,"Female",55,2529,2565,37,"40.0%","64.4%"
"=""0190011""","Brooklyn School District",5,"Male",43,2496,2515,20,"23.3%","45.8%"
"=""0190011""","Brooklyn School District",6,"Female",41,2524,2585,61,"68.3%","88.8%"
"=""0190011""","Brooklyn School District",6,"Male",33,2515,2585,70,"66.7%","88.1%"
"=""0190011""","Brooklyn School District",7,"Female",36,2603,2609,6,"33.3%","46.4%"
"=""0190011""","Brooklyn School District",7,"Male",40,2562,2587,25,"42.5%","62.5%"
"=""0190011""","Brooklyn School District",8,"Female",50,2584,2619,36,"54.0%","71.4%"
"=""0190011""","Brooklyn School District",8,"Male",53,2559,2592,33,"47.2%","63.6%"
"=""0210011""","Canaan School District",4,"Female","*","*","*","*","*","*"
"=""0210011""","Canaan School District",4,"Male","*","*","*","*","*","*"
"=""0210011""","Canaan School District",5,"Female","*","*","*","*","*","*"
"=""0210011""","Canaan School District",5,"Male","*","*","*","*","*","*"
"=""0210011""","Canaan School District",6,"Female","*","*","*","*","*","*"
"=""0210011""","Canaan School District",6,"Male","*","*","*","*","*","*"
"=""0210011""","Canaan School District",7,"Female","*","*","*","*","*","*"
"=""0210011""","Canaan School District",7,"Male","*","*","*","*","*","*"
"=""0210011""","Canaan School District",8,"Female","*","*","*","*","*","*"
"=""0210011""","Canaan School District",8,"Male","*","*","*","*","*","*"
"=""0220011""","Canterbury School District",4,"Female",21,2471,2519,47,"52.4%","76.4%"
"=""0220011""","Canterbury School District",4,"Male",15,"*","*","*","*","*"
"=""0220011""","Canterbury School District",5,"Female",20,2507,2551,43,"40.0%","68.3%"
"=""0220011""","Canterbury School District",5,"Male",30,2453,2497,44,"43.3%","66.6%"
"=""0220011""","Canterbury School District",6,"Female",12,"*","*","*","*","*"
"=""0220011""","Canterbury School District",6,"Male",22,2478,2535,57,"45.5%","65.9%"
"=""0220011""","Canterbury School District",7,"Female",27,2541,2588,47,"55.6%","77.2%"
"=""0220011""","Canterbury School District",7,"Male",43,2485,2542,57,"58.1%","83.9%"
"=""0220011""","Canterbury School District",8,"Female",28,2598,2609,11,"35.7%","48.7%"
"=""0220011""","Canterbury School District",8,"Male",30,2552,2555,3,"20.0%","35.5%"
"=""0230011""","Canton School District",4,"Female",63,2489,2542,52,"61.9%","80.9%"
"=""0230011""","Canton School District",4,"Male",49,2473,2500,27,"30.6%","51.4%"
"=""0230011""","Canton School District",5,"Female",56,2520,2571,52,"58.9%","81.3%"
"=""0230011""","Canton School District",5,"Male",73,2501,2544,43,"42.5%","66.9%"
"=""0230011""","Canton School District",6,"Female",64,2560,2597,37,"57.8%","76.2%"
"=""0230011""","Canton School District",6,"Male",68,2527,2576,48,"52.9%","75.4%"
"=""0230011""","Canton School District",7,"Female",70,2585,2609,24,"51.4%","67.0%"
"=""0230011""","Canton School District",7,"Male",66,2565,2594,29,"40.9%","63.1%"
"=""0230011""","Canton School District",8,"Female",72,2592,2626,34,"56.9%","71.5%"
"=""0230011""","Canton School District",8,"Male",63,2577,2615,38,"55.6%","74.5%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",6,"Female",10,"*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",6,"Male",16,"*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",7,"Female",18,"*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",7,"Male",14,"*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",8,"Female",11,"*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",8,"Male",19,"*","*","*","*","*"
"=""2410014""","Capitol Region Education Council",4,"Female",169,2438,2493,55,"49.1%","75.1%"
"=""2410014""","Capitol Region Education Council",4,"Male",178,2404,2455,52,"37.6%","68.5%"
"=""2410014""","Capitol Region Education Council",5,"Female",140,2462,2514,52,"48.6%","71.2%"
"=""2410014""","Capitol Region Education Council",5,"Male",172,2439,2494,55,"43.6%","70.1%"
"=""2410014""","Capitol Region Education Council",6,"Female",284,2504,2529,25,"36.3%","55.6%"
"=""2410014""","Capitol Region Education Council",6,"Male",302,2476,2495,20,"32.8%","51.3%"
"=""2410014""","Capitol Region Education Council",7,"Female",298,2521,2556,36,"41.3%","62.2%"
"=""2410014""","Capitol Region Education Council",7,"Male",374,2503,2534,31,"36.4%","58.9%"
"=""2410014""","Capitol Region Education Council",8,"Female",286,2543,2575,32,"48.6%","65.9%"
"=""2410014""","Capitol Region Education Council",8,"Male",336,2544,2565,21,"36.0%","54.3%"
"=""0240011""","Chaplin School District",4,"Female",6,"*","*","*","*","*"
"=""0240011""","Chaplin School District",4,"Male",7,"*","*","*","*","*"
"=""0240011""","Chaplin School District",5,"Female",10,"*","*","*","*","*"
"=""0240011""","Chaplin School District",5,"Male",6,"*","*","*","*","*"
"=""0240011""","Chaplin School District",6,"Female","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",6,"Male","*","*","*","*","*","*"
"=""0250011""","Cheshire School District",4,"Female",142,2479,2543,64,"64.1%","83.4%"
"=""0250011""","Cheshire School District",4,"Male",136,2457,2525,68,"64.7%","83.1%"
"=""0250011""","Cheshire School District",5,"Female",183,2539,2592,54,"65.0%","85.6%"
"=""0250011""","Cheshire School District",5,"Male",154,2528,2576,48,"57.8%","79.8%"
"=""0250011""","Cheshire School District",6,"Female",184,2570,2606,36,"58.7%","73.6%"
"=""0250011""","Cheshire School District",6,"Male",192,2545,2576,31,"51.6%","67.1%"
"=""0250011""","Cheshire School District",7,"Female",183,2596,2612,16,"39.3%","56.0%"
"=""0250011""","Cheshire School District",7,"Male",170,2577,2598,21,"38.8%","55.5%"
"=""0250011""","Cheshire School District",8,"Female",182,2613,2635,23,"47.8%","63.1%"
"=""0250011""","Cheshire School District",8,"Male",162,2594,2611,17,"43.8%","58.4%"
"=""0260011""","Chester School District",4,"Female",17,"*","*","*","*","*"
"=""0260011""","Chester School District",4,"Male",10,"*","*","*","*","*"
"=""0260011""","Chester School District",5,"Female",17,"*","*","*","*","*"
"=""0260011""","Chester School District",5,"Male",17,"*","*","*","*","*"
"=""0260011""","Chester School District",6,"Female",28,2579,2610,30,"53.6%","71.4%"
"=""0260011""","Chester School District",6,"Male",11,"*","*","*","*","*"
"=""0270011""","Clinton School District",4,"Female",68,2473,2506,33,"35.3%","61.7%"
"=""0270011""","Clinton School District",4,"Male",66,2447,2500,54,"42.4%","72.0%"
"=""0270011""","Clinton School District",5,"Female",85,2522,2562,40,"44.7%","71.4%"
"=""0270011""","Clinton School District",5,"Male",82,2507,2545,38,"45.1%","64.8%"
"=""0270011""","Clinton School District",6,"Female",48,2553,2588,36,"41.7%","67.1%"
"=""0270011""","Clinton School District",6,"Male",82,2539,2558,19,"40.2%","58.9%"
"=""0270011""","Clinton School District",7,"Female",74,2581,2606,25,"45.9%","57.3%"
"=""0270011""","Clinton School District",7,"Male",67,2548,2552,4,"28.4%","42.7%"
"=""0270011""","Clinton School District",8,"Female",80,2582,2615,32,"53.8%","69.0%"
"=""0270011""","Clinton School District",8,"Male",73,2568,2605,37,"49.3%","67.4%"
"=""0280011""","Colchester School District",4,"Female",80,2464,2534,71,"68.8%","90.8%"
"=""0280011""","Colchester School District",4,"Male",81,2451,2501,49,"44.4%","68.4%"
"=""0280011""","Colchester School District",5,"Female",93,2511,2567,56,"59.1%","81.3%"
"=""0280011""","Colchester School District",5,"Male",99,2492,2541,49,"44.4%","76.2%"
"=""0280011""","Colchester School District",6,"Female",91,2551,2587,35,"49.5%","72.1%"
"=""0280011""","Colchester School District",6,"Male",110,2536,2570,34,"53.6%","70.1%"
"=""0280011""","Colchester School District",7,"Female",90,2588,2615,27,"45.6%","61.9%"
"=""0280011""","Colchester School District",7,"Male",102,2565,2587,22,"35.3%","56.2%"
"=""0280011""","Colchester School District",8,"Female",103,2606,2631,25,"49.5%","62.1%"
"=""0280011""","Colchester School District",8,"Male",86,2585,2605,21,"36.0%","56.1%"
"=""0290011""","Colebrook School District",4,"Female","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",4,"Male","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",5,"Female","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",5,"Male","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",6,"Female",6,"*","*","*","*","*"
"=""0290011""","Colebrook School District",6,"Male",7,"*","*","*","*","*"
"=""0300011""","Columbia School District",4,"Female",16,"*","*","*","*","*"
"=""0300011""","Columbia School District",4,"Male",19,"*","*","*","*","*"
"=""0300011""","Columbia School District",5,"Female",28,2502,2542,40,"46.4%","59.5%"
"=""0300011""","Columbia School District",5,"Male",23,2485,2521,36,"30.4%","57.5%"
"=""0300011""","Columbia School District",6,"Female",22,2526,2571,46,"54.5%","76.4%"
"=""0300011""","Columbia School District",6,"Male",14,"*","*","*","*","*"
"=""0300011""","Columbia School District",7,"Female",24,2582,2616,34,"54.2%","69.5%"
"=""0300011""","Columbia School District",7,"Male",24,2535,2580,45,"41.7%","65.3%"
"=""0300011""","Columbia School District",8,"Female",26,2595,2619,25,"34.6%","54.0%"
"=""0300011""","Columbia School District",8,"Male",32,2565,2591,25,"43.8%","56.1%"
"=""2430014""","Cooperative Educational Services",4,"Female",22,2419,2472,53,"50.0%","64.9%"
"=""2430014""","Cooperative Educational Services",4,"Male",45,2389,2458,69,"48.9%","76.2%"
"=""2430014""","Cooperative Educational Services",5,"Female",24,2484,2518,34,"33.3%","54.4%"
"=""2430014""","Cooperative Educational Services",5,"Male",26,2427,2445,18,"11.5%","42.2%"
"=""2430014""","Cooperative Educational Services",6,"Female",26,2511,2541,30,"46.2%","62.8%"
"=""2430014""","Cooperative Educational Services",6,"Male",31,2470,2520,50,"48.4%","77.5%"
"=""2430014""","Cooperative Educational Services",7,"Female",17,"*","*","*","*","*"
"=""2430014""","Cooperative Educational Services",7,"Male",24,2503,2501,-2,"16.7%","35.9%"
"=""2430014""","Cooperative Educational Services",8,"Female",22,2531,2581,50,"40.9%","64.1%"
"=""2430014""","Cooperative Educational Services",8,"Male",30,2487,2504,17,"23.3%","44.1%"
"=""0310011""","Cornwall School District",4,"Male","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",5,"Female","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",5,"Male","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",6,"Female","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",6,"Male","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",7,"Female","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",7,"Male","*","*","*","*","*","*"
"=""0310011""","Cornwall School District",8,"Female",6,"*","*","*","*","*"
"=""0310011""","Cornwall School District",8,"Male",13,"*","*","*","*","*"
"=""0320011""","Coventry School District",4,"Female",68,2458,2531,73,"73.5%","88.3%"
"=""0320011""","Coventry School District",4,"Male",50,2452,2508,56,"46.0%","73.5%"
"=""0320011""","Coventry School District",5,"Female",62,2505,2550,45,"40.3%","67.2%"
"=""0320011""","Coventry School District",5,"Male",53,2483,2531,49,"37.7%","67.5%"
"=""0320011""","Coventry School District",6,"Female",54,2563,2598,35,"44.4%","70.9%"
"=""0320011""","Coventry School District",6,"Male",65,2503,2550,47,"50.8%","70.6%"
"=""0320011""","Coventry School District",7,"Female",69,2565,2616,51,"60.9%","78.3%"
"=""0320011""","Coventry School District",7,"Male",54,2550,2609,59,"68.5%","90.8%"
"=""0320011""","Coventry School District",8,"Female",66,2595,2643,48,"59.1%","80.7%"
"=""0320011""","Coventry School District",8,"Male",65,2545,2599,54,"58.5%","76.5%"
