"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0510011""","Fairfield School District","High Needs",671,"38.9%","60.0%"
"=""0510011""","Fairfield School District","Non-High Needs",3124,"51.2%","72.8%"
"=""0520011""","Farmington School District","High Needs",302,"45.4%","69.2%"
"=""0520011""","Farmington School District","Non-High Needs",1217,"69.4%","87.9%"
"=""0530011""","Franklin School District","High Needs",20,"20.0%","37.5%"
"=""0530011""","Franklin School District","Non-High Needs",68,"29.4%","50.6%"
"=""0540011""","Glastonbury School District","High Needs",394,"39.6%","64.2%"
"=""0540011""","Glastonbury School District","Non-High Needs",1919,"61.4%","80.6%"
"=""0560011""","Granby School District","High Needs",138,"36.2%","61.4%"
"=""0560011""","Granby School District","Non-High Needs",548,"55.3%","75.7%"
"=""2940013""","Great Oaks Charter School District","High Needs",178,"41.6%","59.8%"
"=""2940013""","Great Oaks Charter School District","Non-High Needs",25,"68.0%","84.1%"
"=""0570011""","Greenwich School District","High Needs",735,"44.8%","64.9%"
"=""0570011""","Greenwich School District","Non-High Needs",2325,"59.2%","76.9%"
"=""0580011""","Griswold School District","High Needs",294,"44.2%","65.4%"
"=""0580011""","Griswold School District","Non-High Needs",341,"55.1%","74.6%"
"=""0590011""","Groton School District","High Needs",727,"38.4%","59.3%"
"=""0590011""","Groton School District","Non-High Needs",685,"53.0%","71.8%"
"=""0600011""","Guilford School District","High Needs",241,"50.2%","70.6%"
"=""0600011""","Guilford School District","Non-High Needs",1061,"59.8%","79.8%"
"=""0620011""","Hamden School District","High Needs",922,"33.3%","54.3%"
"=""0620011""","Hamden School District","Non-High Needs",911,"38.9%","58.7%"
"=""0630011""","Hampton School District","High Needs",10,"*","*"
"=""0630011""","Hampton School District","Non-High Needs",17,"*","*"
"=""0640011""","Hartford School District","High Needs",6003,"32.5%","54.7%"
"=""0640011""","Hartford School District","Non-High Needs",907,"42.9%","63.0%"
"=""0650011""","Hartland School District","High Needs",25,"44.0%","63.6%"
"=""0650011""","Hartland School District","Non-High Needs",79,"65.8%","88.3%"
"=""0670011""","Hebron School District","High Needs",66,"50.0%","77.3%"
"=""0670011""","Hebron School District","Non-High Needs",276,"58.3%","83.3%"
"=""2860013""","Highville Charter School District","High Needs",123,"44.7%","68.1%"
"=""2860013""","Highville Charter School District","Non-High Needs",58,"51.7%","67.6%"
"=""2640013""","Integrated Day Charter School District","High Needs",62,"43.5%","66.8%"
"=""2640013""","Integrated Day Charter School District","Non-High Needs",92,"42.4%","63.5%"
"=""2650013""","Interdistrict School for Arts and Comm District","High Needs",190,"17.4%","31.0%"
"=""2650013""","Interdistrict School for Arts and Comm District","Non-High Needs",62,"22.6%","38.9%"
"=""2610013""","Jumoke Academy District","High Needs",229,"31.9%","54.1%"
"=""2610013""","Jumoke Academy District","Non-High Needs",97,"43.3%","59.3%"
"=""0680011""","Kent School District","High Needs",26,"38.5%","52.1%"
"=""0680011""","Kent School District","Non-High Needs",100,"56.0%","74.7%"
"=""0690011""","Killingly School District","High Needs",395,"38.7%","63.6%"
"=""0690011""","Killingly School District","Non-High Needs",376,"42.3%","63.8%"
"=""2450014""","Learn","High Needs",179,"39.1%","62.4%"
"=""2450014""","Learn","Non-High Needs",121,"44.6%","69.8%"
"=""0710011""","Lebanon School District","High Needs",100,"37.0%","61.1%"
"=""0710011""","Lebanon School District","Non-High Needs",233,"43.8%","67.3%"
"=""0720011""","Ledyard School District","High Needs",243,"41.2%","63.9%"
"=""0720011""","Ledyard School District","Non-High Needs",535,"51.0%","72.9%"
"=""0730011""","Lisbon School District","High Needs",64,"31.3%","56.0%"
"=""0730011""","Lisbon School District","Non-High Needs",139,"48.2%","73.7%"
"=""0740011""","Litchfield School District","High Needs",92,"48.9%","69.4%"
"=""0740011""","Litchfield School District","Non-High Needs",280,"60.0%","76.5%"
"=""0760011""","Madison School District","High Needs",146,"26.0%","48.5%"
"=""0760011""","Madison School District","Non-High Needs",816,"43.9%","61.4%"
"=""0770011""","Manchester School District","High Needs",1222,"29.6%","51.0%"
"=""0770011""","Manchester School District","Non-High Needs",742,"37.5%","60.2%"
"=""0780011""","Mansfield School District","High Needs",177,"45.2%","63.3%"
"=""0780011""","Mansfield School District","Non-High Needs",364,"58.0%","74.5%"
"=""0790011""","Marlborough School District","High Needs",37,"51.4%","74.0%"
"=""0790011""","Marlborough School District","Non-High Needs",215,"61.9%","85.8%"
"=""0800011""","Meriden School District","High Needs",1767,"38.1%","61.5%"
"=""0800011""","Meriden School District","Non-High Needs",682,"46.0%","70.5%"
"=""0830011""","Middletown School District","High Needs",763,"32.1%","53.4%"
"=""0830011""","Middletown School District","Non-High Needs",844,"42.3%","60.8%"
"=""0840011""","Milford School District","High Needs",647,"40.2%","62.1%"
"=""0840011""","Milford School District","Non-High Needs",1537,"48.5%","69.1%"
"=""0850011""","Monroe School District","High Needs",207,"47.8%","68.1%"
"=""0850011""","Monroe School District","Non-High Needs",974,"50.0%","71.4%"
"=""0860011""","Montville School District","High Needs",386,"41.7%","63.8%"
"=""0860011""","Montville School District","Non-High Needs",447,"49.4%","71.8%"
"=""0880011""","Naugatuck School District","High Needs",856,"30.7%","52.9%"
"=""0880011""","Naugatuck School District","Non-High Needs",682,"36.1%","57.0%"
"=""2800013""","New Beginnings Inc Family Academy District","High Needs",153,"32.0%","54.5%"
"=""2800013""","New Beginnings Inc Family Academy District","Non-High Needs",16,"*","*"
"=""0890011""","New Britain School District","High Needs",2730,"25.1%","44.9%"
"=""0890011""","New Britain School District","Non-High Needs",413,"23.2%","43.7%"
"=""0900011""","New Canaan School District","High Needs",168,"44.6%","68.1%"
"=""0900011""","New Canaan School District","Non-High Needs",1390,"61.4%","78.9%"
"=""0910011""","New Fairfield School District","High Needs",132,"50.0%","71.9%"
"=""0910011""","New Fairfield School District","Non-High Needs",647,"60.1%","81.0%"
"=""0920011""","New Hartford School District","High Needs",36,"25.0%","53.9%"
"=""0920011""","New Hartford School District","Non-High Needs",160,"33.8%","57.5%"
"=""0930011""","New Haven School District","High Needs",4733,"39.6%","62.2%"
"=""0930011""","New Haven School District","Non-High Needs",2063,"44.0%","66.4%"
"=""0950011""","New London School District","High Needs",895,"27.3%","49.7%"
"=""0950011""","New London School District","Non-High Needs",117,"25.6%","47.7%"
"=""0960011""","New Milford School District","High Needs",450,"36.9%","56.6%"
"=""0960011""","New Milford School District","Non-High Needs",990,"47.5%","68.2%"
"=""0940011""","Newington School District","High Needs",453,"30.7%","50.2%"
"=""0940011""","Newington School District","Non-High Needs",1069,"40.6%","58.9%"
"=""0970011""","Newtown School District","High Needs",258,"43.8%","65.4%"
"=""0970011""","Newtown School District","Non-High Needs",1445,"61.9%","80.3%"
"=""0980011""","Norfolk School District","High Needs",13,"*","*"
"=""0980011""","Norfolk School District","Non-High Needs",31,"61.3%","81.0%"
"=""0990011""","North Branford School District","High Needs",206,"45.1%","63.8%"
"=""0990011""","North Branford School District","Non-High Needs",499,"45.7%","67.1%"
"=""1000011""","North Canaan School District","High Needs",35,"37.1%","68.2%"
"=""1000011""","North Canaan School District","Non-High Needs",75,"56.0%","76.7%"
"=""1010011""","North Haven School District","High Needs",264,"56.4%","79.8%"
"=""1010011""","North Haven School District","Non-High Needs",866,"73.8%","94.1%"
"=""1020011""","North Stonington School District","High Needs",47,"36.2%","53.4%"
"=""1020011""","North Stonington School District","Non-High Needs",217,"52.1%","70.6%"
"=""1030011""","Norwalk School District","High Needs",2402,"33.0%","54.3%"
"=""1030011""","Norwalk School District","Non-High Needs",1513,"43.9%","65.5%"
"=""1040011""","Norwich School District","High Needs",1320,"36.3%","58.1%"
"=""1040011""","Norwich School District","Non-High Needs",323,"43.3%","66.0%"
"=""2630013""","Odyssey Community School District","High Needs",67,"35.8%","53.0%"
"=""2630013""","Odyssey Community School District","Non-High Needs",108,"31.5%","54.8%"
"=""1060011""","Old Saybrook School District","High Needs",140,"44.3%","64.6%"
"=""1060011""","Old Saybrook School District","Non-High Needs",363,"51.0%","72.9%"
"=""1070011""","Orange School District","High Needs",58,"34.5%","61.3%"
"=""1070011""","Orange School District","Non-High Needs",456,"52.2%","75.8%"
"=""1080011""","Oxford School District","High Needs",145,"38.6%","60.6%"
"=""1080011""","Oxford School District","Non-High Needs",630,"50.3%","73.0%"
"=""2830013""","Park City Prep Charter School District","High Needs",260,"55.0%","75.1%"
"=""2830013""","Park City Prep Charter School District","Non-High Needs",76,"65.8%","83.9%"
"=""1090011""","Plainfield School District","High Needs",453,"55.4%","78.5%"
"=""1090011""","Plainfield School District","Non-High Needs",346,"57.5%","81.1%"
"=""1100011""","Plainville School District","High Needs",353,"31.4%","59.0%"
"=""1100011""","Plainville School District","Non-High Needs",503,"45.5%","67.1%"
"=""1110011""","Plymouth School District","High Needs",207,"42.0%","67.6%"
"=""1110011""","Plymouth School District","Non-High Needs",332,"54.5%","77.5%"
"=""1120011""","Pomfret School District","High Needs",58,"36.2%","56.6%"
"=""1120011""","Pomfret School District","Non-High Needs",163,"53.4%","72.5%"
"=""1130011""","Portland School District","High Needs",130,"40.0%","66.5%"
"=""1130011""","Portland School District","Non-High Needs",378,"50.0%","71.8%"
"=""1140011""","Preston School District","High Needs",75,"37.3%","58.9%"
"=""1140011""","Preston School District","Non-High Needs",139,"45.3%","64.5%"
"=""1160011""","Putnam School District","High Needs",233,"43.3%","66.3%"
"=""1160011""","Putnam School District","Non-High Needs",162,"55.6%","74.7%"
"=""1170011""","Redding School District","High Needs",67,"52.2%","71.6%"
"=""1170011""","Redding School District","Non-High Needs",429,"56.2%","75.6%"
"=""2010012""","Regional School District 01","High Needs","*","*","*"
"=""2040012""","Regional School District 04","High Needs",78,"35.9%","50.9%"
"=""2040012""","Regional School District 04","Non-High Needs",222,"43.2%","61.7%"
"=""2050012""","Regional School District 05","High Needs",107,"36.4%","50.4%"
"=""2050012""","Regional School District 05","Non-High Needs",607,"61.9%","78.2%"
"=""2060012""","Regional School District 06","High Needs",62,"33.9%","52.6%"
"=""2060012""","Regional School District 06","Non-High Needs",180,"42.8%","62.1%"
"=""2070012""","Regional School District 07","High Needs",50,"44.0%","60.4%"
"=""2070012""","Regional School District 07","Non-High Needs",236,"62.7%","79.8%"
"=""2080012""","Regional School District 08","High Needs",99,"35.4%","58.1%"
"=""2080012""","Regional School District 08","Non-High Needs",450,"44.0%","59.7%"
"=""2100012""","Regional School District 10","High Needs",138,"35.5%","53.1%"
"=""2100012""","Regional School District 10","Non-High Needs",773,"41.7%","61.8%"
"=""2110012""","Regional School District 11","High Needs",33,"39.4%","61.4%"
"=""2110012""","Regional School District 11","Non-High Needs",47,"53.2%","71.2%"
"=""2120012""","Regional School District 12","High Needs",57,"56.1%","76.8%"
"=""2120012""","Regional School District 12","Non-High Needs",197,"64.5%","85.1%"
"=""2130012""","Regional School District 13","High Needs",140,"32.1%","57.4%"
"=""2130012""","Regional School District 13","Non-High Needs",529,"51.0%","72.7%"
"=""2140012""","Regional School District 14","High Needs",129,"28.7%","49.2%"
"=""2140012""","Regional School District 14","Non-High Needs",413,"34.9%","56.8%"
"=""2150012""","Regional School District 15","High Needs",262,"31.3%","53.1%"
"=""2150012""","Regional School District 15","Non-High Needs",1208,"56.0%","76.6%"
"=""2160012""","Regional School District 16","High Needs",202,"42.1%","63.2%"
"=""2160012""","Regional School District 16","Non-High Needs",576,"40.8%","63.1%"
"=""2170012""","Regional School District 17","High Needs",208,"48.6%","70.2%"
"=""2170012""","Regional School District 17","Non-High Needs",675,"55.7%","76.2%"
"=""2180012""","Regional School District 18","High Needs",76,"46.1%","68.3%"
"=""2180012""","Regional School District 18","Non-High Needs",427,"60.2%","76.6%"
"=""1180011""","Ridgefield School District","High Needs",218,"36.7%","54.7%"
"=""1180011""","Ridgefield School District","Non-High Needs",1634,"56.5%","76.8%"
"=""1190011""","Rocky Hill School District","High Needs",198,"42.4%","64.4%"
"=""1190011""","Rocky Hill School District","Non-High Needs",692,"51.0%","70.5%"
"=""1210011""","Salem School District","High Needs",48,"33.3%","55.4%"
"=""1210011""","Salem School District","Non-High Needs",147,"55.8%","72.9%"
"=""1220011""","Salisbury School District","High Needs",23,"43.5%","73.6%"
"=""1220011""","Salisbury School District","Non-High Needs",102,"58.8%","76.5%"
"=""1230011""","Scotland School District","High Needs",15,"*","*"
"=""1230011""","Scotland School District","Non-High Needs",29,"37.9%","65.4%"
"=""1240011""","Seymour School District","High Needs",308,"40.9%","64.5%"
"=""1240011""","Seymour School District","Non-High Needs",547,"53.0%","73.6%"
"=""1250011""","Sharon School District","High Needs",23,"47.8%","75.1%"
"=""1250011""","Sharon School District","Non-High Needs",45,"51.1%","62.8%"
"=""1260011""","Shelton School District","High Needs",588,"43.4%","65.4%"
"=""1260011""","Shelton School District","Non-High Needs",1252,"52.2%","72.9%"
"=""1270011""","Sherman School District","High Needs",18,"*","*"
"=""1270011""","Sherman School District","Non-High Needs",82,"54.9%","80.7%"
"=""2700013""","Side By Side Charter School District","High Needs",65,"50.8%","71.3%"
"=""2700013""","Side By Side Charter School District","Non-High Needs",42,"61.9%","81.6%"
"=""1280011""","Simsbury School District","High Needs",300,"38.3%","59.3%"
"=""1280011""","Simsbury School District","Non-High Needs",1244,"57.3%","77.3%"
"=""1290011""","Somers School District","High Needs",91,"31.9%","52.6%"
"=""1290011""","Somers School District","Non-High Needs",444,"51.6%","76.1%"
"=""1320011""","South Windsor School District","High Needs",358,"40.5%","61.6%"
"=""1320011""","South Windsor School District","Non-High Needs",1149,"59.4%","79.8%"
"=""1310011""","Southington School District","High Needs",621,"32.7%","53.4%"
"=""1310011""","Southington School District","Non-High Needs",1880,"41.4%","63.4%"
"=""1330011""","Sprague School District","High Needs",92,"30.4%","57.7%"
"=""1330011""","Sprague School District","Non-High Needs",73,"42.5%","62.3%"
"=""1340011""","Stafford School District","High Needs",219,"26.5%","55.8%"
"=""1340011""","Stafford School District","Non-High Needs",317,"47.9%","71.0%"
"=""1350011""","Stamford School District","High Needs",3152,"33.5%","56.4%"
"=""1350011""","Stamford School District","Non-High Needs",2159,"48.9%","69.2%"
"=""0000000""","State of Connecticut","High Needs",84435,"35.7%","57.4%"
"=""0000000""","State of Connecticut","Non-High Needs",101429,"50.7%","71.2%"
"=""1360011""","Sterling School District","High Needs",88,"40.9%","64.6%"
"=""1360011""","Sterling School District","Non-High Needs",138,"48.6%","67.7%"
"=""1370011""","Stonington School District","High Needs",226,"37.6%","60.0%"
"=""1370011""","Stonington School District","Non-High Needs",530,"52.1%","73.1%"
"=""1380011""","Stratford School District","High Needs",1319,"40.4%","61.1%"
"=""1380011""","Stratford School District","Non-High Needs",1221,"49.7%","70.0%"
"=""1390011""","Suffield School District","High Needs",150,"37.3%","59.8%"
"=""1390011""","Suffield School District","Non-High Needs",663,"43.6%","64.8%"
"=""2690013""","The Bridge Academy District","High Needs",89,"50.6%","71.5%"
"=""2690013""","The Bridge Academy District","Non-High Needs",8,"*","*"
"=""9020022""","The Gilbert School District","High Needs",84,"34.5%","52.5%"
"=""9020022""","The Gilbert School District","Non-High Needs",72,"41.7%","57.0%"
"=""1400011""","Thomaston School District","High Needs",122,"32.0%","54.5%"
"=""1400011""","Thomaston School District","Non-High Needs",252,"40.5%","62.7%"
"=""1410011""","Thompson School District","High Needs",154,"27.3%","48.4%"
"=""1410011""","Thompson School District","Non-High Needs",215,"27.4%","49.3%"
"=""1420011""","Tolland School District","High Needs",175,"38.3%","58.9%"
"=""1420011""","Tolland School District","Non-High Needs",832,"50.8%","72.4%"
"=""1430011""","Torrington School District","High Needs",879,"30.5%","51.4%"
"=""1430011""","Torrington School District","Non-High Needs",620,"33.2%","55.9%"
"=""2780013""","Trailblazers Academy District","High Needs","*","20.8%","35.5%"
"=""2780013""","Trailblazers Academy District","Non-High Needs","*","*","*"
"=""1440011""","Trumbull School District","High Needs",444,"52.9%","76.1%"
"=""1440011""","Trumbull School District","Non-High Needs",1902,"73.4%","91.9%"
"=""3470015""","Unified School District #2","High Needs","*","*","*"
"=""1450011""","Union School District","High Needs",6,"*","*"
"=""1450011""","Union School District","Non-High Needs",33,"63.6%","81.0%"
"=""1460011""","Vernon School District","High Needs",561,"38.5%","61.3%"
"=""1460011""","Vernon School District","Non-High Needs",511,"47.6%","71.3%"
"=""1470011""","Voluntown School District","High Needs",56,"46.4%","74.6%"
"=""1470011""","Voluntown School District","Non-High Needs",88,"52.3%","75.6%"
"=""1480011""","Wallingford School District","High Needs",628,"33.9%","55.7%"
"=""1480011""","Wallingford School District","Non-High Needs",1542,"39.6%","62.4%"
"=""1510011""","Waterbury School District","High Needs",5456,"29.5%","50.6%"
"=""1510011""","Waterbury School District","Non-High Needs",898,"36.9%","57.6%"
"=""1520011""","Waterford School District","High Needs",309,"35.6%","55.0%"
"=""1520011""","Waterford School District","Non-High Needs",660,"51.2%","71.7%"
"=""1530011""","Watertown School District","High Needs",372,"31.7%","53.1%"
"=""1530011""","Watertown School District","Non-High Needs",673,"39.5%","62.8%"
"=""1550011""","West Hartford School District","High Needs",942,"34.1%","56.2%"
"=""1550011""","West Hartford School District","Non-High Needs",2552,"50.3%","69.3%"
"=""1560011""","West Haven School District","High Needs",1382,"45.5%","67.5%"
"=""1560011""","West Haven School District","Non-High Needs",632,"50.3%","73.7%"
"=""1540011""","Westbrook School District","High Needs",67,"61.2%","78.7%"
"=""1540011""","Westbrook School District","Non-High Needs",193,"60.6%","83.6%"
"=""1570011""","Weston School District","High Needs",78,"42.3%","58.5%"
"=""1570011""","Weston School District","Non-High Needs",805,"46.7%","66.8%"
"=""1580011""","Westport School District","High Needs",274,"36.1%","57.4%"
"=""1580011""","Westport School District","Non-High Needs",1789,"52.8%","71.2%"
"=""1590011""","Wethersfield School District","High Needs",374,"46.8%","70.2%"
"=""1590011""","Wethersfield School District","Non-High Needs",909,"65.1%","83.9%"
"=""1600011""","Willington School District","High Needs",74,"48.6%","73.6%"
"=""1600011""","Willington School District","Non-High Needs",144,"44.4%","69.0%"
"=""1610011""","Wilton School District","High Needs",250,"42.4%","64.9%"
"=""1610011""","Wilton School District","Non-High Needs",1340,"63.2%","83.3%"
"=""1620011""","Winchester School District","High Needs",138,"39.1%","60.4%"
"=""1620011""","Winchester School District","Non-High Needs",80,"30.0%","53.5%"
"=""1630011""","Windham School District","High Needs",937,"40.2%","62.5%"
"=""1630011""","Windham School District","Non-High Needs",193,"53.9%","75.8%"
"=""1650011""","Windsor Locks School District","High Needs",265,"39.6%","60.0%"
"=""1650011""","Windsor Locks School District","Non-High Needs",303,"51.5%","72.3%"
"=""1640011""","Windsor School District","High Needs",474,"34.6%","59.0%"
"=""1640011""","Windsor School District","Non-High Needs",551,"44.1%","68.1%"
"=""1660011""","Wolcott School District","High Needs",239,"41.0%","65.0%"
"=""1660011""","Wolcott School District","Non-High Needs",660,"53.3%","74.9%"
"=""1670011""","Woodbridge School District","High Needs",50,"56.0%","82.7%"
"=""1670011""","Woodbridge School District","Non-High Needs",236,"67.8%","88.2%"
"=""1690011""","Woodstock School District","High Needs",98,"30.6%","56.3%"
"=""1690011""","Woodstock School District","Non-High Needs",359,"39.0%","59.3%"

