"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","Subject","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0280011""","Colchester School District","ELA","Non-High Needs",675,"51.7%","71.0%"
"=""0280011""","Colchester School District","Math","High Needs",261,"35.6%","55.0%"
"=""0280011""","Colchester School District","Math","Non-High Needs",674,"45.3%","64.5%"
"=""0290011""","Colebrook School District","ELA","High Needs",10,"*","*"
"=""0290011""","Colebrook School District","ELA","Non-High Needs",21,"66.7%","82.7%"
"=""0290011""","Colebrook School District","Math","High Needs",10,"*","*"
"=""0290011""","Colebrook School District","Math","Non-High Needs",21,"28.6%","61.5%"
"=""0300011""","Columbia School District","ELA","High Needs",62,"41.9%","67.9%"
"=""0300011""","Columbia School District","ELA","Non-High Needs",166,"49.4%","67.1%"
"=""0300011""","Columbia School District","Math","High Needs",62,"37.1%","57.2%"
"=""0300011""","Columbia School District","Math","Non-High Needs",165,"37.6%","62.2%"
"=""2430014""","Cooperative Educational Services","ELA","High Needs",146,"26.7%","51.5%"
"=""2430014""","Cooperative Educational Services","ELA","Non-High Needs",121,"47.1%","67.6%"
"=""2430014""","Cooperative Educational Services","Math","High Needs",146,"32.9%","54.3%"
"=""2430014""","Cooperative Educational Services","Math","Non-High Needs",122,"43.4%","62.4%"
"=""0310011""","Cornwall School District","ELA","High Needs",11,"*","*"
"=""0310011""","Cornwall School District","ELA","Non-High Needs",34,"41.2%","61.3%"
"=""0310011""","Cornwall School District","Math","High Needs",11,"*","*"
"=""0310011""","Cornwall School District","Math","Non-High Needs",34,"35.3%","58.1%"
"=""0320011""","Coventry School District","ELA","High Needs",155,"44.5%","70.9%"
"=""0320011""","Coventry School District","ELA","Non-High Needs",451,"58.1%","78.6%"
"=""0320011""","Coventry School District","Math","High Needs",154,"45.5%","72.2%"
"=""0320011""","Coventry School District","Math","Non-High Needs",451,"54.3%","76.6%"
"=""0330011""","Cromwell School District","ELA","High Needs",197,"40.6%","64.5%"
"=""0330011""","Cromwell School District","ELA","Non-High Needs",556,"45.5%","67.0%"
"=""0330011""","Cromwell School District","Math","High Needs",196,"36.7%","58.9%"
"=""0330011""","Cromwell School District","Math","Non-High Needs",556,"38.3%","59.0%"
"=""0340011""","Danbury School District","ELA","High Needs",2331,"39.4%","63.4%"
"=""0340011""","Danbury School District","ELA","Non-High Needs",1345,"44.6%","64.8%"
"=""0340011""","Danbury School District","Math","High Needs",2391,"41.7%","63.8%"
"=""0340011""","Danbury School District","Math","Non-High Needs",1343,"44.7%","65.6%"
"=""0350011""","Darien School District","ELA","High Needs",277,"47.3%","67.1%"
"=""0350011""","Darien School District","ELA","Non-High Needs",1531,"61.4%","78.0%"
"=""0350011""","Darien School District","Math","High Needs",277,"52.7%","75.0%"
"=""0350011""","Darien School District","Math","Non-High Needs",1532,"70.8%","88.1%"
"=""0360011""","Deep River School District","ELA","High Needs",45,"31.1%","57.0%"
"=""0360011""","Deep River School District","ELA","Non-High Needs",101,"56.4%","72.2%"
"=""0360011""","Deep River School District","Math","High Needs",45,"42.2%","64.8%"
"=""0360011""","Deep River School District","Math","Non-High Needs",101,"54.5%","76.7%"
"=""0370011""","Derby School District","ELA","High Needs",321,"27.4%","49.3%"
"=""0370011""","Derby School District","ELA","Non-High Needs",199,"38.2%","58.5%"
"=""0370011""","Derby School District","Math","High Needs",322,"19.6%","39.4%"
"=""0370011""","Derby School District","Math","Non-High Needs",198,"28.3%","54.7%"
"=""0400011""","East Granby School District","ELA","High Needs",75,"28.0%","49.1%"
"=""0400011""","East Granby School District","ELA","Non-High Needs",235,"44.7%","63.3%"
"=""0400011""","East Granby School District","Math","High Needs",75,"44.0%","61.3%"
"=""0400011""","East Granby School District","Math","Non-High Needs",235,"52.3%","73.6%"
"=""0410011""","East Haddam School District","ELA","High Needs",91,"31.9%","52.3%"
"=""0410011""","East Haddam School District","ELA","Non-High Needs",303,"53.1%","67.9%"
"=""0410011""","East Haddam School District","Math","High Needs",90,"22.2%","40.7%"
"=""0410011""","East Haddam School District","Math","Non-High Needs",302,"35.4%","55.9%"
"=""0420011""","East Hampton School District","ELA","High Needs",132,"27.3%","48.1%"
"=""0420011""","East Hampton School District","ELA","Non-High Needs",516,"36.2%","54.6%"
"=""0420011""","East Hampton School District","Math","High Needs",131,"29.8%","50.5%"
"=""0420011""","East Hampton School District","Math","Non-High Needs",513,"35.9%","56.3%"
"=""0430011""","East Hartford School District","ELA","High Needs",1579,"33.7%","57.9%"
"=""0430011""","East Hartford School District","ELA","Non-High Needs",613,"41.9%","63.6%"
"=""0430011""","East Hartford School District","Math","High Needs",1582,"27.3%","47.9%"
"=""0430011""","East Hartford School District","Math","Non-High Needs",613,"25.3%","48.5%"
"=""0440011""","East Haven School District","ELA","High Needs",602,"41.4%","67.0%"
"=""0440011""","East Haven School District","ELA","Non-High Needs",457,"44.0%","68.3%"
"=""0440011""","East Haven School District","Math","High Needs",606,"35.8%","58.8%"
"=""0440011""","East Haven School District","Math","Non-High Needs",453,"40.2%","64.0%"
"=""0450011""","East Lyme School District","ELA","High Needs",259,"35.9%","57.0%"
"=""0450011""","East Lyme School District","ELA","Non-High Needs",702,"51.1%","67.9%"
"=""0450011""","East Lyme School District","Math","High Needs",257,"37.0%","61.5%"
"=""0450011""","East Lyme School District","Math","Non-High Needs",700,"55.3%","74.1%"
"=""0470011""","East Windsor School District","ELA","High Needs",174,"33.9%","58.7%"
"=""0470011""","East Windsor School District","ELA","Non-High Needs",171,"32.7%","58.1%"
"=""0470011""","East Windsor School District","Math","High Needs",176,"29.5%","52.3%"
"=""0470011""","East Windsor School District","Math","Non-High Needs",171,"36.3%","60.7%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA","High Needs",30,"16.7%","35.0%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math","High Needs",26,"23.1%","40.2%"
"=""0390011""","Eastford School District","ELA","High Needs",23,"26.1%","42.5%"
"=""0390011""","Eastford School District","ELA","Non-High Needs",44,"43.2%","67.6%"
"=""0390011""","Eastford School District","Math","High Needs",23,"43.5%","63.0%"
"=""0390011""","Eastford School District","Math","Non-High Needs",44,"50.0%","71.6%"
"=""0460011""","Easton School District","ELA","High Needs",75,"49.3%","70.4%"
"=""0460011""","Easton School District","ELA","Non-High Needs",426,"59.6%","77.8%"
"=""0460011""","Easton School District","Math","High Needs",75,"53.3%","71.5%"
"=""0460011""","Easton School District","Math","Non-High Needs",421,"68.9%","88.8%"
"=""2420014""","EdAdvance","ELA","High Needs","*","*","*"
"=""2420014""","EdAdvance","Math","High Needs","*","*","*"
"=""0480011""","Ellington School District","ELA","High Needs",178,"29.2%","53.7%"
"=""0480011""","Ellington School District","ELA","Non-High Needs",835,"48.5%","67.5%"
"=""0480011""","Ellington School District","Math","High Needs",179,"39.7%","60.6%"
"=""0480011""","Ellington School District","Math","Non-High Needs",835,"49.2%","71.6%"
"=""2890013""","Elm City College Preparatory School District","ELA","High Needs",255,"50.6%","72.8%"
"=""2890013""","Elm City College Preparatory School District","ELA","Non-High Needs",55,"72.7%","87.1%"
"=""2890013""","Elm City College Preparatory School District","Math","High Needs",255,"44.3%","64.9%"
"=""2890013""","Elm City College Preparatory School District","Math","Non-High Needs",55,"56.4%","80.3%"
"=""0490011""","Enfield School District","ELA","High Needs",759,"36.5%","61.0%"
"=""0490011""","Enfield School District","ELA","Non-High Needs",955,"51.5%","71.4%"
"=""0490011""","Enfield School District","Math","High Needs",757,"31.7%","56.8%"
"=""0490011""","Enfield School District","Math","Non-High Needs",952,"36.4%","59.3%"
"=""0500011""","Essex School District","ELA","High Needs",36,"38.9%","63.0%"
"=""0500011""","Essex School District","ELA","Non-High Needs",146,"54.1%","71.9%"
"=""0500011""","Essex School District","Math","High Needs",37,"51.4%","77.5%"
"=""0500011""","Essex School District","Math","Non-High Needs",146,"60.3%","82.7%"
"=""0510011""","Fairfield School District","ELA","High Needs",672,"42.4%","65.0%"
"=""0510011""","Fairfield School District","ELA","Non-High Needs",3132,"52.0%","71.0%"
"=""0510011""","Fairfield School District","Math","High Needs",671,"38.9%","60.0%"
"=""0510011""","Fairfield School District","Math","Non-High Needs",3124,"51.2%","72.8%"
"=""0520011""","Farmington School District","ELA","High Needs",297,"40.7%","62.9%"
"=""0520011""","Farmington School District","ELA","Non-High Needs",1215,"56.8%","74.1%"
"=""0520011""","Farmington School District","Math","High Needs",302,"45.4%","69.2%"
"=""0520011""","Farmington School District","Math","Non-High Needs",1217,"69.4%","87.9%"
"=""0530011""","Franklin School District","ELA","High Needs",20,"30.0%","55.1%"
"=""0530011""","Franklin School District","ELA","Non-High Needs",68,"36.8%","52.8%"
"=""0530011""","Franklin School District","Math","High Needs",20,"20.0%","37.5%"
"=""0530011""","Franklin School District","Math","Non-High Needs",68,"29.4%","50.6%"
"=""0540011""","Glastonbury School District","ELA","High Needs",395,"34.9%","57.4%"
"=""0540011""","Glastonbury School District","ELA","Non-High Needs",1920,"54.0%","70.6%"
"=""0540011""","Glastonbury School District","Math","High Needs",394,"39.6%","64.2%"
"=""0540011""","Glastonbury School District","Math","Non-High Needs",1919,"61.4%","80.6%"
"=""0560011""","Granby School District","ELA","High Needs",138,"44.2%","64.2%"
"=""0560011""","Granby School District","ELA","Non-High Needs",549,"62.3%","80.1%"
"=""0560011""","Granby School District","Math","High Needs",138,"36.2%","61.4%"
"=""0560011""","Granby School District","Math","Non-High Needs",548,"55.3%","75.7%"
"=""2940013""","Great Oaks Charter School District","ELA","High Needs",181,"39.2%","58.4%"
"=""2940013""","Great Oaks Charter School District","ELA","Non-High Needs",25,"48.0%","71.7%"
"=""2940013""","Great Oaks Charter School District","Math","High Needs",178,"41.6%","59.8%"
"=""2940013""","Great Oaks Charter School District","Math","Non-High Needs",25,"68.0%","84.1%"
"=""0570011""","Greenwich School District","ELA","High Needs",709,"40.8%","62.7%"
"=""0570011""","Greenwich School District","ELA","Non-High Needs",2316,"57.9%","74.5%"
"=""0570011""","Greenwich School District","Math","High Needs",735,"44.8%","64.9%"
"=""0570011""","Greenwich School District","Math","Non-High Needs",2325,"59.2%","76.9%"
"=""0580011""","Griswold School District","ELA","High Needs",294,"35.0%","56.5%"
"=""0580011""","Griswold School District","ELA","Non-High Needs",341,"48.4%","69.9%"
"=""0580011""","Griswold School District","Math","High Needs",294,"44.2%","65.4%"
"=""0580011""","Griswold School District","Math","Non-High Needs",341,"55.1%","74.6%"
"=""0590011""","Groton School District","ELA","High Needs",717,"37.2%","57.8%"
"=""0590011""","Groton School District","ELA","Non-High Needs",686,"45.0%","64.6%"
"=""0590011""","Groton School District","Math","High Needs",727,"38.4%","59.3%"
"=""0590011""","Groton School District","Math","Non-High Needs",685,"53.0%","71.8%"
"=""0600011""","Guilford School District","ELA","High Needs",241,"45.6%","65.0%"
"=""0600011""","Guilford School District","ELA","Non-High Needs",1062,"56.0%","73.9%"
"=""0600011""","Guilford School District","Math","High Needs",241,"50.2%","70.6%"
"=""0600011""","Guilford School District","Math","Non-High Needs",1061,"59.8%","79.8%"
"=""0620011""","Hamden School District","ELA","High Needs",920,"32.3%","54.0%"
"=""0620011""","Hamden School District","ELA","Non-High Needs",915,"42.3%","60.6%"
"=""0620011""","Hamden School District","Math","High Needs",922,"33.3%","54.3%"
"=""0620011""","Hamden School District","Math","Non-High Needs",911,"38.9%","58.7%"
"=""0630011""","Hampton School District","ELA","High Needs",10,"*","*"
"=""0630011""","Hampton School District","ELA","Non-High Needs",18,"*","*"
"=""0630011""","Hampton School District","Math","High Needs",10,"*","*"
"=""0630011""","Hampton School District","Math","Non-High Needs",17,"*","*"
"=""0640011""","Hartford School District","ELA","High Needs",5901,"30.7%","53.6%"
"=""0640011""","Hartford School District","ELA","Non-High Needs",907,"42.1%","59.9%"
"=""0640011""","Hartford School District","Math","High Needs",6003,"32.5%","54.7%"
"=""0640011""","Hartford School District","Math","Non-High Needs",907,"42.9%","63.0%"
"=""0650011""","Hartland School District","ELA","High Needs",26,"42.3%","67.9%"
"=""0650011""","Hartland School District","ELA","Non-High Needs",79,"62.0%","83.5%"
"=""0650011""","Hartland School District","Math","High Needs",25,"44.0%","63.6%"
"=""0650011""","Hartland School District","Math","Non-High Needs",79,"65.8%","88.3%"
"=""0670011""","Hebron School District","ELA","High Needs",65,"27.7%","60.2%"
"=""0670011""","Hebron School District","ELA","Non-High Needs",276,"48.9%","71.1%"
"=""0670011""","Hebron School District","Math","High Needs",66,"50.0%","77.3%"
"=""0670011""","Hebron School District","Math","Non-High Needs",276,"58.3%","83.3%"
"=""2860013""","Highville Charter School District","ELA","High Needs",123,"40.7%","63.0%"
"=""2860013""","Highville Charter School District","ELA","Non-High Needs",58,"15.5%","37.4%"
"=""2860013""","Highville Charter School District","Math","High Needs",123,"44.7%","68.1%"
"=""2860013""","Highville Charter School District","Math","Non-High Needs",58,"51.7%","67.6%"
"=""2640013""","Integrated Day Charter School District","ELA","High Needs",64,"28.1%","47.1%"
"=""2640013""","Integrated Day Charter School District","ELA","Non-High Needs",93,"34.4%","56.0%"
"=""2640013""","Integrated Day Charter School District","Math","High Needs",62,"43.5%","66.8%"
"=""2640013""","Integrated Day Charter School District","Math","Non-High Needs",92,"42.4%","63.5%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","High Needs",192,"31.8%","46.2%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","Non-High Needs",62,"35.5%","51.4%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","High Needs",190,"17.4%","31.0%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","Non-High Needs",62,"22.6%","38.9%"
"=""2610013""","Jumoke Academy District","ELA","High Needs",228,"32.5%","52.2%"
"=""2610013""","Jumoke Academy District","ELA","Non-High Needs",97,"40.2%","60.0%"
"=""2610013""","Jumoke Academy District","Math","High Needs",229,"31.9%","54.1%"
"=""2610013""","Jumoke Academy District","Math","Non-High Needs",97,"43.3%","59.3%"
"=""0680011""","Kent School District","ELA","High Needs",26,"30.8%","48.2%"
"=""0680011""","Kent School District","ELA","Non-High Needs",100,"52.0%","66.5%"
"=""0680011""","Kent School District","Math","High Needs",26,"38.5%","52.1%"
"=""0680011""","Kent School District","Math","Non-High Needs",100,"56.0%","74.7%"
"=""0690011""","Killingly School District","ELA","High Needs",395,"46.6%","68.5%"
"=""0690011""","Killingly School District","ELA","Non-High Needs",378,"50.8%","71.8%"
"=""0690011""","Killingly School District","Math","High Needs",395,"38.7%","63.6%"
"=""0690011""","Killingly School District","Math","Non-High Needs",376,"42.3%","63.8%"
"=""2450014""","Learn","ELA","High Needs",176,"39.2%","65.6%"
"=""2450014""","Learn","ELA","Non-High Needs",120,"54.2%","78.6%"
"=""2450014""","Learn","Math","High Needs",179,"39.1%","62.4%"
"=""2450014""","Learn","Math","Non-High Needs",121,"44.6%","69.8%"
"=""0710011""","Lebanon School District","ELA","High Needs",103,"48.5%","68.1%"
"=""0710011""","Lebanon School District","ELA","Non-High Needs",234,"51.3%","66.7%"
"=""0710011""","Lebanon School District","Math","High Needs",100,"37.0%","61.1%"
"=""0710011""","Lebanon School District","Math","Non-High Needs",233,"43.8%","67.3%"
"=""0720011""","Ledyard School District","ELA","High Needs",242,"33.5%","53.1%"
"=""0720011""","Ledyard School District","ELA","Non-High Needs",534,"46.1%","66.1%"
"=""0720011""","Ledyard School District","Math","High Needs",243,"41.2%","63.9%"
"=""0720011""","Ledyard School District","Math","Non-High Needs",535,"51.0%","72.9%"
"=""0730011""","Lisbon School District","ELA","High Needs",64,"32.8%","56.7%"
"=""0730011""","Lisbon School District","ELA","Non-High Needs",139,"38.8%","57.4%"
"=""0730011""","Lisbon School District","Math","High Needs",64,"31.3%","56.0%"
"=""0730011""","Lisbon School District","Math","Non-High Needs",139,"48.2%","73.7%"
"=""0740011""","Litchfield School District","ELA","High Needs",92,"44.6%","69.4%"
"=""0740011""","Litchfield School District","ELA","Non-High Needs",280,"60.7%","77.4%"
"=""0740011""","Litchfield School District","Math","High Needs",92,"48.9%","69.4%"
"=""0740011""","Litchfield School District","Math","Non-High Needs",280,"60.0%","76.5%"
"=""0760011""","Madison School District","ELA","High Needs",146,"24.7%","46.9%"
"=""0760011""","Madison School District","ELA","Non-High Needs",818,"39.5%","55.9%"
"=""0760011""","Madison School District","Math","High Needs",146,"26.0%","48.5%"
"=""0760011""","Madison School District","Math","Non-High Needs",816,"43.9%","61.4%"
"=""0770011""","Manchester School District","ELA","High Needs",1220,"30.9%","53.8%"
"=""0770011""","Manchester School District","ELA","Non-High Needs",742,"41.6%","62.9%"
"=""0770011""","Manchester School District","Math","High Needs",1222,"29.6%","51.0%"
"=""0770011""","Manchester School District","Math","Non-High Needs",742,"37.5%","60.2%"
"=""0780011""","Mansfield School District","ELA","High Needs",173,"43.9%","64.6%"
"=""0780011""","Mansfield School District","ELA","Non-High Needs",364,"54.4%","70.0%"
"=""0780011""","Mansfield School District","Math","High Needs",177,"45.2%","63.3%"
"=""0780011""","Mansfield School District","Math","Non-High Needs",364,"58.0%","74.5%"
"=""0790011""","Marlborough School District","ELA","High Needs",37,"48.6%","73.6%"
"=""0790011""","Marlborough School District","ELA","Non-High Needs",216,"57.4%","78.0%"
"=""0790011""","Marlborough School District","Math","High Needs",37,"51.4%","74.0%"
"=""0790011""","Marlborough School District","Math","Non-High Needs",215,"61.9%","85.8%"
"=""0800011""","Meriden School District","ELA","High Needs",1761,"36.9%","60.6%"
"=""0800011""","Meriden School District","ELA","Non-High Needs",689,"45.4%","64.7%"
"=""0800011""","Meriden School District","Math","High Needs",1767,"38.1%","61.5%"
"=""0800011""","Meriden School District","Math","Non-High Needs",682,"46.0%","70.5%"
"=""0830011""","Middletown School District","ELA","High Needs",762,"33.9%","56.3%"
"=""0830011""","Middletown School District","ELA","Non-High Needs",844,"41.8%","60.7%"
"=""0830011""","Middletown School District","Math","High Needs",763,"32.1%","53.4%"
"=""0830011""","Middletown School District","Math","Non-High Needs",844,"42.3%","60.8%"
"=""0840011""","Milford School District","ELA","High Needs",648,"40.3%","64.4%"
"=""0840011""","Milford School District","ELA","Non-High Needs",1543,"51.5%","70.0%"
"=""0840011""","Milford School District","Math","High Needs",647,"40.2%","62.1%"
"=""0840011""","Milford School District","Math","Non-High Needs",1537,"48.5%","69.1%"
"=""0850011""","Monroe School District","ELA","High Needs",207,"34.3%","49.3%"
