"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""0030011""","Ashford School District",6,"Eligible For Lunch",12,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Not Eligible For Lunch",24,2482,2497,15,"16.7%","41.7%"
"=""0030011""","Ashford School District",7,"Eligible For Lunch",14,"*","*","*","*","*"
"=""0030011""","Ashford School District",7,"Not Eligible For Lunch",32,2506,2579,73,"81.3%","95.3%"
"=""0030011""","Ashford School District",8,"Eligible For Lunch",17,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Not Eligible For Lunch",17,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"Eligible For Lunch",11,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"Not Eligible For Lunch",193,2503,2543,40,"46.6%","70.3%"
"=""0040011""","Avon School District",5,"Eligible For Lunch",17,"*","*","*","*","*"
"=""0040011""","Avon School District",5,"Not Eligible For Lunch",241,2529,2554,25,"42.7%","62.3%"
"=""0040011""","Avon School District",6,"Eligible For Lunch",8,"*","*","*","*","*"
"=""0040011""","Avon School District",6,"Not Eligible For Lunch",250,2550,2606,56,"70.4%","89.3%"
"=""0040011""","Avon School District",7,"Eligible For Lunch",13,"*","*","*","*","*"
"=""0040011""","Avon School District",7,"Not Eligible For Lunch",243,2602,2643,42,"65.4%","83.5%"
"=""0040011""","Avon School District",8,"Eligible For Lunch",14,"*","*","*","*","*"
"=""0040011""","Avon School District",8,"Not Eligible For Lunch",248,2627,2661,34,"67.7%","81.0%"
"=""0050011""","Barkhamsted School District",4,"Eligible For Lunch",9,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",4,"Not Eligible For Lunch",36,2407,2461,54,"41.7%","73.7%"
"=""0050011""","Barkhamsted School District",5,"Eligible For Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",5,"Not Eligible For Lunch","*",2466,2495,29,"26.8%","63.6%"
"=""0050011""","Barkhamsted School District",6,"Eligible For Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",6,"Not Eligible For Lunch","*",2516,2558,43,"42.5%","71.5%"
"=""0070011""","Berlin School District",4,"Eligible For Lunch",22,2392,2464,71,"63.6%","90.3%"
"=""0070011""","Berlin School District",4,"Not Eligible For Lunch",162,2437,2507,70,"63.6%","88.3%"
"=""0070011""","Berlin School District",5,"Eligible For Lunch",31,2454,2469,14,"25.8%","45.7%"
"=""0070011""","Berlin School District",5,"Not Eligible For Lunch",212,2513,2540,28,"35.4%","61.8%"
"=""0070011""","Berlin School District",6,"Eligible For Lunch",23,2458,2463,6,"34.8%","51.3%"
"=""0070011""","Berlin School District",6,"Not Eligible For Lunch",185,2515,2542,27,"35.1%","60.3%"
"=""0070011""","Berlin School District",7,"Eligible For Lunch",28,2462,2490,28,"35.7%","60.8%"
"=""0070011""","Berlin School District",7,"Not Eligible For Lunch",213,2539,2573,34,"50.7%","70.3%"
"=""0070011""","Berlin School District",8,"Eligible For Lunch",30,2467,2486,20,"43.3%","56.4%"
"=""0070011""","Berlin School District",8,"Not Eligible For Lunch",180,2578,2593,14,"44.4%","59.0%"
"=""0080011""","Bethany School District",4,"Eligible For Lunch","*","*","*","*","*","*"
"=""0080011""","Bethany School District",4,"Not Eligible For Lunch","*",2457,2512,54,"51.1%","81.4%"
"=""0080011""","Bethany School District",5,"Eligible For Lunch",6,"*","*","*","*","*"
"=""0080011""","Bethany School District",5,"Not Eligible For Lunch",50,2538,2595,56,"74.0%","90.8%"
"=""0080011""","Bethany School District",6,"Eligible For Lunch","*","*","*","*","*","*"
"=""0080011""","Bethany School District",6,"Not Eligible For Lunch","*",2513,2546,33,"49.2%","71.7%"
"=""0090011""","Bethel School District",4,"Eligible For Lunch",39,2402,2473,72,"59.0%","85.3%"
"=""0090011""","Bethel School District",4,"Not Eligible For Lunch",159,2433,2508,74,"69.2%","94.0%"
"=""0090011""","Bethel School District",5,"Eligible For Lunch",48,2442,2487,44,"54.2%","74.4%"
"=""0090011""","Bethel School District",5,"Not Eligible For Lunch",150,2494,2548,54,"68.0%","88.5%"
"=""0090011""","Bethel School District",6,"Eligible For Lunch",33,2503,2523,20,"15.2%","47.6%"
"=""0090011""","Bethel School District",6,"Not Eligible For Lunch",143,2530,2564,34,"53.8%","74.0%"
"=""0090011""","Bethel School District",7,"Eligible For Lunch",50,2483,2506,23,"42.0%","59.1%"
"=""0090011""","Bethel School District",7,"Not Eligible For Lunch",180,2538,2579,41,"54.4%","77.3%"
"=""0090011""","Bethel School District",8,"Eligible For Lunch",52,2515,2562,48,"61.5%","78.2%"
"=""0090011""","Bethel School District",8,"Not Eligible For Lunch",155,2555,2595,40,"63.2%","79.0%"
"=""0110011""","Bloomfield School District",4,"Eligible For Lunch",58,2371,2434,63,"51.7%","79.0%"
"=""0110011""","Bloomfield School District",4,"Not Eligible For Lunch",42,2397,2451,54,"45.2%","78.2%"
"=""0110011""","Bloomfield School District",5,"Eligible For Lunch",58,2419,2454,35,"39.7%","65.6%"
"=""0110011""","Bloomfield School District",5,"Not Eligible For Lunch",55,2447,2476,29,"34.5%","65.0%"
"=""0110011""","Bloomfield School District",6,"Eligible For Lunch",70,2451,2502,52,"57.1%","76.5%"
"=""0110011""","Bloomfield School District",6,"Not Eligible For Lunch",43,2460,2525,65,"60.5%","82.5%"
"=""0110011""","Bloomfield School District",7,"Eligible For Lunch",58,2482,2497,15,"31.0%","48.6%"
"=""0110011""","Bloomfield School District",7,"Not Eligible For Lunch",58,2493,2531,38,"46.6%","66.6%"
"=""0110011""","Bloomfield School District",8,"Eligible For Lunch",59,2484,2498,14,"32.2%","46.7%"
"=""0110011""","Bloomfield School District",8,"Not Eligible For Lunch",64,2512,2528,16,"37.5%","52.8%"
"=""0120011""","Bolton School District",4,"Eligible For Lunch",10,"*","*","*","*","*"
"=""0120011""","Bolton School District",4,"Not Eligible For Lunch",43,2483,2547,63,"67.4%","95.5%"
"=""0120011""","Bolton School District",5,"Eligible For Lunch",10,"*","*","*","*","*"
"=""0120011""","Bolton School District",5,"Not Eligible For Lunch",56,2514,2536,22,"44.6%","62.6%"
"=""0120011""","Bolton School District",6,"Eligible For Lunch",8,"*","*","*","*","*"
"=""0120011""","Bolton School District",6,"Not Eligible For Lunch",53,2556,2596,40,"56.6%","77.1%"
"=""0120011""","Bolton School District",7,"Eligible For Lunch",12,"*","*","*","*","*"
"=""0120011""","Bolton School District",7,"Not Eligible For Lunch",48,2553,2596,42,"54.2%","76.4%"
"=""0120011""","Bolton School District",8,"Eligible For Lunch",10,"*","*","*","*","*"
"=""0120011""","Bolton School District",8,"Not Eligible For Lunch",39,2598,2607,9,"30.8%","43.4%"
"=""0130011""","Bozrah School District",4,"Eligible For Lunch",7,"*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"Not Eligible For Lunch",14,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"Eligible For Lunch",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"Not Eligible For Lunch",23,2449,2486,37,"43.5%","67.7%"
"=""0130011""","Bozrah School District",6,"Eligible For Lunch","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"Not Eligible For Lunch","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Eligible For Lunch","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Not Eligible For Lunch","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Eligible For Lunch","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Not Eligible For Lunch","*","*","*","*","*","*"
"=""0140011""","Branford School District",4,"Eligible For Lunch",53,2438,2496,58,"47.2%","72.2%"
"=""0140011""","Branford School District",4,"Not Eligible For Lunch",151,2458,2514,56,"47.0%","78.7%"
"=""0140011""","Branford School District",5,"Eligible For Lunch",55,2473,2512,39,"45.5%","72.3%"
"=""0140011""","Branford School District",5,"Not Eligible For Lunch",160,2507,2540,33,"48.1%","72.5%"
"=""0140011""","Branford School District",6,"Eligible For Lunch",59,2467,2482,15,"30.5%","49.0%"
"=""0140011""","Branford School District",6,"Not Eligible For Lunch",143,2516,2549,33,"49.0%","68.6%"
"=""0140011""","Branford School District",7,"Eligible For Lunch",45,2495,2511,17,"33.3%","48.6%"
"=""0140011""","Branford School District",7,"Not Eligible For Lunch",157,2553,2583,30,"45.9%","67.6%"
"=""0140011""","Branford School District",8,"Eligible For Lunch",50,2523,2500,-23,"20.0%","34.2%"
"=""0140011""","Branford School District",8,"Not Eligible For Lunch",173,2578,2575,-4,"30.6%","43.0%"
"=""2850013""","Bridgeport Achievement First District",4,"Eligible For Lunch",69,2403,2487,85,"73.9%","95.7%"
"=""2850013""","Bridgeport Achievement First District",4,"Not Eligible For Lunch",17,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",5,"Eligible For Lunch",65,2445,2459,13,"30.8%","47.8%"
"=""2850013""","Bridgeport Achievement First District",5,"Not Eligible For Lunch",17,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",6,"Eligible For Lunch",74,2426,2471,45,"54.1%","73.8%"
"=""2850013""","Bridgeport Achievement First District",6,"Not Eligible For Lunch",12,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",7,"Eligible For Lunch",68,2451,2508,57,"61.8%","78.9%"
"=""2850013""","Bridgeport Achievement First District",7,"Not Eligible For Lunch",15,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",8,"Eligible For Lunch",71,2508,2579,71,"73.2%","87.5%"
"=""2850013""","Bridgeport Achievement First District",8,"Not Eligible For Lunch",14,"*","*","*","*","*"
"=""0150011""","Bridgeport School District",4,"Eligible For Lunch",1596,2364,2399,35,"21.1%","52.1%"
"=""0150011""","Bridgeport School District",5,"Eligible For Lunch",1420,2392,2411,19,"28.1%","50.4%"
"=""0150011""","Bridgeport School District",6,"Eligible For Lunch",1211,2409,2427,17,"33.9%","52.0%"
"=""0150011""","Bridgeport School District",7,"Eligible For Lunch",1191,2432,2454,22,"36.0%","55.7%"
"=""0150011""","Bridgeport School District",8,"Eligible For Lunch",1301,2454,2459,6,"29.5%","44.5%"
"=""0170011""","Bristol School District",4,"Eligible For Lunch",268,2398,2446,48,"39.2%","69.4%"
"=""0170011""","Bristol School District",4,"Not Eligible For Lunch",268,2444,2497,53,"47.8%","75.1%"
"=""0170011""","Bristol School District",5,"Eligible For Lunch",292,2446,2475,29,"36.3%","62.4%"
"=""0170011""","Bristol School District",5,"Not Eligible For Lunch",327,2484,2518,34,"44.3%","66.8%"
"=""0170011""","Bristol School District",6,"Eligible For Lunch",238,2449,2473,24,"34.9%","56.4%"
"=""0170011""","Bristol School District",6,"Not Eligible For Lunch",292,2511,2544,33,"43.8%","65.8%"
"=""0170011""","Bristol School District",7,"Eligible For Lunch",254,2463,2500,37,"49.6%","69.2%"
"=""0170011""","Bristol School District",7,"Not Eligible For Lunch",317,2517,2553,36,"52.1%","73.2%"
"=""0170011""","Bristol School District",8,"Eligible For Lunch",233,2492,2515,23,"43.3%","59.2%"
"=""0170011""","Bristol School District",8,"Not Eligible For Lunch",293,2558,2577,19,"37.2%","56.4%"
"=""0180011""","Brookfield School District",4,"Eligible For Lunch",15,"*","*","*","*","*"
"=""0180011""","Brookfield School District",4,"Not Eligible For Lunch",188,2470,2507,37,"32.4%","61.9%"
"=""0180011""","Brookfield School District",5,"Eligible For Lunch",14,"*","*","*","*","*"
"=""0180011""","Brookfield School District",5,"Not Eligible For Lunch",154,2511,2531,20,"32.5%","55.6%"
"=""0180011""","Brookfield School District",6,"Eligible For Lunch",10,"*","*","*","*","*"
"=""0180011""","Brookfield School District",6,"Not Eligible For Lunch",176,2521,2554,33,"47.7%","70.0%"
"=""0180011""","Brookfield School District",7,"Eligible For Lunch",8,"*","*","*","*","*"
"=""0180011""","Brookfield School District",7,"Not Eligible For Lunch",206,2563,2595,31,"53.4%","72.5%"
"=""0180011""","Brookfield School District",8,"Eligible For Lunch",22,2554,2602,48,"59.1%","80.0%"
"=""0180011""","Brookfield School District",8,"Not Eligible For Lunch",164,2588,2631,42,"61.6%","78.5%"
"=""0190011""","Brooklyn School District",4,"Eligible For Lunch",23,2402,2458,56,"34.8%","74.5%"
"=""0190011""","Brooklyn School District",4,"Not Eligible For Lunch",50,2446,2508,61,"58.0%","85.7%"
"=""0190011""","Brooklyn School District",5,"Eligible For Lunch",23,2462,2462,1,"13.0%","34.0%"
"=""0190011""","Brooklyn School District",5,"Not Eligible For Lunch",75,2508,2513,5,"17.3%","35.5%"
"=""0190011""","Brooklyn School District",6,"Eligible For Lunch",25,2439,2490,51,"60.0%","72.7%"
"=""0190011""","Brooklyn School District",6,"Not Eligible For Lunch",48,2509,2566,57,"60.4%","88.4%"
"=""0190011""","Brooklyn School District",7,"Eligible For Lunch",19,"*","*","*","*","*"
"=""0190011""","Brooklyn School District",7,"Not Eligible For Lunch",57,2548,2558,10,"35.1%","50.1%"
"=""0190011""","Brooklyn School District",8,"Eligible For Lunch",33,2472,2491,20,"42.4%","55.6%"
"=""0190011""","Brooklyn School District",8,"Not Eligible For Lunch",70,2538,2561,23,"40.0%","56.2%"
"=""0210011""","Canaan School District",4,"Not Eligible For Lunch","*","*","*","*","*","*"
"=""0210011""","Canaan School District",5,"Eligible For Lunch","*","*","*","*","*","*"
"=""0210011""","Canaan School District",5,"Not Eligible For Lunch","*","*","*","*","*","*"
"=""0210011""","Canaan School District",6,"Eligible For Lunch","*","*","*","*","*","*"
"=""0210011""","Canaan School District",6,"Not Eligible For Lunch","*","*","*","*","*","*"
"=""0210011""","Canaan School District",7,"Eligible For Lunch","*","*","*","*","*","*"
"=""0210011""","Canaan School District",7,"Not Eligible For Lunch","*","*","*","*","*","*"
"=""0210011""","Canaan School District",8,"Not Eligible For Lunch",10,"*","*","*","*","*"
"=""0220011""","Canterbury School District",4,"Eligible For Lunch",8,"*","*","*","*","*"
"=""0220011""","Canterbury School District",4,"Not Eligible For Lunch",28,2433,2489,56,"46.4%","81.7%"
"=""0220011""","Canterbury School District",5,"Eligible For Lunch",18,"*","*","*","*","*"
"=""0220011""","Canterbury School District",5,"Not Eligible For Lunch",32,2465,2477,11,"28.1%","47.9%"
"=""0220011""","Canterbury School District",6,"Eligible For Lunch",10,"*","*","*","*","*"
"=""0220011""","Canterbury School District",6,"Not Eligible For Lunch",24,2494,2531,37,"41.7%","64.8%"
"=""0220011""","Canterbury School District",7,"Eligible For Lunch",20,2459,2507,48,"55.0%","84.0%"
"=""0220011""","Canterbury School District",7,"Not Eligible For Lunch",50,2484,2535,50,"62.0%","84.6%"
"=""0220011""","Canterbury School District",8,"Eligible For Lunch",16,"*","*","*","*","*"
"=""0220011""","Canterbury School District",8,"Not Eligible For Lunch",42,2552,2578,26,"45.2%","66.2%"
"=""0230011""","Canton School District",4,"Eligible For Lunch",19,"*","*","*","*","*"
"=""0230011""","Canton School District",4,"Not Eligible For Lunch",93,2485,2523,38,"40.9%","66.9%"
"=""0230011""","Canton School District",5,"Eligible For Lunch",14,"*","*","*","*","*"
"=""0230011""","Canton School District",5,"Not Eligible For Lunch",115,2500,2543,43,"56.5%","77.5%"
"=""0230011""","Canton School District",6,"Eligible For Lunch",15,"*","*","*","*","*"
"=""0230011""","Canton School District",6,"Not Eligible For Lunch",117,2533,2590,58,"59.0%","83.2%"
"=""0230011""","Canton School District",7,"Eligible For Lunch",20,2487,2530,43,"45.0%","82.6%"
"=""0230011""","Canton School District",7,"Not Eligible For Lunch",116,2561,2591,30,"57.8%","74.4%"
"=""0230011""","Canton School District",8,"Eligible For Lunch",16,"*","*","*","*","*"
"=""0230011""","Canton School District",8,"Not Eligible For Lunch",119,2567,2612,46,"65.5%","83.2%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",6,"Eligible For Lunch",19,"*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",6,"Not Eligible For Lunch",7,"*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",7,"Eligible For Lunch",23,2443,2450,8,"13.0%","37.1%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",7,"Not Eligible For Lunch",9,"*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",8,"Eligible For Lunch",13,"*","*","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District",8,"Not Eligible For Lunch",16,"*","*","*","*","*"
"=""2410014""","Capitol Region Education Council",4,"Eligible For Lunch",180,2388,2441,52,"38.9%","72.2%"
"=""2410014""","Capitol Region Education Council",4,"Not Eligible For Lunch",171,2463,2513,50,"43.9%","74.8%"
"=""2410014""","Capitol Region Education Council",5,"Eligible For Lunch",166,2419,2453,33,"44.0%","64.4%"
"=""2410014""","Capitol Region Education Council",5,"Not Eligible For Lunch",147,2487,2532,45,"57.1%","78.5%"
"=""2410014""","Capitol Region Education Council",6,"Eligible For Lunch",305,2442,2455,12,"27.2%","47.1%"
"=""2410014""","Capitol Region Education Council",6,"Not Eligible For Lunch",276,2505,2523,17,"32.6%","52.0%"
"=""2410014""","Capitol Region Education Council",7,"Eligible For Lunch",381,2468,2479,11,"26.5%","46.0%"
"=""2410014""","Capitol Region Education Council",7,"Not Eligible For Lunch",282,2527,2549,22,"40.8%","60.6%"
"=""2410014""","Capitol Region Education Council",8,"Eligible For Lunch",284,2482,2502,20,"35.6%","53.9%"
"=""2410014""","Capitol Region Education Council",8,"Not Eligible For Lunch",320,2561,2583,22,"45.6%","62.9%"
"=""0240011""","Chaplin School District",4,"Eligible For Lunch","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",4,"Not Eligible For Lunch","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",5,"Eligible For Lunch","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",5,"Not Eligible For Lunch","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",6,"Eligible For Lunch","*","*","*","*","*","*"
"=""0240011""","Chaplin School District",6,"Not Eligible For Lunch","*","*","*","*","*","*"
"=""0250011""","Cheshire School District",4,"Eligible For Lunch",33,2410,2462,52,"42.4%","75.4%"
"=""0250011""","Cheshire School District",4,"Not Eligible For Lunch",245,2465,2517,53,"52.2%","78.1%"
"=""0250011""","Cheshire School District",5,"Eligible For Lunch",27,2463,2504,41,"44.4%","66.2%"
"=""0250011""","Cheshire School District",5,"Not Eligible For Lunch",310,2517,2566,49,"63.2%","84.5%"
"=""0250011""","Cheshire School District",6,"Eligible For Lunch",25,2482,2520,38,"40.0%","71.1%"
"=""0250011""","Cheshire School District",6,"Not Eligible For Lunch",351,2533,2578,45,"57.8%","76.8%"
"=""0250011""","Cheshire School District",7,"Eligible For Lunch",37,2521,2536,15,"35.1%","53.6%"
"=""0250011""","Cheshire School District",7,"Not Eligible For Lunch",318,2569,2585,16,"41.2%","57.2%"
"=""0250011""","Cheshire School District",8,"Eligible For Lunch",21,2515,2520,5,"33.3%","41.6%"
"=""0250011""","Cheshire School District",8,"Not Eligible For Lunch",322,2580,2616,36,"56.8%","73.5%"
"=""0260011""","Chester School District",4,"Eligible For Lunch","*","*","*","*","*","*"
"=""0260011""","Chester School District",4,"Not Eligible For Lunch","*",2491,2525,34,"33.3%","61.5%"
"=""0260011""","Chester School District",5,"Eligible For Lunch","*","*","*","*","*","*"
"=""0260011""","Chester School District",5,"Not Eligible For Lunch","*",2536,2559,23,"43.8%","60.5%"
"=""0260011""","Chester School District",6,"Eligible For Lunch","*","*","*","*","*","*"
"=""0260011""","Chester School District",6,"Not Eligible For Lunch","*",2517,2588,70,"81.1%","97.6%"
"=""0270011""","Clinton School District",4,"Eligible For Lunch",35,2404,2465,61,"54.3%","83.4%"
"=""0270011""","Clinton School District",4,"Not Eligible For Lunch",99,2449,2510,60,"52.5%","85.1%"
"=""0270011""","Clinton School District",5,"Eligible For Lunch",22,2462,2497,35,"40.9%","69.5%"
"=""0270011""","Clinton School District",5,"Not Eligible For Lunch",145,2519,2548,29,"51.0%","69.6%"
"=""0270011""","Clinton School District",6,"Eligible For Lunch",33,2509,2542,32,"45.5%","62.0%"
"=""0270011""","Clinton School District",6,"Not Eligible For Lunch",98,2545,2578,33,"48.0%","71.4%"
"=""0270011""","Clinton School District",7,"Eligible For Lunch",33,2483,2502,18,"42.4%","55.6%"
"=""0270011""","Clinton School District",7,"Not Eligible For Lunch",108,2554,2566,12,"34.3%","52.2%"
"=""0270011""","Clinton School District",8,"Eligible For Lunch",33,2499,2536,37,"51.5%","72.5%"
"=""0270011""","Clinton School District",8,"Not Eligible For Lunch",121,2563,2602,40,"57.0%","73.0%"
"=""0280011""","Colchester School District",4,"Eligible For Lunch",29,2433,2480,47,"37.9%","74.0%"
"=""0280011""","Colchester School District",4,"Not Eligible For Lunch",132,2468,2523,55,"49.2%","82.2%"
"=""0280011""","Colchester School District",5,"Eligible For Lunch",36,2457,2508,51,"55.6%","82.4%"
"=""0280011""","Colchester School District",5,"Not Eligible For Lunch",157,2500,2559,60,"70.7%","89.6%"
"=""0280011""","Colchester School District",6,"Eligible For Lunch",37,2502,2486,-16,"13.5%","23.9%"
"=""0280011""","Colchester School District",6,"Not Eligible For Lunch",164,2551,2546,-6,"23.8%","34.8%"
"=""0280011""","Colchester School District",7,"Eligible For Lunch",29,2538,2536,-3,"20.7%","32.4%"
"=""0280011""","Colchester School District",7,"Not Eligible For Lunch",162,2566,2566,0,"22.2%","37.4%"
"=""0280011""","Colchester School District",8,"Eligible For Lunch",40,2518,2551,33,"52.5%","74.4%"
"=""0280011""","Colchester School District",8,"Not Eligible For Lunch",149,2569,2603,34,"56.4%","75.6%"
"=""0290011""","Colebrook School District",4,"Not Eligible For Lunch",9,"*","*","*","*","*"
"=""0290011""","Colebrook School District",5,"Eligible For Lunch","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",5,"Not Eligible For Lunch","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",6,"Eligible For Lunch","*","*","*","*","*","*"
"=""0290011""","Colebrook School District",6,"Not Eligible For Lunch","*","*","*","*","*","*"
"=""0300011""","Columbia School District",4,"Eligible For Lunch",9,"*","*","*","*","*"
"=""0300011""","Columbia School District",4,"Not Eligible For Lunch",26,2431,2496,65,"61.5%","85.1%"
"=""0300011""","Columbia School District",5,"Eligible For Lunch",7,"*","*","*","*","*"
"=""0300011""","Columbia School District",5,"Not Eligible For Lunch",44,2483,2500,17,"15.9%","45.1%"
"=""0300011""","Columbia School District",6,"Eligible For Lunch",6,"*","*","*","*","*"
"=""0300011""","Columbia School District",6,"Not Eligible For Lunch",30,2511,2537,26,"30.0%","60.9%"
"=""0300011""","Columbia School District",7,"Eligible For Lunch",9,"*","*","*","*","*"
