"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","Subject","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0030011""","Ashford School District","Math","Not Eligible for Free/Reduced Lunch",127,"40.9%","59.0%"
"=""0030011""","Ashford School District","Math","Eligible for Reduced Lunch",10,"*","*"
"=""0040011""","Avon School District","ELA","Eligible for Free Lunch",53,"32.1%","57.0%"
"=""0040011""","Avon School District","ELA","Not Eligible for Free/Reduced Lunch",1171,"57.1%","74.1%"
"=""0040011""","Avon School District","ELA","Eligible for Reduced Lunch",9,"*","*"
"=""0040011""","Avon School District","Math","Eligible for Free Lunch",54,"18.5%","41.0%"
"=""0040011""","Avon School District","Math","Not Eligible for Free/Reduced Lunch",1175,"59.2%","77.7%"
"=""0040011""","Avon School District","Math","Eligible for Reduced Lunch",9,"*","*"
"=""0050011""","Barkhamsted School District","ELA","Eligible for Free Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","ELA","Not Eligible for Free/Reduced Lunch",117,"45.3%","68.6%"
"=""0050011""","Barkhamsted School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","Math","Eligible for Free Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","Math","Not Eligible for Free/Reduced Lunch",117,"36.8%","69.4%"
"=""0050011""","Barkhamsted School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0070011""","Berlin School District","ELA","Eligible for Free Lunch",102,"49.0%","70.8%"
"=""0070011""","Berlin School District","ELA","Not Eligible for Free/Reduced Lunch",953,"52.6%","73.4%"
"=""0070011""","Berlin School District","ELA","Eligible for Reduced Lunch",32,"37.5%","65.8%"
"=""0070011""","Berlin School District","Math","Eligible for Free Lunch",102,"39.2%","59.0%"
"=""0070011""","Berlin School District","Math","Not Eligible for Free/Reduced Lunch",952,"45.3%","67.4%"
"=""0070011""","Berlin School District","Math","Eligible for Reduced Lunch",32,"40.6%","61.3%"
"=""0080011""","Bethany School District","ELA","Eligible for Free Lunch","*","*","*"
"=""0080011""","Bethany School District","ELA","Not Eligible for Free/Reduced Lunch",154,"49.4%","69.5%"
"=""0080011""","Bethany School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0080011""","Bethany School District","Math","Eligible for Free Lunch","*","*","*"
"=""0080011""","Bethany School District","Math","Not Eligible for Free/Reduced Lunch",154,"57.8%","80.8%"
"=""0080011""","Bethany School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0090011""","Bethel School District","ELA","Eligible for Free Lunch",147,"40.8%","59.5%"
"=""0090011""","Bethel School District","ELA","Not Eligible for Free/Reduced Lunch",787,"52.7%","72.6%"
"=""0090011""","Bethel School District","ELA","Eligible for Reduced Lunch",75,"56.0%","74.6%"
"=""0090011""","Bethel School District","Math","Eligible for Free Lunch",147,"45.6%","65.7%"
"=""0090011""","Bethel School District","Math","Not Eligible for Free/Reduced Lunch",787,"61.6%","82.5%"
"=""0090011""","Bethel School District","Math","Eligible for Reduced Lunch",75,"53.3%","77.8%"
"=""0110011""","Bloomfield School District","ELA","Eligible for Free Lunch",248,"36.3%","57.5%"
"=""0110011""","Bloomfield School District","ELA","Not Eligible for Free/Reduced Lunch",262,"35.9%","61.2%"
"=""0110011""","Bloomfield School District","ELA","Eligible for Reduced Lunch",53,"39.6%","68.3%"
"=""0110011""","Bloomfield School District","Math","Eligible for Free Lunch",250,"44.0%","64.7%"
"=""0110011""","Bloomfield School District","Math","Not Eligible for Free/Reduced Lunch",262,"43.9%","67.4%"
"=""0110011""","Bloomfield School District","Math","Eligible for Reduced Lunch",53,"37.7%","59.4%"
"=""0120011""","Bolton School District","ELA","Eligible for Free Lunch",43,"39.5%","62.7%"
"=""0120011""","Bolton School District","ELA","Not Eligible for Free/Reduced Lunch",239,"59.8%","78.8%"
"=""0120011""","Bolton School District","ELA","Eligible for Reduced Lunch",7,"*","*"
"=""0120011""","Bolton School District","Math","Eligible for Free Lunch",43,"48.8%","71.0%"
"=""0120011""","Bolton School District","Math","Not Eligible for Free/Reduced Lunch",239,"51.0%","71.4%"
"=""0120011""","Bolton School District","Math","Eligible for Reduced Lunch",7,"*","*"
"=""0130011""","Bozrah School District","ELA","Eligible for Free Lunch","*","*","*"
"=""0130011""","Bozrah School District","ELA","Not Eligible for Free/Reduced Lunch",85,"37.6%","60.6%"
"=""0130011""","Bozrah School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0130011""","Bozrah School District","Math","Eligible for Free Lunch","*","*","*"
"=""0130011""","Bozrah School District","Math","Not Eligible for Free/Reduced Lunch",85,"44.7%","70.6%"
"=""0130011""","Bozrah School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","ELA","Eligible for Free Lunch",208,"40.4%","59.7%"
"=""0140011""","Branford School District","ELA","Not Eligible for Free/Reduced Lunch",784,"44.8%","63.8%"
"=""0140011""","Branford School District","ELA","Eligible for Reduced Lunch",55,"43.6%","63.1%"
"=""0140011""","Branford School District","Math","Eligible for Free Lunch",206,"32.5%","53.6%"
"=""0140011""","Branford School District","Math","Not Eligible for Free/Reduced Lunch",784,"43.8%","65.5%"
"=""0140011""","Branford School District","Math","Eligible for Reduced Lunch",56,"46.4%","63.4%"
"=""2850013""","Bridgeport Achievement First District","ELA","Eligible for Free Lunch",301,"47.2%","66.6%"
"=""2850013""","Bridgeport Achievement First District","ELA","Not Eligible for Free/Reduced Lunch",75,"61.3%","79.9%"
"=""2850013""","Bridgeport Achievement First District","ELA","Eligible for Reduced Lunch",46,"45.7%","65.8%"
"=""2850013""","Bridgeport Achievement First District","Math","Eligible for Free Lunch",301,"61.1%","78.7%"
"=""2850013""","Bridgeport Achievement First District","Math","Not Eligible for Free/Reduced Lunch",75,"61.3%","81.2%"
"=""2850013""","Bridgeport Achievement First District","Math","Eligible for Reduced Lunch",46,"45.7%","67.0%"
"=""0150011""","Bridgeport School District","ELA","Eligible for Free Lunch",6596,"31.0%","54.6%"
"=""0150011""","Bridgeport School District","Math","Eligible for Free Lunch",6719,"29.1%","50.9%"
"=""0170011""","Bristol School District","ELA","Eligible for Free Lunch",1087,"39.7%","62.9%"
"=""0170011""","Bristol School District","ELA","Not Eligible for Free/Reduced Lunch",1497,"44.0%","65.5%"
"=""0170011""","Bristol School District","ELA","Eligible for Reduced Lunch",181,"39.8%","62.6%"
"=""0170011""","Bristol School District","Math","Eligible for Free Lunch",1103,"39.7%","63.0%"
"=""0170011""","Bristol School District","Math","Not Eligible for Free/Reduced Lunch",1497,"45.1%","67.4%"
"=""0170011""","Bristol School District","Math","Eligible for Reduced Lunch",182,"45.6%","66.6%"
"=""0180011""","Brookfield School District","ELA","Eligible for Free Lunch",52,"28.8%","48.8%"
"=""0180011""","Brookfield School District","ELA","Not Eligible for Free/Reduced Lunch",888,"44.5%","64.2%"
"=""0180011""","Brookfield School District","ELA","Eligible for Reduced Lunch",17,"*","*"
"=""0180011""","Brookfield School District","Math","Eligible for Free Lunch",52,"42.3%","67.7%"
"=""0180011""","Brookfield School District","Math","Not Eligible for Free/Reduced Lunch",888,"45.7%","67.9%"
"=""0180011""","Brookfield School District","Math","Eligible for Reduced Lunch",17,"*","*"
"=""0190011""","Brooklyn School District","ELA","Eligible for Free Lunch",99,"42.4%","67.7%"
"=""0190011""","Brooklyn School District","ELA","Not Eligible for Free/Reduced Lunch",300,"51.7%","69.6%"
"=""0190011""","Brooklyn School District","ELA","Eligible for Reduced Lunch",24,"37.5%","65.5%"
"=""0190011""","Brooklyn School District","Math","Eligible for Free Lunch",99,"35.4%","56.1%"
"=""0190011""","Brooklyn School District","Math","Not Eligible for Free/Reduced Lunch",300,"39.7%","59.9%"
"=""0190011""","Brooklyn School District","Math","Eligible for Reduced Lunch",24,"37.5%","56.3%"
"=""0210011""","Canaan School District","ELA","Eligible for Free Lunch","*","*","*"
"=""0210011""","Canaan School District","ELA","Not Eligible for Free/Reduced Lunch","*","55.9%","73.8%"
"=""0210011""","Canaan School District","Math","Eligible for Free Lunch","*","*","*"
"=""0210011""","Canaan School District","Math","Not Eligible for Free/Reduced Lunch","*","26.5%","50.3%"
"=""0220011""","Canterbury School District","ELA","Eligible for Free Lunch",54,"48.1%","71.1%"
"=""0220011""","Canterbury School District","ELA","Not Eligible for Free/Reduced Lunch",176,"40.9%","64.4%"
"=""0220011""","Canterbury School District","ELA","Eligible for Reduced Lunch",18,"*","*"
"=""0220011""","Canterbury School District","Math","Eligible for Free Lunch",54,"37.0%","57.2%"
"=""0220011""","Canterbury School District","Math","Not Eligible for Free/Reduced Lunch",176,"46.6%","70.4%"
"=""0220011""","Canterbury School District","Math","Eligible for Reduced Lunch",18,"*","*"
"=""0230011""","Canton School District","ELA","Eligible for Free Lunch",67,"31.3%","56.6%"
"=""0230011""","Canton School District","ELA","Not Eligible for Free/Reduced Lunch",560,"53.6%","72.6%"
"=""0230011""","Canton School District","ELA","Eligible for Reduced Lunch",17,"*","*"
"=""0230011""","Canton School District","Math","Eligible for Free Lunch",67,"44.8%","68.1%"
"=""0230011""","Canton School District","Math","Not Eligible for Free/Reduced Lunch",560,"56.6%","77.5%"
"=""0230011""","Canton School District","Math","Eligible for Reduced Lunch",17,"*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA","Eligible for Free Lunch",45,"37.8%","57.9%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA","Not Eligible for Free/Reduced Lunch",32,"40.6%","64.6%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA","Eligible for Reduced Lunch",11,"*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math","Eligible for Free Lunch",45,"17.8%","36.2%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math","Not Eligible for Free/Reduced Lunch",32,"12.5%","29.3%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math","Eligible for Reduced Lunch",10,"*","*"
"=""2410014""","Capitol Region Education Council","ELA","Eligible for Free Lunch",1121,"35.7%","58.6%"
"=""2410014""","Capitol Region Education Council","ELA","Not Eligible for Free/Reduced Lunch",1202,"44.1%","63.4%"
"=""2410014""","Capitol Region Education Council","ELA","Eligible for Reduced Lunch",216,"38.9%","64.5%"
"=""2410014""","Capitol Region Education Council","Math","Eligible for Free Lunch",1099,"32.8%","54.3%"
"=""2410014""","Capitol Region Education Council","Math","Not Eligible for Free/Reduced Lunch",1196,"42.6%","63.5%"
"=""2410014""","Capitol Region Education Council","Math","Eligible for Reduced Lunch",217,"31.3%","51.6%"
"=""0240011""","Chaplin School District","ELA","Eligible for Free Lunch",18,"*","*"
"=""0240011""","Chaplin School District","ELA","Not Eligible for Free/Reduced Lunch",18,"*","*"
"=""0240011""","Chaplin School District","ELA","Eligible for Reduced Lunch",7,"*","*"
"=""0240011""","Chaplin School District","Math","Eligible for Free Lunch",17,"*","*"
"=""0240011""","Chaplin School District","Math","Not Eligible for Free/Reduced Lunch",18,"*","*"
"=""0240011""","Chaplin School District","Math","Eligible for Reduced Lunch",7,"*","*"
"=""0250011""","Cheshire School District","ELA","Eligible for Free Lunch",115,"40.9%","62.2%"
"=""0250011""","Cheshire School District","ELA","Not Eligible for Free/Reduced Lunch",1545,"53.6%","70.4%"
"=""0250011""","Cheshire School District","ELA","Eligible for Reduced Lunch",28,"53.6%","79.2%"
"=""0250011""","Cheshire School District","Math","Eligible for Free Lunch",115,"34.8%","58.8%"
"=""0250011""","Cheshire School District","Math","Not Eligible for Free/Reduced Lunch",1546,"54.4%","73.8%"
"=""0250011""","Cheshire School District","Math","Eligible for Reduced Lunch",28,"57.1%","76.6%"
"=""0260011""","Chester School District","ELA","Eligible for Free Lunch","*","*","*"
"=""0260011""","Chester School District","ELA","Not Eligible for Free/Reduced Lunch",93,"50.5%","69.2%"
"=""0260011""","Chester School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0260011""","Chester School District","Math","Eligible for Free Lunch","*","*","*"
"=""0260011""","Chester School District","Math","Not Eligible for Free/Reduced Lunch",93,"55.9%","75.5%"
"=""0260011""","Chester School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0270011""","Clinton School District","ELA","Eligible for Free Lunch",119,"24.4%","49.8%"
"=""0270011""","Clinton School District","ELA","Not Eligible for Free/Reduced Lunch",569,"46.9%","66.2%"
"=""0270011""","Clinton School District","ELA","Eligible for Reduced Lunch",37,"43.2%","63.6%"
"=""0270011""","Clinton School District","Math","Eligible for Free Lunch",119,"43.7%","68.0%"
"=""0270011""","Clinton School District","Math","Not Eligible for Free/Reduced Lunch",571,"48.9%","70.0%"
"=""0270011""","Clinton School District","Math","Eligible for Reduced Lunch",37,"59.5%","71.0%"
"=""0280011""","Colchester School District","ELA","Eligible for Free Lunch",131,"38.9%","64.6%"
"=""0280011""","Colchester School District","ELA","Not Eligible for Free/Reduced Lunch",764,"50.5%","70.5%"
"=""0280011""","Colchester School District","ELA","Eligible for Reduced Lunch",40,"40.0%","60.4%"
"=""0280011""","Colchester School District","Math","Eligible for Free Lunch",131,"34.4%","55.8%"
"=""0280011""","Colchester School District","Math","Not Eligible for Free/Reduced Lunch",764,"43.8%","62.7%"
"=""0280011""","Colchester School District","Math","Eligible for Reduced Lunch",40,"45.0%","65.0%"
"=""0290011""","Colebrook School District","ELA","Eligible for Free Lunch","*","*","*"
"=""0290011""","Colebrook School District","ELA","Not Eligible for Free/Reduced Lunch",26,"57.7%","77.0%"
"=""0290011""","Colebrook School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0290011""","Colebrook School District","Math","Eligible for Free Lunch","*","*","*"
"=""0290011""","Colebrook School District","Math","Not Eligible for Free/Reduced Lunch",26,"30.8%","59.4%"
"=""0290011""","Colebrook School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0300011""","Columbia School District","ELA","Eligible for Free Lunch",30,"46.7%","68.9%"
"=""0300011""","Columbia School District","ELA","Not Eligible for Free/Reduced Lunch",189,"47.1%","66.6%"
"=""0300011""","Columbia School District","ELA","Eligible for Reduced Lunch",9,"*","*"
"=""0300011""","Columbia School District","Math","Eligible for Free Lunch",30,"40.0%","60.6%"
"=""0300011""","Columbia School District","Math","Not Eligible for Free/Reduced Lunch",188,"37.2%","61.1%"
"=""0300011""","Columbia School District","Math","Eligible for Reduced Lunch",9,"*","*"
"=""2430014""","Cooperative Educational Services","ELA","Eligible for Free Lunch",66,"28.8%","49.3%"
"=""2430014""","Cooperative Educational Services","ELA","Not Eligible for Free/Reduced Lunch",172,"40.7%","62.2%"
"=""2430014""","Cooperative Educational Services","ELA","Eligible for Reduced Lunch",29,"24.1%","60.3%"
"=""2430014""","Cooperative Educational Services","Math","Eligible for Free Lunch",67,"34.3%","52.6%"
"=""2430014""","Cooperative Educational Services","Math","Not Eligible for Free/Reduced Lunch",173,"40.5%","60.4%"
"=""2430014""","Cooperative Educational Services","Math","Eligible for Reduced Lunch",28,"28.6%","55.9%"
"=""0310011""","Cornwall School District","ELA","Eligible for Free Lunch",7,"*","*"
"=""0310011""","Cornwall School District","ELA","Not Eligible for Free/Reduced Lunch",38,"44.7%","63.6%"
"=""0310011""","Cornwall School District","Math","Eligible for Free Lunch",7,"*","*"
"=""0310011""","Cornwall School District","Math","Not Eligible for Free/Reduced Lunch",38,"42.1%","63.6%"
"=""0320011""","Coventry School District","ELA","Eligible for Free Lunch",88,"50.0%","75.2%"
"=""0320011""","Coventry School District","ELA","Not Eligible for Free/Reduced Lunch",492,"56.5%","77.5%"
"=""0320011""","Coventry School District","ELA","Eligible for Reduced Lunch",26,"34.6%","64.7%"
"=""0320011""","Coventry School District","Math","Eligible for Free Lunch",88,"47.7%","74.0%"
"=""0320011""","Coventry School District","Math","Not Eligible for Free/Reduced Lunch",491,"53.4%","76.1%"
"=""0320011""","Coventry School District","Math","Eligible for Reduced Lunch",26,"42.3%","68.1%"
"=""0330011""","Cromwell School District","ELA","Eligible for Free Lunch",107,"35.5%","61.5%"
"=""0330011""","Cromwell School District","ELA","Not Eligible for Free/Reduced Lunch",613,"45.0%","66.7%"
"=""0330011""","Cromwell School District","ELA","Eligible for Reduced Lunch",33,"57.6%","74.5%"
"=""0330011""","Cromwell School District","Math","Eligible for Free Lunch",107,"39.3%","60.4%"
"=""0330011""","Cromwell School District","Math","Not Eligible for Free/Reduced Lunch",612,"38.1%","59.0%"
"=""0330011""","Cromwell School District","Math","Eligible for Reduced Lunch",33,"30.3%","52.9%"
"=""0340011""","Danbury School District","ELA","Eligible for Free Lunch",1667,"40.1%","63.7%"
"=""0340011""","Danbury School District","ELA","Not Eligible for Free/Reduced Lunch",1546,"43.3%","63.9%"
"=""0340011""","Danbury School District","ELA","Eligible for Reduced Lunch",463,"38.9%","64.3%"
"=""0340011""","Danbury School District","Math","Eligible for Free Lunch",1712,"41.2%","62.9%"
"=""0340011""","Danbury School District","Math","Not Eligible for Free/Reduced Lunch",1553,"44.0%","65.5%"
"=""0340011""","Danbury School District","Math","Eligible for Reduced Lunch",469,"44.1%","66.5%"
"=""0350011""","Darien School District","ELA","Eligible for Free Lunch",32,"31.3%","61.3%"
"=""0350011""","Darien School District","ELA","Not Eligible for Free/Reduced Lunch",1765,"60.1%","76.9%"
"=""0350011""","Darien School District","ELA","Eligible for Reduced Lunch",11,"*","*"
"=""0350011""","Darien School District","Math","Eligible for Free Lunch",32,"59.4%","76.2%"
"=""0350011""","Darien School District","Math","Not Eligible for Free/Reduced Lunch",1766,"68.3%","86.4%"
"=""0350011""","Darien School District","Math","Eligible for Reduced Lunch",11,"*","*"
"=""0360011""","Deep River School District","ELA","Eligible for Free Lunch","*","*","*"
"=""0360011""","Deep River School District","ELA","Not Eligible for Free/Reduced Lunch",122,"52.5%","69.2%"
"=""0360011""","Deep River School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0360011""","Deep River School District","Math","Eligible for Free Lunch","*","*","*"
"=""0360011""","Deep River School District","Math","Not Eligible for Free/Reduced Lunch",122,"53.3%","74.2%"
"=""0360011""","Deep River School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0370011""","Derby School District","ELA","Eligible for Free Lunch",256,"26.2%","48.4%"
"=""0370011""","Derby School District","ELA","Not Eligible for Free/Reduced Lunch",225,"36.9%","56.8%"
"=""0370011""","Derby School District","ELA","Eligible for Reduced Lunch",39,"35.9%","58.7%"
"=""0370011""","Derby School District","Math","Eligible for Free Lunch",256,"19.5%","39.5%"
"=""0370011""","Derby School District","Math","Not Eligible for Free/Reduced Lunch",225,"27.1%","52.5%"
"=""0370011""","Derby School District","Math","Eligible for Reduced Lunch",39,"20.5%","41.0%"
"=""0400011""","East Granby School District","ELA","Eligible for Free Lunch",50,"22.0%","44.5%"
"=""0400011""","East Granby School District","ELA","Not Eligible for Free/Reduced Lunch",260,"44.2%","62.8%"
"=""0400011""","East Granby School District","Math","Eligible for Free Lunch",50,"40.0%","57.9%"
"=""0400011""","East Granby School District","Math","Not Eligible for Free/Reduced Lunch",260,"52.3%","73.1%"
"=""0410011""","East Haddam School District","ELA","Eligible for Free Lunch",47,"31.9%","53.3%"
"=""0410011""","East Haddam School District","ELA","Not Eligible for Free/Reduced Lunch",339,"50.7%","65.8%"
"=""0410011""","East Haddam School District","ELA","Eligible for Reduced Lunch",8,"*","*"
"=""0410011""","East Haddam School District","Math","Eligible for Free Lunch",47,"19.1%","39.8%"
"=""0410011""","East Haddam School District","Math","Not Eligible for Free/Reduced Lunch",337,"33.5%","53.6%"
"=""0410011""","East Haddam School District","Math","Eligible for Reduced Lunch",8,"*","*"
"=""0420011""","East Hampton School District","ELA","Eligible for Free Lunch",74,"24.3%","45.6%"
"=""0420011""","East Hampton School District","ELA","Not Eligible for Free/Reduced Lunch",558,"35.8%","54.2%"
"=""0420011""","East Hampton School District","ELA","Eligible for Reduced Lunch",16,"*","*"
"=""0420011""","East Hampton School District","Math","Eligible for Free Lunch",74,"27.0%","51.8%"
"=""0420011""","East Hampton School District","Math","Not Eligible for Free/Reduced Lunch",554,"35.4%","55.6%"
"=""0420011""","East Hampton School District","Math","Eligible for Reduced Lunch",16,"*","*"
"=""0430011""","East Hartford School District","ELA","Eligible for Free Lunch",1322,"33.8%","58.2%"
"=""0430011""","East Hartford School District","ELA","Not Eligible for Free/Reduced Lunch",714,"39.9%","62.1%"
"=""0430011""","East Hartford School District","ELA","Eligible for Reduced Lunch",156,"36.5%","58.9%"
"=""0430011""","East Hartford School District","Math","Eligible for Free Lunch",1321,"27.9%","48.7%"
"=""0430011""","East Hartford School District","Math","Not Eligible for Free/Reduced Lunch",717,"25.7%","47.7%"
"=""0430011""","East Hartford School District","Math","Eligible for Reduced Lunch",157,"22.3%","44.2%"
"=""0440011""","East Haven School District","ELA","Eligible for Free Lunch",406,"42.6%","67.0%"
"=""0440011""","East Haven School District","ELA","Not Eligible for Free/Reduced Lunch",528,"42.8%","68.0%"
"=""0440011""","East Haven School District","ELA","Eligible for Reduced Lunch",125,"40.8%","67.6%"
"=""0440011""","East Haven School District","Math","Eligible for Free Lunch",409,"36.2%","59.3%"
"=""0440011""","East Haven School District","Math","Not Eligible for Free/Reduced Lunch",525,"39.6%","62.5%"
"=""0440011""","East Haven School District","Math","Eligible for Reduced Lunch",125,"34.4%","59.9%"
"=""0450011""","East Lyme School District","ELA","Eligible for Free Lunch",134,"35.1%","56.1%"
"=""0450011""","East Lyme School District","ELA","Not Eligible for Free/Reduced Lunch",788,"49.4%","66.9%"
"=""0450011""","East Lyme School District","ELA","Eligible for Reduced Lunch",39,"41.0%","55.4%"
"=""0450011""","East Lyme School District","Math","Eligible for Free Lunch",134,"38.8%","62.7%"
"=""0450011""","East Lyme School District","Math","Not Eligible for Free/Reduced Lunch",786,"53.3%","72.9%"
"=""0450011""","East Lyme School District","Math","Eligible for Reduced Lunch",37,"29.7%","54.8%"
"=""0470011""","East Windsor School District","ELA","Eligible for Free Lunch",132,"32.6%","57.2%"
"=""0470011""","East Windsor School District","ELA","Not Eligible for Free/Reduced Lunch",188,"32.4%","57.7%"
"=""0470011""","East Windsor School District","ELA","Eligible for Reduced Lunch",25,"44.0%","69.7%"
"=""0470011""","East Windsor School District","Math","Eligible for Free Lunch",132,"29.5%","52.0%"
"=""0470011""","East Windsor School District","Math","Not Eligible for Free/Reduced Lunch",190,"36.3%","61.2%"
"=""0470011""","East Windsor School District","Math","Eligible for Reduced Lunch",25,"24.0%","42.9%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA","Eligible for Free Lunch",18,"*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA","Eligible for Reduced Lunch","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math","Eligible for Free Lunch",17,"*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math","Eligible for Reduced Lunch","*","*","*"
"=""0390011""","Eastford School District","ELA","Eligible for Free Lunch",11,"*","*"
"=""0390011""","Eastford School District","ELA","Not Eligible for Free/Reduced Lunch",56,"37.5%","59.6%"
"=""0390011""","Eastford School District","Math","Eligible for Free Lunch",11,"*","*"
"=""0390011""","Eastford School District","Math","Not Eligible for Free/Reduced Lunch",56,"42.9%","62.9%"
"=""0460011""","Easton School District","ELA","Eligible for Free Lunch","*","57.1%","72.1%"
"=""0460011""","Easton School District","ELA","Not Eligible for Free/Reduced Lunch",475,"58.1%","76.9%"
"=""0460011""","Easton School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0460011""","Easton School District","Math","Eligible for Free Lunch","*","45.5%","65.2%"
"=""0460011""","Easton School District","Math","Not Eligible for Free/Reduced Lunch",469,"67.6%","87.3%"
"=""0460011""","Easton School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""2420014""","EdAdvance","ELA","Eligible for Free Lunch","*","*","*"
"=""2420014""","EdAdvance","Math","Eligible for Free Lunch","*","*","*"
"=""0480011""","Ellington School District","ELA","Eligible for Free Lunch",87,"33.3%","58.7%"
"=""0480011""","Ellington School District","ELA","Not Eligible for Free/Reduced Lunch",914,"46.6%","65.9%"
"=""0480011""","Ellington School District","ELA","Eligible for Reduced Lunch",12,"*","*"
"=""0480011""","Ellington School District","Math","Eligible for Free Lunch",87,"33.3%","53.7%"
