"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""2790013""","Amistad Academy District",8,"ELA","Non-ELL",70,2537,2578,42,"45.7%","69.5%"
"=""2790013""","Amistad Academy District",8,"Math","ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"Math","Non-ELL",69,2509,2571,62,"69.6%","84.1%"
"=""0010011""","Andover School District",4,"ELA","ELL","*","*","*","*","*","*"
"=""0010011""","Andover School District",4,"ELA","Non-ELL","*",2491,2532,41,"43.2%","66.4%"
"=""0010011""","Andover School District",4,"Math","ELL","*","*","*","*","*","*"
"=""0010011""","Andover School District",4,"Math","Non-ELL","*",2465,2514,49,"35.1%","71.8%"
"=""0010011""","Andover School District",5,"ELA","Non-ELL",42,2540,2580,40,"52.4%","70.5%"
"=""0010011""","Andover School District",5,"Math","Non-ELL",42,2533,2573,40,"52.4%","76.1%"
"=""0010011""","Andover School District",6,"ELA","Non-ELL",45,2579,2597,17,"48.9%","63.5%"
"=""0010011""","Andover School District",6,"Math","ELL","*","*","*","*","*","*"
"=""0010011""","Andover School District",6,"Math","Non-ELL","*",2554,2594,39,"60.0%","79.5%"
"=""0020011""","Ansonia School District",4,"ELA","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",4,"ELA","Non-ELL","*",2412,2454,42,"32.2%","59.5%"
"=""0020011""","Ansonia School District",4,"Math","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",4,"Math","Non-ELL","*",2414,2454,40,"25.7%","62.3%"
"=""0020011""","Ansonia School District",5,"ELA","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",5,"ELA","Non-ELL","*",2437,2461,24,"20.7%","48.5%"
"=""0020011""","Ansonia School District",5,"Math","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",5,"Math","Non-ELL","*",2441,2447,6,"22.4%","40.2%"
"=""0020011""","Ansonia School District",6,"ELA","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",6,"ELA","Non-ELL","*",2471,2507,36,"42.4%","63.3%"
"=""0020011""","Ansonia School District",6,"Math","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",6,"Math","Non-ELL","*",2452,2502,50,"61.4%","81.4%"
"=""0020011""","Ansonia School District",7,"ELA","Non-ELL",148,2470,2480,9,"18.9%","40.6%"
"=""0020011""","Ansonia School District",7,"Math","Non-ELL",148,2474,2488,14,"27.7%","49.1%"
"=""0020011""","Ansonia School District",8,"ELA","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",8,"ELA","Non-ELL","*",2511,2528,17,"31.0%","48.1%"
"=""0020011""","Ansonia School District",8,"Math","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",8,"Math","Non-ELL","*",2498,2512,14,"37.7%","54.9%"
"=""2440014""","Area Cooperative Educational Services",4,"ELA","ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",4,"ELA","Non-ELL","*",2372,2408,36,"29.0%","52.2%"
"=""2440014""","Area Cooperative Educational Services",4,"Math","ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",4,"Math","Non-ELL","*",2364,2399,35,"19.4%","53.2%"
"=""2440014""","Area Cooperative Educational Services",5,"ELA","Non-ELL",89,2406,2446,41,"23.6%","55.8%"
"=""2440014""","Area Cooperative Educational Services",5,"Math","Non-ELL",88,2396,2412,16,"28.4%","48.9%"
"=""2440014""","Area Cooperative Educational Services",6,"ELA","ELL",14,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",6,"ELA","Non-ELL",308,2495,2502,7,"26.0%","43.9%"
"=""2440014""","Area Cooperative Educational Services",6,"Math","ELL",15,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",6,"Math","Non-ELL",309,2464,2476,11,"29.1%","47.0%"
"=""2440014""","Area Cooperative Educational Services",7,"ELA","ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",7,"ELA","Non-ELL",300,2501,2528,27,"35.0%","55.9%"
"=""2440014""","Area Cooperative Educational Services",7,"Math","ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",7,"Math","Non-ELL",296,2473,2515,42,"53.0%","73.7%"
"=""2440014""","Area Cooperative Educational Services",8,"ELA","ELL",14,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",8,"ELA","Non-ELL",285,2525,2548,23,"34.4%","53.4%"
"=""2440014""","Area Cooperative Educational Services",8,"Math","ELL",14,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services",8,"Math","Non-ELL",284,2493,2505,12,"34.2%","49.9%"
"=""0030011""","Ashford School District",4,"ELA","Non-ELL",41,2460,2500,40,"39.0%","60.8%"
"=""0030011""","Ashford School District",4,"Math","Non-ELL",40,2454,2507,53,"55.0%","81.3%"
"=""0030011""","Ashford School District",5,"ELA","Non-ELL",37,2552,2563,12,"37.8%","55.8%"
"=""0030011""","Ashford School District",5,"Math","Non-ELL",37,2536,2503,-33,"0.0%","6.2%"
"=""0030011""","Ashford School District",6,"ELA","Non-ELL",36,2493,2516,23,"33.3%","52.7%"
"=""0030011""","Ashford School District",6,"Math","Non-ELL",36,2471,2479,8,"19.4%","42.1%"
"=""0030011""","Ashford School District",7,"ELA","ELL","*","*","*","*","*","*"
"=""0030011""","Ashford School District",7,"ELA","Non-ELL","*",2532,2567,36,"43.5%","65.0%"
"=""0030011""","Ashford School District",7,"Math","ELL","*","*","*","*","*","*"
"=""0030011""","Ashford School District",7,"Math","Non-ELL","*",2493,2564,71,"75.6%","90.4%"
"=""0030011""","Ashford School District",8,"ELA","Non-ELL",34,2551,2585,34,"35.3%","64.3%"
"=""0030011""","Ashford School District",8,"Math","Non-ELL",34,2560,2583,23,"50.0%","61.4%"
"=""0040011""","Avon School District",4,"ELA","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",4,"ELA","Non-ELL","*",2505,2550,45,"52.8%","72.1%"
"=""0040011""","Avon School District",4,"Math","ELL",8,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"Math","Non-ELL",196,2503,2541,38,"44.4%","67.6%"
"=""0040011""","Avon School District",5,"ELA","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",5,"ELA","Non-ELL","*",2528,2571,43,"54.2%","73.7%"
"=""0040011""","Avon School District",5,"Math","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",5,"Math","Non-ELL","*",2525,2548,23,"40.7%","60.2%"
"=""0040011""","Avon School District",6,"ELA","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",6,"ELA","Non-ELL","*",2573,2613,39,"63.5%","80.0%"
"=""0040011""","Avon School District",6,"Math","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",6,"Math","Non-ELL","*",2548,2604,55,"69.3%","88.2%"
"=""0040011""","Avon School District",7,"ELA","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",7,"ELA","Non-ELL","*",2598,2637,39,"59.9%","76.1%"
"=""0040011""","Avon School District",7,"Math","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",7,"Math","Non-ELL","*",2599,2640,41,"63.3%","82.2%"
"=""0040011""","Avon School District",8,"ELA","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",8,"ELA","Non-ELL","*",2613,2636,23,"50.0%","64.8%"
"=""0040011""","Avon School District",8,"Math","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District",8,"Math","Non-ELL","*",2624,2658,34,"67.3%","80.4%"
"=""0050011""","Barkhamsted School District",4,"ELA","Non-ELL",45,2436,2492,56,"55.6%","76.2%"
"=""0050011""","Barkhamsted School District",4,"Math","Non-ELL",45,2405,2454,49,"35.6%","68.1%"
"=""0050011""","Barkhamsted School District",5,"ELA","Non-ELL",44,2518,2551,33,"40.9%","68.5%"
"=""0050011""","Barkhamsted School District",5,"Math","Non-ELL",44,2461,2488,27,"25.0%","61.1%"
"=""0050011""","Barkhamsted School District",6,"ELA","Non-ELL",44,2543,2578,35,"38.6%","64.8%"
"=""0050011""","Barkhamsted School District",6,"Math","Non-ELL",44,2506,2546,40,"43.2%","69.9%"
"=""0070011""","Berlin School District",4,"ELA","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District",4,"ELA","Non-ELL","*",2435,2499,64,"53.1%","78.8%"
"=""0070011""","Berlin School District",4,"Math","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District",4,"Math","Non-ELL","*",2432,2504,71,"64.2%","89.2%"
"=""0070011""","Berlin School District",5,"ELA","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District",5,"ELA","Non-ELL","*",2498,2555,57,"52.1%","75.4%"
"=""0070011""","Berlin School District",5,"Math","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District",5,"Math","Non-ELL","*",2506,2533,26,"34.5%","60.2%"
"=""0070011""","Berlin School District",6,"ELA","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District",6,"ELA","Non-ELL","*",2526,2562,35,"50.7%","69.8%"
"=""0070011""","Berlin School District",6,"Math","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District",6,"Math","Non-ELL","*",2510,2534,25,"34.6%","59.0%"
"=""0070011""","Berlin School District",7,"ELA","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District",7,"ELA","Non-ELL","*",2551,2591,40,"49.8%","69.4%"
"=""0070011""","Berlin School District",7,"Math","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District",7,"Math","Non-ELL","*",2532,2566,34,"49.6%","69.8%"
"=""0070011""","Berlin School District",8,"ELA","Non-ELL",210,2565,2604,40,"55.2%","73.1%"
"=""0070011""","Berlin School District",8,"Math","Non-ELL",210,2562,2577,15,"44.3%","58.6%"
"=""0080011""","Bethany School District",4,"ELA","Non-ELL",50,2431,2502,71,"58.0%","85.1%"
"=""0080011""","Bethany School District",4,"Math","Non-ELL",50,2452,2506,54,"50.0%","79.2%"
"=""0080011""","Bethany School District",5,"ELA","Non-ELL",56,2522,2569,47,"53.6%","73.8%"
"=""0080011""","Bethany School District",5,"Math","Non-ELL",56,2530,2584,54,"69.6%","88.3%"
"=""0080011""","Bethany School District",6,"ELA","Non-ELL",61,2536,2551,15,"39.3%","53.3%"
"=""0080011""","Bethany School District",6,"Math","Non-ELL",61,2512,2544,31,"47.5%","69.4%"
"=""0090011""","Bethel School District",4,"ELA","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District",4,"ELA","Non-ELL","*",2457,2504,47,"45.3%","69.4%"
"=""0090011""","Bethel School District",4,"Math","ELL",6,"*","*","*","*","*"
"=""0090011""","Bethel School District",4,"Math","Non-ELL",192,2428,2503,74,"67.7%","92.5%"
"=""0090011""","Bethel School District",5,"ELA","ELL",7,"*","*","*","*","*"
"=""0090011""","Bethel School District",5,"ELA","Non-ELL",192,2500,2544,43,"48.4%","68.7%"
"=""0090011""","Bethel School District",5,"Math","ELL",8,"*","*","*","*","*"
"=""0090011""","Bethel School District",5,"Math","Non-ELL",190,2485,2537,52,"64.7%","85.6%"
"=""0090011""","Bethel School District",6,"ELA","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District",6,"ELA","Non-ELL","*",2551,2589,38,"58.4%","75.5%"
"=""0090011""","Bethel School District",6,"Math","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District",6,"Math","Non-ELL","*",2525,2557,32,"47.4%","69.7%"
"=""0090011""","Bethel School District",7,"ELA","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District",7,"ELA","Non-ELL","*",2567,2604,37,"53.5%","72.2%"
"=""0090011""","Bethel School District",7,"Math","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District",7,"Math","Non-ELL","*",2528,2565,37,"51.6%","72.9%"
"=""0090011""","Bethel School District",8,"ELA","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District",8,"ELA","Non-ELL","*",2588,2625,38,"54.1%","71.6%"
"=""0090011""","Bethel School District",8,"Math","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District",8,"Math","Non-ELL","*",2546,2589,43,"63.4%","79.4%"
"=""0110011""","Bloomfield School District",4,"ELA","ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District",4,"ELA","Non-ELL","*",2412,2458,47,"32.7%","61.8%"
"=""0110011""","Bloomfield School District",4,"Math","ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District",4,"Math","Non-ELL","*",2383,2442,59,"49.0%","79.0%"
"=""0110011""","Bloomfield School District",5,"ELA","ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District",5,"ELA","Non-ELL","*",2470,2506,36,"24.3%","56.8%"
"=""0110011""","Bloomfield School District",5,"Math","ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District",5,"Math","Non-ELL","*",2434,2466,32,"36.9%","65.1%"
"=""0110011""","Bloomfield School District",6,"ELA","Non-ELL",113,2490,2528,37,"46.0%","68.4%"
"=""0110011""","Bloomfield School District",6,"Math","Non-ELL",113,2454,2511,57,"58.4%","78.8%"
"=""0110011""","Bloomfield School District",7,"ELA","ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District",7,"ELA","Non-ELL","*",2512,2535,22,"31.6%","46.0%"
"=""0110011""","Bloomfield School District",7,"Math","ELL","*","*","*","*","*","*"
"=""0110011""","Bloomfield School District",7,"Math","Non-ELL","*",2489,2516,27,"39.5%","58.1%"
"=""0110011""","Bloomfield School District",8,"ELA","Non-ELL",123,2523,2561,38,"46.3%","68.0%"
"=""0110011""","Bloomfield School District",8,"Math","Non-ELL",123,2498,2514,15,"35.0%","49.9%"
"=""0120011""","Bolton School District",4,"ELA","Non-ELL",53,2472,2541,69,"62.3%","89.2%"
"=""0120011""","Bolton School District",4,"Math","Non-ELL",53,2473,2537,63,"66.0%","94.2%"
"=""0120011""","Bolton School District",5,"ELA","Non-ELL",66,2509,2554,44,"53.0%","71.8%"
"=""0120011""","Bolton School District",5,"Math","Non-ELL",66,2506,2529,23,"42.4%","62.4%"
"=""0120011""","Bolton School District",6,"ELA","Non-ELL",61,2565,2597,31,"55.7%","70.6%"
"=""0120011""","Bolton School District",6,"Math","Non-ELL",61,2547,2586,39,"57.4%","76.0%"
"=""0120011""","Bolton School District",7,"ELA","Non-ELL",60,2559,2599,40,"53.3%","74.3%"
"=""0120011""","Bolton School District",7,"Math","Non-ELL",60,2546,2588,42,"53.3%","75.4%"
"=""0120011""","Bolton School District",8,"ELA","Non-ELL",49,2568,2613,45,"55.1%","71.9%"
"=""0120011""","Bolton School District",8,"Math","Non-ELL",49,2571,2582,11,"32.7%","45.8%"
"=""0130011""","Bozrah School District",4,"ELA","ELL","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"ELA","Non-ELL","*",2409,2448,40,"30.0%","55.0%"
"=""0130011""","Bozrah School District",4,"Math","ELL","*","*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"Math","Non-ELL","*",2432,2459,27,"10.0%","48.1%"
"=""0130011""","Bozrah School District",5,"ELA","Non-ELL",29,2461,2503,41,"37.9%","69.3%"
"=""0130011""","Bozrah School District",5,"Math","Non-ELL",29,2448,2487,38,"48.3%","72.6%"
"=""0130011""","Bozrah School District",6,"ELA","Non-ELL",21,2491,2519,28,"47.6%","58.0%"
"=""0130011""","Bozrah School District",6,"Math","Non-ELL",21,2468,2493,26,"42.9%","66.2%"
"=""0130011""","Bozrah School District",7,"ELA","Non-ELL",16,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Math","Non-ELL",16,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"ELA","Non-ELL",20,2555,2598,43,"45.0%","66.1%"
"=""0130011""","Bozrah School District",8,"Math","Non-ELL",20,2531,2592,61,"70.0%","94.8%"
"=""0140011""","Branford School District",4,"ELA","ELL",6,"*","*","*","*","*"
"=""0140011""","Branford School District",4,"ELA","Non-ELL",199,2453,2508,55,"54.3%","76.3%"
"=""0140011""","Branford School District",4,"Math","ELL",6,"*","*","*","*","*"
"=""0140011""","Branford School District",4,"Math","Non-ELL",198,2455,2510,55,"46.0%","76.1%"
"=""0140011""","Branford School District",5,"ELA","ELL",7,"*","*","*","*","*"
"=""0140011""","Branford School District",5,"ELA","Non-ELL",207,2502,2547,45,"42.5%","66.9%"
"=""0140011""","Branford School District",5,"Math","ELL",8,"*","*","*","*","*"
"=""0140011""","Branford School District",5,"Math","Non-ELL",207,2500,2535,35,"47.8%","72.7%"
"=""0140011""","Branford School District",6,"ELA","ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District",6,"ELA","Non-ELL","*",2515,2539,23,"39.5%","54.5%"
"=""0140011""","Branford School District",6,"Math","ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District",6,"Math","Non-ELL","*",2504,2531,27,"43.4%","63.1%"
"=""0140011""","Branford School District",7,"ELA","Non-ELL",202,2548,2587,39,"49.0%","67.0%"
"=""0140011""","Branford School District",7,"Math","ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District",7,"Math","Non-ELL","*",2540,2567,27,"42.8%","63.1%"
"=""0140011""","Branford School District",8,"ELA","Non-ELL",222,2576,2588,11,"33.3%","49.6%"
"=""0140011""","Branford School District",8,"Math","ELL","*","*","*","*","*","*"
"=""0140011""","Branford School District",8,"Math","Non-ELL","*",2566,2558,-8,"27.9%","40.7%"
"=""2850013""","Bridgeport Achievement First District",4,"ELA","ELL","*","*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",4,"ELA","Non-ELL","*",2392,2502,110,"79.5%","95.1%"
"=""2850013""","Bridgeport Achievement First District",4,"Math","ELL","*","*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",4,"Math","Non-ELL","*",2416,2499,83,"73.5%","95.6%"
"=""2850013""","Bridgeport Achievement First District",5,"ELA","ELL",11,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",5,"ELA","Non-ELL",71,2462,2488,26,"28.2%","46.5%"
"=""2850013""","Bridgeport Achievement First District",5,"Math","ELL",11,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",5,"Math","Non-ELL",71,2460,2476,16,"33.8%","49.4%"
"=""2850013""","Bridgeport Achievement First District",6,"ELA","ELL","*","*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",6,"ELA","Non-ELL","*",2450,2486,36,"42.4%","62.5%"
"=""2850013""","Bridgeport Achievement First District",6,"Math","ELL","*","*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",6,"Math","Non-ELL","*",2430,2474,44,"54.1%","74.4%"
"=""2850013""","Bridgeport Achievement First District",7,"ELA","ELL",18,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",7,"ELA","Non-ELL",65,2499,2525,25,"32.3%","48.8%"
"=""2850013""","Bridgeport Achievement First District",7,"Math","ELL",18,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",7,"Math","Non-ELL",65,2457,2509,52,"60.0%","79.5%"
"=""2850013""","Bridgeport Achievement First District",8,"ELA","ELL",12,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",8,"ELA","Non-ELL",73,2511,2587,76,"65.8%","90.9%"
"=""2850013""","Bridgeport Achievement First District",8,"Math","ELL",12,"*","*","*","*","*"
"=""2850013""","Bridgeport Achievement First District",8,"Math","Non-ELL",73,2506,2573,67,"72.6%","86.8%"
"=""0150011""","Bridgeport School District",4,"ELA","ELL",183,2320,2355,34,"19.7%","45.8%"
"=""0150011""","Bridgeport School District",4,"ELA","Non-ELL",1389,2373,2408,34,"24.4%","51.3%"
"=""0150011""","Bridgeport School District",4,"Math","ELL",208,2328,2366,38,"24.0%","50.5%"
"=""0150011""","Bridgeport School District",4,"Math","Non-ELL",1388,2370,2404,34,"20.6%","52.3%"
"=""0150011""","Bridgeport School District",5,"ELA","ELL",157,2342,2394,52,"34.4%","60.7%"
"=""0150011""","Bridgeport School District",5,"ELA","Non-ELL",1248,2402,2443,41,"30.3%","57.7%"
"=""0150011""","Bridgeport School District",5,"Math","ELL",172,2350,2380,30,"37.2%","59.5%"
"=""0150011""","Bridgeport School District",5,"Math","Non-ELL",1248,2397,2415,18,"26.8%","49.1%"
"=""0150011""","Bridgeport School District",6,"ELA","ELL",148,2366,2402,36,"29.1%","56.4%"
"=""0150011""","Bridgeport School District",6,"ELA","Non-ELL",1039,2440,2475,35,"37.4%","57.8%"
"=""0150011""","Bridgeport School District",6,"Math","ELL",172,2362,2367,4,"27.3%","43.2%"
"=""0150011""","Bridgeport School District",6,"Math","Non-ELL",1039,2417,2436,19,"34.9%","53.4%"
"=""0150011""","Bridgeport School District",7,"ELA","ELL",120,2380,2418,38,"28.3%","54.3%"
"=""0150011""","Bridgeport School District",7,"ELA","Non-ELL",1047,2472,2504,33,"35.1%","56.0%"
"=""0150011""","Bridgeport School District",7,"Math","ELL",145,2362,2392,30,"42.1%","56.0%"
"=""0150011""","Bridgeport School District",7,"Math","Non-ELL",1046,2442,2463,21,"35.2%","55.6%"
"=""0150011""","Bridgeport School District",8,"ELA","ELL",114,2400,2435,35,"28.9%","56.6%"
"=""0150011""","Bridgeport School District",8,"ELA","Non-ELL",1151,2492,2514,22,"32.2%","51.2%"
"=""0150011""","Bridgeport School District",8,"Math","ELL",153,2386,2404,18,"32.7%","50.0%"
"=""0150011""","Bridgeport School District",8,"Math","Non-ELL",1148,2463,2467,4,"29.1%","43.7%"
"=""0170011""","Bristol School District",4,"ELA","ELL",28,2351,2404,54,"32.1%","65.4%"
"=""0170011""","Bristol School District",4,"ELA","Non-ELL",504,2429,2483,55,"46.6%","71.6%"
"=""0170011""","Bristol School District",4,"Math","ELL",32,2370,2427,57,"34.4%","77.7%"
"=""0170011""","Bristol School District",4,"Math","Non-ELL",504,2424,2474,50,"44.0%","71.9%"
"=""0170011""","Bristol School District",5,"ELA","ELL",17,"*","*","*","*","*"
"=""0170011""","Bristol School District",5,"ELA","Non-ELL",598,2472,2517,44,"41.5%","66.2%"
"=""0170011""","Bristol School District",5,"Math","ELL",23,2391,2432,41,"34.8%","68.8%"
"=""0170011""","Bristol School District",5,"Math","Non-ELL",596,2469,2500,31,"40.8%","64.6%"
"=""0170011""","Bristol School District",6,"ELA","ELL",13,"*","*","*","*","*"
"=""0170011""","Bristol School District",6,"ELA","Non-ELL",516,2504,2534,30,"40.3%","62.0%"
"=""0170011""","Bristol School District",6,"Math","ELL",14,"*","*","*","*","*"
"=""0170011""","Bristol School District",6,"Math","Non-ELL",516,2486,2515,29,"39.9%","61.8%"
"=""0170011""","Bristol School District",7,"ELA","ELL",11,"*","*","*","*","*"
"=""0170011""","Bristol School District",7,"ELA","Non-ELL",557,2517,2555,37,"43.6%","64.6%"
"=""0170011""","Bristol School District",7,"Math","ELL",13,"*","*","*","*","*"
"=""0170011""","Bristol School District",7,"Math","Non-ELL",558,2495,2532,36,"50.5%","71.0%"
"=""0170011""","Bristol School District",8,"ELA","ELL",8,"*","*","*","*","*"
"=""0170011""","Bristol School District",8,"ELA","Non-ELL",513,2554,2576,22,"39.0%","56.4%"
"=""0170011""","Bristol School District",8,"Math","ELL",13,"*","*","*","*","*"
"=""0170011""","Bristol School District",8,"Math","Non-ELL",513,2532,2552,20,"39.6%","57.2%"
"=""0180011""","Brookfield School District",4,"ELA","ELL",7,"*","*","*","*","*"
"=""0180011""","Brookfield School District",4,"ELA","Non-ELL",197,2472,2511,39,"37.1%","62.0%"
"=""0180011""","Brookfield School District",4,"Math","ELL",6,"*","*","*","*","*"
"=""0180011""","Brookfield School District",4,"Math","Non-ELL",197,2469,2507,38,"34.0%","62.3%"
"=""0180011""","Brookfield School District",5,"ELA","ELL","*","*","*","*","*","*"
"=""0180011""","Brookfield School District",5,"ELA","Non-ELL","*",2510,2550,40,"43.4%","63.9%"
