"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","Subject","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0110011""","Bloomfield School District","Math","Not Eligible For Lunch",262,"43.9%","67.4%"
"=""0120011""","Bolton School District","ELA","Eligible For Lunch",50,"36.0%","58.7%"
"=""0120011""","Bolton School District","ELA","Not Eligible For Lunch",239,"59.8%","78.8%"
"=""0120011""","Bolton School District","Math","Eligible For Lunch",50,"48.0%","69.1%"
"=""0120011""","Bolton School District","Math","Not Eligible For Lunch",239,"51.0%","71.4%"
"=""0130011""","Bozrah School District","ELA","Eligible For Lunch",22,"50.0%","62.0%"
"=""0130011""","Bozrah School District","ELA","Not Eligible For Lunch",85,"37.6%","60.6%"
"=""0130011""","Bozrah School District","Math","Eligible For Lunch",22,"54.5%","82.4%"
"=""0130011""","Bozrah School District","Math","Not Eligible For Lunch",85,"44.7%","70.6%"
"=""0140011""","Branford School District","ELA","Eligible For Lunch",263,"41.1%","60.4%"
"=""0140011""","Branford School District","ELA","Not Eligible For Lunch",784,"44.8%","63.8%"
"=""0140011""","Branford School District","Math","Eligible For Lunch",262,"35.5%","55.7%"
"=""0140011""","Branford School District","Math","Not Eligible For Lunch",784,"43.8%","65.5%"
"=""2850013""","Bridgeport Achievement First District","ELA","Eligible For Lunch",347,"47.0%","66.5%"
"=""2850013""","Bridgeport Achievement First District","ELA","Not Eligible For Lunch",75,"61.3%","79.9%"
"=""2850013""","Bridgeport Achievement First District","Math","Eligible For Lunch",347,"59.1%","77.1%"
"=""2850013""","Bridgeport Achievement First District","Math","Not Eligible For Lunch",75,"61.3%","81.2%"
"=""0150011""","Bridgeport School District","ELA","Eligible For Lunch",6596,"31.0%","54.6%"
"=""0150011""","Bridgeport School District","Math","Eligible For Lunch",6719,"29.1%","50.9%"
"=""0170011""","Bristol School District","ELA","Eligible For Lunch",1268,"39.7%","62.9%"
"=""0170011""","Bristol School District","ELA","Not Eligible For Lunch",1497,"44.0%","65.5%"
"=""0170011""","Bristol School District","Math","Eligible For Lunch",1285,"40.5%","63.5%"
"=""0170011""","Bristol School District","Math","Not Eligible For Lunch",1497,"45.1%","67.4%"
"=""0180011""","Brookfield School District","ELA","Eligible For Lunch",69,"31.9%","51.5%"
"=""0180011""","Brookfield School District","ELA","Not Eligible For Lunch",888,"44.5%","64.2%"
"=""0180011""","Brookfield School District","Math","Eligible For Lunch",69,"44.9%","68.0%"
"=""0180011""","Brookfield School District","Math","Not Eligible For Lunch",888,"45.7%","67.9%"
"=""0190011""","Brooklyn School District","ELA","Eligible For Lunch",123,"41.5%","67.3%"
"=""0190011""","Brooklyn School District","ELA","Not Eligible For Lunch",300,"51.7%","69.6%"
"=""0190011""","Brooklyn School District","Math","Eligible For Lunch",123,"35.8%","56.1%"
"=""0190011""","Brooklyn School District","Math","Not Eligible For Lunch",300,"39.7%","59.9%"
"=""0210011""","Canaan School District","ELA","Eligible For Lunch","*","*","*"
"=""0210011""","Canaan School District","ELA","Not Eligible For Lunch","*","55.9%","73.8%"
"=""0210011""","Canaan School District","Math","Eligible For Lunch","*","*","*"
"=""0210011""","Canaan School District","Math","Not Eligible For Lunch","*","26.5%","50.3%"
"=""0220011""","Canterbury School District","ELA","Eligible For Lunch",72,"52.8%","72.9%"
"=""0220011""","Canterbury School District","ELA","Not Eligible For Lunch",176,"40.9%","64.4%"
"=""0220011""","Canterbury School District","Math","Eligible For Lunch",72,"38.9%","60.9%"
"=""0220011""","Canterbury School District","Math","Not Eligible For Lunch",176,"46.6%","70.4%"
"=""0230011""","Canton School District","ELA","Eligible For Lunch",84,"35.7%","60.5%"
"=""0230011""","Canton School District","ELA","Not Eligible For Lunch",560,"53.6%","72.6%"
"=""0230011""","Canton School District","Math","Eligible For Lunch",84,"45.2%","69.7%"
"=""0230011""","Canton School District","Math","Not Eligible For Lunch",560,"56.6%","77.5%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA","Eligible For Lunch",56,"32.1%","52.3%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","ELA","Not Eligible For Lunch",32,"40.6%","64.6%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math","Eligible For Lunch",55,"14.5%","33.0%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Math","Not Eligible For Lunch",32,"12.5%","29.3%"
"=""2410014""","Capitol Region Education Council","ELA","Eligible For Lunch",1337,"36.2%","59.5%"
"=""2410014""","Capitol Region Education Council","ELA","Not Eligible For Lunch",1202,"44.1%","63.4%"
"=""2410014""","Capitol Region Education Council","Math","Eligible For Lunch",1316,"32.5%","53.9%"
"=""2410014""","Capitol Region Education Council","Math","Not Eligible For Lunch",1196,"42.6%","63.5%"
"=""0240011""","Chaplin School District","ELA","Eligible For Lunch",25,"56.0%","77.3%"
"=""0240011""","Chaplin School District","ELA","Not Eligible For Lunch",18,"*","*"
"=""0240011""","Chaplin School District","Math","Eligible For Lunch",24,"33.3%","46.7%"
"=""0240011""","Chaplin School District","Math","Not Eligible For Lunch",18,"*","*"
"=""0250011""","Cheshire School District","ELA","Eligible For Lunch",143,"43.4%","65.6%"
"=""0250011""","Cheshire School District","ELA","Not Eligible For Lunch",1545,"53.6%","70.4%"
"=""0250011""","Cheshire School District","Math","Eligible For Lunch",143,"39.2%","62.3%"
"=""0250011""","Cheshire School District","Math","Not Eligible For Lunch",1546,"54.4%","73.8%"
"=""0260011""","Chester School District","ELA","Eligible For Lunch",7,"*","*"
"=""0260011""","Chester School District","ELA","Not Eligible For Lunch",93,"50.5%","69.2%"
"=""0260011""","Chester School District","Math","Eligible For Lunch",7,"*","*"
"=""0260011""","Chester School District","Math","Not Eligible For Lunch",93,"55.9%","75.5%"
"=""0270011""","Clinton School District","ELA","Eligible For Lunch",156,"28.8%","53.1%"
"=""0270011""","Clinton School District","ELA","Not Eligible For Lunch",569,"46.9%","66.2%"
"=""0270011""","Clinton School District","Math","Eligible For Lunch",156,"47.4%","68.7%"
"=""0270011""","Clinton School District","Math","Not Eligible For Lunch",571,"48.9%","70.0%"
"=""0280011""","Colchester School District","ELA","Eligible For Lunch",171,"39.2%","63.7%"
"=""0280011""","Colchester School District","ELA","Not Eligible For Lunch",764,"50.5%","70.5%"
"=""0280011""","Colchester School District","Math","Eligible For Lunch",171,"36.8%","58.0%"
"=""0280011""","Colchester School District","Math","Not Eligible For Lunch",764,"43.8%","62.7%"
"=""0290011""","Colebrook School District","ELA","Eligible For Lunch","*","*","*"
"=""0290011""","Colebrook School District","ELA","Not Eligible For Lunch","*","57.7%","77.0%"
"=""0290011""","Colebrook School District","Math","Eligible For Lunch","*","*","*"
"=""0290011""","Colebrook School District","Math","Not Eligible For Lunch","*","30.8%","59.4%"
"=""0300011""","Columbia School District","ELA","Eligible For Lunch",39,"48.7%","70.7%"
"=""0300011""","Columbia School District","ELA","Not Eligible For Lunch",189,"47.1%","66.6%"
"=""0300011""","Columbia School District","Math","Eligible For Lunch",39,"38.5%","59.5%"
"=""0300011""","Columbia School District","Math","Not Eligible For Lunch",188,"37.2%","61.1%"
"=""2430014""","Cooperative Educational Services","ELA","Eligible For Lunch",95,"27.4%","52.6%"
"=""2430014""","Cooperative Educational Services","ELA","Not Eligible For Lunch",172,"40.7%","62.2%"
"=""2430014""","Cooperative Educational Services","Math","Eligible For Lunch",95,"32.6%","53.5%"
"=""2430014""","Cooperative Educational Services","Math","Not Eligible For Lunch",173,"40.5%","60.4%"
"=""0310011""","Cornwall School District","ELA","Eligible For Lunch",7,"*","*"
"=""0310011""","Cornwall School District","ELA","Not Eligible For Lunch",38,"44.7%","63.6%"
"=""0310011""","Cornwall School District","Math","Eligible For Lunch",7,"*","*"
"=""0310011""","Cornwall School District","Math","Not Eligible For Lunch",38,"42.1%","63.6%"
"=""0320011""","Coventry School District","ELA","Eligible For Lunch",114,"46.5%","72.8%"
"=""0320011""","Coventry School District","ELA","Not Eligible For Lunch",492,"56.5%","77.5%"
"=""0320011""","Coventry School District","Math","Eligible For Lunch",114,"46.5%","72.6%"
"=""0320011""","Coventry School District","Math","Not Eligible For Lunch",491,"53.4%","76.1%"
"=""0330011""","Cromwell School District","ELA","Eligible For Lunch",140,"40.7%","64.6%"
"=""0330011""","Cromwell School District","ELA","Not Eligible For Lunch",613,"45.0%","66.7%"
"=""0330011""","Cromwell School District","Math","Eligible For Lunch",140,"37.1%","58.7%"
"=""0330011""","Cromwell School District","Math","Not Eligible For Lunch",612,"38.1%","59.0%"
"=""0340011""","Danbury School District","ELA","Eligible For Lunch",2130,"39.9%","63.9%"
"=""0340011""","Danbury School District","ELA","Not Eligible For Lunch",1546,"43.3%","63.9%"
"=""0340011""","Danbury School District","Math","Eligible For Lunch",2181,"41.9%","63.7%"
"=""0340011""","Danbury School District","Math","Not Eligible For Lunch",1553,"44.0%","65.5%"
"=""0350011""","Darien School District","ELA","Eligible For Lunch",43,"23.3%","50.4%"
"=""0350011""","Darien School District","ELA","Not Eligible For Lunch",1765,"60.1%","76.9%"
"=""0350011""","Darien School District","Math","Eligible For Lunch",43,"55.8%","74.6%"
"=""0350011""","Darien School District","Math","Not Eligible For Lunch",1766,"68.3%","86.4%"
"=""0360011""","Deep River School District","ELA","Eligible For Lunch",24,"29.2%","58.9%"
"=""0360011""","Deep River School District","ELA","Not Eligible For Lunch",122,"52.5%","69.2%"
"=""0360011""","Deep River School District","Math","Eligible For Lunch",24,"37.5%","66.8%"
"=""0360011""","Deep River School District","Math","Not Eligible For Lunch",122,"53.3%","74.2%"
"=""0370011""","Derby School District","ELA","Eligible For Lunch",295,"27.5%","49.8%"
"=""0370011""","Derby School District","ELA","Not Eligible For Lunch",225,"36.9%","56.8%"
"=""0370011""","Derby School District","Math","Eligible For Lunch",295,"19.7%","39.7%"
"=""0370011""","Derby School District","Math","Not Eligible For Lunch",225,"27.1%","52.5%"
"=""0400011""","East Granby School District","ELA","Eligible For Lunch",50,"22.0%","44.5%"
"=""0400011""","East Granby School District","ELA","Not Eligible For Lunch",260,"44.2%","62.8%"
"=""0400011""","East Granby School District","Math","Eligible For Lunch",50,"40.0%","57.9%"
"=""0400011""","East Granby School District","Math","Not Eligible For Lunch",260,"52.3%","73.1%"
"=""0410011""","East Haddam School District","ELA","Eligible For Lunch",55,"32.7%","55.4%"
"=""0410011""","East Haddam School District","ELA","Not Eligible For Lunch",339,"50.7%","65.8%"
"=""0410011""","East Haddam School District","Math","Eligible For Lunch",55,"25.5%","45.5%"
"=""0410011""","East Haddam School District","Math","Not Eligible For Lunch",337,"33.5%","53.6%"
"=""0420011""","East Hampton School District","ELA","Eligible For Lunch",90,"25.6%","47.5%"
"=""0420011""","East Hampton School District","ELA","Not Eligible For Lunch",558,"35.8%","54.2%"
"=""0420011""","East Hampton School District","Math","Eligible For Lunch",90,"30.0%","52.1%"
"=""0420011""","East Hampton School District","Math","Not Eligible For Lunch",554,"35.4%","55.6%"
"=""0430011""","East Hartford School District","ELA","Eligible For Lunch",1478,"34.1%","58.2%"
"=""0430011""","East Hartford School District","ELA","Not Eligible For Lunch",714,"39.9%","62.1%"
"=""0430011""","East Hartford School District","Math","Eligible For Lunch",1478,"27.3%","48.2%"
"=""0430011""","East Hartford School District","Math","Not Eligible For Lunch",717,"25.7%","47.7%"
"=""0440011""","East Haven School District","ELA","Eligible For Lunch",531,"42.2%","67.2%"
"=""0440011""","East Haven School District","ELA","Not Eligible For Lunch",528,"42.8%","68.0%"
"=""0440011""","East Haven School District","Math","Eligible For Lunch",534,"35.8%","59.5%"
"=""0440011""","East Haven School District","Math","Not Eligible For Lunch",525,"39.6%","62.5%"
"=""0450011""","East Lyme School District","ELA","Eligible For Lunch",173,"36.4%","55.9%"
"=""0450011""","East Lyme School District","ELA","Not Eligible For Lunch",788,"49.4%","66.9%"
"=""0450011""","East Lyme School District","Math","Eligible For Lunch",171,"36.8%","61.0%"
"=""0450011""","East Lyme School District","Math","Not Eligible For Lunch",786,"53.3%","72.9%"
"=""0470011""","East Windsor School District","ELA","Eligible For Lunch",157,"34.4%","59.2%"
"=""0470011""","East Windsor School District","ELA","Not Eligible For Lunch",188,"32.4%","57.7%"
"=""0470011""","East Windsor School District","Math","Eligible For Lunch",157,"28.7%","50.6%"
"=""0470011""","East Windsor School District","Math","Not Eligible For Lunch",190,"36.3%","61.2%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA","Eligible For Lunch",21,"19.0%","44.2%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA","Not Eligible For Lunch",9,"*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math","Eligible For Lunch",19,"*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math","Not Eligible For Lunch",7,"*","*"
"=""0390011""","Eastford School District","ELA","Eligible For Lunch",11,"*","*"
"=""0390011""","Eastford School District","ELA","Not Eligible For Lunch",56,"37.5%","59.6%"
"=""0390011""","Eastford School District","Math","Eligible For Lunch",11,"*","*"
"=""0390011""","Eastford School District","Math","Not Eligible For Lunch",56,"42.9%","62.9%"
"=""0460011""","Easton School District","ELA","Eligible For Lunch",26,"57.7%","73.4%"
"=""0460011""","Easton School District","ELA","Not Eligible For Lunch",475,"58.1%","76.9%"
"=""0460011""","Easton School District","Math","Eligible For Lunch",27,"48.1%","65.8%"
"=""0460011""","Easton School District","Math","Not Eligible For Lunch",469,"67.6%","87.3%"
"=""2420014""","EdAdvance","ELA","Eligible For Lunch","*","*","*"
"=""2420014""","EdAdvance","Math","Eligible For Lunch","*","*","*"
"=""0480011""","Ellington School District","ELA","Eligible For Lunch",99,"31.3%","57.4%"
"=""0480011""","Ellington School District","ELA","Not Eligible For Lunch",914,"46.6%","65.9%"
"=""0480011""","Ellington School District","Math","Eligible For Lunch",99,"33.3%","55.0%"
"=""0480011""","Ellington School District","Math","Not Eligible For Lunch",915,"49.1%","71.3%"
"=""2890013""","Elm City College Preparatory School District","ELA","Eligible For Lunch",251,"51.4%","73.7%"
"=""2890013""","Elm City College Preparatory School District","ELA","Not Eligible For Lunch",59,"67.8%","82.1%"
"=""2890013""","Elm City College Preparatory School District","Math","Eligible For Lunch",251,"44.2%","64.7%"
"=""2890013""","Elm City College Preparatory School District","Math","Not Eligible For Lunch",59,"55.9%","80.0%"
"=""0490011""","Enfield School District","ELA","Eligible For Lunch",671,"37.0%","60.9%"
"=""0490011""","Enfield School District","ELA","Not Eligible For Lunch",1043,"50.0%","70.7%"
"=""0490011""","Enfield School District","Math","Eligible For Lunch",670,"32.1%","57.1%"
"=""0490011""","Enfield School District","Math","Not Eligible For Lunch",1039,"35.8%","58.9%"
"=""0500011""","Essex School District","ELA","Eligible For Lunch",16,"*","*"
"=""0500011""","Essex School District","ELA","Not Eligible For Lunch",166,"50.6%","69.6%"
"=""0500011""","Essex School District","Math","Eligible For Lunch",16,"*","*"
"=""0500011""","Essex School District","Math","Not Eligible For Lunch",167,"58.1%","81.5%"
"=""0510011""","Fairfield School District","ELA","Eligible For Lunch",360,"44.2%","66.5%"
"=""0510011""","Fairfield School District","ELA","Not Eligible For Lunch",3444,"50.9%","70.3%"
"=""0510011""","Fairfield School District","Math","Eligible For Lunch",360,"36.1%","56.7%"
"=""0510011""","Fairfield School District","Math","Not Eligible For Lunch",3435,"50.4%","72.0%"
"=""0520011""","Farmington School District","ELA","Eligible For Lunch",160,"40.0%","61.4%"
"=""0520011""","Farmington School District","ELA","Not Eligible For Lunch",1352,"55.3%","73.1%"
"=""0520011""","Farmington School District","Math","Eligible For Lunch",162,"46.3%","72.3%"
"=""0520011""","Farmington School District","Math","Not Eligible For Lunch",1357,"66.8%","85.6%"
"=""0530011""","Franklin School District","ELA","Eligible For Lunch",13,"*","*"
"=""0530011""","Franklin School District","ELA","Not Eligible For Lunch",75,"38.7%","54.8%"
"=""0530011""","Franklin School District","Math","Eligible For Lunch",13,"*","*"
"=""0530011""","Franklin School District","Math","Not Eligible For Lunch",75,"29.3%","50.1%"
"=""0540011""","Glastonbury School District","ELA","Eligible For Lunch",219,"34.2%","54.7%"
"=""0540011""","Glastonbury School District","ELA","Not Eligible For Lunch",2096,"52.4%","69.7%"
"=""0540011""","Glastonbury School District","Math","Eligible For Lunch",217,"40.6%","64.7%"
"=""0540011""","Glastonbury School District","Math","Not Eligible For Lunch",2096,"59.4%","79.2%"
"=""0560011""","Granby School District","ELA","Eligible For Lunch",74,"39.2%","60.3%"
"=""0560011""","Granby School District","ELA","Not Eligible For Lunch",613,"61.0%","78.9%"
"=""0560011""","Granby School District","Math","Eligible For Lunch",74,"27.0%","53.8%"
"=""0560011""","Granby School District","Math","Not Eligible For Lunch",612,"54.4%","75.1%"
"=""2940013""","Great Oaks Charter School District","ELA","Eligible For Lunch",170,"38.2%","57.6%"
"=""2940013""","Great Oaks Charter School District","ELA","Not Eligible For Lunch",36,"50.0%","71.2%"
"=""2940013""","Great Oaks Charter School District","Math","Eligible For Lunch",168,"40.5%","58.6%"
"=""2940013""","Great Oaks Charter School District","Math","Not Eligible For Lunch",35,"65.7%","82.9%"
"=""0570011""","Greenwich School District","ELA","Eligible For Lunch",443,"41.8%","63.6%"
"=""0570011""","Greenwich School District","ELA","Not Eligible For Lunch",2582,"56.0%","73.2%"
"=""0570011""","Greenwich School District","Math","Eligible For Lunch",446,"44.8%","65.6%"
"=""0570011""","Greenwich School District","Math","Not Eligible For Lunch",2614,"57.6%","75.5%"
"=""0580011""","Griswold School District","ELA","Eligible For Lunch",261,"36.0%","57.2%"
"=""0580011""","Griswold School District","ELA","Not Eligible For Lunch",374,"46.5%","68.2%"
"=""0580011""","Griswold School District","Math","Eligible For Lunch",261,"44.8%","65.3%"
"=""0580011""","Griswold School District","Math","Not Eligible For Lunch",374,"53.7%","73.8%"
"=""0590011""","Groton School District","ELA","Eligible For Lunch",630,"37.1%","57.3%"
"=""0590011""","Groton School District","ELA","Not Eligible For Lunch",773,"44.2%","64.2%"
"=""0590011""","Groton School District","Math","Eligible For Lunch",639,"39.6%","60.1%"
"=""0590011""","Groton School District","Math","Not Eligible For Lunch",773,"50.3%","69.7%"
"=""0600011""","Guilford School District","ELA","Eligible For Lunch",115,"48.7%","64.8%"
"=""0600011""","Guilford School District","ELA","Not Eligible For Lunch",1188,"54.6%","73.0%"
"=""0600011""","Guilford School District","Math","Eligible For Lunch",116,"51.7%","71.6%"
"=""0600011""","Guilford School District","Math","Not Eligible For Lunch",1186,"58.6%","78.7%"
"=""0620011""","Hamden School District","ELA","Eligible For Lunch",766,"33.0%","55.0%"
"=""0620011""","Hamden School District","ELA","Not Eligible For Lunch",1069,"40.3%","59.0%"
"=""0620011""","Hamden School District","Math","Eligible For Lunch",768,"32.7%","53.4%"
"=""0620011""","Hamden School District","Math","Not Eligible For Lunch",1065,"38.5%","58.7%"
"=""0630011""","Hampton School District","ELA","Eligible For Lunch",8,"*","*"
"=""0630011""","Hampton School District","ELA","Not Eligible For Lunch",20,"55.0%","80.4%"
"=""0630011""","Hampton School District","Math","Eligible For Lunch",8,"*","*"
"=""0630011""","Hampton School District","Math","Not Eligible For Lunch",19,"*","*"
"=""0640011""","Hartford School District","ELA","Eligible For Lunch",5763,"30.7%","53.6%"
"=""0640011""","Hartford School District","ELA","Not Eligible For Lunch",1045,"40.6%","58.9%"
"=""0640011""","Hartford School District","Math","Eligible For Lunch",5850,"32.3%","54.5%"
"=""0640011""","Hartford School District","Math","Not Eligible For Lunch",1060,"42.0%","62.9%"
"=""0650011""","Hartland School District","ELA","Eligible For Lunch",14,"*","*"
"=""0650011""","Hartland School District","ELA","Not Eligible For Lunch",91,"59.3%","81.0%"
"=""0650011""","Hartland School District","Math","Eligible For Lunch",14,"*","*"
"=""0650011""","Hartland School District","Math","Not Eligible For Lunch",90,"63.3%","85.5%"
"=""0670011""","Hebron School District","ELA","Eligible For Lunch",36,"27.8%","66.4%"
"=""0670011""","Hebron School District","ELA","Not Eligible For Lunch",305,"46.9%","69.3%"
"=""0670011""","Hebron School District","Math","Eligible For Lunch",36,"55.6%","85.0%"
"=""0670011""","Hebron School District","Math","Not Eligible For Lunch",306,"56.9%","81.8%"
"=""2860013""","Highville Charter School District","ELA","Eligible For Lunch",116,"41.4%","63.4%"
"=""2860013""","Highville Charter School District","ELA","Not Eligible For Lunch",65,"16.9%","39.4%"
"=""2860013""","Highville Charter School District","Math","Eligible For Lunch",116,"46.6%","71.1%"
"=""2860013""","Highville Charter School District","Math","Not Eligible For Lunch",65,"47.7%","62.2%"
"=""2640013""","Integrated Day Charter School District","ELA","Eligible For Lunch",54,"31.5%","48.6%"
"=""2640013""","Integrated Day Charter School District","ELA","Not Eligible For Lunch",103,"32.0%","54.4%"
"=""2640013""","Integrated Day Charter School District","Math","Eligible For Lunch",52,"46.2%","66.9%"
"=""2640013""","Integrated Day Charter School District","Math","Not Eligible For Lunch",102,"41.2%","63.8%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","Eligible For Lunch",179,"31.3%","45.5%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","Not Eligible For Lunch",75,"36.0%","52.1%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","Eligible For Lunch",177,"18.1%","32.5%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","Not Eligible For Lunch",75,"20.0%","34.1%"
"=""2610013""","Jumoke Academy District","ELA","Eligible For Lunch",223,"32.3%","51.9%"
"=""2610013""","Jumoke Academy District","ELA","Not Eligible For Lunch",102,"40.2%","60.2%"
"=""2610013""","Jumoke Academy District","Math","Eligible For Lunch",223,"31.8%","54.1%"
"=""2610013""","Jumoke Academy District","Math","Not Eligible For Lunch",103,"42.7%","59.0%"
"=""0680011""","Kent School District","ELA","Eligible For Lunch",18,"*","*"
"=""0680011""","Kent School District","ELA","Not Eligible For Lunch",108,"50.0%","65.0%"
"=""0680011""","Kent School District","Math","Eligible For Lunch",18,"*","*"
"=""0680011""","Kent School District","Math","Not Eligible For Lunch",108,"53.7%","72.1%"
"=""0690011""","Killingly School District","ELA","Eligible For Lunch",350,"48.0%","69.1%"
"=""0690011""","Killingly School District","ELA","Not Eligible For Lunch",423,"49.2%","70.9%"
"=""0690011""","Killingly School District","Math","Eligible For Lunch",350,"39.1%","63.4%"
"=""0690011""","Killingly School District","Math","Not Eligible For Lunch",421,"41.6%","63.9%"
"=""2450014""","Learn","ELA","Eligible For Lunch",163,"38.0%","65.0%"
"=""2450014""","Learn","ELA","Not Eligible For Lunch",133,"54.1%","78.1%"
"=""2450014""","Learn","Math","Eligible For Lunch",166,"39.2%","62.6%"
"=""2450014""","Learn","Math","Not Eligible For Lunch",134,"44.0%","68.9%"
"=""0710011""","Lebanon School District","ELA","Eligible For Lunch",67,"46.3%","68.5%"
"=""0710011""","Lebanon School District","ELA","Not Eligible For Lunch",270,"51.5%","66.8%"
"=""0710011""","Lebanon School District","Math","Eligible For Lunch",64,"40.6%","63.0%"
"=""0710011""","Lebanon School District","Math","Not Eligible For Lunch",269,"42.0%","66.0%"
"=""0720011""","Ledyard School District","ELA","Eligible For Lunch",159,"30.8%","52.4%"
"=""0720011""","Ledyard School District","ELA","Not Eligible For Lunch",617,"45.1%","64.5%"
"=""0720011""","Ledyard School District","Math","Eligible For Lunch",159,"45.9%","68.8%"
"=""0720011""","Ledyard School District","Math","Not Eligible For Lunch",619,"48.5%","70.4%"
