"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""9020022""","The Gilbert School District",157,"27.4%","43.7%"
"=""1400011""","Thomaston School District",372,"39.8%","64.4%"
"=""1410011""","Thompson School District",371,"25.1%","44.5%"
"=""1420011""","Tolland School District",1007,"45.8%","64.5%"
"=""1430011""","Torrington School District",1501,"30.9%","51.5%"
"=""2780013""","Trailblazers Academy District",105,"21.9%","41.9%"
"=""1440011""","Trumbull School District",2341,"68.7%","86.5%"
"=""3470015""","Unified School District #2","*","*","*"
"=""1450011""","Union School District",39,"46.2%","63.9%"
"=""1460011""","Vernon School District",1075,"40.3%","60.7%"
"=""1470011""","Voluntown School District",144,"36.8%","58.4%"
"=""1480011""","Wallingford School District",2165,"44.3%","65.8%"
"=""1510011""","Waterbury School District",6297,"33.2%","57.0%"
"=""1520011""","Waterford School District",968,"44.1%","63.8%"
"=""1530011""","Watertown School District",1045,"45.6%","67.7%"
"=""1550011""","West Hartford School District",3498,"44.4%","62.5%"
"=""1560011""","West Haven School District",2003,"38.4%","61.1%"
"=""1540011""","Westbrook School District",258,"50.4%","71.2%"
"=""1570011""","Weston School District",885,"49.3%","69.0%"
"=""1580011""","Westport School District",2063,"46.8%","63.8%"
"=""1590011""","Wethersfield School District",1283,"55.0%","74.0%"
"=""1600011""","Willington School District",218,"47.7%","69.2%"
"=""1610011""","Wilton School District",1591,"56.3%","74.7%"
"=""1620011""","Winchester School District",217,"40.1%","62.8%"
"=""1630011""","Windham School District",1129,"43.8%","66.9%"
"=""1650011""","Windsor Locks School District",582,"43.3%","66.7%"
"=""1640011""","Windsor School District",1024,"35.4%","55.9%"
"=""1660011""","Wolcott School District",899,"44.5%","64.2%"
"=""1670011""","Woodbridge School District",286,"64.3%","82.2%"
"=""1690011""","Woodstock School District",457,"42.2%","60.6%"

