"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,"Average Vertical Scale Score (VSS)",,,"",
"=""0050011""","Barkhamsted School District",5,44,2518,2551,33,"40.9%","68.5%"
"=""0050011""","Barkhamsted School District",6,44,2543,2578,35,"38.6%","64.8%"
"=""0070011""","Berlin School District",4,184,2433,2497,64,"52.7%","78.6%"
"=""0070011""","Berlin School District",5,243,2495,2552,57,"51.4%","75.1%"
"=""0070011""","Berlin School District",6,208,2525,2561,36,"51.0%","69.9%"
"=""0070011""","Berlin School District",7,242,2549,2588,39,"49.2%","68.8%"
"=""0070011""","Berlin School District",8,210,2565,2604,40,"55.2%","73.1%"
"=""0080011""","Bethany School District",4,50,2431,2502,71,"58.0%","85.1%"
"=""0080011""","Bethany School District",5,56,2522,2569,47,"53.6%","73.8%"
"=""0080011""","Bethany School District",6,61,2536,2551,15,"39.3%","53.3%"
"=""0090011""","Bethel School District",4,197,2455,2501,46,"44.7%","68.6%"
"=""0090011""","Bethel School District",5,199,2497,2540,43,"47.7%","67.9%"
"=""0090011""","Bethel School District",6,176,2550,2587,37,"57.4%","74.7%"
"=""0090011""","Bethel School District",7,231,2564,2601,37,"52.4%","71.4%"
"=""0090011""","Bethel School District",8,206,2587,2625,38,"54.4%","71.8%"
"=""0110011""","Bloomfield School District",4,99,2411,2458,47,"32.3%","62.1%"
"=""0110011""","Bloomfield School District",5,113,2469,2504,35,"24.8%","56.7%"
"=""0110011""","Bloomfield School District",6,113,2490,2528,37,"46.0%","68.4%"
"=""0110011""","Bloomfield School District",7,115,2512,2534,22,"31.3%","45.7%"
"=""0110011""","Bloomfield School District",8,123,2523,2561,38,"46.3%","68.0%"
"=""0120011""","Bolton School District",4,53,2472,2541,69,"62.3%","89.2%"
"=""0120011""","Bolton School District",5,66,2509,2554,44,"53.0%","71.8%"
"=""0120011""","Bolton School District",6,61,2565,2597,31,"55.7%","70.6%"
"=""0120011""","Bolton School District",7,60,2559,2599,40,"53.3%","74.3%"
"=""0120011""","Bolton School District",8,49,2568,2613,45,"55.1%","71.9%"
"=""0130011""","Bozrah School District",4,21,2406,2444,38,"28.6%","53.2%"
"=""0130011""","Bozrah School District",5,29,2461,2503,41,"37.9%","69.3%"
"=""0130011""","Bozrah School District",6,21,2491,2519,28,"47.6%","58.0%"
"=""0130011""","Bozrah School District",7,16,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,20,2555,2598,43,"45.0%","66.1%"
"=""0140011""","Branford School District",4,205,2449,2506,57,"55.6%","77.3%"
"=""0140011""","Branford School District",5,214,2499,2544,45,"43.0%","67.2%"
"=""0140011""","Branford School District",6,204,2513,2536,23,"39.2%","54.5%"
"=""0140011""","Branford School District",7,202,2548,2587,39,"49.0%","67.0%"
"=""0140011""","Branford School District",8,222,2576,2588,11,"33.3%","49.6%"
"=""2850013""","Bridgeport Achievement First District",4,86,2390,2500,110,"80.2%","95.6%"
"=""2850013""","Bridgeport Achievement First District",5,82,2455,2476,22,"25.6%","43.8%"
"=""2850013""","Bridgeport Achievement First District",6,86,2450,2486,36,"43.0%","63.1%"
"=""2850013""","Bridgeport Achievement First District",7,83,2496,2523,27,"31.3%","49.8%"
"=""2850013""","Bridgeport Achievement First District",8,85,2511,2587,76,"65.9%","90.4%"
"=""0150011""","Bridgeport School District",4,1572,2367,2402,34,"23.9%","50.7%"
"=""0150011""","Bridgeport School District",5,1405,2395,2437,42,"30.7%","58.0%"
"=""0150011""","Bridgeport School District",6,1187,2430,2466,35,"36.4%","57.7%"
"=""0150011""","Bridgeport School District",7,1167,2462,2496,33,"34.4%","55.8%"
"=""0150011""","Bridgeport School District",8,1265,2484,2507,23,"31.9%","51.7%"
"=""0170011""","Bristol School District",4,532,2425,2479,55,"45.9%","71.3%"
"=""0170011""","Bristol School District",5,615,2469,2514,45,"41.5%","66.3%"
"=""0170011""","Bristol School District",6,529,2501,2532,31,"40.3%","62.1%"
"=""0170011""","Bristol School District",7,568,2515,2553,38,"43.5%","64.7%"
"=""0170011""","Bristol School District",8,521,2552,2575,23,"39.0%","56.6%"
"=""0180011""","Brookfield School District",4,204,2469,2509,40,"36.8%","62.1%"
"=""0180011""","Brookfield School District",5,168,2509,2549,40,"43.5%","63.9%"
"=""0180011""","Brookfield School District",6,187,2539,2566,27,"45.5%","63.0%"
"=""0180011""","Brookfield School District",7,216,2555,2586,31,"42.1%","62.0%"
"=""0180011""","Brookfield School District",8,182,2595,2623,28,"51.1%","65.8%"
"=""0190011""","Brooklyn School District",4,72,2455,2523,67,"59.7%","83.1%"
"=""0190011""","Brooklyn School District",5,98,2514,2543,29,"32.7%","56.2%"
"=""0190011""","Brooklyn School District",6,74,2520,2585,65,"67.6%","88.5%"
"=""0190011""","Brooklyn School District",7,76,2582,2597,16,"38.2%","54.9%"
"=""0190011""","Brooklyn School District",8,103,2571,2605,34,"50.5%","67.4%"
"=""0210011""","Canaan School District",4,"*","*","*","*","*","*"
"=""0210011""","Canaan School District",5,8,"*","*","*","*","*"
"=""0210011""","Canaan School District",6,11,"*","*","*","*","*"
"=""0210011""","Canaan School District",7,"*","*","*","*","*","*"
"=""0210011""","Canaan School District",8,10,"*","*","*","*","*"
"=""0220011""","Canterbury School District",4,36,2446,2494,48,"41.7%","72.0%"
"=""0220011""","Canterbury School District",5,50,2475,2518,43,"42.0%","67.3%"
"=""0220011""","Canterbury School District",6,34,2490,2546,56,"52.9%","73.7%"
"=""0220011""","Canterbury School District",7,70,2507,2560,53,"57.1%","81.3%"
"=""0220011""","Canterbury School District",8,58,2574,2581,7,"27.6%","41.9%"
"=""0230011""","Canton School District",4,112,2482,2523,41,"48.2%","68.0%"
"=""0230011""","Canton School District",5,129,2509,2556,47,"49.6%","73.2%"
"=""0230011""","Canton School District",6,132,2543,2586,43,"55.3%","75.8%"
"=""0230011""","Canton School District",7,136,2575,2602,27,"46.3%","65.1%"
"=""0230011""","Canton School District",8,135,2585,2621,36,"56.3%","72.9%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",6,26,2435,2462,27,"30.8%","51.1%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",7,32,2483,2509,25,"31.3%","45.7%"
"=""2970013""","Capital Preparatory Harbor School Inc. District",8,30,2488,2534,46,"43.3%","73.5%"
"=""2410014""","Capitol Region Education Council",4,347,2420,2474,53,"43.2%","71.7%"
"=""2410014""","Capitol Region Education Council",5,312,2449,2503,54,"45.8%","70.6%"
"=""2410014""","Capitol Region Education Council",6,586,2489,2512,22,"34.5%","53.3%"
"=""2410014""","Capitol Region Education Council",7,672,2511,2544,33,"38.5%","60.4%"
"=""2410014""","Capitol Region Education Council",8,622,2544,2570,26,"41.8%","59.6%"
"=""0240011""","Chaplin School District",4,13,"*","*","*","*","*"
"=""0240011""","Chaplin School District",5,16,"*","*","*","*","*"
"=""0240011""","Chaplin School District",6,14,"*","*","*","*","*"
"=""0250011""","Cheshire School District",4,278,2468,2534,66,"64.4%","83.3%"
"=""0250011""","Cheshire School District",5,337,2534,2585,51,"61.7%","83.0%"
"=""0250011""","Cheshire School District",6,376,2557,2591,33,"55.1%","70.3%"
"=""0250011""","Cheshire School District",7,353,2587,2605,18,"39.1%","55.7%"
"=""0250011""","Cheshire School District",8,344,2604,2624,20,"45.9%","60.9%"
"=""0260011""","Chester School District",4,27,2475,2520,45,"48.1%","66.4%"
"=""0260011""","Chester School District",5,34,2538,2576,38,"52.9%","76.5%"
"=""0260011""","Chester School District",6,39,2583,2606,22,"48.7%","63.2%"
"=""0270011""","Clinton School District",4,134,2460,2503,43,"38.8%","66.8%"
"=""0270011""","Clinton School District",5,167,2515,2554,39,"44.9%","68.2%"
"=""0270011""","Clinton School District",6,130,2544,2569,25,"40.8%","61.9%"
"=""0270011""","Clinton School District",7,141,2566,2580,15,"37.6%","50.4%"
"=""0270011""","Clinton School District",8,153,2575,2610,35,"51.6%","68.2%"
"=""0280011""","Colchester School District",4,161,2458,2517,60,"56.5%","79.5%"
"=""0280011""","Colchester School District",5,192,2501,2554,52,"51.6%","78.7%"
"=""0280011""","Colchester School District",6,201,2543,2578,35,"51.7%","71.0%"
"=""0280011""","Colchester School District",7,192,2576,2600,24,"40.1%","58.9%"
"=""0280011""","Colchester School District",8,189,2596,2619,23,"43.4%","59.4%"
"=""0290011""","Colebrook School District",4,9,"*","*","*","*","*"
"=""0290011""","Colebrook School District",5,9,"*","*","*","*","*"
"=""0290011""","Colebrook School District",6,13,"*","*","*","*","*"
"=""0300011""","Columbia School District",4,35,2429,2510,81,"71.4%","96.2%"
"=""0300011""","Columbia School District",5,51,2494,2532,38,"39.2%","58.6%"
"=""0300011""","Columbia School District",6,36,2511,2550,40,"47.2%","70.9%"
"=""0300011""","Columbia School District",7,48,2558,2598,40,"47.9%","67.4%"
"=""0300011""","Columbia School District",8,58,2579,2603,25,"39.7%","55.2%"
"=""2430014""","Cooperative Educational Services",4,67,2399,2463,64,"49.3%","72.5%"
"=""2430014""","Cooperative Educational Services",5,50,2454,2480,26,"22.0%","48.0%"
"=""2430014""","Cooperative Educational Services",6,57,2489,2530,41,"47.4%","70.8%"
"=""2430014""","Cooperative Educational Services",7,41,2525,2527,2,"22.0%","40.8%"
"=""2430014""","Cooperative Educational Services",8,52,2506,2536,31,"30.8%","52.6%"
"=""0310011""","Cornwall School District",4,"*","*","*","*","*","*"
"=""0310011""","Cornwall School District",5,10,"*","*","*","*","*"
"=""0310011""","Cornwall School District",6,"*","*","*","*","*","*"
"=""0310011""","Cornwall School District",7,11,"*","*","*","*","*"
"=""0310011""","Cornwall School District",8,19,"*","*","*","*","*"
"=""0320011""","Coventry School District",4,118,2455,2521,66,"61.9%","82.0%"
"=""0320011""","Coventry School District",5,115,2495,2542,47,"39.1%","67.3%"
"=""0320011""","Coventry School District",6,119,2531,2572,41,"47.9%","70.7%"
"=""0320011""","Coventry School District",7,123,2558,2613,54,"64.2%","83.8%"
"=""0320011""","Coventry School District",8,131,2571,2622,51,"58.8%","78.6%"
"=""0330011""","Cromwell School District",4,147,2439,2475,36,"32.7%","58.1%"
"=""0330011""","Cromwell School District",5,172,2478,2514,36,"32.6%","60.7%"
"=""0330011""","Cromwell School District",6,146,2521,2576,55,"65.8%","83.8%"
"=""0330011""","Cromwell School District",7,148,2570,2598,27,"45.3%","64.0%"
"=""0330011""","Cromwell School District",8,140,2577,2607,30,"47.1%","66.0%"
"=""0340011""","Danbury School District",4,755,2419,2477,59,"47.0%","72.1%"
"=""0340011""","Danbury School District",5,783,2464,2515,51,"44.3%","70.0%"
"=""0340011""","Danbury School District",6,712,2496,2519,23,"34.3%","54.2%"
"=""0340011""","Danbury School District",7,751,2513,2540,27,"34.4%","55.6%"
"=""0340011""","Danbury School District",8,675,2518,2558,40,"46.7%","66.9%"
"=""0350011""","Darien School District",4,365,2496,2553,57,"61.4%","82.1%"
"=""0350011""","Darien School District",5,341,2539,2592,54,"64.2%","82.7%"
"=""0350011""","Darien School District",6,385,2574,2608,34,"55.6%","70.8%"
"=""0350011""","Darien School District",7,361,2596,2637,41,"58.4%","75.5%"
"=""0350011""","Darien School District",8,356,2629,2657,28,"57.0%","71.0%"
"=""0360011""","Deep River School District",4,48,2455,2497,42,"41.7%","66.0%"
"=""0360011""","Deep River School District",5,44,2509,2549,40,"47.7%","66.7%"
"=""0360011""","Deep River School District",6,54,2534,2571,37,"55.6%","69.4%"
"=""0370011""","Derby School District",4,121,2401,2454,53,"38.8%","67.0%"
"=""0370011""","Derby School District",5,101,2455,2496,41,"34.7%","64.3%"
"=""0370011""","Derby School District",6,106,2492,2464,-28,"15.1%","24.8%"
"=""0370011""","Derby School District",7,102,2474,2503,29,"34.3%","53.3%"
"=""0370011""","Derby School District",8,90,2514,2539,25,"34.4%","53.4%"
"=""0400011""","East Granby School District",4,48,2450,2502,51,"52.1%","73.5%"
"=""0400011""","East Granby School District",5,69,2529,2576,46,"49.3%","72.2%"
"=""0400011""","East Granby School District",6,60,2544,2546,2,"31.7%","46.3%"
"=""0400011""","East Granby School District",7,73,2550,2566,16,"30.1%","47.3%"
"=""0400011""","East Granby School District",8,60,2582,2611,29,"43.3%","63.5%"
"=""0410011""","East Haddam School District",4,67,2464,2492,28,"35.8%","54.9%"
"=""0410011""","East Haddam School District",5,67,2521,2567,47,"59.7%","72.8%"
"=""0410011""","East Haddam School District",6,75,2540,2573,34,"53.3%","70.3%"
"=""0410011""","East Haddam School District",7,91,2564,2593,29,"48.4%","64.3%"
"=""0410011""","East Haddam School District",8,94,2557,2581,24,"44.7%","60.2%"
"=""0420011""","East Hampton School District",4,146,2454,2491,37,"33.6%","60.1%"
"=""0420011""","East Hampton School District",5,120,2497,2522,25,"36.7%","55.3%"
"=""0420011""","East Hampton School District",6,141,2536,2541,4,"29.1%","42.6%"
"=""0420011""","East Hampton School District",7,116,2529,2554,25,"33.6%","50.7%"
"=""0420011""","East Hampton School District",8,125,2570,2589,20,"40.0%","57.7%"
"=""0430011""","East Hartford School District",4,469,2376,2431,55,"39.0%","66.7%"
"=""0430011""","East Hartford School District",5,477,2426,2476,50,"40.3%","64.6%"
"=""0430011""","East Hartford School District",6,382,2455,2490,35,"38.5%","61.1%"
"=""0430011""","East Hartford School District",7,429,2484,2503,20,"26.8%","48.6%"
"=""0430011""","East Hartford School District",8,435,2482,2510,28,"34.9%","55.4%"
"=""0440011""","East Haven School District",4,205,2410,2463,53,"41.0%","69.0%"
"=""0440011""","East Haven School District",5,192,2457,2496,39,"29.7%","59.9%"
"=""0440011""","East Haven School District",6,204,2493,2533,40,"46.6%","66.4%"
"=""0440011""","East Haven School District",7,230,2505,2556,51,"48.7%","73.0%"
"=""0440011""","East Haven School District",8,228,2504,2547,43,"44.7%","68.3%"
"=""0450011""","East Lyme School District",4,180,2475,2533,58,"55.6%","79.3%"
"=""0450011""","East Lyme School District",5,188,2541,2567,26,"46.8%","63.4%"
"=""0450011""","East Lyme School District",6,193,2532,2563,32,"44.0%","63.1%"
"=""0450011""","East Lyme School District",7,212,2573,2603,29,"48.6%","62.3%"
"=""0450011""","East Lyme School District",8,188,2582,2603,21,"40.4%","57.6%"
"=""0470011""","East Windsor School District",4,68,2421,2470,49,"35.3%","62.5%"
"=""0470011""","East Windsor School District",5,74,2461,2494,33,"27.0%","54.3%"
"=""0470011""","East Windsor School District",6,73,2494,2526,32,"37.0%","59.1%"
"=""0470011""","East Windsor School District",7,62,2510,2536,26,"27.4%","54.3%"
"=""0470011""","East Windsor School District",8,68,2567,2593,26,"39.7%","61.7%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)",4,"*","*","*","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)",5,"*","*","*","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)",6,9,"*","*","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)",7,11,"*","*","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)",8,"*","*","*","*","*","*"
"=""0390011""","Eastford School District",4,12,"*","*","*","*","*"
"=""0390011""","Eastford School District",5,19,"*","*","*","*","*"
"=""0390011""","Eastford School District",6,12,"*","*","*","*","*"
"=""0390011""","Eastford School District",7,9,"*","*","*","*","*"
"=""0390011""","Eastford School District",8,15,"*","*","*","*","*"
"=""0460011""","Easton School District",4,101,2483,2553,69,"73.3%","90.3%"
"=""0460011""","Easton School District",5,112,2534,2591,58,"64.3%","84.4%"
"=""0460011""","Easton School District",6,96,2554,2576,22,"42.7%","61.1%"
"=""0460011""","Easton School District",7,92,2572,2617,46,"54.3%","74.9%"
"=""0460011""","Easton School District",8,100,2573,2618,45,"54.0%","71.2%"
"=""2420014""","EdAdvance",8,"*","*","*","*","*","*"
"=""0480011""","Ellington School District",4,195,2471,2523,53,"51.8%","76.8%"
"=""0480011""","Ellington School District",5,210,2529,2569,40,"50.0%","72.1%"
"=""0480011""","Ellington School District",6,209,2559,2584,25,"46.9%","61.3%"
"=""0480011""","Ellington School District",7,198,2577,2603,26,"43.4%","61.1%"
"=""0480011""","Ellington School District",8,201,2610,2619,10,"33.3%","54.2%"
"=""2890013""","Elm City College Preparatory School District",4,62,2417,2516,99,"75.8%","95.8%"
"=""2890013""","Elm City College Preparatory School District",5,66,2474,2513,38,"33.3%","60.3%"
"=""2890013""","Elm City College Preparatory School District",6,66,2472,2525,53,"54.5%","75.9%"
"=""2890013""","Elm City College Preparatory School District",7,58,2508,2547,39,"50.0%","69.8%"
"=""2890013""","Elm City College Preparatory School District",8,58,2537,2594,56,"60.3%","75.5%"
"=""0490011""","Enfield School District",4,350,2434,2493,59,"47.7%","73.1%"
"=""0490011""","Enfield School District",5,370,2468,2524,57,"47.8%","71.8%"
"=""0490011""","Enfield School District",6,313,2512,2528,16,"33.9%","52.4%"
"=""0490011""","Enfield School District",7,356,2515,2553,39,"41.9%","64.5%"
"=""0490011""","Enfield School District",8,325,2539,2582,43,"52.3%","70.7%"
"=""0500011""","Essex School District",4,52,2474,2523,49,"55.8%","72.4%"
"=""0500011""","Essex School District",5,52,2517,2560,43,"48.1%","73.6%"
"=""0500011""","Essex School District",6,78,2584,2603,19,"50.0%","66.3%"
"=""0510011""","Fairfield School District",4,829,2459,2520,61,"57.8%","80.1%"
"=""0510011""","Fairfield School District",5,734,2509,2559,50,"53.4%","75.6%"
"=""0510011""","Fairfield School District",6,720,2558,2583,25,"44.0%","62.0%"
"=""0510011""","Fairfield School District",7,763,2575,2604,29,"46.3%","64.8%"
"=""0510011""","Fairfield School District",8,758,2588,2618,30,"49.1%","66.2%"
"=""0520011""","Farmington School District",4,303,2480,2545,65,"65.3%","84.5%"
"=""0520011""","Farmington School District",5,294,2531,2572,41,"52.4%","72.2%"
"=""0520011""","Farmington School District",6,326,2553,2589,36,"51.8%","71.4%"
"=""0520011""","Farmington School District",7,314,2584,2608,23,"41.7%","59.0%"
"=""0520011""","Farmington School District",8,275,2596,2630,34,"57.8%","73.1%"
"=""0530011""","Franklin School District",4,17,"*","*","*","*","*"
"=""0530011""","Franklin School District",5,14,"*","*","*","*","*"
"=""0530011""","Franklin School District",6,20,2528,2507,-21,"25.0%","32.5%"
"=""0530011""","Franklin School District",7,17,"*","*","*","*","*"
"=""0530011""","Franklin School District",8,20,2579,2611,32,"40.0%","61.2%"
"=""0540011""","Glastonbury School District",4,418,2484,2531,46,"51.7%","74.2%"
"=""0540011""","Glastonbury School District",5,429,2535,2579,44,"57.1%","77.4%"
"=""0540011""","Glastonbury School District",6,461,2565,2603,38,"59.9%","75.8%"
"=""0540011""","Glastonbury School District",7,503,2591,2604,13,"38.6%","52.5%"
"=""0540011""","Glastonbury School District",8,504,2603,2625,22,"48.2%","64.6%"
"=""0560011""","Granby School District",4,128,2459,2538,79,"70.3%","90.4%"
"=""0560011""","Granby School District",5,120,2517,2565,48,"56.7%","76.9%"
"=""0560011""","Granby School District",6,146,2559,2607,49,"65.1%","81.5%"
"=""0560011""","Granby School District",7,143,2570,2604,33,"46.2%","66.0%"
"=""0560011""","Granby School District",8,150,2584,2620,36,"56.0%","71.4%"
"=""2940013""","Great Oaks Charter School District",6,101,2402,2430,28,"31.7%","50.4%"
"=""2940013""","Great Oaks Charter School District",7,105,2434,2490,56,"48.6%","69.2%"
"=""0570011""","Greenwich School District",4,614,2480,2534,54,"57.5%","77.4%"
"=""0570011""","Greenwich School District",5,640,2523,2573,50,"57.0%","77.5%"
"=""0570011""","Greenwich School District",6,587,2553,2579,26,"45.8%","63.9%"
"=""0570011""","Greenwich School District",7,586,2575,2612,37,"54.6%","69.8%"
"=""0570011""","Greenwich School District",8,598,2597,2629,32,"54.0%","69.4%"
"=""0580011""","Griswold School District",4,132,2434,2478,45,"40.2%","65.9%"
"=""0580011""","Griswold School District",5,118,2491,2530,39,"39.8%","61.3%"
"=""0580011""","Griswold School District",6,124,2517,2548,31,"41.1%","61.6%"
"=""0580011""","Griswold School District",7,137,2528,2567,39,"43.8%","64.1%"
"=""0580011""","Griswold School District",8,124,2560,2592,32,"46.0%","65.2%"
"=""0590011""","Groton School District",4,303,2440,2497,56,"46.9%","73.3%"
"=""0590011""","Groton School District",5,273,2469,2521,52,"47.6%","68.8%"
"=""0590011""","Groton School District",6,283,2523,2536,13,"31.1%","46.8%"
"=""0590011""","Groton School District",7,297,2509,2537,28,"39.1%","56.1%"
"=""0590011""","Groton School District",8,247,2536,2566,30,"40.5%","60.2%"
"=""0600011""","Guilford School District",4,249,2484,2540,57,"59.0%","81.0%"
"=""0600011""","Guilford School District",5,278,2526,2563,37,"46.8%","67.3%"
"=""0600011""","Guilford School District",6,249,2561,2594,34,"54.2%","70.5%"
"=""0600011""","Guilford School District",7,252,2587,2628,41,"56.3%","72.5%"
"=""0600011""","Guilford School District",8,275,2621,2648,26,"54.9%","70.6%"
"=""0620011""","Hamden School District",4,360,2435,2483,48,"45.8%","70.0%"
"=""0620011""","Hamden School District",5,385,2473,2503,30,"32.7%","54.8%"
"=""0620011""","Hamden School District",6,360,2497,2540,43,"50.8%","70.4%"
"=""0620011""","Hamden School District",7,347,2538,2546,9,"29.4%","45.6%"
"=""0620011""","Hamden School District",8,383,2545,2554,9,"28.2%","46.2%"
"=""0630011""","Hampton School District",4,10,"*","*","*","*","*"
"=""0630011""","Hampton School District",5,10,"*","*","*","*","*"
"=""0630011""","Hampton School District",6,8,"*","*","*","*","*"
"=""0640011""","Hartford School District",4,1451,2373,2409,36,"26.3%","53.4%"
"=""0640011""","Hartford School District",5,1286,2405,2455,50,"39.0%","64.6%"
"=""0640011""","Hartford School District",6,1315,2450,2476,26,"33.2%","54.1%"
"=""0640011""","Hartford School District",7,1444,2472,2491,20,"28.9%","48.4%"
"=""0640011""","Hartford School District",8,1312,2491,2515,24,"34.7%","52.4%"
"=""0650011""","Hartland School District",4,12,"*","*","*","*","*"
"=""0650011""","Hartland School District",5,22,2445,2554,109,"77.3%","96.1%"
"=""0650011""","Hartland School District",6,32,2514,2551,36,"46.9%","67.0%"
"=""0650011""","Hartland School District",7,24,2526,2585,59,"54.2%","74.9%"
"=""0650011""","Hartland School District",8,15,"*","*","*","*","*"
"=""0670011""","Hebron School District",4,117,2439,2482,42,"35.9%","65.1%"
"=""0670011""","Hebron School District",5,105,2485,2532,47,"42.9%","69.8%"
"=""0670011""","Hebron School District",6,119,2521,2566,44,"55.5%","72.1%"
"=""2860013""","Highville Charter School District",4,40,2390,2428,39,"27.5%","51.4%"
"=""2860013""","Highville Charter School District",5,37,2427,2476,49,"37.8%","67.2%"
"=""2860013""","Highville Charter School District",6,36,2467,2489,22,"30.6%","53.7%"
"=""2860013""","Highville Charter School District",7,31,2510,2536,26,"45.2%","56.8%"
"=""2860013""","Highville Charter School District",8,37,2528,2547,20,"24.3%","45.6%"
"=""2640013""","Integrated Day Charter School District",4,29,2431,2452,21,"13.8%","38.3%"
"=""2640013""","Integrated Day Charter School District",5,30,2436,2450,14,"16.7%","37.8%"
"=""2640013""","Integrated Day Charter School District",6,31,2503,2548,44,"61.3%","77.8%"
"=""2640013""","Integrated Day Charter School District",7,32,2551,2573,22,"31.3%","57.4%"
"=""2640013""","Integrated Day Charter School District",8,35,2552,2562,9,"34.3%","49.6%"
"=""2650013""","Interdistrict School for Arts and Comm District",6,89,2483,2483,0,"23.6%","36.4%"
"=""2650013""","Interdistrict School for Arts and Comm District",7,84,2472,2509,38,"44.0%","61.1%"
"=""2650013""","Interdistrict School for Arts and Comm District",8,81,2511,2535,24,"30.9%","45.6%"
"=""2610013""","Jumoke Academy District",4,59,2378,2440,62,"49.2%","73.8%"
"=""2610013""","Jumoke Academy District",5,66,2442,2463,21,"21.2%","40.2%"
"=""2610013""","Jumoke Academy District",6,50,2486,2521,35,"38.0%","60.1%"
"=""2610013""","Jumoke Academy District",7,70,2489,2519,31,"34.3%","52.3%"
"=""2610013""","Jumoke Academy District",8,80,2526,2545,18,"33.8%","50.5%"
"=""0680011""","Kent School District",4,25,2459,2528,69,"68.0%","89.0%"
"=""0680011""","Kent School District",5,24,2537,2589,52,"58.3%","72.5%"
"=""0680011""","Kent School District",6,32,2558,2596,37,"53.1%","70.2%"
"=""0680011""","Kent School District",7,26,2586,2593,7,"26.9%","37.6%"
"=""0680011""","Kent School District",8,19,"*","*","*","*","*"
"=""0690011""","Killingly School District",4,153,2418,2473,55,"47.1%","71.1%"
"=""0690011""","Killingly School District",5,146,2472,2521,49,"43.2%","70.4%"
"=""0690011""","Killingly School District",6,154,2510,2565,54,"61.0%","79.7%"
"=""0690011""","Killingly School District",7,161,2548,2582,34,"42.2%","62.4%"
