"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"District Code","District","Subject","Gender","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0280011""","Colchester School District","Math","Female",457,"44.6%","64.9%"
"=""0290011""","Colebrook School District","ELA","Male",13,"*","*"
"=""0290011""","Colebrook School District","ELA","Female",18,"*","*"
"=""0290011""","Colebrook School District","Math","Male",13,"*","*"
"=""0290011""","Colebrook School District","Math","Female",18,"*","*"
"=""0300011""","Columbia School District","ELA","Male",112,"42.9%","64.8%"
"=""0300011""","Columbia School District","ELA","Female",116,"51.7%","69.6%"
"=""0300011""","Columbia School District","Math","Male",112,"35.7%","61.5%"
"=""0300011""","Columbia School District","Math","Female",115,"39.1%","60.2%"
"=""2430014""","Cooperative Educational Services","ELA","Male",156,"32.7%","58.4%"
"=""2430014""","Cooperative Educational Services","ELA","Female",111,"40.5%","59.4%"
"=""2430014""","Cooperative Educational Services","Math","Male",156,"38.5%","58.0%"
"=""2430014""","Cooperative Educational Services","Math","Female",112,"36.6%","57.9%"
"=""0310011""","Cornwall School District","ELA","Male",29,"37.9%","59.5%"
"=""0310011""","Cornwall School District","ELA","Female",16,"*","*"
"=""0310011""","Cornwall School District","Math","Male",29,"48.3%","64.9%"
"=""0310011""","Cornwall School District","Math","Female",16,"*","*"
"=""0320011""","Coventry School District","ELA","Male",287,"52.6%","75.7%"
"=""0320011""","Coventry School District","ELA","Female",319,"56.4%","77.5%"
"=""0320011""","Coventry School District","Math","Male",287,"52.3%","73.5%"
"=""0320011""","Coventry School District","Math","Female",318,"51.9%","77.2%"
"=""0330011""","Cromwell School District","ELA","Male",394,"41.6%","63.3%"
"=""0330011""","Cromwell School District","ELA","Female",359,"47.1%","69.7%"
"=""0330011""","Cromwell School District","Math","Male",393,"39.2%","60.5%"
"=""0330011""","Cromwell School District","Math","Female",359,"36.5%","57.3%"
"=""0340011""","Danbury School District","ELA","Male",1822,"41.1%","63.0%"
"=""0340011""","Danbury School District","ELA","Female",1854,"41.5%","64.8%"
"=""0340011""","Danbury School District","Math","Male",1852,"43.3%","64.6%"
"=""0340011""","Danbury School District","Math","Female",1882,"42.3%","64.3%"
"=""0350011""","Darien School District","ELA","Male",934,"57.4%","74.9%"
"=""0350011""","Darien School District","ELA","Female",874,"61.2%","77.8%"
"=""0350011""","Darien School District","Math","Male",935,"71.0%","87.9%"
"=""0350011""","Darien School District","Math","Female",874,"64.9%","84.1%"
"=""0360011""","Deep River School District","ELA","Male",70,"41.4%","61.8%"
"=""0360011""","Deep River School District","ELA","Female",76,"55.3%","72.7%"
"=""0360011""","Deep River School District","Math","Male",70,"45.7%","68.4%"
"=""0360011""","Deep River School District","Math","Female",76,"55.3%","77.3%"
"=""0370011""","Derby School District","ELA","Male",266,"26.3%","47.6%"
"=""0370011""","Derby School District","ELA","Female",254,"37.0%","58.3%"
"=""0370011""","Derby School District","Math","Male",266,"23.3%","44.6%"
"=""0370011""","Derby School District","Math","Female",254,"22.4%","45.8%"
"=""0400011""","East Granby School District","ELA","Male",158,"39.9%","59.8%"
"=""0400011""","East Granby School District","ELA","Female",152,"41.4%","59.9%"
"=""0400011""","East Granby School District","Math","Male",158,"44.3%","64.1%"
"=""0400011""","East Granby School District","Math","Female",152,"56.6%","77.4%"
"=""0410011""","East Haddam School District","ELA","Male",213,"41.3%","58.0%"
"=""0410011""","East Haddam School District","ELA","Female",181,"56.4%","71.8%"
"=""0410011""","East Haddam School District","Math","Male",212,"34.0%","52.9%"
"=""0410011""","East Haddam School District","Math","Female",180,"30.6%","51.8%"
"=""0420011""","East Hampton School District","ELA","Male",350,"32.6%","50.9%"
"=""0420011""","East Hampton School District","ELA","Female",298,"36.6%","56.0%"
"=""0420011""","East Hampton School District","Math","Male",347,"36.3%","54.9%"
"=""0420011""","East Hampton School District","Math","Female",297,"32.7%","55.5%"
"=""0430011""","East Hartford School District","ELA","Male",1128,"33.9%","57.1%"
"=""0430011""","East Hartford School District","ELA","Female",1064,"38.3%","62.1%"
"=""0430011""","East Hartford School District","Math","Male",1134,"24.7%","45.7%"
"=""0430011""","East Hartford School District","Math","Female",1061,"28.9%","50.5%"
"=""0440011""","East Haven School District","ELA","Male",525,"37.7%","62.9%"
"=""0440011""","East Haven School District","ELA","Female",534,"47.2%","72.1%"
"=""0440011""","East Haven School District","Math","Male",524,"36.6%","59.4%"
"=""0440011""","East Haven School District","Math","Female",535,"38.7%","62.5%"
"=""0450011""","East Lyme School District","ELA","Male",500,"45.4%","63.6%"
"=""0450011""","East Lyme School District","ELA","Female",461,"48.8%","66.4%"
"=""0450011""","East Lyme School District","Math","Male",497,"50.3%","70.7%"
"=""0450011""","East Lyme School District","Math","Female",460,"50.4%","70.7%"
"=""0470011""","East Windsor School District","ELA","Male",183,"35.0%","59.5%"
"=""0470011""","East Windsor School District","ELA","Female",162,"31.5%","57.2%"
"=""0470011""","East Windsor School District","Math","Male",184,"35.3%","57.8%"
"=""0470011""","East Windsor School District","Math","Female",163,"30.1%","54.9%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA","Male","*","17.9%","33.8%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA","Female","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math","Male","*","25.0%","41.4%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math","Female","*","*","*"
"=""0390011""","Eastford School District","ELA","Male",36,"50.0%","71.3%"
"=""0390011""","Eastford School District","ELA","Female",31,"22.6%","44.7%"
"=""0390011""","Eastford School District","Math","Male",36,"52.8%","70.8%"
"=""0390011""","Eastford School District","Math","Female",31,"41.9%","66.1%"
"=""0460011""","Easton School District","ELA","Male",266,"59.8%","78.4%"
"=""0460011""","Easton School District","ELA","Female",235,"56.2%","74.8%"
"=""0460011""","Easton School District","Math","Male",264,"63.3%","84.0%"
"=""0460011""","Easton School District","Math","Female",232,"70.3%","88.6%"
"=""2420014""","EdAdvance","ELA","Male","*","*","*"
"=""2420014""","EdAdvance","Math","Male","*","*","*"
"=""0480011""","Ellington School District","ELA","Male",523,"40.2%","60.6%"
"=""0480011""","Ellington School District","ELA","Female",490,"50.4%","69.9%"
"=""0480011""","Ellington School District","Math","Male",523,"48.8%","70.1%"
"=""0480011""","Ellington School District","Math","Female",491,"46.2%","69.3%"
"=""2890013""","Elm City College Preparatory School District","ELA","Male",125,"53.6%","72.4%"
"=""2890013""","Elm City College Preparatory School District","ELA","Female",185,"55.1%","77.3%"
"=""2890013""","Elm City College Preparatory School District","Math","Male",125,"44.0%","61.3%"
"=""2890013""","Elm City College Preparatory School District","Math","Female",185,"48.1%","71.8%"
"=""0490011""","Enfield School District","ELA","Male",847,"42.3%","64.9%"
"=""0490011""","Enfield School District","ELA","Female",867,"47.4%","68.7%"
"=""0490011""","Enfield School District","Math","Male",847,"33.6%","56.6%"
"=""0490011""","Enfield School District","Math","Female",862,"35.0%","59.7%"
"=""0500011""","Essex School District","ELA","Male",93,"50.5%","68.8%"
"=""0500011""","Essex School District","ELA","Female",89,"51.7%","71.5%"
"=""0500011""","Essex School District","Math","Male",94,"60.6%","77.5%"
"=""0500011""","Essex School District","Math","Female",89,"56.2%","86.0%"
"=""0510011""","Fairfield School District","ELA","Male",1933,"48.4%","68.0%"
"=""0510011""","Fairfield School District","ELA","Female",1871,"52.2%","72.0%"
"=""0510011""","Fairfield School District","Math","Male",1929,"49.2%","69.8%"
"=""0510011""","Fairfield School District","Math","Female",1866,"48.8%","71.4%"
"=""0520011""","Farmington School District","ELA","Male",746,"49.3%","67.6%"
"=""0520011""","Farmington School District","ELA","Female",766,"57.8%","76.1%"
"=""0520011""","Farmington School District","Math","Male",747,"65.1%","84.7%"
"=""0520011""","Farmington School District","Math","Female",772,"64.2%","83.7%"
"=""0530011""","Franklin School District","ELA","Male",47,"38.3%","53.9%"
"=""0530011""","Franklin School District","ELA","Female",41,"31.7%","52.7%"
"=""0530011""","Franklin School District","Math","Male",47,"36.2%","54.8%"
"=""0530011""","Franklin School District","Math","Female",41,"17.1%","39.3%"
"=""0540011""","Glastonbury School District","ELA","Male",1134,"49.1%","67.6%"
"=""0540011""","Glastonbury School District","ELA","Female",1181,"52.2%","69.0%"
"=""0540011""","Glastonbury School District","Math","Male",1133,"59.6%","78.6%"
"=""0540011""","Glastonbury School District","Math","Female",1180,"55.8%","77.1%"
"=""0560011""","Granby School District","ELA","Male",352,"57.4%","76.5%"
"=""0560011""","Granby School District","ELA","Female",335,"60.0%","77.4%"
"=""0560011""","Granby School District","Math","Male",351,"50.7%","70.8%"
"=""0560011""","Granby School District","Math","Female",335,"52.2%","74.9%"
"=""2940013""","Great Oaks Charter School District","ELA","Male",102,"35.3%","57.7%"
"=""2940013""","Great Oaks Charter School District","ELA","Female",104,"45.2%","62.3%"
"=""2940013""","Great Oaks Charter School District","Math","Male",100,"48.0%","67.3%"
"=""2940013""","Great Oaks Charter School District","Math","Female",103,"41.7%","58.4%"
"=""0570011""","Greenwich School District","ELA","Male",1536,"51.4%","70.2%"
"=""0570011""","Greenwich School District","ELA","Female",1489,"56.5%","73.3%"
"=""0570011""","Greenwich School District","Math","Male",1556,"57.6%","75.0%"
"=""0570011""","Greenwich School District","Math","Female",1504,"53.8%","73.0%"
"=""0580011""","Griswold School District","ELA","Male",316,"43.4%","63.3%"
"=""0580011""","Griswold School District","ELA","Female",319,"41.1%","64.0%"
"=""0580011""","Griswold School District","Math","Male",316,"48.1%","70.3%"
"=""0580011""","Griswold School District","Math","Female",319,"52.0%","70.4%"
"=""0590011""","Groton School District","ELA","Male",696,"41.4%","60.4%"
"=""0590011""","Groton School District","ELA","Female",707,"40.7%","61.8%"
"=""0590011""","Groton School District","Math","Male",698,"46.4%","67.5%"
"=""0590011""","Groton School District","Math","Female",714,"44.5%","63.3%"
"=""0600011""","Guilford School District","ELA","Male",677,"51.6%","70.3%"
"=""0600011""","Guilford School District","ELA","Female",626,"56.9%","74.4%"
"=""0600011""","Guilford School District","Math","Male",677,"60.0%","79.4%"
"=""0600011""","Guilford School District","Math","Female",625,"55.8%","76.8%"
"=""0620011""","Hamden School District","ELA","Male",949,"34.8%","55.4%"
"=""0620011""","Hamden School District","ELA","Female",886,"40.0%","59.3%"
"=""0620011""","Hamden School District","Math","Male",952,"34.6%","55.7%"
"=""0620011""","Hamden School District","Math","Female",881,"37.7%","57.2%"
"=""0630011""","Hampton School District","ELA","Male",20,"65.0%","86.5%"
"=""0630011""","Hampton School District","ELA","Female",8,"*","*"
"=""0630011""","Hampton School District","Math","Male",19,"*","*"
"=""0630011""","Hampton School District","Math","Female",8,"*","*"
"=""0640011""","Hartford School District","ELA","Male",3461,"31.4%","53.9%"
"=""0640011""","Hartford School District","ELA","Female",3347,"33.0%","55.0%"
"=""0640011""","Hartford School District","Math","Male",3511,"34.5%","55.6%"
"=""0640011""","Hartford School District","Math","Female",3399,"33.2%","56.0%"
"=""0650011""","Hartland School District","ELA","Male",58,"55.2%","80.8%"
"=""0650011""","Hartland School District","ELA","Female",47,"59.6%","78.3%"
"=""0650011""","Hartland School District","Math","Male",57,"61.4%","85.5%"
"=""0650011""","Hartland School District","Math","Female",47,"59.6%","78.6%"
"=""0670011""","Hebron School District","ELA","Male",182,"44.5%","66.9%"
"=""0670011""","Hebron School District","ELA","Female",159,"45.3%","71.4%"
"=""0670011""","Hebron School District","Math","Male",183,"58.5%","82.3%"
"=""0670011""","Hebron School District","Math","Female",159,"54.7%","82.1%"
"=""2860013""","Highville Charter School District","ELA","Male",86,"27.9%","48.9%"
"=""2860013""","Highville Charter School District","ELA","Female",95,"36.8%","60.1%"
"=""2860013""","Highville Charter School District","Math","Male",86,"45.3%","68.5%"
"=""2860013""","Highville Charter School District","Math","Female",95,"48.4%","67.4%"
"=""2640013""","Integrated Day Charter School District","ELA","Male",80,"36.3%","56.7%"
"=""2640013""","Integrated Day Charter School District","ELA","Female",77,"27.3%","48.0%"
"=""2640013""","Integrated Day Charter School District","Math","Male",79,"40.5%","60.6%"
"=""2640013""","Integrated Day Charter School District","Math","Female",75,"45.3%","69.2%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","Male",129,"33.3%","48.3%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELA","Female",125,"32.0%","46.6%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","Male",128,"17.2%","30.9%"
"=""2650013""","Interdistrict School for Arts and Comm District","Math","Female",124,"20.2%","35.1%"
"=""2610013""","Jumoke Academy District","ELA","Male",144,"29.2%","47.5%"
"=""2610013""","Jumoke Academy District","ELA","Female",181,"39.2%","60.1%"
"=""2610013""","Jumoke Academy District","Math","Male",145,"31.7%","54.8%"
"=""2610013""","Jumoke Academy District","Math","Female",181,"38.1%","56.4%"
"=""0680011""","Kent School District","ELA","Male",71,"46.5%","57.6%"
"=""0680011""","Kent School District","ELA","Female",55,"49.1%","69.3%"
"=""0680011""","Kent School District","Math","Male",71,"53.5%","68.8%"
"=""0680011""","Kent School District","Math","Female",55,"50.9%","71.7%"
"=""0690011""","Killingly School District","ELA","Male",380,"47.6%","70.4%"
"=""0690011""","Killingly School District","ELA","Female",393,"49.6%","69.7%"
"=""0690011""","Killingly School District","Math","Male",380,"39.2%","63.0%"
"=""0690011""","Killingly School District","Math","Female",391,"41.7%","64.3%"
"=""2450014""","Learn","ELA","Male",143,"44.8%","68.8%"
"=""2450014""","Learn","ELA","Female",153,"45.8%","72.9%"
"=""2450014""","Learn","Math","Male",146,"43.8%","66.3%"
"=""2450014""","Learn","Math","Female",154,"39.0%","64.6%"
"=""0710011""","Lebanon School District","ELA","Male",175,"46.3%","63.4%"
"=""0710011""","Lebanon School District","ELA","Female",162,"54.9%","71.1%"
"=""0710011""","Lebanon School District","Math","Male",174,"39.7%","61.6%"
"=""0710011""","Lebanon School District","Math","Female",159,"44.0%","69.6%"
"=""0720011""","Ledyard School District","ELA","Male",422,"39.3%","59.2%"
"=""0720011""","Ledyard School District","ELA","Female",354,"45.5%","65.5%"
"=""0720011""","Ledyard School District","Math","Male",423,"47.0%","67.1%"
"=""0720011""","Ledyard School District","Math","Female",355,"49.0%","73.7%"
"=""0730011""","Lisbon School District","ELA","Male",103,"35.9%","58.8%"
"=""0730011""","Lisbon School District","ELA","Female",100,"38.0%","55.6%"
"=""0730011""","Lisbon School District","Math","Male",103,"44.7%","70.1%"
"=""0730011""","Lisbon School District","Math","Female",100,"41.0%","66.1%"
"=""0740011""","Litchfield School District","ELA","Male",189,"60.3%","79.2%"
"=""0740011""","Litchfield School District","ELA","Female",183,"53.0%","71.6%"
"=""0740011""","Litchfield School District","Math","Male",189,"59.8%","77.4%"
"=""0740011""","Litchfield School District","Math","Female",183,"54.6%","71.9%"
"=""0760011""","Madison School District","ELA","Male",520,"34.4%","51.9%"
"=""0760011""","Madison School District","ELA","Female",444,"40.5%","57.7%"
"=""0760011""","Madison School District","Math","Male",517,"40.2%","58.6%"
"=""0760011""","Madison School District","Math","Female",445,"42.2%","60.4%"
"=""0770011""","Manchester School District","ELA","Male",1011,"30.8%","53.5%"
"=""0770011""","Manchester School District","ELA","Female",951,"39.4%","61.3%"
"=""0770011""","Manchester School District","Math","Male",1012,"32.0%","54.6%"
"=""0770011""","Manchester School District","Math","Female",952,"33.2%","54.4%"
"=""0780011""","Mansfield School District","ELA","Male",291,"46.4%","63.6%"
"=""0780011""","Mansfield School District","ELA","Female",246,"56.5%","73.8%"
"=""0780011""","Mansfield School District","Math","Male",295,"55.9%","71.9%"
"=""0780011""","Mansfield School District","Math","Female",246,"51.2%","69.5%"
"=""0790011""","Marlborough School District","ELA","Male",137,"49.6%","73.9%"
"=""0790011""","Marlborough School District","ELA","Female",116,"63.8%","81.5%"
"=""0790011""","Marlborough School District","Math","Male",137,"59.9%","81.9%"
"=""0790011""","Marlborough School District","Math","Female",115,"60.9%","86.7%"
"=""0800011""","Meriden School District","ELA","Male",1213,"37.3%","59.0%"
"=""0800011""","Meriden School District","ELA","Female",1237,"41.1%","64.4%"
"=""0800011""","Meriden School District","Math","Male",1211,"39.3%","62.8%"
"=""0800011""","Meriden School District","Math","Female",1238,"41.3%","65.2%"
"=""0830011""","Middletown School District","ELA","Male",811,"34.9%","55.5%"
"=""0830011""","Middletown School District","ELA","Female",795,"41.3%","61.7%"
"=""0830011""","Middletown School District","Math","Male",810,"36.5%","55.9%"
"=""0830011""","Middletown School District","Math","Female",797,"38.4%","58.7%"
"=""0840011""","Milford School District","ELA","Male",1163,"46.2%","67.2%"
"=""0840011""","Milford School District","ELA","Female",1028,"50.4%","69.5%"
"=""0840011""","Milford School District","Math","Male",1160,"46.6%","68.0%"
"=""0840011""","Milford School District","Math","Female",1024,"45.4%","65.9%"
"=""0850011""","Monroe School District","ELA","Male",595,"43.7%","59.1%"
"=""0850011""","Monroe School District","ELA","Female",587,"54.5%","70.3%"
"=""0850011""","Monroe School District","Math","Male",595,"48.7%","68.6%"
"=""0850011""","Monroe School District","Math","Female",586,"50.5%","73.0%"
"=""0860011""","Montville School District","ELA","Male",412,"43.2%","64.5%"
"=""0860011""","Montville School District","ELA","Female",420,"46.0%","66.0%"
"=""0860011""","Montville School District","Math","Male",413,"46.2%","68.4%"
"=""0860011""","Montville School District","Math","Female",420,"45.5%","67.8%"
"=""0880011""","Naugatuck School District","ELA","Male",835,"39.2%","63.0%"
"=""0880011""","Naugatuck School District","ELA","Female",698,"45.0%","66.4%"
"=""0880011""","Naugatuck School District","Math","Male",836,"33.0%","54.9%"
"=""0880011""","Naugatuck School District","Math","Female",702,"33.2%","54.4%"
"=""2800013""","New Beginnings Inc Family Academy District","ELA","Male",82,"36.6%","56.7%"
"=""2800013""","New Beginnings Inc Family Academy District","ELA","Female",87,"32.2%","56.9%"
"=""2800013""","New Beginnings Inc Family Academy District","Math","Male",82,"29.3%","55.5%"
"=""2800013""","New Beginnings Inc Family Academy District","Math","Female",87,"33.3%","53.2%"
"=""0890011""","New Britain School District","ELA","Male",1670,"29.4%","52.1%"
"=""0890011""","New Britain School District","ELA","Female",1448,"28.3%","51.1%"
"=""0890011""","New Britain School District","Math","Male",1684,"26.1%","44.8%"
"=""0890011""","New Britain School District","Math","Female",1459,"23.4%","44.7%"
"=""0900011""","New Canaan School District","ELA","Male",810,"49.8%","66.7%"
"=""0900011""","New Canaan School District","ELA","Female",746,"56.2%","70.9%"
"=""0900011""","New Canaan School District","Math","Male",810,"59.0%","76.6%"
"=""0900011""","New Canaan School District","Math","Female",748,"60.2%","78.9%"
"=""0910011""","New Fairfield School District","ELA","Male",409,"48.4%","69.0%"
"=""0910011""","New Fairfield School District","ELA","Female",386,"53.6%","73.4%"
"=""0910011""","New Fairfield School District","Math","Male",403,"61.5%","80.2%"
