"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2850013""","Bridgeport Achievement First District","Eligible for Free Lunch",301,"61.1%","78.7%"
"=""2850013""","Bridgeport Achievement First District","Not Eligible for Free/Reduced Lunch",75,"61.3%","81.2%"
"=""2850013""","Bridgeport Achievement First District","Eligible for Reduced Lunch",46,"45.7%","67.0%"
"=""0150011""","Bridgeport School District","Eligible for Free Lunch",6719,"29.1%","50.9%"
"=""0170011""","Bristol School District","Eligible for Free Lunch",1103,"39.7%","63.0%"
"=""0170011""","Bristol School District","Not Eligible for Free/Reduced Lunch",1497,"45.1%","67.4%"
"=""0170011""","Bristol School District","Eligible for Reduced Lunch",182,"45.6%","66.6%"
"=""0180011""","Brookfield School District","Eligible for Free Lunch",52,"42.3%","67.7%"
"=""0180011""","Brookfield School District","Not Eligible for Free/Reduced Lunch",888,"45.7%","67.9%"
"=""0180011""","Brookfield School District","Eligible for Reduced Lunch",17,"*","*"
"=""0190011""","Brooklyn School District","Eligible for Free Lunch",99,"35.4%","56.1%"
"=""0190011""","Brooklyn School District","Not Eligible for Free/Reduced Lunch",300,"39.7%","59.9%"
"=""0190011""","Brooklyn School District","Eligible for Reduced Lunch",24,"37.5%","56.3%"
"=""0210011""","Canaan School District","Eligible for Free Lunch","*","*","*"
"=""0210011""","Canaan School District","Not Eligible for Free/Reduced Lunch","*","26.5%","50.3%"
"=""0220011""","Canterbury School District","Eligible for Free Lunch",54,"37.0%","57.2%"
"=""0220011""","Canterbury School District","Not Eligible for Free/Reduced Lunch",176,"46.6%","70.4%"
"=""0220011""","Canterbury School District","Eligible for Reduced Lunch",18,"*","*"
"=""0230011""","Canton School District","Eligible for Free Lunch",67,"44.8%","68.1%"
"=""0230011""","Canton School District","Not Eligible for Free/Reduced Lunch",560,"56.6%","77.5%"
"=""0230011""","Canton School District","Eligible for Reduced Lunch",17,"*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Eligible for Free Lunch",45,"17.8%","36.2%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Not Eligible for Free/Reduced Lunch",32,"12.5%","29.3%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Eligible for Reduced Lunch",10,"*","*"
"=""2410014""","Capitol Region Education Council","Eligible for Free Lunch",1099,"32.8%","54.3%"
"=""2410014""","Capitol Region Education Council","Not Eligible for Free/Reduced Lunch",1196,"42.6%","63.5%"
"=""2410014""","Capitol Region Education Council","Eligible for Reduced Lunch",217,"31.3%","51.6%"
"=""0240011""","Chaplin School District","Eligible for Free Lunch",17,"*","*"
"=""0240011""","Chaplin School District","Not Eligible for Free/Reduced Lunch",18,"*","*"
"=""0240011""","Chaplin School District","Eligible for Reduced Lunch",7,"*","*"
"=""0250011""","Cheshire School District","Eligible for Free Lunch",115,"34.8%","58.8%"
"=""0250011""","Cheshire School District","Not Eligible for Free/Reduced Lunch",1546,"54.4%","73.8%"
"=""0250011""","Cheshire School District","Eligible for Reduced Lunch",28,"57.1%","76.6%"
"=""0260011""","Chester School District","Eligible for Free Lunch","*","*","*"
"=""0260011""","Chester School District","Not Eligible for Free/Reduced Lunch",93,"55.9%","75.5%"
"=""0260011""","Chester School District","Eligible for Reduced Lunch","*","*","*"
"=""0270011""","Clinton School District","Eligible for Free Lunch",119,"43.7%","68.0%"
"=""0270011""","Clinton School District","Not Eligible for Free/Reduced Lunch",571,"48.9%","70.0%"
"=""0270011""","Clinton School District","Eligible for Reduced Lunch",37,"59.5%","71.0%"
"=""0280011""","Colchester School District","Eligible for Free Lunch",131,"34.4%","55.8%"
"=""0280011""","Colchester School District","Not Eligible for Free/Reduced Lunch",764,"43.8%","62.7%"
"=""0280011""","Colchester School District","Eligible for Reduced Lunch",40,"45.0%","65.0%"
"=""0290011""","Colebrook School District","Eligible for Free Lunch","*","*","*"
"=""0290011""","Colebrook School District","Not Eligible for Free/Reduced Lunch",26,"30.8%","59.4%"
"=""0290011""","Colebrook School District","Eligible for Reduced Lunch","*","*","*"
"=""0300011""","Columbia School District","Eligible for Free Lunch",30,"40.0%","60.6%"
"=""0300011""","Columbia School District","Not Eligible for Free/Reduced Lunch",188,"37.2%","61.1%"
"=""0300011""","Columbia School District","Eligible for Reduced Lunch",9,"*","*"
"=""2430014""","Cooperative Educational Services","Eligible for Free Lunch",67,"34.3%","52.6%"
"=""2430014""","Cooperative Educational Services","Not Eligible for Free/Reduced Lunch",173,"40.5%","60.4%"
"=""2430014""","Cooperative Educational Services","Eligible for Reduced Lunch",28,"28.6%","55.9%"
"=""0310011""","Cornwall School District","Eligible for Free Lunch",7,"*","*"
"=""0310011""","Cornwall School District","Not Eligible for Free/Reduced Lunch",38,"42.1%","63.6%"
"=""0320011""","Coventry School District","Eligible for Free Lunch",88,"47.7%","74.0%"
"=""0320011""","Coventry School District","Not Eligible for Free/Reduced Lunch",491,"53.4%","76.1%"
"=""0320011""","Coventry School District","Eligible for Reduced Lunch",26,"42.3%","68.1%"
"=""0330011""","Cromwell School District","Eligible for Free Lunch",107,"39.3%","60.4%"
"=""0330011""","Cromwell School District","Not Eligible for Free/Reduced Lunch",612,"38.1%","59.0%"
"=""0330011""","Cromwell School District","Eligible for Reduced Lunch",33,"30.3%","52.9%"
"=""0340011""","Danbury School District","Eligible for Free Lunch",1712,"41.2%","62.9%"
"=""0340011""","Danbury School District","Not Eligible for Free/Reduced Lunch",1553,"44.0%","65.5%"
"=""0340011""","Danbury School District","Eligible for Reduced Lunch",469,"44.1%","66.5%"
"=""0350011""","Darien School District","Eligible for Free Lunch",32,"59.4%","76.2%"
"=""0350011""","Darien School District","Not Eligible for Free/Reduced Lunch",1766,"68.3%","86.4%"
"=""0350011""","Darien School District","Eligible for Reduced Lunch",11,"*","*"
"=""0360011""","Deep River School District","Eligible for Free Lunch","*","*","*"
"=""0360011""","Deep River School District","Not Eligible for Free/Reduced Lunch",122,"53.3%","74.2%"
"=""0360011""","Deep River School District","Eligible for Reduced Lunch","*","*","*"
"=""0370011""","Derby School District","Eligible for Free Lunch",256,"19.5%","39.5%"
"=""0370011""","Derby School District","Not Eligible for Free/Reduced Lunch",225,"27.1%","52.5%"
"=""0370011""","Derby School District","Eligible for Reduced Lunch",39,"20.5%","41.0%"
"=""0400011""","East Granby School District","Eligible for Free Lunch",50,"40.0%","57.9%"
"=""0400011""","East Granby School District","Not Eligible for Free/Reduced Lunch",260,"52.3%","73.1%"
"=""0410011""","East Haddam School District","Eligible for Free Lunch",47,"19.1%","39.8%"
"=""0410011""","East Haddam School District","Not Eligible for Free/Reduced Lunch",337,"33.5%","53.6%"
"=""0410011""","East Haddam School District","Eligible for Reduced Lunch",8,"*","*"
"=""0420011""","East Hampton School District","Eligible for Free Lunch",74,"27.0%","51.8%"
"=""0420011""","East Hampton School District","Not Eligible for Free/Reduced Lunch",554,"35.4%","55.6%"
"=""0420011""","East Hampton School District","Eligible for Reduced Lunch",16,"*","*"
"=""0430011""","East Hartford School District","Eligible for Free Lunch",1321,"27.9%","48.7%"
"=""0430011""","East Hartford School District","Not Eligible for Free/Reduced Lunch",717,"25.7%","47.7%"
"=""0430011""","East Hartford School District","Eligible for Reduced Lunch",157,"22.3%","44.2%"
"=""0440011""","East Haven School District","Eligible for Free Lunch",409,"36.2%","59.3%"
"=""0440011""","East Haven School District","Not Eligible for Free/Reduced Lunch",525,"39.6%","62.5%"
"=""0440011""","East Haven School District","Eligible for Reduced Lunch",125,"34.4%","59.9%"
"=""0450011""","East Lyme School District","Eligible for Free Lunch",134,"38.8%","62.7%"
"=""0450011""","East Lyme School District","Not Eligible for Free/Reduced Lunch",786,"53.3%","72.9%"
"=""0450011""","East Lyme School District","Eligible for Reduced Lunch",37,"29.7%","54.8%"
"=""0470011""","East Windsor School District","Eligible for Free Lunch",132,"29.5%","52.0%"
"=""0470011""","East Windsor School District","Not Eligible for Free/Reduced Lunch",190,"36.3%","61.2%"
"=""0470011""","East Windsor School District","Eligible for Reduced Lunch",25,"24.0%","42.9%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Eligible for Free Lunch",17,"*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Eligible for Reduced Lunch","*","*","*"
"=""0390011""","Eastford School District","Eligible for Free Lunch",11,"*","*"
"=""0390011""","Eastford School District","Not Eligible for Free/Reduced Lunch",56,"42.9%","62.9%"
"=""0460011""","Easton School District","Eligible for Free Lunch","*","45.5%","65.2%"
"=""0460011""","Easton School District","Not Eligible for Free/Reduced Lunch",469,"67.6%","87.3%"
"=""0460011""","Easton School District","Eligible for Reduced Lunch","*","*","*"
"=""2420014""","EdAdvance","Eligible for Free Lunch","*","*","*"
"=""0480011""","Ellington School District","Eligible for Free Lunch",87,"33.3%","53.7%"
"=""0480011""","Ellington School District","Not Eligible for Free/Reduced Lunch",915,"49.1%","71.3%"
"=""0480011""","Ellington School District","Eligible for Reduced Lunch",12,"*","*"
"=""2890013""","Elm City College Preparatory School District","Eligible for Free Lunch",215,"44.7%","64.9%"
"=""2890013""","Elm City College Preparatory School District","Not Eligible for Free/Reduced Lunch",59,"55.9%","80.0%"
"=""2890013""","Elm City College Preparatory School District","Eligible for Reduced Lunch",36,"41.7%","63.5%"
"=""0490011""","Enfield School District","Eligible for Free Lunch",535,"31.6%","56.1%"
"=""0490011""","Enfield School District","Not Eligible for Free/Reduced Lunch",1039,"35.8%","58.9%"
"=""0490011""","Enfield School District","Eligible for Reduced Lunch",135,"34.1%","61.0%"
"=""0500011""","Essex School District","Eligible for Free Lunch",9,"*","*"
"=""0500011""","Essex School District","Not Eligible for Free/Reduced Lunch",167,"58.1%","81.5%"
"=""0500011""","Essex School District","Eligible for Reduced Lunch",7,"*","*"
"=""0510011""","Fairfield School District","Eligible for Free Lunch",294,"36.1%","56.6%"
"=""0510011""","Fairfield School District","Not Eligible for Free/Reduced Lunch",3435,"50.4%","72.0%"
"=""0510011""","Fairfield School District","Eligible for Reduced Lunch",66,"36.4%","57.4%"
"=""0520011""","Farmington School District","Eligible for Free Lunch",144,"45.1%","71.1%"
"=""0520011""","Farmington School District","Not Eligible for Free/Reduced Lunch",1357,"66.8%","85.6%"
"=""0520011""","Farmington School District","Eligible for Reduced Lunch",18,"*","*"
"=""0530011""","Franklin School District","Eligible for Free Lunch",13,"*","*"
"=""0530011""","Franklin School District","Not Eligible for Free/Reduced Lunch",75,"29.3%","50.1%"
"=""0540011""","Glastonbury School District","Eligible for Free Lunch",171,"39.2%","63.8%"
"=""0540011""","Glastonbury School District","Not Eligible for Free/Reduced Lunch",2096,"59.4%","79.2%"
"=""0540011""","Glastonbury School District","Eligible for Reduced Lunch",46,"45.7%","68.2%"
"=""0560011""","Granby School District","Eligible for Free Lunch",59,"23.7%","51.8%"
"=""0560011""","Granby School District","Not Eligible for Free/Reduced Lunch",612,"54.4%","75.1%"
"=""0560011""","Granby School District","Eligible for Reduced Lunch",15,"*","*"
"=""2940013""","Great Oaks Charter School District","Eligible for Free Lunch",140,"38.6%","56.9%"
"=""2940013""","Great Oaks Charter School District","Not Eligible for Free/Reduced Lunch",35,"65.7%","82.9%"
"=""2940013""","Great Oaks Charter School District","Eligible for Reduced Lunch",28,"50.0%","67.1%"
"=""0570011""","Greenwich School District","Eligible for Free Lunch",343,"43.7%","64.3%"
"=""0570011""","Greenwich School District","Not Eligible for Free/Reduced Lunch",2614,"57.6%","75.5%"
"=""0570011""","Greenwich School District","Eligible for Reduced Lunch",103,"48.5%","70.2%"
"=""0580011""","Griswold School District","Eligible for Free Lunch",218,"46.3%","67.2%"
"=""0580011""","Griswold School District","Not Eligible for Free/Reduced Lunch",374,"53.7%","73.8%"
"=""0580011""","Griswold School District","Eligible for Reduced Lunch",43,"37.2%","55.9%"
"=""0590011""","Groton School District","Eligible for Free Lunch",477,"37.5%","58.1%"
"=""0590011""","Groton School District","Not Eligible for Free/Reduced Lunch",773,"50.3%","69.7%"
"=""0590011""","Groton School District","Eligible for Reduced Lunch",162,"45.7%","66.0%"
"=""0600011""","Guilford School District","Eligible for Free Lunch",85,"52.9%","74.1%"
"=""0600011""","Guilford School District","Not Eligible for Free/Reduced Lunch",1186,"58.6%","78.7%"
"=""0600011""","Guilford School District","Eligible for Reduced Lunch",31,"48.4%","64.7%"
"=""0620011""","Hamden School District","Eligible for Free Lunch",624,"32.7%","52.6%"
"=""0620011""","Hamden School District","Not Eligible for Free/Reduced Lunch",1065,"38.5%","58.7%"
"=""0620011""","Hamden School District","Eligible for Reduced Lunch",144,"32.6%","57.0%"
"=""0630011""","Hampton School District","Eligible for Free Lunch","*","*","*"
"=""0630011""","Hampton School District","Not Eligible for Free/Reduced Lunch",19,"*","*"
"=""0630011""","Hampton School District","Eligible for Reduced Lunch","*","*","*"
"=""0640011""","Hartford School District","Eligible for Free Lunch",5730,"32.5%","54.7%"
"=""0640011""","Hartford School District","Not Eligible for Free/Reduced Lunch",1060,"42.0%","62.9%"
"=""0640011""","Hartford School District","Eligible for Reduced Lunch",120,"26.7%","44.3%"
"=""0650011""","Hartland School District","Eligible for Free Lunch","*","*","*"
"=""0650011""","Hartland School District","Not Eligible for Free/Reduced Lunch",90,"63.3%","85.5%"
"=""0650011""","Hartland School District","Eligible for Reduced Lunch","*","*","*"
"=""0670011""","Hebron School District","Eligible for Free Lunch",29,"51.7%","82.1%"
"=""0670011""","Hebron School District","Not Eligible for Free/Reduced Lunch",306,"56.9%","81.8%"
"=""0670011""","Hebron School District","Eligible for Reduced Lunch",7,"*","*"
"=""2860013""","Highville Charter School District","Eligible for Free Lunch",87,"44.8%","69.5%"
"=""2860013""","Highville Charter School District","Not Eligible for Free/Reduced Lunch",65,"47.7%","62.2%"
"=""2860013""","Highville Charter School District","Eligible for Reduced Lunch",29,"51.7%","76.1%"
"=""2640013""","Integrated Day Charter School District","Eligible for Free Lunch",35,"45.7%","61.5%"
"=""2640013""","Integrated Day Charter School District","Not Eligible for Free/Reduced Lunch",102,"41.2%","63.8%"
"=""2640013""","Integrated Day Charter School District","Eligible for Reduced Lunch",17,"*","*"
"=""2650013""","Interdistrict School for Arts and Comm District","Eligible for Free Lunch",145,"17.2%","33.0%"
"=""2650013""","Interdistrict School for Arts and Comm District","Not Eligible for Free/Reduced Lunch",75,"20.0%","34.1%"
"=""2650013""","Interdistrict School for Arts and Comm District","Eligible for Reduced Lunch",32,"21.9%","30.0%"
"=""2610013""","Jumoke Academy District","Eligible for Free Lunch",175,"35.4%","57.9%"
"=""2610013""","Jumoke Academy District","Not Eligible for Free/Reduced Lunch",103,"42.7%","59.0%"
"=""2610013""","Jumoke Academy District","Eligible for Reduced Lunch",48,"18.8%","40.5%"
"=""0680011""","Kent School District","Eligible for Free Lunch","*","*","*"
"=""0680011""","Kent School District","Not Eligible for Free/Reduced Lunch",108,"53.7%","72.1%"
"=""0680011""","Kent School District","Eligible for Reduced Lunch","*","*","*"
"=""0690011""","Killingly School District","Eligible for Free Lunch",277,"38.3%","63.0%"
"=""0690011""","Killingly School District","Not Eligible for Free/Reduced Lunch",421,"41.6%","63.9%"
"=""0690011""","Killingly School District","Eligible for Reduced Lunch",73,"42.5%","64.8%"
"=""2450014""","Learn","Eligible for Free Lunch",149,"38.3%","61.5%"
"=""2450014""","Learn","Not Eligible for Free/Reduced Lunch",134,"44.0%","68.9%"
"=""2450014""","Learn","Eligible for Reduced Lunch",17,"*","*"
"=""0710011""","Lebanon School District","Eligible for Free Lunch",48,"37.5%","60.2%"
"=""0710011""","Lebanon School District","Not Eligible for Free/Reduced Lunch",269,"42.0%","66.0%"
"=""0710011""","Lebanon School District","Eligible for Reduced Lunch",16,"*","*"
"=""0720011""","Ledyard School District","Eligible for Free Lunch",119,"41.2%","65.8%"
"=""0720011""","Ledyard School District","Not Eligible for Free/Reduced Lunch",619,"48.5%","70.4%"
"=""0720011""","Ledyard School District","Eligible for Reduced Lunch",40,"60.0%","77.7%"
"=""0730011""","Lisbon School District","Eligible for Free Lunch",43,"27.9%","51.4%"
"=""0730011""","Lisbon School District","Not Eligible for Free/Reduced Lunch",151,"47.7%","74.2%"
"=""0730011""","Lisbon School District","Eligible for Reduced Lunch",9,"*","*"
"=""0740011""","Litchfield School District","Eligible for Free Lunch","*","49.0%","71.9%"
"=""0740011""","Litchfield School District","Not Eligible for Free/Reduced Lunch",320,"58.4%","75.1%"
"=""0740011""","Litchfield School District","Eligible for Reduced Lunch","*","*","*"
"=""0760011""","Madison School District","Eligible for Free Lunch",22,"22.7%","49.9%"
"=""0760011""","Madison School District","Not Eligible for Free/Reduced Lunch",928,"41.3%","59.4%"
"=""0760011""","Madison School District","Eligible for Reduced Lunch",12,"*","*"
"=""0770011""","Manchester School District","Eligible for Free Lunch",1027,"30.2%","51.5%"
"=""0770011""","Manchester School District","Not Eligible for Free/Reduced Lunch",792,"37.2%","60.3%"
"=""0770011""","Manchester School District","Eligible for Reduced Lunch",145,"24.1%","43.9%"
"=""0780011""","Mansfield School District","Eligible for Free Lunch",110,"43.6%","60.4%"
"=""0780011""","Mansfield School District","Not Eligible for Free/Reduced Lunch",407,"56.0%","73.2%"
"=""0780011""","Mansfield School District","Eligible for Reduced Lunch",24,"62.5%","78.1%"
"=""0790011""","Marlborough School District","Eligible for Free Lunch","*","50.0%","70.3%"
"=""0790011""","Marlborough School District","Not Eligible for Free/Reduced Lunch",226,"61.5%","85.7%"
"=""0790011""","Marlborough School District","Eligible for Reduced Lunch","*","*","*"
"=""0800011""","Meriden School District","Eligible for Free Lunch",1473,"38.2%","61.4%"
"=""0800011""","Meriden School District","Not Eligible for Free/Reduced Lunch",776,"44.5%","68.6%"
"=""0800011""","Meriden School District","Eligible for Reduced Lunch",200,"40.0%","65.3%"
"=""0830011""","Middletown School District","Eligible for Free Lunch",605,"30.6%","53.0%"
"=""0830011""","Middletown School District","Not Eligible for Free/Reduced Lunch",900,"41.4%","60.0%"
"=""0830011""","Middletown School District","Eligible for Reduced Lunch",102,"43.1%","58.9%"
"=""0840011""","Milford School District","Eligible for Free Lunch",381,"39.4%","61.5%"
"=""0840011""","Milford School District","Not Eligible for Free/Reduced Lunch",1682,"47.7%","68.3%"
"=""0840011""","Milford School District","Eligible for Reduced Lunch",121,"43.8%","65.8%"
"=""0850011""","Monroe School District","Eligible for Free Lunch",64,"56.3%","73.0%"
"=""0850011""","Monroe School District","Not Eligible for Free/Reduced Lunch",1088,"49.1%","70.5%"
"=""0850011""","Monroe School District","Eligible for Reduced Lunch",29,"55.2%","76.2%"
"=""0860011""","Montville School District","Eligible for Free Lunch",239,"36.8%","59.8%"
"=""0860011""","Montville School District","Not Eligible for Free/Reduced Lunch",508,"48.0%","70.4%"
"=""0860011""","Montville School District","Eligible for Reduced Lunch",86,"58.1%","77.2%"
"=""0880011""","Naugatuck School District","Eligible for Free Lunch",605,"30.4%","53.0%"
"=""0880011""","Naugatuck School District","Not Eligible for Free/Reduced Lunch",783,"35.9%","56.9%"
"=""0880011""","Naugatuck School District","Eligible for Reduced Lunch",150,"29.3%","49.8%"
"=""2800013""","New Beginnings Inc Family Academy District","Eligible for Free Lunch",127,"30.7%","52.6%"
"=""2800013""","New Beginnings Inc Family Academy District","Not Eligible for Free/Reduced Lunch",16,"*","*"
"=""2800013""","New Beginnings Inc Family Academy District","Eligible for Reduced Lunch",26,"38.5%","64.2%"
"=""0890011""","New Britain School District","Eligible for Free Lunch",2478,"24.7%","44.7%"
"=""0890011""","New Britain School District","Not Eligible for Free/Reduced Lunch",479,"24.0%","44.1%"
"=""0890011""","New Britain School District","Eligible for Reduced Lunch",186,"29.6%","47.7%"
"=""0900011""","New Canaan School District","Not Eligible for Free/Reduced Lunch",1558,"59.6%","77.7%"
"=""0910011""","New Fairfield School District","Eligible for Free Lunch",57,"50.9%","79.7%"
"=""0910011""","New Fairfield School District","Not Eligible for Free/Reduced Lunch",702,"59.1%","79.6%"
"=""0910011""","New Fairfield School District","Eligible for Reduced Lunch",20,"55.0%","71.3%"
"=""0920011""","New Hartford School District","Eligible for Free Lunch",8,"*","*"
"=""0920011""","New Hartford School District","Not Eligible for Free/Reduced Lunch",180,"33.9%","58.5%"
"=""0920011""","New Hartford School District","Eligible for Reduced Lunch",8,"*","*"
"=""0930011""","New Haven School District","Eligible for Free Lunch",4062,"39.6%","62.2%"
"=""0930011""","New Haven School District","Not Eligible for Free/Reduced Lunch",2606,"42.4%","65.0%"
"=""0930011""","New Haven School District","Eligible for Reduced Lunch",128,"50.8%","74.1%"
"=""0950011""","New London School District","Eligible for Free Lunch",829,"26.9%","49.5%"
"=""0950011""","New London School District","Not Eligible for Free/Reduced Lunch",151,"25.2%","47.8%"
"=""0950011""","New London School District","Eligible for Reduced Lunch",32,"40.6%","56.1%"
"=""0960011""","New Milford School District","Eligible for Free Lunch",244,"39.8%","60.4%"
"=""0960011""","New Milford School District","Not Eligible for Free/Reduced Lunch",1115,"45.7%","66.2%"
"=""0960011""","New Milford School District","Eligible for Reduced Lunch",81,"37.0%","54.9%"
"=""0940011""","Newington School District","Eligible for Free Lunch",255,"32.5%","52.6%"
"=""0940011""","Newington School District","Not Eligible for Free/Reduced Lunch",1190,"38.7%","57.1%"
"=""0940011""","Newington School District","Eligible for Reduced Lunch",77,"39.0%","57.2%"
"=""0970011""","Newtown School District","Eligible for Free Lunch",91,"49.5%","67.1%"
"=""0970011""","Newtown School District","Not Eligible for Free/Reduced Lunch",1574,"60.0%","78.8%"
"=""0970011""","Newtown School District","Eligible for Reduced Lunch",38,"47.4%","74.3%"
"=""0980011""","Norfolk School District","Eligible for Free Lunch","*","*","*"
"=""0980011""","Norfolk School District","Not Eligible for Free/Reduced Lunch",37,"56.8%","75.8%"
"=""0980011""","Norfolk School District","Eligible for Reduced Lunch","*","*","*"
"=""0990011""","North Branford School District","Eligible for Free Lunch",95,"47.4%","65.8%"
"=""0990011""","North Branford School District","Not Eligible for Free/Reduced Lunch",577,"44.9%","65.9%"
"=""0990011""","North Branford School District","Eligible for Reduced Lunch",33,"51.5%","71.5%"
"=""1000011""","North Canaan School District","Eligible for Free Lunch",21,"23.8%","62.7%"
"=""1000011""","North Canaan School District","Not Eligible for Free/Reduced Lunch",82,"56.1%","77.0%"
"=""1000011""","North Canaan School District","Eligible for Reduced Lunch",7,"*","*"
"=""1010011""","North Haven School District","Eligible for Free Lunch",126,"64.3%","85.9%"
"=""1010011""","North Haven School District","Not Eligible for Free/Reduced Lunch",949,"72.1%","92.3%"
"=""1010011""","North Haven School District","Eligible for Reduced Lunch",55,"41.8%","74.6%"
"=""1020011""","North Stonington School District","Eligible for Free Lunch",33,"33.3%","55.6%"
"=""1020011""","North Stonington School District","Not Eligible for Free/Reduced Lunch",224,"52.2%","70.3%"
"=""1020011""","North Stonington School District","Eligible for Reduced Lunch",7,"*","*"
"=""1030011""","Norwalk School District","Eligible for Free Lunch",1828,"33.0%","54.0%"
"=""1030011""","Norwalk School District","Not Eligible for Free/Reduced Lunch",1718,"41.9%","63.5%"
"=""1030011""","Norwalk School District","Eligible for Reduced Lunch",369,"36.0%","58.7%"
"=""1040011""","Norwich School District","Eligible for Free Lunch",1109,"36.4%","58.3%"
"=""1040011""","Norwich School District","Not Eligible for Free/Reduced Lunch",362,"41.2%","63.4%"
"=""1040011""","Norwich School District","Eligible for Reduced Lunch",172,"38.4%","61.0%"
"=""2630013""","Odyssey Community School District","Eligible for Free Lunch",50,"38.0%","56.8%"
"=""2630013""","Odyssey Community School District","Not Eligible for Free/Reduced Lunch",115,"30.4%","52.8%"
