"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0170011""","Bristol School District","Non-Special Education",2291,"44.7%","67.7%"
"=""0180011""","Brookfield School District","Special Education",109,"45.0%","66.3%"
"=""0180011""","Brookfield School District","Non-Special Education",848,"45.8%","68.2%"
"=""0190011""","Brooklyn School District","Special Education",32,"21.9%","53.4%"
"=""0190011""","Brooklyn School District","Non-Special Education",391,"39.9%","59.3%"
"=""0210011""","Canaan School District","Special Education","*","*","*"
"=""0210011""","Canaan School District","Non-Special Education","*","22.9%","47.2%"
"=""0220011""","Canterbury School District","Special Education",21,"33.3%","51.7%"
"=""0220011""","Canterbury School District","Non-Special Education",227,"45.4%","69.1%"
"=""0230011""","Canton School District","Special Education",74,"36.5%","52.8%"
"=""0230011""","Canton School District","Non-Special Education",570,"57.5%","79.6%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Special Education","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Non-Special Education","*","14.6%","32.8%"
"=""2410014""","Capitol Region Education Council","Special Education",343,"35.6%","54.2%"
"=""2410014""","Capitol Region Education Council","Non-Special Education",2169,"37.6%","59.1%"
"=""0240011""","Chaplin School District","Special Education",8,"*","*"
"=""0240011""","Chaplin School District","Non-Special Education",34,"29.4%","42.4%"
"=""0250011""","Cheshire School District","Special Education",160,"41.9%","62.7%"
"=""0250011""","Cheshire School District","Non-Special Education",1529,"54.3%","73.9%"
"=""0260011""","Chester School District","Special Education",20,"50.0%","64.8%"
"=""0260011""","Chester School District","Non-Special Education",80,"56.3%","76.8%"
"=""0270011""","Clinton School District","Special Education",100,"39.0%","58.9%"
"=""0270011""","Clinton School District","Non-Special Education",627,"50.1%","71.5%"
"=""0280011""","Colchester School District","Special Education",123,"31.7%","48.7%"
"=""0280011""","Colchester School District","Non-Special Education",812,"44.2%","63.9%"
"=""0290011""","Colebrook School District","Special Education",7,"*","*"
"=""0290011""","Colebrook School District","Non-Special Education",24,"33.3%","62.6%"
"=""0300011""","Columbia School District","Special Education",30,"30.0%","49.0%"
"=""0300011""","Columbia School District","Non-Special Education",197,"38.6%","62.7%"
"=""2430014""","Cooperative Educational Services","Special Education",96,"31.3%","53.6%"
"=""2430014""","Cooperative Educational Services","Non-Special Education",172,"41.3%","60.4%"
"=""0310011""","Cornwall School District","Special Education",7,"*","*"
"=""0310011""","Cornwall School District","Non-Special Education",38,"39.5%","60.4%"
"=""0320011""","Coventry School District","Special Education",67,"40.3%","63.8%"
"=""0320011""","Coventry School District","Non-Special Education",538,"53.5%","76.9%"
"=""0330011""","Cromwell School District","Special Education",73,"34.2%","60.0%"
"=""0330011""","Cromwell School District","Non-Special Education",679,"38.3%","58.9%"
"=""0340011""","Danbury School District","Special Education",416,"37.5%","58.5%"
"=""0340011""","Danbury School District","Non-Special Education",3318,"43.4%","65.2%"
"=""0350011""","Darien School District","Special Education",246,"52.0%","73.8%"
"=""0350011""","Darien School District","Non-Special Education",1563,"70.6%","88.0%"
"=""0360011""","Deep River School District","Special Education",25,"48.0%","62.5%"
"=""0360011""","Deep River School District","Non-Special Education",121,"51.2%","75.2%"
"=""0370011""","Derby School District","Special Education",71,"21.1%","40.1%"
"=""0370011""","Derby School District","Non-Special Education",449,"23.2%","46.0%"
"=""0400011""","East Granby School District","Special Education",39,"41.0%","56.4%"
"=""0400011""","East Granby School District","Non-Special Education",271,"51.7%","72.7%"
"=""0410011""","East Haddam School District","Special Education",45,"17.8%","33.3%"
"=""0410011""","East Haddam School District","Non-Special Education",347,"34.3%","54.9%"
"=""0420011""","East Hampton School District","Special Education",54,"31.5%","48.4%"
"=""0420011""","East Hampton School District","Non-Special Education",590,"34.9%","55.7%"
"=""0430011""","East Hartford School District","Special Education",358,"29.6%","46.3%"
"=""0430011""","East Hartford School District","Non-Special Education",1837,"26.2%","48.4%"
"=""0440011""","East Haven School District","Special Education",131,"30.5%","51.6%"
"=""0440011""","East Haven School District","Non-Special Education",928,"38.7%","62.3%"
"=""0450011""","East Lyme School District","Special Education",111,"36.0%","60.5%"
"=""0450011""","East Lyme School District","Non-Special Education",846,"52.2%","72.1%"
"=""0470011""","East Windsor School District","Special Education",50,"28.0%","54.0%"
"=""0470011""","East Windsor School District","Non-Special Education",297,"33.7%","56.8%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education",26,"23.1%","40.2%"
"=""0390011""","Eastford School District","Special Education",15,"*","*"
"=""0390011""","Eastford School District","Non-Special Education",52,"53.8%","76.1%"
"=""0460011""","Easton School District","Special Education",52,"53.8%","72.2%"
"=""0460011""","Easton School District","Non-Special Education",444,"68.0%","87.8%"
"=""2420014""","EdAdvance","Special Education","*","*","*"
"=""0480011""","Ellington School District","Special Education",106,"42.5%","63.1%"
"=""0480011""","Ellington School District","Non-Special Education",908,"48.1%","70.5%"
"=""2890013""","Elm City College Preparatory School District","Special Education",28,"35.7%","49.0%"
"=""2890013""","Elm City College Preparatory School District","Non-Special Education",282,"47.5%","69.5%"
"=""0490011""","Enfield School District","Special Education",213,"25.8%","49.9%"
"=""0490011""","Enfield School District","Non-Special Education",1496,"35.6%","59.4%"
"=""0500011""","Essex School District","Special Education",26,"53.8%","79.8%"
"=""0500011""","Essex School District","Non-Special Education",157,"59.2%","81.9%"
"=""0510011""","Fairfield School District","Special Education",374,"39.0%","59.2%"
"=""0510011""","Fairfield School District","Non-Special Education",3421,"50.1%","71.8%"
"=""0520011""","Farmington School District","Special Education",176,"40.9%","63.2%"
"=""0520011""","Farmington School District","Non-Special Education",1343,"67.8%","87.0%"
"=""0530011""","Franklin School District","Special Education",10,"*","*"
"=""0530011""","Franklin School District","Non-Special Education",78,"28.2%","49.5%"
"=""0540011""","Glastonbury School District","Special Education",235,"34.0%","59.9%"
"=""0540011""","Glastonbury School District","Non-Special Education",2078,"60.3%","79.9%"
"=""0560011""","Granby School District","Special Education",79,"39.2%","63.5%"
"=""0560011""","Granby School District","Non-Special Education",607,"53.0%","74.0%"
"=""2940013""","Great Oaks Charter School District","Special Education",27,"25.9%","38.9%"
"=""2940013""","Great Oaks Charter School District","Non-Special Education",176,"47.7%","66.4%"
"=""0570011""","Greenwich School District","Special Education",333,"36.3%","57.3%"
"=""0570011""","Greenwich School District","Non-Special Education",2727,"58.1%","76.1%"
"=""0580011""","Griswold School District","Special Education",86,"31.4%","57.6%"
"=""0580011""","Griswold School District","Non-Special Education",549,"53.0%","72.3%"
"=""0590011""","Groton School District","Special Education",196,"32.7%","54.3%"
"=""0590011""","Groton School District","Non-Special Education",1216,"47.5%","67.1%"
"=""0600011""","Guilford School District","Special Education",152,"47.4%","67.4%"
"=""0600011""","Guilford School District","Non-Special Education",1150,"59.4%","79.5%"
"=""0620011""","Hamden School District","Special Education",316,"36.4%","56.2%"
"=""0620011""","Hamden School District","Non-Special Education",1517,"36.0%","56.5%"
"=""0630011""","Hampton School District","Special Education","*","*","*"
"=""0630011""","Hampton School District","Non-Special Education","*","56.5%","83.1%"
"=""0640011""","Hartford School District","Special Education",1159,"31.7%","51.7%"
"=""0640011""","Hartford School District","Non-Special Education",5751,"34.3%","56.6%"
"=""0650011""","Hartland School District","Special Education",16,"*","*"
"=""0650011""","Hartland School District","Non-Special Education",88,"63.6%","86.0%"
"=""0670011""","Hebron School District","Special Education",42,"45.2%","69.6%"
"=""0670011""","Hebron School District","Non-Special Education",300,"58.3%","83.9%"
"=""2860013""","Highville Charter School District","Special Education",14,"*","*"
"=""2860013""","Highville Charter School District","Non-Special Education",167,"49.7%","71.6%"
"=""2640013""","Integrated Day Charter School District","Special Education",14,"*","*"
"=""2640013""","Integrated Day Charter School District","Non-Special Education",140,"45.0%","66.6%"
"=""2650013""","Interdistrict School for Arts and Comm District","Special Education",42,"23.8%","30.6%"
"=""2650013""","Interdistrict School for Arts and Comm District","Non-Special Education",210,"17.6%","33.4%"
"=""2610013""","Jumoke Academy District","Special Education",27,"40.7%","61.1%"
"=""2610013""","Jumoke Academy District","Non-Special Education",299,"34.8%","55.2%"
"=""0680011""","Kent School District","Special Education",14,"*","*"
"=""0680011""","Kent School District","Non-Special Education",112,"55.4%","73.6%"
"=""0690011""","Killingly School District","Special Education",92,"33.7%","63.8%"
"=""0690011""","Killingly School District","Non-Special Education",679,"41.4%","63.7%"
"=""2450014""","Learn","Special Education",54,"50.0%","71.5%"
"=""2450014""","Learn","Non-Special Education",246,"39.4%","64.1%"
"=""0710011""","Lebanon School District","Special Education",51,"27.5%","52.8%"
"=""0710011""","Lebanon School District","Non-Special Education",282,"44.3%","67.7%"
"=""0720011""","Ledyard School District","Special Education",104,"32.7%","55.4%"
"=""0720011""","Ledyard School District","Non-Special Education",674,"50.3%","72.4%"
"=""0730011""","Lisbon School District","Special Education",18,"*","*"
"=""0730011""","Lisbon School District","Non-Special Education",185,"44.3%","68.7%"
"=""0740011""","Litchfield School District","Special Education",56,"39.3%","60.1%"
"=""0740011""","Litchfield School District","Non-Special Education",316,"60.4%","77.3%"
"=""0760011""","Madison School District","Special Education",118,"22.9%","45.0%"
"=""0760011""","Madison School District","Non-Special Education",844,"43.7%","61.5%"
"=""0770011""","Manchester School District","Special Education",238,"24.8%","47.0%"
"=""0770011""","Manchester School District","Non-Special Education",1726,"33.7%","55.5%"
"=""0780011""","Mansfield School District","Special Education",66,"34.8%","56.6%"
"=""0780011""","Mansfield School District","Non-Special Education",475,"56.4%","72.8%"
"=""0790011""","Marlborough School District","Special Education",18,"*","*"
"=""0790011""","Marlborough School District","Non-Special Education",234,"61.5%","85.4%"
"=""0800011""","Meriden School District","Special Education",399,"34.6%","55.5%"
"=""0800011""","Meriden School District","Non-Special Education",2050,"41.4%","65.7%"
"=""0830011""","Middletown School District","Special Education",177,"26.0%","47.0%"
"=""0830011""","Middletown School District","Non-Special Education",1430,"38.9%","58.6%"
"=""0840011""","Milford School District","Special Education",227,"39.6%","60.1%"
"=""0840011""","Milford School District","Non-Special Education",1957,"46.8%","67.8%"
"=""0850011""","Monroe School District","Special Education",132,"41.7%","62.9%"
"=""0850011""","Monroe School District","Non-Special Education",1049,"50.6%","71.8%"
"=""0860011""","Montville School District","Special Education",111,"39.6%","62.4%"
"=""0860011""","Montville School District","Non-Special Education",722,"46.8%","68.9%"
"=""0880011""","Naugatuck School District","Special Education",240,"25.0%","45.7%"
"=""0880011""","Naugatuck School District","Non-Special Education",1298,"34.6%","56.3%"
"=""2800013""","New Beginnings Inc Family Academy District","Special Education",17,"*","*"
"=""2800013""","New Beginnings Inc Family Academy District","Non-Special Education",152,"30.9%","53.9%"
"=""0890011""","New Britain School District","Special Education",504,"28.4%","48.1%"
"=""0890011""","New Britain School District","Non-Special Education",2639,"24.2%","44.1%"
"=""0900011""","New Canaan School District","Special Education",159,"44.7%","67.2%"
"=""0900011""","New Canaan School District","Non-Special Education",1399,"61.3%","78.9%"
"=""0910011""","New Fairfield School District","Special Education",57,"49.1%","63.9%"
"=""0910011""","New Fairfield School District","Non-Special Education",722,"59.1%","80.7%"
"=""0920011""","New Hartford School District","Special Education",21,"33.3%","66.4%"
"=""0920011""","New Hartford School District","Non-Special Education",175,"32.0%","55.7%"
"=""0930011""","New Haven School District","Special Education",918,"35.1%","56.2%"
"=""0930011""","New Haven School District","Non-Special Education",5878,"41.8%","64.6%"
"=""0950011""","New London School District","Special Education",156,"29.5%","50.1%"
"=""0950011""","New London School District","Non-Special Education",856,"26.6%","49.4%"
"=""0960011""","New Milford School District","Special Education",178,"33.1%","50.3%"
"=""0960011""","New Milford School District","Non-Special Education",1262,"45.7%","66.6%"
"=""0940011""","Newington School District","Special Education",160,"21.9%","40.6%"
"=""0940011""","Newington School District","Non-Special Education",1362,"39.5%","58.2%"
"=""0970011""","Newtown School District","Special Education",150,"37.3%","60.6%"
"=""0970011""","Newtown School District","Non-Special Education",1553,"61.2%","79.7%"
"=""0980011""","Norfolk School District","Special Education",9,"*","*"
"=""0980011""","Norfolk School District","Non-Special Education",35,"57.1%","77.4%"
"=""0990011""","North Branford School District","Special Education",102,"37.3%","56.0%"
"=""0990011""","North Branford School District","Non-Special Education",603,"46.9%","67.9%"
"=""1000011""","North Canaan School District","Special Education",11,"*","*"
"=""1000011""","North Canaan School District","Non-Special Education",99,"52.5%","76.4%"
"=""1010011""","North Haven School District","Special Education",121,"52.9%","74.2%"
"=""1010011""","North Haven School District","Non-Special Education",1009,"71.8%","92.7%"
"=""1020011""","North Stonington School District","Special Education",11,"*","*"
"=""1020011""","North Stonington School District","Non-Special Education",253,"48.6%","67.4%"
"=""1030011""","Norwalk School District","Special Education",502,"27.3%","45.0%"
"=""1030011""","Norwalk School District","Non-Special Education",3413,"38.6%","60.6%"
"=""1040011""","Norwich School District","Special Education",248,"28.6%","50.4%"
"=""1040011""","Norwich School District","Non-Special Education",1395,"39.3%","61.3%"
"=""2630013""","Odyssey Community School District","Special Education",16,"*","*"
"=""2630013""","Odyssey Community School District","Non-Special Education",159,"34.0%","55.6%"
"=""1060011""","Old Saybrook School District","Special Education",60,"40.0%","58.8%"
"=""1060011""","Old Saybrook School District","Non-Special Education",443,"50.3%","72.2%"
"=""1070011""","Orange School District","Special Education",34,"26.5%","51.9%"
"=""1070011""","Orange School District","Non-Special Education",480,"51.9%","75.8%"
"=""1080011""","Oxford School District","Special Education",89,"31.5%","52.7%"
"=""1080011""","Oxford School District","Non-Special Education",686,"50.3%","73.0%"
"=""2830013""","Park City Prep Charter School District","Special Education",23,"30.4%","45.0%"
"=""2830013""","Park City Prep Charter School District","Non-Special Education",313,"59.4%","79.4%"
"=""1090011""","Plainfield School District","Special Education",95,"47.4%","71.3%"
"=""1090011""","Plainfield School District","Non-Special Education",704,"57.5%","80.7%"
"=""1100011""","Plainville School District","Special Education",110,"32.7%","57.3%"
"=""1100011""","Plainville School District","Non-Special Education",746,"40.8%","64.7%"
"=""1110011""","Plymouth School District","Special Education",74,"37.8%","62.9%"
"=""1110011""","Plymouth School District","Non-Special Education",465,"51.6%","75.4%"
"=""1120011""","Pomfret School District","Special Education",28,"28.6%","41.3%"
"=""1120011""","Pomfret School District","Non-Special Education",193,"51.8%","72.3%"
"=""1130011""","Portland School District","Special Education",47,"38.3%","60.8%"
"=""1130011""","Portland School District","Non-Special Education",461,"48.4%","71.5%"
"=""1140011""","Preston School District","Special Education",40,"30.0%","55.0%"
"=""1140011""","Preston School District","Non-Special Education",174,"45.4%","64.3%"
"=""1160011""","Putnam School District","Special Education",47,"36.2%","62.8%"
"=""1160011""","Putnam School District","Non-Special Education",348,"50.0%","70.7%"
"=""1170011""","Redding School District","Special Education",55,"45.5%","67.1%"
"=""1170011""","Redding School District","Non-Special Education",441,"56.9%","76.0%"
"=""2010012""","Regional School District 01","Special Education","*","*","*"
"=""2040012""","Regional School District 04","Special Education",43,"32.6%","42.9%"
"=""2040012""","Regional School District 04","Non-Special Education",257,"42.8%","61.6%"
"=""2050012""","Regional School District 05","Special Education",76,"30.3%","41.3%"
"=""2050012""","Regional School District 05","Non-Special Education",638,"61.4%","77.9%"
"=""2060012""","Regional School District 06","Special Education",30,"26.7%","46.7%"
"=""2060012""","Regional School District 06","Non-Special Education",212,"42.5%","61.5%"
"=""2070012""","Regional School District 07","Special Education",40,"42.5%","58.4%"
"=""2070012""","Regional School District 07","Non-Special Education",246,"62.2%","79.3%"
"=""2080012""","Regional School District 08","Special Education",63,"30.2%","52.7%"
"=""2080012""","Regional School District 08","Non-Special Education",486,"44.0%","60.3%"
"=""2100012""","Regional School District 10","Special Education",82,"30.5%","48.0%"
"=""2100012""","Regional School District 10","Non-Special Education",829,"41.7%","61.7%"
"=""2110012""","Regional School District 11","Special Education",13,"*","*"
"=""2110012""","Regional School District 11","Non-Special Education",67,"50.7%","71.3%"
"=""2120012""","Regional School District 12","Special Education",40,"50.0%","72.7%"
"=""2120012""","Regional School District 12","Non-Special Education",214,"65.0%","85.2%"
"=""2130012""","Regional School District 13","Special Education",100,"30.0%","54.6%"
"=""2130012""","Regional School District 13","Non-Special Education",569,"50.1%","72.1%"
"=""2140012""","Regional School District 14","Special Education",72,"30.6%","46.2%"
"=""2140012""","Regional School District 14","Non-Special Education",470,"33.8%","56.3%"
"=""2150012""","Regional School District 15","Special Education",177,"28.2%","48.6%"
"=""2150012""","Regional School District 15","Non-Special Education",1293,"54.8%","75.6%"
"=""2160012""","Regional School District 16","Special Education",108,"46.3%","69.2%"
"=""2160012""","Regional School District 16","Non-Special Education",670,"40.3%","62.2%"
"=""2170012""","Regional School District 17","Special Education",152,"48.0%","68.9%"
"=""2170012""","Regional School District 17","Non-Special Education",731,"55.3%","76.0%"
"=""2180012""","Regional School District 18","Special Education",61,"47.5%","70.9%"
"=""2180012""","Regional School District 18","Non-Special Education",442,"59.5%","76.0%"
"=""1180011""","Ridgefield School District","Special Education",173,"32.9%","47.5%"
"=""1180011""","Ridgefield School District","Non-Special Education",1679,"56.4%","76.9%"
"=""1190011""","Rocky Hill School District","Special Education",82,"34.1%","57.6%"
"=""1190011""","Rocky Hill School District","Non-Special Education",808,"50.6%","70.4%"
"=""1210011""","Salem School District","Special Education",33,"33.3%","53.9%"
"=""1210011""","Salem School District","Non-Special Education",162,"53.7%","71.6%"
"=""1220011""","Salisbury School District","Special Education",9,"*","*"
"=""1220011""","Salisbury School District","Non-Special Education",116,"56.0%","75.6%"
"=""1230011""","Scotland School District","Special Education",6,"*","*"
"=""1230011""","Scotland School District","Non-Special Education",38,"36.8%","62.2%"
"=""1240011""","Seymour School District","Special Education",110,"40.9%","63.0%"
"=""1240011""","Seymour School District","Non-Special Education",745,"49.8%","71.3%"
"=""1250011""","Sharon School District","Special Education",12,"*","*"
"=""1250011""","Sharon School District","Non-Special Education",56,"50.0%","66.6%"
"=""1260011""","Shelton School District","Special Education",267,"37.8%","59.5%"
"=""1260011""","Shelton School District","Non-Special Education",1573,"51.4%","72.4%"
"=""1270011""","Sherman School District","Special Education",13,"*","*"
"=""1270011""","Sherman School District","Non-Special Education",87,"54.0%","81.0%"
"=""2700013""","Side By Side Charter School District","Special Education",11,"*","*"
"=""2700013""","Side By Side Charter School District","Non-Special Education",96,"57.3%","76.3%"
"=""1280011""","Simsbury School District","Special Education",180,"34.4%","54.2%"
"=""1280011""","Simsbury School District","Non-Special Education",1364,"56.2%","76.4%"
"=""1290011""","Somers School District","Special Education",55,"27.3%","46.0%"
"=""1290011""","Somers School District","Non-Special Education",480,"50.6%","75.1%"
"=""1320011""","South Windsor School District","Special Education",185,"35.7%","56.2%"
"=""1320011""","South Windsor School District","Non-Special Education",1322,"57.6%","78.2%"
"=""1310011""","Southington School District","Special Education",308,"30.2%","48.0%"
"=""1310011""","Southington School District","Non-Special Education",2193,"40.5%","62.7%"
"=""1330011""","Sprague School District","Special Education",19,"*","*"
"=""1330011""","Sprague School District","Non-Special Education",146,"37.7%","61.7%"
"=""1340011""","Stafford School District","Special Education",62,"12.9%","38.3%"
"=""1340011""","Stafford School District","Non-Special Education",474,"42.6%","68.2%"
"=""1350011""","Stamford School District","Special Education",603,"31.8%","52.3%"
"=""1350011""","Stamford School District","Non-Special Education",4708,"40.8%","62.8%"
"=""0000000""","State of Connecticut","Special Education",24131,"33.8%","54.4%"
"=""0000000""","State of Connecticut","Non-Special Education",161733,"45.4%","66.6%"
"=""1360011""","Sterling School District","Special Education",26,"30.8%","56.5%"
"=""1360011""","Sterling School District","Non-Special Education",200,"47.5%","67.8%"
"=""1370011""","Stonington School District","Special Education",121,"33.9%","54.1%"
"=""1370011""","Stonington School District","Non-Special Education",635,"50.4%","72.1%"
"=""1380011""","Stratford School District","Special Education",284,"34.5%","53.6%"
"=""1380011""","Stratford School District","Non-Special Education",2256,"46.2%","66.9%"
"=""1390011""","Suffield School District","Special Education",80,"30.0%","51.7%"
"=""1390011""","Suffield School District","Non-Special Education",733,"43.8%","65.2%"
"=""2690013""","The Bridge Academy District","Special Education",14,"*","*"
"=""2690013""","The Bridge Academy District","Non-Special Education",83,"54.2%","73.5%"
"=""9020022""","The Gilbert School District","Special Education",23,"34.8%","54.5%"
"=""9020022""","The Gilbert School District","Non-Special Education",133,"38.3%","54.6%"
"=""1400011""","Thomaston School District","Special Education",52,"25.0%","46.1%"
"=""1400011""","Thomaston School District","Non-Special Education",322,"39.8%","62.3%"
"=""1410011""","Thompson School District","Special Education",31,"35.5%","53.4%"
"=""1410011""","Thompson School District","Non-Special Education",338,"26.6%","48.5%"
"=""1420011""","Tolland School District","Special Education",102,"34.3%","55.3%"
"=""1420011""","Tolland School District","Non-Special Education",905,"50.3%","71.7%"
"=""1430011""","Torrington School District","Special Education",258,"27.9%","47.4%"
"=""1430011""","Torrington School District","Non-Special Education",1241,"32.4%","54.5%"
"=""2780013""","Trailblazers Academy District","Special Education",31,"12.9%","29.2%"
"=""2780013""","Trailblazers Academy District","Non-Special Education",73,"24.7%","38.3%"
"=""1440011""","Trumbull School District","Special Education",255,"50.2%","71.2%"
"=""1440011""","Trumbull School District","Non-Special Education",2091,"71.9%","91.1%"
"=""3470015""","Unified School District #2","Special Education","*","*","*"
"=""1450011""","Union School District","Special Education",6,"*","*"
"=""1450011""","Union School District","Non-Special Education",33,"63.6%","81.0%"
"=""1460011""","Vernon School District","Special Education",165,"37.0%","61.2%"
"=""1460011""","Vernon School District","Non-Special Education",907,"43.9%","67.0%"
"=""1470011""","Voluntown School District","Special Education",34,"52.9%","76.2%"
"=""1470011""","Voluntown School District","Non-Special Education",110,"49.1%","74.9%"
"=""1480011""","Wallingford School District","Special Education",234,"28.2%","49.6%"
"=""1480011""","Wallingford School District","Non-Special Education",1936,"39.2%","61.8%"
"=""1510011""","Waterbury School District","Special Education",1187,"26.9%","46.7%"
"=""1510011""","Waterbury School District","Non-Special Education",5167,"31.4%","52.7%"
"=""1520011""","Waterford School District","Special Education",153,"34.0%","51.5%"
"=""1520011""","Waterford School District","Non-Special Education",816,"48.5%","69.1%"
"=""1530011""","Watertown School District","Special Education",137,"21.9%","42.5%"
"=""1530011""","Watertown School District","Non-Special Education",908,"39.0%","61.9%"
"=""1550011""","West Hartford School District","Special Education",344,"30.5%","50.2%"
"=""1550011""","West Hartford School District","Non-Special Education",3150,"47.6%","67.5%"
"=""1560011""","West Haven School District","Special Education",272,"37.9%","57.6%"
"=""1560011""","West Haven School District","Non-Special Education",1742,"48.5%","71.3%"
"=""1540011""","Westbrook School District","Special Education",40,"52.5%","72.1%"
"=""1540011""","Westbrook School District","Non-Special Education",220,"62.3%","84.2%"
"=""1570011""","Weston School District","Special Education",60,"45.0%","60.5%"
"=""1570011""","Weston School District","Non-Special Education",823,"46.4%","66.4%"
"=""1580011""","Westport School District","Special Education",213,"35.7%","57.8%"
"=""1580011""","Westport School District","Non-Special Education",1850,"52.3%","70.7%"
"=""1590011""","Wethersfield School District","Special Education",179,"36.3%","59.2%"
"=""1590011""","Wethersfield School District","Non-Special Education",1104,"63.6%","83.3%"
"=""1600011""","Willington School District","Special Education",37,"54.1%","78.9%"
"=""1600011""","Willington School District","Non-Special Education",181,"44.2%","68.8%"
"=""1610011""","Wilton School District","Special Education",235,"42.1%","64.4%"
"=""1610011""","Wilton School District","Non-Special Education",1355,"63.0%","83.2%"
"=""1620011""","Winchester School District","Special Education",38,"47.4%","61.7%"
"=""1620011""","Winchester School District","Non-Special Education",180,"33.3%","57.0%"
"=""1630011""","Windham School District","Special Education",190,"36.3%","56.5%"
"=""1630011""","Windham School District","Non-Special Education",940,"43.8%","66.4%"
"=""1650011""","Windsor Locks School District","Special Education",85,"41.2%","62.2%"
"=""1650011""","Windsor Locks School District","Non-Special Education",483,"46.8%","67.3%"
"=""1640011""","Windsor School District","Special Education",165,"28.5%","49.6%"
"=""1640011""","Windsor School District","Non-Special Education",860,"41.9%","66.7%"
"=""1660011""","Wolcott School District","Special Education",108,"25.9%","52.1%"
"=""1660011""","Wolcott School District","Non-Special Education",791,"53.4%","75.0%"
"=""1670011""","Woodbridge School District","Special Education",26,"42.3%","79.0%"
"=""1670011""","Woodbridge School District","Non-Special Education",260,"68.1%","88.1%"
"=""1690011""","Woodstock School District","Special Education",46,"26.1%","52.8%"
"=""1690011""","Woodstock School District","Non-Special Education",411,"38.4%","59.3%"

