"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""2790013""","Amistad Academy District",4,"ELA","Male",46,2421,2481,60,"47.8%","73.5%"
"=""2790013""","Amistad Academy District",4,"Math","Female",39,2427,2499,72,"69.2%","92.2%"
"=""2790013""","Amistad Academy District",4,"Math","Male",45,2444,2500,57,"51.1%","83.3%"
"=""2790013""","Amistad Academy District",5,"ELA","Female",44,2460,2525,65,"56.8%","79.1%"
"=""2790013""","Amistad Academy District",5,"ELA","Male",41,2458,2498,40,"34.1%","59.8%"
"=""2790013""","Amistad Academy District",5,"Math","Female",44,2478,2508,30,"38.6%","61.0%"
"=""2790013""","Amistad Academy District",5,"Math","Male",41,2471,2494,23,"34.1%","59.3%"
"=""2790013""","Amistad Academy District",6,"ELA","Female",38,2499,2544,45,"47.4%","70.1%"
"=""2790013""","Amistad Academy District",6,"ELA","Male",44,2447,2489,43,"45.5%","67.0%"
"=""2790013""","Amistad Academy District",6,"Math","Female",38,2473,2557,83,"81.6%","96.9%"
"=""2790013""","Amistad Academy District",6,"Math","Male",44,2446,2514,68,"68.2%","84.4%"
"=""2790013""","Amistad Academy District",7,"ELA","Female",44,2520,2553,33,"38.6%","59.9%"
"=""2790013""","Amistad Academy District",7,"ELA","Male",41,2513,2531,18,"22.0%","46.1%"
"=""2790013""","Amistad Academy District",7,"Math","Female",44,2517,2540,23,"31.8%","54.2%"
"=""2790013""","Amistad Academy District",7,"Math","Male",41,2505,2539,34,"46.3%","67.1%"
"=""2790013""","Amistad Academy District",8,"ELA","Female",37,2530,2576,46,"45.9%","69.9%"
"=""2790013""","Amistad Academy District",8,"ELA","Male",39,2532,2571,39,"46.2%","68.4%"
"=""2790013""","Amistad Academy District",8,"Math","Female",37,2504,2570,66,"75.7%","87.7%"
"=""2790013""","Amistad Academy District",8,"Math","Male",38,2509,2563,54,"63.2%","79.2%"
"=""0010011""","Andover School District",4,"ELA","Female",18,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"ELA","Male",20,2474,2515,40,"40.0%","63.2%"
"=""0010011""","Andover School District",4,"Math","Female",18,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Math","Male",20,2466,2517,50,"40.0%","73.1%"
"=""0010011""","Andover School District",5,"ELA","Female",15,"*","*","*","*","*"
"=""0010011""","Andover School District",5,"ELA","Male",27,2543,2573,30,"40.7%","62.7%"
"=""0010011""","Andover School District",5,"Math","Female",15,"*","*","*","*","*"
"=""0010011""","Andover School District",5,"Math","Male",27,2529,2574,45,"48.1%","74.5%"
"=""0010011""","Andover School District",6,"ELA","Female",25,2579,2606,27,"56.0%","70.3%"
"=""0010011""","Andover School District",6,"ELA","Male",20,2580,2585,5,"40.0%","55.0%"
"=""0010011""","Andover School District",6,"Math","Female",27,2530,2584,55,"51.9%","73.9%"
"=""0010011""","Andover School District",6,"Math","Male",20,2582,2604,22,"70.0%","85.9%"
"=""0020011""","Ansonia School District",4,"ELA","Female",72,2431,2473,43,"37.5%","63.9%"
"=""0020011""","Ansonia School District",4,"ELA","Male",83,2391,2435,44,"27.7%","55.8%"
"=""0020011""","Ansonia School District",4,"Math","Female",72,2422,2457,35,"19.4%","58.2%"
"=""0020011""","Ansonia School District",4,"Math","Male",83,2406,2450,43,"30.1%","65.5%"
"=""0020011""","Ansonia School District",5,"ELA","Female",90,2448,2462,14,"15.6%","42.3%"
"=""0020011""","Ansonia School District",5,"ELA","Male",80,2423,2458,35,"26.3%","55.2%"
"=""0020011""","Ansonia School District",5,"Math","Female",91,2438,2442,3,"15.4%","33.7%"
"=""0020011""","Ansonia School District",5,"Math","Male",80,2441,2452,10,"31.3%","48.4%"
"=""0020011""","Ansonia School District",6,"ELA","Female",86,2489,2520,32,"37.2%","60.4%"
"=""0020011""","Ansonia School District",6,"ELA","Male",74,2445,2487,41,"47.3%","66.5%"
"=""0020011""","Ansonia School District",6,"Math","Female",86,2455,2509,54,"62.8%","85.9%"
"=""0020011""","Ansonia School District",6,"Math","Male",74,2445,2489,44,"59.5%","75.4%"
"=""0020011""","Ansonia School District",7,"ELA","Female",61,2483,2487,3,"16.4%","34.9%"
"=""0020011""","Ansonia School District",7,"ELA","Male",87,2461,2475,13,"20.7%","44.7%"
"=""0020011""","Ansonia School District",7,"Math","Female",61,2470,2475,5,"21.3%","41.7%"
"=""0020011""","Ansonia School District",7,"Math","Male",87,2477,2497,20,"32.2%","54.3%"
"=""0020011""","Ansonia School District",8,"ELA","Female",91,2516,2537,21,"31.9%","50.4%"
"=""0020011""","Ansonia School District",8,"ELA","Male",79,2502,2515,12,"29.1%","45.1%"
"=""0020011""","Ansonia School District",8,"Math","Female",90,2486,2503,17,"33.3%","54.7%"
"=""0020011""","Ansonia School District",8,"Math","Male",79,2514,2524,9,"41.8%","53.7%"
"=""2440014""","Area Cooperative Educational Services",4,"ELA","Female",39,2403,2446,43,"33.3%","61.7%"
"=""2440014""","Area Cooperative Educational Services",4,"ELA","Male",55,2351,2380,30,"25.5%","44.5%"
"=""2440014""","Area Cooperative Educational Services",4,"Math","Female",39,2379,2418,40,"23.1%","57.8%"
"=""2440014""","Area Cooperative Educational Services",4,"Math","Male",55,2354,2386,32,"16.4%","50.3%"
"=""2440014""","Area Cooperative Educational Services",5,"ELA","Female",30,2434,2487,53,"33.3%","70.7%"
"=""2440014""","Area Cooperative Educational Services",5,"ELA","Male",59,2391,2425,34,"18.6%","48.3%"
"=""2440014""","Area Cooperative Educational Services",5,"Math","Female",30,2410,2420,10,"26.7%","47.7%"
"=""2440014""","Area Cooperative Educational Services",5,"Math","Male",58,2388,2408,19,"29.3%","49.5%"
"=""2440014""","Area Cooperative Educational Services",6,"ELA","Female",148,2498,2504,6,"27.0%","44.2%"
"=""2440014""","Area Cooperative Educational Services",6,"ELA","Male",174,2485,2494,9,"25.9%","45.0%"
"=""2440014""","Area Cooperative Educational Services",6,"Math","Female",148,2461,2473,12,"27.7%","46.2%"
"=""2440014""","Area Cooperative Educational Services",6,"Math","Male",176,2463,2471,9,"28.4%","46.0%"
"=""2440014""","Area Cooperative Educational Services",7,"ELA","Female",164,2512,2546,33,"40.2%","62.6%"
"=""2440014""","Area Cooperative Educational Services",7,"ELA","Male",155,2476,2500,24,"29.7%","50.1%"
"=""2440014""","Area Cooperative Educational Services",7,"Math","Female",164,2477,2520,43,"56.7%","76.9%"
"=""2440014""","Area Cooperative Educational Services",7,"Math","Male",151,2456,2497,41,"48.3%","69.5%"
"=""2440014""","Area Cooperative Educational Services",8,"ELA","Female",131,2532,2550,18,"34.4%","53.2%"
"=""2440014""","Area Cooperative Educational Services",8,"ELA","Male",168,2511,2536,25,"32.1%","51.5%"
"=""2440014""","Area Cooperative Educational Services",8,"Math","Female",131,2490,2510,21,"38.9%","55.9%"
"=""2440014""","Area Cooperative Educational Services",8,"Math","Male",167,2488,2493,5,"30.5%","45.5%"
"=""0030011""","Ashford School District",4,"ELA","Female",21,2484,2517,33,"33.3%","54.2%"
"=""0030011""","Ashford School District",4,"ELA","Male",20,2434,2482,47,"45.0%","67.8%"
"=""0030011""","Ashford School District",4,"Math","Female",21,2459,2517,58,"61.9%","87.6%"
"=""0030011""","Ashford School District",4,"Math","Male",19,"*","*","*","*","*"
"=""0030011""","Ashford School District",5,"ELA","Female",26,2554,2577,23,"46.2%","64.3%"
"=""0030011""","Ashford School District",5,"ELA","Male",11,"*","*","*","*","*"
"=""0030011""","Ashford School District",5,"Math","Female",26,2522,2490,-32,"0.0%","8.8%"
"=""0030011""","Ashford School District",5,"Math","Male",11,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"ELA","Female",15,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"ELA","Male",21,2488,2519,31,"38.1%","54.5%"
"=""0030011""","Ashford School District",6,"Math","Female",15,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Math","Male",21,2475,2482,7,"19.0%","44.4%"
"=""0030011""","Ashford School District",7,"ELA","Female",23,2568,2619,51,"52.2%","77.9%"
"=""0030011""","Ashford School District",7,"ELA","Male",24,2496,2516,19,"33.3%","49.9%"
"=""0030011""","Ashford School District",7,"Math","Female",23,2506,2585,80,"78.3%","88.4%"
"=""0030011""","Ashford School District",7,"Math","Male",23,2479,2540,61,"73.9%","93.2%"
"=""0030011""","Ashford School District",8,"ELA","Female",12,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"ELA","Male",22,2535,2573,38,"40.9%","65.7%"
"=""0030011""","Ashford School District",8,"Math","Female",12,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Math","Male",22,2546,2574,29,"54.5%","63.9%"
"=""0040011""","Avon School District",4,"ELA","Female",101,2511,2551,40,"54.5%","71.9%"
"=""0040011""","Avon School District",4,"ELA","Male",100,2495,2546,51,"52.0%","73.2%"
"=""0040011""","Avon School District",4,"Math","Female",102,2494,2526,32,"34.3%","59.8%"
"=""0040011""","Avon School District",4,"Math","Male",102,2504,2549,45,"53.9%","76.5%"
"=""0040011""","Avon School District",5,"ELA","Female",135,2532,2574,41,"53.3%","74.2%"
"=""0040011""","Avon School District",5,"ELA","Male",121,2521,2564,43,"53.7%","71.9%"
"=""0040011""","Avon School District",5,"Math","Female",137,2518,2537,20,"35.0%","57.2%"
"=""0040011""","Avon School District",5,"Math","Male",121,2530,2555,26,"46.3%","63.0%"
"=""0040011""","Avon School District",6,"ELA","Female",122,2586,2629,43,"72.1%","84.9%"
"=""0040011""","Avon School District",6,"ELA","Male",136,2557,2594,37,"55.1%","75.9%"
"=""0040011""","Avon School District",6,"Math","Female",122,2547,2607,59,"73.8%","93.5%"
"=""0040011""","Avon School District",6,"Math","Male",136,2546,2598,52,"65.4%","83.9%"
"=""0040011""","Avon School District",7,"ELA","Female",107,2599,2635,36,"58.9%","73.4%"
"=""0040011""","Avon School District",7,"ELA","Male",149,2594,2634,40,"59.1%","76.9%"
"=""0040011""","Avon School District",7,"Math","Female",108,2585,2623,39,"55.6%","81.7%"
"=""0040011""","Avon School District",7,"Math","Male",148,2605,2648,43,"69.6%","83.2%"
"=""0040011""","Avon School District",8,"ELA","Female",134,2621,2646,26,"56.0%","67.3%"
"=""0040011""","Avon School District",8,"ELA","Male",128,2604,2625,21,"43.8%","62.1%"
"=""0040011""","Avon School District",8,"Math","Female",134,2616,2658,42,"71.6%","85.7%"
"=""0040011""","Avon School District",8,"Math","Male",128,2631,2657,26,"62.5%","74.5%"
"=""0050011""","Barkhamsted School District",4,"ELA","Female",23,2467,2520,52,"52.2%","75.0%"
"=""0050011""","Barkhamsted School District",4,"ELA","Male",22,2403,2463,60,"59.1%","77.5%"
"=""0050011""","Barkhamsted School District",4,"Math","Female",23,2411,2461,50,"34.8%","65.3%"
"=""0050011""","Barkhamsted School District",4,"Math","Male",22,2399,2446,47,"36.4%","71.1%"
"=""0050011""","Barkhamsted School District",5,"ELA","Female",21,2524,2552,28,"38.1%","69.2%"
"=""0050011""","Barkhamsted School District",5,"ELA","Male",23,2513,2550,36,"43.5%","67.9%"
"=""0050011""","Barkhamsted School District",5,"Math","Female",21,2455,2475,20,"23.8%","52.4%"
"=""0050011""","Barkhamsted School District",5,"Math","Male",23,2466,2499,33,"26.1%","69.1%"
"=""0050011""","Barkhamsted School District",6,"ELA","Female",23,2547,2591,43,"47.8%","72.9%"
"=""0050011""","Barkhamsted School District",6,"ELA","Male",21,2538,2564,25,"28.6%","55.9%"
"=""0050011""","Barkhamsted School District",6,"Math","Female",23,2503,2558,54,"52.2%","78.2%"
"=""0050011""","Barkhamsted School District",6,"Math","Male",21,2508,2532,24,"33.3%","60.8%"
"=""0070011""","Berlin School District",4,"ELA","Female",84,2449,2512,63,"59.5%","82.4%"
"=""0070011""","Berlin School District",4,"ELA","Male",100,2419,2484,65,"47.0%","75.5%"
"=""0070011""","Berlin School District",4,"Math","Female",84,2435,2505,70,"64.3%","88.5%"
"=""0070011""","Berlin School District",4,"Math","Male",100,2429,2500,71,"63.0%","88.7%"
"=""0070011""","Berlin School District",5,"ELA","Female",111,2502,2561,59,"56.8%","76.8%"
"=""0070011""","Berlin School District",5,"ELA","Male",132,2490,2545,55,"47.0%","73.7%"
"=""0070011""","Berlin School District",5,"Math","Female",111,2501,2530,29,"32.4%","61.2%"
"=""0070011""","Berlin School District",5,"Math","Male",132,2509,2532,23,"35.6%","58.6%"
"=""0070011""","Berlin School District",6,"ELA","Female",94,2534,2577,43,"59.6%","77.4%"
"=""0070011""","Berlin School District",6,"ELA","Male",114,2518,2548,30,"43.9%","63.6%"
"=""0070011""","Berlin School District",6,"Math","Female",94,2503,2530,27,"38.3%","63.0%"
"=""0070011""","Berlin School District",6,"Math","Male",114,2514,2537,23,"32.5%","56.2%"
"=""0070011""","Berlin School District",7,"ELA","Female",117,2561,2597,36,"41.9%","65.0%"
"=""0070011""","Berlin School District",7,"ELA","Male",125,2537,2580,43,"56.0%","72.3%"
"=""0070011""","Berlin School District",7,"Math","Female",117,2533,2561,28,"44.4%","64.8%"
"=""0070011""","Berlin School District",7,"Math","Male",124,2528,2566,38,"53.2%","73.3%"
"=""0070011""","Berlin School District",8,"ELA","Female",83,2577,2620,43,"57.8%","77.7%"
"=""0070011""","Berlin School District",8,"ELA","Male",127,2556,2594,38,"53.5%","70.0%"
"=""0070011""","Berlin School District",8,"Math","Female",83,2563,2581,18,"49.4%","63.1%"
"=""0070011""","Berlin School District",8,"Math","Male",127,2562,2575,13,"40.9%","55.6%"
"=""0080011""","Bethany School District",4,"ELA","Female",23,2472,2544,72,"60.9%","82.6%"
"=""0080011""","Bethany School District",4,"ELA","Male",27,2396,2467,71,"55.6%","87.2%"
"=""0080011""","Bethany School District",4,"Math","Female",23,2465,2523,59,"60.9%","81.7%"
"=""0080011""","Bethany School District",4,"Math","Male",27,2441,2490,49,"40.7%","77.1%"
"=""0080011""","Bethany School District",5,"ELA","Female",24,2533,2585,52,"62.5%","84.7%"
"=""0080011""","Bethany School District",5,"ELA","Male",32,2514,2558,44,"46.9%","65.6%"
"=""0080011""","Bethany School District",5,"Math","Female",24,2545,2604,60,"75.0%","94.0%"
"=""0080011""","Bethany School District",5,"Math","Male",32,2520,2569,49,"65.6%","84.0%"
"=""0080011""","Bethany School District",6,"ELA","Female",29,2562,2576,14,"41.4%","50.9%"
"=""0080011""","Bethany School District",6,"ELA","Male",32,2512,2529,17,"37.5%","55.5%"
"=""0080011""","Bethany School District",6,"Math","Female",29,2515,2567,52,"62.1%","89.1%"
"=""0080011""","Bethany School District",6,"Math","Male",32,2510,2523,13,"34.4%","51.6%"
"=""0090011""","Bethel School District",4,"ELA","Female",103,2464,2508,44,"40.8%","68.3%"
"=""0090011""","Bethel School District",4,"ELA","Male",94,2446,2493,47,"48.9%","69.0%"
"=""0090011""","Bethel School District",4,"Math","Female",103,2425,2493,68,"59.2%","88.7%"
"=""0090011""","Bethel School District",4,"Math","Male",95,2429,2509,80,"75.8%","96.1%"
"=""0090011""","Bethel School District",5,"ELA","Female",88,2506,2552,46,"52.3%","74.2%"
"=""0090011""","Bethel School District",5,"ELA","Male",111,2490,2530,40,"44.1%","62.9%"
"=""0090011""","Bethel School District",5,"Math","Female",89,2479,2526,47,"59.6%","82.9%"
"=""0090011""","Bethel School District",5,"Math","Male",109,2484,2540,55,"68.8%","87.0%"
"=""0090011""","Bethel School District",6,"ELA","Female",89,2564,2604,40,"64.0%","80.6%"
"=""0090011""","Bethel School District",6,"ELA","Male",87,2536,2570,34,"50.6%","68.7%"
"=""0090011""","Bethel School District",6,"Math","Female",88,2523,2558,35,"50.0%","73.3%"
"=""0090011""","Bethel School District",6,"Math","Male",88,2527,2555,28,"43.2%","64.8%"
"=""0090011""","Bethel School District",7,"ELA","Female",110,2575,2610,35,"52.7%","72.0%"
"=""0090011""","Bethel School District",7,"ELA","Male",121,2554,2593,39,"52.1%","71.0%"
"=""0090011""","Bethel School District",7,"Math","Female",110,2528,2558,30,"46.4%","67.1%"
"=""0090011""","Bethel School District",7,"Math","Male",120,2525,2568,43,"56.7%","79.0%"
"=""0090011""","Bethel School District",8,"ELA","Female",103,2601,2642,40,"57.3%","72.7%"
"=""0090011""","Bethel School District",8,"ELA","Male",103,2572,2608,35,"51.5%","70.9%"
"=""0090011""","Bethel School District",8,"Math","Female",103,2542,2598,56,"73.8%","90.5%"
"=""0090011""","Bethel School District",8,"Math","Male",104,2547,2576,28,"51.9%","67.3%"
"=""0110011""","Bloomfield School District",4,"ELA","Female",46,2418,2463,45,"37.0%","60.2%"
"=""0110011""","Bloomfield School District",4,"ELA","Male",53,2405,2454,48,"28.3%","63.8%"
"=""0110011""","Bloomfield School District",4,"Math","Female",47,2382,2441,59,"46.8%","79.2%"
"=""0110011""","Bloomfield School District",4,"Math","Male",53,2383,2442,59,"50.9%","78.2%"
"=""0110011""","Bloomfield School District",5,"ELA","Female",54,2478,2521,44,"33.3%","61.4%"
"=""0110011""","Bloomfield School District",5,"ELA","Male",59,2461,2488,27,"16.9%","52.5%"
"=""0110011""","Bloomfield School District",5,"Math","Female",54,2436,2471,35,"42.6%","67.4%"
"=""0110011""","Bloomfield School District",5,"Math","Male",59,2429,2458,29,"32.2%","63.5%"
"=""0110011""","Bloomfield School District",6,"ELA","Female",53,2503,2540,36,"45.3%","67.8%"
"=""0110011""","Bloomfield School District",6,"ELA","Male",60,2479,2517,38,"46.7%","68.9%"
"=""0110011""","Bloomfield School District",6,"Math","Female",53,2466,2516,50,"52.8%","72.0%"
"=""0110011""","Bloomfield School District",6,"Math","Male",60,2443,2506,63,"63.3%","84.8%"
"=""0110011""","Bloomfield School District",7,"ELA","Female",60,2524,2558,34,"45.0%","58.0%"
"=""0110011""","Bloomfield School District",7,"ELA","Male",55,2499,2509,9,"16.4%","32.3%"
"=""0110011""","Bloomfield School District",7,"Math","Female",61,2496,2528,32,"47.5%","65.4%"
"=""0110011""","Bloomfield School District",7,"Math","Male",55,2479,2499,20,"29.1%","49.0%"
"=""0110011""","Bloomfield School District",8,"ELA","Female",65,2538,2577,39,"50.8%","71.1%"
"=""0110011""","Bloomfield School District",8,"ELA","Male",58,2507,2544,37,"41.4%","64.6%"
"=""0110011""","Bloomfield School District",8,"Math","Female",65,2506,2516,10,"33.8%","46.3%"
"=""0110011""","Bloomfield School District",8,"Math","Male",58,2489,2511,22,"36.2%","53.9%"
"=""0120011""","Bolton School District",4,"ELA","Female",25,2497,2560,63,"64.0%","90.5%"
"=""0120011""","Bolton School District",4,"ELA","Male",28,2450,2525,75,"60.7%","88.0%"
"=""0120011""","Bolton School District",4,"Math","Female",25,2478,2539,61,"68.0%","95.1%"
"=""0120011""","Bolton School District",4,"Math","Male",28,2469,2534,65,"64.3%","93.4%"
"=""0120011""","Bolton School District",5,"ELA","Female",37,2515,2565,50,"59.5%","78.4%"
"=""0120011""","Bolton School District",5,"ELA","Male",29,2502,2539,37,"44.8%","63.5%"
"=""0120011""","Bolton School District",5,"Math","Female",37,2505,2531,25,"45.9%","65.1%"
"=""0120011""","Bolton School District",5,"Math","Male",29,2507,2527,20,"37.9%","58.9%"
"=""0120011""","Bolton School District",6,"ELA","Female",35,2581,2605,23,"57.1%","71.2%"
"=""0120011""","Bolton School District",6,"ELA","Male",26,2544,2586,42,"53.8%","69.8%"
"=""0120011""","Bolton School District",6,"Math","Female",35,2553,2595,43,"68.6%","82.6%"
"=""0120011""","Bolton School District",6,"Math","Male",26,2539,2574,35,"42.3%","67.1%"
"=""0120011""","Bolton School District",7,"ELA","Female",24,2560,2590,30,"41.7%","63.0%"
"=""0120011""","Bolton School District",7,"ELA","Male",36,2557,2605,48,"61.1%","81.9%"
"=""0120011""","Bolton School District",7,"Math","Female",24,2539,2566,27,"29.2%","62.5%"
"=""0120011""","Bolton School District",7,"Math","Male",36,2550,2603,53,"69.4%","84.0%"
"=""0120011""","Bolton School District",8,"ELA","Female",23,2589,2638,49,"65.2%","78.6%"
"=""0120011""","Bolton School District",8,"ELA","Male",26,2550,2591,41,"46.2%","66.1%"
"=""0120011""","Bolton School District",8,"Math","Female",23,2579,2596,17,"43.5%","57.7%"
"=""0120011""","Bolton School District",8,"Math","Male",26,2565,2570,5,"23.1%","35.3%"
"=""0130011""","Bozrah School District",4,"ELA","Female",15,"*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"ELA","Male",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"Math","Female",15,"*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"Math","Male",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"ELA","Female",15,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"ELA","Male",14,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"Math","Female",15,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"Math","Male",14,"*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"ELA","Female",10,"*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"ELA","Male",11,"*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"Math","Female",10,"*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"Math","Male",11,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"ELA","Female",7,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"ELA","Male",9,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Math","Female",7,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Math","Male",9,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"ELA","Female",9,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"ELA","Male",11,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Math","Female",9,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Math","Male",11,"*","*","*","*","*"
"=""0140011""","Branford School District",4,"ELA","Female",94,2460,2515,55,"58.5%","79.1%"
"=""0140011""","Branford School District",4,"ELA","Male",111,2441,2498,58,"53.2%","75.8%"
"=""0140011""","Branford School District",4,"Math","Female",94,2450,2504,54,"43.6%","76.3%"
"=""0140011""","Branford School District",4,"Math","Male",110,2455,2513,58,"50.0%","77.6%"
"=""0140011""","Branford School District",5,"ELA","Female",107,2511,2554,43,"40.2%","64.9%"
"=""0140011""","Branford School District",5,"ELA","Male",107,2488,2535,47,"45.8%","69.4%"
"=""0140011""","Branford School District",5,"Math","Female",108,2495,2528,33,"46.3%","70.7%"
"=""0140011""","Branford School District",5,"Math","Male",107,2501,2537,36,"48.6%","74.2%"
"=""0140011""","Branford School District",6,"ELA","Female",106,2525,2548,23,"39.6%","55.7%"
"=""0140011""","Branford School District",6,"ELA","Male",98,2499,2522,23,"38.8%","53.2%"
"=""0140011""","Branford School District",6,"Math","Female",105,2502,2533,30,"41.0%","61.4%"
"=""0140011""","Branford School District",6,"Math","Male",97,2501,2526,24,"46.4%","64.5%"
"=""0140011""","Branford School District",7,"ELA","Female",98,2571,2607,36,"56.1%","70.2%"
"=""0140011""","Branford School District",7,"ELA","Male",104,2527,2568,42,"42.3%","64.0%"
"=""0140011""","Branford School District",7,"Math","Female",97,2549,2581,32,"43.3%","64.8%"
"=""0140011""","Branford School District",7,"Math","Male",105,2532,2554,23,"42.9%","62.0%"
"=""0140011""","Branford School District",8,"ELA","Female",118,2591,2607,16,"37.3%","53.5%"
"=""0140011""","Branford School District",8,"ELA","Male",104,2561,2567,6,"28.8%","45.2%"
"=""0140011""","Branford School District",8,"Math","Female",118,2571,2569,-2,"29.7%","44.6%"
"=""0140011""","Branford School District",8,"Math","Male",105,2560,2545,-14,"26.7%","37.0%"
"=""2850013""","Bridgeport Achievement First District",4,"ELA","Female",38,2417,2527,110,"84.2%","99.6%"
"=""2850013""","Bridgeport Achievement First District",4,"ELA","Male",48,2370,2479,109,"77.1%","92.4%"
"=""2850013""","Bridgeport Achievement First District",4,"Math","Female",38,2426,2506,79,"71.1%","98.5%"
"=""2850013""","Bridgeport Achievement First District",4,"Math","Male",48,2403,2488,85,"75.0%","93.7%"
"=""2850013""","Bridgeport Achievement First District",5,"ELA","Female",44,2450,2488,37,"40.9%","55.1%"
"=""2850013""","Bridgeport Achievement First District",5,"ELA","Male",38,2460,2463,3,"7.9%","30.7%"
"=""2850013""","Bridgeport Achievement First District",5,"Math","Female",44,2453,2477,24,"36.4%","53.7%"
"=""2850013""","Bridgeport Achievement First District",5,"Math","Male",38,2454,2462,8,"28.9%","43.5%"
"=""2850013""","Bridgeport Achievement First District",6,"ELA","Female",45,2462,2499,37,"42.2%","61.1%"
"=""2850013""","Bridgeport Achievement First District",6,"ELA","Male",41,2437,2472,35,"43.9%","65.3%"
"=""2850013""","Bridgeport Achievement First District",6,"Math","Female",45,2428,2480,52,"60.0%","79.3%"
"=""2850013""","Bridgeport Achievement First District",6,"Math","Male",41,2431,2467,36,"48.8%","69.8%"
"=""2850013""","Bridgeport Achievement First District",7,"ELA","Female",41,2503,2526,23,"24.4%","41.8%"
"=""2850013""","Bridgeport Achievement First District",7,"ELA","Male",42,2490,2521,31,"38.1%","57.7%"
