"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0230011""","Canton School District","Not Eligible For Lunch",560,"56.6%","77.5%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Eligible For Lunch",55,"14.5%","33.0%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Not Eligible For Lunch",32,"12.5%","29.3%"
"=""2410014""","Capitol Region Education Council","Eligible For Lunch",1316,"32.5%","53.9%"
"=""2410014""","Capitol Region Education Council","Not Eligible For Lunch",1196,"42.6%","63.5%"
"=""0240011""","Chaplin School District","Eligible For Lunch",24,"33.3%","46.7%"
"=""0240011""","Chaplin School District","Not Eligible For Lunch",18,"*","*"
"=""0250011""","Cheshire School District","Eligible For Lunch",143,"39.2%","62.3%"
"=""0250011""","Cheshire School District","Not Eligible For Lunch",1546,"54.4%","73.8%"
"=""0260011""","Chester School District","Eligible For Lunch",7,"*","*"
"=""0260011""","Chester School District","Not Eligible For Lunch",93,"55.9%","75.5%"
"=""0270011""","Clinton School District","Eligible For Lunch",156,"47.4%","68.7%"
"=""0270011""","Clinton School District","Not Eligible For Lunch",571,"48.9%","70.0%"
"=""0280011""","Colchester School District","Eligible For Lunch",171,"36.8%","58.0%"
"=""0280011""","Colchester School District","Not Eligible For Lunch",764,"43.8%","62.7%"
"=""0290011""","Colebrook School District","Eligible For Lunch","*","*","*"
"=""0290011""","Colebrook School District","Not Eligible For Lunch","*","30.8%","59.4%"
"=""0300011""","Columbia School District","Eligible For Lunch",39,"38.5%","59.5%"
"=""0300011""","Columbia School District","Not Eligible For Lunch",188,"37.2%","61.1%"
"=""2430014""","Cooperative Educational Services","Eligible For Lunch",95,"32.6%","53.5%"
"=""2430014""","Cooperative Educational Services","Not Eligible For Lunch",173,"40.5%","60.4%"
"=""0310011""","Cornwall School District","Eligible For Lunch",7,"*","*"
"=""0310011""","Cornwall School District","Not Eligible For Lunch",38,"42.1%","63.6%"
"=""0320011""","Coventry School District","Eligible For Lunch",114,"46.5%","72.6%"
"=""0320011""","Coventry School District","Not Eligible For Lunch",491,"53.4%","76.1%"
"=""0330011""","Cromwell School District","Eligible For Lunch",140,"37.1%","58.7%"
"=""0330011""","Cromwell School District","Not Eligible For Lunch",612,"38.1%","59.0%"
"=""0340011""","Danbury School District","Eligible For Lunch",2181,"41.9%","63.7%"
"=""0340011""","Danbury School District","Not Eligible For Lunch",1553,"44.0%","65.5%"
"=""0350011""","Darien School District","Eligible For Lunch",43,"55.8%","74.6%"
"=""0350011""","Darien School District","Not Eligible For Lunch",1766,"68.3%","86.4%"
"=""0360011""","Deep River School District","Eligible For Lunch",24,"37.5%","66.8%"
"=""0360011""","Deep River School District","Not Eligible For Lunch",122,"53.3%","74.2%"
"=""0370011""","Derby School District","Eligible For Lunch",295,"19.7%","39.7%"
"=""0370011""","Derby School District","Not Eligible For Lunch",225,"27.1%","52.5%"
"=""0400011""","East Granby School District","Eligible For Lunch",50,"40.0%","57.9%"
"=""0400011""","East Granby School District","Not Eligible For Lunch",260,"52.3%","73.1%"
"=""0410011""","East Haddam School District","Eligible For Lunch",55,"25.5%","45.5%"
"=""0410011""","East Haddam School District","Not Eligible For Lunch",337,"33.5%","53.6%"
"=""0420011""","East Hampton School District","Eligible For Lunch",90,"30.0%","52.1%"
"=""0420011""","East Hampton School District","Not Eligible For Lunch",554,"35.4%","55.6%"
"=""0430011""","East Hartford School District","Eligible For Lunch",1478,"27.3%","48.2%"
"=""0430011""","East Hartford School District","Not Eligible For Lunch",717,"25.7%","47.7%"
"=""0440011""","East Haven School District","Eligible For Lunch",534,"35.8%","59.5%"
"=""0440011""","East Haven School District","Not Eligible For Lunch",525,"39.6%","62.5%"
"=""0450011""","East Lyme School District","Eligible For Lunch",171,"36.8%","61.0%"
"=""0450011""","East Lyme School District","Not Eligible For Lunch",786,"53.3%","72.9%"
"=""0470011""","East Windsor School District","Eligible For Lunch",157,"28.7%","50.6%"
"=""0470011""","East Windsor School District","Not Eligible For Lunch",190,"36.3%","61.2%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Eligible For Lunch",19,"*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Not Eligible For Lunch",7,"*","*"
"=""0390011""","Eastford School District","Eligible For Lunch",11,"*","*"
"=""0390011""","Eastford School District","Not Eligible For Lunch",56,"42.9%","62.9%"
"=""0460011""","Easton School District","Eligible For Lunch",27,"48.1%","65.8%"
"=""0460011""","Easton School District","Not Eligible For Lunch",469,"67.6%","87.3%"
"=""2420014""","EdAdvance","Eligible For Lunch","*","*","*"
"=""0480011""","Ellington School District","Eligible For Lunch",99,"33.3%","55.0%"
"=""0480011""","Ellington School District","Not Eligible For Lunch",915,"49.1%","71.3%"
"=""2890013""","Elm City College Preparatory School District","Eligible For Lunch",251,"44.2%","64.7%"
"=""2890013""","Elm City College Preparatory School District","Not Eligible For Lunch",59,"55.9%","80.0%"
"=""0490011""","Enfield School District","Eligible For Lunch",670,"32.1%","57.1%"
"=""0490011""","Enfield School District","Not Eligible For Lunch",1039,"35.8%","58.9%"
"=""0500011""","Essex School District","Eligible For Lunch",16,"*","*"
"=""0500011""","Essex School District","Not Eligible For Lunch",167,"58.1%","81.5%"
"=""0510011""","Fairfield School District","Eligible For Lunch",360,"36.1%","56.7%"
"=""0510011""","Fairfield School District","Not Eligible For Lunch",3435,"50.4%","72.0%"
"=""0520011""","Farmington School District","Eligible For Lunch",162,"46.3%","72.3%"
"=""0520011""","Farmington School District","Not Eligible For Lunch",1357,"66.8%","85.6%"
"=""0530011""","Franklin School District","Eligible For Lunch",13,"*","*"
"=""0530011""","Franklin School District","Not Eligible For Lunch",75,"29.3%","50.1%"
"=""0540011""","Glastonbury School District","Eligible For Lunch",217,"40.6%","64.7%"
"=""0540011""","Glastonbury School District","Not Eligible For Lunch",2096,"59.4%","79.2%"
"=""0560011""","Granby School District","Eligible For Lunch",74,"27.0%","53.8%"
"=""0560011""","Granby School District","Not Eligible For Lunch",612,"54.4%","75.1%"
"=""2940013""","Great Oaks Charter School District","Eligible For Lunch",168,"40.5%","58.6%"
"=""2940013""","Great Oaks Charter School District","Not Eligible For Lunch",35,"65.7%","82.9%"
"=""0570011""","Greenwich School District","Eligible For Lunch",446,"44.8%","65.6%"
"=""0570011""","Greenwich School District","Not Eligible For Lunch",2614,"57.6%","75.5%"
"=""0580011""","Griswold School District","Eligible For Lunch",261,"44.8%","65.3%"
"=""0580011""","Griswold School District","Not Eligible For Lunch",374,"53.7%","73.8%"
"=""0590011""","Groton School District","Eligible For Lunch",639,"39.6%","60.1%"
"=""0590011""","Groton School District","Not Eligible For Lunch",773,"50.3%","69.7%"
"=""0600011""","Guilford School District","Eligible For Lunch",116,"51.7%","71.6%"
"=""0600011""","Guilford School District","Not Eligible For Lunch",1186,"58.6%","78.7%"
"=""0620011""","Hamden School District","Eligible For Lunch",768,"32.7%","53.4%"
"=""0620011""","Hamden School District","Not Eligible For Lunch",1065,"38.5%","58.7%"
"=""0630011""","Hampton School District","Eligible For Lunch",8,"*","*"
"=""0630011""","Hampton School District","Not Eligible For Lunch",19,"*","*"
"=""0640011""","Hartford School District","Eligible For Lunch",5850,"32.3%","54.5%"
"=""0640011""","Hartford School District","Not Eligible For Lunch",1060,"42.0%","62.9%"
"=""0650011""","Hartland School District","Eligible For Lunch",14,"*","*"
"=""0650011""","Hartland School District","Not Eligible For Lunch",90,"63.3%","85.5%"
"=""0670011""","Hebron School District","Eligible For Lunch",36,"55.6%","85.0%"
"=""0670011""","Hebron School District","Not Eligible For Lunch",306,"56.9%","81.8%"
"=""2860013""","Highville Charter School District","Eligible For Lunch",116,"46.6%","71.1%"
"=""2860013""","Highville Charter School District","Not Eligible For Lunch",65,"47.7%","62.2%"
"=""2640013""","Integrated Day Charter School District","Eligible For Lunch",52,"46.2%","66.9%"
"=""2640013""","Integrated Day Charter School District","Not Eligible For Lunch",102,"41.2%","63.8%"
"=""2650013""","Interdistrict School for Arts and Comm District","Eligible For Lunch",177,"18.1%","32.5%"
"=""2650013""","Interdistrict School for Arts and Comm District","Not Eligible For Lunch",75,"20.0%","34.1%"
"=""2610013""","Jumoke Academy District","Eligible For Lunch",223,"31.8%","54.1%"
"=""2610013""","Jumoke Academy District","Not Eligible For Lunch",103,"42.7%","59.0%"
"=""0680011""","Kent School District","Eligible For Lunch",18,"*","*"
"=""0680011""","Kent School District","Not Eligible For Lunch",108,"53.7%","72.1%"
"=""0690011""","Killingly School District","Eligible For Lunch",350,"39.1%","63.4%"
"=""0690011""","Killingly School District","Not Eligible For Lunch",421,"41.6%","63.9%"
"=""2450014""","Learn","Eligible For Lunch",166,"39.2%","62.6%"
"=""2450014""","Learn","Not Eligible For Lunch",134,"44.0%","68.9%"
"=""0710011""","Lebanon School District","Eligible For Lunch",64,"40.6%","63.0%"
"=""0710011""","Lebanon School District","Not Eligible For Lunch",269,"42.0%","66.0%"
"=""0720011""","Ledyard School District","Eligible For Lunch",159,"45.9%","68.8%"
"=""0720011""","Ledyard School District","Not Eligible For Lunch",619,"48.5%","70.4%"
"=""0730011""","Lisbon School District","Eligible For Lunch",52,"28.8%","50.4%"
"=""0730011""","Lisbon School District","Not Eligible For Lunch",151,"47.7%","74.2%"
"=""0740011""","Litchfield School District","Eligible For Lunch",52,"50.0%","72.5%"
"=""0740011""","Litchfield School District","Not Eligible For Lunch",320,"58.4%","75.1%"
"=""0760011""","Madison School District","Eligible For Lunch",34,"38.2%","60.9%"
"=""0760011""","Madison School District","Not Eligible For Lunch",928,"41.3%","59.4%"
"=""0770011""","Manchester School District","Eligible For Lunch",1172,"29.4%","50.6%"
"=""0770011""","Manchester School District","Not Eligible For Lunch",792,"37.2%","60.3%"
"=""0780011""","Mansfield School District","Eligible For Lunch",134,"47.0%","63.6%"
"=""0780011""","Mansfield School District","Not Eligible For Lunch",407,"56.0%","73.2%"
"=""0790011""","Marlborough School District","Eligible For Lunch",26,"50.0%","69.9%"
"=""0790011""","Marlborough School District","Not Eligible For Lunch",226,"61.5%","85.7%"
"=""0800011""","Meriden School District","Eligible For Lunch",1673,"38.4%","61.9%"
"=""0800011""","Meriden School District","Not Eligible For Lunch",776,"44.5%","68.6%"
"=""0830011""","Middletown School District","Eligible For Lunch",707,"32.4%","53.9%"
"=""0830011""","Middletown School District","Not Eligible For Lunch",900,"41.4%","60.0%"
"=""0840011""","Milford School District","Eligible For Lunch",502,"40.4%","62.6%"
"=""0840011""","Milford School District","Not Eligible For Lunch",1682,"47.7%","68.3%"
"=""0850011""","Monroe School District","Eligible For Lunch",93,"55.9%","74.0%"
"=""0850011""","Monroe School District","Not Eligible For Lunch",1088,"49.1%","70.5%"
"=""0860011""","Montville School District","Eligible For Lunch",325,"42.5%","64.4%"
"=""0860011""","Montville School District","Not Eligible For Lunch",508,"48.0%","70.4%"
"=""0880011""","Naugatuck School District","Eligible For Lunch",755,"30.2%","52.4%"
"=""0880011""","Naugatuck School District","Not Eligible For Lunch",783,"35.9%","56.9%"
"=""2800013""","New Beginnings Inc Family Academy District","Eligible For Lunch",153,"32.0%","54.5%"
"=""2800013""","New Beginnings Inc Family Academy District","Not Eligible For Lunch",16,"*","*"
"=""0890011""","New Britain School District","Eligible For Lunch",2664,"25.0%","44.9%"
"=""0890011""","New Britain School District","Not Eligible For Lunch",479,"24.0%","44.1%"
"=""0900011""","New Canaan School District","Not Eligible For Lunch",1558,"59.6%","77.7%"
"=""0910011""","New Fairfield School District","Eligible For Lunch",77,"51.9%","77.5%"
"=""0910011""","New Fairfield School District","Not Eligible For Lunch",702,"59.1%","79.6%"
"=""0920011""","New Hartford School District","Eligible For Lunch",16,"*","*"
"=""0920011""","New Hartford School District","Not Eligible For Lunch",180,"33.9%","58.5%"
"=""0930011""","New Haven School District","Eligible For Lunch",4190,"40.0%","62.6%"
"=""0930011""","New Haven School District","Not Eligible For Lunch",2606,"42.4%","65.0%"
"=""0950011""","New London School District","Eligible For Lunch",861,"27.4%","49.8%"
"=""0950011""","New London School District","Not Eligible For Lunch",151,"25.2%","47.8%"
"=""0960011""","New Milford School District","Eligible For Lunch",325,"39.1%","59.1%"
"=""0960011""","New Milford School District","Not Eligible For Lunch",1115,"45.7%","66.2%"
"=""0940011""","Newington School District","Eligible For Lunch",332,"34.0%","53.6%"
"=""0940011""","Newington School District","Not Eligible For Lunch",1190,"38.7%","57.1%"
"=""0970011""","Newtown School District","Eligible For Lunch",129,"48.8%","69.2%"
"=""0970011""","Newtown School District","Not Eligible For Lunch",1574,"60.0%","78.8%"
"=""0980011""","Norfolk School District","Eligible For Lunch",7,"*","*"
"=""0980011""","Norfolk School District","Not Eligible For Lunch",37,"56.8%","75.8%"
"=""0990011""","North Branford School District","Eligible For Lunch",128,"48.4%","67.2%"
"=""0990011""","North Branford School District","Not Eligible For Lunch",577,"44.9%","65.9%"
"=""1000011""","North Canaan School District","Eligible For Lunch",28,"32.1%","65.0%"
"=""1000011""","North Canaan School District","Not Eligible For Lunch",82,"56.1%","77.0%"
"=""1010011""","North Haven School District","Eligible For Lunch",181,"57.5%","82.5%"
"=""1010011""","North Haven School District","Not Eligible For Lunch",949,"72.1%","92.3%"
"=""1020011""","North Stonington School District","Eligible For Lunch",40,"32.5%","52.0%"
"=""1020011""","North Stonington School District","Not Eligible For Lunch",224,"52.2%","70.3%"
"=""1030011""","Norwalk School District","Eligible For Lunch",2197,"33.5%","54.8%"
"=""1030011""","Norwalk School District","Not Eligible For Lunch",1718,"41.9%","63.5%"
"=""1040011""","Norwich School District","Eligible For Lunch",1281,"36.7%","58.7%"
"=""1040011""","Norwich School District","Not Eligible For Lunch",362,"41.2%","63.4%"
"=""2630013""","Odyssey Community School District","Eligible For Lunch",60,"38.3%","56.6%"
"=""2630013""","Odyssey Community School District","Not Eligible For Lunch",115,"30.4%","52.8%"
"=""1060011""","Old Saybrook School District","Eligible For Lunch",97,"43.3%","65.6%"
"=""1060011""","Old Saybrook School District","Not Eligible For Lunch",406,"50.5%","71.8%"
"=""1070011""","Orange School District","Eligible For Lunch",25,"44.0%","72.4%"
"=""1070011""","Orange School District","Not Eligible For Lunch",489,"50.5%","74.3%"
"=""1080011""","Oxford School District","Eligible For Lunch",65,"40.0%","62.9%"
"=""1080011""","Oxford School District","Not Eligible For Lunch",710,"48.9%","71.4%"
"=""2830013""","Park City Prep Charter School District","Eligible For Lunch",260,"55.0%","75.1%"
"=""2830013""","Park City Prep Charter School District","Not Eligible For Lunch",76,"65.8%","83.9%"
"=""1090011""","Plainfield School District","Eligible For Lunch",418,"56.0%","78.7%"
"=""1090011""","Plainfield School District","Not Eligible For Lunch",381,"56.7%","80.6%"
"=""1100011""","Plainville School District","Eligible For Lunch",276,"31.2%","59.3%"
"=""1100011""","Plainville School District","Not Eligible For Lunch",580,"43.8%","65.8%"
"=""1110011""","Plymouth School District","Eligible For Lunch",172,"42.4%","67.8%"
"=""1110011""","Plymouth School District","Not Eligible For Lunch",367,"53.1%","76.4%"
"=""1120011""","Pomfret School District","Eligible For Lunch",39,"38.5%","65.4%"
"=""1120011""","Pomfret School District","Not Eligible For Lunch",182,"51.1%","69.0%"
"=""1130011""","Portland School District","Eligible For Lunch",102,"38.2%","66.8%"
"=""1130011""","Portland School District","Not Eligible For Lunch",406,"49.8%","71.4%"
"=""1140011""","Preston School District","Eligible For Lunch",50,"46.0%","64.7%"
"=""1140011""","Preston School District","Not Eligible For Lunch",164,"41.5%","61.9%"
"=""1160011""","Putnam School District","Eligible For Lunch",219,"44.7%","67.6%"
"=""1160011""","Putnam School District","Not Eligible For Lunch",176,"52.8%","72.4%"
"=""1170011""","Redding School District","Eligible For Lunch",11,"*","*"
"=""1170011""","Redding School District","Not Eligible For Lunch",485,"55.1%","74.7%"
"=""2010012""","Regional School District 01","Eligible For Lunch","*","*","*"
"=""2010012""","Regional School District 01","Not Eligible For Lunch","*","*","*"
"=""2040012""","Regional School District 04","Eligible For Lunch",42,"38.1%","56.1%"
"=""2040012""","Regional School District 04","Not Eligible For Lunch",258,"41.9%","59.4%"
"=""2050012""","Regional School District 05","Eligible For Lunch",32,"43.8%","67.1%"
"=""2050012""","Regional School District 05","Not Eligible For Lunch",682,"58.8%","74.3%"
"=""2060012""","Regional School District 06","Eligible For Lunch",36,"36.1%","54.4%"
"=""2060012""","Regional School District 06","Not Eligible For Lunch",206,"41.3%","60.6%"
"=""2070012""","Regional School District 07","Eligible For Lunch",22,"54.5%","68.9%"
"=""2070012""","Regional School District 07","Not Eligible For Lunch",264,"59.8%","77.0%"
"=""2080012""","Regional School District 08","Eligible For Lunch",44,"36.4%","58.6%"
"=""2080012""","Regional School District 08","Not Eligible For Lunch",505,"43.0%","59.5%"
"=""2100012""","Regional School District 10","Eligible For Lunch",64,"37.5%","56.2%"
"=""2100012""","Regional School District 10","Not Eligible For Lunch",847,"41.0%","60.8%"
"=""2110012""","Regional School District 11","Eligible For Lunch",25,"40.0%","67.3%"
"=""2110012""","Regional School District 11","Not Eligible For Lunch",55,"50.9%","67.1%"
"=""2120012""","Regional School District 12","Eligible For Lunch",22,"68.2%","81.6%"
"=""2120012""","Regional School District 12","Not Eligible For Lunch",232,"62.1%","83.4%"
"=""2130012""","Regional School District 13","Eligible For Lunch",51,"29.4%","53.5%"
"=""2130012""","Regional School District 13","Not Eligible For Lunch",618,"48.5%","70.8%"
"=""2140012""","Regional School District 14","Eligible For Lunch",68,"27.9%","52.3%"
"=""2140012""","Regional School District 14","Not Eligible For Lunch",474,"34.2%","55.4%"
"=""2150012""","Regional School District 15","Eligible For Lunch",109,"36.7%","58.7%"
"=""2150012""","Regional School District 15","Not Eligible For Lunch",1361,"52.8%","73.5%"
"=""2160012""","Regional School District 16","Eligible For Lunch",118,"39.0%","57.2%"
"=""2160012""","Regional School District 16","Not Eligible For Lunch",660,"41.5%","64.2%"
"=""2170012""","Regional School District 17","Eligible For Lunch",77,"46.8%","71.3%"
"=""2170012""","Regional School District 17","Not Eligible For Lunch",806,"54.7%","75.1%"
"=""2180012""","Regional School District 18","Eligible For Lunch",23,"39.1%","57.3%"
"=""2180012""","Regional School District 18","Not Eligible For Lunch",480,"59.0%","76.2%"
"=""1180011""","Ridgefield School District","Eligible For Lunch",51,"45.1%","71.4%"
"=""1180011""","Ridgefield School District","Not Eligible For Lunch",1801,"54.5%","74.2%"
"=""1190011""","Rocky Hill School District","Eligible For Lunch",136,"40.4%","60.1%"
"=""1190011""","Rocky Hill School District","Not Eligible For Lunch",754,"50.7%","70.8%"
"=""1210011""","Salem School District","Eligible For Lunch",19,"*","*"
"=""1210011""","Salem School District","Not Eligible For Lunch",176,"52.3%","69.9%"
"=""1220011""","Salisbury School District","Eligible For Lunch",16,"*","*"
"=""1220011""","Salisbury School District","Not Eligible For Lunch",109,"58.7%","76.7%"
"=""1230011""","Scotland School District","Eligible For Lunch",12,"*","*"
"=""1230011""","Scotland School District","Not Eligible For Lunch",32,"37.5%","65.5%"
"=""1240011""","Seymour School District","Eligible For Lunch",248,"39.9%","64.2%"
"=""1240011""","Seymour School District","Not Eligible For Lunch",607,"52.2%","72.7%"
"=""1250011""","Sharon School District","Eligible For Lunch",16,"*","*"
"=""1250011""","Sharon School District","Not Eligible For Lunch",52,"51.9%","65.1%"
"=""1260011""","Shelton School District","Eligible For Lunch",413,"44.8%","67.3%"
"=""1260011""","Shelton School District","Not Eligible For Lunch",1427,"50.7%","71.4%"
"=""1270011""","Sherman School District","Eligible For Lunch",6,"*","*"
"=""1270011""","Sherman School District","Not Eligible For Lunch",94,"55.3%","80.2%"
"=""2700013""","Side By Side Charter School District","Eligible For Lunch",59,"52.5%","72.2%"
"=""2700013""","Side By Side Charter School District","Not Eligible For Lunch",48,"58.3%","79.2%"
"=""1280011""","Simsbury School District","Eligible For Lunch",152,"39.5%","61.0%"
"=""1280011""","Simsbury School District","Not Eligible For Lunch",1392,"55.2%","75.2%"
"=""1290011""","Somers School District","Eligible For Lunch",50,"38.0%","57.0%"
"=""1290011""","Somers School District","Not Eligible For Lunch",485,"49.3%","73.7%"
"=""1320011""","South Windsor School District","Eligible For Lunch",203,"40.4%","62.8%"
"=""1320011""","South Windsor School District","Not Eligible For Lunch",1304,"57.2%","77.4%"
"=""1310011""","Southington School District","Eligible For Lunch",398,"33.7%","56.3%"
"=""1310011""","Southington School District","Not Eligible For Lunch",2103,"40.3%","61.7%"
"=""1330011""","Sprague School District","Eligible For Lunch",83,"31.3%","59.4%"
"=""1330011""","Sprague School District","Not Eligible For Lunch",82,"40.2%","60.1%"
"=""1340011""","Stafford School District","Eligible For Lunch",196,"27.0%","56.9%"
"=""1340011""","Stafford School District","Not Eligible For Lunch",340,"46.2%","69.3%"
"=""1350011""","Stamford School District","Eligible For Lunch",2952,"33.3%","56.3%"
"=""1350011""","Stamford School District","Not Eligible For Lunch",2359,"47.8%","68.2%"
"=""0000000""","State of Connecticut","Eligible For Lunch",71907,"35.3%","57.2%"
"=""0000000""","State of Connecticut","Not Eligible For Lunch",113957,"49.2%","69.9%"
"=""1360011""","Sterling School District","Eligible For Lunch",72,"41.7%","65.9%"
"=""1360011""","Sterling School District","Not Eligible For Lunch",154,"47.4%","66.8%"
"=""1370011""","Stonington School District","Eligible For Lunch",150,"40.0%","64.1%"
"=""1370011""","Stonington School District","Not Eligible For Lunch",606,"49.7%","70.5%"
"=""1380011""","Stratford School District","Eligible For Lunch",1178,"40.3%","61.1%"
"=""1380011""","Stratford School District","Not Eligible For Lunch",1362,"48.8%","69.1%"
"=""1390011""","Suffield School District","Eligible For Lunch",88,"40.9%","64.2%"
"=""1390011""","Suffield School District","Not Eligible For Lunch",725,"42.6%","63.8%"
"=""2690013""","The Bridge Academy District","Eligible For Lunch",89,"50.6%","71.5%"
"=""2690013""","The Bridge Academy District","Not Eligible For Lunch",8,"*","*"
"=""9020022""","The Gilbert School District","Eligible For Lunch",72,"33.3%","50.8%"
"=""9020022""","The Gilbert School District","Not Eligible For Lunch",84,"41.7%","57.8%"
"=""1400011""","Thomaston School District","Eligible For Lunch",89,"36.0%","57.3%"
"=""1400011""","Thomaston School District","Not Eligible For Lunch",285,"38.2%","60.9%"
"=""1410011""","Thompson School District","Eligible For Lunch",143,"26.6%","47.3%"
"=""1410011""","Thompson School District","Not Eligible For Lunch",226,"27.9%","50.0%"
"=""1420011""","Tolland School District","Eligible For Lunch",84,"40.5%","62.2%"
"=""1420011""","Tolland School District","Not Eligible For Lunch",923,"49.4%","70.7%"
"=""1430011""","Torrington School District","Eligible For Lunch",780,"30.4%","51.3%"
"=""1430011""","Torrington School District","Not Eligible For Lunch",719,"33.0%","55.5%"
"=""2780013""","Trailblazers Academy District","Eligible For Lunch","*","20.8%","35.5%"
"=""2780013""","Trailblazers Academy District","Not Eligible For Lunch","*","*","*"
"=""1440011""","Trumbull School District","Eligible For Lunch",218,"56.0%","80.7%"
"=""1440011""","Trumbull School District","Not Eligible For Lunch",2128,"71.0%","89.8%"
"=""3470015""","Unified School District #2","Eligible For Lunch","*","*","*"
"=""1450011""","Union School District","Not Eligible For Lunch",39,"56.4%","73.9%"
"=""1460011""","Vernon School District","Eligible For Lunch",509,"38.3%","60.8%"
"=""1460011""","Vernon School District","Not Eligible For Lunch",563,"46.9%","70.9%"
"=""1470011""","Voluntown School District","Eligible For Lunch",32,"40.6%","71.6%"
"=""1470011""","Voluntown School District","Not Eligible For Lunch",112,"52.7%","76.2%"
"=""1480011""","Wallingford School District","Eligible For Lunch",429,"37.1%","58.7%"
"=""1480011""","Wallingford School District","Not Eligible For Lunch",1741,"38.2%","60.9%"
"=""1510011""","Waterbury School District","Eligible For Lunch",5297,"29.5%","50.6%"
"=""1510011""","Waterbury School District","Not Eligible For Lunch",1057,"35.6%","56.3%"
"=""1520011""","Waterford School District","Eligible For Lunch",208,"34.1%","55.0%"
