"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0690011""","Killingly School District","Non-ELL",750,"40.7%","63.6%"
"=""2450014""","Learn","ELL",35,"40.0%","61.8%"
"=""2450014""","Learn","Non-ELL",265,"41.5%","65.9%"
"=""0710011""","Lebanon School District","Non-ELL",333,"41.7%","65.4%"
"=""0720011""","Ledyard School District","ELL",9,"*","*"
"=""0720011""","Ledyard School District","Non-ELL",769,"48.2%","70.4%"
"=""0730011""","Lisbon School District","ELL","*","*","*"
"=""0730011""","Lisbon School District","Non-ELL","*","43.1%","68.5%"
"=""0740011""","Litchfield School District","Non-ELL",372,"57.3%","74.7%"
"=""0760011""","Madison School District","ELL","*","*","*"
"=""0760011""","Madison School District","Non-ELL","*","41.2%","59.5%"
"=""0770011""","Manchester School District","ELL",74,"27.0%","48.1%"
"=""0770011""","Manchester School District","Non-ELL",1890,"32.8%","54.8%"
"=""0780011""","Mansfield School District","ELL",7,"*","*"
"=""0780011""","Mansfield School District","Non-ELL",534,"53.4%","70.5%"
"=""0790011""","Marlborough School District","Non-ELL",252,"60.3%","84.1%"
"=""0800011""","Meriden School District","ELL",295,"38.3%","61.4%"
"=""0800011""","Meriden School District","Non-ELL",2154,"40.6%","64.4%"
"=""0830011""","Middletown School District","ELL",34,"41.2%","57.0%"
"=""0830011""","Middletown School District","Non-ELL",1573,"37.4%","57.3%"
"=""0840011""","Milford School District","ELL",27,"63.0%","83.5%"
"=""0840011""","Milford School District","Non-ELL",2157,"45.9%","66.8%"
"=""0850011""","Monroe School District","ELL","*","*","*"
"=""0850011""","Monroe School District","Non-ELL","*","49.7%","70.8%"
"=""0860011""","Montville School District","ELL",16,"*","*"
"=""0860011""","Montville School District","Non-ELL",817,"45.8%","67.9%"
"=""0880011""","Naugatuck School District","ELL",57,"45.6%","69.1%"
"=""0880011""","Naugatuck School District","Non-ELL",1481,"32.6%","54.1%"
"=""2800013""","New Beginnings Inc Family Academy District","Non-ELL",169,"31.4%","54.3%"
"=""0890011""","New Britain School District","ELL",469,"27.5%","49.2%"
"=""0890011""","New Britain School District","Non-ELL",2674,"24.4%","44.0%"
"=""0900011""","New Canaan School District","ELL",11,"*","*"
"=""0900011""","New Canaan School District","Non-ELL",1547,"59.7%","77.7%"
"=""0910011""","New Fairfield School District","ELL",10,"*","*"
"=""0910011""","New Fairfield School District","Non-ELL",769,"58.8%","79.7%"
"=""0920011""","New Hartford School District","Non-ELL",196,"32.1%","56.8%"
"=""0930011""","New Haven School District","ELL",1059,"43.0%","66.3%"
"=""0930011""","New Haven School District","Non-ELL",5737,"40.5%","63.0%"
"=""0950011""","New London School District","ELL",215,"25.1%","48.3%"
"=""0950011""","New London School District","Non-ELL",797,"27.6%","49.8%"
"=""0960011""","New Milford School District","ELL",38,"39.5%","63.1%"
"=""0960011""","New Milford School District","Non-ELL",1402,"44.3%","64.6%"
"=""0940011""","Newington School District","ELL",28,"35.7%","54.7%"
"=""0940011""","Newington School District","Non-ELL",1494,"37.7%","56.4%"
"=""0970011""","Newtown School District","ELL","*","*","*"
"=""0970011""","Newtown School District","Non-ELL","*","59.1%","78.0%"
"=""0980011""","Norfolk School District","Non-ELL",44,"50.0%","69.8%"
"=""0990011""","North Branford School District","ELL",6,"*","*"
"=""0990011""","North Branford School District","Non-ELL",699,"45.6%","66.2%"
"=""1000011""","North Canaan School District","ELL","*","*","*"
"=""1000011""","North Canaan School District","Non-ELL","*","49.5%","73.6%"
"=""1010011""","North Haven School District","ELL",14,"*","*"
"=""1010011""","North Haven School District","Non-ELL",1116,"69.8%","90.7%"
"=""1020011""","North Stonington School District","Non-ELL",264,"49.2%","67.5%"
"=""1030011""","Norwalk School District","ELL",504,"34.3%","55.3%"
"=""1030011""","Norwalk School District","Non-ELL",3411,"37.6%","59.1%"
"=""1040011""","Norwich School District","ELL",192,"40.1%","61.3%"
"=""1040011""","Norwich School District","Non-ELL",1451,"37.4%","59.5%"
"=""2630013""","Odyssey Community School District","ELL","*","*","*"
"=""2630013""","Odyssey Community School District","Non-ELL","*","33.7%","54.7%"
"=""1060011""","Old Saybrook School District","ELL",6,"*","*"
"=""1060011""","Old Saybrook School District","Non-ELL",497,"49.3%","70.7%"
"=""1070011""","Orange School District","ELL",6,"*","*"
"=""1070011""","Orange School District","Non-ELL",508,"50.2%","74.3%"
"=""1080011""","Oxford School District","ELL",11,"*","*"
"=""1080011""","Oxford School District","Non-ELL",764,"47.9%","70.6%"
"=""2830013""","Park City Prep Charter School District","ELL","*","*","*"
"=""2830013""","Park City Prep Charter School District","Non-ELL","*","57.8%","77.3%"
"=""1090011""","Plainfield School District","ELL",6,"*","*"
"=""1090011""","Plainfield School District","Non-ELL",793,"56.2%","79.7%"
"=""1100011""","Plainville School District","ELL",28,"17.9%","53.2%"
"=""1100011""","Plainville School District","Non-ELL",828,"40.5%","64.1%"
"=""1110011""","Plymouth School District","ELL",7,"*","*"
"=""1110011""","Plymouth School District","Non-ELL",532,"49.8%","73.8%"
"=""1120011""","Pomfret School District","ELL","*","*","*"
"=""1120011""","Pomfret School District","Non-ELL","*","49.1%","68.4%"
"=""1130011""","Portland School District","ELL","*","*","*"
"=""1130011""","Portland School District","Non-ELL","*","47.5%","70.5%"
"=""1140011""","Preston School District","ELL","*","*","*"
"=""1140011""","Preston School District","Non-ELL","*","42.2%","62.2%"
"=""1160011""","Putnam School District","ELL",8,"*","*"
"=""1160011""","Putnam School District","Non-ELL",387,"48.3%","69.8%"
"=""1170011""","Redding School District","ELL","*","*","*"
"=""1170011""","Redding School District","Non-ELL","*","55.6%","74.9%"
"=""2010012""","Regional School District 01","Non-ELL","*","*","*"
"=""2040012""","Regional School District 04","ELL","*","*","*"
"=""2040012""","Regional School District 04","Non-ELL","*","41.5%","59.0%"
"=""2050012""","Regional School District 05","ELL","*","*","*"
"=""2050012""","Regional School District 05","Non-ELL","*","58.1%","74.0%"
"=""2060012""","Regional School District 06","ELL","*","*","*"
"=""2060012""","Regional School District 06","Non-ELL","*","40.7%","59.9%"
"=""2070012""","Regional School District 07","Non-ELL",286,"59.4%","76.4%"
"=""2080012""","Regional School District 08","Non-ELL",549,"42.4%","59.4%"
"=""2100012""","Regional School District 10","ELL",9,"*","*"
"=""2100012""","Regional School District 10","Non-ELL",902,"40.4%","60.1%"
"=""2110012""","Regional School District 11","Non-ELL",80,"47.5%","67.2%"
"=""2120012""","Regional School District 12","ELL","*","*","*"
"=""2120012""","Regional School District 12","Non-ELL","*","62.7%","83.5%"
"=""2130012""","Regional School District 13","Non-ELL",669,"47.1%","69.5%"
"=""2140012""","Regional School District 14","ELL",8,"*","*"
"=""2140012""","Regional School District 14","Non-ELL",534,"33.9%","55.7%"
"=""2150012""","Regional School District 15","ELL","*","*","*"
"=""2150012""","Regional School District 15","Non-ELL","*","51.7%","72.3%"
"=""2160012""","Regional School District 16","ELL",8,"*","*"
"=""2160012""","Regional School District 16","Non-ELL",770,"41.2%","63.2%"
"=""2170012""","Regional School District 17","ELL","*","*","*"
"=""2170012""","Regional School District 17","Non-ELL","*","54.0%","74.8%"
"=""2180012""","Regional School District 18","ELL","*","*","*"
"=""2180012""","Regional School District 18","Non-ELL","*","58.2%","75.5%"
"=""1180011""","Ridgefield School District","ELL",9,"*","*"
"=""1180011""","Ridgefield School District","Non-ELL",1843,"54.2%","74.1%"
"=""1190011""","Rocky Hill School District","ELL",31,"45.2%","66.6%"
"=""1190011""","Rocky Hill School District","Non-ELL",859,"49.2%","69.3%"
"=""1210011""","Salem School District","Non-ELL",195,"50.3%","68.6%"
"=""1220011""","Salisbury School District","Non-ELL",125,"56.0%","76.0%"
"=""1230011""","Scotland School District","Non-ELL",44,"34.1%","62.8%"
"=""1240011""","Seymour School District","ELL",11,"*","*"
"=""1240011""","Seymour School District","Non-ELL",844,"48.6%","70.4%"
"=""1250011""","Sharon School District","Non-ELL",68,"50.0%","66.9%"
"=""1260011""","Shelton School District","ELL",39,"41.0%","63.4%"
"=""1260011""","Shelton School District","Non-ELL",1801,"49.6%","70.6%"
"=""1270011""","Sherman School District","ELL","*","*","*"
"=""1270011""","Sherman School District","Non-ELL","*","52.5%","78.7%"
"=""2700013""","Side By Side Charter School District","ELL","*","*","*"
"=""2700013""","Side By Side Charter School District","Non-ELL","*","55.8%","76.2%"
"=""1280011""","Simsbury School District","ELL",10,"*","*"
"=""1280011""","Simsbury School District","Non-ELL",1534,"53.7%","73.9%"
"=""1290011""","Somers School District","Non-ELL",535,"48.2%","72.1%"
"=""1320011""","South Windsor School District","ELL",24,"41.7%","68.5%"
"=""1320011""","South Windsor School District","Non-ELL",1483,"55.2%","75.6%"
"=""1310011""","Southington School District","ELL",13,"*","*"
"=""1310011""","Southington School District","Non-ELL",2488,"39.3%","60.8%"
"=""1330011""","Sprague School District","ELL","*","*","*"
"=""1330011""","Sprague School District","Non-ELL","*","36.0%","60.0%"
"=""1340011""","Stafford School District","ELL","*","*","*"
"=""1340011""","Stafford School District","Non-ELL","*","39.1%","64.7%"
"=""1350011""","Stamford School District","ELL",615,"36.9%","58.0%"
"=""1350011""","Stamford School District","Non-ELL",4696,"40.1%","62.0%"
"=""0000000""","State of Connecticut","ELL",9775,"37.4%","59.5%"
"=""0000000""","State of Connecticut","Non-ELL",176089,"44.2%","65.3%"
"=""1360011""","Sterling School District","Non-ELL",226,"45.6%","66.5%"
"=""1370011""","Stonington School District","ELL","*","*","*"
"=""1370011""","Stonington School District","Non-ELL","*","47.7%","69.2%"
"=""1380011""","Stratford School District","ELL",98,"49.0%","71.9%"
"=""1380011""","Stratford School District","Non-ELL",2442,"44.7%","65.1%"
"=""1390011""","Suffield School District","ELL","*","*","*"
"=""1390011""","Suffield School District","Non-ELL","*","42.3%","63.7%"
"=""2690013""","The Bridge Academy District","ELL","*","*","*"
"=""2690013""","The Bridge Academy District","Non-ELL","*","50.0%","71.1%"
"=""9020022""","The Gilbert School District","ELL","*","*","*"
"=""9020022""","The Gilbert School District","Non-ELL","*","37.0%","53.8%"
"=""1400011""","Thomaston School District","ELL","*","*","*"
"=""1400011""","Thomaston School District","Non-ELL","*","38.1%","60.2%"
"=""1410011""","Thompson School District","ELL","*","*","*"
"=""1410011""","Thompson School District","Non-ELL","*","27.2%","48.8%"
"=""1420011""","Tolland School District","ELL","*","*","*"
"=""1420011""","Tolland School District","Non-ELL","*","48.7%","70.1%"
"=""1430011""","Torrington School District","ELL",84,"28.6%","46.7%"
"=""1430011""","Torrington School District","Non-ELL",1415,"31.8%","53.7%"
"=""2780013""","Trailblazers Academy District","ELL","*","*","*"
"=""2780013""","Trailblazers Academy District","Non-ELL","*","19.8%","33.8%"
"=""1440011""","Trumbull School District","ELL",18,"*","*"
"=""1440011""","Trumbull School District","Non-ELL",2328,"69.8%","89.1%"
"=""3470015""","Unified School District #2","Non-ELL","*","*","*"
"=""1450011""","Union School District","Non-ELL",39,"56.4%","73.9%"
"=""1460011""","Vernon School District","ELL",23,"39.1%","65.3%"
"=""1460011""","Vernon School District","Non-ELL",1049,"42.9%","66.1%"
"=""1470011""","Voluntown School District","Non-ELL",144,"50.0%","75.2%"
"=""1480011""","Wallingford School District","ELL",96,"38.5%","59.3%"
"=""1480011""","Wallingford School District","Non-ELL",2074,"37.9%","60.5%"
"=""1510011""","Waterbury School District","ELL",762,"33.1%","54.1%"
"=""1510011""","Waterbury School District","Non-ELL",5592,"30.2%","51.2%"
"=""1520011""","Waterford School District","ELL",14,"*","*"
"=""1520011""","Waterford School District","Non-ELL",955,"46.6%","66.8%"
"=""1530011""","Watertown School District","ELL",18,"*","*"
"=""1530011""","Watertown School District","Non-ELL",1027,"36.9%","59.5%"
"=""1550011""","West Hartford School District","ELL",132,"40.9%","65.6%"
"=""1550011""","West Hartford School District","Non-ELL",3362,"46.1%","65.8%"
"=""1560011""","West Haven School District","ELL",184,"42.4%","66.4%"
"=""1560011""","West Haven School District","Non-ELL",1830,"47.5%","69.8%"
"=""1540011""","Westbrook School District","ELL",9,"*","*"
"=""1540011""","Westbrook School District","Non-ELL",251,"60.2%","81.6%"
"=""1570011""","Weston School District","ELL","*","*","*"
"=""1570011""","Weston School District","Non-ELL","*","46.2%","66.0%"
"=""1580011""","Westport School District","ELL",6,"*","*"
"=""1580011""","Westport School District","Non-ELL",2057,"50.6%","69.4%"
"=""1590011""","Wethersfield School District","ELL",75,"52.0%","72.2%"
"=""1590011""","Wethersfield School District","Non-ELL",1208,"60.3%","80.4%"
"=""1600011""","Willington School District","ELL","*","*","*"
"=""1600011""","Willington School District","Non-ELL","*","46.1%","70.5%"
"=""1610011""","Wilton School District","ELL","*","*","*"
"=""1610011""","Wilton School District","Non-ELL","*","60.0%","80.5%"
"=""1620011""","Winchester School District","ELL",11,"*","*"
"=""1620011""","Winchester School District","Non-ELL",207,"36.2%","58.0%"
"=""1630011""","Windham School District","ELL",258,"34.1%","58.8%"
"=""1630011""","Windham School District","Non-ELL",872,"45.1%","66.5%"
"=""1650011""","Windsor Locks School District","ELL",18,"*","*"
"=""1650011""","Windsor Locks School District","Non-ELL",550,"45.5%","65.9%"
"=""1640011""","Windsor School District","ELL",26,"53.8%","75.1%"
"=""1640011""","Windsor School District","Non-ELL",999,"39.3%","63.6%"
"=""1660011""","Wolcott School District","ELL",8,"*","*"
"=""1660011""","Wolcott School District","Non-ELL",891,"50.3%","72.3%"
"=""1670011""","Woodbridge School District","ELL",6,"*","*"
"=""1670011""","Woodbridge School District","Non-ELL",280,"65.4%","87.1%"
"=""1690011""","Woodstock School District","Non-ELL",457,"37.2%","58.7%"

