"Five-Year Graduation Rates, 2012-13"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"The Gilbert School District",86,72,83.7,"*","*","*","*"
"Thomaston School District",78,74,94.9,"*","*","*","*"
"Thompson School District",85,79,92.9,"*","*","*","*"
"Tolland School District",244,230,94.3,"*","*","*","*"
"Torrington School District",275,246,89.5,7,2.5,22,8.0
"Trumbull School District",550,541,98.4,"*","*","*","*"
"Unified School District #1",447,10,2.2,79,17.7,358,80.1
"Unified School District #2",45,"*","*","*","*",30,66.7
"Vernon School District",238,203,85.3,"*","*","*","*"
"Wallingford School District",535,496,92.7,9,1.7,30,5.6
"Waterbury School District",1297,890,68.6,20,1.5,387,29.8
"Waterford School District",242,223,92.1,9,3.7,10,4.1
"Watertown School District",272,242,89.0,8,2.9,22,8.1
"West Hartford School District",832,790,95.0,7,0.8,35,4.2
"West Haven School District",437,311,71.2,15,3.4,111,25.4
"Westbrook School District",78,75,96.2,"*","*","*","*"
"Weston School District",208,206,99.0,"*","*","*","*"
"Westport School District",465,461,99.1,"*","*","*","*"
"Wethersfield School District",269,247,91.8,7,2.6,15,5.6
"Wilton School District",326,315,96.6,"*","*","*","*"
"Windham School District",194,159,82.0,"*","*","*","*"
"Windsor Locks School District",140,128,91.4,"*","*","*","*"
"Windsor School District",345,312,90.4,"*","*","*","*"
"Wolcott School District",221,209,94.6,"*","*","*","*"
"Woodstock Academy District",282,271,96.1,"*","*","*","*"

