"Five-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"Regional School District 13",141,132,93.6,"*","*","*","*"
"Regional School District 14",218,211,96.8,"*","*","*","*"
"Regional School District 15",389,365,93.8,"*","*","*","*"
"Regional School District 16",197,176,89.3,6,3.0,15,7.6
"Regional School District 17",180,170,94.4,"*","*","*","*"
"Regional School District 18",135,131,97.0,"*","*","*","*"
"Regional School District 19",284,245,86.3,11,3.9,28,9.9
"Ridgefield School District",434,420,96.8,"*","*","*","*"
"Rocky Hill School District",176,163,92.6,"*","*","*","*"
"Seymour School District",189,164,86.8,"*","*","*","*"
"Shelton School District",399,365,91.5,9,2.3,25,6.3
"Simsbury School District",358,345,96.4,"*","*","*","*"
"Somers School District",144,138,95.8,"*","*","*","*"
"South Windsor School District",425,394,92.7,"*","*","*","*"
"Southington School District",543,511,94.1,8,1.5,24,4.4
"Stafford School District",136,117,86.0,"*","*","*","*"
"Stamford Academy District",52,30,57.7,8,15.4,14,26.9
"Stamford School District",1189,1054,88.6,20,1.7,115,9.7
"Stonington School District",212,200,94.3,"*","*","*","*"
"Stratford School District",579,519,89.6,13,2.2,47,8.1
"Suffield School District",215,208,96.7,"*","*","*","*"
"The Bridge Academy District",28,27,96.4,"*","*","*","*"
"The Gilbert School District",73,60,82.2,"*","*","*","*"
"Thomaston School District",104,97,93.3,"*","*","*","*"
"Thompson School District",95,85,89.5,"*","*","*","*"
"Tolland School District",224,211,94.2,"*","*","*","*"
"Torrington School District",286,230,80.4,"*","*","*","*"
"Trumbull School District",502,496,98.8,"*","*","*","*"
"Unified School District #1",630,12,1.9,30,4.8,577,91.6
"Unified School District #2",38,16,42.1,7,18.4,15,39.5
"Vernon School District",291,245,84.2,"*","*","*","*"
"Wallingford School District",561,501,89.3,12,2.1,48,8.6
"Waterbury School District",1303,893,68.5,14,1.1,396,30.4
"Waterford School District",271,251,92.6,"*","*","*","*"
"Watertown School District",246,222,90.2,"*","*","*","*"
"West Hartford School District",829,772,93.1,14,1.7,43,5.2
"West Haven School District",458,327,71.4,6,1.3,125,27.3
"Westbrook School District",75,71,94.7,"*","*","*","*"
"Weston School District",195,193,99.0,"*","*","*","*"
"Westport School District",475,462,97.3,7,1.5,6,1.3
"Wethersfield School District",305,283,92.8,"*","*","*","*"
"Wilton School District",306,303,99.0,"*","*","*","*"
"Windham School District",260,178,68.5,9,3.5,73,28.1
"Windsor Locks School District",133,117,88.0,7,5.3,9,6.8
"Windsor School District",352,306,86.9,9,2.6,37,10.5
"Wolcott School District",226,214,94.7,"*","*","*","*"
"Woodstock Academy District",299,284,95.0,"*","*","*","*"

