"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",70.5,90.0
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",69.9,90.8
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""",*,*
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",58.7,73.7
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",56.1,81.6
"Waterbury School District","=""1510011""","State Street School","=""1519011""",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",76.7,83.7
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",52.7,63.0
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",82.6,93.6
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",76.7,92.9
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",80.3,84.2
"West Hartford School District","=""1550011""","Achieve","=""1559111""",*,*
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",83.2,90.1
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",84.9,92.7
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""",*,*
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""",*,*
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",63.9,87.9
"Weston School District","=""1570011""","Weston High School","=""1576111""",90.9,96.9
"Westport School District","=""1580011""","Staples High School","=""1586111""",90.8,96.5
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",81.4,93.6
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",87.7,96.9
"Windham School District","=""1630011""","Windham High School","=""1636111""",53.6,75.7
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",76.9,83.7
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",69.3,83.0
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",76.9,89.1
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",66.7,87.5
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",77.3,93.1
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",86.5,95.5
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",79.1,88.2
"Regional School District 07","=""2070012""","AIM","=""2079112""",*,*
"Regional School District 07","=""2070012""","Intensive Learning Program","=""2079412""",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",77.4,87.5
"Regional School District 07","=""2070012""","STEP","=""2079312""",*,*
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",83.2,95.2
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""",*,*
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",86.1,95.7
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",81.1,93.0
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",73.5,84.0
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",67.1,92.5
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",83.7,95.4
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",81.3,91.7
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",82.6,91.1
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",75.9,89.4
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",84.7,90.6
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",91.5,92.8
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",69.7,88.8
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",83.3,88.0
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",*,*
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",84.0,76.5
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",*,*
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",*,*
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",*,*
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",81.4,85.7
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",84.8,87.2
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",73.7,64.3
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",*,*
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",*,*
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",*,*
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""",*,*
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",*,*
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",*,*
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",70.8,84.1
"Learn","=""2450014""","Learn Special Education","=""2459014""",*,*
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",78.3,*
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",67.7,61.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",66.7,77.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",34.8,*
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",65.5,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",87.5,82.1
"Explorations District","=""2720013""","Explorations","=""2726113""",*,*
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",69.6,*
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",24.0,*
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",*,*
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""",*,*
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""",*,*
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""",*,*
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",*,*
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",60.1,62.6
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",54.7,86.0
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",46.4,57.8
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",32.4,67.6
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",40.2,65.3
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",46.3,70.2
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",44.2,71.1
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",27.1,72.4
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",50.4,85.7
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",50.3,75.6
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",43.0,70.8
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",47.1,81.8
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",51.7,87.7
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",40.7,76.4
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",56.7,82.4
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",41.4,77.4
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",70.2,88.1
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",66.2,76.5
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",77.4,90.7

