"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"New Britain School District","=""0890011""","CLIMB","=""0899411""",*,*
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",57.2,76.7
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",*,*
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",87.0,96.9
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",83.5,92.8
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",73.8,82.2
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",47.7,85.7
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",77.6,82.0
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",61.3,*
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",55.5,77.4
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",60.0,77.1
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",73.2,75.6
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",44.0,*
"New Haven School District","=""0930011""","Sound School","=""0936711""",70.3,75.0
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",54.3,75.6
"Newington School District","=""0940011""","Newington High School","=""0946111""",77.5,92.2
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""",*,*
"New London School District","=""0950011""","New London High School","=""0956111""",56.4,75.2
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""",*,*
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",75.2,93.2
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",85.1,91.9
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",79.9,93.1
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",81.1,91.6
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",74.5,80.0
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",77.4,92.3
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",78.5,91.8
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",*,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",*,*
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",84.2,90.2
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",83.3,91.2
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",48.0,75.6
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",78.6,89.8
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",60.9,85.7
"Portland School District","=""1130011""","Portland High School","=""1136111""",84.1,98.6
"Putnam School District","=""1160011""","Helping Hands","=""1169011""",*,*
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",60.8,72.9
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",87.9,96.3
"Ridgefield School District","=""1180011""","Ridgefield Transition Program","=""1189011""",*,*
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",83.6,91.3
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",75.8,89.9
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",80.5,88.9
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",86.3,95.0
"Somers School District","=""1290011""","Somers High School","=""1296111""",81.9,94.1
"Southington School District","=""1310011""","Southington High School","=""1316211""",78.8,89.0
"South Windsor School District","=""1320011""","Project Worth Young Adult Academy","=""1329011""",*,*
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",82.3,93.0
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",67.8,87.2
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",73.9,88.0
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",85.3,96.4
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",71.7,89.7
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",76.8,89.7
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",78.2,90.4
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""",*,*
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",68.5,89.1
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""",*,*
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",82.1,94.7
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",64.9,89.6
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",61.0,90.0
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",77.2,94.2
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",60.2,89.4
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",84.8,92.9
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""",*,*
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",67.5,86.3
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",72.1,88.0
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",80.5,95.5
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""",*,*
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",53.1,76.0
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",61.5,78.0
"Waterbury School District","=""1510011""","State Street School","=""1519011""",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",70.7,87.7
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",46.7,73.9
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",71.2,83.2
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",80.7,90.5
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",70.5,85.5
"West Hartford School District","=""1550011""","Achieve","=""1559111""",*,*
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",85.7,93.7
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",86.2,92.8
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""",*,*
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""",*,*
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",62.8,80.9
"Weston School District","=""1570011""","Weston High School","=""1576111""",90.1,97.3
"Westport School District","=""1580011""","Staples High School","=""1586111""",88.5,97.3
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",86.6,90.6
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",85.8,96.7
"Winchester School District","=""1620011""","WISE Academy","=""1620111""",*,*
"Windham School District","=""1630011""","Windham High School","=""1636111""",59.6,74.5
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",75.7,90.0
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",64.4,92.9
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",78.2,90.9
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",54.5,94.5
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",75.6,89.8
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",88.0,94.3
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",71.7,89.4
"Regional School District 07","=""2070012""","AIM","=""2079112""",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",72.4,88.6
"Regional School District 07","=""2070012""","STEP","=""2079312""",*,*
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",79.3,95.3
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""",*,*
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",87.1,95.4
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",81.4,92.8
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",69.4,80.0
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",81.0,92.2
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",86.0,87.8
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",85.8,88.5
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",81.8,93.7
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",79.1,94.3
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",83.5,92.4
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",80.6,95.4
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",75.2,93.0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",82.4,89.3
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",*,*
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",75.3,83.6
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",*,*
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",82.8,86.1
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",*,*
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",*,*
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",*,*
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""",*,*
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",*,*
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",*,*
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",*,*
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",79.2,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",42.9,*
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",62.9,81.8
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",75.8,60.0
"Explorations District","=""2720013""","Explorations","=""2726113""",34.8,*
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",85.7,*
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",*,*
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",*,*
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""",*,*
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""",*,*
"Unified School District #2","=""3470015""","Riverview School","=""3470315""",*,*
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",52.6,76.3
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",62.4,73.7
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",45.2,66.1
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",33.0,48.5
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",43.1,77.4
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",41.7,87.5
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",50.8,82.2
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",34.5,59.0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",42.7,72.1
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",49.7,79.3
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",42.1,62.5
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",43.0,71.8
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",45.4,84.9
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",43.6,72.4
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",52.1,89.8
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",44.6,75.9
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",73.1,86.2
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",74.3,78.8
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",79.0,90.7

