"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",67.1,81.6
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",77.6,85.6
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",82.1,91.5
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",73.4,90.4
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""",49.4,70.6
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",85.2,91.3
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",81.9,91.2
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",41.0,64.0
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",44.3,79.1
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",50.9,67.3
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",58.5,75.0
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",38.1,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",77.9,83.6
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",67.0,84.6
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",82.9,87.9
"Hartford School District","=""0640011""","Weaver High School","=""0646311""",39.7,67.3
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",51.0,82.4
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",70.7,87.5
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",67.5,83.9
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",*,*
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",83.9,87.7
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",85.7,96.2
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",67.2,85.6
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",*,*
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",65.2,79.8
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",59.6,78.5
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",72.7,86.5
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",73.4,94.5
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",80.1,92.9
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",84.2,96.1
"Montville School District","=""0860011""","Montville High School","=""0866111""",73.4,82.7
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",67.4,89.1
"New Britain School District","=""0890011""","Academic Extension Center","=""0899211""",*,*
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",57.6,79.8
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",*,*
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",78.8,95.9
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",80.3,91.3
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",69.1,72.3
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",65.5,80.6
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",80.7,86.8
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",66.7,90.9
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",61.1,78.8
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",62.5,60.0
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",66.0,87.9
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",38.3,*
"New Haven School District","=""0930011""","Sound School","=""0936711""",72.7,77.5
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",51.8,65.7
"Newington School District","=""0940011""","Newington High School","=""0946111""",82.5,89.4
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""",*,*
"New London School District","=""0950011""","New London High School","=""0956111""",56.5,79.0
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""",*,*
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",74.6,91.7
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",85.4,90.9
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",79.7,93.3
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",81.5,92.3
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",72.1,81.8
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",74.9,90.4
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",73.9,86.7
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",39.4,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",*,*
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",88.5,96.0
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",79.2,90.7
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",57.4,84.2
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",71.3,85.9
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",61.5,81.3
"Portland School District","=""1130011""","Portland High School","=""1136111""",74.1,88.3
"Putnam School District","=""1160011""","Helping Hands","=""1169011""",*,*
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",54.8,79.4
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",86.0,95.0
"Ridgefield School District","=""1180011""","Ridgefield Transition Program","=""1189011""",*,*
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",81.3,90.4
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",80.0,88.3
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",75.4,91.2
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",80.6,95.7
"Somers School District","=""1290011""","Somers High School","=""1296111""",78.3,92.6
"Southington School District","=""1310011""","Southington High School","=""1316211""",80.7,89.5
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",83.1,91.8
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",66.4,90.7
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",73.5,86.6
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",84.3,92.9
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",70.2,88.7
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",82.1,91.3
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",75.9,88.4
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""",*,*
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",71.5,82.4
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""",*,*
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",82.4,89.9
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",70.4,88.4
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",64.7,87.3
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",84.1,88.6
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",68.2,87.0
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",82.9,93.2
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""",*,*
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",68.7,85.6
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",70.0,91.5
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",77.0,93.7
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""",*,*
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",53.5,77.4
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",63.5,84.2
"Waterbury School District","=""1510011""","State Street School","=""1519011""",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",72.8,89.2
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",46.6,71.6
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",79.7,83.0
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",74.5,86.6
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",80.6,91.4
"West Hartford School District","=""1550011""","Achieve","=""1559111""",*,*
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",83.7,92.7
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",82.4,92.2
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""",*,*
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",66.6,84.2
"Weston School District","=""1570011""","Weston High School","=""1576111""",87.5,97.0
"Westport School District","=""1580011""","Staples High School","=""1586111""",79.0,96.2
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",79.2,89.5
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",87.5,96.6
"Windham School District","=""1630011""","Partial Day Program","=""1638411""",*,*
"Windham School District","=""1630011""","Windham High School","=""1636111""",61.2,81.7
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",72.7,85.0
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",61.0,91.7
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",74.1,89.4
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",59.8,91.8
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",69.3,92.3
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",83.1,94.7
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",72.5,89.4
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",73.8,91.9
"Regional School District 07","=""2070012""","STEP","=""2079312""",*,*
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",84.7,93.3
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",81.1,93.0
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",82.7,93.0
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",71.4,100.0
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",67.9,85.5
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",88.5,94.8
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",80.0,89.3
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",82.8,94.4
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",75.8,88.9
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",74.6,90.5
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",75.6,85.9
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",73.5,94.0
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",*,*
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",68.2,74.7
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",77.6,84.2
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",81.1,87.0
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",*,*
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",*,*
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""",*,*
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",*,*
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",51.5,*
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",51.4,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",79.3,78.3
"Explorations District","=""2720013""","Explorations","=""2726113""",32.0,*
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",90.5,*
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",45.5,*
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""",*,*
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",*,*
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",54.3,69.7
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",60.1,81.8
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",36.0,75.0
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",46.0,71.7
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",37.5,66.7
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",45.1,74.5
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",40.7,76.4
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",33.9,69.2
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",42.4,78.1
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",42.9,86.0
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",39.1,72.1
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",42.7,71.1
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",42.9,82.9
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",33.6,71.4
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",47.3,82.6
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",44.2,71.7
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",73.0,87.7
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",83.1,91.8
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",80.1,89.4

