"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Special Education Status","Entrance(%)","Persistence(%)"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Students with Disabilities",*,*
"Hartford School District","=""0640011""","University High School of Science and Engineering","Students with Disabilities",*,*
"Hartford School District","=""0640011""","Weaver High School","Students with Disabilities",28.0,*
"Killingly School District","=""0690011""","Killingly High School","Students with Disabilities",*,*
"Lebanon School District","=""0710011""","Lyman Memorial High School","Students with Disabilities",*,*
"Ledyard School District","=""0720011""","Ledyard High School","Students with Disabilities",39.1,*
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","Students with Disabilities",*,*
"Litchfield School District","=""0740011""","Litchfield High School","Students with Disabilities",*,*
"Madison School District","=""0760011""","Daniel Hand High School","Students with Disabilities",80.0,87.5
"Manchester School District","=""0770011""","Manchester High School","Students with Disabilities",37.0,*
"Manchester School District","=""0770011""","Manchester Regional Academy","Students with Disabilities",*,*
"Manchester School District","=""0770011""","Manchester Transition Center","Students with Disabilities",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","Students with Disabilities",40.0,*
"Meriden School District","=""0800011""","Orville H. Platt High School","Students with Disabilities",26.9,*
"Middletown School District","=""0830011""","Middletown High School","Students with Disabilities",63.6,71.4
"Milford School District","=""0840011""","Jonathan Law High School","Students with Disabilities",46.9,*
"Milford School District","=""0840011""","Joseph A. Foran High School","Students with Disabilities",58.8,95.0
"Monroe School District","=""0850011""","Masuk High School","Students with Disabilities",42.9,*
"Montville School District","=""0860011""","Montville High School","Students with Disabilities",*,*
"Montville School District","=""0860011""","Palmer Academy","Students with Disabilities",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","Students with Disabilities",45.9,*
"New Britain School District","=""0890011""","New Britain High School","Students with Disabilities",34.9,59.1
"New Britain School District","=""0890011""","New Britain Transition Center","Students with Disabilities",*,*
"New Canaan School District","=""0900011""","New Canaan High School","Students with Disabilities",71.9,82.6
"New Fairfield School District","=""0910011""","New Fairfield High School","Students with Disabilities",63.0,*
"New Haven School District","=""0930011""","Cooperative High School","Students with Disabilities",*,*
"New Haven School District","=""0930011""","High School In The Community","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Hill Regional Career High School","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","Students with Disabilities",*,*
"New Haven School District","=""0930011""","James Hillhouse High School","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Metropolitan Business Academy","Students with Disabilities",*,*
"New Haven School District","=""0930011""","New Haven Academy","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Sound School","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Wilbur Cross High School","Students with Disabilities",26.7,*
"Newington School District","=""0940011""","Newington High School","Students with Disabilities",60.7,*
"New London School District","=""0950011""","New London Clinical Day Program","Students with Disabilities",*,*
"New London School District","=""0950011""","New London High School","Students with Disabilities",*,*
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","Students with Disabilities",*,*
"New Milford School District","=""0960011""","New Milford High School","Students with Disabilities",48.6,*
"Newtown School District","=""0970011""","Newtown High School","Students with Disabilities",56.3,74.1
"North Branford School District","=""0990011""","North Branford High School","Students with Disabilities",48.3,*
"North Haven School District","=""1010011""","North Haven High School","Students with Disabilities",54.5,*
"North Stonington School District","=""1020011""","Wheeler High School","Students with Disabilities",*,*
"Norwalk School District","=""1030011""","Brien McMahon High School","Students with Disabilities",52.9,85.2
"Norwalk School District","=""1030011""","Norwalk High School","Students with Disabilities",43.9,*
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","Students with Disabilities",*,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","Students with Disabilities",*,*
"Norwich School District","=""1040011""","Thames River Academy","Students with Disabilities",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","Students with Disabilities",*,*
"Oxford School District","=""1080011""","Oxford High School","Students with Disabilities",*,*
"Plainfield School District","=""1090011""","Plainfield High School","Students with Disabilities",25.7,*
"Plainville School District","=""1100011""","Plainville High School","Students with Disabilities",33.3,*
"Plymouth School District","=""1110011""","Terryville High School","Students with Disabilities",*,*
"Portland School District","=""1130011""","Portland High School","Students with Disabilities",*,*
"Putnam School District","=""1160011""","Helping Hands","Students with Disabilities",*,*
"Putnam School District","=""1160011""","Putnam High School","Students with Disabilities",*,*
"Ridgefield School District","=""1180011""","Ridgefield High School","Students with Disabilities",72.5,86.5
"Ridgefield School District","=""1180011""","Ridgefield Transition Program","Students with Disabilities",*,*
"Rocky Hill School District","=""1190011""","Rocky Hill High School","Students with Disabilities",*,*
"Seymour School District","=""1240011""","Seymour High School","Students with Disabilities",*,*
"Shelton School District","=""1260011""","Shelton High School","Students with Disabilities",33.3,*
"Simsbury School District","=""1280011""","Simsbury High School","Students with Disabilities",71.9,91.3
"Somers School District","=""1290011""","Somers High School","Students with Disabilities",*,*
"Southington School District","=""1310011""","Southington High School","Students with Disabilities",54.3,84.2
"South Windsor School District","=""1320011""","South Windsor High School","Students with Disabilities",64.1,84.0
"Stafford School District","=""1340011""","Stafford High School","Students with Disabilities",*,*
"Stamford School District","=""1350011""","Stamford High School","Students with Disabilities",61.1,66.7
"Stamford School District","=""1350011""","The Academy of Information Technology","Students with Disabilities",*,*
"Stamford School District","=""1350011""","Westhill High School","Students with Disabilities",66.1,82.9
"Stonington School District","=""1370011""","Stonington High School","Students with Disabilities",70.0,*
"Stratford School District","=""1380011""","Bunnell High School","Students with Disabilities",56.0,*
"Stratford School District","=""1380011""","Secondary STEPS Program","Students with Disabilities",*,*
"Stratford School District","=""1380011""","Stratford High School","Students with Disabilities",*,*
"Stratford School District","=""1380011""","Strive-Stratford","Students with Disabilities",*,*
"Suffield School District","=""1390011""","Suffield High School","Students with Disabilities",*,*
"Thomaston School District","=""1400011""","Thomaston High School","Students with Disabilities",52.2,*
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","Students with Disabilities",*,*
"Tolland School District","=""1420011""","Tolland High School","Students with Disabilities",*,*
"Torrington School District","=""1430011""","Torrington High School","Students with Disabilities",*,*
"Trumbull School District","=""1440011""","Trumbull High School","Students with Disabilities",59.0,78.3
"Vernon School District","=""1460011""","Next Step Program (AACBP)","Students with Disabilities",*,*
"Vernon School District","=""1460011""","Rockville High School","Students with Disabilities",33.3,*
"Wallingford School District","=""1480011""","A.R.T.S. Academy","Students with Disabilities",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","Students with Disabilities",51.6,*
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","Students with Disabilities",*,*
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","Students with Disabilities",*,*
"Waterbury School District","=""1510011""","Crosby High School","Students with Disabilities",25.9,*
"Waterbury School District","=""1510011""","Enlightenment School","Students with Disabilities",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","Students with Disabilities",21.4,*
"Waterbury School District","=""1510011""","State Street School","Students with Disabilities",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","Students with Disabilities",*,*
"Waterbury School District","=""1510011""","Wilby High School","Students with Disabilities",19.0,*
"Waterford School District","=""1520011""","Waterford High School","Students with Disabilities",55.0,*
"Watertown School District","=""1530011""","Watertown High School","Students with Disabilities",37.5,*
"Westbrook School District","=""1540011""","Westbrook High School","Students with Disabilities",*,*
"West Hartford School District","=""1550011""","Achieve","Students with Disabilities",*,*
"West Hartford School District","=""1550011""","Conard High School","Students with Disabilities",68.3,89.3
"West Hartford School District","=""1550011""","Hall High School","Students with Disabilities",65.9,85.2
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","Students with Disabilities",*,*
"West Haven School District","=""1560011""","West Haven High School","Students with Disabilities",46.7,*
"Weston School District","=""1570011""","Weston High School","Students with Disabilities",95.2,85.0
"Westport School District","=""1580011""","Staples High School","Students with Disabilities",73.9,88.2
"Wethersfield School District","=""1590011""","Wethersfield High School","Students with Disabilities",45.0,*
"Wilton School District","=""1610011""","Wilton High School","Students with Disabilities",77.8,92.9
"Windham School District","=""1630011""","Partial Day Program","Students with Disabilities",*,*
"Windham School District","=""1630011""","Windham High School","Students with Disabilities",25.0,*
"Windsor School District","=""1640011""","Windsor High School","Students with Disabilities",53.7,72.7
"Windsor Locks School District","=""1650011""","Windsor Locks High School","Students with Disabilities",*,*
"Wolcott School District","=""1660011""","Wolcott High School","Students with Disabilities",47.8,*
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","Students with Disabilities",*,*
"Regional School District 04","=""2040012""","Valley Regional High School","Students with Disabilities",52.2,*
"Regional School District 05","=""2050012""","Amity Regional High School","Students with Disabilities",64.3,88.9
"Regional School District 06","=""2060012""","Wamogo Regional High School","Students with Disabilities",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","Students with Disabilities",54.5,*
"Regional School District 07","=""2070012""","STEP","Students with Disabilities",*,*
"Regional School District 08","=""2080012""","RHAM High School","Students with Disabilities",60.0,*
"Regional School District 09","=""2090012""","Joel Barlow High School","Students with Disabilities",80.6,82.8
"Regional School District 10","=""2100012""","Lewis S. Mills High School","Students with Disabilities",*,*
"Regional School District 11","=""2110012""","Parish Hill High School","Students with Disabilities",*,*
"Regional School District 12","=""2120012""","Shepaug Valley High School","Students with Disabilities",*,*
"Regional School District 13","=""2130012""","Coginchaug Regional High School","Students with Disabilities",*,*
"Regional School District 14","=""2140012""","Nonnewaug High School","Students with Disabilities",*,*
"Regional School District 15","=""2150012""","Pomperaug Regional High School","Students with Disabilities",66.7,91.2
"Regional School District 16","=""2160012""","Woodland Regional High School","Students with Disabilities",*,*
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","Students with Disabilities",46.4,*
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","Students with Disabilities",*,*
"Regional School District 19","=""2190012""","E. O. Smith High School","Students with Disabilities",43.8,*
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","Students with Disabilities",*,*
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","Students with Disabilities",*,*
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","Students with Disabilities",*,*
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","Students with Disabilities",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","Students with Disabilities",*,*
"Capitol Region Education Council","=""2410014""","River Street School","Students with Disabilities",*,*
"Capitol Region Education Council","=""2410014""","Soundbridge","Students with Disabilities",*,*
"Education Connection","=""2420014""","GFLC/ACCESS School","Students with Disabilities",*,*
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","Students with Disabilities",*,*
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","Students with Disabilities",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","Students with Disabilities",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","Students with Disabilities",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","Students with Disabilities",*,*
"Common Ground High School District","=""2680013""","Common Ground High School","Students with Disabilities",*,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","Students with Disabilities",*,*
"Explorations District","=""2720013""","Explorations","Students with Disabilities",*,*
"Stamford Academy District","=""2820013""","Stamford Academy","Students with Disabilities",*,*
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","Students with Disabilities",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","Students with Disabilities",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","Students with Disabilities",*,*
"Unified School District #2","=""3470015""","Walter G. Cady School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","Students with Disabilities",30.0,*
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","Students with Disabilities",36.4,*
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","Students with Disabilities",42.9,*
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","Students with Disabilities",42.3,*
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","Students with Disabilities",*,*
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","Students with Disabilities",44.8,86.7
"The Gilbert School District","=""9020022""","The Gilbert School","Students with Disabilities",*,*
"Woodstock Academy District","=""9030022""","Woodstock Academy","Students with Disabilities",40.7,*

