"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Special Education Status","Entrance(%)","Persistence(%)"
"Southington School District","=""1310011""","Southington High School","Students with Disabilities",59.5,76.0
"South Windsor School District","=""1320011""","South Windsor High School","Students with Disabilities",51.6,*
"Stafford School District","=""1340011""","Stafford High School","Students with Disabilities",*,*
"Stamford School District","=""1350011""","Stamford High School","Students with Disabilities",64.9,70.8
"Stamford School District","=""1350011""","The Academy of Information Technology","Students with Disabilities",*,*
"Stamford School District","=""1350011""","Westhill High School","Students with Disabilities",36.0,*
"Stonington School District","=""1370011""","Stonington High School","Students with Disabilities",*,*
"Stratford School District","=""1380011""","Bunnell High School","Students with Disabilities",30.0,*
"Stratford School District","=""1380011""","Stratford High School","Students with Disabilities",*,*
"Stratford School District","=""1380011""","Strive-Stratford","Students with Disabilities",*,*
"Suffield School District","=""1390011""","Suffield High School","Students with Disabilities",*,*
"Thomaston School District","=""1400011""","Thomaston High School","Students with Disabilities",*,*
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","Students with Disabilities",*,*
"Tolland School District","=""1420011""","Tolland High School","Students with Disabilities",52.2,*
"Torrington School District","=""1430011""","Torrington High School","Students with Disabilities",*,*
"Trumbull School District","=""1440011""","Trumbull High School","Students with Disabilities",62.2,91.3
"Vernon School District","=""1460011""","Next Step Program (AACBP)","Students with Disabilities",*,*
"Vernon School District","=""1460011""","Rockville High School","Students with Disabilities",45.5,*
"Wallingford School District","=""1480011""","Lyman Hall High School","Students with Disabilities",30.6,*
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","Students with Disabilities",*,*
"Waterbury School District","=""1510011""","Crosby High School","Students with Disabilities",28.6,*
"Waterbury School District","=""1510011""","Enlightenment School","Students with Disabilities",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","Students with Disabilities",*,*
"Waterbury School District","=""1510011""","State Street School","Students with Disabilities",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","Students with Disabilities",*,*
"Waterbury School District","=""1510011""","Wilby High School","Students with Disabilities",29.7,*
"Waterford School District","=""1520011""","Waterford High School","Students with Disabilities",42.9,*
"Watertown School District","=""1530011""","Watertown High School","Students with Disabilities",31.3,*
"Westbrook School District","=""1540011""","Westbrook High School","Students with Disabilities",*,*
"West Hartford School District","=""1550011""","Conard High School","Students with Disabilities",51.9,*
"West Hartford School District","=""1550011""","Hall High School","Students with Disabilities",70.2,80.0
"West Haven School District","=""1560011""","West Haven High School","Students with Disabilities",36.0,*
"Weston School District","=""1570011""","Weston High School","Students with Disabilities",87.1,88.9
"Westport School District","=""1580011""","Staples High School","Students with Disabilities",89.4,90.5
"Wethersfield School District","=""1590011""","Wethersfield High School","Students with Disabilities",*,*
"Wilton School District","=""1610011""","Wilton High School","Students with Disabilities",85.7,91.7
"Windham School District","=""1630011""","Eastern Regional Academy/Windham","Students with Disabilities",*,*
"Windham School District","=""1630011""","Windham High School","Students with Disabilities",*,*
"Windsor School District","=""1640011""","Windsor High School","Students with Disabilities",47.1,*
"Windsor Locks School District","=""1650011""","Windsor Locks High School","Students with Disabilities",*,*
"Wolcott School District","=""1660011""","Wolcott High School","Students with Disabilities",*,*
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","Students with Disabilities",*,*
"Regional School District 04","=""2040012""","Valley Regional High School","Students with Disabilities",*,*
"Regional School District 05","=""2050012""","Amity Regional High School","Students with Disabilities",72.2,84.6
"Regional School District 06","=""2060012""","Wamogo Regional High School","Students with Disabilities",*,*
"Regional School District 07","=""2070012""","AIM","Students with Disabilities",*,*
"Regional School District 07","=""2070012""","Links","Students with Disabilities",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","Students with Disabilities",*,*
"Regional School District 07","=""2070012""","STEP","Students with Disabilities",*,*
"Regional School District 08","=""2080012""","RHAM High School","Students with Disabilities",52.4,*
"Regional School District 09","=""2090012""","Joel Barlow High School","Students with Disabilities",*,*
"Regional School District 10","=""2100012""","Lewis S. Mills High School","Students with Disabilities",*,*
"Regional School District 11","=""2110012""","Parish Hill High School","Students with Disabilities",*,*
"Regional School District 12","=""2120012""","Shepaug Valley High School","Students with Disabilities",*,*
"Regional School District 13","=""2130012""","Coginchaug Regional High School","Students with Disabilities",*,*
"Regional School District 14","=""2140012""","Nonnewaug High School","Students with Disabilities",52.4,*
"Regional School District 15","=""2150012""","Pomperaug Regional High School","Students with Disabilities",74.3,88.5
"Regional School District 16","=""2160012""","Woodland Regional High School","Students with Disabilities",40.9,*
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","Students with Disabilities",66.7,*
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","Students with Disabilities",*,*
"Regional School District 19","=""2190012""","E. O. Smith High School","Students with Disabilities",26.8,*
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","Students with Disabilities",*,*
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","Students with Disabilities",*,*
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","Students with Disabilities",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","Students with Disabilities",*,*
"Capitol Region Education Council","=""2410014""","River Street School","Students with Disabilities",*,*
"Capitol Region Education Council","=""2410014""","Soundbridge","Students with Disabilities",*,*
"Education Connection","=""2420014""","GFLC/ACCESS School","Students with Disabilities",*,*
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","Students with Disabilities",*,*
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","Students with Disabilities",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Village School","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","Students with Disabilities",*,*
"Common Ground High School District","=""2680013""","Common Ground High School","Students with Disabilities",*,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","Students with Disabilities",*,*
"Explorations District","=""2720013""","Explorations","Students with Disabilities",*,*
"Amistad Academy District","=""2790013""","Amistad Academy","Students with Disabilities",*,*
"Stamford Academy District","=""2820013""","Stamford Academy","Students with Disabilities",*,*
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","Students with Disabilities",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","Students with Disabilities",*,*
"Unified School District #1","=""3360015""","York Correctional Institution","Students with Disabilities",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","Students with Disabilities",*,*
"Unified School District #2","=""3470015""","Children's Place School","Students with Disabilities",*,*
"Unified School District #2","=""3470015""","Walter G. Cady School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","Students with Disabilities",28.6,*
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","Students with Disabilities",31.8,*
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","Students with Disabilities",45.0,*
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","Students with Disabilities",23.1,*
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","Students with Disabilities",*,*
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","Students with Disabilities",43.1,64.0
"The Gilbert School District","=""9020022""","The Gilbert School","Students with Disabilities",*,*
"Woodstock Academy District","=""9030022""","Woodstock Academy","Students with Disabilities",55.6,*

